Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Option=1 Pane	Option=2+ Pane	Count	Weight
CR10	2000s	Multi-Family with 2 - 4 Units	1	0	1	11725.7947
CR10	2000s	Multi-Family with 5+ Units	0.334439533	0.665560467	20	257073.3575
CR10	2000s	Single-Family Attached	0.786469112	0.213530888	4	34044.68041
CR10	2000s	Single-Family Detached	0.154890499	0.845109501	52	552280.1924
CR10	2010s	Mobile Home	0.621825376	0.378174624	6	62507.97779
CR10	2010s	Multi-Family with 2 - 4 Units	1	0	1	11725.7947
CR10	2010s	Multi-Family with 5+ Units	0.334439533	0.665560467	20	257073.3575
CR10	2010s	Single-Family Attached	0.786469112	0.213530888	4	34044.68041
CR10	2010s	Single-Family Detached	0.154890499	0.845109501	52	552280.1924
CR11	<1940	Mobile Home	1	0	3	20739.18705
CR11	<1940	Multi-Family with 2 - 4 Units	0.88746771	0.11253229	25	183275.0696
CR11	<1940	Multi-Family with 5+ Units	0.861917356	0.138082644	31	288320.1729
CR11	<1940	Single-Family Attached	0.546027953	0.453972047	17	114920.6428
CR11	<1940	Single-Family Detached	0.498886992	0.501113008	136	1030677.78
CR11	1940s	Mobile Home	1	0	3	20739.18705
CR11	1940s	Multi-Family with 2 - 4 Units	0.88746771	0.11253229	25	183275.0696
CR11	1940s	Multi-Family with 5+ Units	0.861917356	0.138082644	31	288320.1729
CR11	1940s	Single-Family Attached	0.546027953	0.453972047	17	114920.6428
CR11	1940s	Single-Family Detached	0.498886992	0.501113008	136	1030677.78
CR11	1950s	Mobile Home	0.572016663	0.427983337	5	40386.48452
CR11	1950s	Multi-Family with 2 - 4 Units	0.66013258	0.33986742	21	148159.4159
CR11	1950s	Multi-Family with 5+ Units	0.791118916	0.208881084	38	341633.9286
CR11	1950s	Single-Family Attached	0.616143673	0.383856327	10	59539.97221
CR11	1950s	Single-Family Detached	0.465154989	0.534845011	190	1407645.841
CR11	1960s	Mobile Home	1	0	3	26547.60867
CR11	1960s	Multi-Family with 2 - 4 Units	0.850458682	0.149541318	25	192082.0074
CR11	1960s	Multi-Family with 5+ Units	0.818502089	0.181497911	59	506904.5696
CR11	1960s	Single-Family Attached	0.647387975	0.352612025	17	98140.58964
CR11	1960s	Single-Family Detached	0.480605951	0.519394049	158	1182257.67
CR11	1970s	Mobile Home	0.874496025	0.125503975	24	190545.5909
CR11	1970s	Multi-Family with 2 - 4 Units	0.809610079	0.190389921	36	259826.5689
CR11	1970s	Multi-Family with 5+ Units	0.78820412	0.21179588	85	733139.1192
CR11	1970s	Single-Family Attached	0.616115722	0.383884278	37	238678.4393
CR11	1970s	Single-Family Detached	0.431340506	0.568659494	148	1103939.743
CR11	1980s	Mobile Home	0.808681884	0.191318116	5	41956.26438
CR11	1980s	Multi-Family with 2 - 4 Units	0.684141514	0.315858486	18	143925.2651
CR11	1980s	Multi-Family with 5+ Units	0.750075874	0.249924126	61	533544.262
CR11	1980s	Single-Family Attached	0.50106491	0.49893509	27	157820.0437
CR11	1980s	Single-Family Detached	0.455330535	0.544669465	121	904026.3661
CR11	1990s	Mobile Home	0.669667942	0.330332058	3	43756.68381
CR11	1990s	Multi-Family with 2 - 4 Units	0.517596712	0.482403288	9	65320.68243
CR11	1990s	Multi-Family with 5+ Units	0.537149555	0.462850445	35	291825.1939
CR11	1990s	Single-Family Attached	0.551441534	0.448558466	22	102997.6646
CR11	1990s	Single-Family Detached	0.137411858	0.862588142	108	813930.6136
CR11	2000s	Mobile Home	0.502353787	0.497646213	4	30147.44092
CR11	2000s	Multi-Family with 2 - 4 Units	0.158521759	0.841478241	7	41642.44568
CR11	2000s	Multi-Family with 5+ Units	0.405866833	0.594133167	21	176300.4027
CR11	2000s	Single-Family Attached	0.071341586	0.928658414	14	84601.53185
CR11	2000s	Single-Family Detached	0.136155477	0.863844523	83	615735.7373
CR11	2010s	Mobile Home	0.502353787	0.497646213	4	30147.44092
CR11	2010s	Multi-Family with 2 - 4 Units	0.158521759	0.841478241	7	41642.44568
CR11	2010s	Multi-Family with 5+ Units	0.405866833	0.594133167	21	176300.4027
CR11	2010s	Single-Family Attached	0.071341586	0.928658414	14	84601.53185
CR11	2010s	Single-Family Detached	0.136155477	0.863844523	83	615735.7373
