Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None
CR11	1950s	Heated Basement	Single Family Attached	0	0	0	1
CR02	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR05	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR03	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR04	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR06	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR07	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR08	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR09	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR10	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR11	1960s	Heated Basement	Single Family Attached	0	0	0	1
CR02	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR05	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR03	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR04	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR06	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR07	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR08	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR09	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR10	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR11	1970s	Heated Basement	Single Family Attached	0	0	0	1
CR02	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR05	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR03	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR04	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR06	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR07	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR08	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR09	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR10	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR11	1980s	Heated Basement	Single Family Attached	0	0	0	1
CR02	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR05	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR03	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR04	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR06	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR07	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR08	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR09	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR10	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR11	1990s	Heated Basement	Single Family Attached	0	0	0	1
CR02	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR05	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR03	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR04	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR06	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR07	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR08	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR09	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR10	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR11	2000s	Heated Basement	Single Family Attached	0	0	0	1
CR02	<1950	Slab	Single Family Attached	0	0	0	1
CR05	<1950	Slab	Single Family Attached	0	0	0	1
CR03	<1950	Slab	Single Family Attached	0	0	0	1
CR04	<1950	Slab	Single Family Attached	0	0	0	1
CR06	<1950	Slab	Single Family Attached	0	0	0	1
CR07	<1950	Slab	Single Family Attached	0	0	0	1
CR08	<1950	Slab	Single Family Attached	0	0	0	1
CR09	<1950	Slab	Single Family Attached	0	0	0	1
CR10	<1950	Slab	Single Family Attached	0	0	0	1
CR11	<1950	Slab	Single Family Attached	0	0	0	1
CR02	1950s	Slab	Single Family Attached	0	0	0	1
CR05	1950s	Slab	Single Family Attached	0	0	0	1
CR03	1950s	Slab	Single Family Attached	0	0	0	1
CR04	1950s	Slab	Single Family Attached	0	0	0	1
CR06	1950s	Slab	Single Family Attached	0	0	0	1
CR07	1950s	Slab	Single Family Attached	0	0	0	1
CR08	1950s	Slab	Single Family Attached	0	0	0	1
CR09	1950s	Slab	Single Family Attached	0	0	0	1
CR10	1950s	Slab	Single Family Attached	0	0	0	1
CR11	1950s	Slab	Single Family Attached	0	0	0	1
CR02	1960s	Slab	Single Family Attached	0	0	0	1
CR05	1960s	Slab	Single Family Attached	0	0	0	1
CR03	1960s	Slab	Single Family Attached	0	0	0	1
CR04	1960s	Slab	Single Family Attached	0	0	0	1
CR06	1960s	Slab	Single Family Attached	0	0	0	1
CR07	1960s	Slab	Single Family Attached	0	0	0	1
CR08	1960s	Slab	Single Family Attached	0	0	0	1
CR09	1960s	Slab	Single Family Attached	0	0	0	1
CR10	1960s	Slab	Single Family Attached	0	0	0	1
CR11	1960s	Slab	Single Family Attached	0	0	0	1
CR02	1970s	Slab	Single Family Attached	0	0	0	1
CR05	1970s	Slab	Single Family Attached	0	0	0	1
CR03	1970s	Slab	Single Family Attached	0	0	0	1
CR04	1970s	Slab	Single Family Attached	0	0	0	1
CR06	1970s	Slab	Single Family Attached	0	0	0	1
CR07	1970s	Slab	Single Family Attached	0	0	0	1
CR08	1970s	Slab	Single Family Attached	0	0	0	1
CR09	1970s	Slab	Single Family Attached	0	0	0	1
CR10	1970s	Slab	Single Family Attached	0	0	0	1
CR11	1970s	Slab	Single Family Attached	0	0	0	1
CR02	1980s	Slab	Single Family Attached	0	0	0	1
CR05	1980s	Slab	Single Family Attached	0	0	0	1
CR03	1980s	Slab	Single Family Attached	0	0	0	1
CR04	1980s	Slab	Single Family Attached	0	0	0	1
CR06	1980s	Slab	Single Family Attached	0	0	0	1
CR07	1980s	Slab	Single Family Attached	0	0	0	1
CR08	1980s	Slab	Single Family Attached	0	0	0	1
CR09	1980s	Slab	Single Family Attached	0	0	0	1
CR10	1980s	Slab	Single Family Attached	0	0	0	1
CR11	1980s	Slab	Single Family Attached	0	0	0	1
CR02	1990s	Slab	Single Family Attached	0	0	0	1
CR05	1990s	Slab	Single Family Attached	0	0	0	1
CR03	1990s	Slab	Single Family Attached	0	0	0	1
CR04	1990s	Slab	Single Family Attached	0	0	0	1
CR06	1990s	Slab	Single Family Attached	0	0	0	1
CR07	1990s	Slab	Single Family Attached	0	0	0	1
CR08	1990s	Slab	Single Family Attached	0	0	0	1
CR09	1990s	Slab	Single Family Attached	0	0	0	1
CR10	1990s	Slab	Single Family Attached	0	0	0	1
CR11	1990s	Slab	Single Family Attached	0	0	0	1
CR02	2000s	Slab	Single Family Attached	0	0	0	1
CR05	2000s	Slab	Single Family Attached	0	0	0	1
CR03	2000s	Slab	Single Family Attached	0	0	0	1
CR04	2000s	Slab	Single Family Attached	0	0	0	1
CR06	2000s	Slab	Single Family Attached	0	0	0	1
CR07	2000s	Slab	Single Family Attached	0	0	0	1
CR08	2000s	Slab	Single Family Attached	0	0	0	1
CR09	2000s	Slab	Single Family Attached	0	0	0	1
CR10	2000s	Slab	Single Family Attached	0	0	0	1
CR11	2000s	Slab	Single Family Attached	0	0	0	1
CR02	<1950	Crawl	Single Family Attached	0	0	0	1
CR05	<1950	Crawl	Single Family Attached	0	0	0	1
CR03	<1950	Crawl	Single Family Attached	0	0	0	1
CR04	<1950	Crawl	Single Family Attached	0	0	0	1
CR06	<1950	Crawl	Single Family Attached	0	0	0	1
CR07	<1950	Crawl	Single Family Attached	0	0	0	1
CR08	<1950	Crawl	Single Family Attached	0	0	0	1
CR09	<1950	Crawl	Single Family Attached	0	0	0	1
CR10	<1950	Crawl	Single Family Attached	0	0	0	1
CR11	<1950	Crawl	Single Family Attached	0	0	0	1
CR02	1950s	Crawl	Single Family Attached	0	0	0	1
CR05	1950s	Crawl	Single Family Attached	0	0	0	1
CR03	1950s	Crawl	Single Family Attached	0	0	0	1
CR04	1950s	Crawl	Single Family Attached	0	0	0	1
CR06	1950s	Crawl	Single Family Attached	0	0	0	1
CR07	1950s	Crawl	Single Family Attached	0	0	0	1
CR08	1950s	Crawl	Single Family Attached	0	0	0	1
CR09	1950s	Crawl	Single Family Attached	0	0	0	1
CR10	1950s	Crawl	Single Family Attached	0	0	0	1
CR11	1950s	Crawl	Single Family Attached	0	0	0	1
CR02	1960s	Crawl	Single Family Attached	0	0	0	1
CR05	1960s	Crawl	Single Family Attached	0	0	0	1
CR03	1960s	Crawl	Single Family Attached	0	0	0	1
CR04	1960s	Crawl	Single Family Attached	0	0	0	1
CR06	1960s	Crawl	Single Family Attached	0	0	0	1
CR07	1960s	Crawl	Single Family Attached	0	0	0	1
CR08	1960s	Crawl	Single Family Attached	0	0	0	1
CR09	1960s	Crawl	Single Family Attached	0	0	0	1
CR10	1960s	Crawl	Single Family Attached	0	0	0	1
CR11	1960s	Crawl	Single Family Attached	0	0	0	1
CR02	1970s	Crawl	Single Family Attached	0	0	0	1
CR05	1970s	Crawl	Single Family Attached	0	0	0	1
CR03	1970s	Crawl	Single Family Attached	0	0	0	1
CR04	1970s	Crawl	Single Family Attached	0	0	0	1
CR06	1970s	Crawl	Single Family Attached	0	0	0	1
CR07	1970s	Crawl	Single Family Attached	0	0	0	1
CR08	1970s	Crawl	Single Family Attached	0	0	0	1
CR09	1970s	Crawl	Single Family Attached	0	0	0	1
CR10	1970s	Crawl	Single Family Attached	0	0	0	1
CR11	1970s	Crawl	Single Family Attached	0	0	0	1
CR02	1980s	Crawl	Single Family Attached	0	0	0	1
CR05	1980s	Crawl	Single Family Attached	0	0	0	1
CR03	1980s	Crawl	Single Family Attached	0	0	0	1
CR04	1980s	Crawl	Single Family Attached	0	0	0	1
CR06	1980s	Crawl	Single Family Attached	0	0	0	1
CR07	1980s	Crawl	Single Family Attached	0	0	0	1
CR08	1980s	Crawl	Single Family Attached	0	0	0	1
CR09	1980s	Crawl	Single Family Attached	0	0	0	1
CR10	1980s	Crawl	Single Family Attached	0	0	0	1
CR11	1980s	Crawl	Single Family Attached	0	0	0	1
CR02	1990s	Crawl	Single Family Attached	0	0	0	1
CR05	1990s	Crawl	Single Family Attached	0	0	0	1
CR03	1990s	Crawl	Single Family Attached	0	0	0	1
CR04	1990s	Crawl	Single Family Attached	0	0	0	1
CR06	1990s	Crawl	Single Family Attached	0	0	0	1
CR07	1990s	Crawl	Single Family Attached	0	0	0	1
CR08	1990s	Crawl	Single Family Attached	0	0	0	1
CR09	1990s	Crawl	Single Family Attached	0	0	0	1
CR10	1990s	Crawl	Single Family Attached	0	0	0	1
CR11	1990s	Crawl	Single Family Attached	0	0	0	1
CR02	2000s	Crawl	Single Family Attached	0	0	0	1
CR05	2000s	Crawl	Single Family Attached	0	0	0	1
CR03	2000s	Crawl	Single Family Attached	0	0	0	1
CR04	2000s	Crawl	Single Family Attached	0	0	0	1
CR06	2000s	Crawl	Single Family Attached	0	0	0	1
CR07	2000s	Crawl	Single Family Attached	0	0	0	1
CR08	2000s	Crawl	Single Family Attached	0	0	0	1
CR09	2000s	Crawl	Single Family Attached	0	0	0	1
CR10	2000s	Crawl	Single Family Attached	0	0	0	1
CR11	2000s	Crawl	Single Family Attached	0	0	0	1
CR02	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR05	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR03	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR04	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR06	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR07	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR08	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR09	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR10	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR11	<1950	Pier & Beam	Single Family Attached	0	0	0	1
CR02	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR05	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR03	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR04	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR06	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR07	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR08	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR09	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR10	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR11	1950s	Pier & Beam	Single Family Attached	0	0	0	1
CR02	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR05	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR03	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR04	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR06	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR07	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR08	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR09	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR10	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR11	1960s	Pier & Beam	Single Family Attached	0	0	0	1
CR02	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR05	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR03	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR04	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR06	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR07	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR08	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR09	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR10	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR11	1970s	Pier & Beam	Single Family Attached	0	0	0	1
CR02	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR05	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR03	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR04	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR06	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR07	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR08	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR09	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR10	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR11	1980s	Pier & Beam	Single Family Attached	0	0	0	1
CR02	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR05	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR03	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR04	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR06	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR07	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR08	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR09	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR10	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR11	1990s	Pier & Beam	Single Family Attached	0	0	0	1
CR02	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR05	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR03	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR04	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR06	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR07	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR08	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR09	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR10	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR11	2000s	Pier & Beam	Single Family Attached	0	0	0	1
CR02	<1950	Unheated Basement	Multifamily	1	0	0	0
CR05	<1950	Unheated Basement	Multifamily	1	0	0	0
CR03	<1950	Unheated Basement	Multifamily	1	0	0	0
CR04	<1950	Unheated Basement	Multifamily	1	0	0	0
CR06	<1950	Unheated Basement	Multifamily	1	0	0	0
CR07	<1950	Unheated Basement	Multifamily	1	0	0	0
CR08	<1950	Unheated Basement	Multifamily	1	0	0	0
CR09	<1950	Unheated Basement	Multifamily	1	0	0	0
CR10	<1950	Unheated Basement	Multifamily	1	0	0	0
CR11	<1950	Unheated Basement	Multifamily	1	0	0	0
CR02	1950s	Unheated Basement	Multifamily	1	0	0	0
CR05	1950s	Unheated Basement	Multifamily	1	0	0	0
CR03	1950s	Unheated Basement	Multifamily	1	0	0	0
CR04	1950s	Unheated Basement	Multifamily	1	0	0	0
CR06	1950s	Unheated Basement	Multifamily	1	0	0	0
CR07	1950s	Unheated Basement	Multifamily	1	0	0	0
CR08	1950s	Unheated Basement	Multifamily	1	0	0	0
CR09	1950s	Unheated Basement	Multifamily	1	0	0	0
CR10	1950s	Unheated Basement	Multifamily	1	0	0	0
CR11	1950s	Unheated Basement	Multifamily	1	0	0	0
CR02	1960s	Unheated Basement	Multifamily	1	0	0	0
CR05	1960s	Unheated Basement	Multifamily	1	0	0	0
CR03	1960s	Unheated Basement	Multifamily	1	0	0	0
CR04	1960s	Unheated Basement	Multifamily	1	0	0	0
CR06	1960s	Unheated Basement	Multifamily	1	0	0	0
CR07	1960s	Unheated Basement	Multifamily	1	0	0	0
CR08	1960s	Unheated Basement	Multifamily	1	0	0	0
CR09	1960s	Unheated Basement	Multifamily	1	0	0	0
CR10	1960s	Unheated Basement	Multifamily	1	0	0	0
CR11	1960s	Unheated Basement	Multifamily	1	0	0	0
CR02	1970s	Unheated Basement	Multifamily	1	0	0	0
CR05	1970s	Unheated Basement	Multifamily	1	0	0	0
CR03	1970s	Unheated Basement	Multifamily	1	0	0	0
CR04	1970s	Unheated Basement	Multifamily	1	0	0	0
CR06	1970s	Unheated Basement	Multifamily	1	0	0	0
CR07	1970s	Unheated Basement	Multifamily	1	0	0	0
CR08	1970s	Unheated Basement	Multifamily	1	0	0	0
CR09	1970s	Unheated Basement	Multifamily	1	0	0	0
CR10	1970s	Unheated Basement	Multifamily	1	0	0	0
CR11	1970s	Unheated Basement	Multifamily	1	0	0	0
CR02	1980s	Unheated Basement	Multifamily	0.45	0.2	0.35	0
CR05	1980s	Unheated Basement	Multifamily	0.63	0.1	0.27	0
CR03	1980s	Unheated Basement	Multifamily	0.26	0.33	0.41	0
CR04	1980s	Unheated Basement	Multifamily	0.39	0.27	0.34	0
CR06	1980s	Unheated Basement	Multifamily	0.13	0.19	0.67	0
CR07	1980s	Unheated Basement	Multifamily	0.31	0.26	0.43	0
CR08	1980s	Unheated Basement	Multifamily	0.26	0.15	0.6	0
CR09	1980s	Unheated Basement	Multifamily	1	0	0	0
CR10	1980s	Unheated Basement	Multifamily	1	0	0	0
CR11	1980s	Unheated Basement	Multifamily	0.13	0.19	0.67	0
CR02	1990s	Unheated Basement	Multifamily	0.13	0.46	0.41	0
CR05	1990s	Unheated Basement	Multifamily	0.02	0.2	0.78	0
CR03	1990s	Unheated Basement	Multifamily	0.02	0.28	0.7	0
CR04	1990s	Unheated Basement	Multifamily	0.07	0.81	0.12	0
CR06	1990s	Unheated Basement	Multifamily	0.01	0.09	0.91	0
CR07	1990s	Unheated Basement	Multifamily	0.03	0.49	0.47	0
CR08	1990s	Unheated Basement	Multifamily	0.07	0.38	0.55	0
CR09	1990s	Unheated Basement	Multifamily	0.05	0.65	0.3	0
CR10	1990s	Unheated Basement	Multifamily	0.09	0.4	0.52	0
CR11	1990s	Unheated Basement	Multifamily	0.11	0.13	0.76	0
CR02	2000s	Unheated Basement	Multifamily	0.02	0.35	0.64	0
CR05	2000s	Unheated Basement	Multifamily	0.02	0.15	0.83	0
CR03	2000s	Unheated Basement	Multifamily	0.04	0.23	0.73	0
CR04	2000s	Unheated Basement	Multifamily	0.32	0.37	0.31	0
CR06	2000s	Unheated Basement	Multifamily	0.03	0.14	0.83	0
CR07	2000s	Unheated Basement	Multifamily	0.07	0.07	0.86	0
CR08	2000s	Unheated Basement	Multifamily	0.11	0.24	0.64	0
CR09	2000s	Unheated Basement	Multifamily	0.26	0.17	0.57	0
CR10	2000s	Unheated Basement	Multifamily	0	0.85	0.15	0
CR11	2000s	Unheated Basement	Multifamily	0.45	0.41	0.14	0
CR02	<1950	Heated Basement	Multifamily	0	0	0	1
CR05	<1950	Heated Basement	Multifamily	0	0	0	1
CR03	<1950	Heated Basement	Multifamily	0	0	0	1
CR04	<1950	Heated Basement	Multifamily	0	0	0	1
CR06	<1950	Heated Basement	Multifamily	0	0	0	1
CR07	<1950	Heated Basement	Multifamily	0	0	0	1
CR08	<1950	Heated Basement	Multifamily	0	0	0	1
CR09	<1950	Heated Basement	Multifamily	0	0	0	1
CR10	<1950	Heated Basement	Multifamily	0	0	0	1
CR11	<1950	Heated Basement	Multifamily	0	0	0	1
CR02	1950s	Heated Basement	Multifamily	0	0	0	1
CR05	1950s	Heated Basement	Multifamily	0	0	0	1
CR03	1950s	Heated Basement	Multifamily	0	0	0	1
CR04	1950s	Heated Basement	Multifamily	0	0	0	1
CR06	1950s	Heated Basement	Multifamily	0	0	0	1
CR07	1950s	Heated Basement	Multifamily	0	0	0	1
CR08	1950s	Heated Basement	Multifamily	0	0	0	1
CR09	1950s	Heated Basement	Multifamily	0	0	0	1
CR10	1950s	Heated Basement	Multifamily	0	0	0	1
CR11	1950s	Heated Basement	Multifamily	0	0	0	1
CR02	1960s	Heated Basement	Multifamily	0	0	0	1
CR05	1960s	Heated Basement	Multifamily	0	0	0	1
CR03	1960s	Heated Basement	Multifamily	0	0	0	1
CR04	1960s	Heated Basement	Multifamily	0	0	0	1
CR06	1960s	Heated Basement	Multifamily	0	0	0	1
CR07	1960s	Heated Basement	Multifamily	0	0	0	1
CR08	1960s	Heated Basement	Multifamily	0	0	0	1
CR09	1960s	Heated Basement	Multifamily	0	0	0	1
CR10	1960s	Heated Basement	Multifamily	0	0	0	1
CR11	1960s	Heated Basement	Multifamily	0	0	0	1
CR02	1970s	Heated Basement	Multifamily	0	0	0	1
CR05	1970s	Heated Basement	Multifamily	0	0	0	1
CR03	1970s	Heated Basement	Multifamily	0	0	0	1
CR04	1970s	Heated Basement	Multifamily	0	0	0	1
CR06	1970s	Heated Basement	Multifamily	0	0	0	1
CR07	1970s	Heated Basement	Multifamily	0	0	0	1
CR08	1970s	Heated Basement	Multifamily	0	0	0	1
CR09	1970s	Heated Basement	Multifamily	0	0	0	1
CR10	1970s	Heated Basement	Multifamily	0	0	0	1
CR11	1970s	Heated Basement	Multifamily	0	0	0	1
CR02	1980s	Heated Basement	Multifamily	0	0	0	1
CR05	1980s	Heated Basement	Multifamily	0	0	0	1
CR03	1980s	Heated Basement	Multifamily	0	0	0	1
CR04	1980s	Heated Basement	Multifamily	0	0	0	1
CR06	1980s	Heated Basement	Multifamily	0	0	0	1
CR07	1980s	Heated Basement	Multifamily	0	0	0	1
CR08	1980s	Heated Basement	Multifamily	0	0	0	1
CR09	1980s	Heated Basement	Multifamily	0	0	0	1
CR10	1980s	Heated Basement	Multifamily	0	0	0	1
CR11	1980s	Heated Basement	Multifamily	0	0	0	1
CR02	1990s	Heated Basement	Multifamily	0	0	0	1
CR05	1990s	Heated Basement	Multifamily	0	0	0	1
CR03	1990s	Heated Basement	Multifamily	0	0	0	1
CR04	1990s	Heated Basement	Multifamily	0	0	0	1
CR06	1990s	Heated Basement	Multifamily	0	0	0	1
CR07	1990s	Heated Basement	Multifamily	0	0	0	1
CR08	1990s	Heated Basement	Multifamily	0	0	0	1
CR09	1990s	Heated Basement	Multifamily	0	0	0	1
CR10	1990s	Heated Basement	Multifamily	0	0	0	1
CR11	1990s	Heated Basement	Multifamily	0	0	0	1
CR02	2000s	Heated Basement	Multifamily	0	0	0	1
CR05	2000s	Heated Basement	Multifamily	0	0	0	1
CR03	2000s	Heated Basement	Multifamily	0	0	0	1
CR04	2000s	Heated Basement	Multifamily	0	0	0	1
CR06	2000s	Heated Basement	Multifamily	0	0	0	1
CR07	2000s	Heated Basement	Multifamily	0	0	0	1
CR08	2000s	Heated Basement	Multifamily	0	0	0	1
CR09	2000s	Heated Basement	Multifamily	0	0	0	1
CR10	2000s	Heated Basement	Multifamily	0	0	0	1
CR11	2000s	Heated Basement	Multifamily	0	0	0	1
CR02	<1950	Slab	Multifamily	0	0	0	1
CR05	<1950	Slab	Multifamily	0	0	0	1
CR03	<1950	Slab	Multifamily	0	0	0	1
CR04	<1950	Slab	Multifamily	0	0	0	1
CR06	<1950	Slab	Multifamily	0	0	0	1
CR07	<1950	Slab	Multifamily	0	0	0	1
CR08	<1950	Slab	Multifamily	0	0	0	1
CR09	<1950	Slab	Multifamily	0	0	0	1
CR10	<1950	Slab	Multifamily	0	0	0	1
CR11	<1950	Slab	Multifamily	0	0	0	1
CR02	1950s	Slab	Multifamily	0	0	0	1
CR05	1950s	Slab	Multifamily	0	0	0	1
CR03	1950s	Slab	Multifamily	0	0	0	1
CR04	1950s	Slab	Multifamily	0	0	0	1
CR06	1950s	Slab	Multifamily	0	0	0	1
CR07	1950s	Slab	Multifamily	0	0	0	1
CR08	1950s	Slab	Multifamily	0	0	0	1
CR09	1950s	Slab	Multifamily	0	0	0	1
CR10	1950s	Slab	Multifamily	0	0	0	1
CR11	1950s	Slab	Multifamily	0	0	0	1
CR02	1960s	Slab	Multifamily	0	0	0	1
CR05	1960s	Slab	Multifamily	0	0	0	1
CR03	1960s	Slab	Multifamily	0	0	0	1
CR04	1960s	Slab	Multifamily	0	0	0	1
CR06	1960s	Slab	Multifamily	0	0	0	1
CR07	1960s	Slab	Multifamily	0	0	0	1
CR08	1960s	Slab	Multifamily	0	0	0	1
CR09	1960s	Slab	Multifamily	0	0	0	1
CR10	1960s	Slab	Multifamily	0	0	0	1
CR11	1960s	Slab	Multifamily	0	0	0	1
CR02	1970s	Slab	Multifamily	0	0	0	1
CR05	1970s	Slab	Multifamily	0	0	0	1
CR03	1970s	Slab	Multifamily	0	0	0	1
CR04	1970s	Slab	Multifamily	0	0	0	1
CR06	1970s	Slab	Multifamily	0	0	0	1
CR07	1970s	Slab	Multifamily	0	0	0	1
CR08	1970s	Slab	Multifamily	0	0	0	1
CR09	1970s	Slab	Multifamily	0	0	0	1
CR10	1970s	Slab	Multifamily	0	0	0	1
CR11	1970s	Slab	Multifamily	0	0	0	1
CR02	1980s	Slab	Multifamily	0	0	0	1
CR05	1980s	Slab	Multifamily	0	0	0	1
CR03	1980s	Slab	Multifamily	0	0	0	1
CR04	1980s	Slab	Multifamily	0	0	0	1
CR06	1980s	Slab	Multifamily	0	0	0	1
CR07	1980s	Slab	Multifamily	0	0	0	1
CR08	1980s	Slab	Multifamily	0	0	0	1
CR09	1980s	Slab	Multifamily	0	0	0	1
CR10	1980s	Slab	Multifamily	0	0	0	1
CR11	1980s	Slab	Multifamily	0	0	0	1
CR02	1990s	Slab	Multifamily	0	0	0	1
CR05	1990s	Slab	Multifamily	0	0	0	1
CR03	1990s	Slab	Multifamily	0	0	0	1
CR04	1990s	Slab	Multifamily	0	0	0	1
CR06	1990s	Slab	Multifamily	0	0	0	1
CR07	1990s	Slab	Multifamily	0	0	0	1
CR08	1990s	Slab	Multifamily	0	0	0	1
CR09	1990s	Slab	Multifamily	0	0	0	1
CR10	1990s	Slab	Multifamily	0	0	0	1
CR11	1990s	Slab	Multifamily	0	0	0	1
CR02	2000s	Slab	Multifamily	0	0	0	1
CR05	2000s	Slab	Multifamily	0	0	0	1
CR03	2000s	Slab	Multifamily	0	0	0	1
CR04	2000s	Slab	Multifamily	0	0	0	1
CR06	2000s	Slab	Multifamily	0	0	0	1
CR07	2000s	Slab	Multifamily	0	0	0	1
CR08	2000s	Slab	Multifamily	0	0	0	1
CR09	2000s	Slab	Multifamily	0	0	0	1
CR10	2000s	Slab	Multifamily	0	0	0	1
