Building,Location Region,Location,Location AIA,Location Weather Year,Location Weather Filename,Vintage,Heating Fuel,Usage Level,Geometry Foundation Type,Geometry House Size,Geometry Stories,Geometry Garage,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Combined,HVAC System Combined,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Has Cooling Setpoint Offset,Has Heating Setpoint Offset,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted
26,CR07,NY_Albany.County.AP.725180,AIA 1,AMY2018,NY_ALBANY-CO-AP_725180_18.epw,<1950,Natural Gas,Medium,Unheated Basement,1500-2499,2+,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,None,None,72F,90F,No,No,0F,0F,None,None,National Average,None,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour18,None,Day23
27,CR07,PA_Pittsburgh.Intl.AP.725200,AIA 2,AMY2018,PA_PITTSBURGH-IAP_725200_18.epw,1980s,Natural Gas,Low,Unheated Basement,0-1499,1,1 Car,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11","Clear, Single, Metal",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 60% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 6.7,"Electric, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour13,None,Day14
28,CR07,PA_Philadelphia.Intl.AP.724080,AIA 3,AMY2018,PA_PHILADELPHIA-IAP_724080_18.epw,2000s,Natural Gas,Low,Heated Basement,0-1499,1,2 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,None,Wall R-10,None,R-19,"Wood Stud, R-19","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, HomeRun, PEX",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 10",Central,70F,90F,No,Yes,0F,3F,None,Night,National Average,None,EF 15.9,"Gas, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% CFL,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour17,Hour6,None,Day0
29,CR07,NY_Buffalo-Greater.Buffalo.Intl.AP.725280,AIA 2,AMY2018,NY_BUFFALO-NIAGARA-IAP_725280_18.epw,<1950,Natural Gas,Low,Unheated Basement,0-1499,1,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,68F,90F,No,Yes,0F,6F,None,Night,National Average,None,EF 15.9,"Gas, 80% Usage","318 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour18,None,Day15
30,CR07,NJ_Newark.Intl.AP.725020,AIA 2,AMY2018,NJ_NEWARK-IAP_725020_18.epw,1960s,Natural Gas,High,Crawl,0-1499,1,2 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Metal",Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,70F,90F,No,No,0F,0F,None,None,National Average,None,EF 10.5,"Gas, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour15,Hour22,None,Day70
31,CR07,PA_Wilkes-Barre-Scranton.Intl.AP.725130,AIA 1,AMY2018,PA_WILKES-BARRE-SCRANTON-IAP_725130_18.epw,<1950,Natural Gas,Low,Heated Basement,2500-3499,2+,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,68F,90F,No,Yes,0F,3F,None,Night,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour20,None,Day90
32,CR03,CT_Bridgeport-Sikorsky.Mem.AP.725040,AIA 2,AMY2018,CT_BRIDGEPORT-SIKORSKY-MEM_725040_18.epw,1980s,Natural Gas,Medium,Unheated Basement,2500-3499,1,2 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,67F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",8 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour17,None,Day94
33,CR03,CT_Hartford-Bradley.Intl.AP.725080,AIA 2,AMY2018,CT_HARTFORD-BRADLEY-IAP_725080_18.epw,1980s,Natural Gas,High,Unheated Basement,2500-3499,2+,2 Car,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,R-13,"Wood Stud, R-11","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,72F,90F,No,No,0F,0F,None,None,National Average,None,EF 10.5,"Electric, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",7 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour8,None,Day61
34,CR07,NJ_Newark.Intl.AP.725020,AIA 2,AMY2018,NJ_NEWARK-IAP_725020_18.epw,1950s,Natural Gas,Medium,Crawl,0-1499,1,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour12,None,Day38
35,CR03,CT_Bridgeport-Sikorsky.Mem.AP.725040,AIA 2,AMY2018,CT_BRIDGEPORT-SIKORSKY-MEM_725040_18.epw,1960s,Natural Gas,Medium,Unheated Basement,0-1499,1,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,72F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour9,None,Day55
36,CR03,MA_Worcester.Rgnl.AP.725095,AIA 2,AMY2018,MA_WORCESTER-RGNL-AP_725100_18.epw,<1950,Natural Gas,High,Unheated Basement,0-1499,1,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Wall/Floor Furnace, 68% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Electric, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",60% CFL,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour23,None,Day58
37,CR03,CT_Bridgeport-Sikorsky.Mem.AP.725040,AIA 2,AMY2018,CT_BRIDGEPORT-SIKORSKY-MEM_725040_18.epw,<1950,Natural Gas,Medium,Unheated Basement,1500-2499,2+,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour5,None,Day63
38,CR07,PA_Philadelphia.Intl.AP.724080,AIA 3,AMY2018,PA_PHILADELPHIA-IAP_724080_18.epw,1980s,Natural Gas,Medium,Heated Basement,1500-2499,1,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,None,Wall R-10,None,Uninsulated,"Wood Stud, R-11","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 8",Central,65F,90F,No,Yes,0F,3F,None,Day and Night,National Average,None,EF 15.9,"Electric, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour14,Hour18,None,Day92
39,CR07,PA_Erie.Intl.AP.725260,AIA 2,AMY2018,PA_ERIE-IAP_725260_18.epw,<1950,Natural Gas,Medium,Heated Basement,2500-3499,2+,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Uninsulated, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,65F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour18,None,Day11
40,CR03,MA_Boston-Logan.Intl.AP.725090,AIA 2,AMY2018,MA_BOSTON-LOGAN-IAP_725090_18.epw,<1950,Natural Gas,Medium,Unheated Basement,1500-2499,2+,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-7, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Electric Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,70F,90F,No,Yes,0F,3F,None,Day and Night,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",60% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour8,Hour9,None,Day7
41,CR07,NJ_Newark.Intl.AP.725020,AIA 2,AMY2018,NJ_NEWARK-IAP_725020_18.epw,<1950,Natural Gas,Low,Crawl,3500+,2+,2 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage",None,100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day88
42,CR03,CT_Bridgeport-Sikorsky.Mem.AP.725040,AIA 2,AMY2018,CT_BRIDGEPORT-SIKORSKY-MEM_725040_18.epw,1970s,Natural Gas,Medium,Heated Basement,1500-2499,1,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-49, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-7","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,65F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour13,None,Day42
43,CR03,RI_Providence-T.F.Green.State.AP.725070,AIA 2,AMY2018,RI_PROVIDENCE-GREEN-STATE-AP_725070_18.epw,<1950,Natural Gas,Low,Unheated Basement,0-1499,2+,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,67F,90F,No,Yes,0F,6F,None,Night,National Average,None,EF 10.5,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour16,None,Day89
44,CR03,CT_Bridgeport-Sikorsky.Mem.AP.725040,AIA 2,AMY2018,CT_BRIDGEPORT-SIKORSKY-MEM_725040_18.epw,1950s,Natural Gas,High,Heated Basement,2500-3499,1,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,None,None,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 120% Usage","318 Rated kWh, 120% Usage","Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour11,None,Day40
45,CR07,NY_Binghamton-Edwin.A.Link.Field.725150,AIA 1,AMY2018,NY_BINGHAMTON-EDWIN-A-LINK-FLD_725150_18.epw,1970s,Natural Gas,Low,Unheated Basement,3500+,2+,2 Car,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,70F,90F,No,Yes,0F,3F,None,Night,National Average,None,EF 10.2,"Gas, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",8 ACH50,"Year-Round, 3 days/wk",None,Hour18,Hour13,None,Day82
46,CR03,MA_Boston-Logan.Intl.AP.725090,AIA 2,AMY2018,MA_BOSTON-LOGAN-IAP_725090_18.epw,<1950,Natural Gas,Medium,Unheated Basement,1500-2499,2+,1 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Uninsulated, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,70F,90F,No,Yes,0F,6F,None,Night,National Average,None,EF 15.9,None,"318 Rated kWh, 100% Usage","EnergyStar, 100% Usage",None,100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour13,Hour8,None,Day62
47,CR07,PA_Allentown-Lehigh.Valley.Intl.AP.725170,AIA 2,AMY2018,PA_ALLENTOWN-LEHIGH-VALLEY-IAP_725170_18.epw,1990s,Natural Gas,Medium,Unheated Basement,2500-3499,1,2 Car,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-19,"Wood Stud, R-19","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,65F,90F,No,No,0F,0F,None,None,National Average,None,EF 10.5,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",7 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour15,None,Day77
48,CR03,CT_Bridgeport-Sikorsky.Mem.AP.725040,AIA 2,AMY2018,CT_BRIDGEPORT-SIKORSKY-MEM_725040_18.epw,1990s,Natural Gas,High,Heated Basement,0-1499,1,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,None,Wall R-10,None,Uninsulated,"Wood Stud, R-11","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,90F,No,Yes,0F,3F,None,Night,National Average,None,EF 10.5,"Gas, 120% Usage","290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,8 ACH50,"Year-Round, 3 days/wk",None,Hour8,Hour10,None,Day48
49,CR07,PA_Philadelphia.Intl.AP.724080,AIA 3,AMY2018,PA_PHILADELPHIA-IAP_724080_18.epw,1960s,Natural Gas,Medium,Heated Basement,1500-2499,1,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 72% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour14,None,Day87
50,CR03,CT_Bridgeport-Sikorsky.Mem.AP.725040,AIA 2,AMY2018,CT_BRIDGEPORT-SIKORSKY-MEM_725040_18.epw,2000s,Natural Gas,High,Unheated Basement,2500-3499,2+,2 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-30,"Wood Stud, R-19","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,200%,"Uninsulated, HomeRun, PEX",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,None,None,60F,90F,No,Yes,0F,3F,None,Day and Night,National Average,None,EF 15.9,"Electric, 120% Usage","318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",60% CFL,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-6",5 ACH50,"Year-Round, 3 days/wk",None,Hour12,Hour8,None,Day35
51,CR07,PA_Pittsburgh.Intl.AP.725200,AIA 2,AMY2018,PA_PITTSBURGH-IAP_725200_18.epw,<1950,Natural Gas,Low,Heated Basement,1500-2499,2+,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,65F,90F,No,Yes,0F,3F,None,Night,National Average,None,EF 10.5,"Gas, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour17,None,Day17
