Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration
271,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour14,None,5A,"MA, Essex County","CBSA Boston-Cambridge-Newton, MA-NH",MA,CR03,New England,New England,Northeast,NEISO,Cold,"MA, 00701",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,Masonry,1000-1499,0-1499,1,4,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,4,None,R-19,None,None,Composition Shingles,None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,"Room AC, EER 9.8",70F,68F,Yes,Yes,6F,2F,Night Setup -4h,Day and Night -1h,Standard Efficiency,EF 10.2,"Electric, 80% Usage",None,Yes,"Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,121%,None,"EF 12, National Average",None,None,None,None,Yes,"30% Leakage, Uninsulated",20 ACH50
272,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour13,Hour19,None,5A,"IN, Allen County",Non-CBSA East North Central,IN,CR04,East North Central,East North Central,Midwest,PJM,Cold,"IN, 01001",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,Masonry,750-999,0-1499,3,9,None,None,2,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,27,None,R-49,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,72F,Yes,No,6F,0F,None,Night -3h,None,EF 17.6,"Gas, 120% Usage",None,None,None,None,100% Incandescent,89%,None,None,None,None,None,None,No,None,20 ACH50
273,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour0,Hour12,None,5A,"OH, Franklin County",Non-CBSA East North Central,OH,CR04,East North Central,East North Central,Midwest,PJM,Cold,"OH, 04106",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Unheated Basement,Masonry,750-999,0-1499,2,8,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,27,None,R-13,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,68F,Yes,Yes,3F,2F,Day Setup -1h,Night -1h,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,None,None,None,100% LED,89%,None,None,None,None,None,None,No,None,15 ACH50
274,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour15,None,3A,"OK, Tulsa County",Non-CBSA West South Central,OK,CR09,West South Central,West South Central,South,SPP,Mixed-Humid,"OK, 01201",10 to 19 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Crawl,Masonry,500-749,0-1499,3,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,27,None,R-19,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,75F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage","290 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,104%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",40 ACH50
275,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour9,Hour1,None,3B,"CA, Orange County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,CAISO,Hot-Dry,"CA, 05914",3 or 4 Unit,1970s,1960-79,Multi-Family with 2 - 4 Units,Natural Gas,<5,Slab,Masonry,750-999,0-1499,1,4,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,27,None,R-30,None,None,Wood Shingles,Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,72F,70F,Yes,Yes,12F,5F,Day Setup +3h,Night -5h,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% CFL,102%,EF 10.5,None,None,None,None,None,Yes,"10% Leakage, R-4",15 ACH50
276,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour11,None,6A,"MN, Washington County",Non-CBSA West North Central,MN,CR02,West North Central,West North Central,Midwest,MISO,Cold,"MN, 01201",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Crawl,Masonry,0-499,0-1499,2,54,None,None,1,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-13, Vented",None,None,None,R-30,"CMU, 6-in Hollow, R-19",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,None,None,None,100% LED,86%,None,None,None,None,None,None,Yes,"20% Leakage, R-6",15 ACH50
277,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour11,None,6A,"MN, Hennepin County",Non-CBSA West North Central,MN,CR02,West North Central,West North Central,Midwest,MISO,Cold,"MN, 01407",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Crawl,WoodStud,0-499,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,75F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,None,None,None,100% Incandescent,86%,None,"EF 12, National Average",None,None,None,None,Yes,"30% Leakage, Uninsulated",15 ACH50
278,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour13,Hour19,None,4A,"NY, New York County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03805",50 or more Unit,1960s,1960-79,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Unheated Basement,Masonry,1000-1499,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,7,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,76F,75F,No,No,0F,0F,None,None,None,EF 17.6,"Gas, 120% Usage",None,None,None,None,100% CFL,89%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",25 ACH50
279,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour20,Hour18,None,2A,"FL, Manatee County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 08102",10 to 19 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,Masonry,750-999,0-1499,2,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,27,None,R-13,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,None,None,None,100% CFL,106%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",30 ACH50
280,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour17,Hour14,None,4A,"VA, Loudoun County","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",VA,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"VA, 10702",10 to 19 Unit,2000s,2000-09,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Slab,Masonry,500-749,0-1499,2,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,7,None,R-30,None,None,"Asphalt Shingles, Medium",2ft R5 Exterior,None,None,None,None,R-19,"CMU, 6-in Hollow, R-15",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,76F,Yes,Yes,6F,5F,Day and Night Setup +3h,Night +4h,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage",None,None,None,100% CFL,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",20 ACH50
281,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour6,Hour19,None,3A,"GA, Gwinnett County","CBSA Atlanta-Sandy Springs-Roswell, GA",GA,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"GA, 04001",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Crawl,Masonry,750-999,0-1499,3,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,7,None,R-19,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-19,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,60F,72F,Yes,No,6F,0F,None,Day -3h,None,EF 17.6,"Electric, 100% Usage","290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,106%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",15 ACH50
282,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour11,Hour17,None,5A,"MA, Essex County","CBSA Boston-Cambridge-Newton, MA-NH",MA,CR03,New England,New England,Northeast,NEISO,Cold,"MA, 00703",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,WoodStud,500-749,0-1499,1,3,None,None,2,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,12,None,R-30,None,None,Composition Shingles,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 10.5,"Electric, 120% Usage",None,None,None,None,100% LED,121%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",25 ACH50
283,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour12,Hour16,None,3A,"TN, Shelby County",Non-CBSA East South Central,TN,CR08,East South Central,East South Central,South,None,Mixed-Humid,"TN, 03201",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Electricity,50 or more Units high,Crawl,Masonry,500-749,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-13,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,72F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Electric, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,123%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",20 ACH50
284,Low,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour6,None,2A,"FL, Collier County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 02101",5 to 9 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,WoodStud,750-999,0-1499,3,9,None,None,2,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,12,None,R-38,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-15",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,75F,65F,No,Yes,0F,9F,Night Setback +2h,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage","318 Rated kWh, 80% Usage",Yes,"Standard, 80% Usage","Electric, 80% Usage",100% CFL,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",25 ACH50
285,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour2,None,4A,"NY, Richmond County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03903",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,WoodStud,500-749,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,27,None,R-19,None,None,Slate,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,"Room AC, EER 9.8",70F,65F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,119%,None,None,None,None,None,None,No,None,40 ACH50
286,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,Gas Lighting,National Average,None,"Year-Round, 3 days/wk",None,Hour17,Hour12,None,4A,"MO, St. Louis County",Non-CBSA West North Central,MO,CR08,West North Central,West North Central,Midwest,MISO,Mixed-Humid,"MO, 01807",3 or 4 Unit,1960s,1960-79,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,Masonry,500-749,0-1499,1,3,None,None,1,Double-Loaded Interior,No,1,Occupied,F6 B6 L6 R6,12,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,60F,72F,Yes,Yes,3F,2F,Day Setup +1h,Night +2h,Standard Efficiency,EF 10.5,"Electric, 120% Usage",None,None,None,None,100% Incandescent,97%,None,"EF 12, National Average",None,None,None,None,No,None,25 ACH50
287,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour2,Hour20,None,5A,"PA, Erie County",Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 00102",3 or 4 Unit,1970s,1960-79,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,Masonry,750-999,0-1499,1,3,None,None,2,Double-Loaded Interior,No,1,Occupied,F6 B6 L6 R6,27,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,72F,76F,Yes,No,6F,0F,None,Night +1h,None,EF 15.9,"Electric, 120% Usage",None,Yes,"Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,119%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",40 ACH50
288,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,Gas Grill,None,National Average,None,"Year-Round, 3 days/wk",None,Hour2,Hour13,None,3B,"CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,None,Hot-Dry,"CA, 03732",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units high,Crawl,WoodStud,0-499,0-1499,3,36,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Yes,Natural Gas,Natural Gas Premium,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,75F,68F,Yes,Yes,3F,2F,Night Setup +4h,Day and Night +4h,None,EF 6.7,"Gas, 100% Usage",None,None,None,None,100% CFL,93%,None,None,None,None,None,None,No,None,20 ACH50
289,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour0,Hour9,None,4A,"DC, District of Columbia","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"DC, 00105",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units low,Slab,WoodStud,1000-1499,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,27,None,R-19,None,None,"Asphalt Shingles, Medium",2ft R10 Exterior,None,None,None,None,R-19,"Wood Stud, R-15",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,68F,Yes,No,12F,0F,None,Night +3h,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,None,None,None,100% CFL,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",15 ACH50
290,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour6,Hour7,None,2A,"TX, Hidalgo County",Non-CBSA West South Central,TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 06805",3 or 4 Unit,2000s,2000-09,Multi-Family with 2 - 4 Units,Electricity,<5,Slab,WoodStud,1000-1499,0-1499,1,4,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,12,None,R-38,None,None,"Tile, Clay or Ceramic",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-19",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,76F,72F,Yes,Yes,3F,5F,Night Setback +2h,Night +2h,Standard Efficiency,EF 17.6,"Propane, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,123%,None,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, R-8",20 ACH50
291,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour11,None,5A,"MI, Oakland County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 02904",10 to 19 Unit,1970s,1960-79,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Slab,WoodStud,750-999,0-1499,3,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,4,None,R-13,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,"Room AC, EER 10.7",70F,70F,Yes,No,3F,0F,None,Night +5h,Standard Efficiency,EF 17.6,"Electric, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,89%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",20 ACH50
