Back to Contents,Data 1: Residential Propane Weekly Heating Oil and Propane Prices (October - March),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,W_EPLLPA_PRS_NUS_DPG,W_EPLLPA_PRS_R10_DPG,W_EPLLPA_PRS_R1X_DPG,W_EPLLPA_PRS_SCT_DPG,W_EPLLPA_PRS_SME_DPG,W_EPLLPA_PRS_SMA_DPG,W_EPLLPA_PRS_SNH_DPG,W_EPLLPA_PRS_SRI_DPG,W_EPLLPA_PRS_SVT_DPG,W_EPLLPA_PRS_R1Y_DPG,W_EPLLPA_PRS_SDE_DPG,W_EPLLPA_PRS_SMD_DPG,W_EPLLPA_PRS_SNJ_DPG,W_EPLLPA_PRS_SNY_DPG,W_EPLLPA_PRS_SPA_DPG,W_EPLLPA_PRS_R1Z_DPG,W_EPLLPA_PRS_SFL_DPG,W_EPLLPA_PRS_SGA_DPG,W_EPLLPA_PRS_SNC_DPG,W_EPLLPA_PRS_SVA_DPG,W_EPLLPA_PRS_R20_DPG,W_EPLLPA_PRS_SIL_DPG,W_EPLLPA_PRS_SIN_DPG,W_EPLLPA_PRS_SIA_DPG,W_EPLLPA_PRS_SKS_DPG,W_EPLLPA_PRS_SKY_DPG,W_EPLLPA_PRS_SMI_DPG,W_EPLLPA_PRS_SMN_DPG,W_EPLLPA_PRS_SMO_DPG,W_EPLLPA_PRS_SNE_DPG,W_EPLLPA_PRS_SND_DPG,W_EPLLPA_PRS_SOH_DPG,W_EPLLPA_PRS_SOK_DPG,W_EPLLPA_PRS_SSD_DPG,W_EPLLPA_PRS_STN_DPG,W_EPLLPA_PRS_SWI_DPG,W_EPLLPA_PRS_R30_DPG,W_EPLLPA_PRS_SAL_DPG,W_EPLLPA_PRS_SAR_DPG,W_EPLLPA_PRS_SMS_DPG,W_EPLLPA_PRS_STX_DPG,W_EPLLPA_PRS_R40_DPG,W_EPLLPA_PRS_SCO_DPG,W_EPLLPA_PRS_SID_DPG,W_EPLLPA_PRS_SMT_DPG,W_EPLLPA_PRS_SUT_DPG
"Dec 18, 1995",0.924,1.152,1.173,1.151,1.286,1.166,1.154,1.367,1.128,1.17,1.247,1.217,1.212,1.195,1.105,1.07,,,1.057,1.099,0.781,,0.88,0.638,,0.963,0.823,0.803,0.723,,0.698,0.892,,0.645,,0.808,,,,,,,,,,
"Jan 01, 1996",0.964,1.191,1.216,1.185,1.299,1.199,1.217,1.384,1.184,1.202,1.289,1.256,1.239,1.219,1.147,1.125,,,1.106,1.166,0.823,,0.922,0.665,,1.01,0.85,0.848,0.78,,0.744,0.917,,0.669,,0.863,,,,,,,,,,
"Jan 15, 1996",0.982,1.218,1.249,1.221,1.34,1.221,1.253,1.437,1.216,1.228,1.349,1.328,1.294,1.235,1.166,1.147,,,1.128,1.187,0.836,,0.937,0.668,,1.028,0.873,0.857,0.798,,0.758,0.958,,0.672,,0.856,,,,,,,,,,
"Feb 05, 1996",0.996,1.233,1.264,1.237,1.341,1.249,1.269,1.462,1.23,1.239,1.332,1.341,1.287,1.249,1.179,1.172,,,1.162,1.192,0.849,,0.95,0.675,,1.048,0.888,0.885,0.81,,0.77,0.971,,0.674,,0.864,,,,,,,,,,
"Feb 19, 1996",1.029,1.263,1.289,1.262,1.351,1.291,1.284,1.529,1.257,1.27,1.341,1.364,1.328,1.292,1.196,1.205,,,1.203,1.209,0.884,,1.001,0.691,,1.118,0.934,0.902,0.841,,0.778,1.026,,0.687,,0.894,,,,,,,,,,
"Mar 04, 1996",1.025,1.264,1.295,1.258,1.367,1.287,1.3,1.546,1.261,1.271,1.332,1.357,1.34,1.292,1.197,1.201,,,1.198,1.209,0.876,,0.984,0.701,,1.099,0.937,0.893,0.829,,0.766,1.009,,0.689,,0.87,,,,,,,,,,
"Mar 18, 1996",1.011,1.253,1.288,1.245,1.364,1.261,1.303,1.594,1.255,1.261,1.299,1.341,1.341,1.28,1.193,1.186,,,1.183,1.192,0.859,,0.954,0.687,,1.076,0.928,0.887,0.808,,0.743,0.985,,0.684,,0.864,,,,,,,,,,
"Oct 07, 1996",1.028,1.216,1.274,1.259,1.386,1.272,1.242,1.464,1.237,1.234,1.296,1.303,1.308,1.252,1.132,1.124,,,1.101,1.184,0.888,,0.954,0.763,,1.018,0.944,0.882,0.865,,0.763,0.976,,0.708,,0.876,,,,,,,,,,
"Oct 21, 1996",1.05,1.239,1.291,1.277,1.41,1.289,1.252,1.481,1.258,1.255,1.318,1.314,1.311,1.285,1.137,1.159,,,1.143,1.2,0.909,,0.969,0.783,,1.056,0.967,0.901,0.88,,0.809,0.999,,0.727,,0.892,,,,,,,,,,
"Oct 28, 1996",1.062,1.248,1.307,1.314,1.417,1.305,1.266,1.49,1.265,1.262,1.319,1.321,1.306,1.29,1.154,1.166,,,1.153,1.2,0.923,,0.974,0.796,,1.058,0.98,0.903,0.899,,0.816,1.004,,0.755,,0.92,,,,,,,,,,
"Nov 04, 1996",1.079,1.259,1.319,1.338,1.418,1.324,1.278,1.513,1.267,1.271,1.329,1.323,1.315,1.297,1.169,1.18,,,1.168,1.21,0.946,,0.996,0.82,,1.088,1.003,0.918,0.935,,0.841,1.03,,0.774,,0.932,,,,,,,,,,
"Nov 11, 1996",1.089,1.268,1.332,1.345,1.418,1.325,1.317,1.56,1.268,1.28,1.327,1.331,1.315,1.306,1.183,1.184,,,1.174,1.21,0.956,,1.015,0.821,,1.097,1.023,0.933,0.935,,0.847,1.034,,0.8,,0.948,,,,,,,,,,
"Nov 18, 1996",1.113,1.28,1.347,1.351,1.424,1.357,1.329,1.574,1.285,1.288,1.329,1.332,1.329,1.316,1.189,1.205,,,1.193,1.235,0.988,,1.081,0.855,,1.126,1.044,0.972,0.96,,0.869,1.055,,0.825,,0.98,,,,,,,,,,
"Nov 25, 1996",1.196,1.314,1.369,1.417,1.437,1.362,1.336,1.59,1.312,1.324,1.415,1.358,1.356,1.348,1.231,1.245,,,1.23,1.285,1.108,,1.214,1.028,,1.179,1.116,1.132,1.101,,1.016,1.121,,0.944,,1.1,,,,,,,,,,
"Dec 02, 1996",1.24,1.349,1.408,1.444,1.466,1.415,1.369,1.616,1.362,1.364,1.436,1.398,1.389,1.391,1.271,1.265,,,1.247,1.309,1.159,,1.269,1.06,,1.212,1.172,1.169,1.161,,1.09,1.16,,0.976,,1.183,,,,,,,,,,
"Dec 09, 1996",1.306,1.397,1.46,1.463,1.553,1.468,1.44,1.665,1.394,1.405,1.501,1.408,1.416,1.432,1.329,1.323,,,1.31,1.356,1.239,,1.322,1.142,,1.263,1.22,1.289,1.265,,1.189,1.214,,1.058,,1.286,,,,,,,,,,
"Dec 16, 1996",1.315,1.402,1.454,1.477,1.562,1.467,1.418,1.708,1.375,1.413,1.49,1.411,1.438,1.445,1.328,1.332,,,1.316,1.372,1.251,,1.339,1.146,,1.27,1.219,1.301,1.3,,1.181,1.25,,1.099,,1.272,,,,,,,,,,
"Dec 23, 1996",1.352,1.411,1.46,1.488,1.575,1.467,1.427,1.721,1.371,1.417,1.494,1.414,1.475,1.441,1.336,1.356,,,1.347,1.38,1.307,,1.372,1.249,,1.308,1.259,1.338,1.347,,1.28,1.259,,1.178,,1.373,,,,,,,,,,
"Dec 30, 1996",1.333,1.41,1.461,1.481,1.573,1.462,1.433,1.726,1.382,1.415,1.492,1.413,1.473,1.438,1.334,1.357,,,1.348,1.379,1.276,,1.365,1.171,,1.312,1.283,1.299,1.272,,1.275,1.25,,1.187,,1.316,,,,,,,,,,
"Jan 06, 1997",1.299,1.403,1.446,1.451,1.571,1.433,1.42,1.719,1.379,1.409,1.472,1.403,1.468,1.432,1.333,1.355,,,1.347,1.376,1.221,,1.278,1.069,,1.299,1.252,1.247,1.23,,1.197,1.219,,1.112,,1.26,,,,,,,,,,
"Jan 13, 1997",1.305,1.399,1.433,1.444,1.554,1.426,1.407,1.722,1.36,1.409,1.466,1.39,1.474,1.435,1.329,1.349,,,1.342,1.368,1.235,,1.275,1.119,,1.285,1.238,1.29,1.252,,1.194,1.212,,1.12,,1.28,,,,,,,,,,
"Jan 20, 1997",1.29,1.396,1.424,1.425,1.548,1.423,1.392,1.738,1.354,1.405,1.457,1.39,1.46,1.434,1.323,1.349,,,1.344,1.365,1.212,,1.266,1.087,,1.258,1.242,1.248,1.218,,1.193,1.182,,1.109,,1.257,,,,,,,,,,
"Jan 27, 1997",1.255,1.386,1.413,1.409,1.546,1.389,1.395,1.729,1.345,1.395,1.454,1.38,1.443,1.426,1.308,1.344,,,1.34,1.353,1.157,,1.21,0.978,,1.253,1.222,1.152,1.16,,1.129,1.154,,1.047,,1.22,,,,,,,,,,
"Feb 03, 1997",1.209,1.361,1.4,1.376,1.543,1.377,1.385,1.7,1.34,1.368,1.449,1.378,1.412,1.392,1.287,1.309,,,1.3,1.333,1.096,,1.143,0.876,,1.219,1.177,1.122,1.106,,1.035,1.112,,0.975,,1.133,,,,,,,,,,
"Feb 17, 1997",1.139,1.327,1.375,1.338,1.502,1.362,1.363,1.668,1.324,1.347,1.418,1.364,1.383,1.366,1.274,1.241,,,1.209,1.324,0.999,,1.042,0.798,,1.176,1.105,1.015,0.958,,0.892,1.043,,0.863,,1.024,,,,,,,,,,
"Mar 03, 1997",1.103,1.299,1.343,1.323,1.476,1.311,1.328,1.662,1.292,1.324,1.411,1.362,1.34,1.351,1.232,1.204,,,1.182,1.26,0.957,,0.988,0.745,,1.105,1.071,0.986,0.912,,0.827,1.017,,0.832,,0.975,,,,,,,,,,
"Mar 17, 1997",1.079,1.282,1.331,1.303,1.468,1.31,1.322,1.658,1.262,1.306,1.402,1.36,1.301,1.329,1.221,1.187,,,1.168,1.238,0.927,,0.963,0.732,,1.086,1.029,0.941,0.879,,0.784,0.991,,0.801,,0.943,,,,,,,,,,
"Oct 06, 1997",0.952,1.145,1.196,1.221,1.262,1.23,1.134,1.343,1.155,1.162,1.183,1.217,1.215,1.177,1.083,1.061,,,1.049,1.092,0.805,,0.845,0.657,,0.939,0.859,0.767,,,,0.921,,,,0.805,,,,,,,,,,
"Oct 20, 1997",0.959,1.151,1.202,1.221,1.283,1.23,1.138,1.344,1.163,1.167,1.185,1.221,1.215,1.186,1.082,1.067,,,1.056,1.094,0.814,,0.858,0.665,,0.956,0.866,0.764,,,,0.934,,,,0.817,,,,,,,,,,
"Nov 03, 1997",0.969,1.158,1.211,1.227,1.284,1.254,1.149,1.344,1.165,1.171,1.199,1.226,1.224,1.188,1.09,1.08,,,1.07,1.106,0.825,,0.883,0.677,,0.968,0.88,0.772,,,,0.952,,,,0.819,,,,,,,,,,
"Nov 17, 1997",0.973,1.162,1.212,1.22,1.285,1.261,1.15,1.331,1.165,1.176,1.222,1.227,1.235,1.188,1.104,1.083,,,1.072,1.11,0.83,,0.885,0.68,,0.991,0.887,0.779,,,,0.954,,,,0.82,,,,,,,,,,
"Dec 01, 1997",0.977,1.163,1.211,1.226,1.284,1.259,1.155,1.323,1.157,1.178,1.23,1.229,1.227,1.188,1.11,1.087,,,1.077,1.113,0.835,,0.897,0.679,,0.997,0.887,0.785,,,,0.954,,,,0.835,,,,,,,,,,
"Dec 15, 1997",0.979,1.17,1.215,1.229,1.29,1.267,1.158,1.315,1.156,1.187,1.249,1.229,1.242,1.195,1.125,1.091,,,1.082,1.115,0.834,,0.899,0.679,,0.992,0.886,0.783,,,,0.959,,,,0.826,,,,,,,,,,
"Jan 05, 1998",0.982,1.172,1.217,1.228,1.295,1.266,1.158,1.325,1.162,1.19,1.252,1.24,1.231,1.199,1.128,1.092,,,1.083,1.114,0.838,,0.903,0.677,,0.998,0.894,0.787,0.805,,0.701,0.965,,0.71,,0.823,,,,,,,,,,
"Jan 19, 1998",0.98,1.169,1.211,1.218,1.301,1.257,1.158,1.326,1.149,1.187,1.259,1.23,1.222,1.199,1.122,1.089,,,1.083,1.106,0.836,,0.907,0.673,,1,0.895,0.788,0.798,,0.701,0.958,,0.705,,0.825,,,,,,,,,,
"Feb 02, 1998",0.977,1.166,1.206,1.216,1.301,1.248,1.158,1.335,1.135,1.187,1.258,1.229,1.229,1.2,1.118,1.083,,,1.076,1.103,0.833,,0.902,0.673,,0.996,0.895,0.775,0.798,,0.699,0.954,,0.707,,0.82,,,,,,,,,,
"Feb 16, 1998",0.971,1.162,1.2,1.211,1.294,1.231,1.158,1.333,1.133,1.184,1.252,1.228,1.214,1.199,1.113,1.078,,,1.076,1.082,0.825,,0.898,0.664,,0.995,0.881,0.773,0.782,,0.701,0.951,,0.707,,0.809,,,,,,,,,,
"Mar 02, 1998",0.964,1.157,1.191,1.207,1.286,1.213,1.153,1.323,1.127,1.178,1.234,1.228,1.212,1.191,1.11,1.076,,,1.074,1.081,0.818,,0.892,0.656,,0.987,0.879,0.769,0.774,,0.695,0.934,,0.697,,0.805,,,,,,,,,,
"Mar 16, 1998",0.957,1.15,1.185,1.206,1.286,1.204,1.146,1.314,1.116,1.174,1.234,1.223,1.206,1.186,1.107,1.064,,,1.061,1.072,0.81,,0.886,0.649,,0.971,0.873,0.77,0.765,,0.684,0.918,,0.688,,0.797,,,,,,,,,,
"Oct 05, 1998",0.871,1.072,1.127,1.107,1.193,1.177,1.096,1.243,1.065,1.08,1.157,1.156,1.184,1.083,0.994,0.999,,,0.991,1.017,0.719,,0.777,0.555,,0.89,0.797,0.668,0.679,,0.544,0.851,,0.571,,0.715,,,,,,,,,,
"Oct 19, 1998",0.873,1.073,1.127,1.107,1.184,1.177,1.096,1.243,1.074,1.083,1.154,1.159,1.185,1.086,0.998,0.996,,,0.986,1.019,0.721,,0.783,0.562,,0.896,0.797,0.67,0.685,,0.545,0.847,,0.576,,0.713,,,,,,,,,,
"Nov 02, 1998",0.874,1.069,1.123,1.104,1.195,1.164,1.087,1.219,1.072,1.087,1.159,1.168,1.184,1.09,1.001,0.974,,,0.953,1.026,0.726,,0.79,0.565,,0.911,0.796,0.672,0.693,,0.56,0.854,,0.576,,0.715,,,,,,,,,,
"Nov 16, 1998",0.877,1.07,1.119,1.112,1.162,1.169,1.087,1.268,1.069,1.089,1.165,1.166,1.185,1.091,1.007,0.979,,,0.963,1.019,0.732,,0.798,0.562,,0.919,0.802,0.676,0.695,,0.581,0.871,,0.577,,0.717,,,,,,,,,,
"Dec 07, 1998",0.879,1.072,1.12,1.11,1.156,1.171,1.091,1.196,1.076,1.091,1.165,1.164,1.175,1.097,1.008,0.98,,,0.965,1.017,0.732,,0.807,0.561,,0.914,0.799,0.686,0.696,,0.582,0.869,,0.573,,0.717,,,,,,,,,,
"Dec 21, 1998",0.88,1.068,1.119,1.101,1.153,1.181,1.091,1.233,1.066,1.086,1.162,1.132,1.159,1.096,1.007,0.979,,,0.963,1.018,0.738,,0.811,0.567,,0.921,0.805,0.692,0.706,,0.594,0.865,,0.587,,0.72,,,,,,,,,,
"Jan 04, 1999",0.883,1.067,1.118,1.102,1.148,1.181,1.092,1.206,1.067,1.084,1.175,1.132,1.183,1.088,1.009,0.978,,,0.962,1.019,0.743,,0.819,0.57,,0.926,0.814,0.691,0.707,,0.595,0.878,,0.596,,0.723,,,,,,,,,,
"Jan 18, 1999",0.891,1.072,1.114,1.097,1.142,1.179,1.091,1.175,1.064,1.09,1.19,1.17,1.168,1.09,1.016,0.988,,,0.974,1.02,0.754,,0.847,0.582,,0.925,0.824,0.703,0.718,,0.617,0.888,,0.59,,0.729,,,,,,,,,,
"Feb 01, 1999",0.892,1.075,1.116,1.099,1.142,1.178,1.094,1.178,1.066,1.095,1.193,1.17,1.184,1.097,1.014,0.989,,,0.976,1.021,0.753,,0.849,0.578,,0.924,0.824,0.702,0.714,,0.616,0.886,,0.59,,0.735,,,,,,,,,,
"Feb 15, 1999",0.89,1.074,1.119,1.102,1.142,1.179,1.101,1.178,1.067,1.091,1.19,1.17,1.173,1.092,1.011,0.991,,,0.979,1.021,0.752,,0.851,0.577,,0.919,0.824,0.698,0.707,,0.62,0.884,,0.59,,0.736,,,,,,,,,,
"Mar 01, 1999",0.891,1.075,1.118,1.098,1.142,1.179,1.101,1.178,1.07,1.092,1.193,1.172,1.16,1.096,1.011,0.992,,,0.981,1.021,0.751,,0.848,0.574,,0.922,0.824,0.702,0.709,,0.62,0.884,,0.588,,0.733,,,,,,,,,,
"Mar 15, 1999",0.889,1.075,1.119,1.102,1.142,1.178,1.099,1.184,1.07,1.091,1.194,1.172,1.165,1.093,1.01,0.994,,,0.983,1.021,0.749,,0.843,0.573,,0.927,0.823,0.701,0.703,,0.615,0.877,,0.588,,0.734,,,,,,,,,,
"Oct 04, 1999",0.953,1.128,1.155,1.195,1.191,1.169,1.124,1.319,1.112,1.144,1.253,1.222,1.28,1.145,1.047,1.066,,,1.054,1.095,0.82,,0.861,0.672,,1.005,0.88,0.808,0.764,,0.724,0.926,,0.696,,0.809,,,,,,,,,,
"Oct 18, 1999",0.967,1.146,1.174,1.197,1.224,1.178,1.151,1.356,1.124,1.164,1.268,1.246,1.292,1.17,1.056,1.076,,,1.065,1.102,0.834,,0.883,0.682,,1.018,0.901,0.822,0.793,,0.742,0.92,,0.713,,0.807,,,,,,,,,,
"Nov 01, 1999",0.978,1.159,1.189,1.202,1.225,1.192,1.164,1.384,1.164,1.177,1.279,1.25,1.328,1.177,1.078,1.087,,,1.078,1.109,0.843,,0.886,0.677,,1.04,0.907,0.827,0.803,,0.759,0.945,,0.714,,0.817,,,,,,,,,,
"Nov 15, 1999",0.984,1.166,1.2,1.212,1.221,1.207,1.186,1.41,1.172,1.178,1.283,1.249,1.337,1.18,1.071,1.106,,,1.104,1.113,0.847,,0.886,0.681,,1.04,0.913,0.829,0.804,,0.758,0.957,,0.721,,0.823,,,,,,,,,,
"Dec 06, 1999",0.996,1.181,1.213,1.219,1.217,1.217,1.219,1.404,1.179,1.196,1.286,1.267,1.367,1.206,1.074,1.114,,,1.108,1.13,0.857,,0.898,0.688,,1.059,0.929,0.832,0.82,,0.76,0.963,,0.732,,0.833,,,,,,,,,,
"Dec 20, 1999",1.007,1.189,1.221,1.217,1.216,1.239,1.226,1.47,1.184,1.204,1.287,1.273,1.376,1.216,1.077,1.125,,,1.111,1.161,0.87,,0.913,0.707,,1.082,0.935,0.832,0.845,,0.772,0.972,,0.735,,0.84,,,,,,,,,,
"Jan 03, 2000",1.014,1.201,1.228,1.225,1.214,1.238,1.234,1.522,1.2,1.219,1.296,1.286,1.387,1.229,1.097,1.133,,,1.122,1.159,0.874,,0.923,0.702,,1.097,0.946,0.833,0.852,,0.774,0.977,,0.731,,0.835,,,,,,,,,,
"Jan 17, 2000",1.03,1.225,1.246,1.249,1.227,1.243,1.251,1.573,1.232,1.246,1.35,1.35,1.411,1.247,1.128,1.156,,,1.144,1.186,0.883,,0.923,0.706,,1.119,0.963,0.839,0.842,,0.775,1.012,,0.734,,0.849,,,,,,,,,,
"Jan 24, 2000",1.11,1.318,1.326,1.347,1.34,1.306,1.315,1.777,1.299,1.328,1.456,1.416,1.499,1.325,1.223,1.28,,,1.26,1.317,0.961,,1.015,0.753,,1.218,1.057,0.902,0.92,,0.795,1.123,,0.778,,0.913,,,,,,,,,,
"Jan 31, 2000",1.165,1.386,1.393,1.411,1.377,1.376,1.4,1.775,1.369,1.399,1.464,1.467,1.635,1.396,1.289,1.35,,,1.346,1.361,0.999,,1.084,0.778,,1.302,1.136,0.918,0.959,,0.825,1.126,,0.803,,0.931,,,,,,,,,,
"Feb 07, 2000",1.2,1.429,1.447,1.469,1.435,1.453,1.474,1.83,1.365,1.434,1.491,1.5,1.676,1.439,1.303,1.4,,,1.392,1.42,1.029,,1.104,0.814,,1.334,1.16,0.938,0.984,,0.827,1.209,,0.812,,0.954,,,,,,,,,,
"Feb 14, 2000",1.222,1.444,1.455,1.468,1.45,1.471,1.478,1.888,1.37,1.451,1.549,1.513,1.707,1.453,1.32,1.418,,,1.399,1.467,1.054,,1.151,0.825,,1.341,1.191,0.964,1.017,,0.841,1.243,,0.82,,0.972,,,,,,,,,,
"Feb 21, 2000",1.23,1.445,1.451,1.458,1.446,1.481,1.444,1.869,1.402,1.457,1.56,1.505,1.694,1.458,1.336,1.41,,,1.389,1.463,1.069,,1.159,0.833,,1.346,1.214,0.994,1.025,,0.855,1.244,,0.856,,0.995,,,,,,,,,,
"Feb 28, 2000",1.227,1.435,1.457,1.453,1.445,1.479,1.46,1.893,1.412,1.457,1.544,1.5,1.709,1.466,1.321,1.361,,,1.345,1.402,1.071,,1.156,0.841,,1.337,1.219,0.996,1.029,,0.859,1.247,,0.858,,0.994,,,,,,,,,,
"Mar 06, 2000",1.214,1.412,1.453,1.456,1.427,1.486,1.466,1.855,1.396,1.424,1.53,1.497,1.707,1.408,1.315,1.346,,,1.324,1.403,1.066,,1.137,0.846,,1.312,1.209,1.006,1.024,,0.86,1.236,,0.862,,0.992,,,,,,,,,,
"Mar 13, 2000",1.214,1.409,1.448,1.449,1.421,1.48,1.453,1.842,1.404,1.427,1.491,1.48,1.69,1.422,1.315,1.329,,,1.303,1.393,1.067,,1.132,0.853,,1.315,1.208,1.006,1.027,,0.874,1.24,,0.869,,0.987,,,,,,,,,,
"Mar 20, 2000",1.199,1.392,1.432,1.431,1.421,1.455,1.429,1.84,1.395,1.412,1.484,1.471,1.683,1.414,1.281,1.306,,,1.284,1.363,1.054,,1.09,0.852,,1.301,1.192,0.997,1.015,,0.873,1.226,,0.858,,0.982,,,,,,,,,,
"Oct 02, 2000",1.272,1.438,1.468,1.508,1.478,1.451,1.427,1.695,1.49,1.457,1.501,1.524,1.633,1.468,1.337,1.365,,,1.336,1.433,1.144,,1.127,0.984,,1.289,1.216,1.134,1.132,,1.028,1.254,,1.027,,1.159,,,,,,,,,,
"Oct 09, 2000",1.274,1.439,1.465,1.506,1.48,1.438,1.427,1.697,1.486,1.46,1.503,1.529,1.643,1.471,1.335,1.366,,,1.335,1.44,1.148,,1.135,0.989,,1.299,1.217,1.138,1.133,,1.027,1.257,,1.025,,1.156,,,,,,,,,,
"Oct 16, 2000",1.284,1.453,1.472,1.517,1.482,1.446,1.421,1.713,1.515,1.474,1.52,1.551,1.643,1.483,1.354,1.385,,,1.356,1.455,1.157,,1.142,0.99,,1.334,1.221,1.148,1.138,,1.025,1.286,,1.021,,1.163,,,,,,,,,,
"Oct 23, 2000",1.288,1.457,1.478,1.538,1.477,1.446,1.43,1.735,1.518,1.479,1.517,1.56,1.639,1.491,1.357,1.386,,,1.36,1.446,1.16,,1.157,0.987,,1.337,1.226,1.14,1.153,,1.023,1.291,,1.003,,1.16,,,,,,,,,,
"Oct 30, 2000",1.288,1.459,1.475,1.534,1.459,1.444,1.432,1.76,1.521,1.483,1.517,1.572,1.633,1.498,1.358,1.387,,,1.359,1.453,1.16,,1.165,0.981,,1.344,1.228,1.135,1.144,,1.021,1.299,,1.021,,1.156,,,,,,,,,,
"Nov 06, 2000",1.285,1.46,1.48,1.54,1.459,1.454,1.434,1.752,1.527,1.486,1.515,1.561,1.641,1.503,1.359,1.38,,,1.348,1.455,1.154,,1.157,0.983,,1.341,1.219,1.129,1.128,,1.019,1.294,,1.02,,1.158,,,,,,,,,,
"Nov 13, 2000",1.285,1.459,1.488,1.532,1.462,1.443,1.463,1.78,1.538,1.48,1.514,1.558,1.625,1.497,1.36,1.382,,,1.349,1.459,1.154,,1.166,0.983,,1.346,1.22,1.122,1.13,,1.017,1.286,,1.015,,1.154,,,,,,,,,,
"Nov 20, 2000",1.292,1.467,1.494,1.525,1.473,1.451,1.466,1.78,1.552,1.486,1.518,1.57,1.649,1.498,1.367,1.396,,,1.367,1.464,1.161,,1.172,0.979,,1.357,1.227,1.147,1.132,,1.02,1.293,,1.018,,1.165,,,,,,,,,,
"Nov 27, 2000",1.296,1.469,1.496,1.532,1.47,1.458,1.465,1.78,1.559,1.488,1.532,1.568,1.657,1.499,1.369,1.401,,,1.372,1.468,1.165,,1.196,0.98,,1.362,1.237,1.147,1.126,,1.034,1.297,,1.016,,1.166,,,,,,,,,,
"Dec 04, 2000",1.299,1.473,1.496,1.531,1.47,1.45,1.47,1.762,1.558,1.495,1.547,1.572,1.665,1.507,1.373,1.4,,,1.369,1.473,1.168,,1.203,0.976,,1.379,1.242,1.146,1.127,,1.024,1.299,,1.018,,1.167,,,,,,,,,,
"Dec 11, 2000",1.356,1.522,1.527,1.561,1.492,1.493,1.494,1.837,1.592,1.543,1.592,1.612,1.712,1.561,1.416,1.467,,,1.445,1.52,1.231,,1.29,1.012,,1.436,1.287,1.221,1.199,,1.068,1.368,,1.052,,1.251,,,,,,,,,,
"Dec 18, 2000",1.403,1.567,1.562,1.611,1.548,1.542,1.5,1.84,1.63,1.581,1.62,1.63,1.747,1.603,1.451,1.542,,,1.527,1.579,1.279,,1.352,1.062,,1.479,1.34,1.275,1.23,,1.136,1.399,,1.118,,1.299,,,,,,,,,,
"Dec 25, 2000",1.538,1.659,1.628,1.655,1.589,1.593,1.586,1.872,1.723,1.642,1.763,1.748,1.777,1.648,1.525,1.727,,,1.743,1.688,1.446,,1.528,1.244,,1.607,1.495,1.414,1.457,,1.31,1.578,,1.228,,1.437,,,,,,,,,,
"Jan 01, 2001",1.616,1.754,1.689,1.732,1.645,1.664,1.654,1.931,1.757,1.723,1.836,1.864,1.862,1.726,1.595,1.89,,,1.905,1.854,1.511,,1.62,1.266,,1.76,1.575,1.458,1.493,,1.386,1.673,,1.288,,1.484,,,,,,,,,,
"Jan 08, 2001",1.644,1.8,1.725,1.74,1.692,1.7,1.714,1.905,1.775,1.75,1.912,1.879,1.917,1.723,1.678,1.988,,,2.025,1.899,1.526,,1.613,1.254,,1.722,1.621,1.451,1.555,,1.392,1.703,,1.269,,1.5,,,,,,,,,,
"Jan 15, 2001",1.702,1.862,1.747,1.764,1.735,1.725,1.734,1.952,1.772,1.781,1.939,1.905,1.959,1.76,1.695,2.159,,,2.221,2.012,1.581,,1.637,1.284,,1.752,1.782,1.517,1.576,,1.412,1.772,,1.318,,1.539,,,,,,,,,,
"Jan 22, 2001",1.693,1.858,1.752,1.765,1.727,1.73,1.733,2.005,1.794,1.79,1.939,1.921,1.982,1.768,1.701,2.115,,,2.163,2.001,1.568,,1.637,1.264,,1.728,1.803,1.485,1.533,,1.411,1.782,,1.331,,1.513,,,,,,,,,,
"Jan 29, 2001",1.663,1.824,1.739,1.761,1.704,1.7,1.733,2.007,1.783,1.78,1.927,1.919,1.985,1.757,1.685,2.007,,,2.033,1.948,1.542,,1.584,1.225,,1.752,1.781,1.476,1.475,,1.386,1.774,,1.291,,1.503,,,,,,,,,,
"Feb 05, 2001",1.611,1.753,1.724,1.734,1.682,1.7,1.717,2.007,1.77,1.734,1.85,1.912,1.88,1.709,1.649,1.825,,,1.805,1.874,1.505,,1.546,1.182,,1.757,1.726,1.437,1.428,,1.36,1.717,,1.27,,1.487,,,,,,,,,,
"Feb 12, 2001",1.568,1.715,1.7,1.717,1.661,1.652,1.698,1.979,1.755,1.712,1.793,1.866,1.851,1.69,1.637,1.735,,,1.703,1.812,1.458,,1.466,1.159,,1.702,1.659,1.428,1.377,,1.308,1.651,,1.264,,1.447,,,,,,,,,,
"Feb 19, 2001",1.538,1.685,1.687,1.704,1.643,1.648,1.688,1.951,1.733,1.697,1.736,1.849,1.846,1.681,1.614,1.656,,,1.613,1.759,1.428,,1.425,1.14,,1.644,1.618,1.419,1.342,,1.282,1.606,,1.265,,1.431,,,,,,,,,,
"Feb 26, 2001",1.507,1.661,1.676,1.682,1.624,1.651,1.68,1.944,1.716,1.67,1.717,1.847,1.841,1.65,1.575,1.625,,,1.58,1.73,1.391,,1.361,1.101,,1.599,1.583,1.388,1.317,,1.271,1.556,,1.204,,1.42,,,,,,,,,,
