Parameter,Number of options,Number of dependencies,Created by,Description,Source,Assumption
HVAC Cooling Partial Space Conditioning,8.0,4.0,sources\recs\recs2009\tsv_maker.py,The fraction of the finished floor area that the cooling system provides cooling.,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,"Central AC systems need to serve at least 60 percent of the floor area.; Heat pumps serve 100 percent of the floor area because the system serves 100 percent of the heated floor area.; Due to low sample count, the tsv is constructed by downscaling a core sub-tsv with 3 sub-tsvs of different dependencies. The sub-tsvs have the following dependencies: tsv1 : 'HVAC Cooling Type', 'ASHRAE IECC Climate Zone 2004'; tsv2 : 'HVAC Cooling Type', 'Geometry Floor Area Bin'; tsv3 : 'HVAC Cooling Type', 'Geometry Building Type RECS';"
HVAC Cooling Type,6.0,4.0,sources\recs\recs2020\tsv_maker.py and sources\aris\tsv_maker.py,The presence and type of primary cooling system in the dwelling unit.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.; Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.,"Due to low sample sizes, fallback rules applied with lumping of; 1) HVAC Heating type: Non-ducted heating and None2) Geometry building SF: Mobile, Single family attached, Single family detached3) Geometry building MF: Multi-Family with 2 - 4 Units, Multi-Family with 5+ Units4) Vintage Lump: 20yrs binsHomes having ducted heat pump for heating and electricity fuel is assumed to haveducted heat pump for cooling (seperating from central AC category); Homes having non-ducted heat pump for heating is assumed to have non-ducted heat pumpfor cooling; For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.; For Alaska, we are not modelling any central and room AC.; For Alaska, cooling systems are never shared."
HVAC Has Ducts,3.0,4.0,sources\recs\recs2020\tsv_maker.py,The presence of ducts in the dwelling unit.,The sample counts and sample weights are constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Ducted Heat Pump HVAC type assumed to have ducts; Non-Ducted Heat Pump HVAC type assumed to have no ducts; There are likely homes with non-ducted heat pump having ducts (Central AC with non-ducted HP) But due to structure of ResStock we are not accounting those homes; Evaporative or Swamp Cooler assigned Void option; None of the shared system options currently modeled (in HVAC Shared Efficiencies) are ducted, therefore where there are discrepancies between HVAC Heating Type, HVAC Cooling Type, and HVAC Has Shared System, HVAC Has Shared System takes precedence. (e.g., Central AC + Ducted Heating + Shared Heating and Cooling = No (Ducts)) (This is a temporary fix and will change when ducted shared system options are introduced.)"
HVAC Has Shared System,5.0,4.0,sources\recs\recs2020\tsv_maker.py,The presence of an HVAC system shared between multiple dwelling units.,The sample counts and sample weights are constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Due to low sample sizes, the fallback rules are applied in following order; [1] Vintage: Vintage ACS 20 year bin[2] HVAC Cooling Type: Lump 1) Central AC and Ducted Heat Pump and 2) Non-Ducted Heat Pump and None[3] HVAC Heating Type: Lump 1) Ducted Heating and Ducted Heat Pump and 2) Non-Ducted Heat Pump and None[4] HVAC Cooling Type: Lump 1) Central AC and Ducted Heat Pump and 2) Non-Ducted Heat Pump, Non-Ducted Heating, and None[5] HVAC Heating Type: Lump 1) Ducted Heating and Ducted Heat Pump and 2) Non-Ducted Heat Pump, None, and Room AC[6] Vintage: Vintage pre 1960s and post 2000[7] Vintage: All vintages; Evaporative or Swamp Cooler Cooling Type assigned Void option; Ducted Heat Pump assigned for both heating and cooling, other combinations assigned Void option; Non-Ducted Heat Pump assigned for both heating and cooling, other combinations assigned Void option"
HVAC Has Zonal Electric Heating,2.0,1.0,manually created,Presence of electric baseboard heating,n/a,
HVAC Heating Autosizing Factor,2.0,2.0,manually created,The heating airflow and capacity scaling factor applied to the auto-sizing methodology (not used in project_national).,Engineering Judgment,HVAC sizing follows ACCA Manual J and Manual S. There is no additional oversizing or undersizing the airflow and capacity of the HVAC system.
HVAC Heating Efficiency,21.0,5.0,sources\recs\recs2020\tsv_maker.py and sources\aris\tsv_maker.py,The presence and efficiency of the primary heating system in the dwelling unit.,The sample counts and sample weights are constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.; Shipment data based on CAC-ASHP-shipments-table.tsv and furnace-shipments-table.tsv; Efficiency data based on expanded_HESC_HVAC_efficiencies.tsv combined with age of equipment data from RECS; Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.,"Check the assumptions on the source tsv files.; If a house has a wall furnace with fuel other than natural_gas, efficiency level based on natural_gas from expanded_HESC_HVAC_efficiencies.tsv is assigned.; If a house has a heat pump with fuel other than electricity (presumed dual-fuel heat pump), the heating type is assumed to be furnace and not heat pump.; The shipment volume for boiler was not available, so shipment volume for furnace in furnace-shipments-table.tsv was used instead.; Due to low sample size for some categories, the HVAC Has Shared System categories 'Cooling Only' and 'None' are combined for the purpose of querying Heating Efficiency distributions.; For 'other' heating system types, we assign them to Electric Baseboard if fuel is Electric, and assign them to Wall/Floor Furnace if fuel is natural_gas, fuel_oil or propane.; For Other Fuel and Wood, the lowest efficiency systems are assumed.; For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.; For Alaska, electric space heaters are modelled as electric baseboards.; For Alaska, Toyo/monitor direct-vent devices and other fuel space heaters are not modeled.; For Alaska, fireplace and stoves are not modeled.; For Alaska, heat pumps are assumed to be non-ducted air source heat pumps."
HVAC Heating Type,5.0,4.0,sources\recs\recs2020\tsv_maker.py and sources\aris\tsv_maker.py,The presence and type of the primary heating system in the dwelling unit.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.; Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.,"Due to low sample sizes, fallback rules applied with lumping of; 1) Heating fuel lump: Fuel oil, Propane, Wood and Other Fuel2) Geometry building SF: Mobile, Single family attached, Single family detached3) Geometry building MF: Multi-Family with 2 - 4 Units, Multi-Family with 5+ Units4) Vintage Lump: 20yrs bins; For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types."
HVAC Heating Type And Fuel,25.0,2.0,sources\recs\recs2020\tsv_maker.py,"The presence, type, and fuel of primary heating system.",Calculated directly from other distributions,
HVAC Secondary Heating Efficiency,10.0,4.0,sources\aris\tsv_maker.py,The efficiency and type of the heating system.,Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.,"For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.; For Alaska, electric space heaters are modelled as electric baseboards.; For Alaska, Toyo/monitor direct-vent devices and other fuel space heaters are not modeled.; For Alaska, fireplace and stoves are not modeled.; For Alaska, heat pumps are assumed to be non-ducted air source heat pumps."
HVAC Secondary Heating Fuel,7.0,3.0,sources\aris\tsv_maker.py,Secondary Heating Fuel for the dwelling unit,Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.,"For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.; For Alaska, all wood is modelled as cord wood.; For Alaska, when heating uses more than one fuels, the fuel with highest consumption is considered the primary (heating) fuel, and fuel with second highest usage (provided it is at least 10% of total energy use across all fuels) is considered secondary (heating) fuel - except in case of electric heating, which is always assumed as primary. Rest of the fuels are ignored."
HVAC Secondary Heating Partial Space Conditioning,7.0,4.0,sources\aris\tsv_maker.py,The fraction of heating load served by secondary heating system,Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.,"For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.; For Alaska, the fraction of the load served by the secondary heating system is calculated as the ratio of annual energy used by secondary fuel and annual energy used by secondary and primary fuel."
HVAC Secondary Heating Type,3.0,4.0,sources\aris\tsv_maker.py,The efficiency and type of the heating system.,Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.,"For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.; For Alaska, all heat pumps are assumed to be non-ducted mini-splits."
HVAC Shared Efficiencies,7.0,2.0,sources\recs\recs2020\tsv_maker.py,The presence and efficiency of the shared HVAC system.,The sample counts and sample weights are constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,Assume that all Heating and Cooling shared systems are fan coils in each dwelling unit served by a central chiller and boiler.; Assume all Heating Only shared systems are hot water baseboards in each dwelling unit served by a central boiler.; Assume all Cooling Only shared systems are fan coils in each dwelling unit served by a central chiller.
HVAC System Is Faulted,2.0,0.0,manually created,The presence of the HVAC system having a fault (not used in project_national).,Assuming no faults until we have data necessary to characterize all types of ACs and heat pumps (https://github.com/NREL/resstock/issues/733).,
HVAC System Is Scaled,2.0,0.0,manually created,Whether the HVAC system has been undersized or oversized (not used in project_national).,Assuming no oversizing or undersizing until we have data necessary to characterize all types of systems.,
HVAC System Single Speed AC Airflow,13.0,2.0,manually created,Single speed central and room air conditioner actual air flow rates.,Winkler et al. 'Impact of installation faults in air conditioners and heat pumps in single-family homes on US energy usage' 2020,
HVAC System Single Speed AC Charge,8.0,2.0,manually created,Central and room air conditioner deviation between design/installed charge.,Winkler et al. 'Impact of installation faults in air conditioners and heat pumps in single-family homes on US energy usage' 2020,
HVAC System Single Speed ASHP Airflow,13.0,2.0,manually created,Single speed air source heat pump actual air flow rates.,Winkler et al. 'Impact of installation faults in air conditioners and heat pumps in single-family homes on US energy usage' 2020,
HVAC System Single Speed ASHP Charge,8.0,2.0,manually created,Air source heat pump deviation between design/installed charge.,Winkler et al. 'Impact of installation faults in air conditioners and heat pumps in single-family homes on US energy usage' 2020,
Has PV,2.0,3.0,sources\dpv\tsv_maker.py,The dwelling unit has a rooftop photovoltaic system.,"ACS population and RiDER data on PV installation that combines LBNL's 2020 Tracking the Sun and Wood Mackenzie's 2020 Q4 PV report (prepared by Nicholas.Willems@nrel.gov on Jun 22, 2021)","Imposed an upperbound of 14 kWDC, which contains 95pct of all installations. Counties with source_count<10 are backfilled with aggregates at the State level. Distribution based on all installations is applied only to occupied SFD, actual distribution for SFD may be higher.; PV is not modeled in AK and HI. No data has been identified."
Heating Fuel,7.0,3.0,sources\pums\pums2019_5yrs\tsv_maker.py and sources\aris\tsv_maker.py,The primary fuel used for heating the dwelling unit.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.; Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.","In ACS, Heating Fuel is reported for occupied units only. By excluding Vacancy Status as adependency, we assume vacant units share the same Heating Fuel distribution as occupied units. Where sample counts are less than 10, the State average distribution has been inserted. Prior to insertion, the following adjustments have been made to the state distribution so all rows have sample count > 10: 1. Where sample counts < 10 (which consists of Mobile Home and Single-Family Attached only), the Vintage ACS distribution is used instead of Vintage: [CT, DE, ID, MD, ME, MT, ND, NE, NH, NV, RI, SD, UT, VT, WY]; 2. Remaining Mobile Homes < 10 are replaced by Single-Family Detached + Mobile Homes combined: [DE, RI, SD, VT, WY, and all DC].; For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.; For Alaska, all wood is modelled as cord wood.; For Alaska, when heating uses more than one fuels, the fuel with highest consumption is considered the primary (heating) fuel, and fuel with second highest usage (provided it is at least 10% of total energy use across all fuels) is considered secondary (heating) fuel - except in case of electric heating, which is always assumed as primary. Rest of the fuels are ignored."
Heating Setpoint,12.0,5.0,sources\recs\recs2020\tsv_maker.py,Baseline heating setpoint with no offset applied.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping buildings into Single-Family and Multi-Family only and lumping nearby climate zones within  A/B regions and separately 7AK and 8AK 3) lumping all building types together and lumping climate zones within A/B regions and separately 7AK and 8AK; Heating type dependency is always lumped into Heat pump / Non-heat pumps; For vacant units (for which Tenure = 'Not Available'), the heating setpoint is set to 55F"
Heating Setpoint Has Offset,2.0,3.0,sources\recs\recs2020\tsv_maker.py,Presence of a heating setpoint offset.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only, 2) lumping all building types together"
Heating Setpoint Offset Magnitude,4.0,4.0,sources\recs\recs2020\tsv_maker.py,Magnitude of the heating setpoint offset.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping buildings into Single-Family and Multi-Family only and lumping nearby climate zones within  A/B regions and separately 7AK and 8AK 3) lumping all building types together and lumping climate zones within A/B regions and separately 7AK and 8AK"
Heating Setpoint Offset Period,34.0,4.0,sources\recs\recs2020\tsv_maker.py,The period and offset for the dwelling unit's heating setpoint. Default for the day is from 9am to 5pm and for the night is 10pm to 7am.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping buildings into Single-Family and Multi-Family only and lumping nearby climate zones within  A/B regions and separately 7AK and 8AK 3) lumping all building types together and lumping climate zones within A/B regions and separately 7AK and 8AK"
Heating Unavailable Days,8.0,3.0,sources\recs\recs2020\tsv_maker.py,Number of days in a year the heating system is unavailable,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Where samples are less than 10, the data is aggregated in the following order until there are no rows with less than 10 samples:; 1. The Federal Poverty Level dependency is aggregated every 100%; 2. The Federal Poverty Level dependency is aggregated every 200%; 3. The Geometry Building Type RECS dependency is aggregated into SF, MF, and MH bins.; 4. The Cooling Unavailable Days dependency is aggregated into Days, Weeks, Month, and All Year bins.; 5. The Cooling Unavailable Days dependancy is removed."
Holiday Lighting,1.0,0.0,manually created,Use of holiday lighting (not used in project_national).,Not applicable (holiday lighting is not currently modeled separate from other exterior lighting),
Hot Water Distribution,1.0,0.0,manually created,Hot water piping material and insulation level.,Engineering Judgement,
Hot Water Fixtures,16.0,1.0,sources\other\tsv_maker.py,Hot water fixture usage and flow levels.,"Field data from a demand management program with 1700 residential electric resistance water heaters in the Northeast U.S., mean-shifted from 0.8 to 1 average usage.","Low, Medium, and High usage is assigned based on the lower 25th percent, middle 50th percent, and upper 25th percent."
Household Has Tribal Persons,3.0,3.0,sources\pums\pums2019_5yrs\tsv_maker.py,The houshold occupying the dwelling unit has at least one tribal person in the household.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.",2188 / 2336 PUMA has <10 samples and are falling back to state level aggregated values.DC Mobile Homes do not exist and are replaced with Single-Family Detached.
ISO RTO Region,8.0,1.0,sources\spatial\tsv_maker.py,The independent system operator or regional transmission organization region that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.; ISO and RTO regions are from EIA Form 861.",
Income,20.0,4.0,sources\pums\pums2019_5yrs\tsv_maker.py,Income of the household occupying the dwelling unit.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.","In ACS, Income and Tenure are reported for occupied units only. Because we assume vacant units share the same Tenure distribution as occupied units, by extension, we assume this Income distribution applies to all units regardless of Vacancy Status. For reference, 57445 / 140160 rows have sampling_probability >= 1/550000. Of those rows, 2961 (5%) were replaced due to low samples in the following process: Where sample counts are less than 10 (79145 / 140160 relevant rows), the Census Division by PUMA Metro Status average distribution has been inserted first (76864), followed by Census Division by 'Metro'/'Non-metro' average distribution (1187), followed by Census Region by PUMA Metro Status average distribution (282), followed by Census Region by 'Metro'/'Non-metro' average distribution (112)."
Income RECS2015,9.0,1.0,sources\pums\pums2019_5yrs\tsv_maker.py,Income of the household occupying the dwelling unit that are aligned with the 2015 U.S. Energy Information Administration Residential Energy Consumption Survey.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.",Income bins aligned with RECS 2015
Income RECS2020,7.0,1.0,sources\pums\pums2019_5yrs\tsv_maker.py,Income of the household occupying the dwelling unit that are aligned with the 2020 U.S. Energy Information Administration Residential Energy Consumption Survey.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.",Consolidated income bins aligned with RECS 2020
Infiltration,15.0,3.0,sources\resdb\tsv_maker.py and sources\aris\tsv_maker.py,Total infiltration to the dwelling unit.,"Distributions are based on the cumulative distribution functions from the Residential Diagnostics Database (ResDB), http://resdb.lbl.gov/.; Alaska specific distribution is based on Alaska Retrofit Information System (2008 to 2022) maintained by Alaska Housing Finance Corpotation.","All ACH50 are based on Single-Family Detached blower door tests.; Climate zones that are copied: 2A to 1A, 6A to 7A, and 6B to 7B.; Vintage bins that are copied: 2000s to 2010s, 1950s to 1940s, 1950s to <1940s.; Homes are assumed to not be Weatherization Assistance Program (WAP) qualified and not ENERGY STAR certified.; Climate zones 7AK and 8AK are averages of 6A and 6B.; ResStock models multi-family and SFA units with the unit total air leakage type. The unit total air leakage assume that some of the sampled ACH50 value goes to neighboring units. The model infiltration value to the exterior is a smaller infiltration value that what is sampled and is adjusted by the ratio of exterior envelope surface area to total envelope surface area. The modeled infiltration to the exterior is reported in the results.; For Alaska, we are using a field in ARIS that lumps muti-family 2-4 units and multi-family 5+ units buildings together. Data from the American Community Survey is used to distribute the between these two building types.; For Alaska, Infiltration ACH50 values are calculated based on CFM50 from blower door test and estimated volume of the home."
Insulation Ceiling,8.0,3.0,,,"NEEA Residential Building Stock Assessment, 2012; Nettleton, G.; Edwards, J. (2012). Data Collection-Data Characterization Summary, NorthernSTAR Building America Partnership, Building Technologies Program. Washington, D.C.: U.S. Department of Energy, as described in Roberts et al., 'Assessment of the U.S. Department of Energy's Home Energy Score Tool', 2012, and Merket 'Building America Field Data Repository', Webinar, 2014; Derived from Home Innovation Research Labs 1982-2007 Data",Vented Attic has the same distribution as Unvented Attic; CRHI is a copy of CR09; CRAK is a copy of CR02
Insulation Floor,5.0,4.0,,,Derived from Home Innovation Research Labs 1982-2007 Data; (pre-1980) Engineering judgment,CRHI is a copy of CR09; CRAK is a copy of CR02
Insulation Foundation Wall,5.0,4.0,,,Derived from Home Innovation Research Labs 1982-2007 Data; (pre-1980) Engineering judgment,CRHI is a copy of CR09; CRAK is a copy of CR02
Insulation Rim Joist,5.0,1.0,manually created,Insulation level for rim joists.,Engineering Judgement,Rim joist insulation is the same value as the foundation wall insulation.
Insulation Roof,8.0,1.0,manually created,Finished roof insulation level.,"Derived from Home Innovation Research Labs 1982-2007 Data; NEEA Residential Building Stock Assessment, 2012",
Insulation Slab,8.0,4.0,manually created,Slab insulation level.,Derived from Home Innovation Research Labs 1982-2007 Data; (pre-1980) Engineering judgment,CRHI is a copy of CR09; CRAK is a copy of CR02
Insulation Wall,16.0,3.0,manually created,Wall construction type and insulation level.,"Ritschard et al. Single-Family Heating and Cooling Requirements: Assumptions, Methods, and Summary Results 1992; Nettleton, G.; Edwards, J. (2012). Data Collection-Data Characterization Summary, NorthernSTAR Building America Partnership, Building Technologies Program. Washington, D.C.: U.S. Department of Energy, as described in Roberts et al., 'Assessment of the U.S. Department of Energy's Home Energy Score Tool', 2012, and Merket Building America Field Data Repository, Webinar, 2014","Updated per new wall type from Lightbox, all wall type-specific distributions follow that of `Wood Frame` (`WoodStud`)"
Interior Shading,1.0,0.0,manually created,Fraction of window shading in the summer and winter.,ANSI/RESNET/ICC 301 Standard,
Lighting,3.0,2.0,sources\recs\2015\tsv_maker.py,,U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata.; 2019 Energy Savings Forecast of Solid-State Lighting in General Illumination Applications. https://www.energy.gov/sites/prod/files/2019/12/f69/2019_ssl-energy-savings-forecast.pdf,"Qualitative lamp type fractions in each household surveyed are distributed to three options representing 100% incandescent, 100% CFl, and 100% LED lamp type options.; Due to low sample sizes for some Building Types, Building Type data are grouped into: 1) Single-Family Detached and Mobile Homes, and 2) Multifamily 2-4 units and Multifamily 5+ units, and 3) Single-Family Attached.; Single-Family Attached units in the West South Central census division has the same LED saturation as Multi-Family; LED saturation is adjusted to match the U.S. projected saturation in the 2019 Energy Savings Forecast of Solid-State Lighting in General Illumination Applications."
Lighting Interior Use,1.0,0.0,manually created,Interior lighting usage relative to the national average.,Not applicable; this parameter for adding diversity to lighting usage patterns is not currently used.,
Lighting Other Use,1.0,0.0,manually created,Exterior and garage lighting usage relative to the national average.,Not applicable; this parameter for adding diversity to lighting usage patterns is not currently used.,
Location Region,12.0,1.0,sources\spatial\tsv_maker.py,A custom ResStock region constructed of RECS 2009 reportable domains that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.; Custom region map located https://github.com/NREL/resstock/wiki/Custom-Region-(CR)-Map",
Mechanical Ventilation,1.0,0.0,manually created,Mechanical ventilation type and efficiency.,Engineering Judgement,
Metropolitan and Micropolitan Statistical Area,918.0,1.0,sources\spatial\tsv_maker.py,The U.S. Metropolitan Statistical Area (MSA) or Micropolitan Statistical Area (MicroSA) that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.; County-MSA crosswalk comes from the Quarterly Census of Employment and Wages NAICS-based data between 2013-2022 by the U.S. Bureau of Labor Statistics (https://www.bls.gov/cew/classifications/areas/county-msa-csa-crosswalk.htm); According to the U.S. Census, each metropolitan statistical area must have at least one urban area of 50,000 or more inhabitants; According to the U.S. Census, each micropolitan statistical area must have at least one urban area of at least 10,000 but less than 50,000 population.",
Misc Extra Refrigerator,9.0,5.0,sources\recs\recs2020\tsv_maker.py,The presence and rated efficiency of the secondary refrigerator.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.; Age of refrigerator converted to efficiency levels using ENERGYSTAR shipment-weighted efficiencies by year data from Home Energy Score: http://hes-documentation.lbl.gov/. Check the comments in: HES-Refrigerator_Age_vs_Efficiency.tsv,"The current year is assumed to be 2022; Previously, for each year, the EF values were rounded to the nearest EF level, and then the distribution of EF levels were calculated for the age bins. Currently, each year has its own distribution and then we average out the distributions to get the distribution for the age bins. EF for all years are weighted equally when calculating the average distribution for the age bins.; EnergyStar distributions from 2009 dependent on [Geometry Building Type RECS,Federal Poverty Level,Tenure] is used to calculate efficiency distribution in RECS2020.EnergyStar Refrigerators assumed to be 10% more efficient than standard.Due to low sample count, the tsv is constructed by downscaling a dwelling unit sub-tsv with a household sub-tsv. The sub-tsvs have the following dependencies:; Dwelling unit sub-tsv : deps=['Geometry Building Type RECS', 'State', 'Vintage'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Vintage with Vintage ACS; [5] Vintage with combined 1960s; [6] Vintage with combined 1960s and post 200ss; [7] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [8] Census Division RECS to Census Region; [9] Census Region to National; Household sub-tsv : deps=['Geometry Building Type RECS', 'State' 'Tenure', 'Federal Poverty Level'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Federal Poverty Level coarsened every 100 percent; [5] Federal Poverty Level coarsened every 200 percent; [6] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [7] Census Division RECS to Census Region; [8] Census Region to National; In combining the dwelling unit sub-tsv and household sub-tsv, the conditional relationships are ignored across ('Heating Fuel', ['Tenure', 'Federal Poverty Level'])."
Misc Freezer,3.0,4.0,sources\recs\recs2020\tsv_maker.py,The presence and rated efficiency of a standalone freezer.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"The national average EF is 12 based on the 2014 BA house simulation protocols; Due to low sample count, the tsv is constructed with the following fallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Federal Poverty Level coarsened every 100 percent; [5] Federal Poverty Level coarsened every 200 percent; [6] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [7] Census Division RECS to Census Region; [8] Census Region to National"
Misc Gas Fireplace,2.0,0.0,manually created,Presence of a gas fireplace.,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Misc Gas Grill,2.0,0.0,manually created,Presence of a gas grill.,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Misc Gas Lighting,2.0,0.0,manually created,Presence of exterior gas lighting.,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average fraction used for saturation",
Misc Hot Tub Spa,5.0,5.0,sources\recs\recs2020\tsv_maker.py,The presence and heating fuel of a hot tub/spa at the dwelling unit.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Due to low sample count, the tsv is constructed by downscaling a dwelling unit sub-tsv with a household sub-tsv. The sub-tsvs have the following dependencies:; Dwelling unit sub-tsv : deps=['Geometry Building Type RECS', 'State', 'Heating Fuel'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Heating Fuel coarsened to Other Fuel, Wood and Propane combined; [3] Heating Fuel coarsened to Fuel Oil, Other Fuel, Wood and Propane combined; [4] Geometry Building Type RECS coarsened to SF/MF/MH; [5] Geometry Building Type RECS coarsened to SF and MH/MF; [6] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [7] Census Division RECS to Census Region; [8] Census Region to National; Household sub-tsv : deps=['Geometry Building Type RECS', 'State' 'Tenure', 'Federal Poverty Level'] with the following fallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Federal Poverty Level coarsened every 100 percent; [5] Federal Poverty Level coarsened every 200 percent; [6] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [7] Census Division RECS to Census Region; [8] Census Region to National; In combining the dwelling unit sub-tsv and household sub-tsv, the conditional relationships are ignored across ('Heating Fuel', ['Tenure', 'Federal Poverty Level'])."
Misc Pool,3.0,5.0,sources\recs\recs2020\tsv_maker.py,The presence of a pool at the dwelling unit.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"The only valid option for multi-family homes is Nonesince the pool is most likely to be jointly ownedDue to low sample count, the tsv is constructed with the followingfallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Federal Poverty Level coarsened every 100 percent; [5] Federal Poverty Level coarsened every 200 percent; [6] Vintage coarsened to every 20 years before 2000 and every 10 years subsequently; [7] Vintage homes built before 1960 coarsened to pre1960; [8] Vintage homes built after 2000 coarsened to 2000-20; [9] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [10] Census Division RECS to Census Region; [11] Census Region to National"
