Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Asphalt Shingles, Medium	Option=Composition Shingles	Option=Metal, Dark	Option=Slate	Option=Tile, Clay or Ceramic	Option=Tile, Concrete	Option=Wood Shingles	source_count	source_weight	sampling_probability
South Atlantic	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	72	213105	0.00216705
South Atlantic	Single-Family Attached	1940-59	0.367928	0.481942	0.0769983	0.00935207	0.0226943	0.00131482	0.0397705	86	128148	0.00143711
South Atlantic	Single-Family Detached	1940-59	0.32634	0.441582	0.13941	0.0098787	0.0283852	0.0175073	0.0368962	371	1.87577e+06	0.0175074
South Atlantic	Mobile Home	1960-79	0.0992973	0.135448	0.747487	0	0	0	0.0177675	43	405173	0.00430647
South Atlantic	Multi-Family with 2 - 4 Units	1960-79	0.313679	0.427879	0.0624928	0.00309801	0.0199076	0.0825096	0.0904335	48	367858	0.00320681
South Atlantic	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	118	1.27333e+06	0.0110498
South Atlantic	Single-Family Attached	1960-79	0.327597	0.422942	0.0687761	0.040569	0.0200949	0.0015777	0.118444	64	343202	0.00258726
South Atlantic	Single-Family Detached	1960-79	0.353053	0.480119	0.0820113	0.00851507	0.0243219	0.00877526	0.0432049	452	3.44073e+06	0.0298136
South Atlantic	Mobile Home	1980-99	0.163099	0.215466	0.601955	0.00410757	0.0010441	0.000462439	0.0138651	112	1.07618e+06	0.0105103
South Atlantic	Multi-Family with 2 - 4 Units	1980-99	0.317021	0.432438	0.0634227	0	0.0863339	0.0649941	0.0357902	43	369647	0.00361394
South Atlantic	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	127	1.44448e+06	0.014375
South Atlantic	Single-Family Attached	1980-99	0.353912	0.482759	0.0169766	0.0151805	0.044745	0	0.0864272	109	618810	0.00545364
South Atlantic	Single-Family Detached	1980-99	0.341112	0.4653	0.0828218	0.0123623	0.0536774	0.0125197	0.0322065	616	4.9564e+06	0.0370055
South Atlantic	Mobile Home	2000-09	0.270876	0.357725	0.273843	0.000558084	0.00175228	0.0007761	0.0944704	35	276329	0.00281181
South Atlantic	Multi-Family with 2 - 4 Units	2000-09	0.383059	0.501075	0.00698148	0.00101691	0.00319292	0.00141417	0.103261	19	142541	0.00113536
South Atlantic	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	91	852085	0.00686446
South Atlantic	Single-Family Attached	2000-09	0.345122	0.47077	0	0	0.157578	0.0195302	0.00700051	87	475896	0.00316481
South Atlantic	Single-Family Detached	2000-09	0.359868	0.489343	0.0289341	0.00287904	0.0476714	0.026318	0.0449866	347	2.44084e+06	0.022386
South Atlantic	Mobile Home	2010s	0.380752	0.519371	0.0998773	0	0	0	0	19	162496	0.000703079
South Atlantic	Multi-Family with 2 - 4 Units	2010s	0.240931	0.328646	0	0.0807246	0	0.197438	0.15226	12	91067	0.000396076
South Atlantic	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	74	593143	0.00332662
South Atlantic	Single-Family Attached	2010s	0.358208	0.483136	0.00178564	0.000260094	0.0963819	0.000361699	0.0598664	47	211047	0.00115493
South Atlantic	Single-Family Detached	2010s	0.360665	0.491971	0.0257656	0	0.0693314	0.0200881	0.0321796	224	1.46583e+06	0.0067363
South Atlantic	Mobile Home	<1940	0.315495	0.423743	0.164445	0.0140549	0.042539	0.0102646	0.0294581	463	13958	7.14137e-05
South Atlantic	Multi-Family with 2 - 4 Units	<1940	0.340178	0.461204	0.0867101	0.000133803	0.0550726	0.000186074	0.0565162	23	84087.6	0.000948728
South Atlantic	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	45	129938	0.00118267
South Atlantic	Single-Family Attached	<1940	0.349747	0.431984	0.174163	0.0211535	0.0067147	0.00297399	0.0132643	69	146409	0.00132412
South Atlantic	Single-Family Detached	<1940	0.294946	0.396749	0.220368	0.022037	0.0593381	0.000367816	0.00619303	189	1.06659e+06	0.00781596
West North Central	Mobile Home	1940-59	0.363082	0.494154	0.0952878	0.0139131	0.000165784	0.00423374	0.0291637	446	3498.35	5.0904e-05
West North Central	Multi-Family with 2 - 4 Units	1940-59	0.300307	0.409638	0.164934	0	0	0	0.125122	16	48297.3	0.000533162
West North Central	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	30	103792	0.000664294
West North Central	Single-Family Attached	1940-59	0.417573	0.569597	0	0.00627809	0	0	0.00655166	13	31661.7	0.000189367
West North Central	Single-Family Detached	1940-59	0.371993	0.506531	0.07387	0.0142216	0.000132891	0.00237915	0.0308727	431	1.14478e+06	0.00902517
West North Central	Mobile Home	1960-79	0.142641	0.194572	0.662787	0	0	0	0	17	70976.6	0.000977495
West North Central	Multi-Family with 2 - 4 Units	1960-79	0.388691	0.5302	0.0370009	0	0.0441084	0	0	25	191462	0.00116409
West North Central	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	52	314836	0.00306598
West North Central	Single-Family Attached	1960-79	0.406173	0.554047	0	0.00784802	0	0	0.0319317	23	71397.8	0.00062662
West North Central	Single-Family Detached	1960-79	0.367805	0.499313	0.0632059	0.0032194	0.0050224	0.00258877	0.0588455	355	1.51459e+06	0.0118192
West North Central	Mobile Home	1980-99	0.253661	0.346011	0.39485	0	0	0	0.00547784	27	155969	0.00158222
West North Central	Multi-Family with 2 - 4 Units	1980-99	0.407405	0.555727	0	0	0	0	0.0368687	13	79570.7	0.000937289
West North Central	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	55	417544	0.00315622
West North Central	Single-Family Attached	1980-99	0.423	0.577	0	0	0	0	0	54	172451	0.00114953
West North Central	Single-Family Detached	1980-99	0.387306	0.528311	0.0266583	0.00749658	0.0212708	0.0121977	0.0167596	260	1.20819e+06	0.00978708
West North Central	Mobile Home	2000-09	0.233624	0.318678	0.447699	0	0	0	0	14	78546.6	0.000484451
West North Central	Multi-Family with 2 - 4 Units	2000-09	0.2383	0.325058	0.150448	0.136943	0	0	0.149251	11	48578.9	0.000315187
West North Central	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	29	146016	0.00132366
West North Central	Single-Family Attached	2000-09	0.394941	0.538726	0	0	0	0	0.0663328	32	72783	0.000875429
West North Central	Single-Family Detached	2000-09	0.391794	0.532156	0.054223	0.0147144	0.000339157	0.000150215	0.00662341	173	655742	0.00567109
West North Central	Mobile Home	2010s	0.247706	0.337887	0.414407	0	0	0	0	22	30706.2	0.000146725
West North Central	Multi-Family with 2 - 4 Units	2010s	0.287402	0.392035	0.110452	0.100537	0	0	0.109573	17	17590.9	0.000169216
West North Central	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	37	182621	0.00106614
West North Central	Single-Family Attached	2010s	0.340547	0.464528	0	0.073715	0	0	0.12121	29	60757	0.000278252
West North Central	Single-Family Detached	2010s	0.373533	0.509524	0.0946896	0	0	0	0.0222539	106	385212	0.00198581
West North Central	Mobile Home	<1940	0.363082	0.494154	0.0952878	0.0139131	0.000165784	0.00423374	0.0291637	446	9040.53	3.98438e-05
West North Central	Multi-Family with 2 - 4 Units	<1940	0.423	0.577	0	0	0	0	0	11	79915.1	0.000993426
West North Central	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	20	99847.5	0.000914785
West North Central	Single-Family Attached	<1940	0.41089	0.560481	0	0.0140097	0	0	0.0146202	13	19192.7	0.000158403
West North Central	Single-Family Detached	<1940	0.353704	0.481063	0.116457	0.0137432	0.000210371	0.00644759	0.0283758	275	1.08024e+06	0.0100333
West South Central	Mobile Home	1940-59	0.30302	0.410829	0.152865	0.0218251	0.0121729	0.011031	0.0882574	238	13788	0.000152734
West South Central	Multi-Family with 2 - 4 Units	1940-59	0.836318	0.0930985	0	0	0.0361598	0.0344239	0	18	30325.8	0.000612703
West South Central	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	13	86387.1	0.000775469
West South Central	Single-Family Attached	1940-59	0.281939	0.384583	0.0774632	0	0.256015	0	0	18	43713.3	0.000297185
West South Central	Single-Family Detached	1940-59	0.310619	0.422583	0.131247	0.00974824	0.00982075	0.0133346	0.102647	218	1.21176e+06	0.0122097
West South Central	Mobile Home	1960-79	0.0588326	0.0802516	0.860916	0	0	0	0	21	148279	0.00176444
West South Central	Multi-Family with 2 - 4 Units	1960-79	0.28715	0.391691	0	0	0	0.159965	0.161194	21	200201	0.00197279
West South Central	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	42	555289	0.00544086
West South Central	Single-Family Attached	1960-79	0.323382	0.441114	0.0691951	0	0	0.0224216	0.143887	24	94274.9	0.00079663
West South Central	Single-Family Detached	1960-79	0.345436	0.469155	0.104364	0.00733685	0.0145524	0.0141379	0.0450182	348	2.5539e+06	0.0205066
West South Central	Mobile Home	1980-99	0.149142	0.196922	0.488996	0.027981	0.000970374	0.000429786	0.135558	63	550124	0.00502593
West South Central	Multi-Family with 2 - 4 Units	1980-99	0.276304	0.376897	0.0327269	0.0950274	0.0751374	0.0251483	0.118759	38	379772	0.00215228
West South Central	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	58	804857	0.00724236
West South Central	Single-Family Attached	1980-99	0.38379	0.523515	0.092695	0	0	0	0	26	85423.5	0.000850562
West South Central	Single-Family Detached	1980-99	0.36073	0.492059	0.0642939	0	0.013167	0.0185926	0.0511579	341	2.57636e+06	0.0199449
West South Central	Mobile Home	2000-09	0.195408	0.26655	0.502417	0	0.0356247	0	0	27	202184	0.00219885
West South Central	Multi-Family with 2 - 4 Units	2000-09	0.294273	0.401408	0.0923973	0	0	0.0890994	0.122822	14	117748	0.000824807
West South Central	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	34	422679	0.00328305
West South Central	Single-Family Attached	2000-09	0.409555	0.55866	0	0	0	0	0.0317856	19	66795.7	0.000502219
West South Central	Single-Family Detached	2000-09	0.358827	0.489464	0.0726085	0.0251441	0.00912326	0.0045971	0.0402366	238	1.65176e+06	0.0134222
West South Central	Mobile Home	2010s	0.310727	0.395721	0.225743	0.00133412	0.00418889	0.00185529	0.0604304	21	199978	0.000864006
West South Central	Multi-Family with 2 - 4 Units	2010s	0.267265	0.364567	0.0682492	0.0995877	0	0.0658132	0.134518	20	41662.1	0.000456702
West South Central	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	42	556097	0.00258665
West South Central	Single-Family Attached	2010s	0.386877	0.527726	0.0853968	0	0	0	0	13	46828.6	0.000234394
West South Central	Single-Family Detached	2010s	0.355267	0.483611	0.0504995	4.72675e-05	0.0271056	0.0221599	0.0613092	175	1.23548e+06	0.00615702
West South Central	Mobile Home	<1940	0.30302	0.410829	0.152865	0.0218251	0.0121729	0.011031	0.0882574	238	5083.05	4.73552e-05
West South Central	Multi-Family with 2 - 4 Units	<1940	0.836318	0.0930985	0	0	0.0361598	0.0344239	0	18	13622	0.000465419
West South Central	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	13	59150	0.000374539
West South Central	Single-Family Attached	<1940	0.396248	0.540508	0.0632444	0	0	0	0	10	27220	0.000139333
West South Central	Single-Family Detached	<1940	0.282516	0.379871	0.207406	0.0478207	0.00081882	0.00820995	0.0733578	111	638351	0.00427908
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: Roof material and color.
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Multi-Family with 5+ Units is assigned 'Asphalt Shingles, Medium' only.
# Assumption: Due to low samples, Vintage ACS is progressively grouped into: pre-1960, 1960-1999, and 2000+.
# Assumption: Geometry Building Type RECS is progressively grouped into: Single-Family (including Mobile Home), and Multi-Family.
# Assumption: Census Division RECS is coarsened to Census Region.
