Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=Double, Clear, Metal, Air	Option=Double, Clear, Metal, Air, Exterior Clear Storm	Option=Double, Clear, Non-metal, Air	Option=Double, Clear, Non-metal, Air, Exterior Clear Storm	Option=Double, Low-E, Non-metal, Air, M-Gain	Option=Single, Clear, Metal	Option=Single, Clear, Metal, Exterior Clear Storm	Option=Single, Clear, Non-metal	Option=Single, Clear, Non-metal, Exterior Clear Storm	Option=Triple, Low-E, Non-metal, Air, L-Gain	Option=Void	source_count	source_weight	sampling_probability
3A	Not Available	Single-Family Attached	Not Available	1960-79	0.140901	0.00995658	0.0779429	0.0110155	0.0779429	0.351117	0.0248113	0.248498	0.0175598	0.0402552	0	31	140458	8.08731e-05
3A	Not Available	Single-Family Attached	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	348	41055.1	0
3A	Not Available	Single-Family Attached	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	22	99403	0
3A	0-100%	Single-Family Attached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	12	50044.7	0
3A	0-100%	Single-Family Attached	Owner	1980-99	0.123771	0.00874613	0.223787	0.0282692	0.176265	0.227252	0.0160585	0.182925	0.0129262	0	0	25	14992.7	3.99774e-05
3A	0-100%	Single-Family Attached	Renter	1980-99	0.16553	0.011697	0.137046	0.0183198	0.122207	0.208982	0.0147674	0.300236	0.0212158	0	0	22	35052	7.97166e-05
3A	100-150%	Single-Family Attached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	54	19289.4	0
3A	100-150%	Single-Family Attached	Owner	1980-99	0.40855	0.0288697	0.20618	0.0271504	0.17804	0.0633396	0.00447582	0.077891	0.00550407	0	0	36	4212.09	3.51986e-05
3A	100-150%	Single-Family Attached	Renter	1980-99	0.135711	0.00958983	0.124446	0.0158497	0.0998506	0.124058	0.00876643	0.449935	0.0317941	0	0	18	15077.3	5.85718e-05
3A	150-200%	Single-Family Attached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	63	15308.9	0
3A	150-200%	Single-Family Attached	Owner	1980-99	0.337671	0.0238611	0.219614	0.0270271	0.162861	0.108912	0.00769613	0.104942	0.00741563	0	0	49	8258.11	4.14814e-05
3A	150-200%	Single-Family Attached	Renter	1980-99	0.0887081	0.00626845	0.147431	0.0170696	0.0941292	0.34556	0.0244186	0.258171	0.0182434	0	0	14	7050.8	5.69578e-05
3A	200-300%	Single-Family Attached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	16	54904.5	0
3A	200-300%	Single-Family Attached	Owner	1980-99	0.390677	0.0276067	0.166819	0.0208439	0.128154	0.0500522	0.00353688	0.198298	0.0140125	0	0	12	35521.3	9.19134e-05
3A	200-300%	Single-Family Attached	Renter	1980-99	0.194785	0.0137643	0.145345	0.016526	0.0885225	0.184662	0.0130489	0.320685	0.0226608	0	0	19	19383.2	9.9349e-05
3A	300-400%	Single-Family Attached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	11	37823.2	0
3A	300-400%	Single-Family Attached	Owner	1980-99	0.370164	0.0261572	0.205587	0.0240705	0.135046	0.0981183	0.00693341	0.0990156	0.00699682	0.0279109	0	102	21264.6	8.26474e-05
3A	300-400%	Single-Family Attached	Renter	1980-99	0.254741	0.018001	0.250182	0.0271981	0.134713	0.0838171	0.00592284	0.210547	0.014878	0	0	15	16558.6	6.92018e-05
3A	400%+	Single-Family Attached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	15	53536	0
3A	400%+	Single-Family Attached	Owner	1980-99	0.235438	0.0166369	0.16717	0.0208971	0.128556	0.186354	0.0131685	0.216483	0.0152975	0	0	11	47450.1	0.0002668
3A	400%+	Single-Family Attached	Renter	1980-99	0.183854	0.0129918	0.299867	0.0368061	0.220996	0.051709	0.00365395	0.177575	0.0125481	0	0	19	6085.97	0.000123109
3A	Not Available	Single-Family Attached	Not Available	1980-99	0.255577	0.0180601	0.116681	0.0143719	0.0867034	0.184419	0.0130317	0.29062	0.0205363	0	0	49	230907	0.000126238
3A	Not Available	Single-Family Attached	Owner	1980-99	0	0	0	0	0	0	0	0	0	0	1	29	131699	0
3A	Not Available	Single-Family Attached	Renter	1980-99	0	0	0	0	0	0	0	0	0	0	1	20	99207.9	0
3A	0-100%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	25	11244.4	0
3A	0-100%	Single-Family Attached	Owner	2000-09	0.126704	0.00895338	0.311322	0.054998	0.466983	0	0	0	0	0.0310394	0	17	534.254	3.01004e-05
3A	0-100%	Single-Family Attached	Renter	2000-09	0.195709	0.0138296	0.196524	0.0347179	0.294786	0	0	0	0	0.264433	0	12	10710.1	5.08545e-05
3A	100-150%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	30	10295.9	0
3A	100-150%	Single-Family Attached	Owner	2000-09	0.476128	0.033645	0.169639	0.0299683	0.254459	0	0	0	0	0.0361616	0	28	10295.9	2.65028e-05
3A	100-150%	Single-Family Attached	Renter	2000-09	0.195709	0.0138296	0.196524	0.0347179	0.294786	0	0	0	0	0.264433	0	12	0	3.81631e-05
3A	150-200%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	29	3390.37	0
3A	150-200%	Single-Family Attached	Owner	2000-09	0.451665	0.0319164	0.192934	0.0340836	0.289401	0	0	0	0	0	0	27	3390.37	3.29366e-05
3A	150-200%	Single-Family Attached	Renter	2000-09	0.195709	0.0138296	0.196524	0.0347179	0.294786	0	0	0	0	0.264433	0	12	0	3.76747e-05
3A	200-300%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	70	31999.1	0
3A	200-300%	Single-Family Attached	Owner	2000-09	0.462824	0.0327049	0.174424	0.0308137	0.261636	0	0	0	0	0.0375971	0	62	16951.3	8.29103e-05
3A	200-300%	Single-Family Attached	Renter	2000-09	0.29357	0.0207448	0.256172	0.0452552	0.384258	0	0	0	0	0	0	15	15047.8	7.24714e-05
3A	300-400%	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	10	26498	0
3A	300-400%	Single-Family Attached	Owner	2000-09	0.474144	0.0335048	0.183942	0.0324952	0.275914	0	0	0	0	0	0	67	23516.1	8.06641e-05
3A	300-400%	Single-Family Attached	Renter	2000-09	0.29357	0.0207448	0.256172	0.0452552	0.384258	0	0	0	0	0	0	15	2981.9	5.7503e-05
3A	400%+	Single-Family Attached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	22	75301.5	0
3A	400%+	Single-Family Attached	Owner	2000-09	0.52635	0.0371939	0.16306	0.0288061	0.24459	0	0	0	0	0	0	16	53033.1	0.000304036
3A	400%+	Single-Family Attached	Renter	2000-09	0.597647	0.042232	0.134541	0.023768	0.201812	0	0	0	0	0	0	13	22268.5	0.000136985
3A	Not Available	Single-Family Attached	Not Available	2000-09	0.395183	0.0279252	0.215527	0.0380748	0.32329	0	0	0	0	0	0	36	158729	9.92295e-05
3A	Not Available	Single-Family Attached	Owner	2000-09	0	0	0	0	0	0	0	0	0	0	1	25	107721	0
3A	Not Available	Single-Family Attached	Renter	2000-09	0	0	0	0	0	0	0	0	0	0	1	11	51008.3	0
3A	0-100%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	31	0	0
3A	0-100%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	22	0	7.82743e-06
3A	0-100%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	0	1.75372e-05
3A	100-150%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	12	12639.8	0
3A	100-150%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	10	11341	5.41152e-06
3A	100-150%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	1298.84	1.20798e-05
3A	150-200%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	16	7056.16	0
3A	150-200%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	11	1381.3	7.01018e-06
3A	150-200%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	5674.86	1.29467e-05
3A	200-300%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	41	4833.24	0
3A	200-300%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	35	0	1.83724e-05
3A	200-300%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	12	4833.24	2.52576e-05
3A	300-400%	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	62	6580.82	0
3A	300-400%	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	56	1227.71	1.97725e-05
3A	300-400%	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	12	5353.11	1.96697e-05
3A	400%+	Single-Family Attached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	11	45442.8	0
3A	400%+	Single-Family Attached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	135	41807.2	0.000110006
3A	400%+	Single-Family Attached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	13	3635.58	4.72853e-05
3A	Not Available	Single-Family Attached	Not Available	2010s	0	0	0	0	1	0	0	0	0	0	0	18	76552.9	3.0642e-05
3A	Not Available	Single-Family Attached	Owner	2010s	0	0	0	0	0	0	0	0	0	0	1	12	55757.2	0
3A	Not Available	Single-Family Attached	Renter	2010s	0	0	0	0	0	0	0	0	0	0	1	18	20795.6	0
3A	0-100%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	62	13601.9	0
3A	0-100%	Single-Family Attached	Owner	<1940	0.077369	0.00546719	0.0739722	0.0104543	0.0739722	0.215173	0.0152049	0.485113	0.0342799	0.00899432	0	41	0	4.9314e-06
3A	0-100%	Single-Family Attached	Renter	<1940	0.127026	0.00897614	0.0647211	0.00914687	0.0647211	0.168649	0.0119174	0.508883	0.0359596	0	0	21	13601.9	1.42784e-05
3A	100-150%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	59	11056.8	0
3A	100-150%	Single-Family Attached	Owner	<1940	0.164304	0.0116104	0.0854637	0.0120784	0.0854637	0.0926685	0.00654831	0.484987	0.0342711	0.0226043	0	43	3053.17	3.61332e-06
3A	100-150%	Single-Family Attached	Renter	<1940	0.20387	0.0144062	0.0701604	0.00991561	0.0701604	0.00353931	0.000250101	0.420963	0.0297469	0.176988	0	16	8003.67	8.25882e-06
3A	150-200%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	49	3818.15	0
3A	150-200%	Single-Family Attached	Owner	<1940	0.133068	0.00940307	0.133117	0.0188132	0.133117	0.0919315	0.00649623	0.425848	0.0300921	0.0181132	0	35	3206.85	3.21045e-06
3A	150-200%	Single-Family Attached	Renter	<1940	0.00967306	0.000683536	0.0602082	0.00850908	0.0602082	0.040441	0.00285772	0.76347	0.0539497	0	0	14	611.3	6.67987e-06
3A	200-300%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	87	5431.44	0
3A	200-300%	Single-Family Attached	Owner	<1940	0.103919	0.00734328	0.201553	0.0284849	0.201553	0.0296522	0.00209534	0.370285	0.0261657	0.0289501	0	65	4738.16	6.05997e-06
3A	200-300%	Single-Family Attached	Renter	<1940	0.0804536	0.00568516	0.13366	0.0188899	0.13366	0.124482	0.00879635	0.461744	0.0326286	0	0	22	693.281	9.26882e-06
3A	300-400%	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	41	1705.71	0
3A	300-400%	Single-Family Attached	Owner	<1940	0.123217	0.00870699	0.241065	0.0340692	0.241065	0.0984596	0.00695753	0.230193	0.0162663	0	0	31	0	5.52742e-06
3A	300-400%	Single-Family Attached	Renter	<1940	0	0	0.0879405	0.0124284	0.0879405	0.156662	0.0110703	0.601457	0.0425013	0	0	10	1705.71	5.56498e-06
3A	400%+	Single-Family Attached	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	84	0	0
3A	400%+	Single-Family Attached	Owner	<1940	0.113137	0.0079947	0.210881	0.0298034	0.210881	0.0919511	0.00649761	0.307149	0.0217043	0	0	75	0	1.97992e-05
3A	400%+	Single-Family Attached	Renter	<1940	0.313046	0.022121	0.103171	0.0145809	0.103171	0.139638	0.00986736	0.274974	0.0194307	0	0	28	0	9.61372e-06
3A	Not Available	Single-Family Attached	Not Available	<1940	0.28763	0.020325	0.0798301	0.0112822	0.0798301	0.182095	0.0128675	0.304615	0.0215253	0	0	15	35614	1.36242e-05
3A	Not Available	Single-Family Attached	Owner	<1940	0	0	0	0	0	0	0	0	0	0	1	209	10998.2	0
3A	Not Available	Single-Family Attached	Renter	<1940	0	0	0	0	0	0	0	0	0	0	1	10	24615.9	0
3A	0-100%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	57	274334	0
3A	0-100%	Single-Family Detached	Owner	1940-59	0.0446031	0.00315183	0.0708557	0.0100139	0.0708557	0.220964	0.0156141	0.523324	0.0369801	0.00363802	0	40	199000	0.00115416
3A	0-100%	Single-Family Detached	Renter	1940-59	0.0633124	0.0044739	0.0415527	0.00587255	0.0415527	0.124718	0.00881308	0.662864	0.0468405	0	0	17	75334.5	0.000685364
3A	100-150%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	52	137601	0
3A	100-150%	Single-Family Detached	Owner	1940-59	0.200674	0.0141804	0.0614097	0.00867889	0.0614097	0.147857	0.0104481	0.453248	0.0320283	0.0100656	0	42	114551	0.00101257
3A	100-150%	Single-Family Detached	Renter	1940-59	0.230305	0.0162743	0.103039	0.0145623	0.103039	0	0	0.37626	0.026588	0.129931	0	10	23050.1	0.000402714
3A	150-200%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	45	167897	0
3A	150-200%	Single-Family Detached	Owner	1940-59	0.166777	0.0117851	0.173645	0.0245408	0.173645	0.0843104	0.00595769	0.308019	0.0217658	0.0295552	0	34	123594	0.000929457
3A	150-200%	Single-Family Detached	Renter	1940-59	0	0	0.0832913	0.0117714	0.0832913	0	0	0.767417	0.0542286	0	0	11	44302.9	0.000314628
3A	200-300%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	84	306157	0
3A	200-300%	Single-Family Detached	Owner	1940-59	0.0815616	0.00576345	0.228006	0.0322236	0.228006	0.0394383	0.00278686	0.321025	0.0226848	0.0385045	0	63	258998	0.00169322
3A	200-300%	Single-Family Detached	Renter	1940-59	0.136818	0.00966806	0.174163	0.0246141	0.174163	0.149839	0.0105882	0.299017	0.0211297	0	0	21	47158.8	0.000460813
3A	300-400%	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	39	121624	0
3A	300-400%	Single-Family Detached	Owner	1940-59	0.146149	0.0103274	0.28817	0.0407263	0.28817	0.0793455	0.00560686	0.132166	0.00933936	0	0	30	104455	0.00127427
3A	300-400%	Single-Family Detached	Renter	1940-59	0	0	0.0879405	0.0124284	0.0879405	0.156662	0.0110703	0.601457	0.0425013	0	0	10	17168.5	0.000271099
3A	400%+	Single-Family Detached	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	83	295256	0
3A	400%+	Single-Family Detached	Owner	1940-59	0.188641	0.0133301	0.223291	0.0315572	0.223291	0.0649823	0.0045919	0.233795	0.0165209	0	0	74	267720	0.00283262
3A	400%+	Single-Family Detached	Renter	1940-59	0.313046	0.022121	0.103171	0.0145809	0.103171	0.139638	0.00986736	0.274974	0.0194307	0	0	28	27536.2	0.000357757
3A	Not Available	Single-Family Detached	Not Available	1940-59	0.126158	0.00891484	0.160902	0.0227399	0.160902	0.0963154	0.00680601	0.376462	0.0266022	0.0141974	0	257	1.30287e+06	0.00171818
3A	Not Available	Single-Family Detached	Owner	1940-59	0	0	0	0	0	0	0	0	0	0	1	204	1.06832e+06	0
3A	Not Available	Single-Family Detached	Renter	1940-59	0	0	0	0	0	0	0	0	0	0	1	53	234551	0
3A	0-100%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	48	310734	0
3A	0-100%	Single-Family Detached	Owner	1960-79	0.211116	0.0149182	0.138264	0.0195405	0.138264	0.233826	0.016523	0.166032	0.0117325	0.0497849	0	32	211920	0.00158243
3A	0-100%	Single-Family Detached	Renter	1960-79	0.220965	0.0156142	0.0318381	0.00449961	0.0318381	0.216905	0.0153273	0.432454	0.0305588	0	0	16	98814.1	0.000998929
3A	100-150%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	69	291351	0
3A	100-150%	Single-Family Detached	Owner	1960-79	0.130726	0.00923762	0.122484	0.0173104	0.122484	0.198595	0.0140335	0.359711	0.0254185	0	0	57	245472	0.00153094
3A	100-150%	Single-Family Detached	Renter	1960-79	0.393546	0.0278094	0.0917551	0.0129675	0.0917551	0	0	0.356944	0.025223	0	0	12	45879.1	0.000638559
3A	150-200%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	74	299520	0
3A	150-200%	Single-Family Detached	Owner	1960-79	0.179974	0.0127177	0.175214	0.0247626	0.175214	0.196982	0.0139195	0.206616	0.0146003	0	0	61	252294	0.00155825
3A	150-200%	Single-Family Detached	Renter	1960-79	0.0030047	0.000212324	0.121083	0.0171124	0.121083	0	0	0.688829	0.0486753	0	0	13	47226.3	0.000533893
3A	200-300%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	139	646282	0
3A	200-300%	Single-Family Detached	Owner	1960-79	0.221503	0.0156522	0.159968	0.0226079	0.159968	0.178075	0.0125834	0.207167	0.0146392	0.00783588	0	118	565070	0.00312046
3A	200-300%	Single-Family Detached	Renter	1960-79	0.142539	0.0100723	0.0914271	0.0129212	0.0914271	0.220112	0.0155539	0.388495	0.0274526	0	0	21	81211.9	0.000834307
3A	300-400%	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	95	451459	0
3A	300-400%	Single-Family Detached	Owner	1960-79	0.198222	0.0140071	0.225838	0.0319171	0.225838	0.105509	0.00745567	0.172489	0.0121888	0.00653482	0	82	388671	0.00259583
3A	300-400%	Single-Family Detached	Renter	1960-79	0	0	0.1452	0.0205208	0.1452	0.246383	0.0174104	0.397216	0.0280688	0	0	13	62788.7	0.000520382
3A	400%+	Single-Family Detached	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	142	795091	0
3A	400%+	Single-Family Detached	Owner	1960-79	0.187574	0.0132547	0.218629	0.0308983	0.218629	0.132176	0.00934004	0.160443	0.0113375	0.0177184	0	136	766036	0.00643952
3A	400%+	Single-Family Detached	Renter	1960-79	0.132203	0.00934198	0.136538	0.0192966	0.136538	0.274777	0.0194168	0.253943	0.0179446	0	0	11	29055.1	0.000729316
3A	Not Available	Single-Family Detached	Not Available	1960-79	0.185991	0.0131428	0.173373	0.0245024	0.173373	0.162872	0.0115092	0.228	0.0161113	0.011126	0	391	2.79444e+06	0.00301805
3A	Not Available	Single-Family Detached	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	339	2.42946e+06	0
3A	Not Available	Single-Family Detached	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	52	364975	0
3A	0-100%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	35	233433	0
3A	0-100%	Single-Family Detached	Owner	1980-99	0.126855	0.00896403	0.226755	0.028989	0.183482	0.250149	0.0176765	0.146759	0.0103705	0	0	20	148806	0.00105832
3A	0-100%	Single-Family Detached	Renter	1980-99	0.128433	0.00907559	0.193808	0.0259076	0.172824	0.122936	0.00868716	0.315998	0.0223296	0	0	15	84627.8	0.000766796
3A	100-150%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	45	246565	0
3A	100-150%	Single-Family Detached	Owner	1980-99	0.404595	0.0285903	0.211149	0.0278062	0.182351	0.0648849	0.00458501	0.0710204	0.00501857	0	0	32	172653	0.000990485
3A	100-150%	Single-Family Detached	Renter	1980-99	0.112383	0.00794141	0.149832	0.0190828	0.120219	0.149361	0.0105544	0.402206	0.0284214	0	0	13	73912	0.000507095
3A	150-200%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	56	277518	0
3A	150-200%	Single-Family Detached	Owner	1980-99	0.335218	0.0236878	0.223161	0.0273858	0.164389	0.102558	0.00724714	0.108674	0.00767934	0	0	45	232224	0.00115425
3A	150-200%	Single-Family Detached	Renter	1980-99	0.102517	0.00724423	0.133466	0.0145095	0.0718661	0.340395	0.0240536	0.285756	0.0201926	0	0	11	45294.5	0.000463347
3A	200-300%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	123	550076	0
3A	200-300%	Single-Family Detached	Owner	1980-99	0.389882	0.0275506	0.21946	0.0262495	0.15201	0.076744	0.00542303	0.0787132	0.00556217	0.0184051	0	108	468713	0.00271106
3A	200-300%	Single-Family Detached	Renter	1980-99	0.212334	0.0150043	0.169134	0.0192849	0.103776	0.228654	0.0161576	0.220101	0.0155532	0	0	15	81363.1	0.000793243
3A	300-400%	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	106	490353	0
3A	300-400%	Single-Family Detached	Owner	1980-99	0.374264	0.0264469	0.210112	0.0244703	0.136179	0.0872591	0.00616606	0.098864	0.00698611	0.0292528	0	95	442290	0.00266771
3A	300-400%	Single-Family Detached	Renter	1980-99	0.279345	0.0197396	0.288764	0.0313926	0.155488	0	0	0.210403	0.0148679	0	0	11	48063.4	0.0005468
3A	400%+	Single-Family Detached	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	211	1.23721e+06	0
3A	400%+	Single-Family Detached	Owner	1980-99	0.267985	0.0189368	0.27852	0.0330991	0.189881	0.0787932	0.00556783	0.11882	0.0083963	0	0	196	1.16363e+06	0.00966981
3A	400%+	Single-Family Detached	Renter	1980-99	0.162993	0.0115177	0.298059	0.0369575	0.224946	0.0559249	0.00395187	0.192077	0.0135729	0	0	15	73574.3	0.00096189
3A	Not Available	Single-Family Detached	Not Available	1980-99	0.294286	0.0207953	0.238868	0.0287211	0.167579	0.0982071	0.00693969	0.128424	0.00907493	0.00710505	0	412	3.03515e+06	0.00270887
3A	Not Available	Single-Family Detached	Owner	1980-99	0	0	0	0	0	0	0	0	0	0	1	356	2.62832e+06	0
3A	Not Available	Single-Family Detached	Renter	1980-99	0	0	0	0	0	0	0	0	0	0	1	56	406835	0
3A	0-100%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	22	100885	0
3A	0-100%	Single-Family Detached	Owner	2000-09	0.127894	0.00903751	0.310737	0.0548946	0.466105	0	0	0	0	0.0313311	0	16	61853.8	0.000474151
3A	0-100%	Single-Family Detached	Renter	2000-09	0.195709	0.0138296	0.196524	0.0347179	0.294786	0	0	0	0	0.264433	0	12	39031.5	0.00037553
3A	100-150%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	28	89920.4	0
3A	100-150%	Single-Family Detached	Owner	2000-09	0.546373	0.0386088	0.139548	0.0246524	0.209322	0	0	0	0	0.0414967	0	26	82243.4	0.000449195
3A	100-150%	Single-Family Detached	Renter	2000-09	0.195709	0.0138296	0.196524	0.0347179	0.294786	0	0	0	0	0.264433	0	12	7677.04	0.000259086
3A	150-200%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	27	111378	0
3A	150-200%	Single-Family Detached	Owner	2000-09	0.433799	0.0306539	0.20008	0.0353461	0.300121	0	0	0	0	0	0	25	100199	0.000572224
3A	150-200%	Single-Family Detached	Renter	2000-09	0.195709	0.0138296	0.196524	0.0347179	0.294786	0	0	0	0	0.264433	0	12	11179.1	0.000254493
3A	200-300%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	61	218435	0
3A	200-300%	Single-Family Detached	Owner	2000-09	0.460672	0.0325528	0.174445	0.0308173	0.261667	0	0	0	0	0.0398463	0	56	204282	0.00148313
3A	200-300%	Single-Family Detached	Renter	2000-09	0.29357	0.0207448	0.256172	0.0452552	0.384258	0	0	0	0	0	0	15	14153.4	0.000470675
3A	300-400%	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	64	218581	0
3A	300-400%	Single-Family Detached	Owner	2000-09	0.491894	0.0347591	0.176842	0.0312409	0.265264	0	0	0	0	0	0	59	204184	0.00161222
3A	300-400%	Single-Family Detached	Renter	2000-09	0.29357	0.0207448	0.256172	0.0452552	0.384258	0	0	0	0	0	0	15	14397.2	0.000364936
3A	400%+	Single-Family Detached	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	183	1.01825e+06	0
3A	400%+	Single-Family Detached	Owner	2000-09	0.429669	0.0303621	0.199663	0.0352725	0.299495	0	0	0	0	0.00553761	0	176	973678	0.00694934
3A	400%+	Single-Family Detached	Renter	2000-09	0.597647	0.042232	0.134541	0.023768	0.201812	0	0	0	0	0	0	13	44576.5	0.00075914
3A	Not Available	Single-Family Detached	Not Available	2000-09	0.437167	0.0308919	0.192837	0.0340666	0.289256	0	0	0	0	0.0157805	0	287	1.75746e+06	0.00159378
3A	Not Available	Single-Family Detached	Owner	2000-09	0	0	0	0	0	0	0	0	0	0	1	268	1.62644e+06	0
3A	Not Available	Single-Family Detached	Renter	2000-09	0	0	0	0	0	0	0	0	0	0	1	19	131015	0
3A	0-100%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	31	17660.9	0
3A	0-100%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	22	7741.22	0.000156286
3A	0-100%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	9919.66	0.000123138
3A	100-150%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	12	46164.3	0
3A	100-150%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	10	38873.5	0.000132007
3A	100-150%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	7290.85	8.12992e-05
3A	150-200%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	12	39398.4	0
3A	150-200%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	10	28927.3	0.000170899
3A	150-200%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	17	10471	8.08393e-05
3A	200-300%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	39	140359	0
3A	200-300%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	35	130204	0.000462516
3A	200-300%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	12	10155	0.000154097
3A	300-400%	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	58	156174	0
3A	300-400%	Single-Family Detached	Owner	2010s	0	0	0	0	1	0	0	0	0	0	0	55	142904	0.000537213
3A	300-400%	Single-Family Detached	Renter	2010s	0	0	0	0	1	0	0	0	0	0	0	12	13270	0.000124228
3A	400%+	Single-Family Detached	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	130	711130	0
