Dependency=Census Division	Dependency=Geometry Building Type RECS	Dependency=Income RECS2020	Dependency=PUMA Metro Status	Dependency=Tenure	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+	source_count	source_weight	sampling_probability
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	In metro area, principal city	Renter	<1940	0.120992	0.282754	0.316143	0.229902	0.026919	0.0029731	0.000166039	0.00483425	0.0153164	154.502	472329	0.00106638
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Owner	1940-59	0	0.0527735	0.132821	0.814405	0	0	0	0	0	1.95848	2.18341e-19	2.62088e-07
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Owner	1960-79	0	0.0205561	0.0391169	0.940327	0	0	0	0	0	1.49296	7.92993e-19	1.18431e-06
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Owner	1980-99	0	0.0232535	0.0905442	0	0.886202	0	0	0	0	0.743927	3.29749e-19	8.60788e-07
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Owner	2000-09	0	0.0278814	0.0652997	0.814306	0.0925125	0	0	0	0	5.9091e-20	5.25165e-59	1.41197e-07
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Owner	2010s	0	0.0101372	0.0323499	0.686655	0.270858	0	0	0	0	1.20189	1.55464e-19	1.81659e-07
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Owner	<1940	0	0.0278002	0.0486349	0.923565	0	0	0	0	0	3.43558	2.11494e-18	1.67338e-06
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Renter	1940-59	0.040683	0.346261	0.560706	0.0523501	0	0	0	0	0	10.68	5.82739e-18	5.64844e-06
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Renter	1960-79	0.17776	0.307667	0.376691	0.137883	0	0	0	0	0	8.14138	2.11645e-17	2.02294e-05
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Renter	1980-99	0.0937461	0.258542	0.647712	0	0	0	0	0	0	4.05678	8.80081e-18	1.83604e-05
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Renter	2000-09	0.0499534	0.340153	0.512566	0.0973278	0	0	0	0	0	3.22235e-19	1.40163e-57	5.13605e-06
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Renter	2010s	0.125382	0.235314	0.483149	0.156156	0	0	0	0	0	6.55413	4.14923e-18	5.049e-06
Middle Atlantic	Multi-Family with 5+ Units	60000-99999	Not/partially in metro area	Renter	<1940	0.154656	0.34489	0.388204	0.112251	0	0	0	0	0	18.7349	5.64466e-17	1.51034e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Owner	1940-59	0.0921038	0.299395	0.0245455	0.0861686	0.497787	0	0	0	0	5.85432e-23	1.68217e-40	2.95749e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Owner	1960-79	0.193456	0.227062	0.0422968	0.373874	0.163311	0	0	0	0	6.49606e-22	2.15523e-39	6.06045e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Owner	1980-99	0.31625	0.208645	0.0371266	0.362082	0.075896	0	0	0	0	3.01776e-22	7.54888e-40	3.80926e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Owner	2000-09	0.367266	0.123624	0.102107	0.407003	0	0	0	0	0	8.45584e-23	2.73222e-40	1.60313e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Owner	2010s	0	0.356056	0.0266158	0.617329	0	0	0	0	0	9.25579e-24	3.12753e-41	4.9334e-06
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Owner	<1940	0.362773	0.283657	0.024701	0.32887	0	0	0	0	0	2.36455e-22	7.87551e-40	1.40107e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Renter	1940-59	0.113301	0.578513	0.204934	0.0334107	0.0698404	0	0	0	0	6.72712	13843.6	0.000413858
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Renter	1960-79	0.19869	0.36631	0.294839	0.121031	0.01913	0	0	0	0	74.6454	177368	0.00104007
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Renter	1980-99	0.310431	0.321701	0.247345	0.112026	0.00849685	0	0	0	0	34.6767	62124.6	0.000682425
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Renter	2000-09	0.265606	0.140434	0.501185	0.0927756	0	0	0	0	0	9.7165	22485.2	0.000236309
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Renter	2010s	0	0.598479	0.193305	0.208216	0	0	0	0	0	1.06357	2573.85	0.000123255
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, not/partially in principal city	Renter	<1940	0.336014	0.412692	0.155282	0.0960117	0	0	0	0	0	27.1707	64812.7	0.000448896
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Owner	1940-59	0.154045	0.268236	0.294472	0.186594	0.0639928	0.0202617	0.011939	0	0.000459952	2.39974	6261.86	6.37008e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Owner	1960-79	0.0939046	0.24341	0.342872	0.228003	0.0599463	0.0133453	0.0141069	0.00184382	0.00256806	6.45438	15434	7.52423e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Owner	1980-99	0.149187	0.1794	0.253352	0.254163	0.104291	0.0365335	0.0222065	0.0002373	0.000629681	3.29139	7200.18	1.82992e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Owner	2000-09	0.0605461	0.173475	0.287298	0.370701	0.0790182	0.0270875	0	0.00187387	0	0.66581	1526.08	7.85077e-06
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Owner	2010s	0.0813222	0.153954	0.356356	0.296212	0.0595869	0	0.0525692	0	0	0.081371	236.661	7.1038e-06
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Owner	<1940	0.142727	0.192829	0.284315	0.263422	0.0927279	0.0137429	0.00619177	0.00215832	0.00188599	12.2151	33007.5	8.85389e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Renter	1940-59	0.286449	0.326873	0.255618	0.11379	0.0125235	0.00427902	0.000199269	0	0.000267849	49.4034	106581	0.000970284
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Renter	1960-79	0.188814	0.320736	0.321831	0.150348	0.0126854	0.00304751	0.000254594	0.00066628	0.00161708	132.876	262698	0.00105903
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Renter	1980-99	0.308276	0.242936	0.244388	0.172238	0.0226804	0.00857371	0.000411869	8.81245e-05	0.000407481	67.7596	122552	0.000386418
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Renter	2000-09	0.137091	0.257409	0.303672	0.275269	0.0188299	0.00696567	0	0.000762524	0	13.707	25975	0.000202261
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Renter	2010s	0.179736	0.222987	0.367671	0.214703	0.0138603	0	0.00104287	0	0	1.67518	4028.14	0.000141468
Middle Atlantic	Multi-Family with 5+ Units	<20000	In metro area, principal city	Renter	<1940	0.285134	0.252452	0.26515	0.172585	0.0194961	0.0031181	0.000111027	0.000774904	0.00117994	251.471	561811	0.00144003
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Owner	1940-59	0	0.535312	0.464688	0	0	0	0	0	0	0.54975	80.7132	3.59728e-07
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Owner	1960-79	0	0.603742	0.396258	0	0	0	0	0	0	0.419075	293.143	1.51927e-06
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Owner	1980-99	0	0.426804	0.573196	0	0	0	0	0	0	0.208822	121.897	1.31925e-06
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Owner	2000-09	0	0.553162	0.446838	0	0	0	0	0	0	1.65869e-20	1.94136e-38	6.68826e-08
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Owner	2010s	0	0.47604	0.52396	0	0	0	0	0	0	0.337372	57.4696	9.22488e-08
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Owner	<1940	0	0.623677	0.376323	0	0	0	0	0	0	0.964374	781.822	1.23472e-06
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Renter	1940-59	0.0987269	0.57829	0.322983	0	0	0	0	0	0	2.99789	2154.19	5.29508e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Renter	1960-79	0.371174	0.442124	0.186702	0	0	0	0	0	0	2.2853	7823.81	0.000148925
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Renter	1980-99	0.22036	0.418244	0.361396	0	0	0	0	0	0	1.13874	3253.36	0.000128908
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Renter	2000-09	0.123124	0.576994	0.299882	0	0	0	0	0	0	9.04518e-20	5.18137e-37	2.87965e-05
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Renter	2010s	0.311886	0.402838	0.285276	0	0	0	0	0	0	1.83975	1533.83	9.81985e-06
Middle Atlantic	Multi-Family with 5+ Units	<20000	Not/partially in metro area	Renter	<1940	0.319431	0.490245	0.190324	0	0	0	0	0	0	5.25892	20866.4	9.31568e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Owner	1940-59	0	0	0.00253582	0.144617	0.493702	0.359145	0	0	0	0.726306	3217.66	0.00010178
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Owner	1960-79	0	0	0.0373354	0.30104	0.308821	0.110124	0.242679	0	0	1.68152	5456.92	0.00015077
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Owner	1980-99	0	0	0.00741175	0.149962	0.578672	0.193012	0.0709418	0	0	3.68416	14507.2	0.00035741
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Owner	2000-09	0	0	0.00619734	0.0531126	0.373232	0.194402	0.373056	0	0	1.38965	6106.31	0.000150178
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Owner	2010s	0	0	0.00180706	0.138341	0.529714	0.260209	0.0699295	0	0	0.818492	183.247	5.87306e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Owner	<1940	0	0	0.0111309	0.232344	0.67913	0.0460884	0.031307	0	0	12.6977	58187.6	0.000173145
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Renter	1940-59	0	0	0.0251861	0.280699	0.306388	0.387727	0	0	0	0.207614	670.875	3.49721e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Renter	1960-79	0	0	0.27033	0.425968	0.139716	0.08667	0.0773147	0	0	0.48066	1137.76	3.35864e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Renter	1980-99	0	0	0.0764281	0.3022	0.372848	0.216337	0.0321878	0	0	1.05311	3024.73	0.00010297
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Renter	2000-09	0	0	0.0800245	0.134028	0.301136	0.272855	0.211957	0	0	0.397231	1273.16	5.1121e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Renter	2010s	0	0	0.019368	0.289762	0.354748	0.303144	0.0329783	0	0	0.233965	38.2067	2.04623e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, not/partially in principal city	Renter	<1940	0	0	0.105648	0.430964	0.402764	0.0475486	0.0130746	0	0	3.62962	12132	4.85666e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Owner	1940-59	0.0181197	0.0199307	0.0816873	0.346303	0.311291	0.141851	0.0510531	0.0109757	0.0187879	19.3235	37447.9	0.000165523
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Owner	1960-79	0.00542411	0.0180378	0.0412416	0.237055	0.409854	0.204663	0.0617105	0.00901646	0.0129971	14.7605	29839.7	9.70595e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Owner	1980-99	0.00337504	0.00980923	0.017584	0.15588	0.547597	0.168475	0.0692223	0.0196699	0.0083885	19.0585	39922.9	6.6729e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Owner	2000-09	0.0102219	0	0.0290426	0.103323	0.400666	0.268064	0.150265	0.0243957	0.0140212	2.19445	5075.92	2.6446e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Owner	2010s	0.00444969	0.00710639	0	0.0728052	0.183087	0.514266	0.144542	0.0102329	0.0635106	0.282423	517.091	7.64422e-06
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Owner	<1940	0.0339292	0.0254131	0.0447469	0.285893	0.292501	0.175584	0.104634	0.0104962	0.0268029	62.2659	126066	0.000238139
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Renter	1940-59	0.0247679	0.0682968	0.26964	0.359728	0.164592	0.0665884	0.0280796	0.00567079	0.0126361	3.13324	5975.94	2.89861e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Renter	1960-79	0.00913392	0.0761473	0.167709	0.30336	0.26697	0.118358	0.0418138	0.00573905	0.0107689	2.39337	4761.82	1.62424e-05
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Renter	1980-99	0.00677744	0.0493814	0.0852704	0.237879	0.425355	0.116185	0.0559326	0.0149302	0.00828833	3.09027	6370.9	7.6913e-06
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Renter	2000-09	0.0211852	0	0.145355	0.162734	0.321209	0.190796	0.125311	0.0191112	0.0142982	0.355822	810.015	3.33822e-06
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Renter	2010s	0.0106375	0.0425893	0	0.132268	0.169306	0.422208	0.139039	0.00924665	0.0747055	0.0457939	82.5175	1.6254e-06
Middle Atlantic	Single-Family Attached	100000-149999	In metro area, principal city	Renter	<1940	0.0517482	0.0971677	0.164808	0.331365	0.172565	0.0919677	0.0642135	0.00605104	0.0201141	10.0962	20117.6	5.47949e-05
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Owner	1940-59	0	0	0.112937	0.409642	0.0447213	0.432699	0	0	0	0.348498	1043.12	3.47614e-06
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Owner	1960-79	0	0	0.173428	0.383249	0.0909684	0.265489	0.0868655	0	0	0.554015	557.816	3.57708e-06
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Owner	1980-99	0	0	0.153002	0.295294	0.0409873	0.310298	0.049291	0	0.151128	2.23736	5221.23	6.96715e-06
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Owner	2000-09	0	0	0.0615479	0.220193	0.0335612	0.461214	0.0607508	0	0.162732	6.79813e-21	2.05054e-37	2.46248e-06
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Owner	2010s	0	0	0.161666	0.377413	0.192532	0.268389	0	0	0	0.136771	702.415	1.52654e-06
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Owner	<1940	0	0	0.0515733	0.11775	0.0346409	0.152633	0.144562	0	0.498841	0.415309	719.62	1.58805e-05
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Renter	1940-59	0	0	0.469845	0.406911	0.0198459	0.103398	0	0	0	0.973016	118.99	1.14058e-06
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Renter	1960-79	0	0	0.591044	0.311858	0.0330697	0.0519703	0.0120576	0	0	1.54683	63.6312	1.18086e-06
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Renter	1980-99	0	0	0.617662	0.284632	0.0176498	0.0719514	0.00810466	0	0	6.24678	595.596	2.23033e-06
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Renter	2000-09	0	0	0.419638	0.35846	0.0244083	0.180623	0.0168705	0	0	1.89806e-20	2.33909e-38	1.89077e-06
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Renter	2010s	0	0	0.561861	0.313186	0.0713759	0.0535775	0	0	0	0.38187	80.1259	7.3371e-07
Middle Atlantic	Single-Family Attached	100000-149999	Not/partially in metro area	Renter	<1940	0	0	0.526052	0.286775	0.0376904	0.0894248	0.0600582	0	0	1.15956	82.0885	4.66096e-06
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Owner	1940-59	0	0	0	0	0.243252	0.321815	0	0.434933	0	0.269002	1254.51	5.77636e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Owner	1960-79	0	0	0	0	0.422051	0.273704	0.304245	0	0	0.622784	2127.56	0.000112584
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Owner	1980-99	0	0	0	0	0.449337	0.272563	0.0505331	0.227567	0	1.3645	5656.13	0.000375315
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Owner	2000-09	0	0	0	0	0.349142	0.330725	0.320133	0	0	0.514687	2380.75	0.000188855
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Owner	2010s	0	0	0	0	0.329216	0.294107	0.0398689	0.336808	0	0.303145	71.445	8.00418e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Owner	<1940	0	0	0	0	0.566186	0.0698782	0.0239431	0.339993	0	4.70284	22686.4	0.000121814
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Renter	1940-59	0	0	0	0	0.302899	0.697101	0	0	0	0.076894	261.563	1.21737e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Renter	1960-79	0	0	0	0	0.379395	0.428013	0.192593	0	0	0.178022	443.593	1.56923e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Renter	1980-99	0	0	0	0	0.468513	0.494384	0.0371035	0	0	0.390042	1179.29	7.26902e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Renter	2000-09	0	0	0	0	0.303627	0.500326	0.196047	0	0	0.147123	496.382	4.44314e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Renter	2010s	0	0	0	0	0.37888	0.588809	0.0323106	0	0	0.0866538	14.8962	1.51671e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, not/partially in principal city	Renter	<1940	0	0	0	0	0.803549	0.172522	0.023929	0	0	1.3443	4730.07	2.52128e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Owner	1940-59	0.0213938	0.0275819	0.0551082	0.356827	0.248201	0.119356	0.060135	0.0761862	0.0352105	20.734	41805.3	0.000143434
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Owner	1960-79	0.00665665	0.0259464	0.0289193	0.253887	0.33967	0.178995	0.0755536	0.0650536	0.0253181	15.8379	33311.8	9.98303e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Owner	1980-99	0.00397612	0.0135451	0.0118365	0.160264	0.435654	0.141446	0.0813571	0.136236	0.0156863	20.4496	44568.3	6.90151e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Owner	2000-09	0.0114316	0	0.0185581	0.100841	0.302592	0.213643	0.167649	0.160396	0.0248895	2.35463	5666.54	3.79146e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Owner	2010s	0.00510511	0.00955632	0	0.0728958	0.141851	0.420473	0.165439	0.0690212	0.115659	0.303038	577.259	2.15806e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Owner	<1940	0.0389956	0.0342348	0.0293853	0.286755	0.227023	0.143814	0.119973	0.0709225	0.0488968	66.8109	140735	0.000306395
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Renter	1940-59	0.0304711	0.0984839	0.189543	0.386223	0.136744	0.0583811	0.0344634	0.0410157	0.0246756	3.36194	6671.29	1.88923e-05
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Renter	1960-79	0.0111917	0.10936	0.117414	0.324385	0.220902	0.10335	0.0511123	0.0413414	0.0209443	2.56807	5315.9	6.18467e-06
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Renter	1980-99	0.00799461	0.0682749	0.0574718	0.24488	0.338831	0.0976689	0.0658211	0.103539	0.0155187	3.31583	7112.21	5.38755e-06
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Renter	2000-09	0.0246567	0	0.0966622	0.16529	0.252459	0.158251	0.1455	0.130767	0.0264145	0.381794	904.268	3.25175e-06
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Renter	2010s	0.0117821	0.0552903	0	0.12785	0.126635	0.33326	0.153634	0.0602108	0.131338	0.0491365	92.1191	4.59637e-06
Middle Atlantic	Single-Family Attached	150000+	In metro area, principal city	Renter	<1940	0.0599892	0.132028	0.109164	0.335234	0.135092	0.0759779	0.074263	0.0412397	0.0370113	10.8331	22458.5	4.02409e-05
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Owner	1940-59	0	0	0.154425	0.196909	0.271845	0.376821	0	0	0	0.27382	1.13572e-17	1.74986e-06
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Owner	1960-79	0	0	0.123101	0.0956315	0.28705	0.120021	0.0725616	0.301636	0	0.435297	6.07336e-18	1.34402e-06
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Owner	1980-99	0	0	0.185892	0.126124	0.22138	0.240109	0.0704771	0	0.156019	1.75793	5.68475e-17	2.26482e-06
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Owner	2000-09	0	0	0.0600571	0.0755326	0.145584	0.28663	0.0697624	0.227508	0.134926	5.34139e-21	2.23257e-57	2.07445e-06
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Owner	2010s	0	0	0.0545904	0.0448016	0.289019	0.0577205	0	0.553868	0	0.107463	7.64772e-18	5.2634e-07
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Owner	<1940	0	0	0.0485988	0.039007	0.145116	0.0916042	0.160315	0.115938	0.399421	0.326314	7.83505e-18	5.7722e-06
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Renter	1940-59	0	0	0.612597	0.186509	0.115032	0.085862	0	0	0	0.764513	1.29554e-18	8.75435e-07
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Renter	1960-79	0	0	0.6604	0.122497	0.164264	0.0369837	0.0158551	0	0	1.21536	6.92801e-19	4.80851e-08
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Renter	1980-99	0	0	0.725339	0.117504	0.0921418	0.0538142	0.0112006	0	0	4.90818	6.4847e-18	1.20021e-06
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Renter	2000-09	0	0	0.531825	0.159704	0.137517	0.145792	0.0251617	0	0	1.49133e-20	2.54674e-58	7.2115e-07
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Renter	2010s	0	0	0.54902	0.107583	0.310054	0.0333434	0	0	0	0.300041	8.72391e-19	7.45158e-07
Middle Atlantic	Single-Family Attached	150000+	Not/partially in metro area	Renter	<1940	0	0	0.570522	0.109336	0.181719	0.0617688	0.0766539	0	0	0.911079	8.93759e-19	7.39338e-07
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Owner	1940-59	0	0.103282	0.010185	0.284162	0.346211	0.148595	0	0.107565	0	1.21051	5151.56	0.000124614
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Owner	1960-79	0	0.0206581	0.13033	0.514103	0.188219	0.0396	0.10709	0	0	2.80253	8736.69	0.000130043
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Owner	1980-99	0	0	0.0337586	0.334155	0.460181	0.0905604	0.0408468	0.0404976	0	6.14026	23226.5	0.000189777
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Owner	2000-09	0	0.0174882	0.0370081	0.155164	0.389137	0.119586	0.281616	0	0	2.31609	9776.39	6.37232e-05
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Owner	2010s	0	0.000554121	0.00843726	0.315996	0.43182	0.125153	0.0412744	0.0767659	0	1.36415	293.384	1.70556e-05
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Owner	<1940	0	0.00947226	0.0416925	0.425754	0.444131	0.0177831	0.0148238	0.0463431	0	21.1628	93160.1	0.000220014
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Renter	1940-59	0	0.457828	0.0533523	0.290894	0.113318	0.0846075	0	0	0	0.346023	1074.09	8.89631e-05
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Renter	1960-79	0	0.064973	0.484396	0.373409	0.0437104	0.015998	0.017513	0	0	0.8011	1821.59	8.62264e-05
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Renter	1980-99	0	0	0.242075	0.468265	0.206186	0.0705858	0.0128878	0	0	1.75519	4842.69	0.000121791
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Renter	2000-09	0	0.112254	0.280716	0.230007	0.184434	0.0985979	0.0939906	0	0	0.662052	2038.36	4.84055e-05
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Renter	2010s	0	0.00414743	0.0746258	0.546195	0.238647	0.120322	0.0160629	0	0	0.389942	61.17	1.92462e-05
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, not/partially in principal city	Renter	<1940	0	0.0491015	0.255395	0.509674	0.169993	0.0118407	0.00399548	0	0	6.04936	19423.7	0.000181418
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, principal city	Owner	1940-59	0.0304321	0.0325069	0.148573	0.472315	0.161315	0.0878148	0.0129443	0.0193276	0.0347707	24.1191	41967.9	0.00018825
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, principal city	Owner	1960-79	0.0109556	0.0353805	0.0902084	0.388821	0.255425	0.15237	0.0188167	0.0190945	0.0289272	18.4237	33441.3	7.41571e-05
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, principal city	Owner	1980-99	0.00785061	0.0221581	0.0442943	0.294448	0.393019	0.144449	0.0243079	0.0479726	0.0215012	23.7883	44741.6	3.84973e-05
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, principal city	Owner	2000-09	0.0248268	0	0.0763889	0.20379	0.300262	0.239985	0.0550966	0.0621253	0.0375257	2.73906	5688.58	8.67494e-06
Middle Atlantic	Single-Family Attached	20000-39999	In metro area, principal city	Owner	2010s	0.0106183	0.0164683	0	0.141086	0.134807	0.452343	0.0520713	0.025603	0.167003	0.352513	579.504	2.31676e-06
