Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage	Option=None	"Option=Uninsulated, Vented"	"Option=Ceiling R-7, Vented"	"Option=Ceiling R-13, Vented"	"Option=Ceiling R-19, Vented"	"Option=Ceiling R-30, Vented"	"Option=Ceiling R-38, Vented"	"Option=Ceiling R-49, Vented"	resstock_probability
Single-Family Detached	CR08	1940s	0%	4%	14%	16%	28%	13%	22%	4%	0.004132292
Single-Family Detached	CR08	2010s	0%	0%	0%	0%	5%	57%	34%	4%	0.002642529
Mobile Home	CR08	<1940	0%	4%	14%	16%	28%	13%	22%	4%	0.001013514
Mobile Home	CR08	1950s	0%	3%	8%	14%	23%	15%	28%	8%	0.00082724
Mobile Home	CR08	1960s	0%	1%	4%	16%	36%	9%	26%	8%	0.000847133
Mobile Home	CR08	1970s	0%	1%	7%	12%	22%	19%	31%	8%	0.001211949
Mobile Home	CR08	1980s	0%	0%	1%	8%	27%	40%	22%	2%	0.001059328
Mobile Home	CR08	1990s	0%	0%	0%	0%	9%	66%	18%	6%	0.001098981
Mobile Home	CR08	2000s	0%	0%	0%	0%	5%	57%	34%	4%	0.001130433
Mobile Home	CR08	1940s	0%	4%	14%	16%	28%	13%	22%	4%	0.000401835
Mobile Home	CR08	2010s	0%	0%	0%	0%	5%	57%	34%	4%	0.000256966
Single-Family Attached	CR08	<1940	0%	4%	14%	16%	28%	13%	22%	4%	0.00096341
Single-Family Attached	CR08	1950s	0%	3%	8%	14%	23%	15%	28%	8%	0.000786346
Single-Family Attached	CR08	1960s	0%	1%	4%	16%	36%	9%	26%	8%	0.000805255
Single-Family Attached	CR08	1970s	0%	1%	7%	12%	22%	19%	31%	8%	0.001152036
Single-Family Attached	CR08	1980s	0%	0%	1%	8%	27%	40%	22%	2%	0.00100696
Single-Family Attached	CR08	1990s	0%	0%	0%	0%	9%	66%	18%	6%	0.001044652
Single-Family Attached	CR08	2000s	0%	0%	0%	0%	5%	57%	34%	4%	0.00107455
Single-Family Attached	CR08	1940s	0%	4%	14%	16%	28%	13%	22%	4%	0.00038197
Single-Family Attached	CR08	2010s	0%	0%	0%	0%	5%	57%	34%	4%	0.000244263
Multi-Family with 2 - 4 Units	CR08	<1940	100%	0%	0%	0%	0%	0%	0%	0%	0.001298448
Multi-Family with 2 - 4 Units	CR08	1950s	100%	0%	0%	0%	0%	0%	0%	0%	0.001081217
Multi-Family with 2 - 4 Units	CR08	1960s	100%	0%	0%	0%	0%	0%	0%	0%	0.001096144
Multi-Family with 2 - 4 Units	CR08	1970s	100%	0%	0%	0%	0%	0%	0%	0%	0.001568197
Multi-Family with 2 - 4 Units	CR08	1980s	100%	0%	0%	0%	0%	0%	0%	0%	0.001370714
Multi-Family with 2 - 4 Units	CR08	1990s	100%	0%	0%	0%	0%	0%	0%	0%	0.001436386
Multi-Family with 2 - 4 Units	CR08	2000s	100%	0%	0%	0%	0%	0%	0%	0%	0.00146272
Multi-Family with 2 - 4 Units	CR08	1940s	100%	0%	0%	0%	0%	0%	0%	0%	0.000514804
Multi-Family with 2 - 4 Units	CR08	2010s	100%	0%	0%	0%	0%	0%	0%	0%	0.000332501
Multi-Family with 5+ Units	CR08	<1940	100%	0%	0%	0%	0%	0%	0%	0%	0.002834827
Multi-Family with 5+ Units	CR08	1950s	100%	0%	0%	0%	0%	0%	0%	0%	0.002360559
Multi-Family with 5+ Units	CR08	1960s	100%	0%	0%	0%	0%	0%	0%	0%	0.002393149
Multi-Family with 5+ Units	CR08	1970s	100%	0%	0%	0%	0%	0%	0%	0%	0.003423756
Multi-Family with 5+ Units	CR08	1980s	100%	0%	0%	0%	0%	0%	0%	0%	0.0029926
Multi-Family with 5+ Units	CR08	1990s	100%	0%	0%	0%	0%	0%	0%	0%	0.003135979
Multi-Family with 5+ Units	CR08	2000s	100%	0%	0%	0%	0%	0%	0%	0%	0.003193474
Multi-Family with 5+ Units	CR08	1940s	100%	0%	0%	0%	0%	0%	0%	0%	0.001123943
Multi-Family with 5+ Units	CR08	2010s	100%	0%	0%	0%	0%	0%	0%	0%	0.000725929
Single-Family Detached	CR09	<1940	0%	18%	16%	28%	13%	22%	4%	0%	0.023740446
Single-Family Detached	CR09	1950s	0%	11%	14%	23%	15%	28%	8%	0%	0.019377199
Single-Family Detached	CR09	1960s	0%	4%	16%	36%	9%	26%	8%	0%	0.019644723
Single-Family Detached	CR09	1970s	0%	8%	12%	22%	19%	31%	8%	0%	0.028388584
Single-Family Detached	CR09	1980s	0%	1%	8%	27%	40%	22%	2%	0%	0.024813595
Single-Family Detached	CR09	1990s	0%	0%	0%	0%	27%	64%	8%	1%	0.026002442
Single-Family Detached	CR09	2000s	0%	0%	0%	0%	13%	70%	16%	1%	0.026479166
Single-Family Detached	CR09	1940s	0%	18%	16%	28%	13%	22%	4%	0%	0.009412534
Single-Family Detached	CR09	2010s	0%	0%	0%	0%	13%	70%	16%	1%	0.006019153
Mobile Home	CR09	<1940	0%	18%	16%	28%	13%	22%	4%	0%	0.002308581
Mobile Home	CR09	1950s	0%	11%	14%	23%	15%	28%	8%	0%	0.001884288
Mobile Home	CR09	1960s	0%	4%	16%	36%	9%	26%	8%	0%	0.001910303
Mobile Home	CR09	1970s	0%	8%	12%	22%	19%	31%	8%	0%	0.002760578
Mobile Home	CR09	1980s	0%	1%	8%	27%	40%	22%	2%	0%	0.002412937
Mobile Home	CR09	1990s	0%	0%	0%	0%	27%	64%	8%	1%	0.002528543
Mobile Home	CR09	2000s	0%	0%	0%	0%	13%	70%	16%	1%	0.002574901
Mobile Home	CR09	1940s	0%	18%	16%	28%	13%	22%	4%	0%	0.000915299
Mobile Home	CR09	2010s	0%	0%	0%	0%	13%	70%	16%	1%	0.000585318
Single-Family Attached	CR09	<1940	0%	18%	16%	28%	13%	22%	4%	0%	0.002194456
Single-Family Attached	CR09	1950s	0%	11%	14%	23%	15%	28%	8%	0%	0.001791138
Single-Family Attached	CR09	1960s	0%	4%	16%	36%	9%	26%	8%	0%	0.001815867
Single-Family Attached	CR09	1970s	0%	8%	12%	22%	19%	31%	8%	0%	0.002624108
Single-Family Attached	CR09	1980s	0%	1%	8%	27%	40%	22%	2%	0%	0.002293653
Single-Family Attached	CR09	1990s	0%	0%	0%	0%	27%	64%	8%	1%	0.002403545
Single-Family Attached	CR09	2000s	0%	0%	0%	0%	13%	70%	16%	1%	0.002447611
Single-Family Attached	CR09	1940s	0%	18%	16%	28%	13%	22%	4%	0%	0.000870051
Single-Family Attached	CR09	2010s	0%	0%	0%	0%	13%	70%	16%	1%	0.000556382
Multi-Family with 2 - 4 Units	CR09	<1940	100%	0%	0%	0%	0%	0%	0%	0%	0.002957605
Multi-Family with 2 - 4 Units	CR09	1950s	100%	0%	0%	0%	0%	0%	0%	0%	0.002462796
Multi-Family with 2 - 4 Units	CR09	1960s	100%	0%	0%	0%	0%	0%	0%	0%	0.002496798
Multi-Family with 2 - 4 Units	CR09	1970s	100%	0%	0%	0%	0%	0%	0%	0%	0.00357204
Multi-Family with 2 - 4 Units	CR09	1980s	100%	0%	0%	0%	0%	0%	0%	0%	0.003122211
Multi-Family with 2 - 4 Units	CR09	1990s	100%	0%	0%	0%	0%	0%	0%	0%	0.0032718
Multi-Family with 2 - 4 Units	CR09	2000s	100%	0%	0%	0%	0%	0%	0%	0%	0.003331785
Multi-Family with 2 - 4 Units	CR09	1940s	100%	0%	0%	0%	0%	0%	0%	0%	0.001172621
Multi-Family with 2 - 4 Units	CR09	2010s	100%	0%	0%	0%	0%	0%	0%	0%	0.00075737
Multi-Family with 5+ Units	CR09	<1940	100%	0%	0%	0%	0%	0%	0%	0%	0.006457169
Multi-Family with 5+ Units	CR09	1950s	100%	0%	0%	0%	0%	0%	0%	0%	0.005376881
Multi-Family with 5+ Units	CR09	1960s	100%	0%	0%	0%	0%	0%	0%	0%	0.005451115
Multi-Family with 5+ Units	CR09	1970s	100%	0%	0%	0%	0%	0%	0%	0%	0.007798631
Multi-Family with 5+ Units	CR09	1980s	100%	0%	0%	0%	0%	0%	0%	0%	0.006816545
Multi-Family with 5+ Units	CR09	1990s	100%	0%	0%	0%	0%	0%	0%	0%	0.007143133
Multi-Family with 5+ Units	CR09	2000s	100%	0%	0%	0%	0%	0%	0%	0%	0.007274094
Multi-Family with 5+ Units	CR09	1940s	100%	0%	0%	0%	0%	0%	0%	0%	0.002560117
Multi-Family with 5+ Units	CR09	2010s	100%	0%	0%	0%	0%	0%	0%	0%	0.001653522
Single-Family Detached	CR10	<1940	0%	18%	16%	28%	13%	22%	4%	0%	0.003055186
Single-Family Detached	CR10	1950s	0%	11%	14%	23%	15%	28%	8%	0%	0.002493674
Single-Family Detached	CR10	1960s	0%	4%	16%	36%	9%	26%	8%	0%	0.002528102
Single-Family Detached	CR10	1970s	0%	8%	12%	22%	19%	31%	8%	0%	0.00365336
Single-Family Detached	CR10	1980s	0%	1%	8%	27%	40%	22%	2%	0%	0.00319329
Single-Family Detached	CR10	1990s	0%	0%	0%	0%	18%	54%	28%	0%	0.003346285
Single-Family Detached	CR10	2000s	0%	0%	0%	0%	1%	62%	34%	3%	0.003407635
Single-Family Detached	CR10	1940s	0%	18%	16%	28%	13%	22%	4%	0%	0.00121131
Single-Family Detached	CR10	2010s	0%	0%	0%	0%	1%	62%	34%	3%	0.000774612
Mobile Home	CR10	<1940	0%	18%	16%	28%	13%	22%	4%	0%	0.000297094
Mobile Home	CR10	1950s	0%	11%	14%	23%	15%	28%	8%	0%	0.000242491
Mobile Home	CR10	1960s	0%	4%	16%	36%	9%	26%	8%	0%	0.000245839
Mobile Home	CR10	1970s	0%	8%	12%	22%	19%	31%	8%	0%	0.000355262
Mobile Home	CR10	1980s	0%	1%	8%	27%	40%	22%	2%	0%	0.000310524
Mobile Home	CR10	1990s	0%	0%	0%	0%	18%	54%	28%	0%	0.000325401
Mobile Home	CR10	2000s	0%	0%	0%	0%	1%	62%	34%	3%	0.000331367
Mobile Home	CR10	1940s	0%	18%	16%	28%	13%	22%	4%	0%	0.000117791
Mobile Home	CR10	2010s	0%	0%	0%	0%	1%	62%	34%	3%	7.53E-05
Single-Family Attached	CR10	<1940	0%	18%	16%	28%	13%	22%	4%	0%	0.000282407
Single-Family Attached	CR10	1950s	0%	11%	14%	23%	15%	28%	8%	0%	0.000230504
Single-Family Attached	CR10	1960s	0%	4%	16%	36%	9%	26%	8%	0%	0.000233686
Single-Family Attached	CR10	1970s	0%	8%	12%	22%	19%	31%	8%	0%	0.0003377
Single-Family Attached	CR10	1980s	0%	1%	8%	27%	40%	22%	2%	0%	0.000295173
Single-Family Attached	CR10	1990s	0%	0%	0%	0%	18%	54%	28%	0%	0.000309315
Single-Family Attached	CR10	2000s	0%	0%	0%	0%	1%	62%	34%	3%	0.000314986
Single-Family Attached	CR10	1940s	0%	18%	16%	28%	13%	22%	4%	0%	0.000111968
Single-Family Attached	CR10	2010s	0%	0%	0%	0%	1%	62%	34%	3%	7.16E-05
Multi-Family with 2 - 4 Units	CR10	<1940	100%	0%	0%	0%	0%	0%	0%	0%	0.000380618
Multi-Family with 2 - 4 Units	CR10	1950s	100%	0%	0%	0%	0%	0%	0%	0%	0.00031694
Multi-Family with 2 - 4 Units	CR10	1960s	100%	0%	0%	0%	0%	0%	0%	0%	0.000321316
Multi-Family with 2 - 4 Units	CR10	1970s	100%	0%	0%	0%	0%	0%	0%	0%	0.00045969
Multi-Family with 2 - 4 Units	CR10	1980s	100%	0%	0%	0%	0%	0%	0%	0%	0.000401801
Multi-Family with 2 - 4 Units	CR10	1990s	100%	0%	0%	0%	0%	0%	0%	0%	0.000421052
Multi-Family with 2 - 4 Units	CR10	2000s	100%	0%	0%	0%	0%	0%	0%	0%	0.000428771
Multi-Family with 2 - 4 Units	CR10	1940s	100%	0%	0%	0%	0%	0%	0%	0%	0.000150906
Multi-Family with 2 - 4 Units	CR10	2010s	100%	0%	0%	0%	0%	0%	0%	0%	9.75E-05
Multi-Family with 5+ Units	CR10	<1940	100%	0%	0%	0%	0%	0%	0%	0%	0.000830981
Multi-Family with 5+ Units	CR10	1950s	100%	0%	0%	0%	0%	0%	0%	0%	0.000691957
Multi-Family with 5+ Units	CR10	1960s	100%	0%	0%	0%	0%	0%	0%	0%	0.00070151
Multi-Family with 5+ Units	CR10	1970s	100%	0%	0%	0%	0%	0%	0%	0%	0.001003615
Multi-Family with 5+ Units	CR10	1980s	100%	0%	0%	0%	0%	0%	0%	0%	0.000877229
Multi-Family with 5+ Units	CR10	1990s	100%	0%	0%	0%	0%	0%	0%	0%	0.000919258
Multi-Family with 5+ Units	CR10	2000s	100%	0%	0%	0%	0%	0%	0%	0%	0.000936112
Multi-Family with 5+ Units	CR10	1940s	100%	0%	0%	0%	0%	0%	0%	0%	0.000329464
Multi-Family with 5+ Units	CR10	2010s	100%	0%	0%	0%	0%	0%	0%	0%	0.000212794
Single-Family Detached	CR11	<1940	0%	18%	16%	28%	13%	22%	4%	0%	0.008477455
Single-Family Detached	CR11	1950s	0%	11%	14%	23%	15%	28%	8%	0%	0.006919387
Single-Family Detached	CR11	1960s	0%	4%	16%	36%	9%	26%	8%	0%	0.007014917
Single-Family Detached	CR11	1970s	0%	8%	12%	22%	19%	31%	8%	0%	0.010137254
Single-Family Detached	CR11	1980s	0%	1%	8%	27%	40%	22%	2%	0%	0.008860665
Single-Family Detached	CR11	1990s	0%	0%	0%	0%	17%	71%	12%	1%	0.009378041
Single-Family Detached	CR11	2000s	0%	0%	0%	0%	11%	58%	28%	4%	0.009549976
Single-Family Detached	CR11	1940s	0%	18%	16%	28%	13%	22%	4%	0%	0.003361113
Single-Family Detached	CR11	2010s	0%	0%	0%	0%	11%	58%	28%	4%	0.002170868
Mobile Home	CR11	<1940	0%	18%	16%	28%	13%	22%	4%	0%	0.000824369
Mobile Home	CR11	1950s	0%	11%	14%	23%	15%	28%	8%	0%	0.000672859
Mobile Home	CR11	1960s	0%	4%	16%	36%	9%	26%	8%	0%	0.000682148
Mobile Home	CR11	1970s	0%	8%	12%	22%	19%	31%	8%	0%	0.000985772
Mobile Home	CR11	1980s	0%	1%	8%	27%	40%	22%	2%	0%	0.000861634
Mobile Home	CR11	1990s	0%	0%	0%	0%	17%	71%	12%	1%	0.000911944
Mobile Home	CR11	2000s	0%	0%	0%	0%	11%	58%	28%	4%	0.000928664
Mobile Home	CR11	1940s	0%	18%	16%	28%	13%	22%	4%	0%	0.000326843
Mobile Home	CR11	2010s	0%	0%	0%	0%	11%	58%	28%	4%	0.000211101
Single-Family Attached	CR11	<1940	0%	18%	16%	28%	13%	22%	4%	0%	0.000783616
Single-Family Attached	CR11	1950s	0%	11%	14%	23%	15%	28%	8%	0%	0.000639596
Single-Family Attached	CR11	1960s	0%	4%	16%	36%	9%	26%	8%	0%	0.000648426
Single-Family Attached	CR11	1970s	0%	8%	12%	22%	19%	31%	8%	0%	0.000937041
Single-Family Attached	CR11	1980s	0%	1%	8%	27%	40%	22%	2%	0%	0.000819039
Single-Family Attached	CR11	1990s	0%	0%	0%	0%	17%	71%	12%	1%	0.000866862
Single-Family Attached	CR11	2000s	0%	0%	0%	0%	11%	58%	28%	4%	0.000882755
Single-Family Attached	CR11	1940s	0%	18%	16%	28%	13%	22%	4%	0%	0.000310686
Single-Family Attached	CR11	2010s	0%	0%	0%	0%	11%	58%	28%	4%	0.000200665
Multi-Family with 2 - 4 Units	CR11	<1940	100%	0%	0%	0%	0%	0%	0%	0%	0.001056128
Multi-Family with 2 - 4 Units	CR11	1950s	100%	0%	0%	0%	0%	0%	0%	0%	0.000879438
Multi-Family with 2 - 4 Units	CR11	1960s	100%	0%	0%	0%	0%	0%	0%	0%	0.000891579
Multi-Family with 2 - 4 Units	CR11	1970s	100%	0%	0%	0%	0%	0%	0%	0%	0.001275537
Multi-Family with 2 - 4 Units	CR11	1980s	100%	0%	0%	0%	0%	0%	0%	0%	0.001114908
Multi-Family with 2 - 4 Units	CR11	1990s	100%	0%	0%	0%	0%	0%	0%	0%	0.001168324
Multi-Family with 2 - 4 Units	CR11	2000s	100%	0%	0%	0%	0%	0%	0%	0%	0.001189744
Multi-Family with 2 - 4 Units	CR11	1940s	100%	0%	0%	0%	0%	0%	0%	0%	0.00041873
Multi-Family with 2 - 4 Units	CR11	2010s	100%	0%	0%	0%	0%	0%	0%	0%	0.000270449
Multi-Family with 5+ Units	CR11	<1940	100%	0%	0%	0%	0%	0%	0%	0%	0.002305785
Multi-Family with 5+ Units	CR11	1950s	100%	0%	0%	0%	0%	0%	0%	0%	0.001920026
Multi-Family with 5+ Units	CR11	1960s	100%	0%	0%	0%	0%	0%	0%	0%	0.001946534
Multi-Family with 5+ Units	CR11	1970s	100%	0%	0%	0%	0%	0%	0%	0%	0.002784806
Multi-Family with 5+ Units	CR11	1980s	100%	0%	0%	0%	0%	0%	0%	0%	0.002434114
Multi-Family with 5+ Units	CR11	1990s	100%	0%	0%	0%	0%	0%	0%	0%	0.002550735
Multi-Family with 5+ Units	CR11	2000s	100%	0%	0%	0%	0%	0%	0%	0%	0.0025975
Multi-Family with 5+ Units	CR11	1940s	100%	0%	0%	0%	0%	0%	0%	0%	0.00091419
Multi-Family with 5+ Units	CR11	2010s	100%	0%	0%	0%	0%	0%	0%	0%	0.000590455
											
											
											
											
