Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Dependency=HVAC Heating Type	Dependency=Tenure	Option=55F	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	source_count	source_weight	sampling_probability
3A	Single-Family Detached	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	393	2.71394e+06	0.00317843
3A	Single-Family Detached	No	Ducted Heat Pump	Owner	0	0	0.00829896	0.0217541	0.0795291	0.282274	0.258214	0.203024	0.111208	0.0248283	0.00750506	0.00336405	357	2.46033e+06	0.0173476
3A	Single-Family Detached	No	Ducted Heat Pump	Renter	0	0	0	0.0215686	0.0143166	0.30587	0.162459	0.168638	0.23596	0.0911886	0	0	36	253606	0.00406909
3A	Single-Family Detached	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	1072	6.86335e+06	0.00571636
3A	Single-Family Detached	No	Ducted Heating	Owner	0	0.0096257	0.00599218	0.0369624	0.0507925	0.254909	0.283074	0.208678	0.103476	0.0243888	0.0148225	0.00727878	937	6.01638e+06	0.038055
3A	Single-Family Detached	No	Ducted Heating	Renter	0	0.0500799	0.00672473	0.0302087	0.0445134	0.15184	0.236723	0.195408	0.197565	0.0542996	0.0172376	0.0153993	135	846978	0.00910246
3A	Single-Family Detached	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	393	57954.9	8.2602e-05
3A	Single-Family Detached	No	Non-Ducted Heat Pump	Owner	0	0	0.00829896	0.0217541	0.0795291	0.282274	0.258214	0.203024	0.111208	0.0248283	0.00750506	0.00336405	357	57954.9	0.000476608
3A	Single-Family Detached	No	Non-Ducted Heat Pump	Renter	0	0	0	0.0215686	0.0143166	0.30587	0.162459	0.168638	0.23596	0.0911886	0	0	36	0	0.000114273
3A	Single-Family Detached	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	1072	638710	0.000779425
3A	Single-Family Detached	No	Non-Ducted Heating	Owner	0	0.0096257	0.00599218	0.0369624	0.0507925	0.254909	0.283074	0.208678	0.103476	0.0243888	0.0148225	0.00727878	937	513921	0.00402573
3A	Single-Family Detached	No	Non-Ducted Heating	Renter	0	0.0500799	0.00672473	0.0302087	0.0445134	0.15184	0.236723	0.195408	0.197565	0.0542996	0.0172376	0.0153993	135	124788	0.000995539
3A	Single-Family Detached	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9766e-05
3A	Single-Family Detached	No	None	Owner	0	0.0091789	0.00869198	0.0349401	0.0577663	0.261049	0.272694	0.204989	0.103168	0.0241622	0.0153263	0.00803454	0	0	0.000161187
3A	Single-Family Detached	No	None	Renter	0	0.0489483	0.00479672	0.0287964	0.0344162	0.187374	0.24839	0.170776	0.188645	0.0607649	0.0161081	0.0109843	0	0	4.04558e-05
3A	Single-Family Detached	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	57	0	0
3A	Single-Family Detached	Yes	Ducted Heat Pump	Owner	0	0.0781606	0.0722872	0.103248	0.0261261	0.215447	0.165727	0.139607	0.0271251	0.0133795	0.0938316	0.0650609	38	0	0
3A	Single-Family Detached	Yes	Ducted Heat Pump	Renter	0	0.131538	0	0.0321585	0	0.220078	0.490231	0	0.0377731	0.0503052	0.0379161	0	19	0	0
3A	Single-Family Detached	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	57	0	0
3A	Single-Family Detached	Yes	Ducted Heating	Owner	0	0.0781606	0.0722872	0.103248	0.0261261	0.215447	0.165727	0.139607	0.0271251	0.0133795	0.0938316	0.0650609	38	0	0
3A	Single-Family Detached	Yes	Ducted Heating	Renter	0	0.131538	0	0.0321585	0	0.220078	0.490231	0	0.0377731	0.0503052	0.0379161	0	19	0	0
3A	Single-Family Detached	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	57	0	0
3A	Single-Family Detached	Yes	Non-Ducted Heat Pump	Owner	0	0.0781606	0.0722872	0.103248	0.0261261	0.215447	0.165727	0.139607	0.0271251	0.0133795	0.0938316	0.0650609	38	0	0
3A	Single-Family Detached	Yes	Non-Ducted Heat Pump	Renter	0	0.131538	0	0.0321585	0	0.220078	0.490231	0	0.0377731	0.0503052	0.0379161	0	19	0	0
3A	Single-Family Detached	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	57	429783	0.000594651
3A	Single-Family Detached	Yes	Non-Ducted Heating	Owner	0	0.0781606	0.0722872	0.103248	0.0261261	0.215447	0.165727	0.139607	0.0271251	0.0133795	0.0938316	0.0650609	38	292793	0.00319321
3A	Single-Family Detached	Yes	Non-Ducted Heating	Renter	0	0.131538	0	0.0321585	0	0.220078	0.490231	0	0.0377731	0.0503052	0.0379161	0	19	136990	0.000798976
3A	Single-Family Detached	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3A	Single-Family Detached	Yes	None	Owner	0	0.0091789	0.00869198	0.0349401	0.0577663	0.261049	0.272694	0.204989	0.103168	0.0241622	0.0153263	0.00803454	0	0	0
3A	Single-Family Detached	Yes	None	Renter	0	0.0489483	0.00479672	0.0287964	0.0344162	0.187374	0.24839	0.170776	0.188645	0.0607649	0.0161081	0.0109843	0	0	0
3B	Mobile Home	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	42	15144.1	8.86734e-05
3B	Mobile Home	No	Ducted Heat Pump	Owner	0	0.0248035	0	0.0409443	0.0425154	0.100392	0.278421	0.295261	0.0472375	0.0734821	0.0330443	0.0638994	37	0	0.00024668
3B	Mobile Home	No	Ducted Heat Pump	Renter	0	0.0628174	0.0336893	0.109599	0.0408915	0.155057	0.263342	0.181736	0.0726407	0.0264249	0.0430671	0.010735	134	15144.1	0.000103655
3B	Mobile Home	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	40	361537	0.000455803
3B	Mobile Home	No	Ducted Heating	Owner	0	0.0252668	0	0.041709	0.0433094	0.102267	0.264944	0.300775	0.0481197	0.0748545	0.0336614	0.0650927	36	331199	0.00172912
3B	Mobile Home	No	Ducted Heating	Renter	0	0.0628174	0.0336893	0.109599	0.0408915	0.155057	0.263342	0.181736	0.0726407	0.0264249	0.0430671	0.010735	134	30338.2	0.000703626
3B	Mobile Home	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	42	6954.09	7.08784e-06
3B	Mobile Home	No	Non-Ducted Heat Pump	Owner	0	0.0248035	0	0.0409443	0.0425154	0.100392	0.278421	0.295261	0.0472375	0.0734821	0.0330443	0.0638994	37	6954.09	2.23358e-05
3B	Mobile Home	No	Non-Ducted Heat Pump	Renter	0	0.0628174	0.0336893	0.109599	0.0408915	0.155057	0.263342	0.181736	0.0726407	0.0264249	0.0430671	0.010735	134	0	9.78107e-06
3B	Mobile Home	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	40	46523.1	0.00010602
3B	Mobile Home	No	Non-Ducted Heating	Owner	0	0.0252668	0	0.041709	0.0433094	0.102267	0.264944	0.300775	0.0481197	0.0748545	0.0336614	0.0650927	36	41155.4	0.000338177
3B	Mobile Home	No	Non-Ducted Heating	Renter	0	0.0628174	0.0336893	0.109599	0.0408915	0.155057	0.263342	0.181736	0.0726407	0.0264249	0.0430671	0.010735	134	5367.7	0.000146525
3B	Mobile Home	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30674e-05
3B	Mobile Home	No	None	Owner	0	0.0505185	0.00524658	0.0481106	0.0418167	0.0962388	0.264068	0.27779	0.0564119	0.0686302	0.0349763	0.0561924	0	0	6.33378e-05
3B	Mobile Home	No	None	Renter	0	0.0628174	0.0336893	0.109599	0.0408915	0.155057	0.263342	0.181736	0.0726407	0.0264249	0.0430671	0.010735	0	0	2.93085e-05
3B	Mobile Home	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	42	0	0
3B	Mobile Home	Yes	Ducted Heat Pump	Owner	0	0.210392	0.0384526	0.0887155	0.0324614	0.0583059	0.25696	0.132951	0.108996	0.0293953	0.0433698	0	30	0	0
3B	Mobile Home	Yes	Ducted Heat Pump	Renter	0	0	0	0.169172	0	0.0997419	0.258479	0	0.100546	0.150036	0.222025	0	12	0	0
3B	Mobile Home	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	42	0	0
3B	Mobile Home	Yes	Ducted Heating	Owner	0	0.210392	0.0384526	0.0887155	0.0324614	0.0583059	0.25696	0.132951	0.108996	0.0293953	0.0433698	0	30	0	0
3B	Mobile Home	Yes	Ducted Heating	Renter	0	0	0	0.169172	0	0.0997419	0.258479	0	0.100546	0.150036	0.222025	0	12	0	0
3B	Mobile Home	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	42	0	0
3B	Mobile Home	Yes	Non-Ducted Heat Pump	Owner	0	0.210392	0.0384526	0.0887155	0.0324614	0.0583059	0.25696	0.132951	0.108996	0.0293953	0.0433698	0	30	0	0
3B	Mobile Home	Yes	Non-Ducted Heat Pump	Renter	0	0	0	0.169172	0	0.0997419	0.258479	0	0.100546	0.150036	0.222025	0	12	0	0
3B	Mobile Home	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	42	59931.1	5.68047e-05
3B	Mobile Home	Yes	Non-Ducted Heating	Owner	0	0.210392	0.0384526	0.0887155	0.0324614	0.0583059	0.25696	0.132951	0.108996	0.0293953	0.0433698	0	30	59931.1	0.000197204
3B	Mobile Home	Yes	Non-Ducted Heating	Renter	0	0	0	0.169172	0	0.0997419	0.258479	0	0.100546	0.150036	0.222025	0	12	0	8.36282e-05
3B	Mobile Home	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3B	Mobile Home	Yes	None	Owner	0	0.0505185	0.00524658	0.0481106	0.0418167	0.0962388	0.264068	0.27779	0.0564119	0.0686302	0.0349763	0.0561924	0	0	0
3B	Mobile Home	Yes	None	Renter	0	0.0628174	0.0336893	0.109599	0.0408915	0.155057	0.263342	0.181736	0.0726407	0.0264249	0.0430671	0.010735	0	0	0
3B	Multi-Family with 2 - 4 Units	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	43	31141.6	4.28477e-05
3B	Multi-Family with 2 - 4 Units	No	Ducted Heat Pump	Owner	0	0.0154282	0.0137767	0.0848584	0.0590591	0.229462	0.228801	0.169351	0.115608	0.0320618	0.0338522	0.0177416	960	0	3.1803e-05
3B	Multi-Family with 2 - 4 Units	No	Ducted Heat Pump	Renter	0	0.114201	0.0281399	0.021346	0	0.1298	0.270307	0.09617	0.14264	0.0288565	0.113234	0.0553054	43	31141.6	0.000277023
3B	Multi-Family with 2 - 4 Units	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	39	472292	0.000319981
3B	Multi-Family with 2 - 4 Units	No	Ducted Heating	Owner	0	0.0154282	0.0137767	0.0848584	0.0590591	0.229462	0.228801	0.169351	0.115608	0.0320618	0.0338522	0.0177416	960	0	0.000311529
3B	Multi-Family with 2 - 4 Units	No	Ducted Heating	Renter	0	0.123548	0.0304432	0.0136008	0	0.140425	0.292431	0.085345	0.128224	0.0312185	0.0949316	0.0598322	39	472292	0.00263974
3B	Multi-Family with 2 - 4 Units	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	43	14571.9	6.55646e-06
3B	Multi-Family with 2 - 4 Units	No	Non-Ducted Heat Pump	Owner	0	0.0154282	0.0137767	0.0848584	0.0590591	0.229462	0.228801	0.169351	0.115608	0.0320618	0.0338522	0.0177416	960	0	6.87308e-06
3B	Multi-Family with 2 - 4 Units	No	Non-Ducted Heat Pump	Renter	0	0.114201	0.0281399	0.021346	0	0.1298	0.270307	0.09617	0.14264	0.0288565	0.113234	0.0553054	43	14571.9	5.49656e-05
3B	Multi-Family with 2 - 4 Units	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	39	86201.8	0.000200638
3B	Multi-Family with 2 - 4 Units	No	Non-Ducted Heating	Owner	0	0.0154282	0.0137767	0.0848584	0.0590591	0.229462	0.228801	0.169351	0.115608	0.0320618	0.0338522	0.0177416	960	0	0.000208818
3B	Multi-Family with 2 - 4 Units	No	Non-Ducted Heating	Renter	0	0.123548	0.0304432	0.0136008	0	0.140425	0.292431	0.085345	0.128224	0.0312185	0.0949316	0.0598322	39	86201.8	0.0017659
3B	Multi-Family with 2 - 4 Units	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67573e-05
3B	Multi-Family with 2 - 4 Units	No	None	Owner	0	0.0266462	0.0191341	0.0796451	0.0661134	0.234191	0.228892	0.160348	0.110997	0.0250293	0.0320028	0.017001	0	0	3.30156e-05
3B	Multi-Family with 2 - 4 Units	No	None	Renter	0	0.130067	0.0241938	0.0513433	0	0.154647	0.232401	0.112544	0.130167	0.02481	0.0769853	0.0628412	0	0	0.000289771
3B	Multi-Family with 2 - 4 Units	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
3B	Multi-Family with 2 - 4 Units	Yes	Ducted Heat Pump	Owner	0	0.146111	0.0267041	0.0677378	0.0225435	0.0679791	0.259102	0.159845	0.0898221	0.0204142	0.0663923	0.0733492	47	0	0
3B	Multi-Family with 2 - 4 Units	Yes	Ducted Heat Pump	Renter	0	0.158845	0	0.199318	0	0.214488	0	0.2176	0.133561	0	0	0.0761885	10	0	0
3B	Multi-Family with 2 - 4 Units	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
3B	Multi-Family with 2 - 4 Units	Yes	Ducted Heating	Owner	0	0.146111	0.0267041	0.0677378	0.0225435	0.0679791	0.259102	0.159845	0.0898221	0.0204142	0.0663923	0.0733492	47	0	0
3B	Multi-Family with 2 - 4 Units	Yes	Ducted Heating	Renter	0	0.158845	0	0.199318	0	0.214488	0	0.2176	0.133561	0	0	0.0761885	10	0	0
3B	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
3B	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heat Pump	Owner	0	0.146111	0.0267041	0.0677378	0.0225435	0.0679791	0.259102	0.159845	0.0898221	0.0204142	0.0663923	0.0733492	47	0	0
3B	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heat Pump	Renter	0	0.158845	0	0.199318	0	0.214488	0	0.2176	0.133561	0	0	0.0761885	10	0	0
3B	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	151717	6.4614e-05
3B	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heating	Owner	0	0.146111	0.0267041	0.0677378	0.0225435	0.0679791	0.259102	0.159845	0.0898221	0.0204142	0.0663923	0.0733492	47	0	6.6139e-05
3B	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heating	Renter	0	0.158845	0	0.199318	0	0.214488	0	0.2176	0.133561	0	0	0.0761885	10	151717	0.000550769
3B	Multi-Family with 2 - 4 Units	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3B	Multi-Family with 2 - 4 Units	Yes	None	Owner	0	0.0266462	0.0191341	0.0796451	0.0661134	0.234191	0.228892	0.160348	0.110997	0.0250293	0.0320028	0.017001	0	0	0
3B	Multi-Family with 2 - 4 Units	Yes	None	Renter	0	0.130067	0.0241938	0.0513433	0	0.154647	0.232401	0.112544	0.130167	0.02481	0.0769853	0.0628412	0	0	0
3B	Multi-Family with 5+ Units	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	21	179416	0.000242408
3B	Multi-Family with 5+ Units	No	Ducted Heat Pump	Owner	0	0.0154282	0.0137767	0.0848584	0.0590591	0.229462	0.228801	0.169351	0.115608	0.0320618	0.0338522	0.0177416	960	0	0.000121103
3B	Multi-Family with 5+ Units	No	Ducted Heat Pump	Renter	0	0	0	0	0	0.110251	0.10546	0.309201	0.248898	0.135056	0.0568257	0.0343075	21	179416	0.00143714
3B	Multi-Family with 5+ Units	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	87	889547	0.000907136
3B	Multi-Family with 5+ Units	No	Ducted Heating	Owner	0	0.0154282	0.0137767	0.0848584	0.0590591	0.229462	0.228801	0.169351	0.115608	0.0320618	0.0338522	0.0177416	960	84482.7	0.000640636
3B	Multi-Family with 5+ Units	No	Ducted Heating	Renter	0	0.0999466	0	0.0425883	0.010265	0.170712	0.184886	0.150432	0.155034	0.0532774	0.0621903	0.0706675	80	805064	0.00703966
3B	Multi-Family with 5+ Units	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	21	51021.5	3.67443e-05
3B	Multi-Family with 5+ Units	No	Non-Ducted Heat Pump	Owner	0	0.0154282	0.0137767	0.0848584	0.0590591	0.229462	0.228801	0.169351	0.115608	0.0320618	0.0338522	0.0177416	960	0	2.89324e-05
3B	Multi-Family with 5+ Units	No	Non-Ducted Heat Pump	Renter	0	0	0	0	0	0.110251	0.10546	0.309201	0.248898	0.135056	0.0568257	0.0343075	21	51021.5	0.000308628
3B	Multi-Family with 5+ Units	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	87	304650	0.00063533
3B	Multi-Family with 5+ Units	No	Non-Ducted Heating	Owner	0	0.0154282	0.0137767	0.0848584	0.0590591	0.229462	0.228801	0.169351	0.115608	0.0320618	0.0338522	0.0177416	960	9429.84	0.000505144
3B	Multi-Family with 5+ Units	No	Non-Ducted Heating	Renter	0	0.0999466	0	0.0425883	0.010265	0.170712	0.184886	0.150432	0.155034	0.0532774	0.0621903	0.0706675	80	295220	0.0054046
3B	Multi-Family with 5+ Units	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100262
3B	Multi-Family with 5+ Units	No	None	Owner	0	0.0628737	0.0184701	0.0786427	0.0458018	0.170834	0.239802	0.165899	0.106246	0.0278331	0.0456662	0.0379304	0	0	9.31718e-05
3B	Multi-Family with 5+ Units	No	None	Renter	0	0.0693663	0	0.0335133	0.014359	0.165354	0.20228	0.15895	0.180323	0.0551137	0.0528324	0.0679075	0	0	0.00100597
3B	Multi-Family with 5+ Units	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	39	0	0
3B	Multi-Family with 5+ Units	Yes	Ducted Heat Pump	Owner	0	0.146111	0.0267041	0.0677378	0.0225435	0.0679791	0.259102	0.159845	0.0898221	0.0204142	0.0663923	0.0733492	47	0	0
3B	Multi-Family with 5+ Units	Yes	Ducted Heat Pump	Renter	0	0.0351232	0	0.0291269	0.0295075	0.178544	0.28264	0.109993	0.203633	0.0233151	0.0310862	0.0770312	35	0	0
3B	Multi-Family with 5+ Units	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	39	0	0
3B	Multi-Family with 5+ Units	Yes	Ducted Heating	Owner	0	0.146111	0.0267041	0.0677378	0.0225435	0.0679791	0.259102	0.159845	0.0898221	0.0204142	0.0663923	0.0733492	47	0	0
3B	Multi-Family with 5+ Units	Yes	Ducted Heating	Renter	0	0.0351232	0	0.0291269	0.0295075	0.178544	0.28264	0.109993	0.203633	0.0233151	0.0310862	0.0770312	35	0	0
3B	Multi-Family with 5+ Units	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	39	0	0
3B	Multi-Family with 5+ Units	Yes	Non-Ducted Heat Pump	Owner	0	0.146111	0.0267041	0.0677378	0.0225435	0.0679791	0.259102	0.159845	0.0898221	0.0204142	0.0663923	0.0733492	47	0	0
3B	Multi-Family with 5+ Units	Yes	Non-Ducted Heat Pump	Renter	0	0.0351232	0	0.0291269	0.0295075	0.178544	0.28264	0.109993	0.203633	0.0233151	0.0310862	0.0770312	35	0	0
3B	Multi-Family with 5+ Units	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	39	569321	0.000258201
3B	Multi-Family with 5+ Units	Yes	Non-Ducted Heating	Owner	0	0.146111	0.0267041	0.0677378	0.0225435	0.0679791	0.259102	0.159845	0.0898221	0.0204142	0.0663923	0.0733492	47	53530.3	0.000199382
3B	Multi-Family with 5+ Units	Yes	Non-Ducted Heating	Renter	0	0.0351232	0	0.0291269	0.0295075	0.178544	0.28264	0.109993	0.203633	0.0233151	0.0310862	0.0770312	35	515791	0.00208145
3B	Multi-Family with 5+ Units	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3B	Multi-Family with 5+ Units	Yes	None	Owner	0	0.0628737	0.0184701	0.0786427	0.0458018	0.170834	0.239802	0.165899	0.106246	0.0278331	0.0456662	0.0379304	0	0	0
3B	Multi-Family with 5+ Units	Yes	None	Renter	0	0.0693663	0	0.0335133	0.014359	0.165354	0.20228	0.15895	0.180323	0.0551137	0.0528324	0.0679075	0	0	0
3B	Single-Family Attached	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	45293.7	3.7218e-05
3B	Single-Family Attached	No	Ducted Heat Pump	Owner	0	0.017587	0	0.0442815	0.112341	0.201424	0.28284	0.198612	0.0828379	0.00956806	0.0285401	0.0219689	56	24910.9	0.000218618
3B	Single-Family Attached	No	Ducted Heat Pump	Renter	0	0.137707	0.030316	0.1341	0	0.122352	0.238286	0.256886	0.0803531	0	0	0	34	20382.7	0.000203825
3B	Single-Family Attached	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	80	383856	0.000267809
3B	Single-Family Attached	No	Ducted Heating	Owner	0	0.0189658	0	0.0477531	0.121148	0.200299	0.290991	0.192868	0.0631887	0.0103182	0.0307776	0.0236912	50	265299	0.00170219
3B	Single-Family Attached	No	Ducted Heating	Renter	0	0.105035	0.0337797	0.110069	0	0.136331	0.239016	0.286236	0.0895335	0	0	0	30	118558	0.00154328
3B	Single-Family Attached	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	0	6.52409e-06
3B	Single-Family Attached	No	Non-Ducted Heat Pump	Owner	0	0.017587	0	0.0442815	0.112341	0.201424	0.28284	0.198612	0.0828379	0.00956806	0.0285401	0.0219689	56	0	3.71695e-05
3B	Single-Family Attached	No	Non-Ducted Heat Pump	Renter	0	0.137707	0.030316	0.1341	0	0.122352	0.238286	0.256886	0.0803531	0	0	0	34	0	4.61602e-05
3B	Single-Family Attached	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	80	112296	5.91256e-05
3B	Single-Family Attached	No	Non-Ducted Heating	Owner	0	0.0189658	0	0.0477531	0.121148	0.200299	0.290991	0.192868	0.0631887	0.0103182	0.0307776	0.0236912	50	52451.4	0.000384725
3B	Single-Family Attached	No	Non-Ducted Heating	Renter	0	0.105035	0.0337797	0.110069	0	0.136331	0.239016	0.286236	0.0895335	0	0	0	30	59845	0.000352579
3B	Single-Family Attached	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30647e-05
3B	Single-Family Attached	No	None	Owner	0	0.0442756	0.00510153	0.0529687	0.108826	0.181532	0.285962	0.185281	0.0705049	0.0128019	0.0323072	0.0204395	0	0	8.31494e-05
3B	Single-Family Attached	No	None	Renter	0	0.0962394	0.029679	0.11888	0	0.130958	0.241131	0.251488	0.0899318	0.0168129	0.0248799	0	0	0	0.000123996
3B	Single-Family Attached	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
3B	Single-Family Attached	Yes	Ducted Heat Pump	Owner	0	0.210392	0.0384526	0.0887155	0.0324614	0.0583059	0.25696	0.132951	0.108996	0.0293953	0.0433698	0	30	0	0
3B	Single-Family Attached	Yes	Ducted Heat Pump	Renter	0	0	0	0.169172	0	0.0997419	0.258479	0	0.100546	0.150036	0.222025	0	12	0	0
3B	Single-Family Attached	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
3B	Single-Family Attached	Yes	Ducted Heating	Owner	0	0.210392	0.0384526	0.0887155	0.0324614	0.0583059	0.25696	0.132951	0.108996	0.0293953	0.0433698	0	30	0	0
3B	Single-Family Attached	Yes	Ducted Heating	Renter	0	0	0	0.169172	0	0.0997419	0.258479	0	0.100546	0.150036	0.222025	0	12	0	0
3B	Single-Family Attached	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0
3B	Single-Family Attached	Yes	Non-Ducted Heat Pump	Owner	0	0.210392	0.0384526	0.0887155	0.0324614	0.0583059	0.25696	0.132951	0.108996	0.0293953	0.0433698	0	30	0	0
3B	Single-Family Attached	Yes	Non-Ducted Heat Pump	Renter	0	0	0	0.169172	0	0.0997419	0.258479	0	0.100546	0.150036	0.222025	0	12	0	0
3B	Single-Family Attached	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	10	77501.9	3.94933e-05
3B	Single-Family Attached	Yes	Non-Ducted Heating	Owner	0	0.210392	0.0384526	0.0887155	0.0324614	0.0583059	0.25696	0.132951	0.108996	0.0293953	0.0433698	0	30	52415	0.000240416
3B	Single-Family Attached	Yes	Non-Ducted Heating	Renter	0	0	0	0.169172	0	0.0997419	0.258479	0	0.100546	0.150036	0.222025	0	12	25086.9	0.000244978
3B	Single-Family Attached	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3B	Single-Family Attached	Yes	None	Owner	0	0.0442756	0.00510153	0.0529687	0.108826	0.181532	0.285962	0.185281	0.0705049	0.0128019	0.0323072	0.0204395	0	0	0
3B	Single-Family Attached	Yes	None	Renter	0	0.0962394	0.029679	0.11888	0	0.130958	0.241131	0.251488	0.0899318	0.0168129	0.0248799	0	0	0	0
3B	Single-Family Detached	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	36	263469	0.000328359
3B	Single-Family Detached	No	Ducted Heat Pump	Owner	0	0	0	0.129174	0.0467595	0.15006	0.127556	0.248904	0.247843	0.0129984	0	0.0367049	31	222543	0.00247859
3B	Single-Family Detached	No	Ducted Heat Pump	Renter	0	0.0508806	0.0361227	0.110316	0.0513125	0.150971	0.282098	0.160459	0.0748465	0.0217037	0.0478194	0.0134708	95	40925.9	0.000758732
3B	Single-Family Detached	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	626	5.3749e+06	0.00297159
3B	Single-Family Detached	No	Ducted Heating	Owner	0	0.0189002	0.0208212	0.0852598	0.0671808	0.26562	0.220988	0.144471	0.110973	0.0218813	0.0315623	0.0123427	536	4.60945e+06	0.0292138
3B	Single-Family Detached	No	Ducted Heating	Renter	0	0.0364533	0.0379115	0.115779	0.0432695	0.151363	0.290397	0.168405	0.069318	0.0227784	0.0501873	0.0141379	90	765457	0.00870876
3B	Single-Family Detached	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	36	48143.9	5.01849e-05
3B	Single-Family Detached	No	Non-Ducted Heat Pump	Owner	0	0	0	0.129174	0.0467595	0.15006	0.127556	0.248904	0.247843	0.0129984	0	0.0367049	31	42852.2	0.00047755
