Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Option=EF 12, National Average	Option=None	Option=Void	source_count	source_weight	sampling_probability
Not Available	Mobile Home	SC	Renter	0	0	1	54	61553.3	0
0-100%	Mobile Home	SD	Not Available	0	0	1	27	6036.02	0
0-100%	Mobile Home	SD	Owner	0.510318	0.489682	0	21	2289.1	1.96945e-05
0-100%	Mobile Home	SD	Renter	0.183776	0.816224	0	39	3746.93	9.71179e-06
100-150%	Mobile Home	SD	Not Available	0	0	1	24	2430.81	0
100-150%	Mobile Home	SD	Owner	0.513175	0.486825	0	19	2107.42	1.84544e-05
100-150%	Mobile Home	SD	Renter	0.548762	0.451238	0	36	323.391	6.93491e-06
150-200%	Mobile Home	SD	Not Available	0	0	1	10	2088.33	0
150-200%	Mobile Home	SD	Owner	0.665744	0.334256	0	154	2088.33	1.82488e-05
150-200%	Mobile Home	SD	Renter	0.424833	0.575167	0	39	0	6.05053e-06
200-300%	Mobile Home	SD	Not Available	0	0	1	18	3643.15	0
200-300%	Mobile Home	SD	Owner	0.869844	0.130156	0	14	1747.61	3.26653e-05
200-300%	Mobile Home	SD	Renter	0.612731	0.387269	0	51	1895.54	9.80594e-06
300-400%	Mobile Home	SD	Not Available	0	0	1	377	211.827	0
300-400%	Mobile Home	SD	Owner	0.670587	0.329413	0	345	211.827	2.30488e-05
300-400%	Mobile Home	SD	Renter	0.476399	0.523601	0	32	0	5.77712e-06
400%+	Mobile Home	SD	Not Available	0	0	1	10	1765.22	0
400%+	Mobile Home	SD	Owner	0.956246	0.0437541	0	10	1765.22	3.24483e-05
400%+	Mobile Home	SD	Renter	0.353907	0.646093	0	55	0	5.29847e-06
Not Available	Mobile Home	SD	Not Available	0.580697	0.419303	0	68	16175.4	5.36267e-05
Not Available	Mobile Home	SD	Owner	0	0	1	55	10209.5	0
Not Available	Mobile Home	SD	Renter	0	0	1	13	5965.86	0
0-100%	Mobile Home	TN	Not Available	0	0	1	18	74967.5	0
0-100%	Mobile Home	TN	Owner	0.469524	0.530476	0	36	33657.4	0.0002029
0-100%	Mobile Home	TN	Renter	0.521497	0.478503	0	10	41310.1	0.000171833
100-150%	Mobile Home	TN	Not Available	0	0	1	11	38445.7	0
100-150%	Mobile Home	TN	Owner	0.550883	0.449117	0	25	26760.8	0.000163025
100-150%	Mobile Home	TN	Renter	0.35777	0.64223	0	48	11685	0.000106351
150-200%	Mobile Home	TN	Not Available	0	0	1	29	34042.1	0
150-200%	Mobile Home	TN	Owner	0.377136	0.622864	0	20	19237	0.000138341
150-200%	Mobile Home	TN	Renter	0.247495	0.752505	0	36	14805.1	7.72773e-05
200-300%	Mobile Home	TN	Not Available	0	0	1	35	23877.5	0
200-300%	Mobile Home	TN	Owner	0.28381	0.71619	0	29	19020.9	0.00022305
200-300%	Mobile Home	TN	Renter	0.131308	0.868692	0	47	4856.66	9.99406e-05
300-400%	Mobile Home	TN	Not Available	0	0	1	16	21537.3	0
300-400%	Mobile Home	TN	Owner	0.48826	0.51174	0	15	16565.5	0.000139746
300-400%	Mobile Home	TN	Renter	0.355061	0.644939	0	21	4971.76	5.122e-05
400%+	Mobile Home	TN	Not Available	0	0	1	20	28847.3	0
400%+	Mobile Home	TN	Owner	0.668375	0.331625	0	19	28838.5	0.000167922
400%+	Mobile Home	TN	Renter	0.17263	0.82737	0	37	8.77003	4.76184e-05
Not Available	Mobile Home	TN	Not Available	0.486651	0.513349	0	43	221717	0.000395699
Not Available	Mobile Home	TN	Owner	0	0	1	28	144080	0
Not Available	Mobile Home	TN	Renter	0	0	1	15	77637.3	0
0-100%	Mobile Home	TX	Not Available	0	0	1	17	198820	0
0-100%	Mobile Home	TX	Owner	0.169991	0.830009	0	12	146798	0.000537617
0-100%	Mobile Home	TX	Renter	0.195535	0.804465	0	16	52022.6	0.000369415
100-150%	Mobile Home	TX	Not Available	0	0	1	15	101305	0
100-150%	Mobile Home	TX	Owner	0.275023	0.724977	0	12	84649.9	0.000440165
100-150%	Mobile Home	TX	Renter	0.393293	0.606707	0	10	16655.2	0.000221638
150-200%	Mobile Home	TX	Not Available	0	0	1	14	109723	0
150-200%	Mobile Home	TX	Owner	0.35465	0.64535	0	12	91805.6	0.000398118
150-200%	Mobile Home	TX	Renter	0.322535	0.677465	0	58	17917	0.000163857
200-300%	Mobile Home	TX	Not Available	0	0	1	12	70440.7	0
200-300%	Mobile Home	TX	Owner	0.320671	0.679329	0	12	70440.7	0.000659604
200-300%	Mobile Home	TX	Renter	0.32249	0.67751	0	66	0	0.000241411
300-400%	Mobile Home	TX	Not Available	0	0	1	13	46534.3	0
300-400%	Mobile Home	TX	Owner	0.75958	0.24042	0	12	46534.3	0.000457863
300-400%	Mobile Home	TX	Renter	0.316754	0.683246	0	40	0	0.000141072
400%+	Mobile Home	TX	Not Available	0	0	1	10	89080.1	0
400%+	Mobile Home	TX	Owner	0.793266	0.206734	0	10	89080.1	0.000749846
400%+	Mobile Home	TX	Renter	0.286085	0.713915	0	45	0	0.000168751
Not Available	Mobile Home	TX	Not Available	0.356683	0.643317	0	52	615903	0.00113575
Not Available	Mobile Home	TX	Owner	0	0	1	44	529308	0
Not Available	Mobile Home	TX	Renter	0	0	1	29	86594.8	0
0-100%	Mobile Home	UT	Not Available	0	0	1	27	6473.4	0
0-100%	Mobile Home	UT	Owner	0.305056	0.694944	0	17	6473.4	2.35639e-05
0-100%	Mobile Home	UT	Renter	0.165999	0.834001	0	10	0	1.61801e-05
100-150%	Mobile Home	UT	Not Available	0	0	1	24	2626.15	0
100-150%	Mobile Home	UT	Owner	0.38262	0.61738	0	23	2626.15	2.16896e-05
100-150%	Mobile Home	UT	Renter	0.450077	0.549923	0	26	0	1.01065e-05
150-200%	Mobile Home	UT	Not Available	0	0	1	19	0	0
150-200%	Mobile Home	UT	Owner	0.630869	0.369131	0	14	0	1.92914e-05
150-200%	Mobile Home	UT	Renter	0.27831	0.72169	0	24	0	7.75567e-06
200-300%	Mobile Home	UT	Not Available	0	0	1	23	10549.5	0
200-300%	Mobile Home	UT	Owner	0.407047	0.592953	0	16	10549.5	3.15435e-05
200-300%	Mobile Home	UT	Renter	0.169105	0.830895	0	42	0	1.19647e-05
300-400%	Mobile Home	UT	Not Available	0	0	1	16	2705.54	0
300-400%	Mobile Home	UT	Owner	0.894737	0.105263	0	14	2705.54	1.94765e-05
300-400%	Mobile Home	UT	Renter	0.431251	0.568749	0	35	0	6.33993e-06
400%+	Mobile Home	UT	Not Available	0	0	1	16	2413.88	0
400%+	Mobile Home	UT	Owner	0.885267	0.114733	0	15	2413.88	2.71348e-05
400%+	Mobile Home	UT	Renter	0.279563	0.720437	0	45	0	5.48525e-06
Not Available	Mobile Home	UT	Not Available	0.466927	0.533073	0	82	24768.5	5.61394e-05
Not Available	Mobile Home	UT	Owner	0	0	1	63	24768.5	0
Not Available	Mobile Home	UT	Renter	0	0	1	19	0	0
0-100%	Mobile Home	VA	Not Available	0	0	1	10	88293.3	0
0-100%	Mobile Home	VA	Owner	0.356456	0.643544	0	52	53584.4	0.000129075
0-100%	Mobile Home	VA	Renter	0.250664	0.749336	0	28	34708.9	0.000108418
100-150%	Mobile Home	VA	Not Available	0	0	1	62	34620.7	0
100-150%	Mobile Home	VA	Owner	0.547952	0.452048	0	48	34585.4	0.000110449
100-150%	Mobile Home	VA	Renter	0.000436062	0.999564	0	14	35.2209	6.01949e-05
150-200%	Mobile Home	VA	Not Available	0	0	1	44	21381.5	0
150-200%	Mobile Home	VA	Owner	0.439985	0.560015	0	38	13594.4	9.22546e-05
150-200%	Mobile Home	VA	Renter	0.269148	0.730852	0	64	7787.02	4.47937e-05
200-300%	Mobile Home	VA	Not Available	0	0	1	60	41894.2	0
200-300%	Mobile Home	VA	Owner	0.290485	0.709515	0	51	41894.2	0.000148256
200-300%	Mobile Home	VA	Renter	0.253058	0.746942	0	102	0	6.00811e-05
300-400%	Mobile Home	VA	Not Available	0	0	1	29	4314.43	0
300-400%	Mobile Home	VA	Owner	0.380153	0.619847	0	23	4314.43	9.3995e-05
300-400%	Mobile Home	VA	Renter	0.239126	0.760874	0	73	0	2.97754e-05
400%+	Mobile Home	VA	Not Available	0	0	1	29	46708	0
400%+	Mobile Home	VA	Owner	0.620211	0.379789	0	22	46708	0.00012453
400%+	Mobile Home	VA	Renter	0.29219	0.70781	0	124	0	2.74113e-05
Not Available	Mobile Home	VA	Not Available	0.428342	0.571658	0	27	237212	0.000298739
Not Available	Mobile Home	VA	Owner	0	0	1	22	194681	0
Not Available	Mobile Home	VA	Renter	0	0	1	54	42531.2	0
0-100%	Mobile Home	VT	Not Available	0	0	1	15	6296.9	0
0-100%	Mobile Home	VT	Owner	0.423726	0.576274	0	13	3851.9	1.43134e-05
0-100%	Mobile Home	VT	Renter	0.0688197	0.93118	0	15	2445	6.40168e-06
100-150%	Mobile Home	VT	Not Available	0	0	1	17	5260.57	0
100-150%	Mobile Home	VT	Owner	0.187626	0.812374	0	13	2289.64	1.33809e-05
100-150%	Mobile Home	VT	Renter	0.148754	0.851246	0	25	2970.93	5.27031e-06
150-200%	Mobile Home	VT	Not Available	0	0	1	12	1750.29	0
150-200%	Mobile Home	VT	Owner	0.432556	0.567444	0	94	0	1.18664e-05
150-200%	Mobile Home	VT	Renter	0.00121918	0.998781	0	16	1750.29	4.76675e-06
200-300%	Mobile Home	VT	Not Available	0	0	1	15	1262.25	0
200-300%	Mobile Home	VT	Owner	0.361426	0.638574	0	255	77.2772	2.30927e-05
200-300%	Mobile Home	VT	Renter	0.395136	0.604864	0	28	1184.97	6.38144e-06
300-400%	Mobile Home	VT	Not Available	0	0	1	295	2027.39	0
300-400%	Mobile Home	VT	Owner	0.359655	0.640345	0	282	2027.39	1.65624e-05
300-400%	Mobile Home	VT	Renter	0.303473	0.696527	0	13	0	3.44622e-06
400%+	Mobile Home	VT	Not Available	0	0	1	11	6899.32	0
400%+	Mobile Home	VT	Owner	0.150494	0.849506	0	10	5814.43	2.52436e-05
400%+	Mobile Home	VT	Renter	0.222342	0.777658	0	40	1084.89	3.20453e-06
Not Available	Mobile Home	VT	Not Available	0.408521	0.591479	0	20	23496.7	2.76079e-05
Not Available	Mobile Home	VT	Owner	0	0	1	12	14060.6	0
Not Available	Mobile Home	VT	Renter	0	0	1	14	9436.08	0
0-100%	Mobile Home	WA	Not Available	0	0	1	22	44940	0
0-100%	Mobile Home	WA	Owner	0.276929	0.723071	0	19	38506.2	0.000124544
0-100%	Mobile Home	WA	Renter	0.155853	0.844147	0	52	6433.79	8.17241e-05
100-150%	Mobile Home	WA	Not Available	0	0	1	19	28693.5	0
100-150%	Mobile Home	WA	Owner	0.31283	0.68717	0	16	20152.2	0.000114211
100-150%	Mobile Home	WA	Renter	0.197633	0.802367	0	40	8541.31	5.29219e-05
150-200%	Mobile Home	WA	Not Available	0	0	1	19	15807.2	0
150-200%	Mobile Home	WA	Owner	0.303732	0.696268	0	15	15807.2	0.000108625
150-200%	Mobile Home	WA	Renter	0.294779	0.705221	0	39	0	4.47046e-05
200-300%	Mobile Home	WA	Not Available	0	0	1	11	51501.7	0
200-300%	Mobile Home	WA	Owner	0.396374	0.603626	0	10	42475.5	0.000202299
200-300%	Mobile Home	WA	Renter	0.176117	0.823883	0	65	9026.17	6.53268e-05
300-400%	Mobile Home	WA	Not Available	0	0	1	14	24652.6	0
300-400%	Mobile Home	WA	Owner	0.499185	0.500815	0	14	24652.6	0.000148142
300-400%	Mobile Home	WA	Renter	0.240559	0.759441	0	45	0	3.6216e-05
400%+	Mobile Home	WA	Not Available	0	0	1	18	29408.4	0
400%+	Mobile Home	WA	Owner	0.550877	0.449123	0	18	29408.4	0.000257504
400%+	Mobile Home	WA	Renter	0.150073	0.849927	0	95	0	4.80063e-05
Not Available	Mobile Home	WA	Not Available	0.41522	0.58478	0	28	195003	0.00016626
Not Available	Mobile Home	WA	Owner	0	0	1	25	171002	0
Not Available	Mobile Home	WA	Renter	0	0	1	243	24001.3	0
0-100%	Mobile Home	WI	Not Available	0	0	1	17	0	0
0-100%	Mobile Home	WI	Owner	0.778658	0.221342	0	12	0	5.99736e-05
0-100%	Mobile Home	WI	Renter	0.426833	0.573167	0	62	0	2.44699e-05
100-150%	Mobile Home	WI	Not Available	0	0	1	20	18872.4	0
100-150%	Mobile Home	WI	Owner	0.226614	0.773386	0	18	18872.4	5.73314e-05
100-150%	Mobile Home	WI	Renter	0.381605	0.618395	0	41	0	1.71677e-05
150-200%	Mobile Home	WI	Not Available	0	0	1	10	7900.59	0
150-200%	Mobile Home	WI	Owner	0.492491	0.507509	0	170	7900.59	5.05649e-05
150-200%	Mobile Home	WI	Renter	0.181983	0.818017	0	36	0	1.30882e-05
200-300%	Mobile Home	WI	Not Available	0	0	1	22	20526.3	0
200-300%	Mobile Home	WI	Owner	0.288812	0.711188	0	22	20526.3	8.8457e-05
200-300%	Mobile Home	WI	Renter	0.370572	0.629428	0	53	0	1.92944e-05
300-400%	Mobile Home	WI	Not Available	0	0	1	10	5333.25	0
300-400%	Mobile Home	WI	Owner	0.519971	0.480029	0	368	5333.25	5.37226e-05
300-400%	Mobile Home	WI	Renter	0.295082	0.704918	0	32	0	1.07248e-05
400%+	Mobile Home	WI	Not Available	0	0	1	899	7831.81	0
400%+	Mobile Home	WI	Owner	0.494192	0.505808	0	856	7831.81	6.43714e-05
400%+	Mobile Home	WI	Renter	0.400628	0.599372	0	43	0	9.44626e-06
Not Available	Mobile Home	WI	Not Available	0.412021	0.587979	0	63	60464.4	0.000198299
Not Available	Mobile Home	WI	Owner	0	0	1	54	60464.4	0
Not Available	Mobile Home	WI	Renter	0	0	1	195	0	0
0-100%	Mobile Home	WV	Not Available	0	0	1	80	33122.5	0
0-100%	Mobile Home	WV	Owner	0.356456	0.643544	0	52	20835.7	0.000115654
0-100%	Mobile Home	WV	Renter	0.250664	0.749336	0	28	12286.8	8.04488e-05
100-150%	Mobile Home	WV	Not Available	0	0	1	62	24686.1	0
100-150%	Mobile Home	WV	Owner	0.547952	0.452048	0	48	16818.9	9.21904e-05
100-150%	Mobile Home	WV	Renter	0.000436062	0.999564	0	14	7867.19	3.90493e-05
150-200%	Mobile Home	WV	Not Available	0	0	1	44	24697.2	0
150-200%	Mobile Home	WV	Owner	0.439985	0.560015	0	38	24697.2	7.24491e-05
150-200%	Mobile Home	WV	Renter	0.269148	0.730852	0	64	0	2.77155e-05
200-300%	Mobile Home	WV	Not Available	0	0	1	12	28751.2	0
200-300%	Mobile Home	WV	Owner	0.181464	0.818536	0	10	19321.3	0.000111352
200-300%	Mobile Home	WV	Renter	0.253058	0.746942	0	102	9429.88	3.65581e-05
300-400%	Mobile Home	WV	Not Available	0	0	1	29	4250.63	0
300-400%	Mobile Home	WV	Owner	0.380153	0.619847	0	23	4250.63	6.91429e-05
300-400%	Mobile Home	WV	Renter	0.239126	0.760874	0	73	0	1.78472e-05
400%+	Mobile Home	WV	Not Available	0	0	1	29	0	0
400%+	Mobile Home	WV	Owner	0.620211	0.379789	0	22	0	8.72926e-05
400%+	Mobile Home	WV	Renter	0.29219	0.70781	0	124	0	1.49359e-05
Not Available	Mobile Home	WV	Not Available	0.135338	0.864662	0	28	115508	0.000222467
Not Available	Mobile Home	WV	Owner	0	0	1	21	85923.7	0
Not Available	Mobile Home	WV	Renter	0	0	1	54	29583.8	0
0-100%	Mobile Home	WY	Not Available	0	0	1	27	3764.11	0
0-100%	Mobile Home	WY	Owner	0.305056	0.694944	0	17	2021.96	1.87237e-05
0-100%	Mobile Home	WY	Renter	0.165999	0.834001	0	10	1742.15	1.46668e-05
100-150%	Mobile Home	WY	Not Available	0	0	1	24	2163.07	0
100-150%	Mobile Home	WY	Owner	0.38262	0.61738	0	23	1546.33	1.62308e-05
100-150%	Mobile Home	WY	Renter	0.450077	0.549923	0	26	616.74	9.06119e-06
150-200%	Mobile Home	WY	Not Available	0	0	1	19	5428.23	0
150-200%	Mobile Home	WY	Owner	0.630869	0.369131	0	14	3297.56	1.69308e-05
150-200%	Mobile Home	WY	Renter	0.27831	0.72169	0	24	2130.67	7.9181e-06
200-300%	Mobile Home	WY	Not Available	0	0	1	23	728.022	0
200-300%	Mobile Home	WY	Owner	0.407047	0.592953	0	16	102.615	3.27473e-05
200-300%	Mobile Home	WY	Renter	0.169105	0.830895	0	42	625.407	1.34716e-05
300-400%	Mobile Home	WY	Not Available	0	0	1	16	2745.13	0
300-400%	Mobile Home	WY	Owner	0.894737	0.105263	0	14	2009.18	2.28309e-05
300-400%	Mobile Home	WY	Renter	0.431251	0.568749	0	35	735.956	7.47098e-06
400%+	Mobile Home	WY	Not Available	0	0	1	16	5513.21	0
400%+	Mobile Home	WY	Owner	0.885267	0.114733	0	15	4637.28	4.00215e-05
400%+	Mobile Home	WY	Renter	0.279563	0.720437	0	45	875.925	7.48728e-06
Not Available	Mobile Home	WY	Not Available	0.720482	0.279518	0	18	20341.8	6.40585e-05
Not Available	Mobile Home	WY	Owner	0	0	1	12	13614.9	0
Not Available	Mobile Home	WY	Renter	0	0	1	19	6726.84	0
0-100%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	17	5692.52	0
0-100%	Multi-Family with 2 - 4 Units	AK	Owner	0.058597	0.941403	0	18	0	2.5053e-06
0-100%	Multi-Family with 2 - 4 Units	AK	Renter	0.468634	0.531366	0	17	5692.52	2.31165e-05
100-150%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	14	3862.35	0
100-150%	Multi-Family with 2 - 4 Units	AK	Owner	0.058597	0.941403	0	18	921.504	1.3273e-06
100-150%	Multi-Family with 2 - 4 Units	AK	Renter	0.327747	0.672253	0	12	2940.84	1.59048e-05
150-200%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	14	766.459	0
150-200%	Multi-Family with 2 - 4 Units	AK	Owner	0.058597	0.941403	0	18	1.66203	1.75413e-06
150-200%	Multi-Family with 2 - 4 Units	AK	Renter	0.327747	0.672253	0	12	764.797	1.76824e-05
200-300%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	15	4749.72	0
200-300%	Multi-Family with 2 - 4 Units	AK	Owner	0.0139508	0.986049	0	33	196.67	4.08404e-06
200-300%	Multi-Family with 2 - 4 Units	AK	Renter	0.168388	0.831612	0	12	4553.05	3.52222e-05
300-400%	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	10	6277.28	0
300-400%	Multi-Family with 2 - 4 Units	AK	Owner	0.0139508	0.986049	0	33	1182.92	6.08999e-06
300-400%	Multi-Family with 2 - 4 Units	AK	Renter	0.440301	0.559699	0	13	5094.36	2.77081e-05
400%+	Multi-Family with 2 - 4 Units	AK	Not Available	0	0	1	13	4397.01	0
400%+	Multi-Family with 2 - 4 Units	AK	Owner	0.0775428	0.922457	0	38	1835.47	3.45164e-05
400%+	Multi-Family with 2 - 4 Units	AK	Renter	0.199489	0.800511	0	11	2561.54	6.26216e-05
Not Available	Multi-Family with 2 - 4 Units	AK	Not Available	0.358305	0.641695	0	24	25745.3	5.66833e-05
Not Available	Multi-Family with 2 - 4 Units	AK	Owner	0	0	1	67	4138.23	0
Not Available	Multi-Family with 2 - 4 Units	AK	Renter	0	0	1	20	21607.1	0
0-100%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	28	74384.9	0
0-100%	Multi-Family with 2 - 4 Units	AL	Owner	0.231164	0.768836	0	28	0	2.77062e-06
0-100%	Multi-Family with 2 - 4 Units	AL	Renter	0.0662567	0.933743	0	27	74384.9	0.000258522
100-150%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	16	19089.4	0
100-150%	Multi-Family with 2 - 4 Units	AL	Owner	0.231164	0.768836	0	28	7965.3	2.51882e-06
100-150%	Multi-Family with 2 - 4 Units	AL	Renter	0.153779	0.846221	0	15	11124.1	0.000107002
150-200%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	28	10431.3	0
150-200%	Multi-Family with 2 - 4 Units	AL	Owner	0.231164	0.768836	0	28	0	2.66001e-06
150-200%	Multi-Family with 2 - 4 Units	AL	Renter	0.283726	0.716274	0	28	10431.3	6.73014e-05
200-300%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	16	31714.9	0
200-300%	Multi-Family with 2 - 4 Units	AL	Owner	0.0502389	0.949761	0	57	0	5.1809e-06
200-300%	Multi-Family with 2 - 4 Units	AL	Renter	0.0924873	0.907513	0	16	31714.9	8.71207e-05
300-400%	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	11	16938.7	0
300-400%	Multi-Family with 2 - 4 Units	AL	Owner	0.0502389	0.949761	0	57	0	4.53091e-06
300-400%	Multi-Family with 2 - 4 Units	AL	Renter	0	1	0	11	16938.7	4.55399e-05
400%+	Multi-Family with 2 - 4 Units	AL	Not Available	0	0	1	12	0	0
400%+	Multi-Family with 2 - 4 Units	AL	Owner	0.0470812	0.952919	0	84	0	1.08623e-05
400%+	Multi-Family with 2 - 4 Units	AL	Renter	0	1	0	11	0	6.12933e-05
Not Available	Multi-Family with 2 - 4 Units	AL	Not Available	0.0426048	0.957395	0	18	152559	0.000161926
Not Available	Multi-Family with 2 - 4 Units	AL	Owner	0	0	1	133	7965.3	0
Not Available	Multi-Family with 2 - 4 Units	AL	Renter	0	0	1	17	144594	0
0-100%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	36	22433.6	0
0-100%	Multi-Family with 2 - 4 Units	AR	Owner	0.231164	0.768836	0	28	0	3.03095e-06
0-100%	Multi-Family with 2 - 4 Units	AR	Renter	0.142923	0.857077	0	36	22433.6	0.000184109
100-150%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	20	5893.26	0
100-150%	Multi-Family with 2 - 4 Units	AR	Owner	0.231164	0.768836	0	28	0	2.42716e-06
100-150%	Multi-Family with 2 - 4 Units	AR	Renter	0.181623	0.818377	0	20	5893.26	9.07258e-05
150-200%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	18	0	0
150-200%	Multi-Family with 2 - 4 Units	AR	Owner	0.231164	0.768836	0	28	0	2.43536e-06
150-200%	Multi-Family with 2 - 4 Units	AR	Renter	0.0364127	0.963587	0	18	0	6.51867e-05
200-300%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	22	6522.82	0
200-300%	Multi-Family with 2 - 4 Units	AR	Owner	0.0502389	0.949761	0	57	0	4.78703e-06
200-300%	Multi-Family with 2 - 4 Units	AR	Renter	0	1	0	22	6522.82	8.36711e-05
300-400%	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	23	0	0
300-400%	Multi-Family with 2 - 4 Units	AR	Owner	0.0502389	0.949761	0	57	0	3.25942e-06
300-400%	Multi-Family with 2 - 4 Units	AR	Renter	0	1	0	23	0	4.72294e-05
400%+	Multi-Family with 2 - 4 Units	AR	Not Available	0	0	1	74	3598.3	0
400%+	Multi-Family with 2 - 4 Units	AR	Owner	0.0470812	0.952919	0	84	0	9.11593e-06
400%+	Multi-Family with 2 - 4 Units	AR	Renter	0.0531767	0.946823	0	67	3598.3	5.27759e-05
Not Available	Multi-Family with 2 - 4 Units	AR	Not Available	0.0934249	0.906575	0	84	38448	0.000115989
Not Available	Multi-Family with 2 - 4 Units	AR	Owner	0	0	1	12	0	0
Not Available	Multi-Family with 2 - 4 Units	AR	Renter	0	0	1	82	38448	0
0-100%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	26	19106.5	0
0-100%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0372053	0.962795	0	25	0	9.31927e-06
0-100%	Multi-Family with 2 - 4 Units	AZ	Renter	0.0927123	0.907288	0	25	19106.5	0.000187138
100-150%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	29	5488.59	0
100-150%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0372053	0.962795	0	25	0	6.05403e-06
100-150%	Multi-Family with 2 - 4 Units	AZ	Renter	0.0589553	0.941045	0	27	5488.59	0.000115937
150-200%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	11	31451.7	0
150-200%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0372053	0.962795	0	25	0	6.96943e-06
150-200%	Multi-Family with 2 - 4 Units	AZ	Renter	0	1	0	11	31451.7	9.71351e-05
200-300%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	12	49650.9	0
200-300%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0103208	0.989679	0	44	7703.89	1.66006e-05
200-300%	Multi-Family with 2 - 4 Units	AZ	Renter	0.0571801	0.94282	0	11	41947.1	0.000151426
300-400%	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	26	7159	0
300-400%	Multi-Family with 2 - 4 Units	AZ	Owner	0.0103208	0.989679	0	44	0	1.49906e-05
300-400%	Multi-Family with 2 - 4 Units	AZ	Renter	0.0548834	0.945117	0	24	7159	9.36949e-05
400%+	Multi-Family with 2 - 4 Units	AZ	Not Available	0	0	1	39	12415.6	0
400%+	Multi-Family with 2 - 4 Units	AZ	Owner	0.0673447	0.932655	0	44	0	4.03481e-05
400%+	Multi-Family with 2 - 4 Units	AZ	Renter	0.0561752	0.943825	0	38	12415.6	0.00013803
Not Available	Multi-Family with 2 - 4 Units	AZ	Not Available	0.121706	0.878294	0	14	125272	0.000160105
Not Available	Multi-Family with 2 - 4 Units	AZ	Owner	0	0	1	83	7703.89	0
Not Available	Multi-Family with 2 - 4 Units	AZ	Renter	0	0	1	13	117568	0
0-100%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	24	408546	0
0-100%	Multi-Family with 2 - 4 Units	CA	Owner	0.058597	0.941403	0	18	0	6.12472e-05
0-100%	Multi-Family with 2 - 4 Units	CA	Renter	0.0699719	0.930028	0	24	408546	0.0012198
100-150%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	10	38423	0
100-150%	Multi-Family with 2 - 4 Units	CA	Owner	0.058597	0.941403	0	18	11735.4	4.18625e-05
100-150%	Multi-Family with 2 - 4 Units	CA	Renter	0.0257244	0.974276	0	12	26687.6	0.000813175
150-200%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	13	94454.2	0
150-200%	Multi-Family with 2 - 4 Units	CA	Owner	0.058597	0.941403	0	18	0	4.96302e-05
150-200%	Multi-Family with 2 - 4 Units	CA	Renter	0.111527	0.888473	0	13	94454.2	0.000665055
200-300%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	12	124477	0
200-300%	Multi-Family with 2 - 4 Units	CA	Owner	0	1	0	11	0	0.000108844
200-300%	Multi-Family with 2 - 4 Units	CA	Renter	0	1	0	12	124477	0.00108008
300-400%	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	15	95758.4	0
300-400%	Multi-Family with 2 - 4 Units	CA	Owner	0	1	0	11	0	0.00010821
300-400%	Multi-Family with 2 - 4 Units	CA	Renter	0.0703717	0.929628	0	14	95758.4	0.000753674
400%+	Multi-Family with 2 - 4 Units	CA	Not Available	0	0	1	27	328345	0
400%+	Multi-Family with 2 - 4 Units	CA	Owner	0.0831903	0.91681	0	24	39339.3	0.000600144
400%+	Multi-Family with 2 - 4 Units	CA	Renter	0.0882144	0.911786	0	24	289006	0.00206109
Not Available	Multi-Family with 2 - 4 Units	CA	Not Available	0.0829173	0.917083	0	70	1.09e+06	0.000735487
Not Available	Multi-Family with 2 - 4 Units	CA	Owner	0	0	1	33	51074.8	0
Not Available	Multi-Family with 2 - 4 Units	CA	Renter	0	0	1	66	1.03893e+06	0
0-100%	Multi-Family with 2 - 4 Units	CO	Not Available	0	0	1	16	54971.3	0
0-100%	Multi-Family with 2 - 4 Units	CO	Owner	0.0372053	0.962795	0	25	0	1.24202e-05
