Dependency=County	Option=CAISO	Option=ERCOT	Option=MISO	Option=NEISO	Option=None	Option=NYISO	Option=PJM	Option=SPP	source_count	source_weight	sampling_probability
IL, Stark County	0	0	1	0	0	0	0	0	774	2665	1.98798e-05
IL, Stephenson County	0	0	0	0	0	0	1	0	2572	21899	0.000163358
IL, Tazewell County	0	0	1	0	0	0	0	0	6430	58172	0.000433939
IL, Union County	0	0	1	0	0	0	0	0	1591	7912	5.90205e-05
IL, Vermilion County	0	0	1	0	0	0	0	0	7410	36005	0.000268583
IL, Wabash County	0	0	1	0	0	0	0	0	1840	5542	4.13412e-05
IL, Warren County	0	0	1	0	0	0	0	0	1866	7667	5.71927e-05
IL, Washington County	0	0	1	0	0	0	0	0	1650	6551	4.88679e-05
IL, Wayne County	0	0	1	0	0	0	0	0	2046	7886	5.88265e-05
IL, White County	0	0	1	0	0	0	0	0	2999	7146	5.33064e-05
IL, Whiteside County	0	0	0	0	0	0	1	0	4756	25722	0.000191876
IL, Will County	0	0	0	0	0	0	1	0	14515	239953	0.00178996
IL, Williamson County	0	0	1	0	0	0	0	0	4541	30794	0.000229712
IL, Winnebago County	0	0	0	0	0	0	1	0	9518	125591	0.000936859
IL, Woodford County	0	0	1	0	0	0	0	0	3036	15344	0.00011446
IN, Adams County	0	0	1	0	0	0	0	0	1873	13099	9.77134e-05
IN, Allen County	0	0	0	0	0	0	1	0	8052	154525	0.0011527
IN, Bartholomew County	0	0	1	0	0	0	0	0	4709	33571	0.000250425
IN, Benton County	0	0	1	0	0	0	0	0	1468	3909	2.91595e-05
IN, Blackford County	0	0	0	0	0	0	1	0	1240	5995	4.47202e-05
IN, Boone County	0	0	1	0	0	0	0	0	3103	25088	0.000187147
IN, Brown County	0	0	1	0	0	0	0	0	849	8512	6.34962e-05
IN, Carroll County	0	0	1	0	0	0	0	0	2056	9451	7.05006e-05
IN, Cass County	0	0	1	0	0	0	0	0	3049	16336	0.00012186
IN, Clark County	0	0	1	0	0	0	0	0	4170	49002	0.000365535
IN, Clay County	0	0	1	0	0	0	0	0	2292	11697	8.72551e-05
IN, Clinton County	0	0	1	0	0	0	0	0	1797	13269	9.89816e-05
IN, Crawford County	0	0	1	0	0	0	0	0	1186	5470	4.0804e-05
IN, Daviess County	0	0	1	0	0	0	0	0	2705	12483	9.31183e-05
IN, DeKalb County	0	0	0	0	0	0	1	0	2270	17645	0.000131625
IN, Dearborn County	0	0	1	0	0	0	0	0	2388	20251	0.000151065
IN, Decatur County	0	0	1	0	0	0	0	0	1565	11239	8.38385e-05
IN, Delaware County	0	0	0	0	0	0	1	0	4423	52406	0.000390928
IN, Dubois County	0	0	1	0	0	0	0	0	2333	17594	0.000131244
IN, Elkhart County	0	0	1	0	0	0	0	0	7439	77932	0.000581343
IN, Fayette County	0	0	1	0	0	0	0	0	1415	10824	8.07429e-05
IN, Floyd County	0	0	1	0	0	0	0	0	1847	32316	0.000241065
IN, Fountain County	0	0	1	0	0	0	0	0	1542	7810	5.82596e-05
IN, Franklin County	0	0	1	0	0	0	0	0	1522	9566	7.13586e-05
IN, Fulton County	0	0	1	0	0	0	0	0	1655	9662	7.20748e-05
IN, Gibson County	0	0	1	0	0	0	0	0	3718	14760	0.000110104
IN, Grant County	0	0	0	0	0	0	1	0	3685	30302	0.000226041
IN, Greene County	0	0	1	0	0	0	0	0	2254	15090	0.000112566
IN, Hamilton County	0	0	1	0	0	0	0	0	5741	116900	0.000872028
IN, Hancock County	0	0	1	0	0	0	0	0	2260	28918	0.000215717
IN, Harrison County	0	0	1	0	0	0	0	0	1380	16646	0.000124173
IN, Hendricks County	0	0	1	0	0	0	0	0	3867	58421	0.000435799
IN, Henry County	0	0	1	0	0	0	0	0	3205	21155	0.000157808
IN, Howard County	0	0	1	0	0	0	0	0	3576	38732	0.000288925
IN, Huntington County	0	0	1	0	0	0	0	0	2080	15883	0.000118481
IN, Jackson County	0	0	1	0	0	0	0	0	2904	18552	0.000138391
IN, Jasper County	0	0	1	0	0	0	0	0	1796	13354	9.96155e-05
IN, Jay County	0	0	1	0	0	0	0	0	1585	9185	6.85165e-05
IN, Jefferson County	0	0	1	0	0	0	0	0	2029	14315	0.000106784
IN, Jennings County	0	0	1	0	0	0	0	0	1810	12075	9.00748e-05
IN, Johnson County	0	0	1	0	0	0	0	0	4795	58747	0.00043823
IN, Knox County	0	0	1	0	0	0	0	0	3033	16969	0.000126582
IN, Kosciusko County	0	0	1	0	0	0	0	0	4038	37573	0.00028028
IN, LaGrange County	0	0	1	0	0	0	0	0	2433	14381	0.000107277
IN, LaPorte County	0	0	1	0	0	0	0	0	4801	48752	0.00036367
IN, Lake County	0	0	1	0	0	0	0	0	13465	210391	0.00156943
IN, Lawrence County	0	0	1	0	0	0	0	0	2482	20957	0.000156331
IN, Madison County	0	0	0	0	0	0	1	0	5119	58808	0.000438683
IN, Marion County	0	0	1	0	0	0	0	0	16147	419514	0.00312941
IN, Marshall County	0	0	1	0	0	0	0	0	2427	19952	0.000148834
IN, Martin County	0	0	1	0	0	0	0	0	1297	4751	3.54406e-05
IN, Miami County	0	0	1	0	0	0	0	0	1977	15327	0.000114333
IN, Monroe County	0	0	1	0	0	0	0	0	2797	60104	0.000448353
IN, Montgomery County	0	0	1	0	0	0	0	0	2480	16550	0.000123456
IN, Morgan County	0	0	1	0	0	0	0	0	3612	27949	0.000208488
IN, Newton County	0	0	1	0	0	0	0	0	1145	6026	4.49517e-05
IN, Noble County	0	0	1	0	0	0	0	0	2642	20206	0.000150729
IN, Ohio County	0	0	1	0	0	0	0	0	343	2796	2.08571e-05
IN, Orange County	0	0	1	0	0	0	0	0	1553	9101	6.78898e-05
IN, Owen County	0	0	1	0	0	0	0	0	1888	9990	7.45214e-05
IN, Parke County	0	0	1	0	0	0	0	0	1565	8065	6.01617e-05
IN, Perry County	0	0	1	0	0	0	0	0	1572	8527	6.36081e-05
IN, Pike County	0	0	1	0	0	0	0	0	1546	5714	4.26242e-05
IN, Porter County	0	0	1	0	0	0	0	0	4172	67065	0.000500278
IN, Posey County	0	0	1	0	0	0	0	0	1935	11335	8.45546e-05
IN, Pulaski County	0	0	1	0	0	0	0	0	1854	6044	4.50858e-05
IN, Putnam County	0	0	1	0	0	0	0	0	1832	14808	0.000110462
IN, Randolph County	0	0	1	0	0	0	0	0	3049	11644	8.68595e-05
IN, Ripley County	0	0	1	0	0	0	0	0	2091	12107	9.03135e-05
IN, Rush County	0	0	1	0	0	0	0	0	1354	7463	5.5671e-05
IN, Scott County	0	0	1	0	0	0	0	0	1001	10440	7.78783e-05
IN, Shelby County	0	0	1	0	0	0	0	0	2826	19117	0.000142605
IN, Spencer County	0	0	1	0	0	0	0	0	2158	8943	6.67113e-05
IN, St. Joseph County	0	0	0	0	0	0	1	0	10618	115569	0.000862098
IN, Starke County	0	0	1	0	0	0	0	0	2216	10982	8.19213e-05
IN, Steuben County	0	0	1	0	0	0	0	0	2149	19514	0.000145567
IN, Sullivan County	0	0	1	0	0	0	0	0	1836	8868	6.61519e-05
IN, Switzerland County	0	0	1	0	0	0	0	0	669	5092	3.79844e-05
IN, Tippecanoe County	0	0	1	0	0	0	0	0	3800	73859	0.000550959
IN, Tipton County	0	0	1	0	0	0	0	0	1096	6959	5.19115e-05
IN, Union County	0	0	1	0	0	0	0	0	860	3227	2.40721e-05
IN, Vanderburgh County	0	0	1	0	0	0	0	0	3941	83428	0.000622341
IN, Vermillion County	0	0	1	0	0	0	0	0	2225	7456	5.56187e-05
IN, Vigo County	0	0	1	0	0	0	0	0	6210	46481	0.000346729
IN, Wabash County	0	0	1	0	0	0	0	0	3437	14114	0.000105285
IN, Warren County	0	0	1	0	0	0	0	0	1338	3679	2.74438e-05
IN, Warrick County	0	0	1	0	0	0	0	0	1941	24930	0.000185968
IN, Washington County	0	0	1	0	0	0	0	0	1901	12204	9.10372e-05
IN, Wayne County	0	0	1	0	0	0	0	0	2878	31153	0.000232389
IN, Wells County	0	0	1	0	0	0	0	0	1434	11692	8.72177e-05
IN, White County	0	0	1	0	0	0	0	0	2915	12959	9.66691e-05
IN, Whitley County	0	0	1	0	0	0	0	0	1340	14447	0.000107769
KS, Allen County	0	0	0	0	0	0	0	1	2670	6268	4.67569e-05
KS, Anderson County	0	0	0	0	0	0	0	1	1956	3713	2.76975e-05
KS, Atchison County	0	0	0	0	0	0	0	1	1439	6947	5.18219e-05
KS, Barber County	0	0	0	0	0	0	0	1	1610	2794	2.08422e-05
KS, Barton County	0	0	0	0	0	0	0	1	2656	12629	9.42075e-05
KS, Bourbon County	0	0	0	0	0	0	0	1	2441	7119	5.31051e-05
KS, Brown County	0	0	0	0	0	0	0	1	1807	4756	3.54779e-05
KS, Butler County	0	0	0	0	0	0	0	1	4500	26382	0.000196799
KS, Chase County	0	0	0	0	0	0	0	1	1548	1497	1.1167e-05
KS, Chautauqua County	0	0	0	0	0	0	0	1	1334	2144	1.59934e-05
KS, Cherokee County	0	0	0	0	0	0	0	1	2399	9816	7.32235e-05
KS, Cheyenne County	0	0	0	0	0	0	0	1	1240	1504	1.12192e-05
KS, Clark County	0	0	0	0	0	0	0	1	1287	1147	8.55618e-06
KS, Clay County	0	0	0	0	0	0	0	1	1834	4049	3.02041e-05
KS, Cloud County	0	0	0	0	0	0	0	1	1644	4636	3.45828e-05
KS, Coffey County	0	0	0	0	0	0	0	1	2409	3989	2.97564e-05
KS, Comanche County	0	0	0	0	0	0	0	1	948	1003	7.482e-06
KS, Cowley County	0	0	0	0	0	0	0	1	3447	15999	0.000119346
KS, Crawford County	0	0	0	0	0	0	0	1	3806	17891	0.00013346
KS, Decatur County	0	0	0	0	0	0	0	1	1267	1802	1.34422e-05
KS, Dickinson County	0	0	0	0	0	0	0	1	3463	9099	6.7875e-05
KS, Doniphan County	0	0	0	0	0	0	0	1	1148	3548	2.64666e-05
KS, Douglas County	0	0	0	0	0	0	0	1	3136	48245	0.00035989
KS, Edwards County	0	0	0	0	0	0	0	1	1320	1624	1.21144e-05
KS, Elk County	0	0	0	0	0	0	0	1	1304	1746	1.30245e-05
KS, Ellis County	0	0	0	0	0	0	0	1	3619	13059	9.74151e-05
KS, Ellsworth County	0	0	0	0	0	0	0	1	1920	3217	2.39975e-05
KS, Finney County	0	0	0	0	0	0	0	1	2172	13315	9.93248e-05
KS, Ford County	0	0	0	0	0	0	0	1	3103	12106	9.0306e-05
KS, Franklin County	0	0	0	0	0	0	0	1	2754	11088	8.27123e-05
KS, Geary County	0	0	0	0	0	0	0	1	2665	15080	0.000112491
KS, Gove County	0	0	0	0	0	0	0	1	1003	1372	1.02346e-05
KS, Graham County	0	0	0	0	0	0	0	1	964	1489	1.11073e-05
KS, Grant County	0	0	0	0	0	0	0	1	1419	2929	2.18493e-05
KS, Gray County	0	0	0	0	0	0	0	1	1655	2399	1.78956e-05
KS, Greeley County	0	0	0	0	0	0	0	1	701	613	4.57274e-06
KS, Greenwood County	0	0	0	0	0	0	0	1	2189	4037	3.01145e-05
KS, Hamilton County	0	0	0	0	0	0	0	1	1012	1105	8.24286e-06
KS, Harper County	0	0	0	0	0	0	0	1	2012	3159	2.3565e-05
KS, Harvey County	0	0	0	0	0	0	0	1	2302	14627	0.000109112
KS, Haskell County	0	0	0	0	0	0	0	1	1352	1668	1.24426e-05
KS, Hodgeman County	0	0	0	0	0	0	0	1	1000	1040	7.75799e-06
KS, Jackson County	0	0	0	0	0	0	0	1	1441	5768	4.3027e-05
KS, Jefferson County	0	0	0	0	0	0	0	1	2441	8208	6.12284e-05
KS, Jewell County	0	0	0	0	0	0	0	1	1856	2022	1.50833e-05
KS, Johnson County	0	0	0	0	0	0	0	1	9208	233108	0.0017389
KS, Kearny County	0	0	0	0	0	0	0	1	1274	1548	1.15475e-05
KS, Kingman County	0	0	0	0	0	0	0	1	2130	3816	2.84659e-05
KS, Kiowa County	0	0	0	0	0	0	0	1	1202	1224	9.13056e-06
KS, Labette County	0	0	0	0	0	0	0	1	3551	10054	7.49989e-05
KS, Lane County	0	0	0	0	0	0	0	1	996	978	7.29549e-06
KS, Leavenworth County	0	0	0	0	0	0	0	1	2856	29106	0.000217119
KS, Lincoln County	0	0	0	0	0	0	0	1	1414	1857	1.38525e-05
KS, Linn County	0	0	0	0	0	0	0	1	2540	5460	4.07295e-05
KS, Logan County	0	0	0	0	0	0	0	1	1061	1439	1.07344e-05
KS, Lyon County	0	0	0	0	0	0	0	1	3792	15199	0.000113379
KS, Marion County	0	0	0	0	0	0	0	1	3047	5932	4.42503e-05
KS, Marshall County	0	0	0	0	0	0	0	1	3084	4894	3.65074e-05
KS, McPherson County	0	0	0	0	0	0	0	1	3573	12864	9.59605e-05
KS, Meade County	0	0	0	0	0	0	0	1	1683	1970	1.46954e-05
KS, Miami County	0	0	0	0	0	0	0	1	3301	13324	9.9392e-05
KS, Mitchell County	0	0	0	0	0	0	0	1	1373	3294	2.4572e-05
KS, Montgomery County	0	0	0	0	0	0	0	1	4430	16447	0.000122688
KS, Morris County	0	0	0	0	0	0	0	1	1816	3195	2.38335e-05
KS, Morton County	0	0	0	0	0	0	0	1	1102	1453	1.08388e-05
KS, Nemaha County	0	0	0	0	0	0	0	1	2472	4573	3.41129e-05
KS, Neosho County	0	0	0	0	0	0	0	1	1996	7685	5.73271e-05
KS, Ness County	0	0	0	0	0	0	0	1	1490	1723	1.28529e-05
KS, Norton County	0	0	0	0	0	0	0	1	1584	2537	1.8925e-05
KS, Osage County	0	0	0	0	0	0	0	1	2198	7492	5.58874e-05
KS, Osborne County	0	0	0	0	0	0	0	1	1646	2183	1.62843e-05
KS, Ottawa County	0	0	0	0	0	0	0	1	1087	2762	2.06035e-05
KS, Pawnee County	0	0	0	0	0	0	0	1	1875	3147	2.34754e-05
KS, Phillips County	0	0	0	0	0	0	0	1	2035	3063	2.28488e-05
KS, Pottawatomie County	0	0	0	0	0	0	0	1	3127	9066	6.76289e-05
KS, Pratt County	0	0	0	0	0	0	0	1	1489	4480	3.34192e-05
KS, Rawlins County	0	0	0	0	0	0	0	1	1253	1450	1.08164e-05
KS, Reno County	0	0	0	0	0	0	0	1	4286	28293	0.000211055
KS, Republic County	0	0	0	0	0	0	0	1	1838	2894	2.15881e-05
KS, Rice County	0	0	0	0	0	0	0	1	2263	4560	3.40158e-05
KS, Riley County	0	0	0	0	0	0	0	1	3081	29837	0.000222573
KS, Rooks County	0	0	0	0	0	0	0	1	1974	2763	2.06109e-05
KS, Rush County	0	0	0	0	0	0	0	1	1512	1789	1.33452e-05
KS, Russell County	0	0	0	0	0	0	0	1	1482	3885	2.89805e-05
KS, Saline County	0	0	0	0	0	0	0	1	2553	24208	0.000180582
KS, Scott County	0	0	0	0	0	0	0	1	1311	2271	1.69408e-05
KS, Sedgwick County	0	0	0	0	0	0	0	1	13324	214892	0.00160301
KS, Seward County	0	0	0	0	0	0	0	1	2179	8112	6.05123e-05
KS, Shawnee County	0	0	0	0	0	0	0	1	5828	79499	0.000593032
KS, Sheridan County	0	0	0	0	0	0	0	1	1254	1257	9.37673e-06
KS, Sherman County	0	0	0	0	0	0	0	1	1737	3123	2.32964e-05
KS, Smith County	0	0	0	0	0	0	0	1	1781	2246	1.67543e-05
KS, Stafford County	0	0	0	0	0	0	0	1	2003	2303	1.71795e-05
KS, Stanton County	0	0	0	0	0	0	0	1	1210	1095	8.16827e-06
KS, Stevens County	0	0	0	0	0	0	0	1	1356	2281	1.70154e-05
KS, Sumner County	0	0	0	0	0	0	0	1	4413	10845	8.08995e-05
KS, Thomas County	0	0	0	0	0	0	0	1	1783	3550	2.64815e-05
KS, Trego County	0	0	0	0	0	0	0	1	1479	1688	1.25918e-05
KS, Wabaunsee County	0	0	0	0	0	0	0	1	1900	3254	2.42736e-05
KS, Wallace County	0	0	0	0	0	0	0	1	574	790	5.8931e-06
KS, Washington County	0	0	0	0	0	0	0	1	2202	2940	2.19313e-05
KS, Wichita County	0	0	0	0	0	0	0	1	976	965	7.19851e-06
KS, Wilson County	0	0	0	0	0	0	0	1	2572	4654	3.4717e-05
KS, Woodson County	0	0	0	0	0	0	0	1	1105	2007	1.49714e-05
KS, Wyandotte County	0	0	0	0	0	0	0	1	4793	67297	0.000502009
KY, Adair County	0	0	0	0	0	0	1	0	1037	8505	6.34441e-05
KY, Allen County	0	0	0	0	1	0	0	0	945	9326	6.95683e-05
KY, Anderson County	0	0	0	0	1	0	0	0	736	9254	6.90312e-05
KY, Ballard County	0	0	1	0	0	0	0	0	765	3882	2.89583e-05
KY, Barren County	0	0	0	0	0	0	1	0	1842	19402	0.000144732
KY, Bath County	0	0	0	0	0	0	1	0	644	5385	4.01699e-05
KY, Bell County	0	0	0	0	1	0	0	0	1668	13098	9.77059e-05
KY, Boone County	0	0	0	0	0	0	1	0	1475	47878	0.000357151
KY, Bourbon County	0	0	0	0	0	0	1	0	929	9007	6.71888e-05
KY, Boyd County	0	0	0	0	0	0	1	0	1845	21682	0.000161739
KY, Boyle County	0	0	0	0	0	0	1	0	1108	12399	9.24917e-05
KY, Bracken County	0	0	0	0	0	0	1	0	478	3827	2.8548e-05
KY, Breathitt County	0	0	0	0	0	0	1	0	858	6205	4.62869e-05
KY, Breckinridge County	0	0	1	0	0	0	0	0	1238	10622	7.9236e-05
KY, Bullitt County	0	0	0	0	0	0	1	0	1520	30445	0.000227107
KY, Butler County	0	0	0	0	1	0	0	0	852	5855	4.36761e-05
KY, Caldwell County	0	0	1	0	0	0	0	0	989	6285	4.68837e-05
KY, Calloway County	0	0	0	0	1	0	0	0	2024	18339	0.000136802
KY, Campbell County	0	0	0	0	0	0	1	0	1725	39873	0.000297437
KY, Carlisle County	0	0	0	0	1	0	0	0	484	2440	1.82014e-05
KY, Carroll County	0	0	0	0	0	0	1	0	766	4691	3.4993e-05
KY, Carter County	0	0	0	0	0	0	1	0	1533	12286	9.16488e-05
KY, Casey County	0	0	0	0	0	0	1	0	918	7419	5.53429e-05
KY, Christian County	0	0	0	0	1	0	0	0	2977	29723	0.000221722
KY, Clark County	0	0	0	0	0	0	1	0	1130	15756	0.000117534
KY, Clay County	0	0	0	0	0	0	1	0	992	8850	6.60176e-05
KY, Clinton County	0	0	0	0	0	0	1	0	574	5258	3.92226e-05
KY, Crittenden County	0	0	1	0	0	0	0	0	740	4561	3.40233e-05
KY, Cumberland County	0	0	0	0	1	0	0	0	770	3663	2.73246e-05
KY, Daviess County	0	0	1	0	0	0	0	0	3033	42483	0.000316907
KY, Edmonson County	0	0	0	0	1	0	0	0	502	6454	4.81443e-05
KY, Elliott County	0	0	0	0	0	0	1	0	486	3362	2.50792e-05
KY, Estill County	0	0	0	0	0	0	1	0	597	6853	5.11206e-05
KY, Fayette County	0	0	0	0	0	0	1	0	4151	138858	0.00103583
KY, Fleming County	0	0	0	0	0	0	1	0	925	6609	4.93007e-05
KY, Floyd County	0	0	0	0	0	0	1	0	1915	18159	0.000135459
KY, Franklin County	0	0	0	0	1	0	0	0	1514	23233	0.000173309
KY, Fulton County	0	0	0	0	1	0	0	0	734	3362	2.50792e-05
KY, Gallatin County	0	0	0	0	0	0	1	0	548	3835	2.86076e-05
KY, Garrard County	0	0	0	0	0	0	1	0	695	7464	5.56786e-05
KY, Grant County	0	0	0	0	0	0	1	0	926	9966	7.43424e-05
KY, Graves County	0	0	0	0	1	0	0	0	2082	16755	0.000124986
KY, Grayson County	0	0	0	0	1	0	0	0	1219	13505	0.000100742
KY, Green County	0	0	0	0	0	0	1	0	756	5287	3.9439e-05
KY, Greenup County	0	0	0	0	0	0	1	0	1847	16274	0.000121398
KY, Hancock County	0	0	1	0	0	0	0	0	699	3724	2.77795e-05
KY, Hardin County	0	0	0	0	0	0	1	0	3518	45661	0.000340614
KY, Harlan County	0	0	0	0	1	0	0	0	2421	13469	0.000100474
KY, Harrison County	0	0	0	0	0	0	1	0	949	8208	6.12284e-05
KY, Hart County	0	0	0	0	0	0	1	0	1061	8748	6.52567e-05
KY, Henderson County	0	0	1	0	0	0	0	0	1828	20475	0.000152736
KY, Henry County	0	0	0	0	0	0	1	0	853	6662	4.9696e-05
KY, Hickman County	0	0	0	0	1	0	0	0	626	2340	1.74555e-05
KY, Hopkins County	0	0	1	0	0	0	0	0	2506	21272	0.000158681
KY, Jackson County	0	0	0	0	0	0	1	0	683	6514	4.85919e-05
KY, Jefferson County	0	0	0	0	1	0	0	0	12762	341528	0.00254767
KY, Jessamine County	0	0	0	0	0	0	1	0	984	19934	0.0001487
KY, Johnson County	0	0	0	0	0	0	1	0	1213	10547	7.86765e-05
KY, Kenton County	0	0	0	0	0	0	1	0	3778	69520	0.000518593
KY, Knott County	0	0	0	0	0	0	1	0	673	7441	5.5507e-05
KY, Knox County	0	0	0	0	0	0	1	0	1450	14476	0.000107985
KY, Larue County	0	0	0	0	0	0	1	0	708	6270	4.67717e-05
KY, Laurel County	0	0	0	0	0	0	1	0	1954	25434	0.000189728
KY, Lawrence County	0	0	0	0	0	0	1	0	1455	7264	5.41865e-05
KY, Lee County	0	0	0	0	0	0	1	0	604	3438	2.56461e-05
KY, Leslie County	0	0	0	0	0	0	1	0	1058	5264	3.92674e-05
KY, Letcher County	0	0	0	0	0	0	1	0	1430	11576	8.63524e-05
KY, Lewis County	0	0	0	0	0	0	1	0	1495	6478	4.83234e-05
KY, Lincoln County	0	0	0	0	0	0	1	0	1057	10850	8.09367e-05
KY, Livingston County	0	0	1	0	0	0	0	0	950	4815	3.59179e-05
KY, Logan County	0	0	0	0	1	0	0	0	1702	12312	9.18428e-05
KY, Lyon County	0	0	0	0	1	0	0	0	1179	4815	3.59179e-05
KY, Madison County	0	0	0	0	0	0	1	0	2712	35815	0.000267166
KY, Magoffin County	0	0	0	0	0	0	1	0	590	5935	4.42727e-05
KY, Marion County	0	0	0	0	0	0	1	0	982	8214	6.12732e-05
KY, Marshall County	0	0	0	0	1	0	0	0	2293	15929	0.000118824
KY, Martin County	0	0	0	0	0	0	1	0	553	5145	3.83797e-05
KY, Mason County	0	0	0	0	0	0	1	0	1180	8147	6.07735e-05
KY, McCracken County	0	0	1	0	0	0	0	0	3112	31513	0.000235075
KY, McCreary County	0	0	0	0	0	0	1	0	732	7438	5.54846e-05
KY, McLean County	0	0	1	0	0	0	0	0	752	4256	3.17482e-05
KY, Meade County	0	0	1	0	0	0	0	0	978	12170	9.07835e-05
KY, Menifee County	0	0	0	0	0	0	1	0	383	3854	2.87493e-05
KY, Mercer County	0	0	0	0	0	0	1	0	953	10054	7.49989e-05
KY, Metcalfe County	0	0	0	0	0	0	1	0	592	4680	3.4911e-05
KY, Monroe County	0	0	0	0	1	0	0	0	734	5202	3.88049e-05
KY, Montgomery County	0	0	0	0	0	0	1	0	853	11755	8.76877e-05
KY, Morgan County	0	0	0	0	0	0	1	0	775	5870	4.37879e-05
KY, Muhlenberg County	0	0	0	0	1	0	0	0	2052	13663	0.000101921
KY, Nelson County	0	0	0	0	0	0	1	0	1570	18569	0.000138517
KY, Nicholas County	0	0	0	0	0	0	1	0	576	3244	2.41991e-05
KY, Ohio County	0	0	1	0	0	0	0	0	1752	10232	7.63267e-05
KY, Oldham County	0	0	0	0	1	0	0	0	1151	21291	0.000158823
KY, Owen County	0	0	0	0	0	0	1	0	666	5634	4.20276e-05
KY, Owsley County	0	0	0	0	0	0	1	0	448	2169	1.61799e-05
KY, Pendleton County	0	0	0	0	0	0	1	0	769	6320	4.71449e-05
KY, Perry County	0	0	0	0	0	0	1	0	1685	12794	9.54384e-05
KY, Pike County	0	0	0	0	0	0	1	0	2368	30330	0.00022625
KY, Powell County	0	0	0	0	0	0	1	0	655	5587	4.16768e-05
KY, Pulaski County	0	0	0	0	0	0	1	0	3031	31189	0.000232657
KY, Robertson County	0	0	0	0	0	0	1	0	152	1147	8.55618e-06
KY, Rockcastle County	0	0	0	0	0	0	1	0	863	7701	5.74464e-05
KY, Rowan County	0	0	0	0	0	0	1	0	928	10128	7.55509e-05
KY, Russell County	0	0	0	0	0	0	1	0	1135	9947	7.42008e-05
KY, Scott County	0	0	0	0	0	0	1	0	1551	20517	0.000153049
KY, Shelby County	0	0	0	0	0	0	1	0	1398	17046	0.000127156
KY, Simpson County	0	0	0	0	1	0	0	0	785	7569	5.64618e-05
KY, Spencer County	0	0	0	0	0	0	1	0	513	6925	5.16578e-05
KY, Taylor County	0	0	0	0	0	0	1	0	1035	10959	8.17499e-05
KY, Todd County	0	0	0	0	1	0	0	0	817	5285	3.94241e-05
KY, Trigg County	0	0	0	0	1	0	0	0	1591	7841	5.84908e-05
KY, Trimble County	0	0	0	0	0	0	1	0	393	3930	2.93164e-05
KY, Union County	0	0	1	0	0	0	0	0	1272	6193	4.61973e-05
KY, Warren County	0	0	0	0	1	0	0	0	3271	49864	0.000371966
KY, Washington County	0	0	0	0	0	0	1	0	786	5097	3.80217e-05
KY, Wayne County	0	0	0	0	0	0	1	0	1095	10843	8.08846e-05
KY, Webster County	0	0	1	0	0	0	0	0	1168	5920	4.4161e-05
KY, Whitley County	0	0	0	0	0	0	1	0	1726	15180	0.000113237
KY, Wolfe County	0	0	0	0	0	0	1	0	536	3651	2.7235e-05
KY, Woodford County	0	0	0	0	1	0	0	0	672	10938	8.15932e-05
LA, Acadia Parish	0	0	1	0	0	0	0	0	3105	25867	0.000192959
LA, Allen Parish	0	0	1	0	0	0	0	0	1416	9782	7.297e-05
LA, Ascension Parish	0	0	1	0	0	0	0	0	2711	44127	0.000329171
LA, Assumption Parish	0	0	1	0	0	0	0	0	1315	10502	7.83409e-05
LA, Avoyelles Parish	0	0	1	0	0	0	0	0	2337	18184	0.000135646
LA, Beauregard Parish	0	0	1	0	0	0	0	0	3626	15220	0.000113536
LA, Bienville Parish	0	0	1	0	0	0	0	0	2040	7731	5.76704e-05
LA, Bossier Parish	0	0	0	0	0	0	0	1	3396	53917	0.000402201
LA, Caddo Parish	0	0	0	0	0	0	0	1	9229	112745	0.000841035
LA, Calcasieu Parish	0	0	1	0	0	0	0	0	5561	85898	0.000640767
LA, Caldwell Parish	0	0	1	0	0	0	0	0	988	5028	3.75069e-05
LA, Cameron Parish	0	0	1	0	0	0	0	0	1651	3641	2.71605e-05
LA, Catahoula Parish	0	0	1	0	0	0	0	0	1584	4905	3.65894e-05
LA, Claiborne Parish	0	0	1	0	0	0	0	0	1832	7755	5.78493e-05
LA, Concordia Parish	0	0	1	0	0	0	0	0	2003	9434	7.03741e-05
LA, De Soto Parish	0	0	1	0	0	0	0	0	2922	12432	9.27379e-05
LA, East Baton Rouge Parish	0	0	1	0	0	0	0	0	7896	191397	0.00142775
LA, East Carroll Parish	0	0	1	0	0	0	0	0	827	3076	2.29458e-05
LA, East Feliciana Parish	0	0	1	0	0	0	0	0	765	8177	6.09973e-05
LA, Evangeline Parish	0	0	1	0	0	0	0	0	2195	14842	0.000110716
LA, Franklin Parish	0	0	1	0	0	0	0	0	2564	9109	6.79497e-05
LA, Grant Parish	0	0	1	0	0	0	0	0	1912	9031	6.73678e-05
LA, Iberia Parish	0	0	1	0	0	0	0	0	2935	30077	0.000224363
LA, Iberville Parish	0	0	1	0	0	0	0	0	1637	13009	9.70423e-05
LA, Jackson Parish	0	0	1	0	0	0	0	0	1397	7738	5.77225e-05
LA, Jefferson Davis Parish	0	0	1	0	0	0	0	0	2196	13596	0.000101421
LA, Jefferson Parish	0	0	1	0	0	0	0	0	10454	189170	0.00141114
LA, La Salle Parish	0	0	1	0	0	0	0	0	1978	6581	4.90917e-05
LA, Lafayette Parish	0	0	1	0	0	0	0	0	5309	97847	0.000729902
LA, Lafourche Parish	0	0	1	0	0	0	0	0	4397	39711	0.000296229
LA, Lincoln Parish	0	0	1	0	0	0	0	0	1647	19722	0.000147119
LA, Livingston Parish	0	0	1	0	0	0	0	0	2929	53673	0.00040038
