Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=State	Dependency=Vintage ACS	Option=Central AC	Option=Ducted Heat Pump	Option=Evaporative or Swamp Cooler	Option=Non-Ducted Heat Pump	Option=None	Option=Room AC	source_count	source_weight	sampling_probability
Mobile Home	None	CA	<1940	0.0176979	0	0	0	0.848093	0.134209	21	0	7.73919e-06
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CA	1940-59	0	1	0	0	0	0	52	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	CA	1940-59	0.166509	0	0	0	0.252986	0.580505	19	75039.8	0.000616444
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CA	1940-59	0	0	0	1	0	0	5	0	0
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CA	1940-59	0	0	0	0	0.618372	0.381628	13	65740.7	0.000748648
Multi-Family with 2 - 4 Units	None	CA	1940-59	0.124445	0	0	0	0.56746	0.308095	11	19946	8.72883e-05
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CA	1960-79	0	1	0	0	0	0	17	0	8.81982e-05
Multi-Family with 2 - 4 Units	Ducted Heating	CA	1960-79	0.446155	0	0	0	0.491344	0.0625012	12	189291	0.00141768
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CA	1960-79	0	0	0	1	0	0	9	14571.9	2.83901e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CA	1960-79	0.122631	0	0	0	0.419921	0.457447	12	145431	0.00118287
Multi-Family with 2 - 4 Units	None	CA	1960-79	0.0782942	0	0	0	0.284277	0.637428	21	66123.7	0.000168955
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CA	1980-99	0	1	0	0	0	0	14	0	7.58208e-05
Multi-Family with 2 - 4 Units	Ducted Heating	CA	1980-99	0.699752	0	0	0	0.199961	0.100287	10	162401	0.000989013
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CA	1980-99	0	0	0	1	0	0	9	0	5.02083e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CA	1980-99	0	0	0	0	0.760087	0.239913	13	67754.4	0.000881897
Multi-Family with 2 - 4 Units	None	CA	1980-99	0.152826	0	0	0	0.554234	0.292941	21	99594.6	9.17748e-05
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CA	2000-09	0	1	0	0	0	0	11	0	2.9359e-05
Multi-Family with 2 - 4 Units	Ducted Heating	CA	2000-09	0.746086	0	0	0	0.215165	0.0387485	16	11781.8	0.000245981
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CA	2000-09	0	0	0	1	0	0	20	0	4.92258e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CA	2000-09	0.43638	0	0	0	0.394442	0.169179	23	0	0.000149295
Multi-Family with 2 - 4 Units	None	CA	2000-09	0.310938	0	0	0	0.560989	0.128073	13	27367	1.62881e-05
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CA	2010s	0	1	0	0	0	0	11	15398.2	1.11474e-05
Multi-Family with 2 - 4 Units	Ducted Heating	CA	2010s	0.545602	0	0	0	0.295016	0.159382	12	24769.6	8.18438e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CA	2010s	0	0	0	1	0	0	20	0	3.19322e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CA	2010s	0.240858	0	0	0	0.299012	0.46013	29	0	6.94481e-05
Multi-Family with 2 - 4 Units	None	CA	2010s	0.539262	0	0	0	0.145654	0.315084	13	0	1.01423e-05
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CA	<1940	0	1	0	0	0	0	52	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	CA	<1940	0.251984	0	0	0	0.29547	0.452545	20	32042.9	0.000454197
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CA	<1940	0	0	0	1	0	0	5	0	0
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CA	<1940	0	0	0	0	0.61198	0.38802	10	63684	0.000720137
Multi-Family with 2 - 4 Units	None	CA	<1940	0.366324	0	0	0	0.306718	0.326958	10	9066.26	7.51439e-05
Multi-Family with 5+ Units	Ducted Heat Pump	CA	1940-59	0	1	0	0	0	0	52	0	0
Multi-Family with 5+ Units	Ducted Heating	CA	1940-59	0.252485	0	0	0	0.224234	0.523281	11	110038	0.000980344
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CA	1940-59	0	0	0	1	0	0	5	0	0
Multi-Family with 5+ Units	Non-Ducted Heating	CA	1940-59	0	0	0	0	0.5865	0.4135	21	174307	0.00153888
Multi-Family with 5+ Units	None	CA	1940-59	0.124445	0	0	0	0.56746	0.308095	11	59847.6	0.000229316
Multi-Family with 5+ Units	Ducted Heat Pump	CA	1960-79	0	1	0	0	0	0	17	36927.6	0.000667398
Multi-Family with 5+ Units	Ducted Heating	CA	1960-79	0.463816	0	0	0	0.143533	0.392651	22	315555	0.00370469
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CA	1960-79	0	0	0	1	0	0	9	0	0
Multi-Family with 5+ Units	Non-Ducted Heating	CA	1960-79	0.12259	0	0	0	0.375866	0.501544	23	338549	0.00396825
Multi-Family with 5+ Units	None	CA	1960-79	0.055211	0	0	0	0.27997	0.664819	15	241666	0.000553982
Multi-Family with 5+ Units	Ducted Heat Pump	CA	1980-99	0	1	0	0	0	0	14	47878	0.000423256
Multi-Family with 5+ Units	Ducted Heating	CA	1980-99	0.804886	0	0	0	0.195114	0	16	258172	0.00269017
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CA	1980-99	0	0	0	1	0	0	9	41767.5	0.0003443
Multi-Family with 5+ Units	Non-Ducted Heating	CA	1980-99	0.300024	0	0	0	0.397318	0.302657	18	266143	0.00326351
Multi-Family with 5+ Units	None	CA	1980-99	0.223326	0	0	0	0.556721	0.219953	14	234800	0.000350008
Multi-Family with 5+ Units	Ducted Heat Pump	CA	2000-09	0	1	0	0	0	0	11	48382.1	0.000386073
Multi-Family with 5+ Units	Ducted Heating	CA	2000-09	0.721533	0	0	0	0.278467	0	11	132719	0.00112919
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CA	2000-09	0	0	0	1	0	0	20	9253.96	7.38434e-05
Multi-Family with 5+ Units	Non-Ducted Heating	CA	2000-09	0.426725	0	0	0	0.386727	0.186548	21	95654.4	0.000796805
Multi-Family with 5+ Units	None	CA	2000-09	0.239695	0	0	0	0.618991	0.141314	11	118149	9.39266e-05
Multi-Family with 5+ Units	Ducted Heat Pump	CA	2010s	0	1	0	0	0	0	11	23333	0.00011056
Multi-Family with 5+ Units	Ducted Heating	CA	2010s	0.425494	0	0	0	0.372996	0.20151	10	57111.1	0.000509162
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CA	2010s	0	0	0	1	0	0	20	11248	5.32969e-05
Multi-Family with 5+ Units	Non-Ducted Heating	CA	2010s	0.247819	0	0	0	0.307653	0.444528	28	100457	0.000624465
Multi-Family with 5+ Units	None	CA	2010s	0.539262	0	0	0	0.145654	0.315084	13	53269.8	5.61242e-05
Multi-Family with 5+ Units	Ducted Heat Pump	CA	<1940	0	1	0	0	0	0	52	0	0
Multi-Family with 5+ Units	Ducted Heating	CA	<1940	0.251984	0	0	0	0.29547	0.452545	20	75444.8	0.000602626
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CA	<1940	0	0	0	1	0	0	5	0	0
Multi-Family with 5+ Units	Non-Ducted Heating	CA	<1940	0	0	0	0	0.336848	0.663152	14	163102	0.00108409
Multi-Family with 5+ Units	None	CA	<1940	0.366324	0	0	0	0.306718	0.326958	10	64401.1	0.000208944
Single-Family Attached	Ducted Heat Pump	CA	1940-59	0	1	0	0	0	0	13	1889.66	4.36522e-05
Single-Family Attached	Ducted Heating	CA	1940-59	0.57748	0	0	0	0.297894	0.124626	255	28073.3	0.000637578
Single-Family Attached	Non-Ducted Heat Pump	CA	1940-59	0	0	0	1	0	0	13	2142.63	3.81984e-05
Single-Family Attached	Non-Ducted Heating	CA	1940-59	0.188015	0	0	0	0.377814	0.434171	78	36869.6	0.00021674
Single-Family Attached	None	CA	1940-59	0.0833916	0	0	0	0.677985	0.238623	18	9833.88	7.42093e-05
Single-Family Attached	Ducted Heat Pump	CA	1960-79	0	1	0	0	0	0	28	21031.1	0.000147792
Single-Family Attached	Ducted Heating	CA	1960-79	0.632008	0	0	0	0.307979	0.0600137	21	138538	0.00128126
Single-Family Attached	Non-Ducted Heat Pump	CA	1960-79	0	0	0	1	0	0	10	0	1.07006e-05
Single-Family Attached	Non-Ducted Heating	CA	1960-79	0.231179	0	0	0	0.370758	0.398063	14	109498	0.0007755
Single-Family Attached	None	CA	1960-79	0.335186	0	0	0	0.55601	0.108805	23	73436.8	6.59173e-05
Single-Family Attached	Ducted Heat Pump	CA	1980-99	0	1	0	0	0	0	26	5926.67	0.000202593
Single-Family Attached	Ducted Heating	CA	1980-99	0.58652	0	0	0	0.361388	0.0520917	35	238511	0.00157203
Single-Family Attached	Non-Ducted Heat Pump	CA	1980-99	0	0	0	1	0	0	41	0	1.33721e-05
Single-Family Attached	Non-Ducted Heating	CA	1980-99	0.391867	0	0	0	0.214456	0.393677	13	61482.2	0.000504072
Single-Family Attached	None	CA	1980-99	0.444426	0	0	0	0.453715	0.101859	11	63285.7	5.08409e-05
Single-Family Attached	Ducted Heat Pump	CA	2000-09	0	1	0	0	0	0	14	0	7.00606e-05
Single-Family Attached	Ducted Heating	CA	2000-09	0.694569	0	0	0	0.141298	0.164133	14	50953.6	0.000465439
Single-Family Attached	Non-Ducted Heat Pump	CA	2000-09	0	0	0	1	0	0	41	0	1.71871e-05
Single-Family Attached	Non-Ducted Heating	CA	2000-09	0.552626	0	0	0	0.395127	0.0522471	17	11805.5	0.000138241
Single-Family Attached	None	CA	2000-09	0.688798	0	0	0	0.128166	0.183036	28	11017.7	1.09309e-05
Single-Family Attached	Ducted Heat Pump	CA	2010s	0	1	0	0	0	0	22	0	2.48357e-05
Single-Family Attached	Ducted Heating	CA	2010s	0.887217	0	0	0	0.0837373	0.0290454	79	39829.6	0.00020937
Single-Family Attached	Non-Ducted Heat Pump	CA	2010s	0	0	0	1	0	0	41	0	1.153e-05
Single-Family Attached	Non-Ducted Heating	CA	2010s	0.356822	0	0	0	0.552943	0.0902353	22	0	2.61787e-05
Single-Family Attached	None	CA	2010s	0.63349	0	0	0	0.36651	0	16	4398.24	4.71499e-06
Single-Family Attached	Ducted Heat Pump	CA	<1940	0	1	0	0	0	0	13	4883.33	1.43458e-05
Single-Family Attached	Ducted Heating	CA	<1940	0.423178	0	0	0	0.429894	0.146928	135	37084.4	0.000438652
Single-Family Attached	Non-Ducted Heat Pump	CA	<1940	0	0	0	1	0	0	13	5537.05	3.0065e-05
Single-Family Attached	Non-Ducted Heating	CA	<1940	0.0473183	0	0	0	0.568048	0.384633	39	12410	0.000132494
Single-Family Attached	None	CA	<1940	0.0176979	0	0	0	0.848093	0.134209	21	7204.32	5.83189e-05
Single-Family Detached	Ducted Heat Pump	CA	1940-59	0	1	0	0	0	0	12	45343.1	0.000410581
Single-Family Detached	Ducted Heating	CA	1940-59	0.618166	0	0	0	0.28156	0.100274	156	1.13741e+06	0.0101949
Single-Family Detached	Non-Ducted Heat Pump	CA	1940-59	0	0	0	1	0	0	12	29317.9	0.000295565
Single-Family Detached	Non-Ducted Heating	CA	1940-59	0.244728	0	0	0	0.289694	0.465579	39	315536	0.00344781
Single-Family Detached	None	CA	1940-59	0.0891874	0	0	0	0.655605	0.255208	15	168714	0.00043704
Single-Family Detached	Ducted Heat Pump	CA	1960-79	0	1	0	0	0	0	23	55529.8	0.00088163
Single-Family Detached	Ducted Heating	CA	1960-79	0.753759	0	0	0	0.200999	0.0452416	148	1.51903e+06	0.0116767
Single-Family Detached	Non-Ducted Heat Pump	CA	1960-79	0	0	0	1	0	0	10	18854.6	0.000247963
Single-Family Detached	Non-Ducted Heating	CA	1960-79	0.330255	0	0	0	0.480685	0.18906	25	282363	0.0032343
Single-Family Detached	None	CA	1960-79	0.345883	0	0	0	0.539126	0.114991	12	131980	0.000265972
Single-Family Detached	Ducted Heat Pump	CA	1980-99	0	1	0	0	0	0	24	49125	0.00077861
Single-Family Detached	Ducted Heating	CA	1980-99	0.807493	0	0	0	0.163144	0.0293632	145	1.55943e+06	0.0112314
Single-Family Detached	Non-Ducted Heat Pump	CA	1980-99	0	0	0	1	0	0	41	0	0
Single-Family Detached	Non-Ducted Heating	CA	1980-99	0.487801	0	0	0	0.145677	0.366521	15	175120	0.00202942
Single-Family Detached	None	CA	1980-99	0.444426	0	0	0	0.453715	0.101859	11	30055.7	0.000150406
Single-Family Detached	Ducted Heat Pump	CA	2000-09	0	1	0	0	0	0	13	26541.4	0.000541961
Single-Family Detached	Ducted Heating	CA	2000-09	0.89444	0	0	0	0.0912338	0.0143261	84	814988	0.00597097
Single-Family Detached	Non-Ducted Heat Pump	CA	2000-09	0	0	0	1	0	0	41	0	0.000113073
Single-Family Detached	Non-Ducted Heating	CA	2000-09	0.534058	0	0	0	0.402387	0.0635547	13	40684.8	0.000608064
Single-Family Detached	None	CA	2000-09	0.688798	0	0	0	0.128166	0.183036	28	30624.9	5.78586e-05
Single-Family Detached	Ducted Heat Pump	CA	2010s	0	1	0	0	0	0	22	0	0.000114466
Single-Family Detached	Ducted Heating	CA	2010s	0.962778	0	0	0	0.0372225	0	27	250226	0.00121074
Single-Family Detached	Non-Ducted Heat Pump	CA	2010s	0	0	0	1	0	0	41	0	3.95265e-05
Single-Family Detached	Non-Ducted Heating	CA	2010s	0.356822	0	0	0	0.552943	0.0902353	22	24530.3	0.000226267
Single-Family Detached	None	CA	2010s	0.63349	0	0	0	0.36651	0	16	9813.31	6.67536e-06
Single-Family Detached	Ducted Heat Pump	CA	<1940	0	1	0	0	0	0	13	0	0
Single-Family Detached	Ducted Heating	CA	<1940	0.480386	0	0	0	0.442834	0.0767799	72	646183	0.00392724
Single-Family Detached	Non-Ducted Heat Pump	CA	<1940	0	0	0	1	0	0	13	7771.8	7.03438e-05
Single-Family Detached	Non-Ducted Heating	CA	<1940	0.0494903	0	0	0	0.499673	0.450837	17	175166	0.00142794
Single-Family Detached	None	CA	<1940	0.0176979	0	0	0	0.848093	0.134209	21	34107.2	0.000205141
Mobile Home	Ducted Heat Pump	CO	1940-59	0	1	0	0	0	0	21	0	4.80624e-07
Mobile Home	Ducted Heating	CO	1940-59	0.632998	0	0	0	0.206991	0.160012	134	0	1.11433e-05
Mobile Home	Non-Ducted Heat Pump	CO	1940-59	0	0	0	1	0	0	17	0	2.5363e-07
Mobile Home	Non-Ducted Heating	CO	1940-59	0.202269	0	0	0	0.625938	0.171794	44	0	3.59102e-06
Mobile Home	None	CO	1940-59	0.0802227	0	0	0	0.683634	0.236143	53	0	0
Mobile Home	Ducted Heat Pump	CO	1960-79	0	1	0	0	0	0	60	0	3.37883e-06
Mobile Home	Ducted Heating	CO	1960-79	0.364612	0	0	0	0.430216	0.205172	26	31504.4	0.000192808
Mobile Home	Non-Ducted Heat Pump	CO	1960-79	0	0	0	1	0	0	10	0	6.44588e-07
Mobile Home	Non-Ducted Heating	CO	1960-79	0.169825	0	0	0	0.480189	0.349986	54	5655.44	5.89496e-05
Mobile Home	None	CO	1960-79	0.280618	0	0	0	0.469829	0.249553	93	0	9.396e-08
Mobile Home	Ducted Heat Pump	CO	1980-99	0	1	0	0	0	0	91	0	3.86932e-06
Mobile Home	Ducted Heating	CO	1980-99	0.296673	0	0	0	0.242529	0.460799	28	36068.3	0.000228613
Mobile Home	Non-Ducted Heat Pump	CO	1980-99	0	0	0	1	0	0	41	0	2.08054e-06
Mobile Home	Non-Ducted Heating	CO	1980-99	0.160007	0	0	0	0.579392	0.260601	49	5738.44	5.80528e-05
Mobile Home	None	CO	1980-99	0.315065	0	0	0	0.431939	0.252996	86	0	3.10967e-07
Mobile Home	Ducted Heat Pump	CO	2000-09	0	1	0	0	0	0	60	0	3.1901e-06
Mobile Home	Ducted Heating	CO	2000-09	0.910116	0	0	0	0.0534744	0.0364101	173	19970.9	7.66892e-05
Mobile Home	Non-Ducted Heat Pump	CO	2000-09	0	0	0	1	0	0	41	0	0
Mobile Home	Non-Ducted Heating	CO	2000-09	0.486211	0	0	0	0.363166	0.150623	13	0	1.04359e-05
Mobile Home	None	CO	2000-09	0.810718	0	0	0	0.115502	0.0737796	57	0	8.79657e-08
Mobile Home	Ducted Heat Pump	CO	2010s	0	1	0	0	0	0	60	0	1.36176e-06
Mobile Home	Ducted Heating	CO	2010s	0.91502	0	0	0	0.0735038	0.0114759	105	6753.94	3.26867e-05
Mobile Home	Non-Ducted Heat Pump	CO	2010s	0	0	0	1	0	0	41	0	0
Mobile Home	Non-Ducted Heating	CO	2010s	0.40592	0	0	0	0.522541	0.0715391	13	0	6.93895e-06
Mobile Home	None	CO	2010s	0.810718	0	0	0	0.115502	0.0737796	57	0	0
Mobile Home	Ducted Heat Pump	CO	<1940	0	1	0	0	0	0	21	0	4.30221e-07
Mobile Home	Ducted Heating	CO	<1940	0.504479	0	0	0	0.310973	0.184548	83	0	2.99384e-06
Mobile Home	Non-Ducted Heat Pump	CO	<1940	0	0	0	1	0	0	17	0	3.66193e-07
Mobile Home	Non-Ducted Heating	CO	<1940	0.0833576	0	0	0	0.507844	0.408799	32	0	3.05529e-06
Mobile Home	None	CO	<1940	0.0802227	0	0	0	0.683634	0.236143	53	0	1.53018e-06
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CO	1940-59	0	1	0	0	0	0	52	0	2.272e-06
Multi-Family with 2 - 4 Units	Ducted Heating	CO	1940-59	0.285055	0	0	0	0.264458	0.450487	27	0	4.09647e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CO	1940-59	0	0	0	1	0	0	5	0	0
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CO	1940-59	0	0	0	0	0.52517	0.47483	62	4867.08	5.07603e-05
Multi-Family with 2 - 4 Units	None	CO	1940-59	0.195983	0	0	0	0.406398	0.397619	20	3585.1	1.33789e-07
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CO	1960-79	0	1	0	0	0	0	17	0	3.44733e-06
Multi-Family with 2 - 4 Units	Ducted Heating	CO	1960-79	0.407076	0	0	0	0.405701	0.187224	20	0	0.000141975
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CO	1960-79	0	0	0	1	0	0	9	0	0
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CO	1960-79	0.101105	0	0	0	0.18425	0.714645	29	47370.2	0.000140074
Multi-Family with 2 - 4 Units	None	CO	1960-79	0.153227	0	0	0	0.315039	0.531733	63	0	1.97265e-06
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CO	1980-99	0	1	0	0	0	0	14	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	CO	1980-99	0.625688	0	0	0	0.223179	0.151133	24	12424	0.000166236
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CO	1980-99	0	0	0	1	0	0	9	0	0
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CO	1980-99	0.167938	0	0	0	0.439946	0.392116	16	9592.57	9.77072e-05
Multi-Family with 2 - 4 Units	None	CO	1980-99	0.228601	0	0	0	0.500565	0.270834	44	0	2.03376e-06
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CO	2000-09	0	1	0	0	0	0	19	0	6.54855e-06
Multi-Family with 2 - 4 Units	Ducted Heating	CO	2000-09	0.812572	0	0	0	0.0732898	0.114139	13	0	5.44563e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CO	2000-09	0	0	0	1	0	0	20	0	6.80697e-07
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CO	2000-09	0.460873	0	0	0	0.265482	0.273645	12	0	2.72002e-05
Multi-Family with 2 - 4 Units	None	CO	2000-09	0.44458	0	0	0	0.356357	0.199064	36	0	0
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CO	2010s	0	1	0	0	0	0	19	0	1.0394e-06
Multi-Family with 2 - 4 Units	Ducted Heating	CO	2010s	1	0	0	0	0	0	12	0	1.72725e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CO	2010s	0	0	0	1	0	0	20	0	0
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CO	2010s	0.357356	0	0	0	0.316457	0.326188	10	9925.92	1.03839e-05
Multi-Family with 2 - 4 Units	None	CO	2010s	0.44458	0	0	0	0.356357	0.199064	36	0	0
Multi-Family with 2 - 4 Units	Ducted Heat Pump	CO	<1940	0	1	0	0	0	0	52	0	0
Multi-Family with 2 - 4 Units	Ducted Heating	CO	<1940	0.285055	0	0	0	0.264458	0.450487	27	0	3.23067e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	CO	<1940	0	0	0	1	0	0	5	0	0
Multi-Family with 2 - 4 Units	Non-Ducted Heating	CO	<1940	0	0	0	0	0.52517	0.47483	62	12577.7	5.47296e-05
Multi-Family with 2 - 4 Units	None	CO	<1940	0.195983	0	0	0	0.406398	0.397619	20	9264.72	8.4364e-07
Multi-Family with 5+ Units	Ducted Heat Pump	CO	1940-59	0	1	0	0	0	0	52	0	7.55664e-06
Multi-Family with 5+ Units	Ducted Heating	CO	1940-59	0.285055	0	0	0	0.264458	0.450487	27	2378.03	6.66246e-05
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CO	1940-59	0	0	0	1	0	0	5	0	0
Multi-Family with 5+ Units	Non-Ducted Heating	CO	1940-59	0	0	0	0	0.52517	0.47483	62	15659	0.000100413
Multi-Family with 5+ Units	None	CO	1940-59	0.195983	0	0	0	0.406398	0.397619	20	0	4.42205e-06
Multi-Family with 5+ Units	Ducted Heat Pump	CO	1960-79	0	1	0	0	0	0	17	0	1.89867e-05
Multi-Family with 5+ Units	Ducted Heating	CO	1960-79	0.313084	0	0	0	0.539866	0.14705	11	47832.7	0.000501656
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CO	1960-79	0	0	0	1	0	0	9	0	0
Multi-Family with 5+ Units	Non-Ducted Heating	CO	1960-79	0.203841	0	0	0	0	0.796159	11	89988.6	0.000614389
Multi-Family with 5+ Units	None	CO	1960-79	0.153227	0	0	0	0.315039	0.531733	63	7472.38	2.37912e-05
Multi-Family with 5+ Units	Ducted Heat Pump	CO	1980-99	0	1	0	0	0	0	14	0	0
Multi-Family with 5+ Units	Ducted Heating	CO	1980-99	0.531224	0	0	0	0.279502	0.189274	20	80445.3	0.000739013
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CO	1980-99	0	0	0	1	0	0	9	0	0
Multi-Family with 5+ Units	Non-Ducted Heating	CO	1980-99	0.212638	0	0	0	0.417739	0.369623	12	64300.3	0.000448773
Multi-Family with 5+ Units	None	CO	1980-99	0.228601	0	0	0	0.500565	0.270834	44	0	1.30127e-05
Multi-Family with 5+ Units	Ducted Heat Pump	CO	2000-09	0	1	0	0	0	0	19	11236.7	4.78464e-05
Multi-Family with 5+ Units	Ducted Heating	CO	2000-09	0.856727	0	0	0	0	0.143273	10	46211.3	0.000327093
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CO	2000-09	0	0	0	1	0	0	20	0	4.97346e-06
Multi-Family with 5+ Units	Non-Ducted Heating	CO	2000-09	0.460873	0	0	0	0.265482	0.273645	12	11236.7	0.000183001
Multi-Family with 5+ Units	None	CO	2000-09	0.44458	0	0	0	0.356357	0.199064	36	0	2.24827e-06
Multi-Family with 5+ Units	Ducted Heat Pump	CO	2010s	0	1	0	0	0	0	19	7734.58	2.55276e-05
Multi-Family with 5+ Units	Ducted Heating	CO	2010s	1	0	0	0	0	0	12	48855.7	0.000215409
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CO	2010s	0	0	0	1	0	0	20	0	0
Multi-Family with 5+ Units	Non-Ducted Heating	CO	2010s	0.357356	0	0	0	0.316457	0.326188	10	10747.5	0.000123071
Multi-Family with 5+ Units	None	CO	2010s	0.44458	0	0	0	0.356357	0.199064	36	0	4.89647e-06
Multi-Family with 5+ Units	Ducted Heat Pump	CO	<1940	0	1	0	0	0	0	52	0	0
Multi-Family with 5+ Units	Ducted Heating	CO	<1940	0.285055	0	0	0	0.264458	0.450487	27	6145.37	4.80405e-05
Multi-Family with 5+ Units	Non-Ducted Heat Pump	CO	<1940	0	0	0	1	0	0	5	0	0
Multi-Family with 5+ Units	Non-Ducted Heating	CO	<1940	0	0	0	0	0.52517	0.47483	62	13060.7	8.81127e-05
Multi-Family with 5+ Units	None	CO	<1940	0.195983	0	0	0	0.406398	0.397619	20	0	4.92609e-06
Single-Family Attached	Ducted Heat Pump	CO	1940-59	0	1	0	0	0	0	21	0	4.07615e-06
Single-Family Attached	Ducted Heating	CO	1940-59	0.632998	0	0	0	0.206991	0.160012	133	9035.11	4.27525e-05
Single-Family Attached	Non-Ducted Heat Pump	CO	1940-59	0	0	0	1	0	0	17	0	2.31118e-06
Single-Family Attached	Non-Ducted Heating	CO	1940-59	0.202269	0	0	0	0.625938	0.171794	44	1185.88	1.25092e-05
Single-Family Attached	None	CO	1940-59	0.0802227	0	0	0	0.683634	0.236143	53	0	5.57972e-07
Single-Family Attached	Ducted Heat Pump	CO	1960-79	0	1	0	0	0	0	60	0	1.06768e-05
Single-Family Attached	Ducted Heating	CO	1960-79	0.756396	0	0	0	0.113319	0.130285	16	15402.7	0.000183853
Single-Family Attached	Non-Ducted Heat Pump	CO	1960-79	0	0	0	1	0	0	10	0	2.3142e-06
Single-Family Attached	Non-Ducted Heating	CO	1960-79	0.179169	0	0	0	0.50661	0.314221	49	3621.53	6.2846e-05
Single-Family Attached	None	CO	1960-79	0.280618	0	0	0	0.469829	0.249553	93	0	1.15238e-07
Single-Family Attached	Ducted Heat Pump	CO	1980-99	0	1	0	0	0	0	91	0	1.29084e-05
Single-Family Attached	Ducted Heating	CO	1980-99	0.806505	0	0	0	0.193495	0	10	40854.6	0.000373364
Single-Family Attached	Non-Ducted Heat Pump	CO	1980-99	0	0	0	1	0	0	41	0	8.84701e-06
Single-Family Attached	Non-Ducted Heating	CO	1980-99	0.160704	0	0	0	0.620952	0.218344	43	4497.98	6.44741e-05
Single-Family Attached	None	CO	1980-99	0.315065	0	0	0	0.431939	0.252996	86	0	7.12703e-07
Single-Family Attached	Ducted Heat Pump	CO	2000-09	0	1	0	0	0	0	60	0	1.47108e-05
Single-Family Attached	Ducted Heating	CO	2000-09	0.882806	0	0	0	0.117194	0	19	33985.8	0.000246599
Single-Family Attached	Non-Ducted Heat Pump	CO	2000-09	0	0	0	1	0	0	41	0	0
Single-Family Attached	Non-Ducted Heating	CO	2000-09	0.507815	0	0	0	0.379303	0.112882	11	0	2.45051e-05
Single-Family Attached	None	CO	2000-09	0.810718	0	0	0	0.115502	0.0737796	57	0	1.47097e-07
Single-Family Attached	Ducted Heat Pump	CO	2010s	0	1	0	0	0	0	60	0	3.72033e-06
Single-Family Attached	Ducted Heating	CO	2010s	0.931338	0	0	0	0.0373542	0.0313079	17	30559.9	7.04158e-05
Single-Family Attached	Non-Ducted Heat Pump	CO	2010s	0	0	0	1	0	0	41	0	0
Single-Family Attached	Non-Ducted Heating	CO	2010s	0.40592	0	0	0	0.522541	0.0715391	13	0	8.67562e-06
Single-Family Attached	None	CO	2010s	0.810718	0	0	0	0.115502	0.0737796	57	0	2.24198e-07
Single-Family Attached	Ducted Heat Pump	CO	<1940	0	1	0	0	0	0	21	0	2.16727e-06
Single-Family Attached	Ducted Heating	CO	<1940	0.504479	0	0	0	0.310973	0.184548	83	4735.67	3.69212e-05
Single-Family Attached	Non-Ducted Heat Pump	CO	<1940	0	0	0	1	0	0	17	0	1.84472e-06
