Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
Single-Family Detached	CA, 03732	0.626625	0.0928276	0.105674	0.0478666	0.053525	0.0292858	0.0194219	0.0180456	0.00672886	732	13078	9.50434e-05
10 to 19 Unit	CA, 03733	0.3074	0.104906	0.0794253	0.186771	0.113445	0.105991	0.0704798	0.0265655	0.00501491	410	7378	5.28093e-05
2 Unit	CA, 03733	0.465426	0.0518617	0.0505319	0.162234	0.151596	0.0824468	0	0	0.0359043	42	752	5.38255e-06
20 to 49 Unit	CA, 03733	0.386135	0.0599653	0.0658001	0.143963	0.126112	0.0961294	0.0575968	0.0428076	0.0214905	882	17310	0.000123899
3 or 4 Unit	CA, 03733	0.581435	0.152329	0.0622237	0.0703842	0.0272016	0.0516831	0.0200612	0.0309419	0.00374022	165	2941	2.10507e-05
5 to 9 Unit	CA, 03733	0.295082	0.101786	0.0937118	0.162466	0.128945	0.0927331	0.0403719	0.0548079	0.0300954	227	4087	2.92533e-05
50 or more Unit	CA, 03733	0.329791	0.0303746	0.043561	0.117825	0.146231	0.091583	0.0808896	0.0646198	0.0951256	718	15243	0.000109104
Mobile Home	CA, 03733	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	4.36616e-07
Single-Family Attached	CA, 03733	0.516961	0.0447761	0.0407056	0.0407056	0.036635	0.165536	0	0.07327	0.0814111	42	737	5.27518e-06
Single-Family Detached	CA, 03733	0.668669	0.0510511	0.0845846	0.042042	0.0800801	0.0285285	0.013013	0.025025	0.00700701	114	1998	1.4301e-05
10 to 19 Unit	CA, 03734	0.315997	0.0890973	0.119791	0.112757	0.128211	0.118832	0.0594693	0.0399659	0.0158798	527	9383	6.78113e-05
2 Unit	CA, 03734	0.51002	0.0877142	0.0842289	0.0763869	0.0673831	0.0647691	0.0421144	0.0461807	0.0212024	220	3443	2.48826e-05
20 to 49 Unit	CA, 03734	0.389349	0.0517751	0.0924852	0.110118	0.114379	0.0716568	0.0802367	0.0643195	0.0256805	889	16900	0.000122137
3 or 4 Unit	CA, 03734	0.432483	0.104099	0.0815159	0.119412	0.122196	0.0767208	0.041454	0.0143852	0.00773395	378	6465	4.67227e-05
5 to 9 Unit	CA, 03734	0.3144	0.0732307	0.132359	0.157718	0.133006	0.0896623	0.0657265	0.0254884	0.00840988	443	7729	5.58577e-05
50 or more Unit	CA, 03734	0.254927	0.0488252	0.0471829	0.0674583	0.104914	0.107756	0.101693	0.184563	0.0826806	818	15832	0.000114418
Mobile Home	CA, 03734	0.478378	0	0.0405405	0.181081	0.0432432	0.0810811	0.0783784	0	0.0972973	15	370	2.674e-06
Single-Family Attached	CA, 03734	0.546922	0.089527	0.0711336	0.0623123	0.0589339	0.0531156	0.0570571	0.0251502	0.0358483	280	5328	3.85056e-05
Single-Family Detached	CA, 03734	0.583205	0.116311	0.0927062	0.0604863	0.0386522	0.0381211	0.0316889	0.0243125	0.0145167	974	16946	0.000122469
10 to 19 Unit	CA, 03735	0.178931	0.0411335	0.112431	0.170704	0.188985	0.188985	0.0760969	0.0271938	0.0155393	259	4376	3.22101e-05
2 Unit	CA, 03735	0.315587	0.138421	0.126294	0.103224	0.161491	0.0505768	0.0899142	0	0.0144928	197	3381	2.48863e-05
20 to 49 Unit	CA, 03735	0.148775	0.0537741	0.0822545	0.123282	0.172476	0.208325	0.117506	0.0595499	0.034057	272	5021	3.69577e-05
3 or 4 Unit	CA, 03735	0.199545	0.0905412	0.186646	0.132777	0.221295	0.0912999	0.0617097	0.00708144	0.0091047	220	3954	2.91039e-05
5 to 9 Unit	CA, 03735	0.124367	0.120752	0.169438	0.147023	0.190648	0.114726	0.0744758	0.0585683	0	221	4149	3.05392e-05
50 or more Unit	CA, 03735	0.056687	0.0285132	0.0407332	0.0933469	0.140869	0.363204	0.152749	0.0471826	0.0767142	176	2946	2.16844e-05
Mobile Home	CA, 03735	0.217241	0.151724	0.0482759	0.210345	0.0275862	0.0482759	0.0241379	0.110345	0.162069	18	290	2.13458e-06
Single-Family Attached	CA, 03735	0.446	0.0974	0.101	0.1212	0.065	0.0902	0.0456	0.0268	0.0068	327	5000	3.68031e-05
Single-Family Detached	CA, 03735	0.516128	0.129079	0.136034	0.0871624	0.0512529	0.0229204	0.0246523	0.022298	0.0104725	2533	36954	0.000272004
10 to 19 Unit	CA, 03736	0.0594414	0.0790165	0.101217	0.257341	0.177847	0.155646	0.105037	0.0489377	0.0155168	241	4189	3.10466e-05
2 Unit	CA, 03736	0.390167	0.0789749	0.115586	0.103033	0.140167	0.0962343	0.0570084	0.0188285	0	99	1912	1.41707e-05
20 to 49 Unit	CA, 03736	0.0881864	0.0366057	0.165058	0.210649	0.26822	0.129784	0.0455907	0.0396007	0.0163062	141	3005	2.22714e-05
3 or 4 Unit	CA, 03736	0.171049	0.109187	0.128364	0.170121	0.144757	0.182493	0.0680483	0.0182493	0.00773276	167	3233	2.39612e-05
5 to 9 Unit	CA, 03736	0.0742867	0.0653385	0.116833	0.231133	0.244471	0.178626	0.0682087	0.00996117	0.011143	312	5923	4.38982e-05
50 or more Unit	CA, 03736	0.0402385	0.00546448	0.030303	0.131148	0.153999	0.221063	0.151515	0.171386	0.0948833	103	2013	1.49193e-05
Mobile Home	CA, 03736	0.107143	0.232143	0.491071	0	0.107143	0	0.0625	0	0	10	112	8.30082e-07
Single-Family Attached	CA, 03736	0.266226	0.077639	0.0727406	0.0810678	0.112417	0.280431	0.0695567	0.0303698	0.0095518	241	4083	3.0261e-05
Single-Family Detached	CA, 03736	0.45735	0.168526	0.168625	0.0642215	0.042403	0.0363313	0.0402804	0.013723	0.00853984	1235	20258	0.000150141
10 to 19 Unit	CA, 03737	0.034058	0.0376812	0.134058	0.134783	0.232609	0.21087	0.0971014	0.023913	0.0949275	75	1380	1.03951e-05
2 Unit	CA, 03737	0.136829	0.0473146	0.11509	0.175192	0.189258	0.112532	0.0639386	0.0409207	0.118926	54	782	5.89053e-06
20 to 49 Unit	CA, 03737	0.0111576	0.0585774	0.0822873	0.168759	0.220363	0.129707	0.156904	0.13947	0.0327755	73	1434	1.08018e-05
3 or 4 Unit	CA, 03737	0.0713274	0.0854983	0.150213	0.172414	0.31932	0.0869154	0.0666037	0.0363722	0.0113368	125	2117	1.59466e-05
5 to 9 Unit	CA, 03737	0.050982	0.0221479	0.256582	0.0635186	0.243627	0.263686	0.087756	0.0117008	0	130	2393	1.80256e-05
50 or more Unit	CA, 03737	0.10679	0.0679048	0.0127684	0.109112	0.248404	0.130586	0.123041	0.114916	0.0864771	85	1723	1.29788e-05
Mobile Home	CA, 03737	0.0377358	0.169811	0.211321	0.139623	0.162264	0.158491	0.0566038	0.0641509	0	14	265	1.99615e-06
Single-Family Attached	CA, 03737	0.0826936	0.101996	0.189954	0.128537	0.16122	0.149375	0.102873	0.0699715	0.0133801	249	4559	3.43414e-05
Single-Family Detached	CA, 03737	0.121489	0.177892	0.303646	0.161294	0.0755754	0.0678142	0.0393822	0.0411496	0.011757	1690	26027	0.000196052
10 to 19 Unit	CA, 03738	0	0.0279759	0.1887	0.267142	0.191443	0.205156	0.10203	0	0.0175535	91	1823	1.41147e-05
2 Unit	CA, 03738	0	0.0288973	0.20076	0.171863	0.170342	0.139924	0.171863	0.0851711	0.0311787	61	1315	1.01814e-05
20 to 49 Unit	CA, 03738	0.0149733	0.0550802	0.0983957	0.268449	0.23369	0.109626	0.149198	0.040107	0.0304813	87	1870	1.44786e-05
3 or 4 Unit	CA, 03738	0.0256716	0.0137313	0.327761	0.268657	0.14209	0.0704478	0.133731	0.0179104	0	88	1675	1.29688e-05
5 to 9 Unit	CA, 03738	0.0253456	0.0172811	0.265553	0.153802	0.177419	0.162442	0.120392	0.0172811	0.0604839	80	1736	1.34411e-05
50 or more Unit	CA, 03738	0.0273698	0.0480641	0.11482	0.164887	0.0720961	0.143525	0.162884	0.179573	0.0867824	112	1498	1.15984e-05
Mobile Home	CA, 03738	0.044557	0.0622785	0.110886	0.178734	0.271392	0.131139	0.16	0.0410127	0	116	1975	1.52915e-05
Single-Family Attached	CA, 03738	0.0979041	0.137812	0.159633	0.103359	0.103933	0.182888	0.113982	0.0442148	0.0562733	202	3483	2.69673e-05
Single-Family Detached	CA, 03738	0.119531	0.166961	0.306994	0.137041	0.065774	0.0502256	0.0933392	0.0523838	0.00774966	1215	20388	0.000157855
10 to 19 Unit	CA, 03739	0	0.168263	0.291382	0.337209	0.117647	0.0601915	0.0198358	0.00547196	0	82	1462	1.10749e-05
2 Unit	CA, 03739	0.209738	0.156055	0.355805	0.111111	0.0749064	0.0411985	0.0162297	0	0.0349563	37	801	6.06771e-06
20 to 49 Unit	CA, 03739	0.0427913	0.078341	0.210665	0.225148	0.206057	0.143515	0.0164582	0.0302831	0.0467413	64	1519	1.15067e-05
3 or 4 Unit	CA, 03739	0.0708108	0.132432	0.18	0.158919	0.277297	0.147568	0.0264865	0.00648649	0	111	1850	1.40141e-05
5 to 9 Unit	CA, 03739	0.0319778	0.192909	0.301356	0.153632	0.164407	0.120264	0.0194647	0.00382343	0.0121655	155	2877	2.17938e-05
50 or more Unit	CA, 03739	0.0850974	0.0643522	0.117273	0.11431	0.235394	0.234547	0.102032	0.0469941	0	112	2362	1.78926e-05
Mobile Home	CA, 03739	0.0107527	0.0669975	0.0140612	0.125724	0.514475	0.0554177	0.125724	0.0744417	0.0124069	69	1209	9.15838e-06
Single-Family Attached	CA, 03739	0.0524535	0.0416244	0.156345	0.13401	0.329611	0.190186	0.048731	0.0253807	0.0216582	207	2955	2.23846e-05
Single-Family Detached	CA, 03739	0.0658773	0.129625	0.412843	0.177949	0.126379	0.0512321	0.0174236	0.0168264	0.00184363	2355	38511	0.000291727
10 to 19 Unit	CA, 03740	0.0438702	0.0450721	0.133413	0.316707	0.239784	0.117188	0.0649038	0.03125	0.0078125	78	1664	1.29601e-05
2 Unit	CA, 03740	0.0573477	0.124253	0.235364	0.160096	0.268817	0.14098	0	0.0131422	0	41	837	6.51902e-06
20 to 49 Unit	CA, 03740	0.010989	0.032967	0.125458	0.254121	0.337912	0.150183	0.0590659	0.029304	0	112	2184	1.70102e-05
3 or 4 Unit	CA, 03740	0.0250569	0.127942	0.192483	0.201595	0.215262	0.15224	0.0577069	0.0277145	0	123	2634	2.0515e-05
5 to 9 Unit	CA, 03740	0.0276556	0.00691389	0.162791	0.328096	0.278441	0.139535	0.0471402	0.00942803	0	72	1591	1.23916e-05
50 or more Unit	CA, 03740	0.0278817	0.0258416	0.0918055	0.17273	0.294798	0.192792	0.067324	0.123427	0.0034002	153	2941	2.29061e-05
Mobile Home	CA, 03740	0.0164384	0.0876712	0.0534247	0.182192	0.231507	0.250685	0.0835616	0.0821918	0.0123288	58	730	5.68564e-06
Single-Family Attached	CA, 03740	0.0861733	0.15482	0.184518	0.148978	0.130964	0.171373	0.0545278	0.030185	0.0384615	116	2054	1.59976e-05
Single-Family Detached	CA, 03740	0.0779528	0.168363	0.469026	0.131456	0.0722098	0.0353026	0.0284616	0.0118238	0.00540518	1403	23681	0.000184441
10 to 19 Unit	CA, 03741	0.0787234	0.0547872	0.148404	0.310638	0.164362	0.137766	0.0712766	0.0340426	0	107	1880	1.39787e-05
2 Unit	CA, 03741	0.206186	0.0735395	0.304467	0.146392	0.101031	0.0893471	0.0412371	0.0378007	0	81	1455	1.08186e-05
20 to 49 Unit	CA, 03741	0.077821	0.0492866	0.188716	0.215953	0.157588	0.105058	0.128405	0.0642023	0.0129702	87	1542	1.14655e-05
3 or 4 Unit	CA, 03741	0.109632	0.0809107	0.303678	0.197898	0.136252	0.0763573	0.0486865	0.0455342	0.00105079	164	2855	2.12283e-05
5 to 9 Unit	CA, 03741	0.161407	0.107363	0.232136	0.174102	0.143272	0.0790715	0.0660138	0.0214001	0.0152339	164	2757	2.04996e-05
50 or more Unit	CA, 03741	0.05	0.024359	0.0705128	0.0615385	0.125641	0.146154	0.360256	0.129487	0.0320513	58	780	5.79966e-06
Mobile Home	CA, 03741	0	0.0192166	0.213599	0.264597	0.201774	0.148559	0.124908	0	0.0273466	81	1353	1.00602e-05
Single-Family Attached	CA, 03741	0.15013	0.208659	0.236721	0.130086	0.0962117	0.0891962	0.069553	0.0110243	0.00841852	309	4989	3.70956e-05
Single-Family Detached	CA, 03741	0.181946	0.222938	0.252775	0.137759	0.0732658	0.0669302	0.037039	0.0241512	0.00319489	1087	18467	0.000137311
10 to 19 Unit	CA, 03742	0.193569	0.252207	0.110971	0.108449	0.0630517	0.140605	0.0977301	0	0.0334174	91	1586	1.1943e-05
2 Unit	CA, 03742	0.186963	0.205659	0.218292	0.0944922	0.0550783	0.0843861	0.0904497	0.0288024	0.0358767	116	1979	1.49024e-05
20 to 49 Unit	CA, 03742	0.137273	0.208182	0.193636	0.128182	0.0954545	0.0536364	0.132727	0.00636364	0.0445455	65	1100	8.28328e-06
3 or 4 Unit	CA, 03742	0.142086	0.227472	0.202835	0.117449	0.106986	0.083024	0.104624	0.00978738	0.00573743	163	2963	2.23121e-05
5 to 9 Unit	CA, 03742	0.131703	0.174685	0.216088	0.187303	0.0792587	0.0816246	0.0847792	0.0177445	0.0268139	164	2536	1.90967e-05
50 or more Unit	CA, 03742	0.0440075	0.0964419	0.172285	0.0458801	0.0552434	0.156367	0.381086	0.0486891	0	53	1068	8.04231e-06
Mobile Home	CA, 03742	0.224599	0.0534759	0	0.0427807	0.368984	0.144385	0.122995	0	0.0427807	11	187	1.40816e-06
Single-Family Attached	CA, 03742	0.33672	0.177483	0.136844	0.117769	0.0713249	0.0897781	0.0404313	0.0294423	0.00020734	283	4823	3.63185e-05
Single-Family Detached	CA, 03742	0.397659	0.205834	0.162654	0.0768391	0.0464552	0.0541573	0.0280187	0.026078	0.00230457	1051	16489	0.000124166
10 to 19 Unit	CA, 03743	0.246575	0.201566	0.11546	0.154599	0.164384	0.074364	0.0430528	0	0	26	511	3.83647e-06
2 Unit	CA, 03743	0.160554	0.485121	0.129066	0.0847751	0.0591696	0.0408304	0.0224913	0.0152249	0.00276817	142	2890	2.16975e-05
20 to 49 Unit	CA, 03743	0.151862	0	0.100287	0.358166	0	0.0830946	0.143266	0.0830946	0.0802292	17	349	2.62022e-06
3 or 4 Unit	CA, 03743	0.13555	0.490409	0.15665	0.0748082	0.0821611	0.0169437	0.0185422	0.0223785	0.00255754	157	3128	2.34843e-05
5 to 9 Unit	CA, 03743	0.149464	0.297587	0.200402	0.146783	0.0784182	0.0516086	0.0495979	0.0261394	0	81	1492	1.12016e-05
50 or more Unit	CA, 03743	0.186235	0.0951417	0.0708502	0.0991903	0.216599	0.11336	0.125506	0.0688259	0.0242915	31	494	3.70884e-06
Mobile Home	CA, 03743	0.338346	0.218045	0	0	0.353383	0	0	0.0902256	0	11	133	9.98535e-07
Single-Family Attached	CA, 03743	0.310611	0.258174	0.169031	0.101789	0.0521283	0.0370142	0.0558297	0.0117212	0.00370142	208	3242	2.43402e-05
Single-Family Detached	CA, 03743	0.254562	0.429374	0.175856	0.0598618	0.0359469	0.0184955	0.0155124	0.00929747	0.00109382	1141	20113	0.000151004
10 to 19 Unit	CA, 03744	0.295391	0.0921788	0.149791	0.111034	0.142458	0.110684	0.0621508	0.0136173	0.0226955	171	2864	1.91185e-05
2 Unit	CA, 03744	0.37977	0.132647	0.067232	0.0775288	0.0629921	0.125984	0.0539067	0.0569352	0.0430042	105	1651	1.10212e-05
20 to 49 Unit	CA, 03744	0.422699	0.0664284	0.0540661	0.0914507	0.0899613	0.0600238	0.0405124	0.119899	0.0549598	312	6714	4.4819e-05
3 or 4 Unit	CA, 03744	0.318194	0.125504	0.104811	0.146197	0.0999731	0.0698737	0.0585864	0.0615426	0.0153185	215	3721	2.48394e-05
5 to 9 Unit	CA, 03744	0.256256	0.118619	0.106857	0.0958458	0.0990991	0.137638	0.122873	0.0457958	0.017017	228	3996	2.66751e-05
50 or more Unit	CA, 03744	0.306737	0.0442373	0.030196	0.0393156	0.0522278	0.104629	0.0564836	0.169711	0.196462	1378	34541	0.000230577
Mobile Home	CA, 03744	0.101648	0.0906593	0.233516	0.181319	0.131868	0.112637	0.148352	0	0	12	364	2.42987e-06
Single-Family Attached	CA, 03744	0.551406	0.0661248	0.0874341	0.086775	0.0716169	0.0467926	0.0481107	0.0287786	0.0129613	276	4552	3.03867e-05
Single-Family Detached	CA, 03744	0.585756	0.106237	0.0906252	0.0573935	0.0465393	0.0460189	0.030258	0.0298119	0.00736005	825	13451	8.97916e-05
10 to 19 Unit	CA, 03745	0.291129	0.0564516	0.174194	0.198387	0.0298387	0.0959677	0.0879032	0.0129032	0.0532258	73	1240	9.00067e-06
2 Unit	CA, 03745	0.252636	0.134542	0.0619992	0.163644	0.0970055	0.124842	0.0514551	0.0291016	0.0847744	127	2371	1.72102e-05
20 to 49 Unit	CA, 03745	0.225834	0.0547476	0.100941	0.244654	0.100941	0.0624465	0.06929	0.0564585	0.0846878	67	1169	8.48531e-06
3 or 4 Unit	CA, 03745	0.311505	0.107227	0.139577	0.149752	0.0957475	0.0863553	0.0855727	0.00391338	0.0203496	221	3833	2.78222e-05
5 to 9 Unit	CA, 03745	0.296869	0.129608	0.128419	0.17717	0.104637	0.0574713	0.0598494	0.0281411	0.0178359	132	2523	1.83135e-05
50 or more Unit	CA, 03745	0.205258	0.150657	0.0434783	0.116279	0.0839232	0.0899899	0.0434783	0.177958	0.0889788	53	989	7.17875e-06
Mobile Home	CA, 03745	0.558685	0	0	0	0.056338	0.140845	0.244131	0	0	11	213	1.54608e-06
Single-Family Attached	CA, 03745	0.464626	0.122814	0.10632	0.0633943	0.0375596	0.0675676	0.0602146	0.0449126	0.0325914	305	5032	3.65254e-05
Single-Family Detached	CA, 03745	0.512995	0.135907	0.145498	0.0574722	0.0371287	0.0433942	0.0274598	0.0339573	0.00618812	773	12928	9.38393e-05
10 to 19 Unit	CA, 03746	0.269283	0.069873	0.165608	0.141107	0.147913	0.0889292	0.0796279	0.0376588	0	266	4408	3.23641e-05
2 Unit	CA, 03746	0.45921	0.0769625	0.138533	0.0538738	0.148794	0.0271934	0.0266803	0.0354028	0.0333504	118	1949	1.43098e-05
20 to 49 Unit	CA, 03746	0.224851	0.0948486	0.0895423	0.132213	0.15786	0.10524	0.129339	0.0497457	0.0163608	289	4523	3.32083e-05
3 or 4 Unit	CA, 03746	0.472929	0.0787531	0.149303	0.076292	0.110131	0.0541427	0.0184578	0.0287121	0.0112797	293	4876	3.58002e-05
5 to 9 Unit	CA, 03746	0.376794	0.0678828	0.0864234	0.140251	0.147428	0.0747608	0.0448565	0.0403708	0.0212321	199	3344	2.4552e-05
50 or more Unit	CA, 03746	0.105757	0.0718661	0.0751327	0.0861576	0.159657	0.101266	0.127807	0.167824	0.104532	156	2449	1.79808e-05
Mobile Home	CA, 03746	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	6.46105e-07
Single-Family Attached	CA, 03746	0.67933	0.125767	0.0615857	0.0257197	0.0200566	0.0620576	0.0143936	0.00967437	0.00141576	225	4238	3.11158e-05
Single-Family Detached	CA, 03746	0.640371	0.105452	0.101044	0.0237819	0.0288863	0.0343387	0.05058	0.0117169	0.00382831	540	8620	6.3289e-05
10 to 19 Unit	CA, 03747	0.125992	0.0984929	0.30156	0.239952	0.086991	0.0600212	0.0561872	0.0308038	0	310	7564	5.53436e-05
2 Unit	CA, 03747	0.409311	0.138215	0.103783	0.130456	0.0904462	0.0227934	0.057226	0.0295829	0.0181862	187	4124	3.01741e-05
20 to 49 Unit	CA, 03747	0.147789	0.0896426	0.216233	0.203513	0.157077	0.079144	0.0581466	0.043408	0.00504745	198	4953	3.62397e-05
3 or 4 Unit	CA, 03747	0.22565	0.196673	0.204495	0.122741	0.127038	0.0483693	0.0359189	0.0326135	0.00650066	382	9076	6.64067e-05
5 to 9 Unit	CA, 03747	0.170544	0.178225	0.16422	0.186582	0.157782	0.0831263	0.0271064	0.0315112	0.000903546	353	8854	6.47823e-05
50 or more Unit	CA, 03747	0.123404	0.191489	0.126241	0.134279	0.103546	0.18156	0.0293144	0.0969267	0.0132388	76	2115	1.54748e-05
Mobile Home	CA, 03747	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	7.09724e-07
Single-Family Attached	CA, 03747	0.470588	0.173866	0.174517	0.0507923	0.0347298	0.0306056	0.0201867	0.0353809	0.00933362	214	4607	3.37081e-05
Single-Family Detached	CA, 03747	0.50715	0.251823	0.130088	0.046812	0.013078	0.0136077	0.014341	0.0133632	0.00973722	1336	24545	0.000179589
10 to 19 Unit	CA, 03748	0.0405892	0.0445172	0.137316	0.296727	0.250245	0.112766	0.0631751	0.0443535	0.010311	232	6110	4.40537e-05
2 Unit	CA, 03748	0.133333	0.185809	0.206601	0.143564	0.211551	0.0382838	0.0306931	0.050165	0	124	3030	2.18466e-05
20 to 49 Unit	CA, 03748	0.0348144	0.0219453	0.0461934	0.211325	0.31631	0.143999	0.0526957	0.128556	0.0441615	299	7382	5.3225e-05
3 or 4 Unit	CA, 03748	0.0735507	0.0893116	0.255616	0.176812	0.217754	0.0679348	0.0724638	0.0242754	0.0222826	228	5520	3.97997e-05
5 to 9 Unit	CA, 03748	0.0423926	0.0522648	0.219948	0.192218	0.240418	0.148519	0.0586527	0.0264228	0.0191638	302	6888	4.96632e-05
50 or more Unit	CA, 03748	0.0100735	0.00367488	0.0403372	0.0916991	0.228188	0.131172	0.0919153	0.2377	0.16524	679	23130	0.000166769
Mobile Home	CA, 03748	0	0	0	0.485564	0.0341207	0	0.0551181	0.425197	0	12	381	2.74705e-06
Single-Family Attached	CA, 03748	0.0541316	0.166985	0.158187	0.12127	0.251148	0.092961	0.0623565	0.0638868	0.0290742	242	5228	3.76944e-05
Single-Family Detached	CA, 03748	0.165343	0.277746	0.318364	0.0702745	0.0498294	0.0451182	0.0267569	0.0265455	0.0200223	1618	33113	0.000238748
10 to 19 Unit	CA, 03749	0.0614908	0.120549	0.143774	0.215881	0.169874	0.191108	0.074541	0.0134926	0.00928998	170	4521	3.40918e-05
2 Unit	CA, 03749	0.0528169	0.107981	0.210094	0.197183	0.117371	0.0997653	0.0393192	0.0921362	0.0833333	75	1704	1.28494e-05
20 to 49 Unit	CA, 03749	0.0526167	0.0478076	0.101556	0.282885	0.213013	0.16662	0.0984441	0.0314003	0.00565771	142	3535	2.66565e-05
3 or 4 Unit	CA, 03749	0.0696081	0.111811	0.306659	0.181146	0.163332	0.0778295	0.0468622	0.0238421	0.0189093	172	3649	2.75162e-05
5 to 9 Unit	CA, 03749	0.0921441	0.12404	0.193296	0.241583	0.145304	0.134229	0.0416421	0.0277614	0	285	6772	5.10658e-05
50 or more Unit	CA, 03749	0.0455882	0.0514706	0.0906863	0.186275	0.185294	0.140686	0.079902	0.105882	0.114216	88	2040	1.53831e-05
Mobile Home	CA, 03749	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	8.0686e-07
Single-Family Attached	CA, 03749	0.137466	0.169362	0.147799	0.185984	0.0534591	0.185085	0.0840072	0.0368374	0	141	2226	1.67857e-05
Single-Family Detached	CA, 03749	0.36271	0.240325	0.205456	0.0763708	0.024477	0.0255025	0.0309039	0.032408	0.00184603	885	14626	0.000110291
10 to 19 Unit	CA, 03750	0.200709	0.06054	0.21489	0.146987	0.14835	0.0823561	0.0891737	0.0324516	0.0245432	164	3667	2.66418e-05
2 Unit	CA, 03750	0.201799	0.0652314	0.259961	0.178342	0.118252	0.0498072	0.031491	0.0719794	0.0231362	134	3112	2.26096e-05
20 to 49 Unit	CA, 03750	0.141367	0.0787689	0.160668	0.200313	0.057903	0.130412	0.13928	0.0532081	0.0380803	95	1917	1.39276e-05
3 or 4 Unit	CA, 03750	0.237563	0.133357	0.173852	0.132484	0.0956537	0.103508	0.0855298	0.038052	0	250	5729	4.16229e-05
5 to 9 Unit	CA, 03750	0.147598	0.108046	0.164577	0.20355	0.140459	0.0935751	0.0899093	0.0245032	0.0277831	210	5183	3.7656e-05
50 or more Unit	CA, 03750	0.055379	0.0226963	0.184748	0.137994	0.154335	0.129369	0.111666	0.126645	0.0771675	90	2203	1.60054e-05
Mobile Home	CA, 03750	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	1.66375e-06
Single-Family Attached	CA, 03750	0.456009	0.164544	0.144635	0.0548968	0.0307422	0.0412824	0.0535793	0.0238618	0.0304494	312	6831	4.96291e-05
Single-Family Detached	CA, 03750	0.520994	0.204234	0.130371	0.0652204	0.0279216	0.0209587	0.0141358	0.0114766	0.00468859	1453	28580	0.000207642
10 to 19 Unit	CA, 03751	0.124816	0.0770925	0.134361	0.134361	0.325991	0.103524	0.0176211	0.082232	0	69	1362	9.86429e-06
2 Unit	CA, 03751	0.0765848	0.102602	0.240381	0.224258	0.0630267	0.0439722	0.0315134	0.161231	0.0564309	131	2729	1.97648e-05
20 to 49 Unit	CA, 03751	0.0494624	0.0258065	0.110753	0.155914	0.13871	0.0602151	0.0946237	0.25914	0.105376	43	930	6.73553e-06
3 or 4 Unit	CA, 03751	0.0971342	0.113873	0.156733	0.209739	0.116916	0.130104	0.0682222	0.0631499	0.0441288	199	3943	2.85572e-05
5 to 9 Unit	CA, 03751	0.127786	0.127786	0.145055	0.212873	0.15102	0.0521193	0.110518	0.0728414	0	156	3185	2.30674e-05
50 or more Unit	CA, 03751	0.0738383	0.124125	0.192234	0.193507	0.0961171	0.0897518	0.0585614	0.0961171	0.0757479	68	1571	1.1378e-05
Mobile Home	CA, 03751	0.229358	0.293578	0	0.0963303	0.133028	0	0.247706	0	0	14	218	1.57887e-06
Single-Family Attached	CA, 03751	0.322592	0.158896	0.186322	0.0731916	0.0706205	0.0368529	0.0788481	0.0325677	0.0401097	323	5834	4.22527e-05
Single-Family Detached	CA, 03751	0.30714	0.229347	0.162767	0.0861789	0.0609739	0.0471668	0.0444331	0.051522	0.0104712	1209	21583	0.000156315
10 to 19 Unit	CA, 03752	0.0428336	0.126853	0.243822	0.165294	0.216365	0.129599	0.0455794	0.029654	0	92	1821	1.3529e-05
2 Unit	CA, 03752	0.1639	0.152405	0.246062	0.129842	0.147722	0.112388	0.0259685	0.0217114	0	114	2349	1.74518e-05
20 to 49 Unit	CA, 03752	0.0703314	0.0881164	0.256265	0.185125	0.177041	0.0460792	0.101051	0.0428456	0.0331447	65	1237	9.19024e-06
3 or 4 Unit	CA, 03752	0.0841634	0.141289	0.226062	0.188656	0.170157	0.0935149	0.0550925	0.0286644	0.0124009	254	4919	3.65454e-05
5 to 9 Unit	CA, 03752	0.0626376	0.120871	0.216296	0.167605	0.240519	0.107169	0.0403719	0.0445314	0	202	4087	3.03642e-05
50 or more Unit	CA, 03752	0.0448792	0.0667434	0.0586881	0.219793	0.0655926	0.0529344	0.125432	0.156502	0.209436	47	869	6.4562e-06
Mobile Home	CA, 03752	0	0	0.092437	0.0756303	0.257143	0.0420168	0.363025	0.169748	0	26	595	4.42051e-06
Single-Family Attached	CA, 03752	0.182983	0.214849	0.226018	0.125164	0.129435	0.0551905	0.0259527	0.0404074	0	172	3044	2.26153e-05
Single-Family Detached	CA, 03752	0.208147	0.366735	0.22797	0.0781637	0.0361257	0.0213885	0.0385602	0.0195627	0.00334739	1328	23003	0.0001709
10 to 19 Unit	CA, 03753	0.0320532	0.0350771	0.200786	0.270033	0.226792	0.164197	0.0710614	0	0	130	3307	2.46504e-05
