Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=Tenure	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	Option=Void	source_count	source_weight	sampling_probability
3A	Single-Family Attached	Ducted Heat Pump	Owner	0	0	0	0	0.0344531	0.121959	0.21088	0.38796	0.0751904	0.169557	0	0	18	91716.5	0.000460111
3A	Single-Family Attached	Ducted Heat Pump	Renter	0	0	0.0725664	0	0.243764	0.293845	0.259677	0.0875747	0.0425721	0	0	0	16	75758.3	0.000423388
3A	Single-Family Attached	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
3A	Single-Family Attached	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
3A	Single-Family Attached	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
3A	Single-Family Attached	Non-Ducted Heat Pump	Not Available	0.0271394	0.00615425	0.0925988	0.0354916	0.1208	0.273425	0.145012	0.180619	0.021284	0.0599758	0.0375009	0	131	0	3.22104e-06
3A	Single-Family Attached	Non-Ducted Heat Pump	Owner	0.0279717	0.00634301	0.0882339	0.0298904	0.124505	0.281811	0.149459	0.180608	0.0219368	0.0618152	0.027426	0	127	0	1.2122e-05
3A	Single-Family Attached	Non-Ducted Heat Pump	Renter	0.11926	0.0353332	0.10324	0.0357061	0.159854	0.205252	0.127416	0.110135	0.0359302	0.00462788	0.063246	0	280	0	1.28684e-05
3A	Single-Family Attached	None	Not Available	0.0235924	0.00106684	0.0195029	0.0168726	0.123772	0.234069	0.208477	0.194076	0.0671661	0.107116	0.004289	0	0	0	1.39689e-05
3A	Single-Family Attached	None	Owner	0.0193582	0.000230119	0.0130981	0.00015583	0.0993295	0.140805	0.230072	0.25636	0.0742886	0.165174	0.00112926	0	0	0	6.13974e-05
3A	Single-Family Attached	None	Renter	0.0285183	0.00285744	0.031317	0.0352961	0.151874	0.333044	0.180712	0.127114	0.0625927	0.0386774	0.007996	0	0	0	5.35552e-05
3A	Single-Family Attached	Room AC	Not Available	0.0551111	0.0184953	0.087193	0.0118922	0.117361	0.22937	0.145642	0.144079	0.0543634	0.0621362	0.0743564	0	199	38553.1	2.9505e-05
3A	Single-Family Attached	Room AC	Owner	0.0536066	0.0148979	0.0672984	0.0100885	0.110025	0.2347	0.163989	0.144005	0.0419015	0.0863804	0.0731083	0	138	5349.5	0.000114065
3A	Single-Family Attached	Room AC	Renter	0.058967	0.027715	0.138181	0.0165152	0.136164	0.21571	0.0986203	0.144269	0.0863025	0	0.0775552	0	61	33203.6	0.000125195
3A	Single-Family Detached	Central AC	Not Available	0.00751519	0.0041995	0.01415	0.0143052	0.119687	0.216395	0.257431	0.169036	0.0969562	0.0768899	0.0234346	0	979	6.83032e+06	0.00583364
3A	Single-Family Detached	Central AC	Owner	0.00294941	0.00470771	0.0132082	0.0152493	0.118895	0.202659	0.262843	0.177497	0.100408	0.0798899	0.0216929	0	877	6.09298e+06	0.0385482
3A	Single-Family Detached	Central AC	Renter	0.0452445	0	0.0219327	0.00650394	0.126229	0.329897	0.212709	0.0991254	0.0684316	0.0520997	0.0378269	0	102	737339	0.00918116
3A	Single-Family Detached	Ducted Heat Pump	Not Available	0.00568324	0	0.021655	0.0121644	0.106747	0.174178	0.303884	0.182037	0.0964465	0.080949	0.0162558	0	354	2.49266e+06	0.00317843
3A	Single-Family Detached	Ducted Heat Pump	Owner	0.0032623	0	0.0152147	0.0132047	0.100765	0.175796	0.3066	0.183575	0.0984466	0.0878715	0.0152639	0	327	2.29629e+06	0.0173476
3A	Single-Family Detached	Ducted Heat Pump	Renter	0.0339929	0	0.0969658	0	0.176696	0.155257	0.272128	0.164046	0.0730588	0	0.0278551	0	27	196370	0.00406909
3A	Single-Family Detached	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
3A	Single-Family Detached	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
3A	Single-Family Detached	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
3A	Single-Family Detached	Non-Ducted Heat Pump	Not Available	0.0271394	0.00615425	0.0925988	0.0354916	0.1208	0.273425	0.145012	0.180619	0.021284	0.0599758	0.0375009	0	131	13058.6	8.2602e-05
3A	Single-Family Detached	Non-Ducted Heat Pump	Owner	0.0279717	0.00634301	0.0882339	0.0298904	0.124505	0.281811	0.149459	0.180608	0.0219368	0.0618152	0.027426	0	127	13058.6	0.000476608
3A	Single-Family Detached	Non-Ducted Heat Pump	Renter	0.11926	0.0353332	0.10324	0.0357061	0.159854	0.205252	0.127416	0.110135	0.0359302	0.00462788	0.063246	0	280	0	0.000114273
3A	Single-Family Detached	None	Not Available	0.0127166	0.00436018	0.0218946	0.0136548	0.113679	0.204508	0.256679	0.173995	0.0934016	0.0781495	0.0269619	0	0	0	0.00028509
3A	Single-Family Detached	None	Owner	0.00725727	0.00493532	0.0155827	0.0141566	0.111255	0.194437	0.265368	0.181532	0.0969614	0.0842142	0.0242998	0	0	0	0.00164864
3A	Single-Family Detached	None	Renter	0.0541329	0	0.0697208	0.0097871	0.132106	0.280987	0.190824	0.116821	0.0664083	0.0321704	0.0470427	0	0	0	0.000409438
3A	Single-Family Detached	Room AC	Not Available	0.0704939	0.017411	0.0793454	0.0125478	0.0876183	0.197415	0.124076	0.189001	0.0596034	0.0801847	0.0823034	0	123	915073	0.00100146
3A	Single-Family Detached	Room AC	Owner	0.0609499	0.0243366	0.0375233	0.00701244	0.0766781	0.181546	0.146562	0.211947	0.0611702	0.11208	0.0801939	0	86	654667	0.00523827
3A	Single-Family Detached	Room AC	Renter	0.0944878	0	0.184487	0.0264637	0.115122	0.237309	0.0675446	0.131314	0.0556644	0	0.0876066	0	37	260406	0.00134683
3B	Mobile Home	Central AC	Not Available	0	0	0	0.0266829	0.0710959	0.0223667	0.139085	0.140877	0.0477809	0.215663	0.336448	0	27	275592	0.000372089
3B	Mobile Home	Central AC	Owner	0	0	0	0.0299836	0.0798905	0.0251335	0.15629	0.158304	0.0536915	0.11864	0.378067	0	24	245254	0.00131802
3B	Mobile Home	Central AC	Renter	0.0110057	0	0.0149925	0.0210534	0.103366	0.106635	0.0946637	0.235822	0.118673	0.177773	0.116016	0	95	30338.2	0.000540924
3B	Mobile Home	Ducted Heat Pump	Not Available	0	0	0	0.0567726	0.0312942	0.0972297	0.195829	0.260634	0.0773229	0.16078	0.120137	0	36	15144.1	8.86734e-05
3B	Mobile Home	Ducted Heat Pump	Owner	0	0	0	0.0258364	0.0404153	0.0754206	0.146366	0.295169	0.0998597	0.175862	0.141071	0	28	0	0.00024668
3B	Mobile Home	Ducted Heat Pump	Renter	0	0	0	0.0662188	0	0.153317	0.148578	0.0577778	0.186794	0.258975	0.128339	0	24	15144.1	0.000103655
3B	Mobile Home	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	25	15854.4	0
3B	Mobile Home	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	18	15854.4	0
3B	Mobile Home	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0
3B	Mobile Home	Non-Ducted Heat Pump	Not Available	0.0408538	0	0.0415994	0.00797699	0.0177614	0.151788	0.128644	0.136492	0.0743352	0.184459	0.216089	0	106	0	7.08784e-06
3B	Mobile Home	Non-Ducted Heat Pump	Owner	0.0234704	0	0.0569773	0	0.0131739	0.171112	0.142101	0.124928	0.0811745	0.207303	0.17976	0	67	0	2.23358e-05
3B	Mobile Home	Non-Ducted Heat Pump	Renter	0.0706524	0	0.0152385	0.0216512	0.0256252	0.118664	0.105575	0.156317	0.0626111	0.145301	0.278365	0	39	0	9.78107e-06
3B	Mobile Home	None	Not Available	0.0368601	0	0.0464854	0.0183945	0.0656319	0.114948	0.0924866	0.153696	0.0321133	0.156265	0.283119	0	0	0	0.000115478
3B	Mobile Home	None	Owner	0.0434026	0	0.0547363	0.0193921	0.0760315	0.117313	0.101082	0.170567	0.0347253	0.0975758	0.285175	0	0	0	0.000468356
3B	Mobile Home	None	Renter	0.018633	0	0.00675774	0.0326398	0.0563569	0.127782	0.102374	0.169555	0.11938	0.179271	0.18725	0	0	0	0.00019808
3B	Mobile Home	Room AC	Not Available	0.105654	0	0.133244	0	0.0593036	0.280461	0	0.165977	0	0.0507421	0.204618	0	14	155777	0.000144128
3B	Mobile Home	Room AC	Owner	0.122869	0	0.154953	0	0.0689659	0.286085	0	0.193019	0	0.0590095	0.115099	0	12	133952	0.000541467
3B	Mobile Home	Room AC	Renter	0.0421647	0	0	0.0254456	0.0301162	0.13946	0.0810321	0.154999	0.0735839	0.126049	0.32715	0	32	21824.8	0.000224084
3B	Multi-Family with 2 - 4 Units	Central AC	Not Available	0	0	0.0271393	0	0.106293	0.121594	0.303758	0.223001	0	0.182733	0.0354817	0	24	330746	0.000224917
3B	Multi-Family with 2 - 4 Units	Central AC	Owner	0	0	0	0	0.0995314	0.144129	0.235947	0.0842118	0.11028	0.0869707	0.238931	0	10	11735.4	0.00020198
3B	Multi-Family with 2 - 4 Units	Central AC	Renter	0	0	0.0281377	0	0.110203	0.126067	0.314932	0.231204	0	0.189455	0	0	23	319011	0.0017032
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Not Available	0.0906902	0.0932435	0	0	0.0283806	0.10595	0.217466	0.146576	0.174228	0.143466	0	0	18	15743.4	4.28477e-05
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Owner	0	0	0	0	0.0895919	0.129735	0.262022	0.126028	0.0992668	0.0782855	0.21507	0	12	0	3.1803e-05
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Renter	0.0906902	0.0932435	0	0	0.0283806	0.10595	0.217466	0.146576	0.174228	0.143466	0	0	18	15743.4	0.000277023
3B	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	34	11001.4	0
3B	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0
3B	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	14	11001.4	0
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Not Available	0.0413975	0	0.0505996	0.0226323	0.163232	0.14011	0.0798365	0.216417	0.0385511	0.0617076	0.185516	0	91	13188.5	6.55646e-06
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Owner	0.0226061	0	0.054879	0	0.0126887	0.16481	0.136868	0.120327	0.0781851	0.216246	0.19339	0	69	0	6.87308e-06
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Renter	0.0422366	0	0.0516252	0.0230911	0.166541	0.14295	0.0814547	0.220804	0.0393325	0.0538346	0.178131	0	89	13188.5	5.49656e-05
3B	Multi-Family with 2 - 4 Units	None	Not Available	0.036115	0.00228187	0.0598552	0.000463982	0.130561	0.150594	0.163128	0.189364	0.00505407	0.121213	0.141368	0	0	0	0.000235542
3B	Multi-Family with 2 - 4 Units	None	Owner	0.012587	0	0.0305565	0	0.0511776	0.155644	0.18078	0.104321	0.0924095	0.158951	0.213574	0	0	0	0.000254922
3B	Multi-Family with 2 - 4 Units	None	Renter	0.0376832	0.00237983	0.0624465	0.000493707	0.136237	0.15712	0.170166	0.197587	0.00528773	0.126248	0.104352	0	0	0	0.00214502
3B	Multi-Family with 2 - 4 Units	Room AC	Not Available	0.0749531	0	0.101757	0	0.163013	0.187376	0	0.151259	0	0.0510087	0.270633	0	19	283639	0.000151531
3B	Multi-Family with 2 - 4 Units	Room AC	Owner	0.0226061	0	0.054879	0	0.0126887	0.16481	0.136868	0.120327	0.0781851	0.216246	0.19339	0	69	14743.3	0.0001626
3B	Multi-Family with 2 - 4 Units	Room AC	Renter	0.0790627	0	0.107336	0	0.17195	0.19765	0	0.159552	0	0.0538054	0.230643	0	18	268896	0.00139795
3B	Multi-Family with 5+ Units	Central AC	Not Available	0.031062	0	0.0243672	0	0.142102	0.131112	0.104806	0.21706	0.137901	0.114941	0.0966479	0	74	986636	0.000828928
3B	Multi-Family with 5+ Units	Central AC	Owner	0	0	0	0	0.0995314	0.144129	0.235947	0.0842118	0.11028	0.0869707	0.238931	0	10	126538	0.000529952
3B	Multi-Family with 5+ Units	Central AC	Renter	0.0356319	0	0.027952	0	0.147007	0.127231	0.0822936	0.235456	0.14046	0.117869	0.0860995	0	65	860099	0.00592838
3B	Multi-Family with 5+ Units	Ducted Heat Pump	Not Available	0.099037	0.101825	0	0	0	0.115702	0.176436	0.160066	0.190263	0.15667	0	0	16	171055	0.000242408
3B	Multi-Family with 5+ Units	Ducted Heat Pump	Owner	0	0	0	0	0.0895919	0.129735	0.262022	0.126028	0.0992668	0.0782855	0.21507	0	12	0	0.000121103
3B	Multi-Family with 5+ Units	Ducted Heat Pump	Renter	0.099037	0.101825	0	0	0	0.115702	0.176436	0.160066	0.190263	0.15667	0	0	16	171055	0.00143714
3B	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	34	37951.3	0
3B	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0
3B	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	14	37951.3	0
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Not Available	0.0413975	0	0.0505996	0.0226323	0.163232	0.14011	0.0798365	0.216417	0.0385511	0.0617076	0.185516	0	91	56098.3	3.67443e-05
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Owner	0.0226061	0	0.054879	0	0.0126887	0.16481	0.136868	0.120327	0.0781851	0.216246	0.19339	0	69	0	2.89324e-05
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Renter	0.0422366	0	0.0516252	0.0230911	0.166541	0.14295	0.0814547	0.220804	0.0393325	0.0538346	0.178131	0	89	56098.3	0.000308628
3B	Multi-Family with 5+ Units	None	Not Available	0.0392091	0.00808008	0.0263358	0.0147587	0.141534	0.124262	0.10991	0.223929	0.100152	0.095519	0.11631	0	0	0	0.00052866
3B	Multi-Family with 5+ Units	None	Owner	0.00196838	0	0.00477848	0	0.0919698	0.145929	0.22732	0.0873565	0.107485	0.0982271	0.234966	0	0	0	0.000439602
3B	Multi-Family with 5+ Units	None	Renter	0.0419268	0.00863533	0.0281741	0.0157856	0.144529	0.123	0.101333	0.233666	0.0994961	0.0899183	0.113536	0	0	0	0.00466889
3B	Multi-Family with 5+ Units	Room AC	Not Available	0.0367476	0	0.0317359	0.0324307	0.165352	0.117698	0.104966	0.24317	0.0479109	0.066081	0.153908	0	61	941846	0.000543343
3B	Multi-Family with 5+ Units	Room AC	Owner	0.0226061	0	0.054879	0	0.0126887	0.16481	0.136868	0.120327	0.0781851	0.216246	0.19339	0	69	12068.9	0.000468779
3B	Multi-Family with 5+ Units	Room AC	Renter	0.0372246	0	0.0321478	0.0328516	0.167499	0.119226	0.106329	0.246326	0.0485328	0.0539584	0.155906	0	60	929777	0.0049344
3B	Single-Family Attached	Central AC	Not Available	0.0185352	0	0.020153	0.0304942	0.0559199	0.108191	0.179927	0.221561	0.0998378	0.13292	0.132462	0	69	435050	0.000205186
3B	Single-Family Attached	Central AC	Owner	0.0273256	0	0	0.0449564	0.0824405	0.114808	0.177765	0.186999	0.119212	0.148339	0.0981551	0	47	295097	0.00130259
3B	Single-Family Attached	Central AC	Renter	0	0	0.0626465	0	0	0.0942361	0.184485	0.294438	0.058987	0.100409	0.204799	0	22	139953	0.00116411
3B	Single-Family Attached	Ducted Heat Pump	Not Available	0	0	0	0.118669	0.185632	0.230335	0.155	0.0525557	0	0.193131	0.0646784	0	10	45293.7	3.7218e-05
3B	Single-Family Attached	Ducted Heat Pump	Owner	0	0	0	0.0258364	0.0404153	0.0754206	0.146366	0.295169	0.0998597	0.175862	0.141071	0	28	24910.9	0.000218618
3B	Single-Family Attached	Ducted Heat Pump	Renter	0	0	0	0.0662188	0	0.153317	0.148578	0.0577778	0.186794	0.258975	0.128339	0	24	20382.7	0.000203825
3B	Single-Family Attached	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	25	13586.7	0
3B	Single-Family Attached	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	18	4947.09	0
3B	Single-Family Attached	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	14	8639.61	0
3B	Single-Family Attached	Non-Ducted Heat Pump	Not Available	0.0408538	0	0.0415994	0.00797699	0.0177614	0.151788	0.128644	0.136492	0.0743352	0.184459	0.216089	0	106	6920.42	6.52409e-06
3B	Single-Family Attached	Non-Ducted Heat Pump	Owner	0.0234704	0	0.0569773	0	0.0131739	0.171112	0.142101	0.124928	0.0811745	0.207303	0.17976	0	67	6920.42	3.71695e-05
3B	Single-Family Attached	Non-Ducted Heat Pump	Renter	0.0706524	0	0.0152385	0.0216512	0.0256252	0.118664	0.105575	0.156317	0.0626111	0.145301	0.278365	0	39	0	4.61602e-05
3B	Single-Family Attached	None	Not Available	0.0134819	0	0.0258409	0.0302004	0.0700089	0.116069	0.169016	0.182237	0.112362	0.121872	0.158913	0	0	0	0.000115929
3B	Single-Family Attached	None	Owner	0.0257981	0	0.00588191	0.0388193	0.0725515	0.120208	0.16958	0.185932	0.111714	0.156148	0.113367	0	0	0	0.000742252
3B	Single-Family Attached	None	Renter	0	0	0.0336235	0.00517616	0.0402013	0.0853876	0.181377	0.212805	0.144486	0.103273	0.193671	0	0	0	0.000731343
3B	Single-Family Attached	Room AC	Not Available	0	0	0.0526644	0	0.0795217	0.100933	0.139944	0.0994155	0.194298	0.0576382	0.275585	0	16	131823	5.83773e-05
3B	Single-Family Attached	Room AC	Owner	0.0324213	0	0.0545632	0	0.018198	0.19526	0.117141	0.102688	0.0573939	0.202625	0.219709	0	46	31401.4	0.00036564
3B	Single-Family Attached	Room AC	Renter	0	0	0	0	0.104388	0.059268	0.183704	0.130502	0.255054	0.0756615	0.191422	0	12	100421	0.000369379
3B	Single-Family Detached	Central AC	Not Available	0.00523587	0.00380898	0.0153576	0.0144401	0.067014	0.110503	0.142734	0.199946	0.112385	0.241801	0.0867753	0	536	4.92186e+06	0.00261279
3B	Single-Family Detached	Central AC	Owner	0.00388978	0.00440678	0.0168757	0.0125594	0.0571711	0.109942	0.152558	0.194562	0.108588	0.255168	0.0842794	0	466	4.25418e+06	0.0247874
3B	Single-Family Detached	Central AC	Renter	0.0138127	0	0.00568489	0.0264231	0.12973	0.114079	0.0801375	0.234251	0.136576	0.156629	0.102678	0	70	667678	0.00733593
3B	Single-Family Detached	Ducted Heat Pump	Not Available	0	0	0	0.0474382	0	0.075349	0.146227	0.324848	0.0997648	0.165436	0.140937	0	25	208237	0.000328359
3B	Single-Family Detached	Ducted Heat Pump	Owner	0	0	0	0	0	0.0856801	0.166276	0.322322	0.113444	0.152017	0.160261	0	22	183128	0.00247859
3B	Single-Family Detached	Ducted Heat Pump	Renter	0	0	0	0.0662188	0	0.153317	0.148578	0.0577778	0.186794	0.258975	0.128339	0	24	25108.8	0.000758732
3B	Single-Family Detached	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	19	191405	0
3B	Single-Family Detached	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	14	133962	0
3B	Single-Family Detached	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	14	57443.3	0
3B	Single-Family Detached	Non-Ducted Heat Pump	Not Available	0.0408538	0	0.0415994	0.00797699	0.0177614	0.151788	0.128644	0.136492	0.0743352	0.184459	0.216089	0	106	57835.1	5.01849e-05
3B	Single-Family Detached	Non-Ducted Heat Pump	Owner	0.0234704	0	0.0569773	0	0.0131739	0.171112	0.142101	0.124928	0.0811745	0.207303	0.17976	0	67	42852.2	0.00047755
3B	Single-Family Detached	Non-Ducted Heat Pump	Renter	0.0706524	0	0.0152385	0.0216512	0.0256252	0.118664	0.105575	0.156317	0.0626111	0.145301	0.278365	0	39	14982.9	0.000156733
3B	Single-Family Detached	None	Not Available	0.00743732	0.00325696	0.0135499	0.0156824	0.0574805	0.114492	0.140657	0.195753	0.105515	0.237396	0.10878	0	0	0	0.000719568
3B	Single-Family Detached	None	Owner	0.00363997	0.0038875	0.0153934	0.0110794	0.0505512	0.112843	0.154489	0.190433	0.106863	0.252405	0.0984152	0	0	0	0.00755722
3B	Single-Family Detached	None	Renter	0.0267326	0	0.00431019	0.0305122	0.0931892	0.127484	0.0734534	0.215342	0.103703	0.160169	0.165105	0	0	0	0.00241581
3B	Single-Family Detached	Room AC	Not Available	0.0258335	0	0	0.01559	0	0.159598	0.121846	0.118144	0.0512842	0.230996	0.276709	0	48	568123	0.000413341
3B	Single-Family Detached	Room AC	Owner	0	0	0	0	0	0.156146	0.173729	0.0767586	0.0851196	0.277417	0.23083	0	30	342292	0.00368753
3B	Single-Family Detached	Room AC	Renter	0.0649892	0	0	0.0392197	0	0.164829	0.0432079	0.180871	0	0.160636	0.346247	0	18	225832	0.00118381
3C	Mobile Home	Central AC	Not Available	0.0301476	0.00770686	0.0334644	0	0.0551227	0.0845582	0.0952471	0.29206	0.0983522	0.181982	0.121359	0	80	8690.89	3.13829e-05
3C	Mobile Home	Central AC	Owner	0.0350264	0.00895406	0.03888	0	0.0409579	0.0982422	0.0776316	0.308939	0.096752	0.153619	0.140999	0	68	8690.89	0.000240544
3C	Mobile Home	Central AC	Renter	0	0	0	0	0.142652	0	0.204099	0.187762	0.10824	0.357247	0	0	12	0	6.28133e-05
3C	Mobile Home	Ducted Heat Pump	Not Available	0.0293507	0.00750314	0.0325798	0	0.0536656	0.082323	0.0927293	0.296586	0.0957523	0.191359	0.118151	0	82	0	3.30673e-06
3C	Mobile Home	Ducted Heat Pump	Owner	0.0339553	0.00868024	0.037691	0	0.0397053	0.0952378	0.0752575	0.313658	0.0937932	0.165335	0.136687	0	70	0	2.34265e-05
3C	Mobile Home	Ducted Heat Pump	Renter	0	0	0	0	0.142652	0	0.204099	0.187762	0.10824	0.357247	0	0	12	0	7.1692e-06
3C	Mobile Home	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
3C	Mobile Home	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
3C	Mobile Home	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
3C	Mobile Home	Non-Ducted Heat Pump	Not Available	0.0590394	0	0.121571	0	0.0978272	0.25637	0.188546	0.100655	0.0318926	0.0675076	0.0765918	0	25	9950.11	5.1532e-07
3C	Mobile Home	Non-Ducted Heat Pump	Owner	0.0813647	0	0.104383	0	0.0596613	0.219044	0.259843	0.138717	0.0439525	0.0930351	0	0	18	0	3.54915e-06
3C	Mobile Home	Non-Ducted Heat Pump	Renter	0	0	0.0758651	0	0.176925	0.234593	0	0.0737558	0	0.108218	0.330643	0	13	9950.11	1.10116e-06
3C	Mobile Home	None	Not Available	0.0455693	0.00359313	0.0804935	0	0.0779173	0.176267	0.145048	0.189893	0.0628777	0.120878	0.0974634	0	0	0	1.51041e-05
3C	Mobile Home	None	Owner	0.0350264	0.00895406	0.03888	0	0.0409579	0.0982422	0.0776316	0.308939	0.096752	0.153619	0.140999	0	0	0	0.000107081
3C	Mobile Home	None	Renter	0	0	0.0758651	0	0.176925	0.234593	0	0.0737558	0	0.108218	0.330643	0	0	0	2.98347e-05
3C	Mobile Home	Room AC	Not Available	0.0849556	0	0.114369	0	0.0784756	0.228711	0.196044	0.0900908	0	0.0971411	0.110213	0	18	0	1.53443e-05
3C	Mobile Home	Room AC	Owner	0.113979	0	0.0649653	0	0	0.306844	0.263017	0.120868	0	0.130327	0	0	13	0	0.000107816
3C	Mobile Home	Room AC	Renter	0	0	0.0758651	0	0.176925	0.234593	0	0.0737558	0	0.108218	0.330643	0	13	0	2.99186e-05
3C	Multi-Family with 2 - 4 Units	Central AC	Not Available	0	0	0.0537578	0	0.13623	0	0.127542	0.497838	0.057268	0.127364	0	0	15	43099	4.15137e-05
3C	Multi-Family with 2 - 4 Units	Central AC	Owner	0.0326793	0.00835405	0.0362746	0	0.0382133	0.0916589	0.0724295	0.318348	0.0902686	0.180224	0.13155	0	72	0	8.16429e-05
3C	Multi-Family with 2 - 4 Units	Central AC	Renter	0	0	0.0577665	0	0.146389	0	0.137053	0.534962	0.0615385	0.0622911	0	0	14	43099	0.000390124
3C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Not Available	0	0	0.048348	0	0.122521	0	0.114708	0.548371	0.051505	0.114547	0	0	17	0	3.5823e-06
3C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Owner	0.0326793	0.00835405	0.0362746	0	0.0382133	0.0916589	0.0724295	0.318348	0.0902686	0.180224	0.13155	0	72	0	6.92499e-06
3C	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Renter	0	0	0.0543935	0	0.137841	0	0.129051	0.562115	0.0579452	0.0586539	0	0	15	0	3.59576e-05
3C	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
3C	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
3C	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
3C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Not Available	0.0423445	0	0.0871936	0	0.107705	0.261945	0.135229	0.104148	0.0228741	0.095305	0.143256	0	32	0	1.45635e-06
3C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Owner	0.0747164	0	0.095854	0	0.0547864	0.282855	0.238611	0.127383	0.0403612	0.0854332	0	0	19	0	2.90462e-06
3C	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Renter	0	0	0.0758651	0	0.176925	0.234593	0	0.0737558	0	0.108218	0.330643	0	13	0	1.49278e-05
3C	Multi-Family with 2 - 4 Units	None	Not Available	0.0171404	0	0.0672921	0	0.124684	0.106031	0.130654	0.338478	0.0433459	0.114387	0.0579878	0	0	0	8.39853e-05
3C	Multi-Family with 2 - 4 Units	None	Owner	0.00857021	0	0.0661923	0	0.141717	0.100496	0.106115	0.343375	0.0399872	0.0976343	0.0959136	0	0	0	0.000174393
3C	Multi-Family with 2 - 4 Units	None	Renter	0	0	0.0650926	0	0.15875	0.0949597	0.0815762	0.348272	0.0366286	0.0808817	0.133839	0	0	0	0.000744082
3C	Multi-Family with 2 - 4 Units	Room AC	Not Available	0.0423445	0	0.0871936	0	0.107705	0.261945	0.135229	0.104148	0.0228741	0.095305	0.143256	0	32	29310.2	5.90329e-05
3C	Multi-Family with 2 - 4 Units	Room AC	Owner	0.0747164	0	0.095854	0	0.0547864	0.282855	0.238611	0.127383	0.0403612	0.0854332	0	0	19	0	0.000124594
3C	Multi-Family with 2 - 4 Units	Room AC	Renter	0	0	0.0758651	0	0.176925	0.234593	0	0.0737558	0	0.108218	0.330643	0	13	29310.2	0.000506677
