Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=290 Rated kWh	Option=318 Rated kWh	Option=None	Option=Void	source_count	source_weight	sampling_probability
300-400%	Multi-Family with 2 - 4 Units	CO	Renter	1990s	0.5	0.5	0	0	11	0	1.05778e-05
400%+	Multi-Family with 2 - 4 Units	CO	Not Available	1990s	0	0	0	1	14	0	0
400%+	Multi-Family with 2 - 4 Units	CO	Owner	1990s	0.499949	0.499949	0.000102902	0	11	0	8.76916e-06
400%+	Multi-Family with 2 - 4 Units	CO	Renter	1990s	0.324122	0.324122	0.351756	0	11	0	1.63056e-05
Not Available	Multi-Family with 2 - 4 Units	CO	Not Available	1990s	0.5	0.5	0	0	147	0	1.60435e-05
Not Available	Multi-Family with 2 - 4 Units	CO	Owner	1990s	0	0	0	1	35	0	0
Not Available	Multi-Family with 2 - 4 Units	CO	Renter	1990s	0	0	0	1	21	0	0
0-100%	Multi-Family with 2 - 4 Units	CO	Not Available	2000s	0	0	0	1	14	0	0
0-100%	Multi-Family with 2 - 4 Units	CO	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	1.01263e-06
0-100%	Multi-Family with 2 - 4 Units	CO	Renter	2000s	0.435934	0.435934	0.128132	0	21	0	1.28269e-05
100-150%	Multi-Family with 2 - 4 Units	CO	Not Available	2000s	0	0	0	1	14	0	0
100-150%	Multi-Family with 2 - 4 Units	CO	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	6.48991e-07
100-150%	Multi-Family with 2 - 4 Units	CO	Renter	2000s	0.435934	0.435934	0.128132	0	21	0	7.39442e-06
150-200%	Multi-Family with 2 - 4 Units	CO	Not Available	2000s	0	0	0	1	14	0	0
150-200%	Multi-Family with 2 - 4 Units	CO	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	9.0191e-07
150-200%	Multi-Family with 2 - 4 Units	CO	Renter	2000s	0.435934	0.435934	0.128132	0	21	0	6.19258e-06
200-300%	Multi-Family with 2 - 4 Units	CO	Not Available	2000s	0	0	0	1	14	0	0
200-300%	Multi-Family with 2 - 4 Units	CO	Owner	2000s	0.474141	0.474141	0.0517178	0	24	0	2.33194e-06
200-300%	Multi-Family with 2 - 4 Units	CO	Renter	2000s	0.491395	0.491395	0.0172097	0	20	0	1.10098e-05
300-400%	Multi-Family with 2 - 4 Units	CO	Not Available	2000s	0	0	0	1	14	0	0
300-400%	Multi-Family with 2 - 4 Units	CO	Owner	2000s	0.474141	0.474141	0.0517178	0	24	0	2.44598e-06
300-400%	Multi-Family with 2 - 4 Units	CO	Renter	2000s	0.491395	0.491395	0.0172097	0	20	0	7.86968e-06
400%+	Multi-Family with 2 - 4 Units	CO	Not Available	2000s	0	0	0	1	98	0	0
400%+	Multi-Family with 2 - 4 Units	CO	Owner	2000s	0.5	0.5	0	0	52	0	8.87557e-06
400%+	Multi-Family with 2 - 4 Units	CO	Renter	2000s	0.5	0.5	0	0	14	0	1.4969e-05
Not Available	Multi-Family with 2 - 4 Units	CO	Not Available	2000s	0.135369	0.135369	0.729261	0	147	0	1.24064e-05
Not Available	Multi-Family with 2 - 4 Units	CO	Owner	2000s	0	0	0	1	63	0	0
Not Available	Multi-Family with 2 - 4 Units	CO	Renter	2000s	0	0	0	1	21	0	0
0-100%	Multi-Family with 2 - 4 Units	CO	Not Available	2010s	0	0	0	1	14	0	0
0-100%	Multi-Family with 2 - 4 Units	CO	Owner	2010s	0.472821	0.472821	0.0543576	0	18	0	2.34908e-07
0-100%	Multi-Family with 2 - 4 Units	CO	Renter	2010s	0.435934	0.435934	0.128132	0	21	0	3.14385e-06
100-150%	Multi-Family with 2 - 4 Units	CO	Not Available	2010s	0	0	0	1	14	0	0
100-150%	Multi-Family with 2 - 4 Units	CO	Owner	2010s	0.472821	0.472821	0.0543576	0	18	0	1.88634e-07
100-150%	Multi-Family with 2 - 4 Units	CO	Renter	2010s	0.435934	0.435934	0.128132	0	21	0	2.05072e-06
150-200%	Multi-Family with 2 - 4 Units	CO	Not Available	2010s	0	0	0	1	14	0	0
150-200%	Multi-Family with 2 - 4 Units	CO	Owner	2010s	0.472821	0.472821	0.0543576	0	18	0	2.83753e-07
150-200%	Multi-Family with 2 - 4 Units	CO	Renter	2010s	0.435934	0.435934	0.128132	0	21	0	2.06572e-06
200-300%	Multi-Family with 2 - 4 Units	CO	Not Available	2010s	0	0	0	1	21	0	0
200-300%	Multi-Family with 2 - 4 Units	CO	Owner	2010s	0.474141	0.474141	0.0517178	0	24	0	6.48767e-07
200-300%	Multi-Family with 2 - 4 Units	CO	Renter	2010s	0.491395	0.491395	0.0172097	0	20	0	4.15637e-06
300-400%	Multi-Family with 2 - 4 Units	CO	Not Available	2010s	0	0	0	1	21	0	0
300-400%	Multi-Family with 2 - 4 Units	CO	Owner	2010s	0.474141	0.474141	0.0517178	0	24	0	7.04777e-07
300-400%	Multi-Family with 2 - 4 Units	CO	Renter	2010s	0.491395	0.491395	0.0172097	0	20	0	3.15189e-06
400%+	Multi-Family with 2 - 4 Units	CO	Not Available	2010s	0	0	0	1	98	69481.4	0
400%+	Multi-Family with 2 - 4 Units	CO	Owner	2010s	0.5	0.5	0	0	52	0	2.35245e-06
400%+	Multi-Family with 2 - 4 Units	CO	Renter	2010s	0.5	0.5	0	0	14	9925.92	5.94948e-06
Not Available	Multi-Family with 2 - 4 Units	CO	Not Available	2010s	0.5	0.5	0	0	49	486370	3.76454e-06
Not Available	Multi-Family with 2 - 4 Units	CO	Owner	2010s	0	0	0	1	63	0	0
Not Available	Multi-Family with 2 - 4 Units	CO	Renter	2010s	0	0	0	1	28	69481.4	0
0-100%	Multi-Family with 2 - 4 Units	CO	Not Available	<1940	0	0	0	1	14	47611.4	0
0-100%	Multi-Family with 2 - 4 Units	CO	Owner	<1940	0.145921	0.145921	0.708158	0	31	0	1.16709e-06
0-100%	Multi-Family with 2 - 4 Units	CO	Renter	<1940	0.223317	0.223317	0.553367	0	15	6801.62	1.34533e-05
100-150%	Multi-Family with 2 - 4 Units	CO	Not Available	<1940	0	0	0	1	14	60851.1	0
100-150%	Multi-Family with 2 - 4 Units	CO	Owner	<1940	0.145921	0.145921	0.708158	0	31	0	8.56086e-07
100-150%	Multi-Family with 2 - 4 Units	CO	Renter	<1940	0.223317	0.223317	0.553367	0	15	8693.01	7.94995e-06
150-200%	Multi-Family with 2 - 4 Units	CO	Not Available	<1940	0	0	0	1	14	0	0
150-200%	Multi-Family with 2 - 4 Units	CO	Owner	<1940	0.145921	0.145921	0.708158	0	31	0	7.15891e-07
150-200%	Multi-Family with 2 - 4 Units	CO	Renter	<1940	0.223317	0.223317	0.553367	0	15	0	7.56145e-06
200-300%	Multi-Family with 2 - 4 Units	CO	Not Available	<1940	0	0	0	1	14	0	0
200-300%	Multi-Family with 2 - 4 Units	CO	Owner	<1940	0.254762	0.254762	0.490477	0	48	0	1.47086e-06
200-300%	Multi-Family with 2 - 4 Units	CO	Renter	<1940	0.0726056	0.0726056	0.854789	0	34	0	1.13456e-05
300-400%	Multi-Family with 2 - 4 Units	CO	Not Available	<1940	0	0	0	1	14	44397.1	0
300-400%	Multi-Family with 2 - 4 Units	CO	Owner	<1940	0.254762	0.254762	0.490477	0	48	0	2.11616e-06
300-400%	Multi-Family with 2 - 4 Units	CO	Renter	<1940	0.0726056	0.0726056	0.854789	0	34	6342.45	7.80713e-06
400%+	Multi-Family with 2 - 4 Units	CO	Not Available	<1940	0	0	0	1	28	37.0381	0
400%+	Multi-Family with 2 - 4 Units	CO	Owner	<1940	0.38374	0.38374	0.232519	0	90	0	7.3118e-06
400%+	Multi-Family with 2 - 4 Units	CO	Renter	<1940	0.164141	0.164141	0.671718	0	39	5.29116	1.57887e-05
Not Available	Multi-Family with 2 - 4 Units	CO	Not Available	<1940	0.212081	0.212081	0.575837	0	147	1.07028e+06	1.0336e-05
Not Available	Multi-Family with 2 - 4 Units	CO	Owner	<1940	0	0	0	1	21	0	0
Not Available	Multi-Family with 2 - 4 Units	CO	Renter	<1940	0	0	0	1	21	152897	0
0-100%	Multi-Family with 2 - 4 Units	CT	Not Available	1940s	0	0	0	1	14	33794.2	0
0-100%	Multi-Family with 2 - 4 Units	CT	Owner	1940s	0.207044	0.207044	0.585912	0	11	0	2.15467e-06
0-100%	Multi-Family with 2 - 4 Units	CT	Renter	1940s	0.157731	0.157731	0.684538	0	29	4827.74	1.69502e-05
100-150%	Multi-Family with 2 - 4 Units	CT	Not Available	1940s	0	0	0	1	70	10934.8	0
100-150%	Multi-Family with 2 - 4 Units	CT	Owner	1940s	0.207044	0.207044	0.585912	0	11	1562.12	1.95981e-06
100-150%	Multi-Family with 2 - 4 Units	CT	Renter	1940s	0.194048	0.194048	0.611904	0	21	0	1.15511e-05
150-200%	Multi-Family with 2 - 4 Units	CT	Not Available	1940s	0	0	0	1	119	18845.3	0
150-200%	Multi-Family with 2 - 4 Units	CT	Owner	1940s	0.207044	0.207044	0.585912	0	11	0	1.74529e-06
150-200%	Multi-Family with 2 - 4 Units	CT	Renter	1940s	0.219195	0.219195	0.56161	0	14	2692.19	1.00092e-05
200-300%	Multi-Family with 2 - 4 Units	CT	Not Available	1940s	0	0	0	1	49	66997.1	0
200-300%	Multi-Family with 2 - 4 Units	CT	Owner	1940s	0.220775	0.220775	0.55845	0	10	2370.01	4.09081e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Renter	1940s	0.184656	0.184656	0.630688	0	22	7201	1.6625e-05
300-400%	Multi-Family with 2 - 4 Units	CT	Not Available	1940s	0	0	0	1	21	28032	0
300-400%	Multi-Family with 2 - 4 Units	CT	Owner	1940s	0.220775	0.220775	0.55845	0	10	0	4.08817e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Renter	1940s	0.269889	0.269889	0.460223	0	16	4004.57	1.17348e-05
400%+	Multi-Family with 2 - 4 Units	CT	Not Available	1940s	0	0	0	1	266	11971.6	0
400%+	Multi-Family with 2 - 4 Units	CT	Owner	1940s	0.407531	0.407531	0.184939	0	12	0	1.43129e-05
400%+	Multi-Family with 2 - 4 Units	CT	Renter	1940s	0.280514	0.280514	0.438972	0	26	1710.23	2.19052e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Not Available	1940s	0.252489	0.252489	0.495022	0	539	1.19403e+06	2.10614e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Owner	1940s	0	0	0	1	14	27524.9	0
Not Available	Multi-Family with 2 - 4 Units	CT	Renter	1940s	0	0	0	1	63	143050	0
0-100%	Multi-Family with 2 - 4 Units	CT	Not Available	1950s	0	0	0	1	14	0	0
0-100%	Multi-Family with 2 - 4 Units	CT	Owner	1950s	0.207044	0.207044	0.585912	0	11	0	2.7634e-06
0-100%	Multi-Family with 2 - 4 Units	CT	Renter	1950s	0.216108	0.216108	0.567783	0	35	0	2.16603e-05
100-150%	Multi-Family with 2 - 4 Units	CT	Not Available	1950s	0	0	0	1	14	0	0
100-150%	Multi-Family with 2 - 4 Units	CT	Owner	1950s	0.207044	0.207044	0.585912	0	11	0	2.30961e-06
100-150%	Multi-Family with 2 - 4 Units	CT	Renter	1950s	0.216108	0.216108	0.567783	0	35	0	1.43619e-05
150-200%	Multi-Family with 2 - 4 Units	CT	Not Available	1950s	0	0	0	1	14	0	0
150-200%	Multi-Family with 2 - 4 Units	CT	Owner	1950s	0.207044	0.207044	0.585912	0	11	0	2.02476e-06
150-200%	Multi-Family with 2 - 4 Units	CT	Renter	1950s	0.216108	0.216108	0.567783	0	35	0	1.23827e-05
200-300%	Multi-Family with 2 - 4 Units	CT	Not Available	1950s	0	0	0	1	14	0	0
200-300%	Multi-Family with 2 - 4 Units	CT	Owner	1950s	0.29706	0.29706	0.40588	0	11	0	4.75584e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Renter	1950s	0.288798	0.288798	0.422404	0	40	0	2.17305e-05
300-400%	Multi-Family with 2 - 4 Units	CT	Not Available	1950s	0	0	0	1	21	0	0
300-400%	Multi-Family with 2 - 4 Units	CT	Owner	1950s	0.29706	0.29706	0.40588	0	11	0	5.05977e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Renter	1950s	0.288798	0.288798	0.422404	0	40	0	1.52891e-05
400%+	Multi-Family with 2 - 4 Units	CT	Not Available	1950s	0	0	0	1	273	0	0
400%+	Multi-Family with 2 - 4 Units	CT	Owner	1950s	0.407531	0.407531	0.184939	0	12	0	1.91836e-05
400%+	Multi-Family with 2 - 4 Units	CT	Renter	1950s	0.239774	0.239774	0.520452	0	27	0	2.88442e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Not Available	1950s	0.304279	0.304279	0.391443	0	392	0	2.5947e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Owner	1950s	0	0	0	1	168	0	0
Not Available	Multi-Family with 2 - 4 Units	CT	Renter	1950s	0	0	0	1	49	0	0
0-100%	Multi-Family with 2 - 4 Units	CT	Not Available	1960s	0	0	0	1	14	116912	0
0-100%	Multi-Family with 2 - 4 Units	CT	Owner	1960s	0.0874628	0.0874628	0.825074	0	13	0	2.46811e-06
0-100%	Multi-Family with 2 - 4 Units	CT	Renter	1960s	0.0998195	0.0998195	0.800361	0	12	16701.6	2.34306e-05
100-150%	Multi-Family with 2 - 4 Units	CT	Not Available	1960s	0	0	0	1	35	54561.1	0
100-150%	Multi-Family with 2 - 4 Units	CT	Owner	1960s	0.0874628	0.0874628	0.825074	0	13	7794.44	2.18629e-06
100-150%	Multi-Family with 2 - 4 Units	CT	Renter	1960s	0.0998195	0.0998195	0.800361	0	12	0	1.59832e-05
150-200%	Multi-Family with 2 - 4 Units	CT	Not Available	1960s	0	0	0	1	28	8857.31	0
150-200%	Multi-Family with 2 - 4 Units	CT	Owner	1960s	0.0874628	0.0874628	0.825074	0	13	1265.33	2.60573e-06
150-200%	Multi-Family with 2 - 4 Units	CT	Renter	1960s	0.0998195	0.0998195	0.800361	0	12	0	1.25362e-05
200-300%	Multi-Family with 2 - 4 Units	CT	Not Available	1960s	0	0	0	1	42	15109.3	0
200-300%	Multi-Family with 2 - 4 Units	CT	Owner	1960s	0.198455	0.198455	0.603089	0	13	0	6.38007e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Renter	1960s	0.109416	0.109416	0.781167	0	12	2158.48	1.96926e-05
300-400%	Multi-Family with 2 - 4 Units	CT	Not Available	1960s	0	0	0	1	21	142902	0
300-400%	Multi-Family with 2 - 4 Units	CT	Owner	1960s	0.198455	0.198455	0.603089	0	13	0	5.96643e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Renter	1960s	0.109416	0.109416	0.781167	0	12	20414.5	1.467e-05
400%+	Multi-Family with 2 - 4 Units	CT	Not Available	1960s	0	0	0	1	14	26048.9	0
400%+	Multi-Family with 2 - 4 Units	CT	Owner	1960s	0.391136	0.391136	0.217727	0	25	0	1.75629e-05
400%+	Multi-Family with 2 - 4 Units	CT	Renter	1960s	0.374097	0.374097	0.251806	0	24	3721.27	3.11068e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Not Available	1960s	0.0758793	0.0758793	0.848241	0	294	2.55073e+06	2.62933e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Owner	1960s	0	0	0	1	14	63418.4	0
Not Available	Multi-Family with 2 - 4 Units	CT	Renter	1960s	0	0	0	1	35	300971	0
0-100%	Multi-Family with 2 - 4 Units	CT	Not Available	1970s	0	0	0	1	14	52246.3	0
0-100%	Multi-Family with 2 - 4 Units	CT	Owner	1970s	0.0874628	0.0874628	0.825074	0	13	0	2.68418e-06
0-100%	Multi-Family with 2 - 4 Units	CT	Renter	1970s	0.159798	0.159798	0.680404	0	11	7463.76	2.38378e-05
100-150%	Multi-Family with 2 - 4 Units	CT	Not Available	1970s	0	0	0	1	14	51551.6	0
100-150%	Multi-Family with 2 - 4 Units	CT	Owner	1970s	0.0874628	0.0874628	0.825074	0	13	0	2.82609e-06
100-150%	Multi-Family with 2 - 4 Units	CT	Renter	1970s	0.143625	0.143625	0.712749	0	16	7364.51	1.69676e-05
150-200%	Multi-Family with 2 - 4 Units	CT	Not Available	1970s	0	0	0	1	28	0	0
150-200%	Multi-Family with 2 - 4 Units	CT	Owner	1970s	0.0874628	0.0874628	0.825074	0	13	0	3.18047e-06
150-200%	Multi-Family with 2 - 4 Units	CT	Renter	1970s	0.143625	0.143625	0.712749	0	16	0	1.36697e-05
200-300%	Multi-Family with 2 - 4 Units	CT	Not Available	1970s	0	0	0	1	49	6327.2	0
200-300%	Multi-Family with 2 - 4 Units	CT	Owner	1970s	0.198455	0.198455	0.603089	0	13	903.886	7.15502e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Renter	1970s	0.10607	0.10607	0.78786	0	20	0	2.19123e-05
300-400%	Multi-Family with 2 - 4 Units	CT	Not Available	1970s	0	0	0	1	14	88003	0
300-400%	Multi-Family with 2 - 4 Units	CT	Owner	1970s	0.198455	0.198455	0.603089	0	13	8159.01	6.78554e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Renter	1970s	0.10607	0.10607	0.78786	0	20	4412.84	1.59857e-05
400%+	Multi-Family with 2 - 4 Units	CT	Not Available	1970s	0	0	0	1	42	27340.4	0
400%+	Multi-Family with 2 - 4 Units	CT	Owner	1970s	0.391136	0.391136	0.217727	0	25	0	2.13738e-05
400%+	Multi-Family with 2 - 4 Units	CT	Renter	1970s	0.374097	0.374097	0.251806	0	24	3905.77	3.5377e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Not Available	1970s	0.111835	0.111835	0.77633	0	196	1.57828e+06	2.79667e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Owner	1970s	0	0	0	1	21	63440.2	0
Not Available	Multi-Family with 2 - 4 Units	CT	Renter	1970s	0	0	0	1	21	162028	0
0-100%	Multi-Family with 2 - 4 Units	CT	Not Available	1980s	0	0	0	1	35	68244	0
0-100%	Multi-Family with 2 - 4 Units	CT	Owner	1980s	0.394026	0.394026	0.211948	0	22	0	2.84246e-06
0-100%	Multi-Family with 2 - 4 Units	CT	Renter	1980s	0.0264725	0.0264725	0.947055	0	10	9749.14	2.07786e-05
100-150%	Multi-Family with 2 - 4 Units	CT	Not Available	1980s	0	0	0	1	42	0	0
100-150%	Multi-Family with 2 - 4 Units	CT	Owner	1980s	0.394026	0.394026	0.211948	0	22	0	2.5931e-06
100-150%	Multi-Family with 2 - 4 Units	CT	Renter	1980s	0.0264725	0.0264725	0.947055	0	10	0	1.57546e-05
150-200%	Multi-Family with 2 - 4 Units	CT	Not Available	1980s	0	0	0	1	42	0	0
150-200%	Multi-Family with 2 - 4 Units	CT	Owner	1980s	0.394026	0.394026	0.211948	0	22	0	2.31065e-06
150-200%	Multi-Family with 2 - 4 Units	CT	Renter	1980s	0.0264725	0.0264725	0.947055	0	10	0	1.38927e-05
200-300%	Multi-Family with 2 - 4 Units	CT	Not Available	1980s	0	0	0	1	14	0	0
200-300%	Multi-Family with 2 - 4 Units	CT	Owner	1980s	0.312691	0.312691	0.374619	0	13	0	5.49503e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Renter	1980s	0.250392	0.250392	0.499217	0	17	0	2.37597e-05
300-400%	Multi-Family with 2 - 4 Units	CT	Not Available	1980s	0	0	0	1	21	0	0
300-400%	Multi-Family with 2 - 4 Units	CT	Owner	1980s	0.312691	0.312691	0.374619	0	13	0	5.91981e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Renter	1980s	0.250392	0.250392	0.499217	0	17	0	1.59287e-05
400%+	Multi-Family with 2 - 4 Units	CT	Not Available	1980s	0	0	0	1	21	0	0
400%+	Multi-Family with 2 - 4 Units	CT	Owner	1980s	0.457996	0.457996	0.0840078	0	15	0	2.06376e-05
400%+	Multi-Family with 2 - 4 Units	CT	Renter	1980s	0.339395	0.339395	0.32121	0	16	0	2.86218e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Not Available	1980s	0	0	1	0	49	477708	2.62058e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Owner	1980s	0	0	0	1	14	0	0
Not Available	Multi-Family with 2 - 4 Units	CT	Renter	1980s	0	0	0	1	63	68244	0
0-100%	Multi-Family with 2 - 4 Units	CT	Not Available	1990s	0	0	0	1	28	65953.5	0
0-100%	Multi-Family with 2 - 4 Units	CT	Owner	1990s	0.394026	0.394026	0.211948	0	22	0	1.12339e-06
0-100%	Multi-Family with 2 - 4 Units	CT	Renter	1990s	0.0264725	0.0264725	0.947055	0	10	9421.92	8.69957e-06
100-150%	Multi-Family with 2 - 4 Units	CT	Not Available	1990s	0	0	0	1	28	0	0
100-150%	Multi-Family with 2 - 4 Units	CT	Owner	1990s	0.394026	0.394026	0.211948	0	22	0	1.06567e-06
100-150%	Multi-Family with 2 - 4 Units	CT	Renter	1990s	0.0264725	0.0264725	0.947055	0	10	0	6.21993e-06
150-200%	Multi-Family with 2 - 4 Units	CT	Not Available	1990s	0	0	0	1	28	0	0
150-200%	Multi-Family with 2 - 4 Units	CT	Owner	1990s	0.394026	0.394026	0.211948	0	22	0	8.47334e-07
150-200%	Multi-Family with 2 - 4 Units	CT	Renter	1990s	0.0264725	0.0264725	0.947055	0	10	0	5.70146e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Not Available	1990s	0	0	0	1	21	0	0
200-300%	Multi-Family with 2 - 4 Units	CT	Owner	1990s	0.312691	0.312691	0.374619	0	13	0	2.06038e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Renter	1990s	0.250392	0.250392	0.499217	0	17	0	9.99978e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Not Available	1990s	0	0	0	1	14	0	0
300-400%	Multi-Family with 2 - 4 Units	CT	Owner	1990s	0.312691	0.312691	0.374619	0	13	0	2.23253e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Renter	1990s	0.250392	0.250392	0.499217	0	17	0	6.55028e-06
400%+	Multi-Family with 2 - 4 Units	CT	Not Available	1990s	0	0	0	1	28	0	0
400%+	Multi-Family with 2 - 4 Units	CT	Owner	1990s	0.457996	0.457996	0.0840078	0	15	0	7.76589e-06
400%+	Multi-Family with 2 - 4 Units	CT	Renter	1990s	0.339395	0.339395	0.32121	0	16	0	1.11144e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Not Available	1990s	0	0	1	0	49	461674	1.06539e-05
Not Available	Multi-Family with 2 - 4 Units	CT	Owner	1990s	0	0	0	1	14	0	0
Not Available	Multi-Family with 2 - 4 Units	CT	Renter	1990s	0	0	0	1	42	65953.5	0
0-100%	Multi-Family with 2 - 4 Units	CT	Not Available	2000s	0	0	0	1	14	0	0
0-100%	Multi-Family with 2 - 4 Units	CT	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	2.5096e-07
0-100%	Multi-Family with 2 - 4 Units	CT	Renter	2000s	0.203475	0.203475	0.59305	0	22	0	4.88851e-06
100-150%	Multi-Family with 2 - 4 Units	CT	Not Available	2000s	0	0	0	1	21	0	0
100-150%	Multi-Family with 2 - 4 Units	CT	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	3.96563e-07
100-150%	Multi-Family with 2 - 4 Units	CT	Renter	2000s	0.203475	0.203475	0.59305	0	22	0	3.0525e-06
150-200%	Multi-Family with 2 - 4 Units	CT	Not Available	2000s	0	0	0	1	14	0	0
150-200%	Multi-Family with 2 - 4 Units	CT	Owner	2000s	0.472821	0.472821	0.0543576	0	18	0	5.57945e-07
150-200%	Multi-Family with 2 - 4 Units	CT	Renter	2000s	0.203475	0.203475	0.59305	0	22	0	3.11658e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Not Available	2000s	0	0	0	1	14	0	0
200-300%	Multi-Family with 2 - 4 Units	CT	Owner	2000s	0.474141	0.474141	0.0517178	0	24	0	1.08718e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Renter	2000s	0.238533	0.238533	0.522935	0	17	0	5.49935e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Not Available	2000s	0	0	0	1	14	0	0
300-400%	Multi-Family with 2 - 4 Units	CT	Owner	2000s	0.474141	0.474141	0.0517178	0	24	0	1.34546e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Renter	2000s	0.238533	0.238533	0.522935	0	17	0	4.09279e-06
400%+	Multi-Family with 2 - 4 Units	CT	Not Available	2000s	0	0	0	1	168	0	0
400%+	Multi-Family with 2 - 4 Units	CT	Owner	2000s	0.5	0.5	0	0	52	0	5.95859e-06
400%+	Multi-Family with 2 - 4 Units	CT	Renter	2000s	0.479447	0.479447	0.0411059	0	22	0	8.90097e-06
Not Available	Multi-Family with 2 - 4 Units	CT	Not Available	2000s	0.123726	0.123726	0.752547	0	245	0	6.37059e-06
Not Available	Multi-Family with 2 - 4 Units	CT	Owner	2000s	0	0	0	1	28	0	0
Not Available	Multi-Family with 2 - 4 Units	CT	Renter	2000s	0	0	0	1	35	0	0
0-100%	Multi-Family with 2 - 4 Units	CT	Not Available	2010s	0	0	0	1	14	53229	0
0-100%	Multi-Family with 2 - 4 Units	CT	Owner	2010s	0.472821	0.472821	0.0543576	0	18	0	2.12043e-07
0-100%	Multi-Family with 2 - 4 Units	CT	Renter	2010s	0.203475	0.203475	0.59305	0	22	7604.14	2.93785e-06
100-150%	Multi-Family with 2 - 4 Units	CT	Not Available	2010s	0	0	0	1	14	0	0
100-150%	Multi-Family with 2 - 4 Units	CT	Owner	2010s	0.472821	0.472821	0.0543576	0	18	0	2.45122e-07
100-150%	Multi-Family with 2 - 4 Units	CT	Renter	2010s	0.203475	0.203475	0.59305	0	22	0	2.2286e-06
150-200%	Multi-Family with 2 - 4 Units	CT	Not Available	2010s	0	0	0	1	14	0	0
150-200%	Multi-Family with 2 - 4 Units	CT	Owner	2010s	0.472821	0.472821	0.0543576	0	18	0	2.53575e-07
150-200%	Multi-Family with 2 - 4 Units	CT	Renter	2010s	0.203475	0.203475	0.59305	0	22	0	1.85848e-06
200-300%	Multi-Family with 2 - 4 Units	CT	Not Available	2010s	0	0	0	1	14	0	0
200-300%	Multi-Family with 2 - 4 Units	CT	Owner	2010s	0.474141	0.474141	0.0517178	0	24	0	4.55323e-07
200-300%	Multi-Family with 2 - 4 Units	CT	Renter	2010s	0.238533	0.238533	0.522935	0	17	0	2.97608e-06
300-400%	Multi-Family with 2 - 4 Units	CT	Not Available	2010s	0	0	0	1	14	0	0
300-400%	Multi-Family with 2 - 4 Units	CT	Owner	2010s	0.474141	0.474141	0.0517178	0	24	0	4.90021e-07
300-400%	Multi-Family with 2 - 4 Units	CT	Renter	2010s	0.238533	0.238533	0.522935	0	17	0	1.67683e-06
400%+	Multi-Family with 2 - 4 Units	CT	Not Available	2010s	0	0	0	1	168	0	0
400%+	Multi-Family with 2 - 4 Units	CT	Owner	2010s	0.5	0.5	0	0	52	0	3.72001e-06
400%+	Multi-Family with 2 - 4 Units	CT	Renter	2010s	0.479447	0.479447	0.0411059	0	22	0	5.61177e-06
Not Available	Multi-Family with 2 - 4 Units	CT	Not Available	2010s	0	0	1	0	49	372603	3.79381e-06
Not Available	Multi-Family with 2 - 4 Units	CT	Owner	2010s	0	0	0	1	28	0	0
Not Available	Multi-Family with 2 - 4 Units	CT	Renter	2010s	0	0	0	1	35	53229	0
0-100%	Multi-Family with 2 - 4 Units	CT	Not Available	<1940	0	0	0	1	14	87332	0
0-100%	Multi-Family with 2 - 4 Units	CT	Owner	<1940	0.207044	0.207044	0.585912	0	11	0	8.51523e-06
0-100%	Multi-Family with 2 - 4 Units	CT	Renter	<1940	0.157731	0.157731	0.684538	0	29	12476	9.69423e-05
100-150%	Multi-Family with 2 - 4 Units	CT	Not Available	<1940	0	0	0	1	70	28258.1	0
