Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Vintage ACS	Option=No	Option=Yes	source_count	source_weight	sampling_probability
Single-Family Attached	HI	2010s	0	1	55	3889.7	3.33659e-05
Single-Family Attached	HI	<1940	0.106425	0.893575	25	890.874	1.36904e-05
Single-Family Detached	HI	1940-59	0	1	31	31007.8	0.000318307
Single-Family Detached	HI	1960-79	0	1	54	82692.6	0.00064515
Single-Family Detached	HI	1980-99	0	1	59	96366.2	0.000627338
Single-Family Detached	HI	2000-09	0	1	21	31418.4	0.000313905
Single-Family Detached	HI	2010s	0	1	10	13384	8.77682e-05
Single-Family Detached	HI	<1940	0	1	15	20414.8	9.8436e-05
Mobile Home	IA	1940-59	0	1	4	1352.37	5.47346e-06
Mobile Home	IA	1960-79	0	1	17	21576.9	0.000115139
Mobile Home	IA	1980-99	0	1	27	16088.2	0.000181452
Mobile Home	IA	2000-09	0	1	14	11595.5	4.6762e-05
Mobile Home	IA	2010s	0	1	22	0	1.735e-05
Mobile Home	IA	<1940	0	1	4	3494.82	8.47152e-06
Multi-Family with 2 - 4 Units	IA	1940-59	0.582285	0.417715	16	1340.06	6.4078e-05
Multi-Family with 2 - 4 Units	IA	1960-79	0.592917	0.407083	25	14460.6	0.000167945
Multi-Family with 2 - 4 Units	IA	1980-99	0.528255	0.471745	13	6558.65	0.000126359
Multi-Family with 2 - 4 Units	IA	2000-09	0.554413	0.445587	11	3654.09	3.7284e-05
Multi-Family with 2 - 4 Units	IA	2010s	0.539139	0.460861	17	3826.55	1.47439e-05
Multi-Family with 2 - 4 Units	IA	<1940	0.643578	0.356422	11	3463.02	0.000162395
Multi-Family with 5+ Units	IA	1940-59	0.685626	0.314374	30	5557.91	7.59599e-05
Multi-Family with 5+ Units	IA	1960-79	0.689201	0.310799	52	51319	0.000407065
Multi-Family with 5+ Units	IA	1980-99	0.636647	0.363353	55	40242.6	0.000405241
Multi-Family with 5+ Units	IA	2000-09	0.489434	0.510566	29	38051.2	0.000183454
Multi-Family with 5+ Units	IA	2010s	0.825241	0.174759	37	8525.33	0.000137236
Multi-Family with 5+ Units	IA	<1940	0.659859	0.340141	20	14362.9	0.000135932
Single-Family Attached	IA	1940-59	0.00769894	0.992301	13	5744.68	2.02932e-05
Single-Family Attached	IA	1960-79	0.107588	0.892412	23	9287.81	6.44397e-05
Single-Family Attached	IA	1980-99	0.0692042	0.930796	54	31686	0.00010834
Single-Family Attached	IA	2000-09	0	1	32	10198.5	0.00012141
Single-Family Attached	IA	2010s	0	1	29	6822.12	6.40723e-05
Single-Family Attached	IA	<1940	0.0171804	0.98282	13	3888.3	2.91366e-05
Single-Family Detached	IA	1940-59	0	1	104	239336	0.00137683
Single-Family Detached	IA	1960-79	0	1	59	232506	0.00172477
Single-Family Detached	IA	1980-99	0	1	33	129080	0.00100937
Single-Family Detached	IA	2000-09	0	1	26	88653.9	0.00070745
Single-Family Detached	IA	2010s	0	1	106	32810.6	0.000328233
Single-Family Detached	IA	<1940	0	1	69	246464	0.00231792
Mobile Home	ID	1940-59	0	1	7	0	6.38705e-06
Mobile Home	ID	1960-79	0	1	31	16345	0.000190667
Mobile Home	ID	1980-99	0	1	11	25177.6	0.000183799
Mobile Home	ID	2000-09	0	1	10	4217.55	4.35521e-05
Mobile Home	ID	2010s	0	1	15	1903.29	1.22608e-05
Mobile Home	ID	<1940	0	1	7	0	3.02079e-06
Multi-Family with 2 - 4 Units	ID	1940-59	0.371776	0.628224	39	1153.35	2.82586e-05
Multi-Family with 2 - 4 Units	ID	1960-79	0.746195	0.253805	16	17957.7	9.80248e-05
Multi-Family with 2 - 4 Units	ID	1980-99	0.355631	0.644369	69	13599.2	0.000112642
Multi-Family with 2 - 4 Units	ID	2000-09	0.324073	0.675927	26	4643.25	5.45052e-05
Multi-Family with 2 - 4 Units	ID	2010s	0.324073	0.675927	26	4281.99	2.14959e-05
Multi-Family with 2 - 4 Units	ID	<1940	0.371776	0.628224	39	2980.52	2.34883e-05
Multi-Family with 5+ Units	ID	1940-59	0.679583	0.320417	72	0	2.28834e-05
Multi-Family with 5+ Units	ID	1960-79	0.715192	0.284808	34	11861	0.000111154
Multi-Family with 5+ Units	ID	1980-99	0.342393	0.657607	32	22452	0.000150103
Multi-Family with 5+ Units	ID	2000-09	0.190349	0.809651	13	7921.35	8.22528e-05
Multi-Family with 5+ Units	ID	2010s	0.537727	0.462273	20	10328.3	6.11415e-05
Multi-Family with 5+ Units	ID	<1940	0.679583	0.320417	72	0	2.67642e-05
Single-Family Attached	ID	1940-59	0.100753	0.899247	40	587.323	1.02143e-05
Single-Family Attached	ID	1960-79	0	1	20	6293.63	3.49582e-05
Single-Family Attached	ID	1980-99	0.0556523	0.944348	27	7770.92	4.96254e-05
Single-Family Attached	ID	2000-09	0	1	22	7092.37	4.1944e-05
Single-Family Attached	ID	2010s	0	1	17	1985.23	1.28112e-05
Single-Family Attached	ID	<1940	0.100753	0.899247	40	1517.78	7.39614e-06
Single-Family Detached	ID	1940-59	0	1	38	58552.8	0.000457173
Single-Family Detached	ID	1960-79	0	1	46	104858	0.000814002
Single-Family Detached	ID	1980-99	0	1	44	102124	0.000970184
Single-Family Detached	ID	2000-09	0	1	50	103798	0.000822651
Single-Family Detached	ID	2010s	0	1	33	71454.1	0.00029045
Single-Family Detached	ID	<1940	0	1	26	45654.6	0.000373586
Mobile Home	IL	1940-59	0	1	4	0	2.05873e-05
Mobile Home	IL	1960-79	0	1	16	8803.83	0.000307247
Mobile Home	IL	1980-99	0	1	25	53148.2	0.000455025
Mobile Home	IL	2000-09	0	1	20	24455.7	0.0001654
Mobile Home	IL	2010s	0	1	11	8615.45	4.24533e-05
Mobile Home	IL	<1940	0	1	4	0	1.36582e-05
Multi-Family with 2 - 4 Units	IL	1940-59	0.372057	0.627943	20	129246	0.000747295
Multi-Family with 2 - 4 Units	IL	1960-79	0.399147	0.600853	22	57318.6	0.000925485
Multi-Family with 2 - 4 Units	IL	1980-99	0.357342	0.642658	19	101181	0.000690656
Multi-Family with 2 - 4 Units	IL	2000-09	0.371913	0.628087	12	12344.1	0.000268461
Multi-Family with 2 - 4 Units	IL	2010s	0.371913	0.628087	12	30259.1	8.81089e-05
Multi-Family with 2 - 4 Units	IL	<1940	0.413474	0.586526	17	205196	0.00209151
Multi-Family with 5+ Units	IL	1940-59	0.69158	0.30842	24	168788	0.000911475
Multi-Family with 5+ Units	IL	1960-79	0.656931	0.343069	36	414674	0.00270646
Multi-Family with 5+ Units	IL	1980-99	0.808515	0.191485	15	191619	0.00179862
Multi-Family with 5+ Units	IL	2000-09	0.683751	0.316249	16	167780	0.000986774
Multi-Family with 5+ Units	IL	2010s	0.900135	0.099865	10	94534.6	0.000348585
Multi-Family with 5+ Units	IL	<1940	0.735368	0.264632	15	142738	0.00153536
Single-Family Attached	IL	1940-59	0.00958945	0.990411	22	10556.5	0.000186954
Single-Family Attached	IL	1960-79	0	1	15	67238.1	0.000448626
Single-Family Attached	IL	1980-99	0	1	21	106184	0.00085058
Single-Family Attached	IL	2000-09	0	1	20	78851	0.00056753
Single-Family Attached	IL	2010s	0	1	14	10347	6.9778e-05
Single-Family Attached	IL	<1940	0.0328217	0.967178	12	0	0.000140265
Single-Family Detached	IL	1940-59	0	1	125	686355	0.00557676
Single-Family Detached	IL	1960-79	0	1	88	673944	0.00599618
Single-Family Detached	IL	1980-99	0	1	64	581699	0.0041669
Single-Family Detached	IL	2000-09	0	1	36	246435	0.00232137
Single-Family Detached	IL	2010s	0	1	13	82141	0.000465372
Single-Family Detached	IL	<1940	0	1	74	546068	0.00471948
Mobile Home	IN	1940-59	0	1	4	0	2.49447e-05
Mobile Home	IN	1960-79	0	1	16	15278.9	0.000253997
Mobile Home	IN	1980-99	0	1	25	34659	0.000539976
Mobile Home	IN	2000-09	0	1	20	5826.23	0.000127612
Mobile Home	IN	2010s	0	1	11	21718.6	4.07362e-05
Mobile Home	IN	<1940	0	1	4	0	1.06384e-05
Multi-Family with 2 - 4 Units	IN	1940-59	0.487742	0.512258	41	22065	0.000146105
Multi-Family with 2 - 4 Units	IN	1960-79	0.399147	0.600853	22	62096.2	0.000369877
Multi-Family with 2 - 4 Units	IN	1980-99	0.357342	0.642658	19	32955.3	0.000322412
Multi-Family with 2 - 4 Units	IN	2000-09	0.371913	0.628087	12	0	9.06326e-05
Multi-Family with 2 - 4 Units	IN	2010s	0.371913	0.628087	12	20499.2	5.15108e-05
Multi-Family with 2 - 4 Units	IN	<1940	0.390813	0.609187	33	57021.1	0.000286909
Multi-Family with 5+ Units	IN	1940-59	0.66349	0.33651	41	3449.52	0.000163451
Multi-Family with 5+ Units	IN	1960-79	0.615527	0.384473	78	53481	0.000878442
Multi-Family with 5+ Units	IN	1980-99	0.574755	0.425245	56	83098.2	0.000904776
Multi-Family with 5+ Units	IN	2000-09	0.541754	0.458246	37	36980.9	0.000301113
Multi-Family with 5+ Units	IN	2010s	0.646156	0.353844	26	26481.5	0.000242289
Multi-Family with 5+ Units	IN	<1940	0.615892	0.384108	29	8914.35	0.00019408
Single-Family Attached	IN	1940-59	0.00958945	0.990411	22	13485	9.23828e-05
Single-Family Attached	IN	1960-79	0	1	50	29602.8	0.000147647
Single-Family Attached	IN	1980-99	0	1	11	38755.9	0.000229802
Single-Family Attached	IN	2000-09	0	1	10	28034.2	0.000163289
Single-Family Attached	IN	2010s	0	1	14	9811.72	4.23593e-05
Single-Family Attached	IN	<1940	0.0328217	0.967178	12	5366.65	0.000106783
Single-Family Detached	IN	1940-59	0	1	98	368743	0.00311383
Single-Family Detached	IN	1960-79	0	1	83	482949	0.00358618
Single-Family Detached	IN	1980-99	0	1	63	423634	0.00316026
Single-Family Detached	IN	2000-09	0	1	46	248114	0.00188466
Single-Family Detached	IN	2010s	0	1	24	107456	0.000573177
Single-Family Detached	IN	<1940	0	1	65	359121	0.00306581
Mobile Home	KS	1940-59	0	1	4	2145.98	6.81945e-06
Mobile Home	KS	1960-79	0	1	17	0	0.000116342
Mobile Home	KS	1980-99	0	1	27	18079.9	0.000211727
Mobile Home	KS	2000-09	0	1	14	9823.43	4.95364e-05
Mobile Home	KS	2010s	0	1	22	8048.63	1.64424e-05
Mobile Home	KS	<1940	0	1	4	5545.71	4.61979e-06
Multi-Family with 2 - 4 Units	KS	1940-59	0.582285	0.417715	16	6043.03	8.99188e-05
Multi-Family with 2 - 4 Units	KS	1960-79	0.592917	0.407083	25	32345	0.00018379
Multi-Family with 2 - 4 Units	KS	1980-99	0.528255	0.471745	13	30795.7	0.000160083
Multi-Family with 2 - 4 Units	KS	2000-09	0.554413	0.445587	11	12118.9	4.88991e-05
Multi-Family with 2 - 4 Units	KS	2010s	0.539139	0.460861	17	0	3.46066e-05
Multi-Family with 2 - 4 Units	KS	<1940	0.643578	0.356422	11	0	5.70209e-05
Multi-Family with 5+ Units	KS	1940-59	0.685626	0.314374	30	33981.6	6.37492e-05
Multi-Family with 5+ Units	KS	1960-79	0.689201	0.310799	52	58208.8	0.00034577
Multi-Family with 5+ Units	KS	1980-99	0.636647	0.363353	55	31291.2	0.000380186
Multi-Family with 5+ Units	KS	2000-09	0.489434	0.510566	29	21925.4	0.000160549
Multi-Family with 5+ Units	KS	2010s	0.825241	0.174759	37	0	0.00013207
Multi-Family with 5+ Units	KS	<1940	0.659859	0.340141	20	14951	5.41047e-05
Single-Family Attached	KS	1940-59	0.00769894	0.992301	13	4887.94	4.50576e-05
Single-Family Attached	KS	1960-79	0.107588	0.892412	23	10338.5	0.000114147
Single-Family Attached	KS	1980-99	0.0692042	0.930796	54	20517	0.000138189
Single-Family Attached	KS	2000-09	0	1	32	5604.39	7.24328e-05
Single-Family Attached	KS	2010s	0	1	29	6661.29	2.4464e-05
Single-Family Attached	KS	<1940	0.0171804	0.98282	13	4516.41	2.28865e-05
Single-Family Detached	KS	1940-59	0	1	47	139778	0.00151218
Single-Family Detached	KS	1960-79	0	1	41	208758	0.00158265
Single-Family Detached	KS	1980-99	0	1	34	168623	0.00136208
Single-Family Detached	KS	2000-09	0	1	25	104133	0.000690211
Single-Family Detached	KS	2010s	0	1	106	40166.7	0.000222552
Single-Family Detached	KS	<1940	0	1	29	127783	0.00141598
Mobile Home	KY	1940-59	0	1	14	0	1.88124e-05
Mobile Home	KY	1960-79	0	1	26	32378.3	0.000364534
Mobile Home	KY	1980-99	0	1	12	53332.9	0.000907479
Mobile Home	KY	2000-09	0	1	30	25177.7	0.000343025
Mobile Home	KY	2010s	0	1	12	13159.8	0.000103675
Mobile Home	KY	<1940	0	1	14	0	5.22472e-06
Multi-Family with 2 - 4 Units	KY	1940-59	0.425913	0.574087	45	2092.05	0.000132593
Multi-Family with 2 - 4 Units	KY	1960-79	0.429767	0.570233	19	47472.9	0.000318561
Multi-Family with 2 - 4 Units	KY	1980-99	0.0375997	0.9624	19	29100.2	0.000309451
Multi-Family with 2 - 4 Units	KY	2000-09	0.166533	0.833467	11	0	0.000107082
Multi-Family with 2 - 4 Units	KY	2010s	0.374415	0.625585	18	8138.87	6.11949e-05
Multi-Family with 2 - 4 Units	KY	<1940	0.425913	0.574087	45	5406.33	0.000154489
Multi-Family with 5+ Units	KY	1940-59	0.584911	0.415089	92	11238.6	0.00012212
Multi-Family with 5+ Units	KY	1960-79	0.630667	0.369333	12	77386.8	0.000485762
Multi-Family with 5+ Units	KY	1980-99	0.232365	0.767635	32	34202.3	0.00052616
Multi-Family with 5+ Units	KY	2000-09	0.179096	0.820904	19	33799.2	0.000219728
Multi-Family with 5+ Units	KY	2010s	0.403023	0.596977	21	34005.1	0.0001307
Multi-Family with 5+ Units	KY	<1940	0.584911	0.415089	92	6844.6	0.000108146
Single-Family Attached	KY	1940-59	0.0380286	0.961971	108	1508.08	2.27187e-05
Single-Family Attached	KY	1960-79	0.0324798	0.96752	19	13948.9	6.54325e-05
Single-Family Attached	KY	1980-99	0.0139128	0.986087	13	22163.8	0.000134188
Single-Family Attached	KY	2000-09	0	1	15	14142.8	9.33872e-05
Single-Family Attached	KY	2010s	0	1	15	9473.12	3.39509e-05
Single-Family Attached	KY	<1940	0.0380286	0.961971	108	3897.22	2.24759e-05
Single-Family Detached	KY	1940-59	0	1	73	181715	0.00167524
Single-Family Detached	KY	1960-79	0	1	86	368190	0.00272213
Single-Family Detached	KY	1980-99	0	1	82	363626	0.00241152
Single-Family Detached	KY	2000-09	0	1	42	133049	0.00138481
Single-Family Detached	KY	2010s	0	1	23	97065.4	0.000409526
Single-Family Detached	KY	<1940	0	1	47	115747	0.00116026
Mobile Home	LA	1940-59	0	1	14	1966.95	2.18826e-05
Mobile Home	LA	1960-79	0	1	21	41354.9	0.00031469
Mobile Home	LA	1980-99	0	1	14	85844.4	0.000907489
Mobile Home	LA	2000-09	0	1	12	71196.3	0.000506291
Mobile Home	LA	2010s	0	1	21	38559.5	0.000208438
Mobile Home	LA	<1940	0	1	14	5083.05	7.64993e-06
Multi-Family with 2 - 4 Units	LA	1940-59	0.425913	0.574087	45	1911.63	0.000150384
Multi-Family with 2 - 4 Units	LA	1960-79	0.343127	0.656873	21	6147.81	0.00036079
Multi-Family with 2 - 4 Units	LA	1980-99	0.423997	0.576003	38	35500.8	0.000312292
Multi-Family with 2 - 4 Units	LA	2000-09	0.523685	0.476315	14	8027.16	0.000130969
Multi-Family with 2 - 4 Units	LA	2010s	0.560094	0.439906	20	5171.96	5.93461e-05
Multi-Family with 2 - 4 Units	LA	<1940	0.425913	0.574087	45	4940.09	0.000237276
Multi-Family with 5+ Units	LA	1940-59	0.456766	0.543234	13	37445.3	8.79721e-05
Multi-Family with 5+ Units	LA	1960-79	0.481439	0.518561	42	51451.9	0.000543802
Multi-Family with 5+ Units	LA	1980-99	0.517579	0.482421	58	45803.4	0.000503719
Multi-Family with 5+ Units	LA	2000-09	0.247848	0.752152	34	38323.1	0.000228606
Multi-Family with 5+ Units	LA	2010s	0.337781	0.662219	42	30414.4	0.000143046
Multi-Family with 5+ Units	LA	<1940	0.599659	0.400341	13	18116.1	9.35032e-05
Single-Family Attached	LA	1940-59	0.0730889	0.926911	18	2645.27	7.54604e-05
Single-Family Attached	LA	1960-79	0	1	24	10417.1	9.79867e-05
Single-Family Attached	LA	1980-99	0	1	26	12537.6	0.000102027
Single-Family Attached	LA	2000-09	0.0559082	0.944092	19	2468.75	4.43242e-05
Single-Family Attached	LA	2010s	0.0559082	0.944092	13	4648.76	1.58646e-05
Single-Family Attached	LA	<1940	0.0620885	0.937912	10	6835.98	5.20269e-05
Single-Family Detached	LA	1940-59	0	1	47	146379	0.00174008
Single-Family Detached	LA	1960-79	0	1	72	391496	0.00333919
Single-Family Detached	LA	1980-99	0	1	45	235822	0.00227845
Single-Family Detached	LA	2000-09	0	1	32	149137	0.00124472
Single-Family Detached	LA	2010s	0	1	22	100682	0.00057467
Single-Family Detached	LA	<1940	0	1	31	136897	0.000623576
Mobile Home	MA	1940-59	0	1	6	0	1.35056e-05
Mobile Home	MA	1960-79	0	1	18	15473.1	7.61722e-05
Mobile Home	MA	1980-99	0	1	22	4596.5	6.39506e-05
Mobile Home	MA	2000-09	0	1	10	0	1.52965e-05
Mobile Home	MA	2010s	0	1	12	0	5.54122e-06
Mobile Home	MA	<1940	0	1	6	0	5.7235e-06
Multi-Family with 2 - 4 Units	MA	1940-59	0.354334	0.645666	44	131296	0.000553109
Multi-Family with 2 - 4 Units	MA	1960-79	0.620739	0.379261	16	127182	0.000555416
Multi-Family with 2 - 4 Units	MA	1980-99	0.673592	0.326408	17	56260.4	0.000381759
Multi-Family with 2 - 4 Units	MA	2000-09	0.3877	0.6123	10	22283.7	0.000121494
Multi-Family with 2 - 4 Units	MA	2010s	0.3877	0.6123	10	13946.4	5.44369e-05
Multi-Family with 2 - 4 Units	MA	<1940	0.455885	0.544115	39	228044	0.00271486
Multi-Family with 5+ Units	MA	1940-59	0.729077	0.270923	26	63884	0.00042715
Multi-Family with 5+ Units	MA	1960-79	0.747752	0.252248	29	186961	0.00123468
Multi-Family with 5+ Units	MA	1980-99	0.913388	0.0866124	12	78015.9	0.000913658
Multi-Family with 5+ Units	MA	2000-09	0.488928	0.511072	17	48277.1	0.000426489
Multi-Family with 5+ Units	MA	2010s	0.783355	0.216645	14	67325	0.000292727
Multi-Family with 5+ Units	MA	<1940	0.786195	0.213805	24	124596	0.00118623
Single-Family Attached	MA	1940-59	0.17025	0.82975	19	21281.6	9.32528e-05
Single-Family Attached	MA	1960-79	0.183034	0.816966	19	0	0.000162178
Single-Family Attached	MA	1980-99	0.0810969	0.918903	24	60556.3	0.00035355
Single-Family Attached	MA	2000-09	0.183765	0.816235	11	27173.6	0.00018466
Single-Family Attached	MA	2010s	0.183765	0.816235	13	14361.4	8.23547e-05
Single-Family Attached	MA	<1940	0.177492	0.822508	16	31401.9	0.000261926
Single-Family Detached	MA	1940-59	0	1	140	357420	0.00245099
Single-Family Detached	MA	1960-79	0	1	74	283506	0.00260323
Single-Family Detached	MA	1980-99	0	1	77	310100	0.00218745
Single-Family Detached	MA	2000-09	0	1	20	78709	0.000753872
Single-Family Detached	MA	2010s	0	1	16	45650	0.000264757
Single-Family Detached	MA	<1940	0	1	92	315476	0.00271992
Mobile Home	MD	1940-59	0	1	14	10164.5	7.58629e-06
Mobile Home	MD	1960-79	0	1	43	0	6.43042e-05
Mobile Home	MD	1980-99	0	1	112	6763.98	0.000115233
Mobile Home	MD	2000-09	0	1	35	0	4.65643e-05
Mobile Home	MD	2010s	0	1	19	0	1.28589e-05
Mobile Home	MD	<1940	0	1	14	0	4.66143e-06
Multi-Family with 2 - 4 Units	MD	1940-59	0.341811	0.658189	34	28020.5	0.000133121
Multi-Family with 2 - 4 Units	MD	1960-79	0.418511	0.581489	48	33851.5	0.000151534
Multi-Family with 2 - 4 Units	MD	1980-99	0.312325	0.687675	43	27551.7	0.000127895
Multi-Family with 2 - 4 Units	MD	2000-09	0.313703	0.686297	19	6615.49	3.15981e-05
Multi-Family with 2 - 4 Units	MD	2010s	0.52869	0.47131	12	6255.71	1.05351e-05
Multi-Family with 2 - 4 Units	MD	<1940	0.561139	0.438861	23	27362.8	0.000213869
Multi-Family with 5+ Units	MD	1940-59	0.550315	0.449685	72	47541.1	0.000348419
Multi-Family with 5+ Units	MD	1960-79	0.690059	0.309941	15	138007	0.00134299
Multi-Family with 5+ Units	MD	1980-99	0.615194	0.384806	25	242581	0.00128881
Multi-Family with 5+ Units	MD	2000-09	0.606547	0.393453	10	89021.3	0.000513443
Multi-Family with 5+ Units	MD	2010s	0.374218	0.625782	74	24273.2	0.000323621
Multi-Family with 5+ Units	MD	<1940	0.667289	0.332711	45	16261.4	0.00022125
Single-Family Attached	MD	1940-59	0.0473146	0.952685	19	54767.7	0.000716908
Single-Family Attached	MD	1960-79	0.0385126	0.961487	17	80581.8	0.000626231
Single-Family Attached	MD	1980-99	0.0174159	0.982584	22	100669	0.00123681
Single-Family Attached	MD	2000-09	0.0159756	0.984024	11	46184.3	0.000392038
Single-Family Attached	MD	2010s	0.0159756	0.984024	11	42200.7	0.000194115
Single-Family Attached	MD	<1940	0.0175074	0.982493	12	48287.6	0.000708107
Single-Family Detached	MD	1940-59	0	1	44	199077	0.00183866
Single-Family Detached	MD	1960-79	0	1	60	347661	0.00243987
Single-Family Detached	MD	1980-99	0	1	71	410842	0.00257785
Single-Family Detached	MD	2000-09	0	1	20	107283	0.00105566
Single-Family Detached	MD	2010s	0	1	224	27335.7	0.000323833
Single-Family Detached	MD	<1940	0	1	23	112174	0.000998135
Mobile Home	ME	1940-59	0	1	6	2940.12	6.30774e-06
Mobile Home	ME	1960-79	0	1	18	11317.9	0.000115083
Mobile Home	ME	1980-99	0	1	22	19308.5	0.000237232
Mobile Home	ME	2000-09	0	1	10	8390.2	7.43291e-05
Mobile Home	ME	2010s	0	1	12	4239.19	1.53718e-05
Mobile Home	ME	<1940	0	1	6	0	2.76528e-06
Multi-Family with 2 - 4 Units	ME	1940-59	0.889751	0.110249	10	11972.4	6.9202e-05
Multi-Family with 2 - 4 Units	ME	1960-79	0.601268	0.398732	43	7565.18	0.000101379
Multi-Family with 2 - 4 Units	ME	1980-99	0.673592	0.326408	17	17661.3	0.000103591
Multi-Family with 2 - 4 Units	ME	2000-09	0.3877	0.6123	10	0	3.0086e-05
Multi-Family with 2 - 4 Units	ME	2010s	0.3877	0.6123	10	6020.9	1.13537e-05
Multi-Family with 2 - 4 Units	ME	<1940	0.889751	0.110249	10	30939.4	0.000234932
Multi-Family with 5+ Units	ME	1940-59	0.801367	0.198633	62	11319.4	4.85775e-05
Multi-Family with 5+ Units	ME	1960-79	0.695859	0.304141	60	11006.5	0.000102792
Multi-Family with 5+ Units	ME	1980-99	0.706309	0.293691	53	21178.5	0.000130282
Multi-Family with 5+ Units	ME	2000-09	0.488928	0.511072	17	6164.7	4.8098e-05
Multi-Family with 5+ Units	ME	2010s	0.714109	0.285891	25	0	2.12548e-05
Multi-Family with 5+ Units	ME	<1940	0.781155	0.218845	51	18722.7	0.000139163
Single-Family Attached	ME	1940-59	0.168737	0.831263	37	2231.19	7.42198e-06
Single-Family Attached	ME	1960-79	0.183034	0.816966	19	2326.11	1.80926e-05
Single-Family Attached	ME	1980-99	0.0810969	0.918903	56	10275.4	4.47238e-05
Single-Family Attached	ME	2000-09	0.183765	0.816235	23	0	2.88252e-05
Single-Family Attached	ME	2010s	0.183765	0.816235	13	0	7.17036e-06
Single-Family Attached	ME	<1940	0.177492	0.822508	29	2353.44	2.20645e-05
Single-Family Detached	ME	1940-59	0	1	45	60020.2	0.000517901
Single-Family Detached	ME	1960-79	0	1	31	69053.3	0.000795628
Single-Family Detached	ME	1980-99	0	1	33	77795.3	0.000919801
Single-Family Detached	ME	2000-09	0	1	30	69554.7	0.000522154
Single-Family Detached	ME	2010s	0	1	16	25463.9	0.000150523
Single-Family Detached	ME	<1940	0	1	31	56714.5	0.00089798
Mobile Home	MI	1940-59	0	1	4	3487.08	3.84253e-05
Mobile Home	MI	1960-79	0	1	16	63378.3	0.000522292
Mobile Home	MI	1980-99	0	1	25	70569.3	0.000923859
Mobile Home	MI	2000-09	0	1	20	15845.5	0.000201183
Mobile Home	MI	2010s	0	1	11	24163.8	9.66551e-05
Mobile Home	MI	<1940	0	1	4	9011.42	1.69405e-05
Multi-Family with 2 - 4 Units	MI	1940-59	0.487742	0.512258	41	49906.5	0.000285081
Multi-Family with 2 - 4 Units	MI	1960-79	0.399147	0.600853	22	91400.9	0.000445188
Multi-Family with 2 - 4 Units	MI	1980-99	0.357342	0.642658	19	98036.9	0.000335066
Multi-Family with 2 - 4 Units	MI	2000-09	0.371913	0.628087	12	50179.5	9.84544e-05
Multi-Family with 2 - 4 Units	MI	2010s	0.371913	0.628087	12	0	3.23768e-05
Multi-Family with 2 - 4 Units	MI	<1940	0.390813	0.609187	33	12451.5	0.000484144
Multi-Family with 5+ Units	MI	1940-59	0.66349	0.33651	41	15658.1	0.000396929
Multi-Family with 5+ Units	MI	1960-79	0.615527	0.384473	78	111792	0.00166751
Multi-Family with 5+ Units	MI	1980-99	0.489802	0.510198	13	181530	0.00140589
Multi-Family with 5+ Units	MI	2000-09	0.541754	0.458246	37	61156.2	0.000442278
Multi-Family with 5+ Units	MI	2010s	0.646156	0.353844	26	9571.27	0.000164382
Multi-Family with 5+ Units	MI	<1940	0.615892	0.384108	29	40464.2	0.000345375
Single-Family Attached	MI	1940-59	0.00958945	0.990411	22	19284	0.000182189
Single-Family Attached	MI	1960-79	0	1	12	58677.1	0.00037693
Single-Family Attached	MI	1980-99	0	1	14	75136.3	0.000520003
Single-Family Attached	MI	2000-09	0	1	48	31260	0.000307841
Single-Family Attached	MI	2010s	0	1	14	22625.5	5.72067e-05
Single-Family Attached	MI	<1940	0.0328217	0.967178	12	4114.67	0.000139638
Single-Family Detached	MI	1940-59	0	1	107	687362	0.00681186
Single-Family Detached	MI	1960-79	0	1	87	793271	0.00623008
Single-Family Detached	MI	1980-99	0	1	53	571653	0.00458816
Single-Family Detached	MI	2000-09	0	1	22	188608	0.00222931
Single-Family Detached	MI	2010s	0	1	75	59177	0.000530931
Single-Family Detached	MI	<1940	0	1	60	499145	0.00402715
Mobile Home	MN	1940-59	0	1	4	0	8.38992e-06
Mobile Home	MN	1960-79	0	1	17	6999.12	0.000193095
Mobile Home	MN	1980-99	0	1	27	20899.5	0.000270307
Mobile Home	MN	2000-09	0	1	14	19262.1	0.000100704
Mobile Home	MN	2010s	0	1	22	0	2.0492e-05
Mobile Home	MN	<1940	0	1	4	0	5.21677e-06
Multi-Family with 2 - 4 Units	MN	1940-59	0.582285	0.417715	16	14483.7	9.84474e-05
Multi-Family with 2 - 4 Units	MN	1960-79	0.592917	0.407083	25	62348.6	0.000162771
Multi-Family with 2 - 4 Units	MN	1980-99	0.528255	0.471745	13	7263.98	0.000135348
Multi-Family with 2 - 4 Units	MN	2000-09	0.554413	0.445587	11	21068.7	4.10475e-05
Multi-Family with 2 - 4 Units	MN	2010s	0.539139	0.460861	17	0	1.12694e-05
Multi-Family with 2 - 4 Units	MN	<1940	0.643578	0.356422	11	16843.6	0.000299488
Multi-Family with 5+ Units	MN	1940-59	0.685626	0.314374	30	12543.7	0.000235738
Multi-Family with 5+ Units	MN	1960-79	0.744016	0.255984	12	128875	0.00106729
Multi-Family with 5+ Units	MN	1980-99	0.779457	0.220543	12	137924	0.000943672
Multi-Family with 5+ Units	MN	2000-09	0.489434	0.510566	29	17416	0.000413934
Multi-Family with 5+ Units	MN	2010s	0.825241	0.174759	37	74372.1	0.000272263
Multi-Family with 5+ Units	MN	<1940	0.659859	0.340141	20	8113.53	0.000305319
Single-Family Attached	MN	1940-59	0.00769894	0.992301	13	8250.38	5.37795e-05
