Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=Finished Attic or Cathedral Ceilings	Option=None	Option=Unvented Attic	Option=Vented Attic	source_count	source_weight	sampling_probability
Middle Atlantic	Single-Family Attached	1	1980-99	0	0.582975	0.0216393	0.395386	21	48683.4	0.00096646
Middle Atlantic	Single-Family Attached	2	1980-99	0.0319686	0.606945	0.00824581	0.352841	41	240591	0.00170549
Middle Atlantic	Single-Family Attached	3	1980-99	0.099284	0.540433	0	0.360283	11	69085.3	0.000169019
Middle Atlantic	Single-Family Attached	4+	1980-99	0	1	0	0	12	0	0
Middle Atlantic	Single-Family Detached	1	1980-99	0	0.525333	0.0383782	0.436289	57	380023	0.00676246
Middle Atlantic	Single-Family Detached	2	1980-99	0.0170186	0.333785	0.0170186	0.632178	135	832512	0.00398641
Middle Atlantic	Single-Family Detached	3	1980-99	0.244639	0.433706	0	0.321654	12	11033	0.00014754
Middle Atlantic	Single-Family Detached	4+	1980-99	0	1	0	0	10	0	0
Middle Atlantic	Mobile Home	1	2000-09	0	1	0	0	20	10395.8	0.000433614
Middle Atlantic	Mobile Home	2	2000-09	0	1	0	0	20	10395.8	0
Middle Atlantic	Mobile Home	3	2000-09	0	1	0	0	20	10395.8	0
Middle Atlantic	Mobile Home	4+	2000-09	0	1	0	0	20	10395.8	0
Middle Atlantic	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	19	23887.2	9.27298e-05
Middle Atlantic	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	19	23887.2	0.000721175
Middle Atlantic	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	19	23887.2	5.80311e-05
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	19	23887.2	3.81498e-06
Middle Atlantic	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	32	74753.7	0.000104002
Middle Atlantic	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	32	74753.7	0.000558869
Middle Atlantic	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	32	74753.7	0.00054775
Middle Atlantic	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	32	74753.7	0.00109466
Middle Atlantic	Single-Family Attached	1	2000-09	0	0.417692	0.142711	0.439598	12	47679.3	0.000481574
Middle Atlantic	Single-Family Attached	2	2000-09	0	0.486054	0	0.513946	15	81083.7	0.000574082
Middle Atlantic	Single-Family Attached	3	2000-09	0	0.644082	0	0.355918	10	64393	0.000145644
Middle Atlantic	Single-Family Attached	4+	2000-09	0	1	0	0	12	0	0
Middle Atlantic	Single-Family Detached	1	2000-09	0	0.325266	0	0.674734	19	122480	0.00269092
Middle Atlantic	Single-Family Detached	2	2000-09	0.0510714	0.178087	0.0134576	0.757384	59	370375	0.00205203
Middle Atlantic	Single-Family Detached	3	2000-09	0.194951	0.372661	0.0463119	0.386075	89	6653.34	3.60144e-05
Middle Atlantic	Single-Family Detached	4+	2000-09	0	1	0	0	10	0	0
Middle Atlantic	Mobile Home	1	2010s	0	1	0	0	20	2970.26	0.000146755
Middle Atlantic	Mobile Home	2	2010s	0	1	0	0	20	2970.26	0
Middle Atlantic	Mobile Home	3	2010s	0	1	0	0	20	2970.26	0
Middle Atlantic	Mobile Home	4+	2010s	0	1	0	0	20	2970.26	0
Middle Atlantic	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	10	19241.6	3.2235e-05
Middle Atlantic	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	10	19241.6	0.000250697
Middle Atlantic	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	10	19241.6	2.14501e-05
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	10	19241.6	1.41013e-06
Middle Atlantic	Multi-Family with 5+ Units	1	2010s	0	1	0	0	42	73514.4	6.60964e-05
Middle Atlantic	Multi-Family with 5+ Units	2	2010s	0	1	0	0	42	73514.4	0.000340486
Middle Atlantic	Multi-Family with 5+ Units	3	2010s	0	1	0	0	42	73514.4	0.000360707
Middle Atlantic	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	42	73514.4	0.000754727
Middle Atlantic	Single-Family Attached	1	2010s	0	0.417692	0.142711	0.439598	12	13428.4	0.000167308
Middle Atlantic	Single-Family Attached	2	2010s	0.0833976	0.424637	0.11554	0.376426	14	60727.8	0.000215574
Middle Atlantic	Single-Family Attached	3	2010s	0	0.604552	0	0.395448	13	13108.5	4.36372e-05
Middle Atlantic	Single-Family Attached	4+	2010s	0	1	0	0	12	0	0
Middle Atlantic	Single-Family Detached	1	2010s	0	0.237594	0	0.762406	17	72793.8	0.000785027
Middle Atlantic	Single-Family Detached	2	2010s	0.0613727	0.319548	0.0617956	0.557283	34	159063	0.000553474
Middle Atlantic	Single-Family Detached	3	2010s	0.194951	0.372661	0.0463119	0.386075	89	4782.74	9.51307e-06
Middle Atlantic	Single-Family Detached	4+	2010s	0	1	0	0	10	0	0
Middle Atlantic	Mobile Home	1	<1940	0	1	0	0	101	0	3.64273e-05
Middle Atlantic	Mobile Home	2	<1940	0	1	0	0	101	0	0
Middle Atlantic	Mobile Home	3	<1940	0	1	0	0	101	0	0
Middle Atlantic	Mobile Home	4+	<1940	0	1	0	0	101	0	0
Middle Atlantic	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	61	147884	0.00212579
Middle Atlantic	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	61	147884	0.00372394
Middle Atlantic	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	61	147884	0.00118835
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	61	147884	0.00049401
Middle Atlantic	Multi-Family with 5+ Units	1	<1940	0	1	0	0	105	237215	0.000347953
Middle Atlantic	Multi-Family with 5+ Units	2	<1940	0	1	0	0	105	237215	0.000888586
Middle Atlantic	Multi-Family with 5+ Units	3	<1940	0	1	0	0	105	237215	0.00183
Middle Atlantic	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	105	237215	0.00541396
Middle Atlantic	Single-Family Attached	1	<1940	0	0.588969	0	0.411031	11	14783.5	0.00154391
Middle Atlantic	Single-Family Attached	2	<1940	0.184665	0.583663	0.0270521	0.20462	52	354205	0.0025652
Middle Atlantic	Single-Family Attached	3	<1940	0.115317	0.683335	0	0.201349	10	63267.9	0.000303417
Middle Atlantic	Single-Family Attached	4+	<1940	0	1	0	0	12	7088.62	0
Middle Atlantic	Single-Family Detached	1	<1940	0	0.188757	0.121323	0.689921	48	283571	0.00769748
Middle Atlantic	Single-Family Detached	2	<1940	0.138735	0.260957	0.0701339	0.530174	240	1.46984e+06	0.00705915
Middle Atlantic	Single-Family Detached	3	<1940	0.429416	0.376575	0	0.194009	13	75666.9	0.000235611
Middle Atlantic	Single-Family Detached	4+	<1940	0	1	0	0	10	12379.8	0
Mountain North	Mobile Home	1	1940-59	0	1	0	0	258	573.825	3.73287e-05
Mountain North	Mobile Home	2	1940-59	0	1	0	0	258	573.825	0
Mountain North	Mobile Home	3	1940-59	0	1	0	0	258	573.825	0
Mountain North	Mobile Home	4+	1940-59	0	1	0	0	258	573.825	0
Mountain North	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	39	3424.23	2.32436e-05
Mountain North	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	39	3424.23	0.000175398
Mountain North	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	39	3424.23	4.35221e-05
Mountain North	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	39	3424.23	8.08022e-06
Mountain North	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	72	6596.4	1.9699e-05
Mountain North	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	72	6596.4	8.91877e-05
Mountain North	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	72	6596.4	6.89172e-05
Mountain North	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	72	6596.4	9.67222e-05
Mountain North	Single-Family Attached	1	1940-59	0	0.6269	0.0284607	0.34464	28	18224.3	7.22026e-05
Mountain North	Single-Family Attached	2	1940-59	0	0.881664	0	0.118336	12	981.676	3.38513e-05
Mountain North	Single-Family Attached	3	1940-59	0.0273293	0.787784	0.0273293	0.157558	32	0	1.69033e-06
Mountain North	Single-Family Attached	4+	1940-59	0	1	0	0	14	0	0
Mountain North	Single-Family Detached	1	1940-59	0	0.498176	0.00449323	0.497331	116	304945	0.00254051
Mountain North	Single-Family Detached	2	1940-59	0.0244456	0.453446	0.014093	0.508016	53	98826.7	0.000626141
Mountain North	Single-Family Detached	3	1940-59	0.0210452	0.599602	0.0189829	0.36037	83	8913.66	2.0305e-05
Mountain North	Single-Family Detached	4+	1940-59	0	1	0	0	13	0	0
Mountain North	Mobile Home	1	1960-79	0	1	0	0	31	23323.5	0.000818806
Mountain North	Mobile Home	2	1960-79	0	1	0	0	31	23323.5	0
Mountain North	Mobile Home	3	1960-79	0	1	0	0	31	23323.5	0
Mountain North	Mobile Home	4+	1960-79	0	1	0	0	31	23323.5	0
Mountain North	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	16	29648.1	9.79087e-05
Mountain North	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	16	29648.1	0.000446731
Mountain North	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	16	29648.1	0.000115436
Mountain North	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	16	29648.1	1.02497e-06
Mountain North	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	34	57379	0.000118487
Mountain North	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	34	57379	0.000638206
Mountain North	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	34	57379	0.00055838
Mountain North	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	34	57379	0.000373557
Mountain North	Single-Family Attached	1	1960-79	0	0.700327	0.0265488	0.273124	66	22645.9	0.000250312
Mountain North	Single-Family Attached	2	1960-79	0.0232158	0.595412	0.0579309	0.323441	52	21246.1	0.000164887
Mountain North	Single-Family Attached	3	1960-79	0.0273293	0.787784	0.0273293	0.157558	32	7127.29	4.29016e-06
Mountain North	Single-Family Attached	4+	1960-79	0	1	0	0	14	0	0
Mountain North	Single-Family Detached	1	1960-79	0	0.620428	0.0164421	0.36313	132	402653	0.00423142
Mountain North	Single-Family Detached	2	1960-79	0.0124525	0.336758	0.0220052	0.628784	64	206974	0.00125318
Mountain North	Single-Family Detached	3	1960-79	0	0.57851	0	0.42149	15	11979.9	8.34795e-05
Mountain North	Single-Family Detached	4+	1960-79	0	1	0	0	13	12868.1	0
Mountain North	Mobile Home	1	1980-99	0	1	0	0	35	25456.4	0.000851148
Mountain North	Mobile Home	2	1980-99	0	1	0	0	35	25456.4	0
Mountain North	Mobile Home	3	1980-99	0	1	0	0	35	25456.4	0
Mountain North	Mobile Home	4+	1980-99	0	1	0	0	35	25456.4	0
Mountain North	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	69	13727.8	7.57919e-05
Mountain North	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	69	13727.8	0.00050701
Mountain North	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	69	13727.8	6.23204e-05
Mountain North	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	69	13727.8	3.18353e-06
Mountain North	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	32	53362.1	0.0001356
Mountain North	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	32	53362.1	0.000773357
Mountain North	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	32	53362.1	0.000751451
Mountain North	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	32	53362.1	0.000241724
Mountain North	Single-Family Attached	1	1980-99	0	0.682299	0	0.317701	12	36371.4	0.000310369
Mountain North	Single-Family Attached	2	1980-99	0	0.528404	0	0.471596	15	41359.2	0.000388982
Mountain North	Single-Family Attached	3	1980-99	0.0273293	0.787784	0.0273293	0.157558	32	0	2.50746e-05
Mountain North	Single-Family Attached	4+	1980-99	0	1	0	0	14	0	0
Mountain North	Single-Family Detached	1	1980-99	0	0.38892	0.0175786	0.593501	117	427217	0.00395623
Mountain North	Single-Family Detached	2	1980-99	0.018288	0.486611	0.0201784	0.474923	98	417634	0.00230673
Mountain North	Single-Family Detached	3	1980-99	0	0.714537	0	0.285463	13	48389.8	8.55904e-05
Mountain North	Single-Family Detached	4+	1980-99	0	1	0	0	13	6633.21	0
Mountain North	Mobile Home	1	2000-09	0	1	0	0	10	7299.26	0.000237144
Mountain North	Mobile Home	2	2000-09	0	1	0	0	10	7299.26	0
Mountain North	Mobile Home	3	2000-09	0	1	0	0	10	7299.26	0
Mountain North	Mobile Home	4+	2000-09	0	1	0	0	10	7299.26	0
Mountain North	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	26	4287.57	2.51218e-05
Mountain North	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	26	4287.57	0.000195376
Mountain North	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	26	4287.57	2.26995e-05
Mountain North	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	26	4287.57	1.49227e-06
Mountain North	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	13	22913.6	5.36686e-05
Mountain North	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	13	22913.6	0.000327577
Mountain North	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	13	22913.6	0.000253738
Mountain North	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	13	22913.6	0.000291465
Mountain North	Single-Family Attached	1	2000-09	0	0.687688	0	0.312312	10	21621.7	0.000216637
Mountain North	Single-Family Attached	2	2000-09	0.0346202	0.464502	0.0839594	0.416919	15	45120.5	0.000269825
Mountain North	Single-Family Attached	3	2000-09	0.0482181	0.760632	0.0482181	0.142932	20	3776.9	4.71165e-05
Mountain North	Single-Family Attached	4+	2000-09	0	1	0	0	14	0	0
Mountain North	Single-Family Detached	1	2000-09	0	0.341509	0.0279792	0.630512	72	236342	0.00246674
Mountain North	Single-Family Detached	2	2000-09	0.0301141	0.408088	0.0186912	0.543107	80	290118	0.00191185
Mountain North	Single-Family Detached	3	2000-09	0.0214897	0.389962	0.0214897	0.567059	23	18737.6	3.49769e-05
Mountain North	Single-Family Detached	4+	2000-09	0	1	0	0	13	0	0
Mountain North	Mobile Home	1	2010s	0	1	0	0	15	3886	9.05388e-05
Mountain North	Mobile Home	2	2010s	0	1	0	0	15	3886	0
Mountain North	Mobile Home	3	2010s	0	1	0	0	15	3886	0
Mountain North	Mobile Home	4+	2010s	0	1	0	0	15	3886	0
Mountain North	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	26	5964.56	1.11904e-05
Mountain North	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	26	5964.56	8.70292e-05
Mountain North	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	26	5964.56	1.10716e-05
Mountain North	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	26	5964.56	7.2785e-07
Mountain North	Multi-Family with 5+ Units	1	2010s	0	1	0	0	20	34845.2	3.15803e-05
Mountain North	Multi-Family with 5+ Units	2	2010s	0	1	0	0	20	34845.2	0.000171005
Mountain North	Multi-Family with 5+ Units	3	2010s	0	1	0	0	20	34845.2	0.000176953
Mountain North	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	20	34845.2	0.000296962
Mountain North	Single-Family Attached	1	2010s	0	0.687688	0	0.312312	10	10470.9	8.77531e-05
Mountain North	Single-Family Attached	2	2010s	0.0508031	0.375728	0.0800275	0.493441	23	31055.7	9.97591e-05
Mountain North	Single-Family Attached	3	2010s	0.0482181	0.760632	0.0482181	0.142932	20	17445	2.10682e-05
Mountain North	Single-Family Attached	4+	2010s	0	1	0	0	14	0	0
Mountain North	Single-Family Detached	1	2010s	0	0.329493	0.0352306	0.635276	49	152911	0.000879011
Mountain North	Single-Family Detached	2	2010s	0.00733382	0.516274	0.00733382	0.469058	46	153887	0.000626886
Mountain North	Single-Family Detached	3	2010s	0.0214897	0.389962	0.0214897	0.567059	23	15260.1	1.12493e-05
Mountain North	Single-Family Detached	4+	2010s	0	1	0	0	13	7012.8	0
Mountain North	Mobile Home	1	<1940	0	1	0	0	258	0	2.13392e-05
Mountain North	Mobile Home	2	<1940	0	1	0	0	258	0	0
Mountain North	Mobile Home	3	<1940	0	1	0	0	258	0	0
Mountain North	Mobile Home	4+	<1940	0	1	0	0	258	0	0
Mountain North	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	39	7658.71	5.87762e-05
Mountain North	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	39	7658.71	0.000102964
Mountain North	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	39	7658.71	4.74367e-05
Mountain North	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	39	7658.71	1.97199e-05
Mountain North	Multi-Family with 5+ Units	1	<1940	0	1	0	0	72	7189.69	1.60219e-05
Mountain North	Multi-Family with 5+ Units	2	<1940	0	1	0	0	72	7189.69	3.901e-05
Mountain North	Multi-Family with 5+ Units	3	<1940	0	1	0	0	72	7189.69	7.51433e-05
Mountain North	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	72	7189.69	0.000136818
Mountain North	Single-Family Attached	1	<1940	0	0.6269	0.0284607	0.34464	28	9862.46	3.10267e-05
Mountain North	Single-Family Attached	2	<1940	0	0.881664	0	0.118336	12	2536.88	4.86865e-05
Mountain North	Single-Family Attached	3	<1940	0.0273293	0.787784	0.0273293	0.157558	32	0	6.06046e-06
Mountain North	Single-Family Attached	4+	<1940	0	1	0	0	14	0	0
Mountain North	Single-Family Detached	1	<1940	0	0.326585	0.0221394	0.651276	69	169803	0.00148301
Mountain North	Single-Family Detached	2	<1940	0.0622503	0.603278	0.0358877	0.298584	41	100291	0.000912328
Mountain North	Single-Family Detached	3	<1940	0.0210452	0.599602	0.0189829	0.36037	83	4456.61	2.15854e-05
Mountain North	Single-Family Detached	4+	<1940	0	1	0	0	13	0	0
Mountain South	Mobile Home	1	1940-59	0	1	0	0	258	5591.76	6.53305e-05
Mountain South	Mobile Home	2	1940-59	0	1	0	0	258	5591.76	0
Mountain South	Mobile Home	3	1940-59	0	1	0	0	258	5591.76	0
Mountain South	Mobile Home	4+	1940-59	0	1	0	0	258	5591.76	0
Mountain South	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	39	3974.97	1.40525e-05
Mountain South	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	39	3974.97	0.000106041
Mountain South	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	39	3974.97	3.39009e-05
Mountain South	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	39	3974.97	6.29397e-06
Mountain South	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	72	5642.14	1.55545e-05
Mountain South	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	72	5642.14	7.54516e-05
Mountain South	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	72	5642.14	5.81021e-05
Mountain South	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	72	5642.14	9.03281e-05
Mountain South	Single-Family Attached	1	1940-59	0	0.6269	0.0284607	0.34464	28	11974.5	6.8062e-05
Mountain South	Single-Family Attached	2	1940-59	0	0.881664	0	0.118336	12	6379.73	3.0019e-05
Mountain South	Single-Family Attached	3	1940-59	0.0273293	0.787784	0.0273293	0.157558	32	0	1.44373e-06
Mountain South	Single-Family Attached	4+	1940-59	0	1	0	0	14	0	0
Mountain South	Single-Family Detached	1	1940-59	0	0.578618	0.0374708	0.383911	53	216028	0.00181658
Mountain South	Single-Family Detached	2	1940-59	0.0548861	0.459214	0.0245239	0.461376	155	1281.8	0.000399041
Mountain South	Single-Family Detached	3	1940-59	0.0210452	0.599602	0.0189829	0.36037	83	0	1.20407e-05
Mountain South	Single-Family Detached	4+	1940-59	0	1	0	0	13	0	0
Mountain South	Mobile Home	1	1960-79	0	1	0	0	19	26521.2	0.00117145
Mountain South	Mobile Home	2	1960-79	0	1	0	0	19	26521.2	0
Mountain South	Mobile Home	3	1960-79	0	1	0	0	19	26521.2	0
Mountain South	Mobile Home	4+	1960-79	0	1	0	0	19	26521.2	0
Mountain South	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	10	19612	9.11592e-05
Mountain South	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	10	19612	0.000415935
Mountain South	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	10	19612	0.000122608
Mountain South	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	10	19612	1.08865e-06
Mountain South	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	30	57546.7	0.000109228
Mountain South	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	30	57546.7	0.000563554
Mountain South	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	30	57546.7	0.000453865
Mountain South	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	30	57546.7	0.000338999
Mountain South	Single-Family Attached	1	1960-79	0	0.880113	0	0.119887	14	30234.8	0.000313525
Mountain South	Single-Family Attached	2	1960-79	0.0232158	0.595412	0.0579309	0.323441	52	9951.26	0.000201881
Mountain South	Single-Family Attached	3	1960-79	0.0273293	0.787784	0.0273293	0.157558	32	0	4.98568e-06
Mountain South	Single-Family Attached	4+	1960-79	0	1	0	0	14	0	0
Mountain South	Single-Family Detached	1	1960-79	0	0.579456	0.0215349	0.399009	112	511083	0.00392291
Mountain South	Single-Family Detached	2	1960-79	0	0.81603	0	0.18397	14	59356.4	0.00104598
Mountain South	Single-Family Detached	3	1960-79	0	0.57851	0	0.42149	15	14009.3	7.05424e-05
Mountain South	Single-Family Detached	4+	1960-79	0	1	0	0	13	0	0
Mountain South	Mobile Home	1	1980-99	0	1	0	0	36	55351.4	0.00199868
Mountain South	Mobile Home	2	1980-99	0	1	0	0	36	55351.4	0
Mountain South	Mobile Home	3	1980-99	0	1	0	0	36	55351.4	0
Mountain South	Mobile Home	4+	1980-99	0	1	0	0	36	55351.4	0
Mountain South	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	15	31787.8	0.000104917
Mountain South	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	15	31787.8	0.000701844
Mountain South	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	15	31787.8	9.91127e-05
Mountain South	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	15	31787.8	5.063e-06
Mountain South	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	33	65123.7	0.000201361
Mountain South	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	33	65123.7	0.00123347
Mountain South	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	33	65123.7	0.00102271
Mountain South	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	33	65123.7	0.000375401
Mountain South	Single-Family Attached	1	1980-99	0	0.756737	0.0305856	0.212677	20	57137.4	0.000280661
Mountain South	Single-Family Attached	2	1980-99	0.0395046	0.605893	0.0401695	0.314432	76	16211.9	0.000356886
Mountain South	Single-Family Attached	3	1980-99	0.0273293	0.787784	0.0273293	0.157558	32	0	2.37286e-05
Mountain South	Single-Family Attached	4+	1980-99	0	1	0	0	14	0	0
Mountain South	Single-Family Detached	1	1980-99	0	0.510229	0.0563436	0.433428	144	756040	0.00503275
Mountain South	Single-Family Detached	2	1980-99	0.0534863	0.513212	0.0239055	0.409396	56	273985	0.00284162
Mountain South	Single-Family Detached	3	1980-99	0.0380884	0.675342	0.0329751	0.253594	37	4457.88	0.000104934
Mountain South	Single-Family Detached	4+	1980-99	0	1	0	0	13	3988.92	0
Mountain South	Mobile Home	1	2000-09	0	1	0	0	10	12665.4	0.000604287
Mountain South	Mobile Home	2	2000-09	0	1	0	0	10	12665.4	0
Mountain South	Mobile Home	3	2000-09	0	1	0	0	10	12665.4	0
Mountain South	Mobile Home	4+	2000-09	0	1	0	0	10	12665.4	0
Mountain South	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	26	7048.11	3.00853e-05
Mountain South	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	26	7048.11	0.000233978
Mountain South	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	26	7048.11	3.21427e-05
Mountain South	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	26	7048.11	2.11307e-06
Mountain South	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	23	43120.6	5.87884e-05
Mountain South	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	23	43120.6	0.000385382
Mountain South	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	23	43120.6	0.000268573
Mountain South	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	23	43120.6	0.000380054
Mountain South	Single-Family Attached	1	2000-09	0	0.574361	0	0.425639	15	20968.4	0.000122775
Mountain South	Single-Family Attached	2	2000-09	0.0496664	0.475093	0.0496664	0.425574	10	27391	0.000153467
Mountain South	Single-Family Attached	3	2000-09	0.0482181	0.760632	0.0482181	0.142932	20	2354.23	2.63029e-05
Mountain South	Single-Family Attached	4+	2000-09	0	1	0	0	14	0	0
Mountain South	Single-Family Detached	1	2000-09	0	0.406153	0.0283447	0.565503	109	484318	0.00354637
Mountain South	Single-Family Detached	2	2000-09	0.081344	0.340211	0.0335772	0.544868	45	214025	0.00271942
Mountain South	Single-Family Detached	3	2000-09	0.0214897	0.389962	0.0214897	0.567059	23	0	5.00765e-05
Mountain South	Single-Family Detached	4+	2000-09	0	1	0	0	13	0	0
Mountain South	Mobile Home	1	2010s	0	1	0	0	15	6576.42	0.000147566
Mountain South	Mobile Home	2	2010s	0	1	0	0	15	6576.42	0
Mountain South	Mobile Home	3	2010s	0	1	0	0	15	6576.42	0
Mountain South	Mobile Home	4+	2010s	0	1	0	0	15	6576.42	0
Mountain South	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	26	3504.86	8.07929e-06
Mountain South	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	26	3504.86	6.2834e-05
Mountain South	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	26	3504.86	8.33721e-06
Mountain South	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	26	3504.86	5.4809e-07
Mountain South	Multi-Family with 5+ Units	1	2010s	0	1	0	0	29	9850.15	2.18948e-05
Mountain South	Multi-Family with 5+ Units	2	2010s	0	1	0	0	29	9850.15	0.000132154
Mountain South	Multi-Family with 5+ Units	3	2010s	0	1	0	0	29	9850.15	0.000109309
Mountain South	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	29	9850.15	0.000188474
Mountain South	Single-Family Attached	1	2010s	0	0.574361	0	0.425639	15	13694.6	2.98136e-05
Mountain South	Single-Family Attached	2	2010s	0.0426736	0.548998	0.0426736	0.365655	12	4488.46	3.45412e-05
Mountain South	Single-Family Attached	3	2010s	0.0482181	0.760632	0.0482181	0.142932	20	2698.2	7.48643e-06
Mountain South	Single-Family Attached	4+	2010s	0	1	0	0	14	0	0
Mountain South	Single-Family Detached	1	2010s	0	0.467945	0.110545	0.42151	53	214898	0.000789498
Mountain South	Single-Family Detached	2	2010s	0	0.397773	0	0.602227	27	110165	0.000604159
Mountain South	Single-Family Detached	3	2010s	0.0214897	0.389962	0.0214897	0.567059	23	7872.06	1.07409e-05
Mountain South	Single-Family Detached	4+	2010s	0	1	0	0	13	0	0
Mountain South	Mobile Home	1	<1940	0	1	0	0	258	0	1.72068e-05
