Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Heating Setpoint Has Offset	Dependency=HVAC Has Zonal Electric Heating	Option=0F	Option=3F	Option=6F	Option=12F	source_count	source_weight	sampling_probability
7B	Multi-Family with 2 - 4 Units	Yes	No	0	0.770882	0.229118	0	11	9139.16	2.42772e-05
7B	Multi-Family with 5+ Units	No	No	1	0	0	0	19	0	0.000108659
7B	Multi-Family with 5+ Units	Yes	No	0	0.770882	0.229118	0	11	0	8.06698e-05
7B	Single-Family Attached	No	No	1	0	0	0	176	0	4.15167e-05
7B	Single-Family Attached	Yes	No	0	0.554512	0.379038	0.0664501	206	821.043	3.08226e-05
7B	Single-Family Detached	No	No	1	0	0	0	176	15017.6	0.000362858
7B	Single-Family Detached	Yes	No	0	0.554512	0.379038	0.0664501	206	1189.1	0.000269391
7B	Mobile Home	No	Yes	1	0	0	0	13	0	1.48959e-06
7B	Mobile Home	Yes	Yes	0	0.642678	0.123398	0.233924	14	0	1.49657e-06
7B	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	11	0	3.7786e-06
7B	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.535777	0.349533	0.11469	20	0	3.79633e-06
7B	Multi-Family with 5+ Units	No	Yes	1	0	0	0	11	0	1.86052e-05
7B	Multi-Family with 5+ Units	Yes	Yes	0	0.535777	0.349533	0.11469	20	0	1.86925e-05
7B	Single-Family Attached	No	Yes	1	0	0	0	13	1028.56	3.83904e-06
7B	Single-Family Attached	Yes	Yes	0	0.642678	0.123398	0.233924	14	0	3.85705e-06
7B	Single-Family Detached	No	Yes	1	0	0	0	13	0	1.95055e-05
7B	Single-Family Detached	Yes	Yes	0	0.642678	0.123398	0.233924	14	1033.39	1.9597e-05
8AK	Mobile Home	No	No	1	0	0	0	26	944.437	1.8442e-05
8AK	Mobile Home	Yes	No	0	0.361358	0.515108	0.123534	20	0	1.35783e-05
8AK	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	28	1078.84	3.59771e-05
8AK	Multi-Family with 2 - 4 Units	Yes	No	0	0.658992	0.258555	0.0824537	10	1088.91	2.46973e-05
8AK	Multi-Family with 5+ Units	No	No	1	0	0	0	28	2185.89	3.26805e-05
8AK	Multi-Family with 5+ Units	Yes	No	0	0.658992	0.258555	0.0824537	10	0	2.24342e-05
8AK	Single-Family Attached	No	No	1	0	0	0	26	3156.59	1.64247e-05
8AK	Single-Family Attached	Yes	No	0	0.361358	0.515108	0.123534	20	1202.34	1.2093e-05
8AK	Single-Family Detached	No	No	1	0	0	0	20	19036.4	0.000185431
8AK	Single-Family Detached	Yes	No	0	0.388799	0.478286	0.132915	18	15833.1	0.000154228
8AK	Mobile Home	No	Yes	1	0	0	0	20	0	3.94469e-07
8AK	Mobile Home	Yes	Yes	0	0.599009	0.261893	0.139099	4	0	0
8AK	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	12	0	1.20696e-07
8AK	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.599009	0.261893	0.139099	4	0	0
8AK	Multi-Family with 5+ Units	No	Yes	1	0	0	0	12	0	1.07525e-07
8AK	Multi-Family with 5+ Units	Yes	Yes	0	0.599009	0.261893	0.139099	4	0	0
8AK	Single-Family Attached	No	Yes	1	0	0	0	20	2016.16	1.99863e-07
8AK	Single-Family Attached	Yes	Yes	0	0.599009	0.261893	0.139099	4	0	0
8AK	Single-Family Detached	No	Yes	1	0	0	0	20	862.757	2.64924e-06
8AK	Single-Family Detached	Yes	Yes	0	0.599009	0.261893	0.139099	4	0	0
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: Magnitude of the heating setpoint offset.
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping buildings into Single-Family and Multi-Family only and lumping nearby climate zones within  A/B regions and separately 7AK and 8AK 3) lumping all building types together and lumping climate zones within A/B regions and separately 7AK and 8AK
