,Heating Dry Bulb Temperature 99%,Cooling Dry Bulb Temperature 1%
Porter Co Muni,-15.0,31.1
Terre Haute Intl Hu,-13.1,32.2
Delaware Co Johnson,-13.7,31.1
Cincinnati Greater,-11.5,31.8
Shelbyville Muni,-12.5,31.3
South Bend Stjosep,-14.6,31.1
Bowman Fld,-9.1,32.8
Shelbyville Muni,-12.5,31.3
Huntingburg,-10.2,32.3
Porter Co Muni,-15.0,31.1
Branch Co Mem,-14.1,30.8
Lawrenceville Vincen,-11.2,32.8
Cincinnati Greater,-11.5,31.8
Purdue Univ,-14.6,32.1
Grissom Arb,-14.8,31.5
Butler Co Rgnl,-12.3,32.3
Evansville Regional,-10.1,33.0
Terre Haute Intl Hu,-13.1,32.2
Terre Haute Intl Hu,-13.1,32.2
Grissom Arb,-14.8,31.5
Purdue Univ,-14.6,32.1
Evansville Regional,-10.1,33.0
Louisville Standifo,-8.9,33.1
Delaware Co Johnson,-13.7,31.1
Fort Wayne Baer Fld,-15.0,31.2
Purdue Univ,-14.6,32.1
Fort Wayne Baer Fld,-15.0,31.2
Creston Muni,-17.5,32.3
Creston Muni,-17.5,32.3
Decorah Muni,-19.2,30.0
Ottumwa Industrial,-17.5,32.2
Audubon Co,-17.8,32.3
Cedar Rapids Muni,-19.3,31.1
Waterloo Municipal,-20.5,31.3
Boone Muni,-17.7,31.9
Waterloo Municipal,-20.5,31.3
Waterloo Municipal,-20.5,31.3
Storm Lake Muni,-19.8,32.2
Waterloo Municipal,-20.5,31.3
Fort Dodge Awos,-20.8,31.3
Arthur N Neu,-18.0,32.4
Atlantic Muni,-17.8,32.5
Muscatine Muni,-16.1,32.8
Mason City Muni,-21.6,30.9
Storm Lake Muni,-19.8,32.2
Waterloo Municipal,-20.5,31.3
Lamoni Muni Airport,-17.1,32.0
Spencer,-22.1,31.4
Prairie Du Chien Mun,-18.0,30.1
Clinton Muni,-18.5,31.1
Denison Municipal,-17.6,32.3
Des Moines Intl,-17.9,32.0
Ottumwa Industrial,-17.5,32.2
Lamoni Muni Airport,-17.1,32.0
Monticello Rgnl,-18.9,31.1
Southeast Iowa Rgnl,-16.7,32.4
Spencer,-22.1,31.4
Dubuque Municipal,-19.4,29.9
Estherville Muni,-22.0,30.9
Decorah Muni,-19.2,30.0
Mason City Muni,-21.6,30.9
Mason City Muni,-21.6,30.9
Shenandoah Muni,-16.2,33.8
Arthur N Neu,-18.0,32.4
Marshall Town Muni,-19.0,31.0
Audubon Co,-17.8,32.3
Webster City Muni,-19.0,32.3
Clarion Muni,-20.1,32.0
Clarion Muni,-20.1,32.0
Omaha,-17.8,32.7
Washington Muni,-16.1,32.5
Decorah Muni,-19.2,30.0
Fort Dodge Awos,-20.8,31.3
Storm Lake Muni,-19.8,32.2
Cedar Rapids Muni,-19.3,31.1
Dubuque Municipal,-19.4,29.9
Newton Muni,-17.4,31.3
Fairfield Muni,-17.0,32.6
Iowa City Muni,-17.5,32.0
Monticello Rgnl,-18.9,31.1
Fairfield Muni,-17.0,32.6
Algona,-20.1,31.3
Keokuk Muni,-13.8,32.6
Cedar Rapids Muni,-19.3,31.1
Muscatine Muni,-16.1,32.8
Chariton Muni,-16.3,32.4
Sheldon Muni,-20.1,32.1
Des Moines Intl,-17.9,32.0
Ottumwa Industrial,-17.5,32.2
Knoxville,-16.0,32.3
Marshall Town Muni,-19.0,31.0
Offutt Afb,-16.4,32.8
Austin Muni,-22.0,29.5
Tekamah Muni,-18.0,32.6
Knoxville,-16.0,32.3
Red Oak Muni,-16.3,33.7
Muscatine Muni,-16.1,32.8
Sheldon Muni,-20.1,32.1
Sheldon Muni,-20.1,32.1
Schenck Fld,-17.1,32.7
Estherville Muni,-22.0,30.9
Le Mars Muni,-18.7,32.4
Fort Dodge Awos,-20.8,31.3
Des Moines Intl,-17.9,32.0
Council Bluffs Muni,-16.3,32.6
Newton Muni,-17.4,31.3
Creston Muni,-17.5,32.3
Storm Lake Muni,-19.8,32.2
Davenport Muni,-17.6,31.1
Atlantic Muni,-17.8,32.5
Orange City Muni,-19.8,32.0
Ames Muni,-18.0,31.2
Marshall Town Muni,-19.0,31.0
Schenck Fld,-17.1,32.7
Creston Muni,-17.5,32.3
Fairfield Muni,-17.0,32.6
Ottumwa Industrial,-17.5,32.2
Des Moines Intl,-17.9,32.0
Washington Muni,-16.1,32.5
Chariton Muni,-16.3,32.4
Fort Dodge Awos,-20.8,31.3
Mason City Muni,-21.6,30.9
Decorah Muni,-19.2,30.0
Sioux City Muni,-19.3,32.3
Mason City Muni,-21.6,30.9
Clarion Muni,-20.1,32.0
Chanute Martin Johns,-11.0,34.5
Chanute Martin Johns,-11.0,34.5
Kansas City Intl,-13.8,33.6
Medicine Lodge Amos,-10.5,37.4
Great Bend Muni,-12.8,36.1
Joplin Rgnl,-10.1,34.1
Falls City Brenner,-16.0,33.4
Col James Jabara,-11.4,36.0
Emporia Muni,-12.4,33.9
Coffeyville Muni,-8.9,36.1
Joplin Rgnl,-10.1,34.1
Goodland Renner Fie,-14.4,34.6
Dodge City Awos,-12.4,36.1
Ft Riley Marshall,-12.5,35.9
Concordia Blosser M,-14.3,35.2
Emporia Muni,-12.4,33.9
Dodge City Awos,-12.4,36.1
Strother Fld,-9.1,36.4
Joplin Rgnl,-10.1,34.1
Mccook Rgnl,-14.1,36.2
Ft Riley Marshall,-12.5,35.9
St Joseph Rose Cra,-14.9,32.7
Lawrence Muni,-12.5,31.1
Dodge City Awos,-12.4,36.1
Tri City,-10.1,35.1
Hays Rgnl,-13.7,36.6
Russell Muni,-13.8,36.1
Garden City Rgnl,-13.0,35.8
Dodge City Awos,-12.4,36.1
Lawrence Muni,-12.5,31.1
Ft Riley Marshall,-12.5,35.9
Hill City Muni,-13.7,37.1
Hill City Muni,-13.7,37.1
Liberal Muni,-11.2,36.4
Garden City Rgnl,-13.0,35.8
Goodland Renner Fie,-14.4,34.6
Emporia Muni,-12.4,33.9
Elkhart Morton Co,-11.7,37.2
Medicine Lodge Amos,-10.5,37.4
Newton City Co,-12.6,35.0
Garden City Rgnl,-13.0,35.8
Dodge City Awos,-12.4,36.1
Topeka Billard Muni,-12.9,34.4
Topeka Billard Muni,-12.9,34.4
Concordia Blosser M,-14.3,35.2
Johnson Co Executive,-12.5,32.9
Garden City Rgnl,-13.0,35.8
Hutchinson Muni,-12.4,36.0
Dodge City Awos,-12.4,36.1
Tri City,-10.1,35.1
Hill City Muni,-13.7,37.1
Kansas City Intl,-13.8,33.6
Salina Muni,-12.7,36.7
Johnson Co Industr,-12.5,33.0
Goodland Renner Fie,-14.4,34.6
Emporia Muni,-12.4,33.9
Hutchinson Muni,-12.4,36.0
Newton City Co,-12.6,35.0
Beatrice Muni,-16.2,33.9
Liberal Muni,-11.2,36.4
Johnson Co Industr,-12.5,33.0
Concordia Blosser M,-14.3,35.2
Coffeyville Muni,-8.9,36.1
Ft Riley Marshall,-12.5,35.9
Elkhart Morton Co,-11.7,37.2
Falls City Brenner,-16.0,33.4
Chanute Martin Johns,-11.0,34.5
Hays Rgnl,-13.7,36.6
Hill City Muni,-13.7,37.1
Forbes Fld,-12.8,33.7
Russell Muni,-13.8,36.1
Salina Muni,-12.7,36.7
Great Bend Muni,-12.8,36.1
Hill City Muni,-13.7,37.1
Manhattan Rgnl,-13.0,36.0
Medicine Lodge Amos,-10.5,37.4
Mccook Rgnl,-14.1,36.2
Hutchinson Muni,-12.4,36.0
Concordia Blosser M,-14.3,35.2
Hutchinson Muni,-12.4,36.0
Manhattan Rgnl,-13.0,36.0
Hays Rgnl,-13.7,36.6
Hays Rgnl,-13.7,36.6
Russell Muni,-13.8,36.1
Salina Muni,-12.7,36.7
Goodland Renner Fie,-14.4,34.6
Wichita Mid Contine,-11.0,36.1
Liberal Muni,-11.2,36.4
Topeka Billard Muni,-12.9,34.4
Hill City Muni,-13.7,37.1
Goodland Renner Fie,-14.4,34.6
Brewster Fld,-15.1,32.9
Great Bend Muni,-12.8,36.1
Elkhart Morton Co,-11.7,37.2
Liberal Muni,-11.2,36.4
Mc Connell Afb,-11.0,35.8
Goodland Renner Fie,-14.4,34.6
Hill City Muni,-13.7,37.1
Forbes Fld,-12.8,33.7
Goodland Renner Fie,-14.4,34.6
Manhattan Rgnl,-13.0,36.0
Goodland Renner Fie,-14.4,34.6
Tri City,-10.1,35.1
Chanute Martin Johns,-11.0,34.5
Charles B Wheeler D,-12.3,34.0
Somerset Pulaski Co,-7.8,33.1
Bowling Green Warre,-8.5,32.8
Capital City Arpt,-10.0,32.3
Paducah Barkley,-9.0,33.5
Bowling Green Warre,-8.5,32.8
Jackson Carroll Arpt,-9.1,30.9
London Corbin Arpt,-8.6,31.4
Cincinnati Greater,-11.5,31.8
Lexington Blue Gras,-10.2,32.0
Huntington Tri Stat,-9.2,32.0
Lexington Blue Gras,-10.2,32.0
Cincinnati Muni Lun,-10.3,32.4
Jackson Carroll Arpt,-9.1,30.9
Fort Knox Godman,-9.8,32.3
Louisville Standifo,-8.9,33.1
Bowling Green Warre,-8.5,32.8
Fort Campbell Aaf,-7.7,32.8
Paducah Barkley,-9.0,33.5
Cincinnati Muni Lun,-10.3,32.4
Paducah Barkley,-9.0,33.5
Capital City Arpt,-10.0,32.3
Huntington Tri Stat,-9.2,32.0
Somerset Pulaski Co,-7.8,33.1
Fort Campbell Aaf,-7.7,32.8
Lexington Blue Gras,-10.2,32.0
London Corbin Arpt,-8.6,31.4
Somerset Pulaski Co,-7.8,33.1
Henderson City Co,-9.9,32.8
Somerset Pulaski Co,-7.8,33.1
Huntingburg,-10.2,32.3
Bowling Green Warre,-8.5,32.8
Jackson Carroll Arpt,-9.1,30.9
London Corbin Arpt,-8.6,31.4
Lexington Blue Gras,-10.2,32.0
Jackson Carroll Arpt,-9.1,30.9
Jackson Carroll Arpt,-9.1,30.9
Capital City Arpt,-10.0,32.3
Paducah Barkley,-9.0,33.5
Cincinnati Greater,-11.5,31.8
Lexington Blue Gras,-10.2,32.0
Cincinnati Greater,-11.5,31.8
Paducah Barkley,-9.0,33.5
Bowling Green Warre,-8.5,32.8
Fort Knox Godman,-9.8,32.3
Huntington Tri Stat,-9.2,32.0
Huntingburg,-10.2,32.3
Fort Knox Godman,-9.8,32.3
Lonesome Pine,-11.3,28.9
Lexington Blue Gras,-10.2,32.0
Fort Knox Godman,-9.8,32.3
Henderson City Co,-9.9,32.8
Capital City Arpt,-10.0,32.3
Paducah Barkley,-9.0,33.5
Henderson City Co,-9.9,32.8
London Corbin Arpt,-8.6,31.4
Louisville Standifo,-8.9,33.1
Lexington Blue Gras,-10.2,32.0
Jackson Carroll Arpt,-9.1,30.9
Cincinnati Greater,-11.5,31.8
Jackson Carroll Arpt,-9.1,30.9
London Corbin Arpt,-8.6,31.4
Fort Knox Godman,-9.8,32.3
London Corbin Arpt,-8.6,31.4
Huntington Tri Stat,-9.2,32.0
Jackson Carroll Arpt,-9.1,30.9
Jackson Carroll Arpt,-9.1,30.9
Lonesome Pine,-11.3,28.9
Huntington Tri Stat,-9.2,32.0
Somerset Pulaski Co,-7.8,33.1
Paducah Barkley,-9.0,33.5
Bowling Green Warre,-8.5,32.8
Paducah Barkley,-9.0,33.5
Paducah Barkley,-9.0,33.5
Somerset Pulaski Co,-7.8,33.1
Henderson City Co,-9.9,32.8
Lexington Blue Gras,-10.2,32.0
Jackson Carroll Arpt,-9.1,30.9
Capital City Arpt,-10.0,32.3
Paducah Barkley,-9.0,33.5
Huntington Tri Stat,-9.2,32.0
Cincinnati Muni Lun,-10.3,32.4
Fort Knox Godman,-9.8,32.3
Jackson Carroll Arpt,-9.1,30.9
Lexington Blue Gras,-10.2,32.0
Bowling Green Warre,-8.5,32.8
Bowling Green Warre,-8.5,32.8
Lexington Blue Gras,-10.2,32.0
Jackson Carroll Arpt,-9.1,30.9
Fort Campbell Aaf,-7.7,32.8
Louisville Standifo,-8.9,33.1
Lexington Blue Gras,-10.2,32.0
Bowling Green Warre,-8.5,32.8
Bowman Fld,-9.1,32.8
Capital City Arpt,-10.0,32.3
Jackson Carroll Arpt,-9.1,30.9
Cincinnati Muni Lun,-10.3,32.4
Jackson Carroll Arpt,-9.1,30.9
Lonesome Pine,-11.3,28.9
Jackson Carroll Arpt,-9.1,30.9
Somerset Pulaski Co,-7.8,33.1
Cincinnati Muni Lun,-10.3,32.4
London Corbin Arpt,-8.6,31.4
Jackson Carroll Arpt,-9.1,30.9
Somerset Pulaski Co,-7.8,33.1
Lexington Blue Gras,-10.2,32.0
Capital City Arpt,-10.0,32.3
Bowling Green Warre,-8.5,32.8
Bowman Fld,-9.1,32.8
Somerset Pulaski Co,-7.8,33.1
Fort Campbell Aaf,-7.7,32.8
Fort Campbell Aaf,-7.7,32.8
Bowman Fld,-9.1,32.8
Henderson City Co,-9.9,32.8
Bowling Green Warre,-8.5,32.8
Capital City Arpt,-10.0,32.3
Somerset Pulaski Co,-7.8,33.1
Henderson City Co,-9.9,32.8
London Corbin Arpt,-8.6,31.4
Jackson Carroll Arpt,-9.1,30.9
Lexington Blue Gras,-10.2,32.0
Lafayette Rgnl,0.9,33.8
Alexandria Int,-1.1,34.8
Baton Rouge Metro R,-0.1,33.9
Harry P Williams Mem,2.0,32.9
Esler Rgnl,-2.0,35.1
Lake Charles Muni,1.0,33.8
Barksdale Afb,-2.7,35.0
Barksdale Afb,-2.7,35.0
Shreveport Regional,-2.0,35.5
Lake Charles Muni,1.0,33.8
Monroe Rgnl,-2.2,35.1
Lake Charles Muni,1.0,33.8
Natchez Hardy Awos,-2.3,33.0
South Arkansas Rgnl,-3.7,35.4
Natchez Hardy Awos,-2.3,33.0
Shreveport Regional,-2.0,35.5
Baton Rouge Metro R,-0.1,33.9
Vicksburg Tallulah,-2.4,34.9
Baton Rouge Metro R,-0.1,33.9
Lafayette Rgnl,0.9,33.8
Monroe Rgnl,-2.2,35.1
Alexandria Int,-1.1,34.8
New Iberia Acadiana,1.2,33.6
Baton Rouge Metro R,-0.1,33.9
Monroe Rgnl,-2.2,35.1
New Orleans Moisant,2.4,33.5
Lake Charles Muni,1.0,33.8
Lafayette Rgnl,0.9,33.8
New Orleans Moisant,2.4,33.5
Esler Rgnl,-2.0,35.1
Monroe Rgnl,-2.2,35.1
Baton Rouge Metro R,-0.1,33.9
Vicksburg Tallulah,-2.4,34.9
Monroe Rgnl,-2.2,35.1
Fort Polk Army,-1.1,34.4
Lakefront,3.7,33.2
Monroe Rgnl,-2.2,35.1
New Orleans Nas Jrb,1.2,32.9
Baton Rouge Metro R,-0.1,33.9
Alexandria Int,-1.1,34.8
Barksdale Afb,-2.7,35.0
Monroe Rgnl,-2.2,35.1
Fort Polk Army,-1.1,34.4
New Orleans Nas Jrb,1.2,32.9
New Orleans Moisant,2.4,33.5
Baton Rouge Metro R,-0.1,33.9
New Orleans Moisant,2.4,33.5
New Orleans Moisant,2.4,33.5
Lafayette Rgnl,0.9,33.8
Lafayette Rgnl,0.9,33.8
Harry P Williams Mem,2.0,32.9
Slidell,-1.1,32.9
New Orleans Moisant,2.4,33.5
Natchez Hardy Awos,-2.3,33.0
New Orleans Moisant,2.4,33.5
Monroe Rgnl,-2.2,35.1
Lafayette Rgnl,0.9,33.8
Fort Polk Army,-1.1,34.4
Slidell,-1.1,32.9
Barksdale Afb,-2.7,35.0
Baton Rouge Metro R,-0.1,33.9
Vicksburg Tallulah,-2.4,34.9
Baton Rouge Metro R,-0.1,33.9
Monroe Rgnl,-2.2,35.1
Auburn Lewiston Muni,-17.8,28.7
Presque Isle Awos,-25.2,27.5
Portland Intnl Jet,-15.1,28.6
Augusta State Arpt,-17.1,28.8
Hancock Co Bar Harbo,-17.1,26.1
Augusta State Arpt,-17.1,28.8
Matinicus Rock,-12.3,19.1
Wiscasset,-17.1,27.7
Eastern Slopes Rgnl,-20.9,30.2
Bangor Intl,-18.9,29.0
Greenville,-22.4,27.0
Wiscasset,-17.1,27.7
Waterville R Lafleur,-17.9,27.9
Bangor Intl,-18.9,29.0
Hancock Co Bar Harbo,-17.1,26.1
Sanford Rgnl,-17.6,29.5
Winchester Rgnl,-7.7,32.7
Baltimore Washingto,-7.8,32.9
Baltimore Washingto,-7.8,32.9
Patuxent River Nas,-6.2,32.2
Dover Afb,-7.5,32.0
York,-11.1,31.3
Wilmington New Cast,-8.2,31.9
Quantico Mcaf,-6.9,32.4
Patuxent River Nas,-6.2,32.2
Leesburg Executive,-7.7,33.7
Morgantown Muni Wal,-11.0,30.8
Baltimore Washingto,-7.8,32.9
Baltimore Washingto,-7.8,32.9
Thomas Point,-5.9,29.4
Washington National,-6.3,33.2
Andrews Afb Camp Sp,-7.6,32.3
Thomas Point,-5.9,29.4
Patuxent River Nas,-6.2,32.2
Wallops Isl Stn,-5.8,31.2
Thomas Point,-5.9,29.4
Hagerstown Rgnl Ric,-8.8,32.2
Salisbury Ocean Cit,-7.6,32.5
Ocean City Muni,-6.4,31.2
Baltimore Washingto,-7.8,32.9
Barnstable Muni Boa,-9.1,27.5
Harriman And West,-16.1,28.8
Taunton Muni,-12.1,30.9
Marthas Vineyard,-10.0,27.4
Beverly Muni,-12.6,29.9
Dillant Hopkins,-17.5,29.2
Chicopee Falls West,-15.0,31.1
Chicopee Falls West,-15.0,31.1
Laurence G Hanscom,-13.0,31.2
Nantucket Mem,-7.5,24.8
Norwood Mem,-12.7,31.1
Plymouth Municipal,-12.3,29.1
Boston Logan Intl,-10.6,30.9
Worcester Regional Arpt,-14.0,28.3
Oscoda Wurtsmith,-16.3,30.1
Manistique Amos,-16.0,23.8
Tulip City,-12.1,29.8
Alpena Phelps Colli,-17.4,29.0
Antrim Co,-15.2,29.1
Mbs Intl,-15.2,30.3
Houghton County,-18.0,27.4
W K Kellogg,-13.8,30.3
Mbs Intl,-15.2,30.3
Manistee Co Blacker,-13.8,27.7
Southwest Michigan,-12.2,29.8
Branch Co Mem,-14.1,30.8
W K Kellogg,-13.8,30.3
South Bend Stjosep,-14.6,31.1
Charlevoix Muni,-14.1,27.7
Pellston Rgnl Arpt,-19.8,28.8
Sault Ste Marie,-20.5,27.0
Mount Pleasant Muni,-15.3,29.9
Lansing Capital Cit,-15.4,30.2
Houghton Lake Rosco,-17.8,28.8
Delta Co,-19.1,26.4
Ford,-21.3,29.0
Lansing Capital Cit,-15.4,30.2
Pellston Rgnl Arpt,-19.8,28.8
Flint Bishop Intl,-15.3,30.4
Mbs Intl,-15.2,30.3
Gocebic Iron Co,-22.4,27.9
Cherry Capital,-14.8,29.9
Gratiot Community,-16.2,30.3
Hillsdale Municipal,-14.0,29.8
Houghton County,-18.0,27.4
Huron Co Mem,-16.1,28.8
Mason Jewett Fld,-14.1,30.2
Grand Rapids Kent C,-14.0,30.3
Oscoda Wurtsmith,-16.3,30.1
Ford,-21.3,29.0
Mount Pleasant Muni,-15.3,29.9
Jackson Co Reynolds,-14.8,29.8
Kalamazoo Battle Cr,-13.0,30.9
Antrim Co,-15.2,29.1
Grand Rapids Kent C,-14.0,30.3
Copper Harbor,-16.2,25.2
Roben Hood,-17.5,30.1
Oakland Co Intl,-14.6,30.1
Cherry Capital,-14.8,29.9
Lenawee Co,-14.0,31.0
Livingston Co,-14.1,31.0
Luce Co,-17.5,27.3
Mackinack Island,-19.0,27.1
Selfridge Angb,-13.7,30.3
Manistee Co Blacker,-13.8,27.7
Sawyer Intl,-20.1,27.8
Mason Co,-12.7,27.4
Roben Hood,-17.5,30.1
Menominee Marinette,-19.0,28.0
Mbs Intl,-15.2,30.3
Wexford Co,-18.6,28.2
Custer,-12.9,31.1
Gratiot Community,-16.2,30.3
Alpena Phelps Colli,-17.4,29.0
Muskegon,-12.6,28.7
Roben Hood,-17.5,30.1
Oakland Co Intl,-14.6,30.1
Mason Co,-12.7,27.4
Houghton Lake Rosco,-17.8,28.8
Eagle River Union,-22.8,27.7
Roben Hood,-17.5,30.1
Houghton Lake Rosco,-17.8,28.8
Gaylord Rgnl,-17.6,27.9
Tulip City,-12.1,29.8
Alpena Phelps Colli,-17.4,29.0
Houghton Lake Rosco,-17.8,28.8
Mbs Intl,-15.2,30.3
St Clair Co Intl,-14.7,29.9
Kirsch Muni,-14.0,30.8
Huron Co Mem,-16.1,28.8
Manistique Amos,-16.0,23.8
Livingston Co,-14.1,31.0
Flint Bishop Intl,-15.3,30.4
Southwest Michigan,-12.2,29.8
Ann Arbor Municipal,-15.1,30.8
Detroit Metropolita,-13.3,30.9
Wexford Co,-18.6,28.2
Aitkin Muni Kurtz Fl,-26.0,27.9
Anoka Co Blaine,-21.0,30.9
Detroit Lakes Wethin,-26.3,28.0
Bemidji Municipal,-27.3,28.6
St Cloud Municipal,-24.1,30.3
Ortonville Muni Mart,-22.3,31.3
Mankata Rgnl Arpt,-22.4,30.0
Redwood Falls Muni,-22.9,31.3
Cloquet Carlton Co,-24.6,27.5
Flying Cloud,-21.1,31.2
Pine River Rgnl,-26.1,28.9
Montevideo Chippewa,-22.8,30.9
Rush City Rgnl,-22.1,29.9
Fargo Hector Field,-25.8,30.9
Bemidji Municipal,-27.3,28.6
Grand Marias,-21.2,22.6
Windom Muni,-21.3,30.9
Brainerd Lakes Rgnl,-25.0,29.0
South St Paul Muni,-20.9,31.1
Rochester Municipal,-22.3,29.3
Chandler Fld,-25.0,29.6
Fairmont Muni Awos,-21.9,30.0
Rochester Municipal,-22.3,29.3
Albert Lea Awos,-22.1,29.8
Red Wing Rgnl,-22.3,31.1
Morris Muni,-25.1,29.4
Crystal,-21.0,31.2
La Crosse Municipal,-20.3,31.6
Park Rapids Muni Kon,-27.4,28.9
Cambridge Muni,-24.0,30.9
Grand Rapids Itasca,-26.1,27.5
Jackson Muni,-20.9,31.1
Mora Muni,-24.1,29.4
Willmar Rco,-25.1,29.5
Hallock Muni,-28.9,29.1
International Falls,-29.1,28.1
Lac Qui Parle Co,-22.5,31.2
Silver Bay Muni,-25.5,27.5
Baudette Intl,-28.4,27.8
Mankata Rgnl Arpt,-22.4,30.0
Pipestone Muni,-22.3,30.0
Sw Minnesota Rgnl,-22.4,30.9
Hutchinson Muni Butl,-23.0,30.1
Detroit Lakes Wethin,-26.3,28.0
Thief River Falls Rg,-27.7,27.9
Fairmont Muni Awos,-21.9,30.0
Litchfield Muni,-22.9,29.2
Princeton Muni,-22.8,30.3
St Cloud Municipal,-24.1,30.3
Austin Muni,-22.0,29.5
Worthington Muni,-22.0,29.2
Mankata Rgnl Arpt,-22.4,30.0
Worthington Muni,-22.0,29.2
Fargo Hector Field,-25.8,30.9
Rochester Municipal,-22.3,29.3
Wadena,-27.2,28.0
Thief River Falls Rg,-27.7,27.9
Rush City Rgnl,-22.1,29.9
Pipestone Muni,-22.3,30.0
Crookston Muni Kirkw,-27.9,28.8
Glenwood Muni,-24.0,30.2
St Paul Downtown Ho,-21.4,31.0
Thief River Falls Rg,-27.7,27.9
Redwood Falls Muni,-22.9,31.3
Redwood Falls Muni,-22.9,31.3
Flying Cloud,-21.1,31.2
Pipestone Muni,-22.3,30.0
Roseau Muni Billberg,-28.7,28.7
Duluth Intl Airport,-24.7,27.4
Flying Cloud,-21.1,31.2
St Cloud Municipal,-24.1,30.3
Hutchinson Muni Butl,-23.0,30.1
St Cloud Municipal,-24.1,30.3
Albert Lea Awos,-22.1,29.8
Morris Muni,-25.1,29.4
Montevideo Chippewa,-22.8,30.9
Chandler Fld,-25.0,29.6
Wheaton Muni,-24.4,30.1
Red Wing Rgnl,-22.3,31.1
Staples Muni,-25.1,29.1
Mankata Rgnl Arpt,-22.4,30.0
St Paul Downtown Ho,-21.4,31.0
Fairmont Muni Awos,-21.9,30.0
Wheaton Muni,-24.4,30.1
Winona Muni Conrad F,-20.2,31.2
St Cloud Municipal,-24.1,30.3
Montevideo Chippewa,-22.8,30.9
Natchez Hardy Awos,-2.3,33.0
Tupelo Cd Lemons,-4.8,34.2
Mc Comb Pike Co Joh,-1.7,33.8
Greenwood Leflore,-3.7,34.5
Tupelo Cd Lemons,-4.8,34.2
Greenwood Leflore,-3.7,34.5
Tupelo Cd Lemons,-4.8,34.2
Greenwood Leflore,-3.7,34.5
Tupelo Cd Lemons,-4.8,34.2
Columbus Afb,-3.9,34.8
Vicksburg Tallulah,-2.4,34.9
Meridian Key Field,-3.3,34.4
Columbus Afb,-3.9,34.8
Greenwood Leflore,-3.7,34.5
Jackson Allen C Th,-3.0,34.4
Hattiesburg Laurel,-2.3,34.0
Memphis Intl Arpt,-5.0,34.6
Hattiesburg Laurel,-2.3,34.0
Natchez Hardy Awos,-2.3,33.0
Mobile Bates Field,-0.5,33.3
Hattiesburg Laurel,-2.3,34.0
Greenwood Leflore,-3.7,34.5
Gulfport Biloxi Int,0.2,32.9
Gulfport Biloxi Int,0.2,32.9
Jackson Allen C Th,-3.0,34.4
Greenwood Leflore,-3.7,34.5
Greenwood Leflore,-3.7,34.5
Vicksburg Tallulah,-2.4,34.9
Tupelo Cd Lemons,-4.8,34.2
Trent Lott Intl,-1.3,32.8
Hattiesburg Laurel,-2.3,34.0
Natchez Hardy Awos,-2.3,33.0
Hattiesburg Laurel,-2.3,34.0
Hattiesburg Laurel,-2.3,34.0
Meridian Nas,-2.9,35.1
Tupelo Cd Lemons,-4.8,34.2
Hattiesburg Laurel,-2.3,34.0
Meridian Key Field,-3.3,34.4
Mc Comb Pike Co Joh,-1.7,33.8
Jackson Allen C Th,-3.0,34.4
Tupelo Cd Lemons,-4.8,34.2
Greenwood Leflore,-3.7,34.5
Mc Comb Pike Co Joh,-1.7,33.8
Columbus Afb,-3.9,34.8
Jackson Allen C Th,-3.0,34.4
Slidell,-1.1,32.9
Memphis Intl Arpt,-5.0,34.6
Columbus Afb,-3.9,34.8
Greenwood Leflore,-3.7,34.5
Meridian Key Field,-3.3,34.4
Meridian Key Field,-3.3,34.4
Columbus Afb,-3.9,34.8
Columbus Afb,-3.9,34.8
Memphis Intl Arpt,-5.0,34.6
Slidell,-1.1,32.9
Hattiesburg Laurel,-2.3,34.0
Mc Comb Pike Co Joh,-1.7,33.8
Tupelo Cd Lemons,-4.8,34.2
Tupelo Cd Lemons,-4.8,34.2
Greenwood Leflore,-3.7,34.5
Jackson Allen C Th,-3.0,34.4
Jackson Allen C Th,-3.0,34.4
Vicksburg Tallulah,-2.4,34.9
Jackson Allen C Th,-3.0,34.4
Hattiesburg Laurel,-2.3,34.0
Hattiesburg Laurel,-2.3,34.0
Greenwood Leflore,-3.7,34.5
Greenwood Leflore,-3.7,34.5
Memphis Intl Arpt,-5.0,34.6
Tupelo Cd Lemons,-4.8,34.2
Northwest Alabama R,-4.9,34.1
Memphis Intl Arpt,-5.0,34.6
Tupelo Cd Lemons,-4.8,34.2
Mc Comb Pike Co Joh,-1.7,33.8
Vicksburg Tallulah,-2.4,34.9
Monticello Muni,-2.9,35.5
Meridian Key Field,-3.3,34.4
Columbus Afb,-3.9,34.8
Baton Rouge Metro R,-0.1,33.9
Meridian Nas,-2.9,35.1
Greenwood Leflore,-3.7,34.5
Jackson Allen C Th,-3.0,34.4
Kirksville Rgnl,-16.0,32.3
St Joseph Rose Cra,-14.9,32.7
Shenandoah Muni,-16.2,33.8
Columbia Regional,-13.0,32.9
Rogers Muni Carter F,-8.9,32.8
Joplin Rgnl,-10.1,34.1
Johnson Co Executive,-12.5,32.9
Sedalia Memorial,-12.1,33.0
Cape Girardeau Rgnl,-9.2,33.5
Columbia Regional,-13.0,32.9
St Joseph Rose Cra,-14.9,32.7
Poplar Bluff Amos,-8.2,33.0
St Joseph Rose Cra,-14.9,32.7
Jefferson City Mem,-11.2,33.0
Lee C Fine Mem,-11.3,33.8
Cape Girardeau Rgnl,-9.2,33.5
Whiteman Afb,-12.9,33.7
Poplar Bluff Amos,-8.2,33.0
