Dependency=Geometry Building Type RECS	Dependency=Geometry Story Bin	Dependency=State	Dependency=Vintage ACS	Option=Brick	Option=Concrete	Option=Steel Frame	Option=Wood Frame	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 5+ Units	8+	IA	1960-79	0	0	1	0	0	4	4	23	23
Multi-Family with 5+ Units	<8	IA	1960-79	0.122298	0.0176337	0.00511945	0.854949	0	1758	1758	1758	1758
Multi-Family with 5+ Units	8+	IA	1980-99	0	0	1	0	0	5	5	11	11
Multi-Family with 5+ Units	<8	IA	1980-99	0.0387701	0.00868984	0.00233957	0.950201	0	2992	2992	2992	2992
Multi-Family with 5+ Units	8+	IA	2000-09	0	0	1	0	0	1	1	1	1
Multi-Family with 5+ Units	<8	IA	2000-09	0.00514208	0.0211096	0.00135318	0.972395	0	3695	3695	3695	3695
Multi-Family with 5+ Units	8+	IA	2010s	0	0	1	0	0	1	1	3	3
Multi-Family with 5+ Units	<8	IA	2010s	0	0.0205267	0	0.979473	0	2582	2582	2582	2582
Multi-Family with 5+ Units	8+	IA	<1940	0	0	1	0	0	2	2	33	33
Multi-Family with 5+ Units	<8	IA	<1940	0.133515	0.020436	0.0122616	0.833787	0	734	734	734	734
Single-Family Attached	8+	IA	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IA	1940-59	0.0786687	0.0121029	0	0.909228	0	661	661	661	661
Single-Family Attached	8+	IA	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IA	1960-79	0.0454242	0.00801603	0	0.94656	0	1497	1497	1497	1497
Single-Family Attached	8+	IA	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IA	1980-99	0.0316369	0.00825309	0	0.96011	0	727	727	727	727
Single-Family Attached	8+	IA	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IA	2000-09	0.00606061	0.0181818	0	0.975758	0	825	825	825	825
Single-Family Attached	8+	IA	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IA	2010s	0	0.00423729	0	0.995763	0	472	472	472	472
Single-Family Attached	8+	IA	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IA	<1940	0.105233	0.0059727	0	0.888794	0	3516	3516	3516	3516
Single-Family Detached	8+	IA	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IA	1940-59	0.0586136	0.0138428	0.000156268	0.927387	0	76791	76791	76791	76791
Single-Family Detached	8+	IA	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IA	1960-79	0.042941	0.0174648	7.54013e-05	0.939519	0	106099	106099	106099	106099
Single-Family Detached	8+	IA	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IA	1980-99	0.0431586	0.0218438	0.000229192	0.934768	0	56721	56721	56721	56721
Single-Family Detached	8+	IA	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IA	2000-09	0.0187282	0.0429633	0.000450996	0.937858	0	42129	42129	42129	42129
Single-Family Detached	8+	IA	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IA	2010s	0.00795205	0.0526378	0.000593437	0.938817	0	16851	16851	16851	16851
Single-Family Detached	8+	IA	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IA	<1940	0.0415098	0.00732771	5.21545e-06	0.951157	0	191738	191738	191738	191738
Mobile Home	8+	ID	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ID	1940-59	0	0	0	1	0	17	17	17	17
Mobile Home	8+	ID	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ID	1960-79	0	0	0	1	0	1141	1141	1141	1141
Mobile Home	8+	ID	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ID	1980-99	0	0	0	1	0	2128	2128	2128	2128
Mobile Home	8+	ID	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ID	2000-09	0	0	0	1	0	566	566	566	566
Mobile Home	8+	ID	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ID	2010s	0	0	0	1	0	62	62	62	62
Mobile Home	8+	ID	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	ID	<1940	0.00522876	0	0.0235294	0.971242	0	0	0	765	765
Multi-Family with 2 - 4 Units	8+	ID	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ID	1940-59	0.190176	0.00188917	0.00125945	0.806675	0	4	4	1588	1588
Multi-Family with 2 - 4 Units	8+	ID	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ID	1960-79	0.0333333	0	0	0.966667	0	30	30	30	30
Multi-Family with 2 - 4 Units	8+	ID	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ID	1980-99	0	0	0	1	0	115	115	115	115
Multi-Family with 2 - 4 Units	8+	ID	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ID	2000-09	0	0	0	1	0	92	92	92	92
Multi-Family with 2 - 4 Units	8+	ID	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ID	2010s	0.0561457	0.00030349	0.00030349	0.943247	0	2	2	3295	3295
Multi-Family with 2 - 4 Units	8+	ID	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	ID	<1940	0.158003	0	0.00205867	0.839938	0	8	8	1943	1943
Multi-Family with 5+ Units	8+	ID	1940-59	0	0	1	0	0	0	0	1	1
Multi-Family with 5+ Units	<8	ID	1940-59	0	0	0	1	0	31	31	31	31
Multi-Family with 5+ Units	8+	ID	1960-79	0	0	1	0	0	0	0	39	39
Multi-Family with 5+ Units	<8	ID	1960-79	0	0	0	1	0	426	426	426	426
Multi-Family with 5+ Units	8+	ID	1980-99	0	0	1	0	0	0	0	2	2
Multi-Family with 5+ Units	<8	ID	1980-99	0	0	0	1	0	1028	1028	1028	1028
Multi-Family with 5+ Units	8+	ID	2000-09	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	ID	2000-09	0	0	0.0518755	0.948125	0	1253	1253	1253	1253
Multi-Family with 5+ Units	8+	ID	2010s	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	ID	2010s	0	0	0	1	0	43	43	43	43
Multi-Family with 5+ Units	8+	ID	<1940	0	0	1	0	0	0	0	3	3
Multi-Family with 5+ Units	<8	ID	<1940	0.0196078	0	0.00980392	0.970588	0	102	102	102	102
Single-Family Attached	8+	ID	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ID	1940-59	0.0148148	0	0	0.985185	0	135	135	135	135
Single-Family Attached	8+	ID	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ID	1960-79	0	0.00297619	0	0.997024	0	672	672	672	672
Single-Family Attached	8+	ID	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ID	1980-99	0	0	0	1	0	1205	1205	1205	1205
Single-Family Attached	8+	ID	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ID	2000-09	0	0	0	1	0	1205	1205	1205	1205
Single-Family Attached	8+	ID	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ID	2010s	0	0	0	1	0	337	337	337	337
Single-Family Attached	8+	ID	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	ID	<1940	0.00510204	0	0	0.994898	0	196	196	196	196
Single-Family Detached	8+	ID	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ID	1940-59	0.00221603	0.00157266	7.14847e-05	0.99614	0	13989	13989	13989	13989
Single-Family Detached	8+	ID	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ID	1960-79	0.000384911	0.000384911	8.55359e-05	0.999145	0	23382	23382	23382	23382
Single-Family Detached	8+	ID	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ID	1980-99	9.48257e-05	0.00022126	6.32171e-05	0.999621	0	31637	31637	31637	31637
Single-Family Detached	8+	ID	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ID	2000-09	8.03643e-05	8.03643e-05	0	0.999839	0	37330	37330	37330	37330
Single-Family Detached	8+	ID	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ID	2010s	0.00010142	0.00010142	0.00020284	0.999594	0	9860	9860	9860	9860
Single-Family Detached	8+	ID	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	ID	<1940	0.00126206	0.000180294	9.01469e-05	0.998468	0	11093	11093	11093	11093
Mobile Home	8+	IL	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IL	1940-59	0.1	0	0	0.9	0	20	20	20	20
Mobile Home	8+	IL	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IL	1960-79	0.00436681	0	0	0.995633	0	229	229	229	229
Mobile Home	8+	IL	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IL	1980-99	0.00347222	0	0	0.996528	0	288	288	288	288
Mobile Home	8+	IL	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IL	2000-09	0	0	0	1	0	134	134	134	134
Mobile Home	8+	IL	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IL	2010s	0	0	0	1	0	59	59	59	59
Mobile Home	8+	IL	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IL	<1940	0.09375	0	0.03125	0.875	0	32	32	32	32
Multi-Family with 2 - 4 Units	8+	IL	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IL	1940-59	0.82008	0	0	0.17992	0	9293	9293	9293	9293
Multi-Family with 2 - 4 Units	8+	IL	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IL	1960-79	0.866954	0	0	0.133046	0	11605	11605	11605	11605
Multi-Family with 2 - 4 Units	8+	IL	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IL	1980-99	0.660303	0	0.000489476	0.339207	0	4086	4086	4086	4086
Multi-Family with 2 - 4 Units	8+	IL	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IL	2000-09	0.762996	0.000558971	0.000558971	0.235886	0	1789	1789	1789	1789
Multi-Family with 2 - 4 Units	8+	IL	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IL	2010s	0.776836	0	0.00282486	0.220339	0	354	354	354	354
Multi-Family with 2 - 4 Units	8+	IL	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IL	<1940	0.603318	0	0	0.396682	0	125133	125133	125133	125133
Multi-Family with 5+ Units	8+	IL	1940-59	0	0	1	0	0	0	0	5	5
Multi-Family with 5+ Units	<8	IL	1940-59	0.421625	0.00607806	0	0.572297	0	3126	3126	3126	3126
Multi-Family with 5+ Units	8+	IL	1960-79	0	0	1	0	0	3	3	26	26
Multi-Family with 5+ Units	<8	IL	1960-79	0.585844	0.000588197	0.000326776	0.413241	0	15301	15301	15301	15301
Multi-Family with 5+ Units	8+	IL	1980-99	0	0	1	0	0	172	172	172	172
Multi-Family with 5+ Units	<8	IL	1980-99	0.276062	0.000185277	0.00055583	0.723197	0	16192	16192	16192	16192
Multi-Family with 5+ Units	8+	IL	2000-09	0	0	1	0	0	0	0	4	4
Multi-Family with 5+ Units	<8	IL	2000-09	0.155478	0.000140449	0.000140449	0.844242	0	7120	7120	7120	7120
Multi-Family with 5+ Units	8+	IL	2010s	0	0	1	0	0	0	0	3	3
Multi-Family with 5+ Units	<8	IL	2010s	0.382979	0	0	0.617021	0	376	376	376	376
Multi-Family with 5+ Units	8+	IL	<1940	0	0	1	0	0	3	3	19	19
Multi-Family with 5+ Units	<8	IL	<1940	0.634879	0.00116096	8.29256e-05	0.363878	0	12059	12059	12059	12059
Single-Family Attached	8+	IL	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IL	1940-59	0.715977	0.000805283	0	0.283218	0	12418	12418	12418	12418
Single-Family Attached	8+	IL	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IL	1960-79	0.352744	0	0	0.647256	0	23904	23904	23904	23904
Single-Family Attached	8+	IL	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IL	1980-99	0.217817	7.8281e-05	0.000156562	0.781948	0	25549	25549	25549	25549
Single-Family Attached	8+	IL	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IL	2000-09	0.432685	0	0	0.567315	0	15071	15071	15071	15071
Single-Family Attached	8+	IL	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IL	2010s	0.344211	0	0	0.655789	0	2237	2237	2237	2237
Single-Family Attached	8+	IL	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IL	<1940	0.715911	0.0017142	0	0.282375	0	6417	6417	6417	6417
Single-Family Detached	8+	IL	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IL	1940-59	0.422836	0.000515384	6.44231e-05	0.576584	0	434627	434627	434627	434627
Single-Family Detached	8+	IL	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IL	1960-79	0.270388	9.3461e-05	9.0935e-05	0.729428	0	395887	395887	395887	395887
Single-Family Detached	8+	IL	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IL	1980-99	0.141025	0.000164556	0.000122242	0.858688	0	212693	212693	212693	212693
Single-Family Detached	8+	IL	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IL	2000-09	0.191029	9.96404e-05	0.00015399	0.808718	0	110397	110397	110397	110397
Single-Family Detached	8+	IL	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IL	2010s	0.227515	0.00010446	0.000156691	0.772224	0	19146	19146	19146	19146
Single-Family Detached	8+	IL	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IL	<1940	0.269808	0.000980518	0.000287885	0.728924	0	350835	350835	350835	350835
Mobile Home	8+	IN	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IN	1940-59	0.0568182	0.0181818	0.0522727	0.872727	0	440	440	440	440
Mobile Home	8+	IN	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IN	1960-79	0.0160396	0.000707631	0.0851516	0.898101	0	8479	8479	8479	8479
Mobile Home	8+	IN	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IN	1980-99	0.010704	0.000201963	0.0353435	0.95375	0	24757	24757	24757	24757
Mobile Home	8+	IN	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IN	2000-09	0.011976	0.000202984	0.018573	0.969248	0	9853	9853	9853	9853
Mobile Home	8+	IN	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IN	2010s	0.012476	0	0.0278311	0.959693	0	1042	1042	1042	1042
Mobile Home	8+	IN	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	IN	<1940	0.0704225	0.0105634	0.00704225	0.911972	0	284	284	284	284
Multi-Family with 2 - 4 Units	8+	IN	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IN	1940-59	0.0691057	0.0426829	0.00203252	0.886179	0	492	492	492	492
Multi-Family with 2 - 4 Units	8+	IN	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IN	1960-79	0.0705164	0.00333148	0.000555247	0.925597	0	1801	1801	1801	1801
Multi-Family with 2 - 4 Units	8+	IN	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IN	1980-99	0.0591216	0.00506757	0	0.935811	0	1184	1184	1184	1184
Multi-Family with 2 - 4 Units	8+	IN	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IN	2000-09	0.0364583	0	0	0.963542	0	384	384	384	384
Multi-Family with 2 - 4 Units	8+	IN	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IN	2010s	0.0133333	0	0	0.986667	0	75	75	75	75
Multi-Family with 2 - 4 Units	8+	IN	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	IN	<1940	0.0952634	0.010644	0.00372539	0.890367	0	1879	1879	1879	1879
Multi-Family with 5+ Units	8+	IN	1940-59	0	0	1	0	0	2	2	5	5
Multi-Family with 5+ Units	<8	IN	1940-59	0.230892	0.0350318	0.00318471	0.730892	0	1256	1256	1256	1256
Multi-Family with 5+ Units	8+	IN	1960-79	0	0	1	0	0	5	5	26	26
Multi-Family with 5+ Units	<8	IN	1960-79	0.460338	0.00110033	0.00030009	0.538261	0	9997	9997	9997	9997
Multi-Family with 5+ Units	8+	IN	1980-99	0	0	1	0	0	0	0	173	173
Multi-Family with 5+ Units	<8	IN	1980-99	0.487903	0.00253566	0.00211305	0.507448	0	18930	18930	18930	18930
Multi-Family with 5+ Units	8+	IN	2000-09	0	0	1	0	0	1	1	4	4
Multi-Family with 5+ Units	<8	IN	2000-09	0.662943	0.00823045	0.00117578	0.32765	0	10206	10206	10206	10206
Multi-Family with 5+ Units	8+	IN	2010s	0	0	1	0	0	1	1	3	3
Multi-Family with 5+ Units	<8	IN	2010s	0.640427	0.00457085	0.00203149	0.352971	0	1969	1969	1969	1969
Multi-Family with 5+ Units	8+	IN	<1940	0	0	1	0	0	10	10	10	10
Multi-Family with 5+ Units	<8	IN	<1940	0.265823	0.00738397	0.00126582	0.725527	0	4740	4740	4740	4740
Single-Family Attached	8+	IN	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IN	1940-59	0.312205	0.0481293	0.00199782	0.637668	0	5506	5506	5506	5506
Single-Family Attached	8+	IN	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IN	1960-79	0.701229	0.00540541	0.0037674	0.289599	0	6105	6105	6105	6105
Single-Family Attached	8+	IN	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IN	1980-99	0.476415	0.00117925	0.00269542	0.51971	0	5936	5936	5936	5936
Single-Family Attached	8+	IN	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IN	2000-09	0.6699	0.000587889	0.00205761	0.327454	0	3402	3402	3402	3402
Single-Family Attached	8+	IN	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IN	2010s	0.743256	0	0.00186047	0.254884	0	1075	1075	1075	1075
Single-Family Attached	8+	IN	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	IN	<1940	0.137864	0.0111209	0.00264784	0.848367	0	22660	22660	22660	22660
Single-Family Detached	8+	IN	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IN	1940-59	0.313923	0.0182376	0.00587034	0.661969	0	346317	346317	346317	346317
Single-Family Detached	8+	IN	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IN	1960-79	0.592537	0.00734827	0.00427084	0.395843	0	377912	377912	377912	377912
Single-Family Detached	8+	IN	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IN	1980-99	0.534825	0.00353166	0.00375319	0.45789	0	311468	311468	311468	311468
Single-Family Detached	8+	IN	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IN	2000-09	0.595454	0.000944486	0.00472243	0.398879	0	179992	179992	179992	179992
Single-Family Detached	8+	IN	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IN	2010s	0.580547	0.0011047	0.0083291	0.410019	0	57029	57029	57029	57029
Single-Family Detached	8+	IN	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	IN	<1940	0.131445	0.00838831	0.010131	0.850036	0	415459	415459	415459	415459
Mobile Home	8+	KS	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KS	1940-59	0	0.0277778	0.0277778	0.944444	0	36	36	36	36
Mobile Home	8+	KS	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KS	1960-79	0	0.0632319	0.0444965	0.892272	0	427	427	427	427
Mobile Home	8+	KS	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KS	1980-99	0	0.0625483	0.00617761	0.931274	0	1295	1295	1295	1295
Mobile Home	8+	KS	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KS	2000-09	0	0.00338409	0.00676819	0.989848	0	591	591	591	591
Mobile Home	8+	KS	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KS	2010s	0	0.00833333	0	0.991667	0	120	120	120	120
Mobile Home	8+	KS	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KS	<1940	0	0	0	1	0	40	40	40	40
Multi-Family with 2 - 4 Units	8+	KS	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KS	1940-59	0.00835655	0.00417827	0	0.987465	0	718	718	718	718
Multi-Family with 2 - 4 Units	8+	KS	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KS	1960-79	0	0	0.00039557	0.999604	0	2528	2528	2528	2528
Multi-Family with 2 - 4 Units	8+	KS	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KS	1980-99	0	0	0	1	0	2177	2177	2177	2177
Multi-Family with 2 - 4 Units	8+	KS	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KS	2000-09	0	0	0	1	0	409	409	409	409
Multi-Family with 2 - 4 Units	8+	KS	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KS	2010s	0	0	0	1	0	32	32	32	32
Multi-Family with 2 - 4 Units	8+	KS	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KS	<1940	0.0311269	0	0.000394011	0.968479	0	2538	2538	2538	2538
Multi-Family with 5+ Units	8+	KS	1940-59	0	0	1	0	0	1	1	10	10
Multi-Family with 5+ Units	<8	KS	1940-59	0.0177866	0.00790514	0	0.974308	0	506	506	506	506
Multi-Family with 5+ Units	8+	KS	1960-79	0	0	1	0	0	3	3	23	23
Multi-Family with 5+ Units	<8	KS	1960-79	0.0012285	0.019656	0.0012285	0.977887	0	814	814	814	814
Multi-Family with 5+ Units	8+	KS	1980-99	0	0	1	0	0	0	0	11	11
Multi-Family with 5+ Units	<8	KS	1980-99	0	0.00122549	0	0.998775	0	816	816	816	816
Multi-Family with 5+ Units	8+	KS	2000-09	0	0	1	0	0	0	0	1	1
Multi-Family with 5+ Units	<8	KS	2000-09	0.2	0.012766	0	0.787234	0	235	235	235	235
Multi-Family with 5+ Units	8+	KS	2010s	0	0	1	0	0	0	0	3	3
Multi-Family with 5+ Units	<8	KS	2010s	0.00793651	0.0238095	0.00793651	0.960317	0	126	126	126	126
Multi-Family with 5+ Units	8+	KS	<1940	0	0	1	0	0	0	0	33	33
Multi-Family with 5+ Units	<8	KS	<1940	0.0168317	0	0	0.983168	0	1010	1010	1010	1010
Single-Family Attached	8+	KS	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	KS	1940-59	0.000298063	0.000596125	0	0.999106	0	3355	3355	3355	3355
Single-Family Attached	8+	KS	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	KS	1960-79	0	9.75895e-05	9.75895e-05	0.999805	0	10247	10247	10247	10247
Single-Family Attached	8+	KS	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	KS	1980-99	0	8.41963e-05	0	0.999916	0	11877	11877	11877	11877
Single-Family Attached	8+	KS	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	KS	2000-09	0	0.00013369	0	0.999866	0	7480	7480	7480	7480
Single-Family Attached	8+	KS	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	KS	2010s	0.000837521	0	0	0.999162	0	1194	1194	1194	1194
Single-Family Attached	8+	KS	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	KS	<1940	0	0	0	1	0	1699	1699	1699	1699
Single-Family Detached	8+	KS	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	KS	1940-59	0.000322188	0.000330243	9.66565e-05	0.999251	0	124151	124151	124151	124151
Single-Family Detached	8+	KS	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	KS	1960-79	7.07197e-05	0.00031431	0.000102151	0.999513	0	127263	127263	127263	127263
Single-Family Detached	8+	KS	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	KS	1980-99	3.50897e-05	8.42153e-05	5.61435e-05	0.999825	0	142492	142492	142492	142492
Single-Family Detached	8+	KS	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	KS	2000-09	0.000657232	9.78857e-05	5.59347e-05	0.999189	0	71512	71512	71512	71512
Single-Family Detached	8+	KS	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	KS	2010s	0.00140536	0.00017567	0.00017567	0.998243	0	11385	11385	11385	11385
Single-Family Detached	8+	KS	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	KS	<1940	0.00167101	0.000306607	2.29956e-05	0.997999	0	130460	130460	130460	130460
Mobile Home	8+	KY	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KY	1940-59	0.0502392	0.0167464	0.0239234	0.909091	0	418	418	418	418
Mobile Home	8+	KY	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KY	1960-79	0.178693	0.0260672	0.0362675	0.758972	0	2647	2647	2647	2647
Mobile Home	8+	KY	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KY	1980-99	0.0915224	0.0215606	0.0611616	0.825755	0	6818	6818	6818	6818
Mobile Home	8+	KY	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KY	2000-09	0.0664149	0.0192005	0.0585458	0.855839	0	3177	3177	3177	3177
Mobile Home	8+	KY	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KY	2010s	0.00413223	0.0247934	0.0344353	0.936639	0	726	726	726	726
Mobile Home	8+	KY	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	KY	<1940	0.0444558	0.0148186	0.0661727	0.874553	0	3914	3914	3914	3914
Multi-Family with 2 - 4 Units	8+	KY	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KY	1940-59	0.0465116	0	0	0.953488	0	43	43	43	43
Multi-Family with 2 - 4 Units	8+	KY	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KY	1960-79	0.0368098	0.0184049	0	0.944785	0	163	163	163	163
Multi-Family with 2 - 4 Units	8+	KY	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KY	1980-99	0.0541586	0.00193424	0.00386847	0.940039	0	517	517	517	517
Multi-Family with 2 - 4 Units	8+	KY	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KY	2000-09	0.016129	0.00537634	0	0.978495	0	186	186	186	186
Multi-Family with 2 - 4 Units	8+	KY	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KY	2010s	0.0243902	0	0	0.97561	0	41	41	41	41
Multi-Family with 2 - 4 Units	8+	KY	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	KY	<1940	0.062	0	0	0.938	0	1000	1000	1000	1000
Multi-Family with 5+ Units	8+	KY	1940-59	0	0	1	0	0	0	0	2	2
