Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=HVAC Cooling Type	Option=<10% Conditioned	Option=20% Conditioned	Option=40% Conditioned	Option=60% Conditioned	Option=80% Conditioned	Option=100% Conditioned	Option=None	Option=Void	source_count	source_weight
3B	Multi-Family with 2 - 4 Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Multi-Family with 2 - 4 Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.319343	288.848
3B	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0	6.3051	47234.4
3B	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.221943	0.267985	0.187236	0.0162369	0.306599	0	0	3.92495	26700.1
3B	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0.0080921	0.0186846	0.973223	0	0	3.33117	25517.7
3B	Multi-Family with 2 - 4 Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.08325	626.777
3B	Multi-Family with 2 - 4 Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Multi-Family with 2 - 4 Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.08325	75.8879
3B	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0	1.94014	14223.5
3B	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.352577	0.238637	0.168721	0.017582	0.222483	0	0	1.67432	11122.7
3B	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0.00759495	0.0192159	0.973189	0	0	0.672756	5199.91
3B	Multi-Family with 2 - 4 Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0143493	92.2529
3B	Multi-Family with 2 - 4 Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Multi-Family with 2 - 4 Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0143493	11.1696
3B	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0	0.229516	1624.92
3B	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.3381	0.152276	0.158598	0.0113303	0.339696	0	0	0.155018	1101.04
3B	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0.000861704	0.00419012	0.994948	0	0	10.2	86080.2
3B	Multi-Family with 5+ Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276844	2253.95
3B	Multi-Family with 5+ Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Multi-Family with 5+ Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.276844	272.9
3B	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	0	23.7663	194808
3B	Multi-Family with 5+ Units	0-1499	Room AC	0	0.104715	0.176747	0.153968	0.00535511	0.559214	0	0	26.6708	204658
3B	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0.00339305	0.010264	0.986343	0	0	7.16651	56768.4
3B	Multi-Family with 5+ Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.319343	2385.67
3B	Multi-Family with 5+ Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Multi-Family with 5+ Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.319343	288.848
3B	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0	6.3051	47234.4
3B	Multi-Family with 5+ Units	1500-2499	Room AC	0	0.221943	0.267985	0.187236	0.0162369	0.306599	0	0	3.92495	26700.1
3B	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0.0080921	0.0186846	0.973223	0	0	3.33117	25517.7
3B	Multi-Family with 5+ Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.08325	626.777
3B	Multi-Family with 5+ Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Multi-Family with 5+ Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.08325	75.8879
3B	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0	1.94014	14223.5
3B	Multi-Family with 5+ Units	2500-3999	Room AC	0	0.352577	0.238637	0.168721	0.017582	0.222483	0	0	1.67432	11122.7
3B	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0.00759495	0.0192159	0.973189	0	0	0.672756	5199.91
3B	Multi-Family with 5+ Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0143493	92.2529
3B	Multi-Family with 5+ Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Multi-Family with 5+ Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0143493	11.1696
3B	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0	0.229516	1624.92
3B	Multi-Family with 5+ Units	4000+	Room AC	0	0.3381	0.152276	0.158598	0.0113303	0.339696	0	0	0.155018	1101.04
3B	Single-Family Attached	0-1499	Central AC	0	0	0	0.00966753	0.024492	0.96584	0	0	176.438	1.35851e+06
3B	Single-Family Attached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	10.9861	79617
3B	Single-Family Attached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Single-Family Attached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	10.9861	9639.72
3B	Single-Family Attached	0-1499	None	0	0	0	0	0	0	1	0	93.1903	682118
3B	Single-Family Attached	0-1499	Room AC	0	0.270196	0.190803	0.19352	0.0113612	0.334121	0	0	68.3893	487760
3B	Single-Family Attached	1500-2499	Central AC	0	0	0	0.0360637	0.0568376	0.907099	0	0	123.965	895917
3B	Single-Family Attached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	12.6726	84269.9
3B	Single-Family Attached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Single-Family Attached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	12.6726	10203.1
3B	Single-Family Attached	1500-2499	None	0	0	0	0	0	0	1	0	24.723	165391
3B	Single-Family Attached	1500-2499	Room AC	0	0.435515	0.220007	0.178969	0.0261971	0.139312	0	0	10.0644	63634.1
3B	Single-Family Attached	2500-3999	Central AC	0	0	0	0.0793063	0.0954049	0.825289	0	0	57.6219	402719
3B	Single-Family Attached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	3.30363	22139.9
3B	Single-Family Attached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Single-Family Attached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	3.30363	2680.61
3B	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0	7.60752	49803.5
3B	Single-Family Attached	2500-3999	Room AC	0	0.587066	0.16624	0.136844	0.0240706	0.0857799	0	0	4.29329	26508.6
3B	Single-Family Attached	4000+	Central AC	0	0	0	0.0745973	0.0983327	0.82707	0	0	11.6372	82064.8
3B	Single-Family Attached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.569426	3258.68
3B	Single-Family Attached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Single-Family Attached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.569426	394.549
3B	Single-Family Attached	4000+	None	0	0	0	0	0	0	1	0	0.899959	5689.62
3B	Single-Family Attached	4000+	Room AC	0	0.596257	0.112353	0.136242	0.0164292	0.138719	0	0	0.397497	2624.1
3B	Single-Family Detached	0-1499	Central AC	0	0	0	0.00966753	0.024492	0.96584	0	0	176.438	1.35851e+06
3B	Single-Family Detached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	10.9861	79617
3B	Single-Family Detached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Single-Family Detached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	10.9861	9639.72
3B	Single-Family Detached	0-1499	None	0	0	0	0	0	0	1	0	93.1903	682118
3B	Single-Family Detached	0-1499	Room AC	0	0.270196	0.190803	0.19352	0.0113612	0.334121	0	0	68.3893	487760
3B	Single-Family Detached	1500-2499	Central AC	0	0	0	0.0360637	0.0568376	0.907099	0	0	123.965	895917
3B	Single-Family Detached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	12.6726	84269.9
3B	Single-Family Detached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Single-Family Detached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	12.6726	10203.1
3B	Single-Family Detached	1500-2499	None	0	0	0	0	0	0	1	0	24.723	165391
3B	Single-Family Detached	1500-2499	Room AC	0	0.435515	0.220007	0.178969	0.0261971	0.139312	0	0	10.0644	63634.1
3B	Single-Family Detached	2500-3999	Central AC	0	0	0	0.0793063	0.0954049	0.825289	0	0	57.6219	402719
3B	Single-Family Detached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	3.30363	22139.9
3B	Single-Family Detached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Single-Family Detached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	3.30363	2680.61
3B	Single-Family Detached	2500-3999	None	0	0	0	0	0	0	1	0	7.60752	49803.5
3B	Single-Family Detached	2500-3999	Room AC	0	0.587066	0.16624	0.136844	0.0240706	0.0857799	0	0	4.29329	26508.6
3B	Single-Family Detached	4000+	Central AC	0	0	0	0.0745973	0.0983327	0.82707	0	0	11.6372	82064.8
3B	Single-Family Detached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.569426	3258.68
3B	Single-Family Detached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3B	Single-Family Detached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.569426	394.549
3B	Single-Family Detached	4000+	None	0	0	0	0	0	0	1	0	0.899959	5689.62
3B	Single-Family Detached	4000+	Room AC	0	0.596257	0.112353	0.136242	0.0164292	0.138719	0	0	0.397497	2624.1
3C	Mobile Home	0-1499	Central AC	0	0	0	0	0.00258303	0.997417	0	0	0.0754428	1662.73
3C	Mobile Home	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	3.84354e-19	1.14974e-18
3C	Mobile Home	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Mobile Home	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	3.84354e-19	1.14974e-18
3C	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0	0.937411	21908
3C	Mobile Home	0-1499	Room AC	0	0.291244	0.15732	0.36321	0	0.188226	0	0	0.362038	7835.54
3C	Mobile Home	1500-2499	Central AC	0	0	0	0	0.00635837	0.993642	0	0	0.053006	1096.54
3C	Mobile Home	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	4.43356e-19	1.21693e-18
3C	Mobile Home	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Mobile Home	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	4.43356e-19	1.21693e-18
3C	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0	0.248691	5311.94
3C	Mobile Home	1500-2499	Room AC	0	0.440699	0.170292	0.315333	0	0.0736757	0	0	0.0532786	1022.24
3C	Mobile Home	2500-3999	Central AC	0	0	0	0	0.0116681	0.988332	0	0	0.0246385	492.901
3C	Mobile Home	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.15579e-19	3.19719e-19
3C	Mobile Home	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Mobile Home	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.15579e-19	3.19719e-19
3C	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0	0.0765248	1599.57
3C	Mobile Home	2500-3999	Room AC	0	0.588635	0.127501	0.238913	0	0.0449513	0	0	0.0227277	425.843
3C	Mobile Home	4000+	Central AC	0	0	0	0	0.0119963	0.988004	0	0	0.00497594	100.442
3C	Mobile Home	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.99217e-20	4.70581e-20
3C	Mobile Home	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Mobile Home	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.99217e-20	4.70581e-20
3C	Mobile Home	4000+	None	0	0	0	0	0	0	1	0	0.00905278	182.737
3C	Mobile Home	4000+	Room AC	0	0.60111	0.0866415	0.239159	0	0.0730892	0	0	0.00210426	42.1545
3C	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0	0.00108483	0.998915	0	0	0.832653	7025.88
3C	Multi-Family with 2 - 4 Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	4.85692e-19	5.63166e-19
3C	Multi-Family with 2 - 4 Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Multi-Family with 2 - 4 Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	4.85692e-19	5.63166e-19
3C	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	0	18.0296	164287
3C	Multi-Family with 2 - 4 Units	0-1499	Room AC	0	0.221661	0.322294	0.242047	0	0.213999	0	0	4.1032	35464.7
3C	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0	0.00267629	0.997324	0	0	0.585021	4633.45
3C	Multi-Family with 2 - 4 Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	5.6025e-19	5.96078e-19
3C	Multi-Family with 2 - 4 Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Multi-Family with 2 - 4 Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	5.6025e-19	5.96078e-19
3C	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0	4.78318	39834.1
3C	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.342889	0.356651	0.214828	0	0.0856321	0	0	0.603839	4626.79
3C	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0	0.00492646	0.995074	0	0	0.271932	2082.76
3C	Multi-Family with 2 - 4 Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.46053e-19	1.56605e-19
3C	Multi-Family with 2 - 4 Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Multi-Family with 2 - 4 Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.46053e-19	1.56605e-19
3C	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0	1.47183	11995.1
3C	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.487207	0.284066	0.173148	0	0.0555791	0	0	0.257587	1927.42
3C	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0	0.00506599	0.994934	0	0	0.0549188	424.418
3C	Multi-Family with 2 - 4 Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	2.51742e-20	2.30501e-20
3C	Multi-Family with 2 - 4 Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Multi-Family with 2 - 4 Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	2.51742e-20	2.30501e-20
3C	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0	0.174116	1370.34
3C	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.52138	0.202285	0.181634	0	0.094701	0	0	0.0238489	190.797
3C	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0	0.00108483	0.998915	0	0	0.832653	7025.88
3C	Multi-Family with 5+ Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	4.85692e-19	5.63166e-19
3C	Multi-Family with 5+ Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Multi-Family with 5+ Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	4.85692e-19	5.63166e-19
3C	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	0	18.0296	164287
3C	Multi-Family with 5+ Units	0-1499	Room AC	0	0.221661	0.322294	0.242047	0	0.213999	0	0	4.1032	35464.7
3C	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0	0.00267629	0.997324	0	0	0.585021	4633.45
3C	Multi-Family with 5+ Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	5.6025e-19	5.96078e-19
3C	Multi-Family with 5+ Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Multi-Family with 5+ Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	5.6025e-19	5.96078e-19
3C	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0	4.78318	39834.1
3C	Multi-Family with 5+ Units	1500-2499	Room AC	0	0.342889	0.356651	0.214828	0	0.0856321	0	0	0.603839	4626.79
3C	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0	0.00492646	0.995074	0	0	0.271932	2082.76
3C	Multi-Family with 5+ Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.46053e-19	1.56605e-19
3C	Multi-Family with 5+ Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Multi-Family with 5+ Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.46053e-19	1.56605e-19
3C	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0	1.47183	11995.1
3C	Multi-Family with 5+ Units	2500-3999	Room AC	0	0.487207	0.284066	0.173148	0	0.0555791	0	0	0.257587	1927.42
3C	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0	0.00506599	0.994934	0	0	0.0549188	424.418
3C	Multi-Family with 5+ Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	2.51742e-20	2.30501e-20
3C	Multi-Family with 5+ Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Multi-Family with 5+ Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	2.51742e-20	2.30501e-20
3C	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0	0.174116	1370.34
3C	Multi-Family with 5+ Units	4000+	Room AC	0	0.52138	0.202285	0.181634	0	0.094701	0	0	0.0238489	190.797
3C	Single-Family Attached	0-1499	Central AC	0	0	0	0	0.00649673	0.993503	0	0	14.4031	110882
3C	Single-Family Attached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.92738e-17	1.98929e-17
3C	Single-Family Attached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Single-Family Attached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.92738e-17	1.98929e-17
3C	Single-Family Attached	0-1499	None	0	0	0	0	0	0	1	0	70.6961	575250
3C	Single-Family Attached	0-1499	Room AC	0	0.423052	0.257348	0.225025	0	0.0945744	0	0	10.5214	84522.5
3C	Single-Family Attached	1500-2499	Central AC	0	0	0	0	0.0159011	0.984099	0	0	10.1196	73125
3C	Single-Family Attached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	2.22326e-17	2.10555e-17
3C	Single-Family Attached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Single-Family Attached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	2.22326e-17	2.10555e-17
3C	Single-Family Attached	1500-2499	None	0	0	0	0	0	0	1	0	18.7554	139478
3C	Single-Family Attached	1500-2499	Room AC	0	0.556118	0.242003	0.169719	0	0.0321593	0	0	1.54836	11027
3C	Single-Family Attached	2500-3999	Central AC	0	0	0	0	0.0289477	0.971052	0	0	4.70382	32870
3C	Single-Family Attached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	5.79584e-18	5.53181e-18
3C	Single-Family Attached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Single-Family Attached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	5.79584e-18	5.53181e-18
3C	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0	5.77122	42000.7
3C	Single-Family Attached	2500-3999	Room AC	0	0.69278	0.168991	0.119929	0	0.0182999	0	0	0.660506	4593.6
3C	Single-Family Attached	4000+	Central AC	0	0	0	0	0.0297473	0.970253	0	0	0.949975	6698.15
3C	Single-Family Attached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	9.98993e-19	8.14205e-19
3C	Single-Family Attached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Single-Family Attached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	9.98993e-19	8.14205e-19
3C	Single-Family Attached	4000+	None	0	0	0	0	0	0	1	0	0.682727	4798.21
3C	Single-Family Attached	4000+	Room AC	0	0.727763	0.118131	0.123497	0	0.0306088	0	0	0.0611534	454.723
3C	Single-Family Detached	0-1499	Central AC	0	0	0	0	0.00649673	0.993503	0	0	14.4031	110882
3C	Single-Family Detached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.92738e-17	1.98929e-17
3C	Single-Family Detached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Single-Family Detached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.92738e-17	1.98929e-17
3C	Single-Family Detached	0-1499	None	0	0	0	0	0	0	1	0	70.6961	575250
3C	Single-Family Detached	0-1499	Room AC	0	0.423052	0.257348	0.225025	0	0.0945744	0	0	10.5214	84522.5
3C	Single-Family Detached	1500-2499	Central AC	0	0	0	0	0.0159011	0.984099	0	0	10.1196	73125
3C	Single-Family Detached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	2.22326e-17	2.10555e-17
3C	Single-Family Detached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Single-Family Detached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	2.22326e-17	2.10555e-17
3C	Single-Family Detached	1500-2499	None	0	0	0	0	0	0	1	0	18.7554	139478
3C	Single-Family Detached	1500-2499	Room AC	0	0.556118	0.242003	0.169719	0	0.0321593	0	0	1.54836	11027
3C	Single-Family Detached	2500-3999	Central AC	0	0	0	0	0.0289477	0.971052	0	0	4.70382	32870
3C	Single-Family Detached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	5.79584e-18	5.53181e-18
3C	Single-Family Detached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Single-Family Detached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	5.79584e-18	5.53181e-18
3C	Single-Family Detached	2500-3999	None	0	0	0	0	0	0	1	0	5.77122	42000.7
3C	Single-Family Detached	2500-3999	Room AC	0	0.69278	0.168991	0.119929	0	0.0182999	0	0	0.660506	4593.6
3C	Single-Family Detached	4000+	Central AC	0	0	0	0	0.0297473	0.970253	0	0	0.949975	6698.15
3C	Single-Family Detached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	9.98993e-19	8.14205e-19
3C	Single-Family Detached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
3C	Single-Family Detached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	9.98993e-19	8.14205e-19
3C	Single-Family Detached	4000+	None	0	0	0	0	0	0	1	0	0.682727	4798.21
3C	Single-Family Detached	4000+	Room AC	0	0.727763	0.118131	0.123497	0	0.0306088	0	0	0.0611534	454.723
4A	Mobile Home	0-1499	Central AC	0	0	0	0.000644624	0.0112183	0.988137	0	0	1.83656	46808.7
4A	Mobile Home	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.26452	35823.7
4A	Mobile Home	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
4A	Mobile Home	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.26452	4337.4
4A	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0	0.766973	22870.3
4A	Mobile Home	0-1499	Room AC	0	0.190144	0.199799	0.424232	0.00878117	0.177043	0	0	6.21498	175799
4A	Mobile Home	1500-2499	Central AC	0	0	0	0.00251412	0.0272186	0.970267	0	0	1.29037	30869.6
4A	Mobile Home	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.45864	37917.3
4A	Mobile Home	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
4A	Mobile Home	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.45864	4590.88
4A	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0	0.203475	5545.26
4A	Mobile Home	1500-2499	Room AC	0	0.299516	0.225142	0.383414	0.0197876	0.0721402	0	0	0.914616	22935.1
4A	Mobile Home	2500-3999	Central AC	0	0	0	0.00591953	0.0489175	0.945163	0	0	0.599793	13876
4A	Mobile Home	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.380256	9961.86
4A	Mobile Home	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
4A	Mobile Home	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.380256	1206.14
4A	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0	0.0626112	1669.83
4A	Mobile Home	2500-3999	Room AC	0	0.434303	0.182997	0.31536	0.0195577	0.0477819	0	0	0.390159	9554.26
4A	Mobile Home	4000+	Central AC	0	0	0	0.00555034	0.0502583	0.944191	0	0	0.121133	2827.61
4A	Mobile Home	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0655423	1466.25
4A	Mobile Home	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
4A	Mobile Home	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0655423	177.528
4A	Mobile Home	4000+	None	0	0	0	0	0	0	1	0	0.00740682	190.763
4A	Mobile Home	4000+	Room AC	0	0.455039	0.127586	0.323892	0.0137707	0.0797117	0	0	0.0361232	945.782
4A	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.00146103	0.00473144	0.993808	0	0	20.2699	197791
4A	Multi-Family with 2 - 4 Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.59793	17547.2
4A	Multi-Family with 2 - 4 Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
