Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 2 - 4 Units	Electricity	WV	0.965084	0	0.034916	0	0	4	13666.2	91	696635
Multi-Family with 5+ Units	Electricity	WV	0.909205	0	0.0811213	0.00474904	0.00492454	6	28191.5	300	2.8028e+06
Single-Family Attached	Electricity	WV	0.900736	0.00375332	0.0705098	0.00735168	0.0176491	8	18344.6	177	990131
Single-Family Detached	Electricity	WV	0.980028	0	0.0199718	0	0	50	169782	50	169782
Mobile Home	Electricity	WY	0.945716	0	0.0207511	0	0.0335327	3	3345.15	19	44581.3
Multi-Family with 2 - 4 Units	Electricity	WY	0.75272	0	0.24728	0	0	1	1540.04	19	121087
Multi-Family with 5+ Units	Electricity	WY	0.776344	0	0.223656	0	0	8	16913.5	53	360904
Single-Family Attached	Electricity	WY	0.838008	0	0.13323	0.0287617	0	4	3422.78	19	47367.9
Single-Family Detached	Electricity	WY	0.676445	0	0.248324	0	0.075231	13	14900.4	13	14900.4
Mobile Home	Fuel Oil	AL	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	AL	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	AL	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	AL	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Single-Family Detached	Fuel Oil	AL	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Mobile Home	Fuel Oil	AR	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	AR	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	AR	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	AR	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Single-Family Detached	Fuel Oil	AR	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Mobile Home	Fuel Oil	AZ	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	AZ	0.144632	0.654824	0.17136	0.00395454	0.0252294	1	10806.4	115	843048
Multi-Family with 5+ Units	Fuel Oil	AZ	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	AZ	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Single-Family Detached	Fuel Oil	AZ	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Mobile Home	Fuel Oil	CA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	71	86994.4
Multi-Family with 2 - 4 Units	Fuel Oil	CA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	CA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	CA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	71	86994.4
Single-Family Detached	Fuel Oil	CA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	71	86994.4
Mobile Home	Fuel Oil	CO	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	CO	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	CO	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	CO	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Single-Family Detached	Fuel Oil	CO	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Mobile Home	Fuel Oil	CT	0.867435	0.014771	0	0	0.117794	0	0	34	70815.1
Multi-Family with 2 - 4 Units	Fuel Oil	CT	0.187712	0.551989	0.159002	0	0.101296	3	26210.5	38	170771
Multi-Family with 5+ Units	Fuel Oil	CT	0.342875	0.410258	0.113771	0.0607428	0.072353	0	0	12	54885
Single-Family Attached	Fuel Oil	CT	0.462365	0.42579	0.0781203	0	0.0337246	4	10397.8	21	38412
Single-Family Detached	Fuel Oil	CT	0.371998	0.544247	0.0422612	0.00787753	0.0336156	119	505131	119	505131
Mobile Home	Fuel Oil	DC	0.86116	0.101978	0.0181	0	0.0187624	0	0	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	DC	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	DC	0.144632	0.654824	0.17136	0.00395454	0.0252294	3	4851.12	115	843048
Single-Family Attached	Fuel Oil	DC	0.842752	0.115499	0.0204998	0	0.02125	0	0	63	375582
Single-Family Detached	Fuel Oil	DC	0.838559	0.118578	0.0210464	0	0.0218166	0	0	60	365827
Mobile Home	Fuel Oil	DE	0.86116	0.101978	0.0181	0	0.0187624	1	2731.85	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	DE	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	DE	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	DE	0.842752	0.115499	0.0204998	0	0.02125	1	2527.81	63	375582
Single-Family Detached	Fuel Oil	DE	0.838559	0.118578	0.0210464	0	0.0218166	9	25178.3	60	365827
Mobile Home	Fuel Oil	FL	0.86116	0.101978	0.0181	0	0.0187624	0	0	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	FL	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	FL	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	FL	0.842752	0.115499	0.0204998	0	0.02125	0	0	63	375582
Single-Family Detached	Fuel Oil	FL	0.838559	0.118578	0.0210464	0	0.0218166	0	0	60	365827
Mobile Home	Fuel Oil	GA	0.86116	0.101978	0.0181	0	0.0187624	1	10983.4	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	GA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	GA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	GA	0.842752	0.115499	0.0204998	0	0.02125	0	0	63	375582
Single-Family Detached	Fuel Oil	GA	0.838559	0.118578	0.0210464	0	0.0218166	0	0	60	365827
Mobile Home	Fuel Oil	HI	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	71	86994.4
Multi-Family with 2 - 4 Units	Fuel Oil	HI	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	HI	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	HI	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	71	86994.4
Single-Family Detached	Fuel Oil	HI	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	71	86994.4
Mobile Home	Fuel Oil	IA	0.855221	0.0188962	0	0	0.125883	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	IA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	IA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	IA	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Single-Family Detached	Fuel Oil	IA	0.846935	0.0199777	0	0	0.133088	1	4467.05	12	39997
Mobile Home	Fuel Oil	ID	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	ID	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	ID	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	ID	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Single-Family Detached	Fuel Oil	ID	0.624164	0.277898	0.0560898	0.0168229	0.0250256	2	4805.84	73	91800.3
Mobile Home	Fuel Oil	IL	0.823299	0.0979819	0	0	0.0787188	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	IL	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	IL	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	IL	0.823299	0.0979819	0	0	0.0787188	0	0	18	184178
Single-Family Detached	Fuel Oil	IL	0.837305	0.0826369	0	0	0.0800579	0	0	17	181097
Mobile Home	Fuel Oil	IN	0.823299	0.0979819	0	0	0.0787188	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	IN	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	IN	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	IN	0.823299	0.0979819	0	0	0.0787188	0	0	18	184178
Single-Family Detached	Fuel Oil	IN	0.837305	0.0826369	0	0	0.0800579	1	5132.62	17	181097
Mobile Home	Fuel Oil	KS	0.855221	0.0188962	0	0	0.125883	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	KS	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	KS	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	KS	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Single-Family Detached	Fuel Oil	KS	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Mobile Home	Fuel Oil	KY	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	KY	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	KY	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	KY	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Single-Family Detached	Fuel Oil	KY	0.872233	0.0938449	0.0166565	0	0.017266	5	21041.1	78	462243
Mobile Home	Fuel Oil	LA	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	LA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	LA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	LA	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Single-Family Detached	Fuel Oil	LA	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Mobile Home	Fuel Oil	MA	0.867435	0.014771	0	0	0.117794	1	4596.5	34	70815.1
Multi-Family with 2 - 4 Units	Fuel Oil	MA	0.187712	0.551989	0.159002	0	0.101296	9	66180.6	38	170771
Multi-Family with 5+ Units	Fuel Oil	MA	0.342875	0.410258	0.113771	0.0607428	0.072353	6	39225.1	12	54885
Single-Family Attached	Fuel Oil	MA	0.462365	0.42579	0.0781203	0	0.0337246	4	10082	21	38412
Single-Family Detached	Fuel Oil	MA	0.330632	0.613374	0.0559947	0	0	129	542405	129	542405
Mobile Home	Fuel Oil	MD	0.86116	0.101978	0.0181	0	0.0187624	0	0	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	MD	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MD	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	MD	0.842752	0.115499	0.0204998	0	0.02125	1	4376.79	63	375582
Single-Family Detached	Fuel Oil	MD	0.769909	0.198456	0.031635	0	0	25	147085	25	147085
Mobile Home	Fuel Oil	ME	0.867435	0.014771	0	0	0.117794	9	23842.3	34	70815.1
Multi-Family with 2 - 4 Units	Fuel Oil	ME	0.187712	0.551989	0.159002	0	0.101296	8	31577	38	170771
Multi-Family with 5+ Units	Fuel Oil	ME	0.342875	0.410258	0.113771	0.0607428	0.072353	1	3333.87	12	54885
Single-Family Attached	Fuel Oil	ME	0.462365	0.42579	0.0781203	0	0.0337246	4	5513.2	21	38412
Single-Family Detached	Fuel Oil	ME	0.282554	0.672079	0	0.0113871	0.0339802	88	210066	88	210066
Mobile Home	Fuel Oil	MI	0.823299	0.0979819	0	0	0.0787188	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	MI	0.144632	0.654824	0.17136	0.00395454	0.0252294	2	29406.4	115	843048
Multi-Family with 5+ Units	Fuel Oil	MI	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	MI	0.823299	0.0979819	0	0	0.0787188	0	0	18	184178
Single-Family Detached	Fuel Oil	MI	0.837305	0.0826369	0	0	0.0800579	5	49556.8	17	181097
Mobile Home	Fuel Oil	MN	0.855221	0.0188962	0	0	0.125883	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	MN	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MN	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	MN	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Single-Family Detached	Fuel Oil	MN	0.846935	0.0199777	0	0	0.133088	4	28105.6	12	39997
Mobile Home	Fuel Oil	MO	0.855221	0.0188962	0	0	0.125883	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	MO	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MO	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	MO	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Single-Family Detached	Fuel Oil	MO	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Mobile Home	Fuel Oil	MS	0.872233	0.0938449	0.0166565	0	0.017266	1	6672.63	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	MS	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MS	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	MS	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Single-Family Detached	Fuel Oil	MS	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Mobile Home	Fuel Oil	MT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	MT	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	MT	0.144632	0.654824	0.17136	0.00395454	0.0252294	1	4652.03	115	843048
Single-Family Attached	Fuel Oil	MT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Single-Family Detached	Fuel Oil	MT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Mobile Home	Fuel Oil	NC	0.86116	0.101978	0.0181	0	0.0187624	0	0	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	NC	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	NC	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	NC	0.842752	0.115499	0.0204998	0	0.02125	0	0	63	375582
Single-Family Detached	Fuel Oil	NC	0.838559	0.118578	0.0210464	0	0.0218166	9	73796.4	60	365827
Mobile Home	Fuel Oil	ND	0.855221	0.0188962	0	0	0.125883	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	ND	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	ND	0.144632	0.654824	0.17136	0.00395454	0.0252294	4	5872.85	115	843048
Single-Family Attached	Fuel Oil	ND	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Single-Family Detached	Fuel Oil	ND	0.846935	0.0199777	0	0	0.133088	6	5483.77	12	39997
Mobile Home	Fuel Oil	NE	0.855221	0.0188962	0	0	0.125883	0	0	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	NE	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	NE	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	NE	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Single-Family Detached	Fuel Oil	NE	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Mobile Home	Fuel Oil	NH	0.867435	0.014771	0	0	0.117794	5	17181.6	34	70815.1
Multi-Family with 2 - 4 Units	Fuel Oil	NH	0.187712	0.551989	0.159002	0	0.101296	4	16963.3	38	170771
Multi-Family with 5+ Units	Fuel Oil	NH	0.342875	0.410258	0.113771	0.0607428	0.072353	1	3711.07	12	54885
Single-Family Attached	Fuel Oil	NH	0.462365	0.42579	0.0781203	0	0.0337246	5	8454.49	21	38412
Single-Family Detached	Fuel Oil	NH	0.431029	0.518396	0	0	0.0505753	56	169410	56	169410
Mobile Home	Fuel Oil	NJ	0.925102	0	0	0	0.0748982	0	0	11	89826.4
Multi-Family with 2 - 4 Units	Fuel Oil	NJ	0.142273	0.675158	0.18257	0	0	0	0	10	115658
Multi-Family with 5+ Units	Fuel Oil	NJ	0.109211	0.716402	0.174387	0	0	4	42001.5	36	414454
Single-Family Attached	Fuel Oil	NJ	0.645814	0.203952	0.150234	0	0	2	10588.3	15	108291
Single-Family Detached	Fuel Oil	NJ	0.374032	0.406379	0.190131	0	0.0294581	27	177048	27	177048
Mobile Home	Fuel Oil	NM	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	NM	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	NM	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	NM	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Single-Family Detached	Fuel Oil	NM	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Mobile Home	Fuel Oil	NV	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	NV	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	NV	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	NV	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Single-Family Detached	Fuel Oil	NV	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Mobile Home	Fuel Oil	NY	0.925102	0	0	0	0.0748982	8	67075.7	11	89826.4
Multi-Family with 2 - 4 Units	Fuel Oil	NY	0.142273	0.675158	0.18257	0	0	9	103949	10	115658
Multi-Family with 5+ Units	Fuel Oil	NY	0.0945938	0.740128	0.165279	0	0	32	372453	32	372453
Single-Family Attached	Fuel Oil	NY	0.645814	0.203952	0.150234	0	0	4	26059.3	15	108291
Single-Family Detached	Fuel Oil	NY	0.318829	0.539273	0.0762396	0	0.0656581	99	677762	99	677762
Mobile Home	Fuel Oil	OH	0.823299	0.0979819	0	0	0.0787188	0	0	18	184178
Multi-Family with 2 - 4 Units	Fuel Oil	OH	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	OH	0.144632	0.654824	0.17136	0.00395454	0.0252294	1	19087.4	115	843048
Single-Family Attached	Fuel Oil	OH	0.823299	0.0979819	0	0	0.0787188	0	0	18	184178
Single-Family Detached	Fuel Oil	OH	0.837305	0.0826369	0	0	0.0800579	7	99742.2	17	181097
Mobile Home	Fuel Oil	OK	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	OK	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	OK	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	OK	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Single-Family Detached	Fuel Oil	OK	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Mobile Home	Fuel Oil	OR	0.603402	0.293249	0.0591884	0.0177522	0.0264081	1	4961.35	71	86994.4
Multi-Family with 2 - 4 Units	Fuel Oil	OR	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	OR	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	OR	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	71	86994.4
Single-Family Detached	Fuel Oil	OR	0.603402	0.293249	0.0591884	0.0177522	0.0264081	4	21468.1	71	86994.4
Mobile Home	Fuel Oil	PA	0.925102	0	0	0	0.0748982	3	22750.7	11	89826.4
Multi-Family with 2 - 4 Units	Fuel Oil	PA	0.142273	0.675158	0.18257	0	0	1	11708.7	10	115658
Multi-Family with 5+ Units	Fuel Oil	PA	0.109211	0.716402	0.174387	0	0	0	0	36	414454
Single-Family Attached	Fuel Oil	PA	0.645814	0.203952	0.150234	0	0	9	71643.3	15	108291
Single-Family Detached	Fuel Oil	PA	0.55872	0.375857	0.0392786	0.0132337	0.0129112	68	540813	68	540813
Mobile Home	Fuel Oil	RI	0.867435	0.014771	0	0	0.117794	3	6178.38	34	70815.1
Multi-Family with 2 - 4 Units	Fuel Oil	RI	0.187712	0.551989	0.159002	0	0.101296	3	11327.6	38	170771
Multi-Family with 5+ Units	Fuel Oil	RI	0.342875	0.410258	0.113771	0.0607428	0.072353	1	3971.09	12	54885
Single-Family Attached	Fuel Oil	RI	0.462365	0.42579	0.0781203	0	0.0337246	2	2669.01	21	38412
Single-Family Detached	Fuel Oil	RI	0.233708	0.707087	0.0410283	0	0.0181765	58	105546	58	105546
Mobile Home	Fuel Oil	SC	0.86116	0.101978	0.0181	0	0.0187624	0	0	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	SC	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	SC	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	SC	0.842752	0.115499	0.0204998	0	0.02125	0	0	63	375582
Single-Family Detached	Fuel Oil	SC	0.838559	0.118578	0.0210464	0	0.0218166	1	5778.72	60	365827
Mobile Home	Fuel Oil	SD	0.855221	0.0188962	0	0	0.125883	1	2289.1	13	42286.1
Multi-Family with 2 - 4 Units	Fuel Oil	SD	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	SD	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	SD	0.846935	0.0199777	0	0	0.133088	0	0	12	39997
Single-Family Detached	Fuel Oil	SD	0.846935	0.0199777	0	0	0.133088	1	1940.64	12	39997
Mobile Home	Fuel Oil	TN	0.872233	0.0938449	0.0166565	0	0.017266	1	4280.91	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	TN	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	TN	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	TN	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Single-Family Detached	Fuel Oil	TN	0.872233	0.0938449	0.0166565	0	0.017266	1	4869.35	78	462243
Mobile Home	Fuel Oil	TX	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Multi-Family with 2 - 4 Units	Fuel Oil	TX	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	TX	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	TX	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Single-Family Detached	Fuel Oil	TX	0.872233	0.0938449	0.0166565	0	0.017266	0	0	78	462243
Mobile Home	Fuel Oil	UT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Multi-Family with 2 - 4 Units	Fuel Oil	UT	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	UT	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	UT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Single-Family Detached	Fuel Oil	UT	0.624164	0.277898	0.0560898	0.0168229	0.0250256	0	0	73	91800.3
Mobile Home	Fuel Oil	VA	0.86116	0.101978	0.0181	0	0.0187624	4	32019.3	70	425379
Multi-Family with 2 - 4 Units	Fuel Oil	VA	0.144632	0.654824	0.17136	0.00395454	0.0252294	1	6177.65	115	843048
Multi-Family with 5+ Units	Fuel Oil	VA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	VA	0.842752	0.115499	0.0204998	0	0.02125	0	0	63	375582
Single-Family Detached	Fuel Oil	VA	0.851403	0.0708927	0	0	0.077704	13	102712	13	102712
Mobile Home	Fuel Oil	VT	0.944994	0.0550061	0	0	0	16	19016.3	16	19016.3
Multi-Family with 2 - 4 Units	Fuel Oil	VT	0.457541	0.362845	0	0	0.179614	11	18511.7	11	18511.7
Multi-Family with 5+ Units	Fuel Oil	VT	0.342875	0.410258	0.113771	0.0607428	0.072353	3	4643.86	12	54885
Single-Family Attached	Fuel Oil	VT	0.462365	0.42579	0.0781203	0	0.0337246	2	1295.43	21	38412
Single-Family Detached	Fuel Oil	VT	0.361167	0.476277	0	0.0121558	0.1504	75	75859.8	75	75859.8
Mobile Home	Fuel Oil	WA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	71	86994.4
Multi-Family with 2 - 4 Units	Fuel Oil	WA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Multi-Family with 5+ Units	Fuel Oil	WA	0.144632	0.654824	0.17136	0.00395454	0.0252294	0	0	115	843048
Single-Family Attached	Fuel Oil	WA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	0	0	71	86994.4
Single-Family Detached	Fuel Oil	WA	0.603402	0.293249	0.0591884	0.0177522	0.0264081	1	5687.02	71	86994.4
