Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 5+ Units	CA, 03760	0.901579	0.0984214	697	15647	697	15647
Single-Family Attached	CA, 03760	0.929988	0.070012	335	6656	335	6656
Single-Family Detached	CA, 03760	0.926337	0.0736632	1503	30110	1503	30110
Mobile Home	CA, 03761	0.794263	0.205737	40	1011	40	1011
Multi-Family with 2 - 4 Units	CA, 03761	0.947962	0.0520376	132	3190	132	3190
Multi-Family with 5+ Units	CA, 03761	0.91211	0.0878898	688	15747	688	15747
Single-Family Attached	CA, 03761	0.896098	0.103902	193	4408	193	4408
Single-Family Detached	CA, 03761	0.959695	0.0403054	1485	25282	1485	25282
Mobile Home	CA, 03762	0.992916	0.00708416	194	3529	194	3529
Multi-Family with 2 - 4 Units	CA, 03762	0.941901	0.0580986	47	1136	47	1136
Multi-Family with 5+ Units	CA, 03762	0.928997	0.0710031	162	4197	162	4197
Single-Family Attached	CA, 03762	1	0	159	2702	159	2702
Single-Family Detached	CA, 03762	0.964329	0.0356707	1226	22147	1226	22147
Mobile Home	CA, 03763	0.929054	0.0709459	80	1776	80	1776
Multi-Family with 2 - 4 Units	CA, 03763	0.968144	0.0318562	214	4897	214	4897
Multi-Family with 5+ Units	CA, 03763	0.950586	0.0494139	593	14247	593	14247
Single-Family Attached	CA, 03763	0.937451	0.0625495	144	2526	144	2526
Single-Family Detached	CA, 03763	0.975373	0.024627	1338	23389	1338	23389
Mobile Home	CA, 03764	0.96433	0.0356704	38	813	38	813
Multi-Family with 2 - 4 Units	CA, 03764	0.960409	0.0395913	74	1566	74	1566
Multi-Family with 5+ Units	CA, 03764	0.921932	0.0780681	291	6315	291	6315
Single-Family Attached	CA, 03764	0.987602	0.0123982	176	2823	176	2823
Single-Family Detached	CA, 03764	0.962315	0.0376846	2478	39751	2478	39751
Mobile Home	CA, 03765	1	0	23	286	23	286
Multi-Family with 2 - 4 Units	CA, 03765	0.949503	0.0504972	293	6436	293	6436
Multi-Family with 5+ Units	CA, 03765	0.93812	0.0618797	641	14609	641	14609
Single-Family Attached	CA, 03765	0.913407	0.0865934	167	2275	167	2275
Single-Family Detached	CA, 03765	0.970864	0.0291359	1829	33052	1829	33052
Mobile Home	CA, 03766	0.863933	0.136067	5	130	28295	537307
Multi-Family with 2 - 4 Units	CA, 03766	0.951207	0.0487927	276	6005	276	6005
Multi-Family with 5+ Units	CA, 03766	0.920762	0.0792377	920	20937	920	20937
Single-Family Attached	CA, 03766	0.914085	0.0859155	72	1420	72	1420
Single-Family Detached	CA, 03766	0.966947	0.0330531	478	8683	478	8683
Mobile Home	CA, 03767	0.888664	0.111336	62	988	62	988
Multi-Family with 2 - 4 Units	CA, 03767	0.948303	0.0516973	473	9633	473	9633
Multi-Family with 5+ Units	CA, 03767	0.922612	0.0773883	1041	20171	1041	20171
Single-Family Attached	CA, 03767	0.941251	0.0587491	296	5532	296	5532
Single-Family Detached	CA, 03767	0.939897	0.060103	1581	27952	1581	27952
Mobile Home	CA, 03768	0.89375	0.10625	41	800	41	800
Multi-Family with 2 - 4 Units	CA, 03768	0.858944	0.141056	61	1666	61	1666
Multi-Family with 5+ Units	CA, 03768	0.908178	0.0918219	354	8963	354	8963
Single-Family Attached	CA, 03768	0.906612	0.0933881	142	2677	142	2677
Single-Family Detached	CA, 03768	0.921281	0.0787191	1765	32165	1765	32165
Mobile Home	CA, 03769	0.863933	0.136067	5	131	28295	537307
Multi-Family with 2 - 4 Units	CA, 03769	0.942394	0.0576055	352	7534	352	7534
Multi-Family with 5+ Units	CA, 03769	0.917568	0.0824323	1019	23583	1019	23583
Single-Family Attached	CA, 03769	0.950153	0.0498474	103	1966	103	1966
Single-Family Detached	CA, 03769	0.966539	0.0334607	388	7591	388	7591
Mobile Home	CA, 03900	0.757985	0.242015	152	3256	152	3256
Multi-Family with 2 - 4 Units	CA, 03900	0.939394	0.0606061	83	2805	83	2805
Multi-Family with 5+ Units	CA, 03900	0.884969	0.115031	97	3260	97	3260
Single-Family Attached	CA, 03900	0.905146	0.0948537	37	991	37	991
Single-Family Detached	CA, 03900	0.891763	0.108237	1722	40365	1722	40365
Mobile Home	CA, 04101	0.901982	0.0980176	40	908	40	908
Multi-Family with 2 - 4 Units	CA, 04101	0.866332	0.133668	89	2394	89	2394
Multi-Family with 5+ Units	CA, 04101	0.949059	0.0509412	248	7597	248	7597
Single-Family Attached	CA, 04101	0.930416	0.0695837	219	5188	219	5188
Single-Family Detached	CA, 04101	0.917723	0.0822769	1551	32342	1551	32342
Mobile Home	CA, 04102	1	0	20	571	20	571
Multi-Family with 2 - 4 Units	CA, 04102	0.930073	0.0699269	270	6564	270	6564
Multi-Family with 5+ Units	CA, 04102	0.937844	0.0621559	611	15075	611	15075
Single-Family Attached	CA, 04102	0.866142	0.133858	228	5080	228	5080
Single-Family Detached	CA, 04102	0.952924	0.0470761	1886	37365	1886	37365
Mobile Home	CA, 04701	0.8571	0.1429	153	3296	153	3296
Multi-Family with 2 - 4 Units	CA, 04701	1	0	41	918	41	918
Multi-Family with 5+ Units	CA, 04701	0.980363	0.0196375	50	1324	50	1324
Single-Family Attached	CA, 04701	1	0	25	522	25	522
Single-Family Detached	CA, 04701	0.933778	0.0662219	1149	28480	1149	28480
Mobile Home	CA, 04702	0.89186	0.10814	148	2543	148	2543
Multi-Family with 2 - 4 Units	CA, 04702	0.963452	0.0365484	258	5609	258	5609
Multi-Family with 5+ Units	CA, 04702	0.911331	0.088669	265	5154	265	5154
Single-Family Attached	CA, 04702	0.933202	0.0667976	74	1018	74	1018
Single-Family Detached	CA, 04702	0.94902	0.0509797	1874	36387	1874	36387
Mobile Home	CA, 05301	0.805306	0.194694	121	2450	121	2450
Multi-Family with 2 - 4 Units	CA, 05301	0.874492	0.125508	408	7625	408	7625
Multi-Family with 5+ Units	CA, 05301	0.858385	0.141615	554	11616	554	11616
Single-Family Attached	CA, 05301	0.840286	0.159714	303	5178	303	5178
Single-Family Detached	CA, 05301	0.856751	0.143249	2680	49536	2680	49536
Mobile Home	CA, 05302	0.945177	0.0548234	92	1897	92	1897
Multi-Family with 2 - 4 Units	CA, 05302	0.955895	0.0441047	170	3401	170	3401
Multi-Family with 5+ Units	CA, 05302	0.958863	0.0411369	510	11012	510	11012
Single-Family Attached	CA, 05302	0.940283	0.0597173	148	2830	148	2830
Single-Family Detached	CA, 05302	0.965267	0.0347334	1432	27236	1432	27236
Mobile Home	CA, 05303	0.878999	0.121001	166	2438	166	2438
Multi-Family with 2 - 4 Units	CA, 05303	0.899664	0.100336	96	2382	96	2382
Multi-Family with 5+ Units	CA, 05303	0.920971	0.0790291	130	3543	130	3543
Single-Family Attached	CA, 05303	0.860418	0.139582	105	1483	105	1483
Single-Family Detached	CA, 05303	0.941199	0.0588006	1732	28163	1732	28163
Mobile Home	CA, 05500	0.867324	0.132676	226	3957	226	3957
Multi-Family with 2 - 4 Units	CA, 05500	0.756344	0.243656	195	3862	195	3862
Multi-Family with 5+ Units	CA, 05500	0.87683	0.12317	331	6625	331	6625
Single-Family Attached	CA, 05500	0.9214	0.0785999	217	3257	217	3257
Single-Family Detached	CA, 05500	0.88499	0.11501	2635	37901	2635	37901
Mobile Home	CA, 05700	0.79508	0.20492	154	3455	154	3455
Multi-Family with 2 - 4 Units	CA, 05700	0.725542	0.274458	65	1891	65	1891
Multi-Family with 5+ Units	CA, 05700	0.845081	0.154919	91	2795	91	2795
Single-Family Attached	CA, 05700	0.799273	0.200727	49	1101	49	1101
Single-Family Detached	CA, 05700	0.738941	0.261059	2099	47112	2099	47112
Mobile Home	CA, 05901	0.779718	0.220282	58	1775	58	1775
Multi-Family with 2 - 4 Units	CA, 05901	0.860021	0.139979	322	10323	322	10323
Multi-Family with 5+ Units	CA, 05901	0.799613	0.200387	411	12401	411	12401
Single-Family Attached	CA, 05901	0.930891	0.0691087	518	12039	518	12039
Single-Family Detached	CA, 05901	0.901572	0.0984281	1963	44022	1963	44022
Mobile Home	CA, 05902	0.863933	0.136067	1	12	28295	537307
Multi-Family with 2 - 4 Units	CA, 05902	0.912338	0.0876623	66	1232	66	1232
Multi-Family with 5+ Units	CA, 05902	0.873076	0.126924	223	5523	223	5523
Single-Family Attached	CA, 05902	1	0	250	5535	250	5535
Single-Family Detached	CA, 05902	0.970158	0.0298421	1524	27545	1524	27545
Mobile Home	CA, 05903	0.677761	0.322239	27	661	27	661
Multi-Family with 2 - 4 Units	CA, 05903	0.841287	0.158713	368	8235	368	8235
Multi-Family with 5+ Units	CA, 05903	0.862136	0.137864	1133	27897	1133	27897
Single-Family Attached	CA, 05903	0.914546	0.0854539	946	18981	946	18981
Single-Family Detached	CA, 05903	0.882005	0.117995	2120	45358	2120	45358
Mobile Home	CA, 05904	0.874697	0.125303	75	1652	75	1652
Multi-Family with 2 - 4 Units	CA, 05904	0.98429	0.0157101	250	6429	250	6429
Multi-Family with 5+ Units	CA, 05904	0.908692	0.0913084	1138	37105	1138	37105
Single-Family Attached	CA, 05904	0.986658	0.0133416	813	16040	813	16040
Single-Family Detached	CA, 05904	0.946647	0.053353	1386	31807	1386	31807
Mobile Home	CA, 05905	0.985377	0.0146232	103	1778	103	1778
Multi-Family with 2 - 4 Units	CA, 05905	0.961954	0.0380462	252	6019	252	6019
Multi-Family with 5+ Units	CA, 05905	0.924117	0.0758829	703	17527	703	17527
Single-Family Attached	CA, 05905	0.950829	0.0491707	520	11938	520	11938
Single-Family Detached	CA, 05905	0.948094	0.0519061	1956	40554	1956	40554
Mobile Home	CA, 05906	0.982167	0.0178326	94	2187	94	2187
Multi-Family with 2 - 4 Units	CA, 05906	0.936923	0.0630769	142	2600	142	2600
Multi-Family with 5+ Units	CA, 05906	0.938968	0.0610325	497	11584	497	11584
Single-Family Attached	CA, 05906	0.979539	0.0204611	334	6549	334	6549
Single-Family Detached	CA, 05906	0.971361	0.0286386	2347	40819	2347	40819
Mobile Home	CA, 05907	0.968296	0.0317041	80	1514	80	1514
Multi-Family with 2 - 4 Units	CA, 05907	0.92622	0.0737804	238	5801	238	5801
Multi-Family with 5+ Units	CA, 05907	0.935228	0.0647722	711	18017	711	18017
Single-Family Attached	CA, 05907	0.984972	0.0150283	277	5656	277	5656
Single-Family Detached	CA, 05907	0.96825	0.0317497	1974	34835	1974	34835
Mobile Home	CA, 05908	0.865492	0.134508	49	1078	49	1078
Multi-Family with 2 - 4 Units	CA, 05908	0.9735	0.0265	214	4000	214	4000
Multi-Family with 5+ Units	CA, 05908	0.950205	0.0497947	712	15584	712	15584
Single-Family Attached	CA, 05908	0.928331	0.0716691	373	7423	373	7423
Single-Family Detached	CA, 05908	0.966069	0.0339311	2160	35690	2160	35690
Mobile Home	CA, 05909	0.955261	0.044739	58	1207	58	1207
Multi-Family with 2 - 4 Units	CA, 05909	0.937282	0.0627178	159	4018	159	4018
Multi-Family with 5+ Units	CA, 05909	0.932515	0.067485	802	19471	802	19471
Single-Family Attached	CA, 05909	0.964928	0.0350723	125	2281	125	2281
Single-Family Detached	CA, 05909	0.974406	0.0255944	915	17582	915	17582
Mobile Home	CA, 05910	0.972799	0.0272015	106	2169	106	2169
Multi-Family with 2 - 4 Units	CA, 05910	0.958361	0.0416392	235	6076	235	6076
Multi-Family with 5+ Units	CA, 05910	0.91859	0.0814104	771	20108	771	20108
Single-Family Attached	CA, 05910	0.977709	0.0222905	258	5204	258	5204
Single-Family Detached	CA, 05910	0.972629	0.0273708	1497	26963	1497	26963
Mobile Home	CA, 05911	0.938697	0.0613027	53	1044	53	1044
Multi-Family with 2 - 4 Units	CA, 05911	0.93539	0.06461	217	5154	217	5154
Multi-Family with 5+ Units	CA, 05911	0.958553	0.0414468	306	7769	306	7769
Single-Family Attached	CA, 05911	0.972702	0.0272975	254	4396	254	4396
Single-Family Detached	CA, 05911	0.965077	0.0349229	1638	27890	1638	27890
Mobile Home	CA, 05912	0.942373	0.0576271	265	4720	265	4720
Multi-Family with 2 - 4 Units	CA, 05912	0.978604	0.0213956	200	4113	200	4113
Multi-Family with 5+ Units	CA, 05912	0.949358	0.050642	594	12539	594	12539
Single-Family Attached	CA, 05912	0.986382	0.0136178	289	4406	289	4406
Single-Family Detached	CA, 05912	0.974642	0.0253584	1629	28038	1629	28038
Mobile Home	CA, 05913	0.912807	0.0871935	82	1468	82	1468
Multi-Family with 2 - 4 Units	CA, 05913	0.975401	0.0245987	192	3862	192	3862
Multi-Family with 5+ Units	CA, 05913	0.967713	0.0322874	551	10995	551	10995
Single-Family Attached	CA, 05913	0.971509	0.0284907	265	4247	265	4247
Single-Family Detached	CA, 05913	0.976386	0.0236141	1431	23884	1431	23884
Mobile Home	CA, 05914	0.955957	0.0440431	163	3156	163	3156
Multi-Family with 2 - 4 Units	CA, 05914	0.959939	0.0400612	443	10459	443	10459
Multi-Family with 5+ Units	CA, 05914	0.912968	0.087032	728	17281	728	17281
Single-Family Attached	CA, 05914	0.961368	0.0386324	489	9681	489	9681
Single-Family Detached	CA, 05914	0.947188	0.052812	2319	39972	2319	39972
Mobile Home	CA, 05915	0.863933	0.136067	9	159	28295	537307
Multi-Family with 2 - 4 Units	CA, 05915	1	0	59	1261	59	1261
Multi-Family with 5+ Units	CA, 05915	0.909868	0.0901322	215	6202	215	6202
Single-Family Attached	CA, 05915	0.974952	0.0250479	277	6268	277	6268
Single-Family Detached	CA, 05915	0.97979	0.0202102	1160	24641	1160	24641
Mobile Home	CA, 05916	0.988972	0.0110283	197	3355	197	3355
Multi-Family with 2 - 4 Units	CA, 05916	0.97696	0.02304	178	3125	178	3125
Multi-Family with 5+ Units	CA, 05916	0.954899	0.0451013	407	8492	407	8492
Single-Family Attached	CA, 05916	0.990333	0.00966667	185	3000	185	3000
Single-Family Detached	CA, 05916	0.984283	0.0157169	1129	17688	1129	17688
Mobile Home	CA, 05917	1	0	26	511	26	511
Multi-Family with 2 - 4 Units	CA, 05917	0.975142	0.0248585	181	4063	181	4063
Multi-Family with 5+ Units	CA, 05917	0.961511	0.0384886	712	15641	712	15641
Single-Family Attached	CA, 05917	0.964611	0.0353889	153	2854	153	2854
Single-Family Detached	CA, 05917	0.969899	0.0301005	1071	18106	1071	18106
Mobile Home	CA, 05918	0.871234	0.128766	85	1693	85	1693
Multi-Family with 2 - 4 Units	CA, 05918	0.951186	0.0488138	349	8051	349	8051
Multi-Family with 5+ Units	CA, 05918	0.924834	0.0751658	773	21406	773	21406
Single-Family Attached	CA, 05918	0.95379	0.0462099	372	6860	372	6860
Single-Family Detached	CA, 05918	0.951723	0.048277	1812	31195	1812	31195
Mobile Home	CA, 06101	0.896149	0.103851	47	857	47	857
Multi-Family with 2 - 4 Units	CA, 06101	0.932456	0.0675442	140	2887	140	2887
Multi-Family with 5+ Units	CA, 06101	0.911309	0.088691	409	8648	409	8648
Single-Family Attached	CA, 06101	0.944651	0.0553486	101	1879	101	1879
Single-Family Detached	CA, 06101	0.964906	0.0350938	2193	40235	2193	40235
Mobile Home	CA, 06102	0.901126	0.0988736	39	799	39	799
Multi-Family with 2 - 4 Units	CA, 06102	0.896842	0.103158	77	1425	77	1425
Multi-Family with 5+ Units	CA, 06102	0.933466	0.0665339	238	5020	238	5020
Single-Family Attached	CA, 06102	0.963912	0.0360885	90	1718	90	1718
Single-Family Detached	CA, 06102	0.97191	0.0280902	2137	37878	2137	37878
Mobile Home	CA, 06103	0.872795	0.127205	121	2665	121	2665
Multi-Family with 2 - 4 Units	CA, 06103	0.612309	0.387691	196	4127	196	4127
Multi-Family with 5+ Units	CA, 06103	0.554799	0.445201	235	4699	235	4699
Single-Family Attached	CA, 06103	0.7299	0.2701	107	1903	107	1903
Single-Family Detached	CA, 06103	0.746683	0.253317	2782	49436	2782	49436
Mobile Home	CA, 06501	0.643878	0.356122	673	9654	673	9654
Multi-Family with 2 - 4 Units	CA, 06501	0.741201	0.258799	215	6364	215	6364
Multi-Family with 5+ Units	CA, 06501	0.875534	0.124466	257	7496	257	7496
Single-Family Attached	CA, 06501	0.603558	0.396442	114	2192	114	2192
Single-Family Detached	CA, 06501	0.825365	0.174635	2272	53964	2272	53964
Mobile Home	CA, 06502	0.704305	0.295695	809	7643	809	7643
Multi-Family with 2 - 4 Units	CA, 06502	0.608268	0.391732	689	9749	689	9749
Multi-Family with 5+ Units	CA, 06502	0.727826	0.272174	1384	14792	1384	14792
Single-Family Attached	CA, 06502	0.564355	0.435645	1813	14723	1813	14723
Single-Family Detached	CA, 06502	0.657872	0.342128	3431	43776	3431	43776
Mobile Home	CA, 06503	0.878648	0.121352	46	651	46	651
Multi-Family with 2 - 4 Units	CA, 06503	1	0	49	1122	49	1122
Multi-Family with 5+ Units	CA, 06503	0.888315	0.111685	225	6393	225	6393
Single-Family Attached	CA, 06503	0.945261	0.0547386	60	1224	60	1224
Single-Family Detached	CA, 06503	0.950103	0.0498974	1768	36054	1768	36054
Mobile Home	CA, 06504	0.893357	0.106643	147	2785	147	2785
Multi-Family with 2 - 4 Units	CA, 06504	0.968243	0.0317572	49	1417	49	1417
Multi-Family with 5+ Units	CA, 06504	0.938187	0.0618132	192	5824	192	5824
Single-Family Attached	CA, 06504	0.9525	0.0475	54	1200	54	1200
Single-Family Detached	CA, 06504	0.948957	0.0510426	1475	32228	1475	32228
Mobile Home	CA, 06505	0.905648	0.0943519	306	6126	306	6126
Multi-Family with 2 - 4 Units	CA, 06505	0.948752	0.0512484	55	1522	55	1522
Multi-Family with 5+ Units	CA, 06505	0.941549	0.0584505	147	3627	147	3627
Single-Family Attached	CA, 06505	0.97896	0.0210396	94	1616	94	1616
Single-Family Detached	CA, 06505	0.936582	0.0634176	2584	53266	2584	53266
Mobile Home	CA, 06506	0.862046	0.137954	579	11859	579	11859
Multi-Family with 2 - 4 Units	CA, 06506	0.914392	0.0856079	109	2418	109	2418
Multi-Family with 5+ Units	CA, 06506	0.835923	0.164077	230	5985	230	5985
Single-Family Attached	CA, 06506	0.959466	0.0405336	112	1949	112	1949
Single-Family Detached	CA, 06506	0.932964	0.0670356	1700	35235	1700	35235
Mobile Home	CA, 06507	0.866841	0.133159	459	8809	459	8809
Multi-Family with 2 - 4 Units	CA, 06507	0.869312	0.130688	80	1890	80	1890
Multi-Family with 5+ Units	CA, 06507	0.926622	0.0733781	94	2235	94	2235
Single-Family Attached	CA, 06507	0.96688	0.0331197	106	1872	106	1872
Single-Family Detached	CA, 06507	0.929827	0.0701733	2249	40856	2249	40856
Mobile Home	CA, 06508	0.978799	0.0212014	72	1132	72	1132
Multi-Family with 2 - 4 Units	CA, 06508	0.935154	0.0648464	84	1465	84	1465
Multi-Family with 5+ Units	CA, 06508	0.864271	0.135729	347	7876	347	7876
Single-Family Attached	CA, 06508	0.91744	0.0825603	61	1078	61	1078
Single-Family Detached	CA, 06508	0.957705	0.0422952	2328	39579	2328	39579
Mobile Home	CA, 06509	0.920303	0.0796973	250	6211	250	6211
Multi-Family with 2 - 4 Units	CA, 06509	1	0	24	712	24	712
Multi-Family with 5+ Units	CA, 06509	0.800708	0.199292	59	1696	59	1696
Single-Family Attached	CA, 06509	0.957537	0.0424628	26	471	26	471
Single-Family Detached	CA, 06509	0.942296	0.0577044	971	25544	971	25544
Mobile Home	CA, 06510	0.770833	0.229167	35	576	35	576
Multi-Family with 2 - 4 Units	CA, 06510	0.911965	0.0880352	133	2499	133	2499
Multi-Family with 5+ Units	CA, 06510	0.893422	0.106578	514	10687	514	10687
Single-Family Attached	CA, 06510	0.901296	0.0987039	112	2006	112	2006
Single-Family Detached	CA, 06510	0.953989	0.0460111	1750	31688	1750	31688
Mobile Home	CA, 06511	0.973861	0.0261389	76	1339	76	1339
Multi-Family with 2 - 4 Units	CA, 06511	0.967809	0.0321908	158	3355	158	3355
Multi-Family with 5+ Units	CA, 06511	0.910747	0.0892532	506	12078	506	12078
Single-Family Attached	CA, 06511	0.96524	0.0347605	122	2359	122	2359
Single-Family Detached	CA, 06511	0.962134	0.0378658	1847	32087	1847	32087
Mobile Home	CA, 06512	0.840212	0.159788	102	1696	102	1696
Multi-Family with 2 - 4 Units	CA, 06512	0.848361	0.151639	25	488	25	488
Multi-Family with 5+ Units	CA, 06512	0.902703	0.0972973	108	2220	108	2220
Single-Family Attached	CA, 06512	1	0	54	959	54	959
Single-Family Detached	CA, 06512	0.974785	0.0252148	1188	26532	1188	26532
Mobile Home	CA, 06513	0.902786	0.0972143	94	1759	94	1759
Multi-Family with 2 - 4 Units	CA, 06513	0.98525	0.0147504	117	2644	117	2644
Multi-Family with 5+ Units	CA, 06513	0.948168	0.0518323	363	7968	363	7968
Single-Family Attached	CA, 06513	0.910089	0.0899114	132	2369	132	2369
Single-Family Detached	CA, 06513	0.972068	0.0279324	1952	31791	1952	31791
Mobile Home	CA, 06514	0.953333	0.0466667	121	2250	121	2250
Multi-Family with 2 - 4 Units	CA, 06514	0.861204	0.138796	30	598	30	598
Multi-Family with 5+ Units	CA, 06514	0.955575	0.0444248	159	3399	159	3399
Single-Family Attached	CA, 06514	0.948787	0.0512129	82	1484	82	1484
Single-Family Detached	CA, 06514	0.961141	0.0388592	1777	33660	1777	33660
Mobile Home	CA, 06515	0.552819	0.447181	519	13073	519	13073
Multi-Family with 2 - 4 Units	CA, 06515	0.478977	0.521023	281	8800	281	8800
Multi-Family with 5+ Units	CA, 06515	0.67233	0.32767	390	11890	390	11890
Single-Family Attached	CA, 06515	0.63251	0.36749	511	9837	511	9837
Single-Family Detached	CA, 06515	0.720746	0.279254	2262	54130	2262	54130
Mobile Home	CA, 06701	0.966207	0.0337934	129	2101	129	2101
Multi-Family with 2 - 4 Units	CA, 06701	0.92052	0.0794801	176	4001	176	4001
Multi-Family with 5+ Units	CA, 06701	0.960023	0.0399769	402	8655	402	8655
Single-Family Attached	CA, 06701	0.954897	0.0451031	202	3880	202	3880
Single-Family Detached	CA, 06701	0.965178	0.034822	1482	25817	1482	25817
Mobile Home	CA, 06702	0.93385	0.0661502	97	1678	97	1678
Multi-Family with 2 - 4 Units	CA, 06702	0.938999	0.0610009	181	3377	181	3377
Multi-Family with 5+ Units	CA, 06702	0.930384	0.0696157	369	8432	369	8432
Single-Family Attached	CA, 06702	0.959644	0.0403561	190	3370	190	3370
Single-Family Detached	CA, 06702	0.964689	0.0353107	1756	28320	1756	28320
Mobile Home	CA, 06703	0.863933	0.136067	5	134	28295	537307
Multi-Family with 2 - 4 Units	CA, 06703	0.962404	0.0375962	147	3378	147	3378
Multi-Family with 5+ Units	CA, 06703	0.938949	0.0610506	402	10565	402	10565
Single-Family Attached	CA, 06703	0.904915	0.0950855	175	3744	175	3744
Single-Family Detached	CA, 06703	0.951602	0.0483975	1722	30890	1722	30890
Mobile Home	CA, 06704	0.976591	0.0234089	65	1367	65	1367
Multi-Family with 2 - 4 Units	CA, 06704	0.956583	0.0434169	243	5666	243	5666
Multi-Family with 5+ Units	CA, 06704	0.949427	0.0505733	666	16570	666	16570
Single-Family Attached	CA, 06704	0.962513	0.0374869	206	4775	206	4775
Single-Family Detached	CA, 06704	0.950576	0.0494245	1235	23369	1235	23369
Mobile Home	CA, 06705	0.944538	0.0554622	25	595	25	595
Multi-Family with 2 - 4 Units	CA, 06705	0.911175	0.0888252	112	2443	112	2443
Multi-Family with 5+ Units	CA, 06705	0.944071	0.0559294	447	11890	447	11890
Single-Family Attached	CA, 06705	0.972738	0.027262	124	2531	124	2531
Single-Family Detached	CA, 06705	0.969982	0.0300176	1164	25585	1164	25585
Mobile Home	CA, 06706	0.805058	0.194942	40	949	40	949
Multi-Family with 2 - 4 Units	CA, 06706	0.931018	0.0689822	79	2073	79	2073
Multi-Family with 5+ Units	CA, 06706	0.898289	0.101711	127	3097	127	3097
Single-Family Attached	CA, 06706	0.9257	0.0742996	85	1642	85	1642
Single-Family Detached	CA, 06706	0.955983	0.0440173	1516	31056	1516	31056
Mobile Home	CA, 06707	0.863933	0.136067	7	151	28295	537307
Multi-Family with 2 - 4 Units	CA, 06707	0.935003	0.0649966	383	7385	383	7385
Multi-Family with 5+ Units	CA, 06707	0.922546	0.0774544	1098	20270	1098	20270
Single-Family Attached	CA, 06707	0.85925	0.14075	232	4135	232	4135
Single-Family Detached	CA, 06707	0.942837	0.057163	1744	29827	1744	29827
Mobile Home	CA, 06708	0.952724	0.0472761	161	3194	161	3194
Multi-Family with 2 - 4 Units	CA, 06708	0.967901	0.0320995	156	3458	156	3458
Multi-Family with 5+ Units	CA, 06708	0.911173	0.0888269	331	8601	331	8601
Single-Family Attached	CA, 06708	0.945576	0.0544235	144	3877	144	3877
Single-Family Detached	CA, 06708	0.941669	0.0583312	1588	31784	1588	31784
Mobile Home	CA, 06709	0.966844	0.0331565	46	754	46	754
Multi-Family with 2 - 4 Units	CA, 06709	0.988232	0.0117683	124	3314	124	3314
Multi-Family with 5+ Units	CA, 06709	0.918344	0.0816558	334	9687	334	9687
Single-Family Attached	CA, 06709	0.951178	0.048822	192	4117	192	4117
Single-Family Detached	CA, 06709	0.958168	0.0418323	1665	33706	1665	33706
Mobile Home	CA, 06710	1	0	26	379	26	379
Multi-Family with 2 - 4 Units	CA, 06710	1	0	49	1128	49	1128
Multi-Family with 5+ Units	CA, 06710	0.94158	0.0584201	148	4228	148	4228
Single-Family Attached	CA, 06710	0.994887	0.00511322	67	1369	67	1369
Single-Family Detached	CA, 06710	0.973481	0.0265191	2216	44534	2216	44534
Mobile Home	CA, 06711	0.864749	0.135251	120	2329	120	2329
Multi-Family with 2 - 4 Units	CA, 06711	0.891061	0.108939	41	716	41	716
Multi-Family with 5+ Units	CA, 06711	0.923381	0.0766189	86	2023	86	2023
Single-Family Attached	CA, 06711	1	0	58	1059	58	1059
Single-Family Detached	CA, 06711	0.953493	0.0465074	1760	32898	1760	32898
Mobile Home	CA, 06712	0.934319	0.0656814	53	1218	53	1218
Multi-Family with 2 - 4 Units	CA, 06712	0.974806	0.0251938	73	1548	73	1548
Multi-Family with 5+ Units	CA, 06712	0.94063	0.0593703	278	6670	278	6670
Single-Family Attached	CA, 06712	0.953722	0.0462777	101	1988	101	1988
Single-Family Detached	CA, 06712	0.973379	0.0266215	1777	32455	1777	32455
Mobile Home	CA, 07101	0.58937	0.41063	748	8241	748	8241
Multi-Family with 2 - 4 Units	CA, 07101	0.891693	0.108307	181	5429	181	5429
Multi-Family with 5+ Units	CA, 07101	0.880126	0.119874	128	3487	128	3487
Single-Family Attached	CA, 07101	0.886997	0.113003	182	4522	182	4522
Single-Family Detached	CA, 07101	0.770159	0.229841	2058	45575	2058	45575
Mobile Home	CA, 07102	0.865269	0.134731	110	2672	110	2672
Multi-Family with 2 - 4 Units	CA, 07102	0.898144	0.101856	75	2533	75	2533
Multi-Family with 5+ Units	CA, 07102	0.874163	0.125837	137	4331	137	4331
Single-Family Attached	CA, 07102	1	0	40	1054	40	1054
Single-Family Detached	CA, 07102	0.933923	0.0660769	1276	38092	1276	38092
Mobile Home	CA, 07103	0.914717	0.085283	104	2650	104	2650
Multi-Family with 2 - 4 Units	CA, 07103	0.926762	0.0732383	145	5052	145	5052
Multi-Family with 5+ Units	CA, 07103	0.935558	0.0644415	123	3026	123	3026
Single-Family Attached	CA, 07103	0.922249	0.0777512	45	836	45	836
Single-Family Detached	CA, 07103	0.933547	0.0664531	1962	45566	1962	45566
Mobile Home	CA, 07104	0.8082	0.1918	160	4244	160	4244
Multi-Family with 2 - 4 Units	CA, 07104	0.615485	0.384515	59	1537	59	1537
Multi-Family with 5+ Units	CA, 07104	0.575292	0.424708	93	1886	93	1886
Single-Family Attached	CA, 07104	0.604167	0.395833	54	960	54	960
Single-Family Detached	CA, 07104	0.492445	0.507555	3148	66712	3148	66712
