Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vacancy Status	Option=Not Available	Option=Owner	Option=Renter	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 5+ Units	AZ, 00109	Vacant	1	0	0	92	3606	92	3606
Single-Family Attached	AZ, 00109	Occupied	0	0.43962	0.56038	165	3478	165	3478
Single-Family Attached	AZ, 00109	Vacant	1	0	0	10	461	10	461
Single-Family Detached	AZ, 00109	Occupied	0	0.664318	0.335682	766	16179	766	16179
Single-Family Detached	AZ, 00109	Vacant	1	0	0	35	1182	35	1182
Mobile Home	AZ, 00110	Occupied	0	0.628827	0.371173	32	784	32	784
Mobile Home	AZ, 00110	Vacant	1	0	0	6	229	108	3950
Multi-Family with 2 - 4 Units	AZ, 00110	Occupied	0	0.234344	0.765656	181	4519	181	4519
Multi-Family with 2 - 4 Units	AZ, 00110	Vacant	1	0	0	15	553	15	553
Multi-Family with 5+ Units	AZ, 00110	Occupied	0	0.239139	0.760861	836	18805	836	18805
Multi-Family with 5+ Units	AZ, 00110	Vacant	1	0	0	129	4996	129	4996
Single-Family Attached	AZ, 00110	Occupied	0	0.799471	0.200529	467	8697	467	8697
Single-Family Attached	AZ, 00110	Vacant	1	0	0	59	2278	59	2278
Single-Family Detached	AZ, 00110	Occupied	0	0.839406	0.160594	1513	30929	1513	30929
Single-Family Detached	AZ, 00110	Vacant	1	0	0	102	3721	102	3721
Mobile Home	AZ, 00111	Occupied	0	0.836587	0.163413	73	1383	73	1383
Mobile Home	AZ, 00111	Vacant	1	0	0	14	337	14	337
Multi-Family with 2 - 4 Units	AZ, 00111	Occupied	0	0.351391	0.648609	121	2695	121	2695
Multi-Family with 2 - 4 Units	AZ, 00111	Vacant	1	0	0	15	522	15	522
Multi-Family with 5+ Units	AZ, 00111	Occupied	0	0.239906	0.760094	358	9337	358	9337
Multi-Family with 5+ Units	AZ, 00111	Vacant	1	0	0	57	2378	57	2378
Single-Family Attached	AZ, 00111	Occupied	0	0.7759	0.2241	203	4141	203	4141
Single-Family Attached	AZ, 00111	Vacant	1	0	0	30	1311	30	1311
Single-Family Detached	AZ, 00111	Occupied	0	0.884137	0.115863	1491	34230	1491	34230
Single-Family Detached	AZ, 00111	Vacant	1	0	0	129	5459	129	5459
Mobile Home	AZ, 00112	Occupied	0	0.911181	0.0888192	32	957	32	957
Mobile Home	AZ, 00112	Vacant	1	0	0	7	222	177	6335
Multi-Family with 2 - 4 Units	AZ, 00112	Occupied	0	0.41444	0.58556	60	1385	60	1385
Multi-Family with 2 - 4 Units	AZ, 00112	Vacant	1	0	0	15	525	15	525
Multi-Family with 5+ Units	AZ, 00112	Occupied	0	0.180841	0.819159	241	7067	241	7067
Multi-Family with 5+ Units	AZ, 00112	Vacant	1	0	0	52	2522	52	2522
Single-Family Attached	AZ, 00112	Occupied	0	0.787023	0.212977	133	2728	133	2728
Single-Family Attached	AZ, 00112	Vacant	1	0	0	23	878	23	878
Single-Family Detached	AZ, 00112	Occupied	0	0.901581	0.0984189	2121	40541	2121	40541
Single-Family Detached	AZ, 00112	Vacant	1	0	0	170	6113	170	6113
Mobile Home	AZ, 00113	Occupied	0	0.841678	0.158322	35	739	35	739
Mobile Home	AZ, 00113	Vacant	1	0	0	5	160	57	1912
Multi-Family with 2 - 4 Units	AZ, 00113	Occupied	0	0.180828	0.819172	65	1836	65	1836
Multi-Family with 2 - 4 Units	AZ, 00113	Vacant	1	0	0	4	151	333	10331
Multi-Family with 5+ Units	AZ, 00113	Occupied	0	0.142138	0.857862	308	8541	308	8541
Multi-Family with 5+ Units	AZ, 00113	Vacant	1	0	0	34	1446	34	1446
Single-Family Attached	AZ, 00113	Occupied	0	0.719982	0.280018	101	2182	101	2182
Single-Family Attached	AZ, 00113	Vacant	1	0	0	7	273	154	5076
Single-Family Detached	AZ, 00113	Occupied	0	0.859077	0.140923	1796	30868	1796	30868
Single-Family Detached	AZ, 00113	Vacant	1	0	0	52	1752	52	1752
Mobile Home	AZ, 00114	Occupied	0	0.698997	0.301003	197	3887	197	3887
Mobile Home	AZ, 00114	Vacant	1	0	0	14	412	14	412
Multi-Family with 2 - 4 Units	AZ, 00114	Occupied	0	0.142397	0.857603	151	3722	151	3722
Multi-Family with 2 - 4 Units	AZ, 00114	Vacant	1	0	0	11	417	11	417
Multi-Family with 5+ Units	AZ, 00114	Occupied	0	0.077403	0.922597	398	11059	398	11059
Multi-Family with 5+ Units	AZ, 00114	Vacant	1	0	0	37	1602	37	1602
Single-Family Attached	AZ, 00114	Occupied	0	0.653432	0.346568	160	2695	160	2695
Single-Family Attached	AZ, 00114	Vacant	1	0	0	10	202	10	202
Single-Family Detached	AZ, 00114	Occupied	0	0.805978	0.194022	1269	25023	1269	25023
Single-Family Detached	AZ, 00114	Vacant	1	0	0	25	1062	25	1062
Mobile Home	AZ, 00115	Occupied	0	0.763468	0.236532	98	2376	98	2376
Mobile Home	AZ, 00115	Vacant	1	0	0	9	295	43	1726
Multi-Family with 2 - 4 Units	AZ, 00115	Occupied	0	0.0546703	0.94533	144	3640	144	3640
Multi-Family with 2 - 4 Units	AZ, 00115	Vacant	1	0	0	9	238	333	10331
Multi-Family with 5+ Units	AZ, 00115	Occupied	0	0.027027	0.972973	459	12617	459	12617
Multi-Family with 5+ Units	AZ, 00115	Vacant	1	0	0	52	2012	52	2012
Single-Family Attached	AZ, 00115	Occupied	0	0.681592	0.318408	82	1608	82	1608
Single-Family Attached	AZ, 00115	Vacant	1	0	0	3	40	154	5076
Single-Family Detached	AZ, 00115	Occupied	0	0.762199	0.237801	1062	22195	1062	22195
Single-Family Detached	AZ, 00115	Vacant	1	0	0	34	1431	34	1431
Mobile Home	AZ, 00116	Occupied	0	0.670507	0.329493	17	434	17	434
Mobile Home	AZ, 00116	Vacant	1	0	0	2	59	54	1578
Multi-Family with 2 - 4 Units	AZ, 00116	Occupied	0	0.0563756	0.943624	214	4878	214	4878
Multi-Family with 2 - 4 Units	AZ, 00116	Vacant	1	0	0	24	801	24	801
Multi-Family with 5+ Units	AZ, 00116	Occupied	0	0.0823368	0.917663	911	18898	911	18898
Multi-Family with 5+ Units	AZ, 00116	Vacant	1	0	0	106	2932	106	2932
Single-Family Attached	AZ, 00116	Occupied	0	0.683801	0.316199	271	3852	271	3852
Single-Family Attached	AZ, 00116	Vacant	1	0	0	11	274	11	274
Single-Family Detached	AZ, 00116	Occupied	0	0.724746	0.275254	1129	19215	1129	19215
Single-Family Detached	AZ, 00116	Vacant	1	0	0	52	1519	52	1519
Mobile Home	AZ, 00117	Occupied	0	0.489292	0.510708	25	607	25	607
Mobile Home	AZ, 00117	Vacant	1	0	0	3	81	96	3330
Multi-Family with 2 - 4 Units	AZ, 00117	Occupied	0	0.0651818	0.934818	146	3053	146	3053
Multi-Family with 2 - 4 Units	AZ, 00117	Vacant	1	0	0	23	829	23	829
Multi-Family with 5+ Units	AZ, 00117	Occupied	0	0.0892218	0.910778	717	16487	717	16487
Multi-Family with 5+ Units	AZ, 00117	Vacant	1	0	0	64	2413	64	2413
Single-Family Attached	AZ, 00117	Occupied	0	0.555933	0.444067	140	2646	140	2646
Single-Family Attached	AZ, 00117	Vacant	1	0	0	10	270	10	270
Single-Family Detached	AZ, 00117	Occupied	0	0.736457	0.263543	1219	22577	1219	22577
Single-Family Detached	AZ, 00117	Vacant	1	0	0	93	3249	93	3249
Mobile Home	AZ, 00118	Occupied	0	0.463744	0.536256	42	1186	42	1186
Mobile Home	AZ, 00118	Vacant	1	0	0	10	291	10	291
Multi-Family with 2 - 4 Units	AZ, 00118	Occupied	0	0.0558739	0.944126	268	4886	268	4886
Multi-Family with 2 - 4 Units	AZ, 00118	Vacant	1	0	0	45	1045	45	1045
Multi-Family with 5+ Units	AZ, 00118	Occupied	0	0.0956262	0.904374	1024	18771	1024	18771
Multi-Family with 5+ Units	AZ, 00118	Vacant	1	0	0	88	2831	88	2831
Single-Family Attached	AZ, 00118	Occupied	0	0.397909	0.602091	96	1626	96	1626
Single-Family Attached	AZ, 00118	Vacant	1	0	0	6	162	154	5076
Single-Family Detached	AZ, 00118	Occupied	0	0.592362	0.407638	1008	18931	1008	18931
Single-Family Detached	AZ, 00118	Vacant	1	0	0	98	2629	98	2629
Mobile Home	AZ, 00119	Occupied	0	0.539867	0.460133	61	1204	61	1204
Mobile Home	AZ, 00119	Vacant	1	0	0	9	269	81	1894
Multi-Family with 2 - 4 Units	AZ, 00119	Occupied	0	0.0966811	0.903319	95	2079	95	2079
Multi-Family with 2 - 4 Units	AZ, 00119	Vacant	1	0	0	26	534	26	534
Multi-Family with 5+ Units	AZ, 00119	Occupied	0	0.0550227	0.944977	173	3962	173	3962
Multi-Family with 5+ Units	AZ, 00119	Vacant	1	0	0	12	335	12	335
Single-Family Attached	AZ, 00119	Occupied	0	0.525114	0.474886	64	1095	64	1095
Single-Family Attached	AZ, 00119	Vacant	1	0	0	4	101	154	5076
Single-Family Detached	AZ, 00119	Occupied	0	0.674859	0.325141	1190	24534	1190	24534
Single-Family Detached	AZ, 00119	Vacant	1	0	0	72	1625	72	1625
Mobile Home	AZ, 00120	Occupied	0	0.508658	0.491342	33	924	33	924
Mobile Home	AZ, 00120	Vacant	1	0	0	7	275	48	1581
Multi-Family with 2 - 4 Units	AZ, 00120	Occupied	0	0.176944	0.823056	57	1119	57	1119
Multi-Family with 2 - 4 Units	AZ, 00120	Vacant	1	0	0	3	198	333	10331
Multi-Family with 5+ Units	AZ, 00120	Occupied	0	0.0341301	0.96587	298	7823	298	7823
Multi-Family with 5+ Units	AZ, 00120	Vacant	1	0	0	28	1209	28	1209
Single-Family Attached	AZ, 00120	Occupied	0	0.628872	0.371128	84	1711	84	1711
Single-Family Attached	AZ, 00120	Vacant	1	0	0	11	452	11	452
Single-Family Detached	AZ, 00120	Occupied	0	0.853169	0.146831	1620	29660	1620	29660
Single-Family Detached	AZ, 00120	Vacant	1	0	0	41	1306	41	1306
Mobile Home	AZ, 00121	Occupied	0	0.653901	0.346099	95	2115	95	2115
Mobile Home	AZ, 00121	Vacant	1	0	0	14	372	14	372
Multi-Family with 2 - 4 Units	AZ, 00121	Occupied	0	0.0194856	0.980514	50	1283	50	1283
Multi-Family with 2 - 4 Units	AZ, 00121	Vacant	1	0	0	4	99	1145	40992
Multi-Family with 5+ Units	AZ, 00121	Occupied	0	0.019478	0.980522	75	2567	75	2567
Multi-Family with 5+ Units	AZ, 00121	Vacant	1	0	0	13	404	13	404
Single-Family Attached	AZ, 00121	Occupied	0	0.607981	0.392019	26	426	26	426
Single-Family Attached	AZ, 00121	Vacant	1	0	0	1	35	992	33165
Single-Family Detached	AZ, 00121	Occupied	0	0.669472	0.330528	1511	33979	1511	33979
Single-Family Detached	AZ, 00121	Vacant	1	0	0	58	1664	58	1664
Mobile Home	AZ, 00122	Occupied	0	0.715019	0.284981	37	779	37	779
Mobile Home	AZ, 00122	Vacant	1	0	0	3	84	46	1264
Multi-Family with 2 - 4 Units	AZ, 00122	Occupied	0	0.0101266	0.989873	72	1580	72	1580
Multi-Family with 2 - 4 Units	AZ, 00122	Vacant	1	0	0	10	231	10	231
Multi-Family with 5+ Units	AZ, 00122	Occupied	0	0.016235	0.983765	353	8069	353	8069
Multi-Family with 5+ Units	AZ, 00122	Vacant	1	0	0	68	1627	68	1627
Single-Family Attached	AZ, 00122	Occupied	0	0.458537	0.541463	43	820	43	820
Single-Family Attached	AZ, 00122	Vacant	1	0	0	3	95	154	5076
Single-Family Detached	AZ, 00122	Occupied	0	0.629972	0.370028	921	18631	921	18631
Single-Family Detached	AZ, 00122	Vacant	1	0	0	43	1180	43	1180
Mobile Home	AZ, 00123	Occupied	0	0.623173	0.376827	6	176	1279	25513
Mobile Home	AZ, 00123	Vacant	1	0	0	0	0	46	1208
Multi-Family with 2 - 4 Units	AZ, 00123	Occupied	0	0.150129	0.849871	46	1159	46	1159
Multi-Family with 2 - 4 Units	AZ, 00123	Vacant	1	0	0	4	94	333	10331
Multi-Family with 5+ Units	AZ, 00123	Occupied	0	0.0244192	0.975581	209	5897	209	5897
Multi-Family with 5+ Units	AZ, 00123	Vacant	1	0	0	24	804	24	804
Single-Family Attached	AZ, 00123	Occupied	0	0.488449	0.511551	55	1212	55	1212
Single-Family Attached	AZ, 00123	Vacant	1	0	0	2	40	154	5076
Single-Family Detached	AZ, 00123	Occupied	0	0.62612	0.37388	1273	25337	1273	25337
Single-Family Detached	AZ, 00123	Vacant	1	0	0	46	1208	46	1208
Mobile Home	AZ, 00124	Occupied	0	0.686454	0.313546	159	3285	159	3285
Mobile Home	AZ, 00124	Vacant	1	0	0	17	486	17	486
Multi-Family with 2 - 4 Units	AZ, 00124	Occupied	0	0.0326477	0.967352	130	3063	130	3063
Multi-Family with 2 - 4 Units	AZ, 00124	Vacant	1	0	0	23	642	23	642
Multi-Family with 5+ Units	AZ, 00124	Occupied	0	0.0208705	0.979129	406	8960	406	8960
Multi-Family with 5+ Units	AZ, 00124	Vacant	1	0	0	35	969	35	969
Single-Family Attached	AZ, 00124	Occupied	0	0.481646	0.518354	94	1580	94	1580
Single-Family Attached	AZ, 00124	Vacant	1	0	0	1	34	992	33165
Single-Family Detached	AZ, 00124	Occupied	0	0.715077	0.284923	1047	18956	1047	18956
Single-Family Detached	AZ, 00124	Vacant	1	0	0	35	940	35	940
Mobile Home	AZ, 00125	Occupied	0	0.593939	0.406061	18	495	18	495
Mobile Home	AZ, 00125	Vacant	1	0	0	1	31	42	1517
Multi-Family with 2 - 4 Units	AZ, 00125	Occupied	0	0.107865	0.892135	80	2225	80	2225
Multi-Family with 2 - 4 Units	AZ, 00125	Vacant	1	0	0	13	536	13	536
Multi-Family with 5+ Units	AZ, 00125	Occupied	0	0.0398113	0.960189	294	8691	294	8691
Multi-Family with 5+ Units	AZ, 00125	Vacant	1	0	0	37	1429	37	1429
Single-Family Attached	AZ, 00125	Occupied	0	0.513211	0.486789	54	1249	54	1249
Single-Family Attached	AZ, 00125	Vacant	1	0	0	1	32	154	5076
Single-Family Detached	AZ, 00125	Occupied	0	0.765648	0.234352	1158	24843	1158	24843
Single-Family Detached	AZ, 00125	Vacant	1	0	0	41	1486	41	1486
Mobile Home	AZ, 00126	Occupied	0	0.593123	0.406877	58	1047	58	1047
Mobile Home	AZ, 00126	Vacant	1	0	0	5	150	63	2262
Multi-Family with 2 - 4 Units	AZ, 00126	Occupied	0	0.087402	0.912598	76	1659	76	1659
Multi-Family with 2 - 4 Units	AZ, 00126	Vacant	1	0	0	6	222	1145	40992
Multi-Family with 5+ Units	AZ, 00126	Occupied	0	0.0411612	0.958839	394	9645	394	9645
Multi-Family with 5+ Units	AZ, 00126	Vacant	1	0	0	33	1375	33	1375
Single-Family Attached	AZ, 00126	Occupied	0	0.616233	0.383767	66	1269	66	1269
Single-Family Attached	AZ, 00126	Vacant	1	0	0	2	76	992	33165
Single-Family Detached	AZ, 00126	Occupied	0	0.831249	0.168751	1899	32699	1899	32699
Single-Family Detached	AZ, 00126	Vacant	1	0	0	58	2112	58	2112
Mobile Home	AZ, 00127	Occupied	0	0.8125	0.1875	116	2400	116	2400
Mobile Home	AZ, 00127	Vacant	1	0	0	11	504	11	504
Multi-Family with 2 - 4 Units	AZ, 00127	Occupied	0	0.273455	0.726545	62	1375	62	1375
Multi-Family with 2 - 4 Units	AZ, 00127	Vacant	1	0	0	4	141	1145	40992
Multi-Family with 5+ Units	AZ, 00127	Occupied	0	0.0594934	0.940507	240	5093	240	5093
Multi-Family with 5+ Units	AZ, 00127	Vacant	1	0	0	28	1093	28	1093
Single-Family Attached	AZ, 00127	Occupied	0	0.630775	0.369225	173	2684	173	2684
Single-Family Attached	AZ, 00127	Vacant	1	0	0	14	493	14	493
Single-Family Detached	AZ, 00127	Occupied	0	0.827057	0.172943	1605	28917	1605	28917
Single-Family Detached	AZ, 00127	Vacant	1	0	0	51	1983	51	1983
Mobile Home	AZ, 00128	Occupied	0	0.656951	0.343049	65	1784	65	1784
Mobile Home	AZ, 00128	Vacant	1	0	0	8	372	49	1864
Multi-Family with 2 - 4 Units	AZ, 00128	Occupied	0	0.145641	0.854359	38	975	38	975
Multi-Family with 2 - 4 Units	AZ, 00128	Vacant	1	0	0	1	36	333	10331
Multi-Family with 5+ Units	AZ, 00128	Occupied	0	0.0219007	0.978099	176	4977	176	4977
Multi-Family with 5+ Units	AZ, 00128	Vacant	1	0	0	18	830	18	830
Single-Family Attached	AZ, 00128	Occupied	0	0.547315	0.452685	73	1564	73	1564
Single-Family Attached	AZ, 00128	Vacant	1	0	0	5	209	154	5076
Single-Family Detached	AZ, 00128	Occupied	0	0.847552	0.152448	1560	30043	1560	30043
Single-Family Detached	AZ, 00128	Vacant	1	0	0	41	1492	41	1492
Mobile Home	AZ, 00129	Occupied	0	0.829903	0.170097	98	1652	98	1652
Mobile Home	AZ, 00129	Vacant	1	0	0	19	562	19	562
Multi-Family with 2 - 4 Units	AZ, 00129	Occupied	0	0.283721	0.716279	28	645	28	645
Multi-Family with 2 - 4 Units	AZ, 00129	Vacant	1	0	0	4	153	1145	40992
Multi-Family with 5+ Units	AZ, 00129	Occupied	0	0.0579206	0.942079	205	4886	205	4886
Multi-Family with 5+ Units	AZ, 00129	Vacant	1	0	0	13	521	13	521
Single-Family Attached	AZ, 00129	Occupied	0	0.708942	0.291058	53	1096	53	1096
Single-Family Attached	AZ, 00129	Vacant	1	0	0	2	51	992	33165
Single-Family Detached	AZ, 00129	Occupied	0	0.862665	0.137335	1854	36400	1854	36400
Single-Family Detached	AZ, 00129	Vacant	1	0	0	77	3020	77	3020
Mobile Home	AZ, 00130	Occupied	0	0.833783	0.166217	145	2593	145	2593
Mobile Home	AZ, 00130	Vacant	1	0	0	35	981	35	981
Multi-Family with 2 - 4 Units	AZ, 00130	Occupied	0	0.338962	0.661038	66	1599	66	1599
Multi-Family with 2 - 4 Units	AZ, 00130	Vacant	1	0	0	8	306	1145	40992
Multi-Family with 5+ Units	AZ, 00130	Occupied	0	0.203205	0.796795	301	6614	301	6614
Multi-Family with 5+ Units	AZ, 00130	Vacant	1	0	0	25	1112	25	1112
Single-Family Attached	AZ, 00130	Occupied	0	0.890435	0.109565	391	7977	391	7977
Single-Family Attached	AZ, 00130	Vacant	1	0	0	37	1816	37	1816
Single-Family Detached	AZ, 00130	Occupied	0	0.82423	0.17577	2214	39802	2214	39802
Single-Family Detached	AZ, 00130	Vacant	1	0	0	191	7581	191	7581
Mobile Home	AZ, 00131	Occupied	0	0.879619	0.120381	52	839	52	839
Mobile Home	AZ, 00131	Vacant	1	0	0	19	636	19	636
Multi-Family with 2 - 4 Units	AZ, 00131	Occupied	0	0.401478	0.598522	24	406	24	406
Multi-Family with 2 - 4 Units	AZ, 00131	Vacant	1	0	0	0	0	1145	40992
Multi-Family with 5+ Units	AZ, 00131	Occupied	0	0.0613995	0.9386	115	2215	115	2215
Multi-Family with 5+ Units	AZ, 00131	Vacant	1	0	0	20	764	20	764
Single-Family Attached	AZ, 00131	Occupied	0	0.723404	0.276596	31	564	31	564
Single-Family Attached	AZ, 00131	Vacant	1	0	0	4	131	992	33165
Single-Family Detached	AZ, 00131	Occupied	0	0.817872	0.182128	2027	38451	2027	38451
Single-Family Detached	AZ, 00131	Vacant	1	0	0	140	5152	140	5152
Mobile Home	AZ, 00132	Occupied	0	0.794239	0.205761	49	1215	49	1215
Mobile Home	AZ, 00132	Vacant	1	0	0	4	154	91	3480
Multi-Family with 2 - 4 Units	AZ, 00132	Occupied	0	0.0827815	0.917219	36	604	36	604
Multi-Family with 2 - 4 Units	AZ, 00132	Vacant	1	0	0	1	68	1145	40992
Multi-Family with 5+ Units	AZ, 00132	Occupied	0	0.0221506	0.977849	102	2483	102	2483
Multi-Family with 5+ Units	AZ, 00132	Vacant	1	0	0	8	419	4193	145418
Single-Family Attached	AZ, 00132	Occupied	0	0.363636	0.636364	50	693	50	693
Single-Family Attached	AZ, 00132	Vacant	1	0	0	5	150	992	33165
Single-Family Detached	AZ, 00132	Occupied	0	0.83991	0.16009	1663	34568	1663	34568
Single-Family Detached	AZ, 00132	Vacant	1	0	0	87	3326	87	3326
Mobile Home	AZ, 00133	Occupied	0	0.582691	0.417309	58	1167	58	1167
Mobile Home	AZ, 00133	Vacant	1	0	0	4	102	56	1740
Multi-Family with 2 - 4 Units	AZ, 00133	Occupied	0	0.0666138	0.933386	62	1261	62	1261
Multi-Family with 2 - 4 Units	AZ, 00133	Vacant	1	0	0	6	244	1145	40992
Multi-Family with 5+ Units	AZ, 00133	Occupied	0	0.0290771	0.970923	225	5537	225	5537
Multi-Family with 5+ Units	AZ, 00133	Vacant	1	0	0	15	521	15	521
Single-Family Attached	AZ, 00133	Occupied	0	0.486928	0.513072	34	612	34	612
Single-Family Attached	AZ, 00133	Vacant	1	0	0	0	0	992	33165
Single-Family Detached	AZ, 00133	Occupied	0	0.694067	0.305933	1490	28248	1490	28248
Single-Family Detached	AZ, 00133	Vacant	1	0	0	52	1638	52	1638
Mobile Home	AZ, 00134	Occupied	0	0.714317	0.285683	263	4638	263	4638
Mobile Home	AZ, 00134	Vacant	1	0	0	59	1030	59	1030
Multi-Family with 2 - 4 Units	AZ, 00134	Occupied	0	0.0507937	0.949206	32	630	32	630
Multi-Family with 2 - 4 Units	AZ, 00134	Vacant	1	0	0	4	91	1145	40992
Multi-Family with 5+ Units	AZ, 00134	Occupied	0	0.0309406	0.969059	40	808	40	808
Multi-Family with 5+ Units	AZ, 00134	Vacant	1	0	0	3	94	4193	145418
Single-Family Attached	AZ, 00134	Occupied	0	0.821006	0.178994	38	676	38	676
Single-Family Attached	AZ, 00134	Vacant	1	0	0	9	197	992	33165
Single-Family Detached	AZ, 00134	Occupied	0	0.810669	0.189331	1955	37041	1955	37041
Single-Family Detached	AZ, 00134	Vacant	1	0	0	167	4841	167	4841
Mobile Home	AZ, 00201	Occupied	0	0.768736	0.231264	460	9327	460	9327
Mobile Home	AZ, 00201	Vacant	1	0	0	75	1824	75	1824
Multi-Family with 2 - 4 Units	AZ, 00201	Occupied	0	0.192857	0.807143	26	420	26	420
Multi-Family with 2 - 4 Units	AZ, 00201	Vacant	1	0	0	6	107	1145	40992
Multi-Family with 5+ Units	AZ, 00201	Occupied	0	0.0627943	0.937206	80	2548	80	2548
Multi-Family with 5+ Units	AZ, 00201	Vacant	1	0	0	20	627	20	627
Single-Family Attached	AZ, 00201	Occupied	0	0.820348	0.179652	136	2182	136	2182
Single-Family Attached	AZ, 00201	Vacant	1	0	0	22	933	22	933
Single-Family Detached	AZ, 00201	Occupied	0	0.791871	0.208129	1328	22587	1328	22587
Single-Family Detached	AZ, 00201	Vacant	1	0	0	157	3433	157	3433
Mobile Home	AZ, 00202	Occupied	0	0.822402	0.177598	371	8660	371	8660
Mobile Home	AZ, 00202	Vacant	1	0	0	45	1767	45	1767
Multi-Family with 2 - 4 Units	AZ, 00202	Occupied	0	0.130022	0.869978	51	1369	51	1369
Multi-Family with 2 - 4 Units	AZ, 00202	Vacant	1	0	0	2	56	1145	40992
Multi-Family with 5+ Units	AZ, 00202	Occupied	0	0.0234343	0.976566	149	4822	149	4822
Multi-Family with 5+ Units	AZ, 00202	Vacant	1	0	0	21	1034	21	1034
Single-Family Attached	AZ, 00202	Occupied	0	0.610078	0.389922	86	1667	86	1667
Single-Family Attached	AZ, 00202	Vacant	1	0	0	5	155	992	33165
Single-Family Detached	AZ, 00202	Occupied	0	0.842476	0.157524	1579	32395	1579	32395
Single-Family Detached	AZ, 00202	Vacant	1	0	0	79	3042	79	3042
Mobile Home	AZ, 00203	Occupied	0	0.794721	0.205279	131	2387	131	2387
Mobile Home	AZ, 00203	Vacant	1	0	0	5	212	83	2689
Multi-Family with 2 - 4 Units	AZ, 00203	Occupied	0	0.0864528	0.913547	68	1122	68	1122
Multi-Family with 2 - 4 Units	AZ, 00203	Vacant	1	0	0	7	361	1145	40992
Multi-Family with 5+ Units	AZ, 00203	Occupied	0	0.0292325	0.970768	357	7218	357	7218
Multi-Family with 5+ Units	AZ, 00203	Vacant	1	0	0	29	992	29	992
Single-Family Attached	AZ, 00203	Occupied	0	0.804544	0.195456	133	2333	133	2333
Single-Family Attached	AZ, 00203	Vacant	1	0	0	17	663	17	663
Single-Family Detached	AZ, 00203	Occupied	0	0.841218	0.158782	2093	35722	2093	35722
Single-Family Detached	AZ, 00203	Vacant	1	0	0	78	2477	78	2477
Mobile Home	AZ, 00204	Occupied	0	0.821501	0.178499	30	493	30	493
Mobile Home	AZ, 00204	Vacant	1	0	0	1	42	138	4325
Multi-Family with 2 - 4 Units	AZ, 00204	Occupied	0	0.172107	0.827893	70	1685	70	1685
Multi-Family with 2 - 4 Units	AZ, 00204	Vacant	1	0	0	7	289	1145	40992
Multi-Family with 5+ Units	AZ, 00204	Occupied	0	0.0779619	0.922038	430	9774	430	9774
Multi-Family with 5+ Units	AZ, 00204	Vacant	1	0	0	45	2119	45	2119
Single-Family Attached	AZ, 00204	Occupied	0	0.775235	0.224765	260	3933	260	3933
Single-Family Attached	AZ, 00204	Vacant	1	0	0	20	634	20	634
Single-Family Detached	AZ, 00204	Occupied	0	0.891119	0.108881	2047	31888	2047	31888
Single-Family Detached	AZ, 00204	Vacant	1	0	0	137	4283	137	4283
Mobile Home	AZ, 00205	Occupied	0	0.857197	0.142803	266	5301	266	5301
Mobile Home	AZ, 00205	Vacant	1	0	0	31	1027	31	1027
Multi-Family with 2 - 4 Units	AZ, 00205	Occupied	0	0.41366	0.58634	42	776	42	776
Multi-Family with 2 - 4 Units	AZ, 00205	Vacant	1	0	0	19	637	19	637
Multi-Family with 5+ Units	AZ, 00205	Occupied	0	0.0686164	0.931384	42	889	42	889
Multi-Family with 5+ Units	AZ, 00205	Vacant	1	0	0	5	182	4193	145418
Single-Family Attached	AZ, 00205	Occupied	0	0.829245	0.170755	196	3098	196	3098
Single-Family Attached	AZ, 00205	Vacant	1	0	0	32	1154	32	1154
Single-Family Detached	AZ, 00205	Occupied	0	0.8479	0.1521	2029	39829	2029	39829
Single-Family Detached	AZ, 00205	Vacant	1	0	0	89	3276	89	3276
Mobile Home	AZ, 00206	Occupied	0	0.828387	0.171613	86	1550	86	1550
Mobile Home	AZ, 00206	Vacant	1	0	0	7	317	65	2529
Multi-Family with 2 - 4 Units	AZ, 00206	Occupied	0	0.0722892	0.927711	177	4150	177	4150
Multi-Family with 2 - 4 Units	AZ, 00206	Vacant	1	0	0	23	896	23	896
Multi-Family with 5+ Units	AZ, 00206	Occupied	0	0.0302064	0.969794	648	16619	648	16619
Multi-Family with 5+ Units	AZ, 00206	Vacant	1	0	0	63	2973	63	2973
Single-Family Attached	AZ, 00206	Occupied	0	0.562265	0.437735	315	5316	315	5316
Single-Family Attached	AZ, 00206	Vacant	1	0	0	16	623	16	623
Single-Family Detached	AZ, 00206	Occupied	0	0.724528	0.275472	1163	20935	1163	20935
Single-Family Detached	AZ, 00206	Vacant	1	0	0	58	2212	58	2212
Mobile Home	AZ, 00207	Occupied	0	0.755317	0.244683	321	6159	321	6159
Mobile Home	AZ, 00207	Vacant	1	0	0	33	1075	33	1075
Multi-Family with 2 - 4 Units	AZ, 00207	Occupied	0	0.0554997	0.9445	222	4973	222	4973
Multi-Family with 2 - 4 Units	AZ, 00207	Vacant	1	0	0	27	932	27	932
Multi-Family with 5+ Units	AZ, 00207	Occupied	0	0.0254142	0.974586	482	10624	482	10624
Multi-Family with 5+ Units	AZ, 00207	Vacant	1	0	0	53	1742	53	1742
Single-Family Attached	AZ, 00207	Occupied	0	0.280982	0.719018	170	3381	170	3381
Single-Family Attached	AZ, 00207	Vacant	1	0	0	18	735	18	735
Single-Family Detached	AZ, 00207	Occupied	0	0.588896	0.411104	869	16750	869	16750
