Dependency=Metropolitan and Micropolitan Statistical Area	Option=Metropolitan	Option=Non-Metropolitan	source_count	source_weight
Mount Pleasant, TX MicroSA	0	1	1664	12122
Mount Sterling, KY MicroSA	0	1	1880	20994
Mount Vernon, IL MicroSA	0	1	2931	16836
Mount Vernon, OH MicroSA	0	1	5537	25462
Mount Vernon-Anacortes, WA MSA	1	0	4436	52058
Mountain Home, AR MicroSA	0	1	3064	22588
Mountain Home, ID MicroSA	0	1	5441	12195
Muncie, IN MSA	1	0	4423	52406
Murray, KY MicroSA	0	1	2024	18339
Muscatine, IA MicroSA	0	1	2232	17966
Muskegon, MI MSA	1	0	5581	73385
Muskogee, OK MicroSA	0	1	6127	30902
Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA	1	0	15349	275287
Nacogdoches, TX MicroSA	0	1	2381	27965
Napa, CA MSA	1	0	2771	55301
Naples-Immokalee-Marco Island, FL MSA	1	0	6479	203899
Nashville-Davidson--Murfreesboro--Franklin, TN MSA	1	0	43693	733796
Natchez, MS-LA MicroSA	0	1	3788	24061
Natchitoches, LA MicroSA	0	1	3493	18762
New Bern, NC MSA	1	0	5517	58390
New Castle, IN MicroSA	0	1	3205	21155
New Castle, PA MicroSA	0	1	3968	40723
New Haven-Milford, CT MSA	1	0	13708	362497
New Orleans-Metairie, LA MSA	1	0	48359	553791
New Philadelphia-Dover, OH MicroSA	0	1	6681	39947
New Ulm, MN MicroSA	0	1	1775	11564
New York-Newark-Jersey City, NY-NJ-PA MSA	1	0	240291	7.87483e+06
Newberry, SC MicroSA	0	1	2353	17980
Newport, OR MicroSA	0	1	3974	30798
Newport, TN MicroSA	0	1	2451	17372
Newton, IA MicroSA	0	1	3168	16147
Niles-Benton Harbor, MI MSA	1	0	6231	76842
Nogales, AZ MicroSA	0	1	2678	18125
None	0	1	2.49929e+06	9.77509e+06
Norfolk, NE MicroSA	0	1	6261	20970
North Platte, NE MicroSA	0	1	5839	17293
North Port-Sarasota-Bradenton, FL MSA	1	0	19913	410952
North Vernon, IN MicroSA	0	1	1810	12075
North Wilkesboro, NC MicroSA	0	1	3501	33046
Norwalk, OH MicroSA	0	1	4141	25099
Norwich-New London, CT MSA	1	0	7342	121426
Oak Harbor, WA MicroSA	0	1	2075	40711
Ocala, FL MSA	1	0	13122	163786
Ocean City, NJ MSA	1	0	5182	98900
Odessa, TX MSA	1	0	4616	56167
Ogden-Clearfield, UT MSA	1	0	16696	212777
Ogdensburg-Massena, NY MicroSA	0	1	7066	52272
Oil City, PA MicroSA	0	1	2998	27300
Okeechobee, FL MicroSA	0	1	1836	18234
Oklahoma City, OK MSA	1	0	40471	557461
Olean, NY MicroSA	0	1	5098	40973
Olympia-Tumwater, WA MSA	1	0	6097	111716
Omaha-Council Bluffs, NE-IA MSA	1	0	35438	374190
Oneonta, NY MicroSA	0	1	4607	30684
Ontario, OR-ID MicroSA	0	1	6878	20698
Opelousas, LA MicroSA	0	1	4479	36172
Orangeburg, SC MicroSA	0	1	5503	42173
Orlando-Kissimmee-Sanford, FL MSA	1	0	46835	976455
Oshkosh-Neenah, WI MSA	1	0	5620	74276
Oskaloosa, IA MicroSA	0	1	1775	9785
Othello, WA MicroSA	0	1	2073	6313
Ottawa, KS MicroSA	0	1	2754	11088
Ottawa-Peru, IL MicroSA	0	1	11317	68642
Ottumwa, IA MicroSA	0	1	4153	19607
Owatonna, MN MicroSA	0	1	1669	15411
Owensboro, KY MSA	1	0	4484	50463
Owosso, MI MicroSA	0	1	3074	30072
Oxford, MS MicroSA	0	1	2017	23993
Oxford, NC MicroSA	0	1	1999	23309
Oxnard-Thousand Oaks-Ventura, CA MSA	1	0	14854	284759
Ozark, AL MicroSA	0	1	3033	22839
Paducah, KY-IL MicroSA	0	1	6023	47292
Pahrump, NV MicroSA	0	1	7418	21786
Palatka, FL MicroSA	0	1	5341	36681
Palestine, TX MicroSA	0	1	3172	20134
Palm Bay-Melbourne-Titusville, FL MSA	1	0	12108	272437
Pampa, TX MicroSA	0	1	2892	10111
Panama City, FL MSA	1	0	10377	109616
Paragould, AR MicroSA	0	1	2260	18479
Paris, TN MicroSA	0	1	2569	17015
Paris, TX MicroSA	0	1	2800	22583
Parkersburg-Vienna, WV MSA	1	0	6568	43488
Parsons, KS MicroSA	0	1	3551	10054
Payson, AZ MicroSA	0	1	4979	33138
Pecos, TX MicroSA	0	1	2383	4630
Pensacola-Ferry Pass-Brent, FL MSA	1	0	16273	206301
Peoria, IL MSA	1	0	17811	165564
Peru, IN MicroSA	0	1	1977	15327
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA	1	0	110681	2.44936e+06
Phoenix-Mesa-Scottsdale, AZ MSA	1	0	92078	1.84687e+06
Picayune, MS MicroSA	0	1	2294	24571
Pierre, SD MicroSA	0	1	1989	10122
Pine Bluff, AR MSA	1	0	7098	42117
Pinehurst-Southern Pines, NC MicroSA	0	1	3698	45323
Pittsburg, KS MicroSA	0	1	3806	17891
Pittsburgh, PA MSA	1	0	75232	1.10597e+06
Pittsfield, MA MSA	1	0	6767	68391
Plainview, TX MicroSA	0	1	3465	13477
Platteville, WI MicroSA	0	1	4007	21783
Plattsburgh, NY MicroSA	0	1	3554	35948
Plymouth, IN MicroSA	0	1	2427	19952
Pocatello, ID MSA	1	0	4892	33400
Point Pleasant, WV-OH MicroSA	0	1	4824	26671
Ponca City, OK MicroSA	0	1	4193	21617
Pontiac, IL MicroSA	0	1	4620	15845
Poplar Bluff, MO MicroSA	0	1	4552	19661
Port Angeles, WA MicroSA	0	1	3439	35879
Port Clinton, OH MicroSA	0	1	2460	28012
Port Lavaca, TX MicroSA	0	1	1885	11699
Port St. Lucie, FL MSA	1	0	13446	216606
Portales, NM MicroSA	0	1	2929	8299
Portland-South Portland, ME MSA	1	0	16585	266073
Portland-Vancouver-Hillsboro, OR-WA MSA	1	0	50826	950203
Portsmouth, OH MicroSA	0	1	3529	34046
Pottsville, PA MicroSA	0	1	6872	68954
Prescott, AZ MSA	1	0	12462	112854
Price, UT MicroSA	0	1	2065	9605
Prineville, OR MicroSA	0	1	2488	10339
Providence-Warwick, RI-MA MSA	1	0	37672	693904
Provo-Orem, UT MSA	1	0	19641	162263
Pueblo, CO MSA	1	0	7856	70086
Pullman, WA MicroSA	0	1	3539	19886
Punta Gorda, FL MSA	1	0	8597	101532
Quincy, IL-MO MicroSA	0	1	5320	34485
Racine, WI MSA	1	0	4122	82333
Raleigh, NC MSA	1	0	20254	498384
Rapid City, SD MSA	1	0	7264	63044
Raymondville, TX MicroSA	0	1	2224	7164
Reading, PA MSA	1	0	13195	164853
Red Bluff, CA MicroSA	0	1	5435	27225
Red Wing, MN MicroSA	0	1	2808	20351
Redding, CA MSA	1	0	10564	77942
Reno, NV MSA	1	0	11854	189717
Rexburg, ID MicroSA	0	1	4725	21431
Richmond, IN MicroSA	0	1	2878	31153
Richmond, VA MSA	1	0	39846	518998
Richmond-Berea, KY MicroSA	0	1	3575	43516
Rio Grande City, TX MicroSA	0	1	4313	19639
Riverside-San Bernardino-Ontario, CA MSA	1	0	83894	1.52874e+06
Riverton, WY MicroSA	0	1	6919	17703
Roanoke Rapids, NC MicroSA	0	1	3605	37238
Roanoke, VA MSA	1	0	14045	145956
Rochelle, IL MicroSA	0	1	3444	22552
Rochester, MN MSA	1	0	11042	89965
Rochester, NY MSA	1	0	25780	475070
Rock Springs, WY MicroSA	0	1	5305	19102
Rockford, IL MSA	1	0	11289	145550
Rockingham, NC MicroSA	0	1	2021	20999
Rocky Mount, NC MSA	1	0	5488	67088
Rolla, MO MicroSA	0	1	3662	19787
Rome, GA MSA	1	0	3386	40446
Roseburg, OR MicroSA	0	1	14088	49082
Roswell, NM MicroSA	0	1	6724	26710
Russellville, AR MicroSA	0	1	5687	35609
Ruston, LA MicroSA	0	1	1647	19722
Rutland, VT MicroSA	0	1	3304	33841
Sacramento--Roseville--Arden-Arcade, CA MSA	1	0	38518	885251
Safford, AZ MicroSA	0	1	3988	13268
Saginaw, MI MSA	1	0	6713	86792
Salem, OH MicroSA	0	1	5312	46591
Salem, OR MSA	1	0	11366	153733
Salina, KS MicroSA	0	1	3640	26970
Salinas, CA MSA	1	0	10601	140169
Salisbury, MD-DE MSA	1	0	23051	238339
Salt Lake City, UT MSA	1	0	19962	397381
San Angelo, TX MSA	1	0	7378	48570
San Antonio-New Braunfels, TX MSA	1	0	45923	864566
San Diego-Carlsbad, CA MSA	1	0	43415	1.18764e+06
San Francisco-Oakland-Hayward, CA MSA	1	0	63419	1.77241e+06
San Jose-Sunnyvale-Santa Clara, CA MSA	1	0	25017	670044
San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA	1	0	11428	119399
Sandpoint, ID MicroSA	0	1	4108	24570
Sandusky, OH MicroSA	0	1	3061	37715
Sanford, NC MicroSA	0	1	1864	24234
Santa Cruz-Watsonville, CA MSA	1	0	5085	105255
Santa Fe, NM MSA	1	0	6090	71751
Santa Maria-Santa Barbara, CA MSA	1	0	10370	154574
Santa Rosa, CA MSA	1	0	10389	207058
Sault Ste. Marie, MI MicroSA	0	1	3674	21210
Savannah, GA MSA	1	0	10681	156428
Sayre, PA MicroSA	0	1	4488	30107
Scottsbluff, NE MicroSA	0	1	7734	17490
Scottsboro, AL MicroSA	0	1	4476	24773
Scranton--Wilkes-Barre--Hazleton, PA MSA	1	0	22010	258929
Searcy, AR MicroSA	0	1	3351	33138
Seattle-Tacoma-Bellevue, WA MSA	1	0	61651	1.51337e+06
Sebastian-Vero Beach, FL MSA	1	0	6268	77498
Sebring, FL MSA	1	0	6827	54967
Sedalia, MO MicroSA	0	1	4274	18204
Selinsgrove, PA MicroSA	0	1	3582	16141
Selma, AL MicroSA	0	1	3099	20242
Seneca Falls, NY MicroSA	0	1	2199	16230
Seneca, SC MicroSA	0	1	3542	39139
Sevierville, TN MicroSA	0	1	4434	56274
Seymour, IN MicroSA	0	1	2904	18552
Shawano, WI MicroSA	0	1	4153	22937
Shawnee, OK MicroSA	0	1	3998	29633
Sheboygan, WI MSA	1	0	4727	50642
Shelby, NC MicroSA	0	1	3467	43285
Shelbyville, TN MicroSA	0	1	2263	18622
Shelton, WA MicroSA	0	1	2465	32617
Sheridan, WY MicroSA	0	1	3777	14344
Sherman-Denison, TX MSA	1	0	6706	54395
Show Low, AZ MicroSA	0	1	20804	57554
Shreveport-Bossier City, LA MSA	1	0	19151	198521
Sidney, OH MicroSA	0	1	2789	20327
Sierra Vista-Douglas, AZ MSA	1	0	9139	60401
Sikeston, MO MicroSA	0	1	3137	17024
Silver City, NM MicroSA	0	1	3284	14678
Sioux City, IA-NE-SD MSA	1	0	13131	69381
Sioux Falls, SD MSA	1	0	10682	101608
Snyder, TX MicroSA	0	1	2949	7185
Somerset, KY MicroSA	0	1	3031	31189
Somerset, PA MicroSA	0	1	5002	37953
Sonora, CA MicroSA	0	1	4753	31358
South Bend-Mishawaka, IN-MI MSA	1	0	13242	141490
Spartanburg, SC MSA	1	0	11789	138654
Spearfish, SD MicroSA	0	1	1469	13355
Spencer, IA MicroSA	0	1	1790	8099
Spirit Lake, IA MicroSA	0	1	1510	13251
Spokane-Spokane Valley, WA MSA	1	0	20852	236197
Springfield, IL MSA	1	0	10016	96281
Springfield, MA MSA	1	0	15517	254947
Springfield, MO MSA	1	0	22117	197399
Springfield, OH MSA	1	0	4049	61143
St. Cloud, MN MSA	1	0	8848	79407
St. George, UT MSA	1	0	5513	62393
St. Joseph, MO-KS MSA	1	0	10094	53622
St. Louis, MO-IL MSA	1	0	89007	1.23781e+06
St. Marys, GA MicroSA	0	1	3231	21415
Starkville, MS MicroSA	0	1	2196	21372
State College, PA MSA	1	0	4583	64938
Statesboro, GA MicroSA	0	1	3090	29892
Staunton-Waynesboro, VA MSA	1	0	5968	53638
Steamboat Springs, CO MicroSA	0	1	2610	16405
Stephenville, TX MicroSA	0	1	3151	17375
Sterling, CO MicroSA	0	1	2523	8965
Sterling, IL MicroSA	0	1	4756	25722
Stevens Point, WI MicroSA	0	1	4226	30374
Stillwater, OK MicroSA	0	1	4116	35079
Stockton-Lodi, CA MSA	1	0	13233	237752
Storm Lake, IA MicroSA	0	1	1615	8270
Sturgis, MI MicroSA	0	1	3876	27638
Sulphur Springs, TX MicroSA	0	1	2217	15181
Summerville, GA MicroSA	0	1	1121	10891
Summit Park, UT MicroSA	0	1	3563	27183
Sumter, SC MSA	1	0	4926	46900
Sunbury, PA MicroSA	0	1	7446	44930
Susanville, CA MicroSA	0	1	5639	12726
Sweetwater, TX MicroSA	0	1	2878	7122
Syracuse, NY MSA	1	0	18658	289965
Tahlequah, OK MicroSA	0	1	3886	21684
Talladega-Sylacauga, AL MicroSA	0	1	6850	43650
Tallahassee, FL MSA	1	0	11349	165539
Tampa-St. Petersburg-Clearwater, FL MSA	1	0	58794	1.37698e+06
Taos, NM MicroSA	0	1	4283	20359
Taylorville, IL MicroSA	0	1	3229	15501
Terre Haute, IN MSA	1	0	12563	74502
Texarkana, TX-AR MSA	1	0	8482	65038
The Dalles, OR MicroSA	0	1	3138	11410
The Villages, FL MSA	1	0	3854	63694
Thomaston, GA MicroSA	0	1	1337	12114
Thomasville, GA MicroSA	0	1	2065	20323
Tiffin, OH MicroSA	0	1	2769	23971
Tifton, GA MicroSA	0	1	2317	16415
Toccoa, GA MicroSA	0	1	1447	12522
Toledo, OH MSA	1	0	17373	273080
Topeka, KS MSA	1	0	13808	104221
Torrington, CT MicroSA	0	1	6638	87450
Traverse City, MI MicroSA	0	1	9821	81978
Trenton, NJ MSA	1	0	6347	144171
Troy, AL MicroSA	0	1	1880	15734
Truckee-Grass Valley, CA MicroSA	0	1	4597	53189
Tucson, AZ MSA	1	0	19985	450828
Tullahoma-Manchester, TN MicroSA	0	1	6265	45521
Tulsa, OK MSA	1	0	40555	421536
Tupelo, MS MicroSA	0	1	7186	58954
Tuscaloosa, AL MSA	1	0	11671	105027
Twin Falls, ID MicroSA	0	1	10215	40025
Tyler, TX MSA	1	0	6812	88484
Ukiah, CA MicroSA	0	1	8235	40695
Union City, TN-KY MicroSA	0	1	3192	17970
Urban Honolulu, HI MSA	1	0	8875	342982
Urbana, OH MicroSA	0	1	1903	16684
Utica-Rome, NY MSA	1	0	12723	137326
Uvalde, TX MicroSA	0	1	3511	11005
Valdosta, GA MSA	1	0	5497	59322
Vallejo-Fairfield, CA MSA	1	0	10282	155091
Valley, AL MicroSA	0	1	2184	16905
Van Wert, OH MicroSA	0	1	2898	12662
Vermillion, SD MicroSA	0	1	1446	5787
Vernal, UT MicroSA	0	1	3614	13045
Vernon, TX MicroSA	0	1	2112	6271
Vicksburg, MS MicroSA	0	1	2823	26090
Victoria, TX MSA	1	0	3878	39908
Vidalia, GA MicroSA	0	1	2416	15977
Vincennes, IN MicroSA	0	1	3033	16969
Vineland-Bridgeton, NJ MSA	1	0	4464	56299
Vineyard Haven, MA MicroSA	0	1	2101	17536
Virginia Beach-Norfolk-Newport News, VA-NC MSA	1	0	41003	706394
Visalia-Porterville, CA MSA	1	0	13796	145661
Wabash, IN MicroSA	0	1	3437	14114
Waco, TX MSA	1	0	9490	105463
Wahpeton, ND-MN MicroSA	0	1	4960	10706
Walla Walla, WA MSA	1	0	3377	25996
Wapakoneta, OH MicroSA	0	1	3411	19679
Warner Robins, GA MSA	1	0	6409	76531
Warren, PA MicroSA	0	1	2660	23357
Warrensburg, MO MicroSA	0	1	3966	21803
Warsaw, IN MicroSA	0	1	4038	37573
Washington Court House, OH MicroSA	0	1	1408	12671
Washington, IN MicroSA	0	1	2705	12483
Washington, NC MicroSA	0	1	2857	25387
Washington-Arlington-Alexandria, DC-VA-MD-WV MSA	1	0	94602	2.30309e+06
Waterloo-Cedar Falls, IA MSA	1	0	7436	72485
Watertown, SD MicroSA	0	1	1907	12722
Watertown-Fort Atkinson, WI MicroSA	0	1	3375	35294
Watertown-Fort Drum, NY MSA	1	0	6526	58728
Wauchula, FL MicroSA	0	1	1675	9623
Wausau, WI MSA	1	0	6083	58358
Waycross, GA MicroSA	0	1	5118	24382
Weatherford, OK MicroSA	0	1	3751	12442
Weirton-Steubenville, WV-OH MSA	1	0	6219	57805
Wenatchee, WA MSA	1	0	6873	52465
West Plains, MO MicroSA	0	1	3015	18065
Wheeling, WV-OH MSA	1	0	10600	69048
Whitewater-Elkhorn, WI MicroSA	0	1	4670	51704
Wichita Falls, TX MSA	1	0	8560	65273
Wichita, KS MSA	1	0	26669	270562
Williamsport, PA MSA	1	0	6993	52644
Williston, ND MicroSA	0	1	5279	16337
Willmar, MN MicroSA	0	1	3138	19621
Wilmington, NC MSA	1	0	7114	132942
Wilmington, OH MicroSA	0	1	1939	18060
Wilson, NC MicroSA	0	1	2388	35714
Winchester, VA-WV MSA	1	0	6216	58195
Winnemucca, NV MicroSA	0	1	4502	7223
Winona, MN MicroSA	0	1	3032	20927
Winston-Salem, NC MSA	1	0	16935	291225
Wisconsin Rapids-Marshfield, WI MicroSA	0	1	3861	34413
Woodward, OK MicroSA	0	1	2685	8932
Wooster, OH MicroSA	0	1	4238	46002
Worcester, MA-CT MSA	1	0	25470	378450
Worthington, MN MicroSA	0	1	2271	8565
Yakima, WA MSA	1	0	8463	86393
Yankton, SD MicroSA	0	1	1415	9787
York-Hanover, PA MSA	1	0	11976	180618
Youngstown-Warren-Boardman, OH-PA MSA	1	0	17835	258345
Yuba City, CA MSA	1	0	5670	62141
Yuma, AZ MSA	1	0	9275	90071
Zanesville, OH MicroSA	0	1	3982	37774
Zapata, TX MicroSA	0	1	1766	6229
# Created by: sources\spatial\tsv_maker.py
# Description: The Metro Status of the county that the sample is located, based on MSA and MicroSA.
# Source: Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.
# Source: Unit counts are from the American Community Survey 5-yr 2016.
# Source: County-MSA crosswalk comes from the Quarterly Census of Employment and Wages NAICS-based data between 2013-2022 by the U.S. Bureau of Labor Statistics (https://www.bls.gov/cew/classifications/areas/county-msa-csa-crosswalk.htm)
