Annual Name,Annual Units,Timeseries Name,Timeseries Units,Notes
report_utility_bills.<utility_bills_scenario_name>_propane_total_usd_2007_07_01,$,,,Scenario July total charges for propane.
report_utility_bills.<utility_bills_scenario_name>_propane_total_usd_2007_08_01,$,,,Scenario August total charges for propane.
report_utility_bills.<utility_bills_scenario_name>_propane_total_usd_2007_09_01,$,,,Scenario September total charges for propane.
report_utility_bills.<utility_bills_scenario_name>_propane_total_usd_2007_10_01,$,,,Scenario October total charges for propane.
report_utility_bills.<utility_bills_scenario_name>_propane_total_usd_2007_11_01,$,,,Scenario November total charges for propane.
report_utility_bills.<utility_bills_scenario_name>_propane_total_usd_2007_12_01,$,,,Scenario December total charges for propane.
report_utility_bills.<utility_bills_scenario_name>_total_usd,$,,,Scenario annual total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_01_01,$,,,Scenario January total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_02_01,$,,,Scenario February total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_03_01,$,,,Scenario March total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_04_01,$,,,Scenario April total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_05_01,$,,,Scenario May total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_06_01,$,,,Scenario June total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_07_01,$,,,Scenario July total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_08_01,$,,,Scenario August total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_09_01,$,,,Scenario September total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_10_01,$,,,Scenario October total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_11_01,$,,,Scenario November total charges.
report_utility_bills.<utility_bills_scenario_name>_total_usd_2007_12_01,$,,,Scenario December total charges.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_energy_usd,$,,,Scenario annual energy charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_fixed_usd,$,,,Scenario annual fixed charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd,$,,,Scenario annual total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_01_01,$,,,Scenario January total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_02_01,$,,,Scenario February total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_03_01,$,,,Scenario March total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_04_01,$,,,Scenario April total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_05_01,$,,,Scenario May total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_06_01,$,,,Scenario June total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_07_01,$,,,Scenario July total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_08_01,$,,,Scenario August total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_09_01,$,,,Scenario September total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_10_01,$,,,Scenario October total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_11_01,$,,,Scenario November total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_cord_total_usd_2007_12_01,$,,,Scenario December total charges for wood cord.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_energy_usd,$,,,Scenario annual energy charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_fixed_usd,$,,,Scenario annual fixed charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd,$,,,Scenario annual total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_01_01,$,,,Scenario January total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_02_01,$,,,Scenario February total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_03_01,$,,,Scenario March total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_04_01,$,,,Scenario April total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_05_01,$,,,Scenario May total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_06_01,$,,,Scenario June total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_07_01,$,,,Scenario July total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_08_01,$,,,Scenario August total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_09_01,$,,,Scenario September total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_10_01,$,,,Scenario October total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_11_01,$,,,Scenario November total charges for wood pellets.
report_utility_bills.<utility_bills_scenario_name>_wood_pellets_total_usd_2007_12_01,$,,,Scenario December total charges for wood pellets.
upgrade_costs.door_area_ft_2,ft^2,,,Door Area
upgrade_costs.duct_unconditioned_surface_area_ft_2,ft^2,,,Duct Unconditioned Surface Area
upgrade_costs.floor_area_attic_ft_2,ft^2,,,"Floor Area, Attic"
upgrade_costs.floor_area_attic_insulation_increase_ft_2_delta_r_value,ft^2 * Delta R-value,,,"Floor Area, Attic * Insulation Increase"
upgrade_costs.floor_area_conditioned_ft_2,ft^2,,,"Floor Area, Conditioned"
upgrade_costs.floor_area_conditioned_infiltration_reduction_ft_2_delta_ach_50,ft^2 * Delta ACH50,,,"Floor Area, Conditioned * Infiltration Reduction"
upgrade_costs.floor_area_foundation_ft_2,ft^2,,,"Floor Area, Foundation"
upgrade_costs.floor_area_lighting_ft_2,ft^2,,,"Floor Area, Lighting"
upgrade_costs.flow_rate_mechanical_ventilation_cfm,cfm,,,"Flow Rate, Mechanical Ventilation"
upgrade_costs.rim_joist_area_above_grade_exterior_ft_2,ft^2,,,"Rim Joist Area, Above-Grade, Exterior"
upgrade_costs.roof_area_ft_2,ft^2,,,Roof Area
upgrade_costs.size_cooling_system_primary_k_btu_h,kBtu/h,,,"Size, Cooling System Primary"
upgrade_costs.size_heat_pump_backup_primary_k_btu_h,kBtu/h,,,"Size, Heat Pump Backup Primary"
upgrade_costs.size_heating_system_primary_k_btu_h,kBtu/h,,,"Size, Heating System Primary"
upgrade_costs.size_heating_system_secondary_k_btu_h,kBtu/h,,,"Size, Heating System Secondary"
upgrade_costs.size_water_heater_gal,gal,,,"Size, Water Heater"
upgrade_costs.slab_perimeter_exposed_conditioned_ft,ft,,,"Slab Perimeter, Exposed, Conditioned"
upgrade_costs.wall_area_above_grade_conditioned_ft_2,ft^2,,,"Wall Area, Above-Grade, Conditioned"
upgrade_costs.wall_area_above_grade_exterior_ft_2,ft^2,,,"Wall Area, Above-Grade, Exterior"
upgrade_costs.wall_area_below_grade_ft_2,ft^2,,,"Wall Area, Below-Grade"
upgrade_costs.window_area_ft_2,ft^2,,,Window Area
upgrade_costs.option_<upgrade_option_number>_lifetime_yrs,,,,"The life time of the <upgrade_option_number>th option. "
upgrade_costs.option_<upgrade_option_number>_cost_usd,,,,"The cost of the <upgrade_option_number>th option. "
upgrade_costs.option_<upgrade_option_number>_name,,,,"The name of the <upgrade_option_number>th option. "
qoi_report.qoi_average_maximum_daily_timing_cooling_hour,hr,,,The average hour (average daily index) for which the total site electricity maximum daily use occurs during the cooling season.
qoi_report.qoi_average_maximum_daily_timing_heating_hour,hr,,,The average hour (average daily index) for which the total site electricity maximum daily use occurs during the heating season.
qoi_report.qoi_average_maximum_daily_timing_overlap_hour,hr,,,The average hour (average daily index) for which the total site electricity maximum daily use occurs during the overlap season.
qoi_report.qoi_average_maximum_daily_use_cooling_kw,kW,,,The total site electricity average maximum daily use during the cooling season (days with average outdoor air drybulb temperature greater than 70F).
qoi_report.qoi_average_maximum_daily_use_heating_kw,kW,,,The total site electricity average maximum daily use during the heating season (days with average outdoor air drybulb temperature less than 55F).
qoi_report.qoi_average_maximum_daily_use_overlap_kw,kW,,,The total site electricity average maximum daily use during the overlap season (days with average outdoor air drybulb temperature between 55F and 70F).
qoi_report.qoi_average_minimum_daily_use_cooling_kw,kW,,,The total site electricity average minimum daily use during the cooling season (days with average outdoor air drybulb temperature greater than 70F).
qoi_report.qoi_average_minimum_daily_use_heating_kw,kW,,,The total site electricity average minimum daily use during the heating season (days with average outdoor air drybulb temperature less than 55F).
qoi_report.qoi_average_minimum_daily_use_overlap_kw,kW,,,The total site electricity average minimum daily use during the overlap season (days with average outdoor air drybulb temperature between 55F and 70F).
qoi_report.qoi_average_of_top_ten_highest_peaks_timing_cooling_hour,hr,,,The average hour (average daily index) for which the total site electricity average of top 10 maximum daily use occurs during the cooling season.
qoi_report.qoi_average_of_top_ten_highest_peaks_timing_heating_hour,hr,,,The average hour (average daily index) for which the total site electricity average of top 10 maximum daily use occurs during the heating season.
qoi_report.qoi_average_of_top_ten_highest_peaks_use_cooling_kw,kW,,,The total site electricity average of top 10 maximum daily use during the cooling season (days with average outdoor air drybulb temperature greater than 70F).
qoi_report.qoi_average_of_top_ten_highest_peaks_use_heating_kw,kW,,,The total site electricity average of top 10 maximum daily use during the heating season (days with average outdoor air drybulb temperature less than 55F).
qoi_report.qoi_hourly_peak_magnitude_timing_hour,hr,,,The hour (annual index) for which the total site electricity annual peak use occurs.
qoi_report.qoi_hourly_peak_magnitude_use_kw,kW,,,The total site electricity annual peak use (maximum value).
,,Time,,Local clock.
,,TimeDST,,Local clock daylight saving time.
,,TimeUTC,,Local clock coordinated universal time.
,,Temperature: Attic - Unvented,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Temperature: Attic - Vented,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Temperature: Basement - Unconditioned,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Temperature: Crawlspace - Unvented,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Temperature: Crawlspace - Vented,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Temperature: Garage,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Temperature: Conditioned Space,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Temperature: Other Heated Space,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Temperature: Heating Setpoint,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Temperature: Cooling Setpoint,F,"Zone temperatures (in deg-F) for each space (e.g., conditioned space, attic, garage, basement, crawlspace, etc.) plus heating/cooling setpoints."
,,Airflow: Infiltration,cfm,"Airflow rates (in cfm) for infiltration, mechanical ventilation (including clothes dryer exhaust), natural ventilation, whole house fans."
,,Airflow: Mechanical Ventilation,cfm,"Airflow rates (in cfm) for infiltration, mechanical ventilation (including clothes dryer exhaust), natural ventilation, whole house fans."
,,Airflow: Natural Ventilation,cfm,"Airflow rates (in cfm) for infiltration, mechanical ventilation (including clothes dryer exhaust), natural ventilation, whole house fans."
,,Weather: Drybulb Temperature,F,"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
,,Weather: Wetbulb Temperature,F,"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
,,Weather: Relative Humidity,%,"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
,,Weather: Wind Speed,mph,"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
,,Weather: Diffuse Solar Radiation,Btu/(hr*ft^2),"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
,,Weather: Direct Solar Radiation,Btu/(hr*ft^2),"Weather file data including outdoor temperatures, relative humidity, wind speed, and solar."
,,Zone People Occupant Count: Conditioned Space,,User-requested EnergyPlus output variable.
,,Site Outdoor Air Drybulb Temperature: Environment,C,
,,Zone Mean Air Temperature: Air Source Heat Pump Airloop Ret Air Zone,C,
,,Zone Mean Air Temperature: Attic - Vented,C,
,,Zone Mean Air Temperature: Attic - Unvented,C,
,,Zone Mean Air Temperature: Basement - Unconditioned,C,
,,Zone Mean Air Temperature: Basement - Conditioned,C,
,,Zone Mean Air Temperature: Central AC Airloop Ret Air Zone,C,
,,Zone Mean Air Temperature: Central AC And Furnace Airloop Ret Air Zone,C,
,,Zone Mean Air Temperature: Furnace Airloop Ret Air Zone,C,
,,Zone Mean Air Temperature: Garage,C,
,,Zone Mean Air Temperature: Ground Source Heat Pump Airloop Ret Air Zone,C,
,,Zone Mean Air Temperature: Crawlspace - Unvented,C,
,,Zone Mean Air Temperature: Crawlspace - Vented,C,
,,Zone Mean Air Temperature: Conditioned Space,C,
,,Zone Air Relative Humidity: Air Source Heat Pump Airloop Ret Air Zone,Percent,
,,Zone Air Relative Humidity: Attic - Vented,Percent,
,,Zone Air Relative Humidity: Conditioned Space,Percent,
,,People Sensible Heating Rate: Occupants,W,
,,People Total Heating Rate: Occupants,W,
,,Site Outdoor Air Humidity Ratio: Environment,kgWater/kgDryAir,
