Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Vented Crawlspace	Option=Unvented Crawlspace	Option=Heated Basement	Option=Ambient	Option=Slab	Option=Unheated Basement	sampling_probability
5A	Single-Family Detached	2000-09	0.029004	0.017403	0.427463	0.007556	0.326312	0.192262	0.0138586
5A	Single-Family Detached	2010s	0.028125	0.018282	0.427463	0.007556	0.326312	0.192262	0.00248542
5A	Single-Family Detached	<1940	0.16944	0	0.266693	0.00837	0.067671	0.487826	0.0317774
5B	Mobile Home	1940-59	0	0	0	1	0	0	4.32339e-05
5B	Mobile Home	1960-79	0	0	0	1	0	0	0.000964942
5B	Mobile Home	1980-99	0	0	0	1	0	0	0.0013596
5B	Mobile Home	2000-09	0	0	0	1	0	0	0.000342342
5B	Mobile Home	2010s	0	0	0	1	0	0	6.72206e-05
5B	Mobile Home	<1940	0	0	0	1	0	0	1.78109e-05
5B	Multi-Family with 2 - 4 Units	1940-59	0.440908	0	0	0	0.442774	0.116318	0.000275634
5B	Multi-Family with 2 - 4 Units	1960-79	0.48566	0	0	0	0.44925	0.06509	0.000725699
5B	Multi-Family with 2 - 4 Units	1980-99	0.274328	0.128219	0	0	0.484102	0.113351	0.000661098
5B	Multi-Family with 2 - 4 Units	2000-09	0.133578	0.077137	0	0	0.582794	0.206491	0.000261921
5B	Multi-Family with 2 - 4 Units	2010s	0.134091	0.076624	0	0	0.582794	0.206491	5.54867e-05
5B	Multi-Family with 2 - 4 Units	<1940	0.408522	0	0	0	0.225438	0.36604	0.000210445
5B	Multi-Family with 5+ Units	1940-59	0.440908	0	0	0	0.442774	0.116318	0.00033282
5B	Multi-Family with 5+ Units	1960-79	0.48566	0	0	0	0.44925	0.06509	0.00177053
5B	Multi-Family with 5+ Units	1980-99	0.242355	0.160192	0	0	0.484102	0.113351	0.00192914
5B	Multi-Family with 5+ Units	2000-09	0.121859	0.088856	0	0	0.582794	0.206491	0.000981015
5B	Multi-Family with 5+ Units	2010s	0.117064	0.093651	0	0	0.582794	0.206491	0.00040693
5B	Multi-Family with 5+ Units	<1940	0.408522	0	0	0	0.225438	0.36604	0.000275774
5B	Single-Family Attached	1940-59	0.289712	0	0.34292	0	0.290938	0.07643	0.000140419
5B	Single-Family Attached	1960-79	0.35263	0	0.273916	0	0.326193	0.047261	0.000470282
5B	Single-Family Attached	1980-99	0.15669	0.112759	0.33064	0	0.324039	0.075872	0.00068068
5B	Single-Family Attached	2000-09	0.106173	0.081304	0.110281	0	0.518523	0.183719	0.000517608
5B	Single-Family Attached	2010s	0.107799	0.079678	0.110281	0	0.518523	0.183719	0.000106661
5B	Single-Family Attached	<1940	0.330453	0	0.191101	0	0.182357	0.296089	9.10894e-05
5B	Single-Family Detached	1940-59	0.289712	0	0.34292	0	0.290938	0.07643	0.00360693
5B	Single-Family Detached	1960-79	0.344123	0	0.267307	0.024125	0.318324	0.046121	0.00621628
5B	Single-Family Detached	1980-99	0.164904	0.083717	0.305081	0.077301	0.29899	0.070007	0.00729824
5B	Single-Family Detached	2000-09	0.10793	0.069291	0.104248	0.054703	0.490158	0.173669	0.00501333
5B	Single-Family Detached	2010s	0.104792	0.072429	0.104248	0.054703	0.490158	0.173669	0.000977055
5B	Single-Family Detached	<1940	0.294323	0	0.170207	0.109336	0.162419	0.263716	0.00233149
6A	Mobile Home	1940-59	0	0	0	1	0	0	5.20542e-05
6A	Mobile Home	1960-79	0	0	0	1	0	0	0.00100171
6A	Mobile Home	1980-99	0	0	0	1	0	0	0.00166112
6A	Mobile Home	2000-09	0	0	0	1	0	0	0.000432611
6A	Mobile Home	2010s	0	0	0	1	0	0	7.46775e-05
6A	Mobile Home	<1940	0	0	0	1	0	0	2.2436e-05
6A	Multi-Family with 2 - 4 Units	1940-59	0.40459	0	0	0	0.211807	0.383602	0.000810025
6A	Multi-Family with 2 - 4 Units	1960-79	0.213723	0	0	0	0.365667	0.42061	0.00106138
6A	Multi-Family with 2 - 4 Units	1980-99	0.244697	0.088769	0	0	0.336911	0.329623	0.000863431
6A	Multi-Family with 2 - 4 Units	2000-09	0.217528	0.092232	0	0	0.300424	0.389817	0.000292935
6A	Multi-Family with 2 - 4 Units	2010s	0.234041	0.075719	0	0	0.300424	0.389817	6.90033e-05
6A	Multi-Family with 2 - 4 Units	<1940	0.318744	0	0	0	0.094218	0.587038	0.00210383
6A	Multi-Family with 5+ Units	1940-59	0.40459	0	0	0	0.211807	0.383602	0.000676063
6A	Multi-Family with 5+ Units	1960-79	0.213723	0	0	0	0.365667	0.42061	0.00255647
6A	Multi-Family with 5+ Units	1980-99	0.239865	0.093601	0	0	0.336911	0.329623	0.00260483
6A	Multi-Family with 5+ Units	2000-09	0.205912	0.103848	0	0	0.300424	0.389817	0.00111911
6A	Multi-Family with 5+ Units	2010s	0.203459	0.106301	0	0	0.300424	0.389817	0.000438055
6A	Multi-Family with 5+ Units	<1940	0.318744	0	0	0	0.094218	0.587038	0.00105456
6A	Single-Family Attached	1940-59	0.207915	0	0.48611	0	0.108846	0.197129	0.000176965
6A	Single-Family Attached	1960-79	0.095196	0	0.554581	0	0.162875	0.187347	0.000470683
6A	Single-Family Attached	1980-99	0.126823	0.062928	0.430972	0	0.191712	0.187565	0.00103847
6A	Single-Family Attached	2000-09	0.123457	0.070088	0.375176	0	0.187712	0.243567	0.000778696
6A	Single-Family Attached	2010s	0.131962	0.061583	0.375176	0	0.187712	0.243567	0.000114708
6A	Single-Family Attached	<1940	0.224396	0	0.295999	0	0.06633	0.413275	0.000236546
6A	Single-Family Detached	1940-59	0.207915	0	0.48611	0	0.108846	0.197129	0.00752344
6A	Single-Family Detached	1960-79	0.094199	0	0.548774	0.010472	0.161169	0.185385	0.0097308
6A	Single-Family Detached	1980-99	0.123513	0.057875	0.411977	0.044076	0.183262	0.179298	0.00909629
6A	Single-Family Detached	2000-09	0.129081	0.062523	0.371412	0.010031	0.185829	0.241124	0.004985
6A	Single-Family Detached	2010s	0.130248	0.061356	0.371412	0.010031	0.185829	0.241124	0.000935306
6A	Single-Family Detached	<1940	0.223459	0	0.294762	0.004178	0.066052	0.411548	0.00972231
6B	Mobile Home	1940-59	0	0	0	1	0	0	1.53673e-05
6B	Mobile Home	1960-79	0	0	0	1	0	0	0.000448996
6B	Mobile Home	1980-99	0	0	0	1	0	0	0.000423071
6B	Mobile Home	2000-09	0	0	0	1	0	0	0.000121786
6B	Mobile Home	2010s	0	0	0	1	0	0	2.38672e-05
6B	Mobile Home	<1940	0	0	0	1	0	0	4.07783e-06
6B	Multi-Family with 2 - 4 Units	1940-59	0.40459	0	0	0	0.211807	0.383602	7.7872e-05
6B	Multi-Family with 2 - 4 Units	1960-79	0.213723	0	0	0	0.365667	0.42061	0.000193511
6B	Multi-Family with 2 - 4 Units	1980-99	0.149049	0.184417	0	0	0.336911	0.329623	0.000197474
6B	Multi-Family with 2 - 4 Units	2000-09	0.137009	0.172751	0	0	0.300424	0.389817	8.4635e-05
6B	Multi-Family with 2 - 4 Units	2010s	0.137671	0.172089	0	0	0.300424	0.389817	2.77114e-05
6B	Multi-Family with 2 - 4 Units	<1940	0.318744	0	0	0	0.094218	0.587038	6.44722e-05
6B	Multi-Family with 5+ Units	1940-59	0.40459	0	0	0	0.211807	0.383602	4.77911e-05
6B	Multi-Family with 5+ Units	1960-79	0.213723	0	0	0	0.365667	0.42061	0.000231372
6B	Multi-Family with 5+ Units	1980-99	0.210185	0.123281	0	0	0.336911	0.329623	0.000251362
6B	Multi-Family with 5+ Units	2000-09	0.177545	0.132215	0	0	0.300424	0.389817	0.000132266
6B	Multi-Family with 5+ Units	2010s	0.166213	0.143547	0	0	0.300424	0.389817	6.50027e-05
6B	Multi-Family with 5+ Units	<1940	0.318744	0	0	0	0.094218	0.587038	6.6303e-05
6B	Single-Family Attached	1940-59	0.207915	0	0.48611	0	0.108846	0.197129	1.99012e-05
6B	Single-Family Attached	1960-79	0.095196	0	0.554581	0	0.162875	0.187347	6.27724e-05
6B	Single-Family Attached	1980-99	0.084334	0.105417	0.430972	0	0.191712	0.187565	0.000118012
6B	Single-Family Attached	2000-09	0.088708	0.104837	0.375176	0	0.187712	0.243567	0.000122156
6B	Single-Family Attached	2010s	0.103224	0.090321	0.375176	0	0.187712	0.243567	3.91072e-05
6B	Single-Family Attached	<1940	0.224396	0	0.295999	0	0.06633	0.413275	1.86252e-05
6B	Single-Family Detached	1940-59	0.207915	0	0.48611	0	0.108846	0.197129	0.0010404
6B	Single-Family Detached	1960-79	0.094199	0	0.548774	0.010472	0.161169	0.185385	0.00159726
6B	Single-Family Detached	1980-99	0.102195	0.079193	0.411977	0.044076	0.183262	0.179298	0.00152126
6B	Single-Family Detached	2000-09	0.095346	0.096258	0.371412	0.010031	0.185829	0.241124	0.00111066
6B	Single-Family Detached	2010s	0.111254	0.08035	0.371412	0.010031	0.185829	0.241124	0.000238519
6B	Single-Family Detached	<1940	0.223459	0	0.294762	0.004178	0.066052	0.411548	0.000923171
7A	Mobile Home	1940-59	0	0	0	1	0	0	6.48033e-06
7A	Mobile Home	1960-79	0	0	0	1	0	0	0.000163002
7A	Mobile Home	1980-99	0	0	0	1	0	0	0.000248435
7A	Mobile Home	2000-09	0	0	0	1	0	0	8.02629e-05
7A	Mobile Home	2010s	0	0	0	1	0	0	1.87475e-05
7A	Mobile Home	<1940	0	0	0	1	0	0	2.33888e-06
7A	Multi-Family with 2 - 4 Units	1940-59	0.219245	0	0	0	0.144941	0.635814	6.29758e-05
7A	Multi-Family with 2 - 4 Units	1960-79	0.233885	0	0	0	0.509004	0.257111	0.000123735
7A	Multi-Family with 2 - 4 Units	1980-99	0.191807	0.076723	0	0	0.514886	0.216584	7.86864e-05
7A	Multi-Family with 2 - 4 Units	2000-09	0	0	0	0	0.649138	0.350862	2.755e-05
7A	Multi-Family with 2 - 4 Units	2010s	0	0	0	0	0.649138	0.350862	1.13806e-05
7A	Multi-Family with 2 - 4 Units	<1940	0.321873	0	0	0	0.15558	0.522547	9.75913e-05
7A	Multi-Family with 5+ Units	1940-59	0.219245	0	0	0	0.144941	0.635814	7.07256e-05
7A	Multi-Family with 5+ Units	1960-79	0.233885	0	0	0	0.509004	0.257111	0.000299962
7A	Multi-Family with 5+ Units	1980-99	0.162652	0.105878	0	0	0.514886	0.216584	0.000322689
7A	Multi-Family with 5+ Units	2000-09	0	0	0	0	0.649138	0.350862	0.000124221
7A	Multi-Family with 5+ Units	2010s	0	0	0	0	0.649138	0.350862	0.000106215
7A	Multi-Family with 5+ Units	<1940	0.321873	0	0	0	0.15558	0.522547	7.35916e-05
7A	Single-Family Attached	1940-59	0.108427	0	0.505453	0	0.07168	0.31444	1.52117e-05
7A	Single-Family Attached	1960-79	0.093525	0	0.600123	0	0.203539	0.102813	4.36941e-05
7A	Single-Family Attached	1980-99	0.141694	0.035423	0.340419	0	0.339609	0.142855	6.80588e-05
7A	Single-Family Attached	2000-09	0	0	0.412361	0	0.381459	0.20618	7.74106e-05
7A	Single-Family Attached	2010s	0	0	0.412361	0	0.381459	0.20618	1.6029e-05
7A	Single-Family Attached	<1940	0.228494	0	0.29011	0	0.110445	0.370951	1.56411e-05
7A	Single-Family Detached	1940-59	0.108427	0	0.505453	0	0.07168	0.31444	0.00104382
7A	Single-Family Detached	1960-79	0.089495	0	0.574264	0.043091	0.194768	0.098382	0.00139468
7A	Single-Family Detached	1980-99	0.108082	0.052339	0.30833	0.094264	0.307596	0.129389	0.00116826
7A	Single-Family Detached	2000-09	0	0	0.412361	0	0.381459	0.20618	0.00076857
7A	Single-Family Detached	2010s	0	0	0.412361	0	0.381459	0.20618	0.000180954
7A	Single-Family Detached	<1940	0.228494	0	0.29011	0	0.110445	0.370951	0.00123516
7B	Mobile Home	1940-59	0	0	0	1	0	0	1.62999e-06
7B	Mobile Home	1960-79	0	0	0	1	0	0	3.9583e-05
7B	Mobile Home	1980-99	0	0	0	1	0	0	4.35011e-05
7B	Mobile Home	2000-09	0	0	0	1	0	0	2.15677e-05
7B	Mobile Home	2010s	0	0	0	1	0	0	2.20953e-06
7B	Mobile Home	<1940	0	0	0	1	0	0	1.60393e-06
7B	Multi-Family with 2 - 4 Units	1940-59	0.219245	0	0	0	0.144941	0.635814	3.06583e-06
7B	Multi-Family with 2 - 4 Units	1960-79	0.233885	0	0	0	0.509004	0.257111	1.82982e-05
7B	Multi-Family with 2 - 4 Units	1980-99	0.123937	0.144593	0	0	0.514886	0.216584	2.92211e-05
7B	Multi-Family with 2 - 4 Units	2000-09	0	0	0	0	0.649138	0.350862	8.90358e-06
7B	Multi-Family with 2 - 4 Units	2010s	0	0	0	0	0.649138	0.350862	1.95857e-06
7B	Multi-Family with 2 - 4 Units	<1940	0.321873	0	0	0	0.15558	0.522547	5.0289e-06
7B	Multi-Family with 5+ Units	1940-59	0.219245	0	0	0	0.144941	0.635814	3.90036e-06
7B	Multi-Family with 5+ Units	1960-79	0.233885	0	0	0	0.509004	0.257111	4.11733e-05
7B	Multi-Family with 5+ Units	1980-99	0.08951	0.17902	0	0	0.514886	0.216584	6.66116e-05
7B	Multi-Family with 5+ Units	2000-09	0	0	0	0	0.649138	0.350862	2.81197e-05
7B	Multi-Family with 5+ Units	2010s	0	0	0	0	0.649138	0.350862	3.27992e-06
7B	Multi-Family with 5+ Units	<1940	0.321873	0	0	0	0.15558	0.522547	4.64249e-06
7B	Single-Family Attached	1940-59	0.108427	0	0.505453	0	0.07168	0.31444	1.43998e-06
7B	Single-Family Attached	1960-79	0.093525	0	0.600123	0	0.203539	0.102813	2.13631e-05
7B	Single-Family Attached	1980-99	0.122619	0.054498	0.340419	0	0.339609	0.142855	3.93318e-05
7B	Single-Family Attached	2000-09	0	0	0.412361	0	0.381459	0.20618	2.43116e-05
7B	Single-Family Attached	2010s	0	0	0.412361	0	0.381459	0.20618	2.75117e-06
7B	Single-Family Attached	<1940	0.228494	0	0.29011	0	0.110445	0.370951	3.21212e-06
7B	Single-Family Detached	1940-59	0.108427	0	0.505453	0	0.07168	0.31444	7.23319e-05
7B	Single-Family Detached	1960-79	0.089495	0	0.574264	0.043091	0.194768	0.098382	0.000177607
7B	Single-Family Detached	1980-99	0.104719	0.055702	0.30833	0.094264	0.307596	0.129389	0.000228765
7B	Single-Family Detached	2000-09	0	0	0.412361	0	0.381459	0.20618	0.000135972
7B	Single-Family Detached	2010s	0	0	0.412361	0	0.381459	0.20618	1.61754e-05
7B	Single-Family Detached	<1940	0.228494	0	0.29011	0	0.110445	0.370951	9.12201e-05
# Created by: sources\recs\2009\tsv_maker.py (manually modified by Joe Robertson)
# Source: The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: All mobile homes have Ambient foundations.
# Assumption: Multi-family buildings cannot have Ambient and Heated Basements
# Assumption: Single-family attached buildings cannot have Ambient foundations
# Assumption: Foundation types are the same for each building type except mobile homes and the applicable options.
# Assumption: Because we need to assume a foundation type for ground-floor MF units, we use the lumped SFD+SFA distributions for MF2-4 and MF5+ building foundations. (RECS data for households in MF2-4 unit buildings are not useful since we do not know which floor the unitis on. RECS does not include foundation responses for households in MF5+ unit buildings.)
# Assumption: For SFD and SFA, if no foundation type specified, then sample has Ambient foundation.
