	field	enumeration	enumeration_description
3130	in.county	G3500070	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3131	in.county	G3500090	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3132	in.county	G3500110	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3133	in.county	G3500130	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3134	in.county	G3500150	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3135	in.county	G3500170	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3136	in.county	G3500190	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3137	in.county	G3500210	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3138	in.county	G3500230	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3139	in.county	G3500250	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3140	in.county	G3500270	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3141	in.county	G3500280	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3142	in.county	G3500290	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3143	in.county	G3500310	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3144	in.county	G3500330	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3145	in.county	G3500350	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3146	in.county	G3500370	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3147	in.county	G3500390	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3148	in.county	G3500410	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3149	in.county	G3500430	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3150	in.county	G3500450	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3151	in.county	G3500470	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3152	in.county	G3500490	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3153	in.county	G3500510	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3154	in.county	G3500530	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3155	in.county	G3500550	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3156	in.county	G3500570	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3157	in.county	G3500590	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3158	in.county	G3500610	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3159	in.county	G3600010	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3160	in.county	G3600030	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3161	in.county	G3600050	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3162	in.county	G3600070	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3163	in.county	G3600090	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3164	in.county	G3600110	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3165	in.county	G3600130	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3166	in.county	G3600150	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3167	in.county	G3600170	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3168	in.county	G3600190	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3169	in.county	G3600210	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3170	in.county	G3600230	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3171	in.county	G3600250	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3172	in.county	G3600270	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3173	in.county	G3600290	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3174	in.county	G3600310	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3175	in.county	G3600330	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3176	in.county	G3600350	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3177	in.county	G3600370	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3178	in.county	G3600390	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3179	in.county	G3600410	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3180	in.county	G3600430	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3181	in.county	G3600450	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3182	in.county	G3600470	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3183	in.county	G3600490	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3184	in.county	G3600510	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3185	in.county	G3600530	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3186	in.county	G3600550	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3187	in.county	G3600570	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3188	in.county	G3600590	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3189	in.county	G3600610	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3190	in.county	G3600630	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3191	in.county	G3600650	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3192	in.county	G3600670	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3193	in.county	G3600690	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3194	in.county	G3600710	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3195	in.county	G3600730	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3196	in.county	G3600750	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3197	in.county	G3600770	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3198	in.county	G3600790	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3199	in.county	G3600810	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3200	in.county	G3600830	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3201	in.county	G3600850	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3202	in.county	G3600870	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3203	in.county	G3600890	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3204	in.county	G3600910	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3205	in.county	G3600930	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3206	in.county	G3600950	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3207	in.county	G3600970	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3208	in.county	G3600990	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3209	in.county	G3601010	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3210	in.county	G3601030	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3211	in.county	G3601050	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3212	in.county	G3601070	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3213	in.county	G3601090	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3214	in.county	G3601110	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3215	in.county	G3601130	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3216	in.county	G3601150	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3217	in.county	G3601170	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3218	in.county	G3601190	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3219	in.county	G3601210	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3220	in.county	G3601230	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3221	in.county	G3700010	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3222	in.county	G3700030	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3223	in.county	G3700050	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3224	in.county	G3700070	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3225	in.county	G3700090	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3226	in.county	G3700110	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3227	in.county	G3700130	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3228	in.county	G3700150	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3229	in.county	G3700170	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3230	in.county	G3700190	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3231	in.county	G3700210	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3232	in.county	G3700230	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3233	in.county	G3700250	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3234	in.county	G3700270	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3235	in.county	G3700290	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3236	in.county	G3700310	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3237	in.county	G3700330	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3238	in.county	G3700350	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3239	in.county	G3700370	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3240	in.county	G3700390	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3241	in.county	G3700410	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3242	in.county	G3700430	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3243	in.county	G3700450	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3244	in.county	G3700470	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3245	in.county	G3700490	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3246	in.county	G3700510	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3247	in.county	G3700530	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3248	in.county	G3700550	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3249	in.county	G3700570	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3250	in.county	G3700590	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3251	in.county	G3700610	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3252	in.county	G3700630	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3253	in.county	G3700650	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3254	in.county	G3700670	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3255	in.county	G3700690	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3256	in.county	G3700710	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3257	in.county	G3700730	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3258	in.county	G3700750	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3259	in.county	G3700770	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3260	in.county	G3700790	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3261	in.county	G3700810	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3262	in.county	G3700830	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3263	in.county	G3700850	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3264	in.county	G3700870	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3265	in.county	G3700890	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3266	in.county	G3700910	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3267	in.county	G3700930	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3268	in.county	G3700950	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3269	in.county	G3700970	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3270	in.county	G3700990	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3271	in.county	G3701010	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3272	in.county	G3701030	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3273	in.county	G3701050	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3274	in.county	G3701070	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3275	in.county	G3701090	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3276	in.county	G3701110	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3277	in.county	G3701130	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3278	in.county	G3701150	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3279	in.county	G3701170	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3280	in.county	G3701190	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3281	in.county	G3701210	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3282	in.county	G3701230	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3283	in.county	G3701250	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3284	in.county	G3701270	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3285	in.county	G3701290	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3286	in.county	G3701310	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3287	in.county	G3701330	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3288	in.county	G3701350	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3289	in.county	G3701370	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3290	in.county	G3701390	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3291	in.county	G3701410	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3292	in.county	G3701430	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3293	in.county	G3701450	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3294	in.county	G3701470	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3295	in.county	G3701490	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3296	in.county	G3701510	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3297	in.county	G3701530	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3298	in.county	G3701550	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3299	in.county	G3701570	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3300	in.county	G3701590	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3301	in.county	G3701610	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3302	in.county	G3701630	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3303	in.county	G3701650	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3304	in.county	G3701670	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3305	in.county	G3701690	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3306	in.county	G3701710	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3307	in.county	G3701730	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3308	in.county	G3701750	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3309	in.county	G3701770	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3310	in.county	G3701790	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3311	in.county	G3701810	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3312	in.county	G3701830	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3313	in.county	G3701850	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3314	in.county	G3701870	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3315	in.county	G3701890	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3316	in.county	G3701910	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3317	in.county	G3701930	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3318	in.county	G3701950	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3319	in.county	G3701970	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3320	in.county	G3701990	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3321	in.county	G3800010	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3322	in.county	G3800030	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3323	in.county	G3800050	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3324	in.county	G3800070	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3325	in.county	G3800090	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3326	in.county	G3800110	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3327	in.county	G3800130	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3328	in.county	G3800150	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3329	in.county	G3800170	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3330	in.county	G3800190	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3331	in.county	G3800210	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3332	in.county	G3800230	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3333	in.county	G3800250	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3334	in.county	G3800270	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3335	in.county	G3800290	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3336	in.county	G3800310	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3337	in.county	G3800330	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3338	in.county	G3800350	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3339	in.county	G3800370	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3340	in.county	G3800390	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3341	in.county	G3800410	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3342	in.county	G3800430	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3343	in.county	G3800450	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3344	in.county	G3800470	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3345	in.county	G3800490	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3346	in.county	G3800510	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3347	in.county	G3800530	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3348	in.county	G3800550	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3349	in.county	G3800570	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3350	in.county	G3800590	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3351	in.county	G3800610	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3352	in.county	G3800630	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3353	in.county	G3800650	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
3354	in.county	G3800670	"GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0"""
