field_location	field_name	data_type	units	field_description	allowable_enumerations_baseline
metadata	in.dehumidifier	string	n/a	Presence, water removal rate, and humidity setpoint of dehumidifier	None
metadata	in.dishwasher	string	n/a	Presence and rated efficiency of dishwasher	290 Rated kWh, 100% Usage|290 Rated kWh, 120% Usage|290 Rated kWh, 80% Usage|318 Rated kWh, 100% Usage|318 Rated kWh, 120% Usage|318 Rated kWh, 80% Usage|None
metadata	in.door_area	string	sqft	Area of the door	20 ft^2
metadata	in.doors	string	n/a	Door material and properties	Fiberglass
metadata	in.ducts	string	n/a	Duct insulation and leakage levels	0% Leakage, Uninsulated|10% Leakage, R-4|10% Leakage, R-6|10% Leakage, R-8|10% Leakage, Uninsulated|20% Leakage, R-4|20% Leakage, R-6|20% Leakage, R-8|20% Leakage, Uninsulated|30% Leakage, R-4|30% Leakage, R-6|30% Leakage, R-8|30% Leakage, Uninsulated|None
metadata	in.eaves	string	ft	Depth of roof eaves	2 ft
metadata	in.electric_vehicle	string	n/a	Electric vehicle usage and efficiency [not used]	None
metadata	in.emissions_electricity_folders	string	n/a	Location of carbon emission cases in resstock repository	data/cambium/LRMER_MidCase_15,data/cambium/LRMER_MidCase_30,data/cambium/LRMER_LowRECost_15,data/cambium/LRMER_LowRECost_30
metadata	in.emissions_electricity_units	string	n/a	Carbon emissions factor units for marginal carbon emissions from electricity	kg/MWh,kg/MWh,kg/MWh,kg/MWh
metadata	in.emissions_electricity_values_or_filepaths	string	n/a	Carbon emissions data for each emissions case and location of generation and assessment region	/lib/resources/data/cambium/LRMER_MidCase_15/AZNMc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/AZNMc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/AZNMc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/AZNMc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/CAMXc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/CAMXc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/CAMXc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/CAMXc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/ERCTc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/ERCTc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/ERCTc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/ERCTc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/FRCCc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/FRCCc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/FRCCc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/FRCCc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/MROEc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/MROEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/MROEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/MROEc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/MROWc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/MROWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/MROWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/MROWc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/NEWEc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/NEWEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/NEWEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/NEWEc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/NWPPc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/NWPPc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/NWPPc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/NWPPc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/NYSTc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/NYSTc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/NYSTc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/NYSTc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/RFCEc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/RFCEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/RFCEc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/RFCEc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/RFCMc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/RFCMc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/RFCMc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/RFCMc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/RFCWc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/RFCWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/RFCWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/RFCWc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/RMPAc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/RMPAc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/RMPAc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/RMPAc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/SPNOc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SPNOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SPNOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SPNOc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/SPSOc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SPSOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SPSOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SPSOc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/SRMVc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRMVc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRMVc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRMVc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/SRMWc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRMWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRMWc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRMWc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/SRSOc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRSOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRSOc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRSOc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/SRTVc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRTVc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRTVc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRTVc.csv|/lib/resources/data/cambium/LRMER_MidCase_15/SRVCc.csv,/lib/resources/data/cambium/LRMER_MidCase_30/SRVCc.csv,/lib/resources/data/cambium/LRMER_LowRECost_15/SRVCc.csv,/lib/resources/data/cambium/LRMER_LowRECost_30/SRVCc.csv
metadata	in.emissions_fossil_fuel_units	string	n/a	Carbon emissions factor units for marginal onsite non-electric fuel emissions	lb/MBtu,lb/MBtu,lb/MBtu,lb/MBtu
metadata	in.emissions_fuel_oil_values	string	n/a	Carbon emissions factors for marginal onsite fuel oil consumption	195.9,195.9,195.9,195.9
metadata	in.emissions_natural_gas_values	string	n/a	Carbon emissions factors for marginal onsite natural gas consumption	147.3,147.3,147.3,147.3
metadata	in.emissions_propane_values	string	n/a	Carbon emissions factors for marginal onsite propane consumption	177.8,177.8,177.8,177.8
metadata	in.emissions_scenario_names	string	n/a	Carbon emissions scenario factors for electricity from NREL Cambium tool	LRMER_MidCase_15,LRMER_MidCase_30,LRMER_LowRECost_15,LRMER_LowRECost_30
metadata	in.emissions_types	string	n/a	Emisssions type unit for	CO2e,CO2e,CO2e,CO2e
metadata	in.emissions_wood_values	string	n/a	Carbon emissions factors for marginal onsite wood consumption	200.0,200.0,200.0,200.0
metadata	in.federal_poverty_level	string	n/a	Federal poverty level as a percentage range	0-100%|100-150%|150-200%|200-300%|300-400%|400%+
metadata	in.generation_and_emissions_assessment_region	string	n/a	Generation and Carbon Emissions Assessment Region	AZNMc|CAMXc|ERCTc|FRCCc|MROEc|MROWc|NEWEc|NWPPc|NYSTc|RFCEc|RFCMc|RFCWc|RMPAc|SPNOc|SPSOc|SRMVc|SRMWc|SRSOc|SRTVc|SRVCc
metadata	in.geometry_attic_type	string	n/a	Type of attic	Finished Attic or Cathedral Ceilings|None|Vented Attic
metadata	in.geometry_building_horizontal_location_mf	string	n/a	Location of the multifamily unit horizontally within the building (left, middle, right)	Left|Middle|None|Not Applicable|Right
metadata	in.geometry_building_horizontal_location_sfa	string	n/a	Location of the single-family attached unit horizontally within the building (left, middle, right)	Left|Middle|None|Right
metadata	in.geometry_building_level_mf	string	n/a	Location of the multifamily unit vertically within the building (bottom, middle, top)	Bottom|Middle|None|Top
metadata	in.geometry_building_number_units_mf	string	n/a	Number of units in the multifamily building	10|11|116|12|13|14|15|16|17|18|183|19|2|20|24|3|30|323|36|4|43|5|6|67|7|8|9|None
metadata	in.geometry_building_number_units_sfa	string	n/a	Number of units in the single-family attached building	10|12|144|15|16|20|24|30|36|5|50|6|60|7|8|90|None
metadata	in.geometry_building_type_acs	string	n/a	American Community Survey building type	10 to 19 Unit|2 Unit|20 to 49 Unit|3 or 4 Unit|5 to 9 Unit|50 or more Unit|Mobile Home|Single-Family Attached|Single-Family Detached
metadata	in.geometry_building_type_height	string	ft	RECS 2009 building type with multifamily buildings split out by low-rise, mid-rise, and high-rise	Mobile Home|Multifamily with 2-4 Units|Multifamily with 5+ units, 1-3 stories|Multifamily with 5+ units, 4-7 stories|Multifamily with 5+ units, 8+ stories|Single-Family Attached|Single-Family Detached
metadata	in.geometry_building_type_recs	string	n/a	RECS 2009 building type	Mobile Home|Multi-Family with 2 - 4 Units|Multi-Family with 5+ Units|Single-Family Attached|Single-Family Detached
metadata	in.geometry_floor_area	string	sqft	Finished floor area bin from 2017-2019 AHS	0-499|1000-1499|1500-1999|2000-2499|2500-2999|3000-3999|4000+|500-749|750-999
metadata	in.geometry_floor_area_bin	string	sqft	Finished floor area bin used for modeling	0-1499|1500-2499|2500-3999|4000+
metadata	in.geometry_foundation_type	string	n/a	Type of dwelling unit foundation	Ambient|Heated Basement|Slab|Unheated Basement|Unvented Crawlspace|Vented Crawlspace
metadata	in.geometry_garage	string	n/a	Size of garage	1 Car|2 Car|3 Car|None
metadata	in.geometry_stories	integer	n/a	Number of building stories	1|10|11|12|13|14|15|2|20|21|3|4|5|6|7|8|9
metadata	in.geometry_stories_low_rise	string	n/a	Number of building stories for low rise buildings	1|2|3|4+
metadata	in.geometry_story_bin	string	n/a	More than 8 or less than 8 stories	8+|<8
metadata	in.geometry_wall_exterior_finish	string	n/a	Exterior finish material and color	Aluminum, Light|Brick, Light|Brick, Medium/Dark|Fiber-Cement, Light|None|Shingle, Asbestos, Medium|Shingle, Composition, Medium|Stucco, Light|Stucco, Medium/Dark|Vinyl, Light|Wood, Medium/Dark
metadata	in.geometry_wall_type	string	n/a	Exterior wall material	Brick|Concrete|Steel Frame|Wood Frame
metadata	in.has_pv	string	n/a	Presence of rooftop PV	No|Yes
metadata	in.heating_fuel	string	n/a	Primary uel used for heating	Electricity|Fuel Oil|Natural Gas|None|Other Fuel|Propane
metadata	in.heating_setpoint	string	F	Baseline heating setpoint with no offset applied	55F|60F|62F|65F|67F|68F|70F|72F|75F|76F|78F|80F
metadata	in.heating_setpoint_has_offset	string	n/a	Presence of heating setpoint offset	No|Yes
metadata	in.heating_setpoint_offset_magnitude	string	F	Magnitude of heating setpoint offset	0F|12F|3F|6F
metadata	in.heating_setpoint_offset_period	string	n/a	Period during which the heating setpoint offset is applied	Day|Day +1h|Day +2h|Day +3h|Day +4h|Day +5h|Day -1h|Day -2h|Day -3h|Day -4h|Day -5h|Day and Night|Day and Night +1h|Day and Night +2h|Day and Night +3h|Day and Night +4h|Day and Night +5h|Day and Night -1h|Day and Night -2h|Day and Night -3h|Day and Night -4h|Day and Night -5h|Night|Night +1h|Night +2h|Night +3h|Night +4h|Night +5h|Night -1h|Night -2h|Night -3h|Night -4h|Night -5h|None
metadata	in.holiday_lighting	string	n/a	Presence, energy usage, and schedule of holiday lighting	No Exterior Use
metadata	in.hot_water_distribution	string	n/a	Hot water piping insulation level	Uninsulated
metadata	in.hot_water_fixtures	string	n/a	Hot water fixture usage and flow levels	100% Usage|200% Usage|50% Usage
metadata	in.hvac_cooling_efficiency	string	n/a	Presence and efficiency of cooling system	AC, SEER 10|AC, SEER 13|AC, SEER 15|AC, SEER 8|Heat Pump|None|Room AC, EER 10.7|Room AC, EER 12.0|Room AC, EER 8.5|Room AC, EER 9.8|Shared Cooling
metadata	in.hvac_cooling_partial_space_conditioning	string	n/a	Portion of space that is air conditioned	100% Conditioned|20% Conditioned|40% Conditioned|60% Conditioned|80% Conditioned|<10% Conditioned|None
metadata	in.hvac_cooling_type	string	n/a	Presence and type of cooling system	Central AC|Heat Pump|None|Room AC
metadata	in.hvac_has_ducts	string	n/a	Presence of ducts	No|Yes
metadata	in.hvac_has_shared_system	string	n/a	Presence of shared HVAC system	Cooling Only|Heating Only|Heating and Cooling|None
metadata	in.hvac_has_zonal_electric_heating	string	n/a	Presence of electric baseboard heating	No|Yes
metadata	in.hvac_heating_efficiency	string	n/a	Presence and efficiency of heating system	ASHP, SEER 10, 6.2 HSPF|ASHP, SEER 13, 7.7 HSPF|ASHP, SEER 15, 8.5 HSPF|Electric Baseboard, 100% Efficiency|Electric Boiler, 100% AFUE|Electric Furnace, 100% AFUE|Electric Wall Furnace, 100% AFUE|Fuel Boiler, 76% AFUE|Fuel Boiler, 80% AFUE|Fuel Boiler, 90% AFUE|Fuel Furnace, 60% AFUE|Fuel Furnace, 76% AFUE|Fuel Furnace, 80% AFUE|Fuel Furnace, 92.5% AFUE|Fuel Wall/Floor Furnace, 60% AFUE|Fuel Wall/Floor Furnace, 68% AFUE|None|Other|Shared Heating
metadata	in.hvac_heating_type	string	n/a	Presence and type of heating system	Ducted Heat Pump|Ducted Heating|Non-Ducted Heating|None
metadata	in.hvac_heating_type_and_fuel	string	n/a	Presence, type, and fuel of heating system	Electricity ASHP|Electricity Baseboard|Electricity Electric Boiler|Electricity Electric Furnace|Electricity Electric Wall Furnace|Electricity Shared Heating|Fuel Oil Fuel Boiler|Fuel Oil Fuel Furnace|Fuel Oil Fuel Wall/Floor Furnace|Fuel Oil Shared Heating|Natural Gas Fuel Boiler|Natural Gas Fuel Furnace|Natural Gas Fuel Wall/Floor Furnace|Natural Gas Shared Heating|None|Propane Fuel Boiler|Propane Fuel Furnace|Propane Fuel Wall/Floor Furnace|Propane Shared Heating
metadata	in.hvac_secondary_heating_efficiency	string	n/a	Presence and efficiency of secondary heating system	None
metadata	in.hvac_secondary_heating_type_and_fuel	string	n/a	Presence, type, and fuel of secondary heating system	None
metadata	in.hvac_shared_efficiencies	string	n/a	Presence and efficiency of shared HVAC system	Boiler Baseboards Heating Only, Electricity|Boiler Baseboards Heating Only, Fuel Oil|Boiler Baseboards Heating Only, Natural Gas|Boiler Baseboards Heating Only, Propane|Fan Coil Cooling Only|Fan Coil Heating and Cooling, Electricity|Fan Coil Heating and Cooling, Fuel Oil|Fan Coil Heating and Cooling, Natural Gas|Fan Coil Heating and Cooling, Propane|None
metadata	in.hvac_system_is_faulted	string	n/a	Not used	No
metadata	in.hvac_system_single_speed_ac_airflow	string	cfm/ton	Not used	None
metadata	in.hvac_system_single_speed_ac_charge	string	n/a	Not used	None
metadata	in.hvac_system_single_speed_ashp_airflow	string	cfm/ton	Not used	None
metadata	in.hvac_system_single_speed_ashp_charge	string	n/a	Not used	None
metadata	in.income	string	USD	Income level	10000-14999|100000-119999|120000-139999|140000-159999|15000-19999|160000-179999|180000-199999|20000-24999|200000+|25000-29999|30000-34999|35000-39999|40000-44999|45000-49999|50000-59999|60000-69999|70000-79999|80000-99999|<10000
metadata	in.income_recs_2015	string	USD	Income level aligned with RECS 2015	100000-119999|120000-139999|140000+|20000-39999|40000-59999|60000-79999|80000-99999|<20000
metadata	in.income_recs_2020	string	USD	Income level aligned with RECS 2020	100000-149999|150000+|20000-39999|40000-59999|60000-99999|<20000
metadata	in.infiltration	string	ACH50	Air leakage rates for the living and garage spaces	1 ACH50|10 ACH50|15 ACH50|2 ACH50|20 ACH50|25 ACH50|3 ACH50|30 ACH50|4 ACH50|40 ACH50|5 ACH50|50 ACH50|6 ACH50|7 ACH50|8 ACH50
metadata	in.insulation_ceiling	string	n/a	Ceiling insulation level	None|R-13|R-19|R-30|R-38|R-49|R-7|Uninsulated
metadata	in.insulation_floor	string	n/a	Floor insulation level	Ceiling R-13|Ceiling R-19|Ceiling R-30|None|Uninsulated
metadata	in.insulation_foundation_wall	string	n/a	Foundation walls insulation level	None|Uninsulated|Wall R-10, Exterior|Wall R-15, Exterior|Wall R-5, Exterior
metadata	in.insulation_rim_joist	string	n/a	Rim joist insulation level	None|R-10, Exterior|R-15, Exterior|R-5, Exterior|Uninsulated
metadata	in.insulation_roof	string	n/a	Finished roof insulation level	Finished, R-13|Finished, R-19|Finished, R-30|Finished, R-38|Finished, R-49|Finished, R-7|Finished, Uninsulated|Unfinished, Uninsulated
metadata	in.insulation_slab	string	n/a	Slab insulation level	2ft R10 Perimeter, Vertical|2ft R10 Under, Horizontal|2ft R5 Perimeter, Vertical|2ft R5 Under, Horizontal|None|Uninsulated
metadata	in.insulation_wall	string	n/a	Wall construction type and insulation level	Brick, 12-in, 3-wythe, R-11|Brick, 12-in, 3-wythe, R-15|Brick, 12-in, 3-wythe, R-19|Brick, 12-in, 3-wythe, R-7|Brick, 12-in, 3-wythe, Uninsulated|CMU, 6-in Hollow, R-11|CMU, 6-in Hollow, R-15|CMU, 6-in Hollow, R-19|CMU, 6-in Hollow, R-7|CMU, 6-in Hollow, Uninsulated|Wood Stud, R-11|Wood Stud, R-15|Wood Stud, R-19|Wood Stud, R-7|Wood Stud, Uninsulated
metadata	in.interior_shading	string	n/a	Fraction of window shading in the summer and winter	Summer = 0.7, Winter = 0.85
metadata	in.iso_rto_region	string	n/a	ISO or RTO region	CAISO|ERCOT|MISO|NEISO|NYISO|None|PJM|SPP
metadata	in.lighting	string	n/a	Fraction of lighting types	100% CFL|100% Incandescent|100% LED
metadata	in.lighting_interior_use	string	n/a	Interior lighting usage relative to the national average	100% Usage
metadata	in.lighting_other_use	string	n/a	Exterior and garage lighting usage relative to the national average	100% Usage
metadata	in.location_region	string	n/a	Custom ResStock region	CR02|CR03|CR04|CR05|CR06|CR07|CR08|CR09|CR10|CR11
metadata	in.mechanical_ventilation	string	n/a	Mechanical ventilation type and efficiency	None
metadata	in.misc_extra_refrigerator	string	n/a	Presence and rated efficiency of extra refrigerator	EF 10.2|EF 10.5|EF 15.9|EF 17.6|EF 19.9|EF 6.7|None
metadata	in.misc_freezer	string	n/a	Presence and rated efficiency of standalone freezer	EF 12, National Average|None
metadata	in.misc_gas_fireplace	string	n/a	Presence of gas fireplace	Gas Fireplace|None
metadata	in.misc_gas_grill	string	n/a	Presence of gas grill	Gas Grill|None
metadata	in.misc_gas_lighting	string	n/a	Presence of exterior gas lighting	Gas Lighting|None
metadata	in.misc_hot_tub_spa	string	n/a	Presence and fuel type of hot tub	Electric|Gas|None
metadata	in.misc_pool	string	n/a	Presence of pool	Has Pool|None
metadata	in.misc_pool_heater	string	n/a	Presence and fuel type of pool heater	Electric|Gas|None|Solar
metadata	in.misc_pool_pump	string	n/a	Presence and size of pool pump	1.0 HP Pump|None
metadata	in.misc_well_pump	string	n/a	Presence and efficiency of well pump	None|Typical Efficiency
metadata	in.natural_ventilation	string	n/a	Schedule of natural ventilation from windows	Cooling Season, 7 days/wk
metadata	in.neighbors	string	ft	Presence and distance between the dwelling unit and the nearest neighbors to the left and right	12|2|27|4|7|Left/Right at 15ft|None
metadata	in.occupants	string	n/a	Number of occupants that live in the dwelling unit	1|10+|2|3|4|5|6|7|8|9
metadata	in.orientation	string	n/a	Orientation of the dwelling unit	East|North|Northeast|Northwest|South|Southeast|Southwest|West
metadata	in.overhangs	string	n/a	Presence, depth, and location of window overhangs	None
metadata	in.plug_load_diversity	string	n/a	Plug load diversity multiplier relative to the national average	100%|200%|50%
metadata	in.plug_loads	string	n/a	Plug load usage level relative to the national average	100%|101%|102%|103%|104%|105%|106%|108%|110%|113%|119%|121%|123%|134%|137%|140%|144%|166%|78%|79%|82%|84%|85%|86%|89%|91%|93%|94%|95%|96%|97%|99%
