Dependency=Location EPW	Option=<1950	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s
0933680_US_MI_Kent_26081_0-20000-0-72635_42.89_-85.5_NSRDB_2.0.1_AMY.epw	0.23	0.12	0.11	0.14	0.11	0.15	0.13
0918749_US_MI_Muskegon_26121_0-20000-0-72636_43.17_-86.22_NSRDB_2.0.1_AMY.epw	0.22	0.12	0.1	0.14	0.11	0.17	0.13
0971255_US_MI_Genesee_26049_0-20000-0-72637_42.97_-83.74_NSRDB_2.0.1_AMY.epw	0.21	0.14	0.12	0.17	0.09	0.15	0.11
0950549_US_MI_Roscommon_26143_0-20000-0-72638_44.37_-84.7_NSRDB_2.0.1_AMY.epw	0.16	0.1	0.13	0.22	0.12	0.17	0.1
0932184_US_MI_Grand_Traverse_26055_0-20000-0-72634_44.73_-85.58_NSRDB_2.0.1_AMY.epw	0.18	0.08	0.09	0.18	0.14	0.19	0.14
0974142_US_MI_Alpena_26007_0-20000-0-72639_45.05_-83.58_NSRDB_2.0.1_AMY.epw	0.18	0.12	0.15	0.23	0.13	0.13	0.07
0884256_US_WI_Milwaukee_55079_0-20000-0-72640_42.97_-87.9_NSRDB_2.0.1_AMY.epw	0.25	0.16	0.12	0.14	0.08	0.13	0.11
0851867_US_WI_Dane_55025_0-20000-0-72641_43.13_-89.34_NSRDB_2.0.1_AMY.epw	0.25	0.08	0.09	0.15	0.1	0.16	0.15
0807619_US_WI_La_Crosse_55063_0-20000-0-72643_43.85_-91.26_NSRDB_2.0.1_AMY.epw	0.32	0.09	0.09	0.15	0.1	0.13	0.12
0801512_US_WI_Eau_Claire_55035_0-20000-0-72643_44.85_-91.5_NSRDB_2.0.1_AMY.epw	0.27	0.09	0.09	0.17	0.11	0.14	0.14
0780666_US_MN_Olmsted_27109_0-20000-0-72644_43.89_-92.5_NSRDB_2.0.1_AMY.epw	0.26	0.11	0.09	0.14	0.1	0.13	0.17
0879387_US_WI_Brown_55009_0-20000-0-72645_44.49_-88.14_NSRDB_2.0.1_AMY.epw	0.25	0.1	0.09	0.16	0.11	0.15	0.14
0690509_US_SD_Minnehaha_46099_0-20000-0-72651_43.57_-96.74_NSRDB_2.0.1_AMY.epw	0.31	0.1	0.09	0.15	0.08	0.12	0.14
0651451_US_SD_Beadle_46005_0-20000-0-72654_44.41_-98.22_NSRDB_2.0.1_AMY.epw	0.37	0.11	0.1	0.16	0.07	0.09	0.09
0748653_US_MN_Sherburne_27141_0-20000-0-72655_45.53_-94.06_NSRDB_2.0.1_AMY.epw	0.22	0.08	0.08	0.16	0.12	0.16	0.18
0766157_US_MN_Hennepin_27053_0-20000-0-72658_44.89_-93.22_NSRDB_2.0.1_AMY.epw	0.2	0.11	0.1	0.15	0.14	0.15	0.14
0521881_US_SD_Pennington_46103_0-20000-0-72662_44.05_-103.06_NSRDB_2.0.1_AMY.epw	0.17	0.1	0.08	0.21	0.14	0.14	0.16
0422628_US_WY_Sheridan_56033_0-20000-0-72666_44.77_-106.98_NSRDB_2.0.1_AMY.epw	0.18	0.08	0.07	0.22	0.16	0.11	0.16
0594658_US_SD_Hughes_46065_0-20000-0-72656_44.37_-100.3_NSRDB_2.0.1_AMY.epw	0.28	0.1	0.11	0.19	0.11	0.12	0.09
0387816_US_MT_Yellowstone_30111_0-20000-0-72677_45.81_-108.54_NSRDB_2.0.1_AMY.epw	0.19	0.12	0.09	0.19	0.13	0.13	0.14
0367624_US_MT_Fergus_30027_0-20000-0-72777_47.05_-109.46_NSRDB_2.0.1_AMY.epw	0.37	0.13	0.09	0.17	0.08	0.1	0.07
0226465_US_ID_Ada_16001_0-20000-0-72681_43.61_-116.22_NSRDB_2.0.1_AMY.epw	0.1	0.06	0.06	0.19	0.1	0.22	0.27
0178096_US_OR_Harney_41025_0-20000-0-72683_43.53_-119.02_NSRDB_2.0.1_AMY.epw	0.32	0.14	0.08	0.17	0.09	0.11	0.08
0142626_US_OR_Deschutes_41017_0-20000-0-72692_44.25_-121.18_NSRDB_2.0.1_AMY.epw	0.07	0.04	0.05	0.17	0.13	0.26	0.28
0181247_US_OR_Umatilla_41059_0-20000-0-72688_45.69_-118.82_NSRDB_2.0.1_AMY.epw	0.18	0.1	0.09	0.21	0.09	0.15	0.18
0098927_US_OR_Coos_41011_0-20000-0-72693_43.41_-124.26_NSRDB_2.0.1_AMY.epw	0.18	0.14	0.11	0.22	0.11	0.13	0.1
0114831_US_OR_Lane_41039_0-20000-0-72693_44.05_-123.06_NSRDB_2.0.1_AMY.epw	0.16	0.1	0.13	0.24	0.09	0.16	0.12
0115653_US_OR_Marion_41047_0-20000-0-72694_44.89_-123.02_NSRDB_2.0.1_AMY.epw	0.15	0.08	0.1	0.22	0.11	0.19	0.15
0121187_US_WA_Clark_53011_0-20000-0-72698_45.61_-122.62_NSRDB_2.0.1_AMY.epw	0.18	0.08	0.09	0.18	0.11	0.19	0.15
1423380_US_ME_Aroostook_23003_0-20000-0-72712_46.85_-68.02_NSRDB_2.0.1_AMY.epw	0.33	0.09	0.09	0.17	0.13	0.11	0.08
0957764_US_MI_Chippewa_26033_0-20000-0-71260_46.45_-84.34_NSRDB_2.0.1_AMY.epw	0.26	0.1	0.09	0.17	0.11	0.18	0.1
0786774_US_MN_St._Louis_27137_0-20000-0-72745_46.85_-92.22_NSRDB_2.0.1_AMY.epw	0.29	0.11	0.09	0.17	0.1	0.13	0.12
0762035_US_MN_Koochiching_27071_0-20000-0-72747_48.57_-93.42_NSRDB_2.0.1_AMY.epw	0.19	0.08	0.09	0.19	0.14	0.16	0.15
0688666_US_ND_Cass_38017_0-20000-0-72753_46.93_-96.82_NSRDB_2.0.1_AMY.epw	0.26	0.11	0.1	0.19	0.1	0.12	0.13
0582358_US_ND_Burleigh_38015_0-20000-0-72764_46.77_-100.78_NSRDB_2.0.1_AMY.epw	0.24	0.11	0.11	0.23	0.11	0.1	0.11
0568167_US_ND_Ward_38101_0-20000-0-72765_48.25_-101.3_NSRDB_2.0.1_AMY.epw	0.25	0.12	0.13	0.22	0.13	0.08	0.07
0431562_US_MT_Valley_30105_0-20000-0-72768_48.21_-106.62_NSRDB_2.0.1_AMY.epw	0.29	0.17	0.15	0.18	0.12	0.05	0.04
0311954_US_MT_Lewis_and_Clark_30049_0-20000-0-72772_46.61_-111.98_NSRDB_2.0.1_AMY.epw	0.22	0.07	0.07	0.17	0.11	0.18	0.18
0268333_US_MT_Missoula_30063_0-20000-0-72773_46.93_-114.1_NSRDB_2.0.1_AMY.epw	0.16	0.07	0.08	0.21	0.12	0.19	0.17
0325150_US_MT_Cascade_30013_0-20000-0-72776_47.45_-111.38_NSRDB_2.0.1_AMY.epw	0.26	0.16	0.15	0.18	0.08	0.09	0.08
0264842_US_MT_Flathead_30029_0-20000-0-72779_48.33_-114.26_NSRDB_2.0.1_AMY.epw	0.13	0.07	0.07	0.18	0.16	0.19	0.19
0303807_US_MT_Glacier_30035_0-20000-0-72769_48.61_-112.38_NSRDB_2.0.1_AMY.epw	0.27	0.15	0.09	0.2	0.13	0.11	0.05
0152773_US_WA_Yakima_53077_0-20000-0-72781_46.57_-120.54_NSRDB_2.0.1_AMY.epw	0.19	0.13	0.1	0.17	0.12	0.17	0.14
0202713_US_WA_Spokane_53063_0-20000-0-72785_47.49_-117.58_NSRDB_2.0.1_AMY.epw	0.21	0.1	0.07	0.19	0.11	0.17	0.15
0103553_US_OR_Clatsop_41007_0-20000-0-72791_46.13_-123.9_NSRDB_2.0.1_AMY.epw	0.24	0.07	0.08	0.18	0.12	0.19	0.13
0117406_US_WA_Thurston_53067_0-20000-0-72792_46.97_-122.9_NSRDB_2.0.1_AMY.epw	0.15	0.06	0.09	0.2	0.14	0.18	0.18
0125711_US_WA_King_53033_0-20000-0-72793_47.45_-122.3_NSRDB_2.0.1_AMY.epw	0.15	0.08	0.11	0.16	0.16	0.17	0.16
0095843_US_WA_Clallam_53009_0-20000-0-72797_47.93_-124.58_NSRDB_2.0.1_AMY.epw	0.17	0.05	0.07	0.2	0.13	0.2	0.18
0448678_US_MT_Custer_30017_0-20000-0-74230_46.45_-105.9_NSRDB_2.0.1_AMY.epw	0.31	0.15	0.1	0.21	0.12	0.06	0.05
1237137_US_NY_Queens_36081_0-20000-0-74486_40.65_-73.82_NSRDB_2.0.1_AMY.epw	0.38	0.28	0.13	0.07	0.05	0.04	0.04
