County,electricity_fixed_charge,electricity_marginal_rate,natural_gas_fixed_charge,natural_gas_marginal_rate,propane_fixed_charge,propane_marginal_rate,fuel_oil_fixed_charge,fuel_oil_marginal_rate,wood_fixed_charge,wood_marginal_rate
"ID, Boundary County",,,,,,,,,,
"ID, Butte County",,,,,,,,,,
"ID, Camas County",,,,,,,,,,
"ID, Canyon County",,,,,,,,,,
"ID, Caribou County",,,,,,,,,,
"ID, Cassia County",,,,,,,,,,
"ID, Clark County",,,,,,,,,,
"ID, Clearwater County",,,,,,,,,,
"ID, Custer County",,,,,,,,,,
"ID, Elmore County",,,,,,,,,,
"ID, Franklin County",,,,,,,,,,
"ID, Fremont County",,,,,,,,,,
"ID, Gem County",,,,,,,,,,
"ID, Gooding County",,,,,,,,,,
"ID, Idaho County",,,,,,,,,,
"ID, Jefferson County",,,,,,,,,,
"ID, Jerome County",,,,,,,,,,
"ID, Kootenai County",,,,,,,,,,
"ID, Latah County",,,,,,,,,,
"ID, Lemhi County",,,,,,,,,,
"ID, Lewis County",,,,,,,,,,
"ID, Lincoln County",,,,,,,,,,
"ID, Madison County",,,,,,,,,,
"ID, Minidoka County",,,,,,,,,,
"ID, Nez Perce County",,,,,,,,,,
"ID, Oneida County",,,,,,,,,,
"ID, Owyhee County",,,,,,,,,,
"ID, Payette County",,,,,,,,,,
"ID, Power County",,,,,,,,,,
"ID, Shoshone County",,,,,,,,,,
"ID, Teton County",,,,,,,,,,
"ID, Twin Falls County",,,,,,,,,,
"ID, Valley County",,,,,,,,,,
"ID, Washington County",,,,,,,,,,
"IL, Adams County",,,,,,,,,,
"IL, Alexander County",,,,,,,,,,
"IL, Bond County",,,,,,,,,,
"IL, Boone County",,,,,,,,,,
"IL, Brown County",,,,,,,,,,
"IL, Bureau County",,,,,,,,,,
"IL, Calhoun County",,,,,,,,,,
"IL, Carroll County",,,,,,,,,,
"IL, Cass County",,,,,,,,,,
"IL, Champaign County",,,,,,,,,,
"IL, Christian County",,,,,,,,,,
"IL, Clark County",,,,,,,,,,
"IL, Clay County",,,,,,,,,,
"IL, Clinton County",,,,,,,,,,
"IL, Coles County",,,,,,,,,,
"IL, Cook County",,,,,,,,,,
"IL, Crawford County",,,,,,,,,,
"IL, Cumberland County",,,,,,,,,,
"IL, De Witt County",,,,,,,,,,
"IL, DeKalb County",,,,,,,,,,
"IL, Douglas County",,,,,,,,,,
"IL, DuPage County",,,,,,,,,,
"IL, Edgar County",,,,,,,,,,
"IL, Edwards County",,,,,,,,,,
"IL, Effingham County",,,,,,,,,,
"IL, Fayette County",,,,,,,,,,
"IL, Ford County",,,,,,,,,,
"IL, Franklin County",,,,,,,,,,
"IL, Fulton County",,,,,,,,,,
"IL, Gallatin County",,,,,,,,,,
"IL, Greene County",,,,,,,,,,
"IL, Grundy County",,,,,,,,,,
"IL, Hamilton County",,,,,,,,,,
"IL, Hancock County",,,,,,,,,,
"IL, Hardin County",,,,,,,,,,
"IL, Henderson County",,,,,,,,,,
"IL, Henry County",,,,,,,,,,
"IL, Iroquois County",,,,,,,,,,
"IL, Jackson County",,,,,,,,,,
"IL, Jasper County",,,,,,,,,,
"IL, Jefferson County",,,,,,,,,,
"IL, Jersey County",,,,,,,,,,
"IL, Jo Daviess County",,,,,,,,,,
"IL, Johnson County",,,,,,,,,,
"IL, Kane County",,,,,,,,,,
"IL, Kankakee County",,,,,,,,,,
"IL, Kendall County",,,,,,,,,,
"IL, Knox County",,,,,,,,,,
"IL, Lake County",,,,,,,,,,
"IL, LaSalle County",,,,,,,,,,
"IL, Lawrence County",,,,,,,,,,
"IL, Lee County",,,,,,,,,,
"IL, Livingston County",,,,,,,,,,
"IL, Logan County",,,,,,,,,,
"IL, Macon County",,,,,,,,,,
"IL, Macoupin County",,,,,,,,,,
"IL, Madison County",,,,,,,,,,
"IL, Marion County",,,,,,,,,,
"IL, Marshall County",,,,,,,,,,
"IL, Mason County",,,,,,,,,,
"IL, Massac County",,,,,,,,,,
"IL, McDonough County",,,,,,,,,,
"IL, McHenry County",,,,,,,,,,
"IL, McLean County",,,,,,,,,,
"IL, Menard County",,,,,,,,,,
"IL, Mercer County",,,,,,,,,,
"IL, Monroe County",,,,,,,,,,
"IL, Montgomery County",,,,,,,,,,
"IL, Morgan County",,,,,,,,,,
"IL, Moultrie County",,,,,,,,,,
"IL, Ogle County",,,,,,,,,,
"IL, Peoria County",,,,,,,,,,
"IL, Perry County",,,,,,,,,,
"IL, Piatt County",,,,,,,,,,
"IL, Pike County",,,,,,,,,,
"IL, Pope County",,,,,,,,,,
"IL, Pulaski County",,,,,,,,,,
"IL, Putnam County",,,,,,,,,,
"IL, Randolph County",,,,,,,,,,
"IL, Richland County",,,,,,,,,,
"IL, Rock Island County",,,,,,,,,,
"IL, Saline County",,,,,,,,,,
"IL, Sangamon County",,,,,,,,,,
"IL, Schuyler County",,,,,,,,,,
"IL, Scott County",,,,,,,,,,
"IL, Shelby County",,,,,,,,,,
"IL, St. Clair County",,,,,,,,,,
"IL, Stark County",,,,,,,,,,
"IL, Stephenson County",,,,,,,,,,
"IL, Tazewell County",,,,,,,,,,
"IL, Union County",,,,,,,,,,
"IL, Vermilion County",,,,,,,,,,
"IL, Wabash County",,,,,,,,,,
"IL, Warren County",,,,,,,,,,
"IL, Washington County",,,,,,,,,,
"IL, Wayne County",,,,,,,,,,
"IL, White County",,,,,,,,,,
"IL, Whiteside County",,,,,,,,,,
"IL, Will County",,,,,,,,,,
"IL, Williamson County",,,,,,,,,,
"IL, Winnebago County",,,,,,,,,,
"IL, Woodford County",,,,,,,,,,
"IN, Adams County",,,,,,,,,,
"IN, Allen County",,,,,,,,,,
"IN, Bartholomew County",,,,,,,,,,
"IN, Benton County",,,,,,,,,,
"IN, Blackford County",,,,,,,,,,
"IN, Boone County",,,,,,,,,,
"IN, Brown County",,,,,,,,,,
"IN, Carroll County",,,,,,,,,,
"IN, Cass County",,,,,,,,,,
"IN, Clark County",,,,,,,,,,
"IN, Clay County",,,,,,,,,,
"IN, Clinton County",,,,,,,,,,
"IN, Crawford County",,,,,,,,,,
"IN, Daviess County",,,,,,,,,,
"IN, Dearborn County",,,,,,,,,,
"IN, Decatur County",,,,,,,,,,
"IN, DeKalb County",,,,,,,,,,
"IN, Delaware County",,,,,,,,,,
"IN, Dubois County",,,,,,,,,,
"IN, Elkhart County",,,,,,,,,,
"IN, Fayette County",,,,,,,,,,
"IN, Floyd County",,,,,,,,,,
"IN, Fountain County",,,,,,,,,,
"IN, Franklin County",,,,,,,,,,
"IN, Fulton County",,,,,,,,,,
"IN, Gibson County",,,,,,,,,,
"IN, Grant County",,,,,,,,,,
"IN, Greene County",,,,,,,,,,
"IN, Hamilton County",,,,,,,,,,
"IN, Hancock County",,,,,,,,,,
"IN, Harrison County",,,,,,,,,,
"IN, Hendricks County",,,,,,,,,,
"IN, Henry County",,,,,,,,,,
"IN, Howard County",,,,,,,,,,
"IN, Huntington County",,,,,,,,,,
"IN, Jackson County",,,,,,,,,,
"IN, Jasper County",,,,,,,,,,
"IN, Jay County",,,,,,,,,,
"IN, Jefferson County",,,,,,,,,,
"IN, Jennings County",,,,,,,,,,
"IN, Johnson County",,,,,,,,,,
"IN, Knox County",,,,,,,,,,
"IN, Kosciusko County",,,,,,,,,,
"IN, LaGrange County",,,,,,,,,,
"IN, Lake County",,,,,,,,,,
"IN, LaPorte County",,,,,,,,,,
"IN, Lawrence County",,,,,,,,,,
"IN, Madison County",,,,,,,,,,
"IN, Marion County",,,,,,,,,,
"IN, Marshall County",,,,,,,,,,
"IN, Martin County",,,,,,,,,,
"IN, Miami County",,,,,,,,,,
"IN, Monroe County",,,,,,,,,,
"IN, Montgomery County",,,,,,,,,,
"IN, Morgan County",,,,,,,,,,
"IN, Newton County",,,,,,,,,,
"IN, Noble County",,,,,,,,,,
"IN, Ohio County",,,,,,,,,,
"IN, Orange County",,,,,,,,,,
"IN, Owen County",,,,,,,,,,
"IN, Parke County",,,,,,,,,,
"IN, Perry County",,,,,,,,,,
"IN, Pike County",,,,,,,,,,
"IN, Porter County",,,,,,,,,,
"IN, Posey County",,,,,,,,,,
"IN, Pulaski County",,,,,,,,,,
"IN, Putnam County",,,,,,,,,,
"IN, Randolph County",,,,,,,,,,
"IN, Ripley County",,,,,,,,,,
"IN, Rush County",,,,,,,,,,
"IN, Scott County",,,,,,,,,,
"IN, Shelby County",,,,,,,,,,
"IN, Spencer County",,,,,,,,,,
"IN, St. Joseph County",,,,,,,,,,
"IN, Starke County",,,,,,,,,,
"IN, Steuben County",,,,,,,,,,
"IN, Sullivan County",,,,,,,,,,
"IN, Switzerland County",,,,,,,,,,
"IN, Tippecanoe County",,,,,,,,,,
"IN, Tipton County",,,,,,,,,,
"IN, Union County",,,,,,,,,,
"IN, Vanderburgh County",,,,,,,,,,
"IN, Vermillion County",,,,,,,,,,
"IN, Vigo County",,,,,,,,,,
"IN, Wabash County",,,,,,,,,,
"IN, Warren County",,,,,,,,,,
"IN, Warrick County",,,,,,,,,,
"IN, Washington County",,,,,,,,,,
"IN, Wayne County",,,,,,,,,,
"IN, Wells County",,,,,,,,,,
"IN, White County",,,,,,,,,,
"IN, Whitley County",,,,,,,,,,
"KS, Allen County",,,,,,,,,,
"KS, Anderson County",,,,,,,,,,
"KS, Atchison County",,,,,,,,,,
"KS, Barber County",,,,,,,,,,
"KS, Barton County",,,,,,,,,,
"KS, Bourbon County",,,,,,,,,,
"KS, Brown County",,,,,,,,,,
"KS, Butler County",,,,,,,,,,
"KS, Chase County",,,,,,,,,,
"KS, Chautauqua County",,,,,,,,,,
"KS, Cherokee County",,,,,,,,,,
"KS, Cheyenne County",,,,,,,,,,
"KS, Clark County",,,,,,,,,,
"KS, Clay County",,,,,,,,,,
"KS, Cloud County",,,,,,,,,,
"KS, Coffey County",,,,,,,,,,
"KS, Comanche County",,,,,,,,,,
"KS, Cowley County",,,,,,,,,,
"KS, Crawford County",,,,,,,,,,
"KS, Decatur County",,,,,,,,,,
"KS, Dickinson County",,,,,,,,,,
"KS, Doniphan County",,,,,,,,,,
"KS, Douglas County",,,,,,,,,,
"KS, Edwards County",,,,,,,,,,
"KS, Elk County",,,,,,,,,,
"KS, Ellis County",,,,,,,,,,
"KS, Ellsworth County",,,,,,,,,,
"KS, Finney County",,,,,,,,,,
"KS, Ford County",,,,,,,,,,
"KS, Franklin County",,,,,,,,,,
"KS, Geary County",,,,,,,,,,
"KS, Gove County",,,,,,,,,,
"KS, Graham County",,,,,,,,,,
"KS, Grant County",,,,,,,,,,
"KS, Gray County",,,,,,,,,,
"KS, Greeley County",,,,,,,,,,
"KS, Greenwood County",,,,,,,,,,
"KS, Hamilton County",,,,,,,,,,
"KS, Harper County",,,,,,,,,,
"KS, Harvey County",,,,,,,,,,
"KS, Haskell County",,,,,,,,,,
"KS, Hodgeman County",,,,,,,,,,
"KS, Jackson County",,,,,,,,,,
"KS, Jefferson County",,,,,,,,,,
"KS, Jewell County",,,,,,,,,,
"KS, Johnson County",,,,,,,,,,
"KS, Kearny County",,,,,,,,,,
"KS, Kingman County",,,,,,,,,,
"KS, Kiowa County",,,,,,,,,,
"KS, Labette County",,,,,,,,,,
"KS, Lane County",,,,,,,,,,
"KS, Leavenworth County",,,,,,,,,,
"KS, Lincoln County",,,,,,,,,,
"KS, Linn County",,,,,,,,,,
"KS, Logan County",,,,,,,,,,
"KS, Lyon County",,,,,,,,,,
"KS, Marion County",,,,,,,,,,
"KS, Marshall County",,,,,,,,,,
"KS, McPherson County",,,,,,,,,,
"KS, Meade County",,,,,,,,,,
"KS, Miami County",,,,,,,,,,
"KS, Mitchell County",,,,,,,,,,
"KS, Montgomery County",,,,,,,,,,
"KS, Morris County",,,,,,,,,,
"KS, Morton County",,,,,,,,,,
"KS, Nemaha County",,,,,,,,,,
"KS, Neosho County",,,,,,,,,,
"KS, Ness County",,,,,,,,,,
"KS, Norton County",,,,,,,,,,
"KS, Osage County",,,,,,,,,,
"KS, Osborne County",,,,,,,,,,
"KS, Ottawa County",,,,,,,,,,
"KS, Pawnee County",,,,,,,,,,
"KS, Phillips County",,,,,,,,,,
"KS, Pottawatomie County",,,,,,,,,,
"KS, Pratt County",,,,,,,,,,
"KS, Rawlins County",,,,,,,,,,
"KS, Reno County",,,,,,,,,,
"KS, Republic County",,,,,,,,,,
"KS, Rice County",,,,,,,,,,
"KS, Riley County",,,,,,,,,,
"KS, Rooks County",,,,,,,,,,
"KS, Rush County",,,,,,,,,,
"KS, Russell County",,,,,,,,,,
"KS, Saline County",,,,,,,,,,
"KS, Scott County",,,,,,,,,,
"KS, Sedgwick County",,,,,,,,,,
"KS, Seward County",,,,,,,,,,
"KS, Shawnee County",,,,,,,,,,
"KS, Sheridan County",,,,,,,,,,
"KS, Sherman County",,,,,,,,,,
"KS, Smith County",,,,,,,,,,
"KS, Stafford County",,,,,,,,,,
"KS, Stanton County",,,,,,,,,,
"KS, Stevens County",,,,,,,,,,
"KS, Sumner County",,,,,,,,,,
"KS, Thomas County",,,,,,,,,,
"KS, Trego County",,,,,,,,,,
"KS, Wabaunsee County",,,,,,,,,,
"KS, Wallace County",,,,,,,,,,
"KS, Washington County",,,,,,,,,,
"KS, Wichita County",,,,,,,,,,
"KS, Wilson County",,,,,,,,,,
"KS, Woodson County",,,,,,,,,,
"KS, Wyandotte County",,,,,,,,,,
"KY, Adair County",,,,,,,,,,
"KY, Allen County",,,,,,,,,,
"KY, Anderson County",,,,,,,,,,
"KY, Ballard County",,,,,,,,,,
"KY, Barren County",,,,,,,,,,
"KY, Bath County",,,,,,,,,,
"KY, Bell County",,,,,,,,,,
"KY, Boone County",,,,,,,,,,
"KY, Bourbon County",,,,,,,,,,
"KY, Boyd County",,,,,,,,,,
"KY, Boyle County",,,,,,,,,,
"KY, Bracken County",,,,,,,,,,
"KY, Breathitt County",,,,,,,,,,
"KY, Breckinridge County",,,,,,,,,,
"KY, Bullitt County",,,,,,,,,,
"KY, Butler County",,,,,,,,,,
"KY, Caldwell County",,,,,,,,,,
"KY, Calloway County",,,,,,,,,,
"KY, Campbell County",,,,,,,,,,
"KY, Carlisle County",,,,,,,,,,
"KY, Carroll County",,,,,,,,,,
"KY, Carter County",,,,,,,,,,
"KY, Casey County",,,,,,,,,,
"KY, Christian County",,,,,,,,,,
"KY, Clark County",,,,,,,,,,
"KY, Clay County",,,,,,,,,,
"KY, Clinton County",,,,,,,,,,
"KY, Crittenden County",,,,,,,,,,
"KY, Cumberland County",,,,,,,,,,
"KY, Daviess County",,,,,,,,,,
"KY, Edmonson County",,,,,,,,,,
"KY, Elliott County",,,,,,,,,,
"KY, Estill County",,,,,,,,,,
"KY, Fayette County",,,,,,,,,,
"KY, Fleming County",,,,,,,,,,
"KY, Floyd County",,,,,,,,,,
"KY, Franklin County",,,,,,,,,,
"KY, Fulton County",,,,,,,,,,
"KY, Gallatin County",,,,,,,,,,
"KY, Garrard County",,,,,,,,,,
"KY, Grant County",,,,,,,,,,
"KY, Graves County",,,,,,,,,,
"KY, Grayson County",,,,,,,,,,
"KY, Green County",,,,,,,,,,
"KY, Greenup County",,,,,,,,,,
"KY, Hancock County",,,,,,,,,,
"KY, Hardin County",,,,,,,,,,
"KY, Harlan County",,,,,,,,,,
"KY, Harrison County",,,,,,,,,,
"KY, Hart County",,,,,,,,,,
"KY, Henderson County",,,,,,,,,,
"KY, Henry County",,,,,,,,,,
"KY, Hickman County",,,,,,,,,,
"KY, Hopkins County",,,,,,,,,,
"KY, Jackson County",,,,,,,,,,
"KY, Jefferson County",,,,,,,,,,
"KY, Jessamine County",,,,,,,,,,
"KY, Johnson County",,,,,,,,,,
"KY, Kenton County",,,,,,,,,,
"KY, Knott County",,,,,,,,,,
"KY, Knox County",,,,,,,,,,
"KY, Larue County",,,,,,,,,,
"KY, Laurel County",,,,,,,,,,
"KY, Lawrence County",,,,,,,,,,
"KY, Lee County",,,,,,,,,,
"KY, Leslie County",,,,,,,,,,
"KY, Letcher County",,,,,,,,,,
"KY, Lewis County",,,,,,,,,,
"KY, Lincoln County",,,,,,,,,,
"KY, Livingston County",,,,,,,,,,
"KY, Logan County",,,,,,,,,,
"KY, Lyon County",,,,,,,,,,
"KY, Madison County",,,,,,,,,,
"KY, Magoffin County",,,,,,,,,,
"KY, Marion County",,,,,,,,,,
"KY, Marshall County",,,,,,,,,,
"KY, Martin County",,,,,,,,,,
"KY, Mason County",,,,,,,,,,
"KY, McCracken County",,,,,,,,,,
"KY, McCreary County",,,,,,,,,,
"KY, McLean County",,,,,,,,,,
"KY, Meade County",,,,,,,,,,
"KY, Menifee County",,,,,,,,,,
"KY, Mercer County",,,,,,,,,,
"KY, Metcalfe County",,,,,,,,,,
"KY, Monroe County",,,,,,,,,,
"KY, Montgomery County",,,,,,,,,,
"KY, Morgan County",,,,,,,,,,
"KY, Muhlenberg County",,,,,,,,,,
"KY, Nelson County",,,,,,,,,,
"KY, Nicholas County",,,,,,,,,,
"KY, Ohio County",,,,,,,,,,
"KY, Oldham County",,,,,,,,,,
"KY, Owen County",,,,,,,,,,
"KY, Owsley County",,,,,,,,,,
"KY, Pendleton County",,,,,,,,,,
"KY, Perry County",,,,,,,,,,
"KY, Pike County",,,,,,,,,,
"KY, Powell County",,,,,,,,,,
"KY, Pulaski County",,,,,,,,,,
"KY, Robertson County",,,,,,,,,,
"KY, Rockcastle County",,,,,,,,,,
"KY, Rowan County",,,,,,,,,,
"KY, Russell County",,,,,,,,,,
"KY, Scott County",,,,,,,,,,
"KY, Shelby County",,,,,,,,,,
"KY, Simpson County",,,,,,,,,,
"KY, Spencer County",,,,,,,,,,
"KY, Taylor County",,,,,,,,,,
"KY, Todd County",,,,,,,,,,
"KY, Trigg County",,,,,,,,,,
"KY, Trimble County",,,,,,,,,,
"KY, Union County",,,,,,,,,,
"KY, Warren County",,,,,,,,,,
"KY, Washington County",,,,,,,,,,
"KY, Wayne County",,,,,,,,,,
"KY, Webster County",,,,,,,,,,
"KY, Whitley County",,,,,,,,,,
"KY, Wolfe County",,,,,,,,,,
"KY, Woodford County",,,,,,,,,,
"LA, Acadia Parish",,,,,,,,,,
"LA, Allen Parish",,,,,,,,,,
"LA, Ascension Parish",,,,,,,,,,
"LA, Assumption Parish",,,,,,,,,,
"LA, Avoyelles Parish",,,,,,,,,,
"LA, Beauregard Parish",,,,,,,,,,
"LA, Bienville Parish",,,,,,,,,,
"LA, Bossier Parish",,,,,,,,,,
"LA, Caddo Parish",,,,,,,,,,
"LA, Calcasieu Parish",,,,,,,,,,
"LA, Caldwell Parish",,,,,,,,,,
"LA, Cameron Parish",,,,,,,,,,
"LA, Catahoula Parish",,,,,,,,,,
"LA, Claiborne Parish",,,,,,,,,,
"LA, Concordia Parish",,,,,,,,,,
"LA, De Soto Parish",,,,,,,,,,
"LA, East Baton Rouge Parish",,,,,,,,,,
"LA, East Carroll Parish",,,,,,,,,,
"LA, East Feliciana Parish",,,,,,,,,,
"LA, Evangeline Parish",,,,,,,,,,
"LA, Franklin Parish",,,,,,,,,,
"LA, Grant Parish",,,,,,,,,,
"LA, Iberia Parish",,,,,,,,,,
"LA, Iberville Parish",,,,,,,,,,
"LA, Jackson Parish",,,,,,,,,,
"LA, Jefferson Davis Parish",,,,,,,,,,
"LA, Jefferson Parish",,,,,,,,,,
"LA, La Salle Parish",,,,,,,,,,
"LA, Lafayette Parish",,,,,,,,,,
"LA, Lafourche Parish",,,,,,,,,,
"LA, Lincoln Parish",,,,,,,,,,
"LA, Livingston Parish",,,,,,,,,,
"LA, Madison Parish",,,,,,,,,,
"LA, Morehouse Parish",,,,,,,,,,
"LA, Natchitoches Parish",,,,,,,,,,
"LA, Orleans Parish",,,,,,,,,,
"LA, Ouachita Parish",,,,,,,,,,
"LA, Plaquemines Parish",,,,,,,,,,
"LA, Pointe Coupee Parish",,,,,,,,,,
"LA, Rapides Parish",,,,,,,,,,
"LA, Red River Parish",,,,,,,,,,
"LA, Richland Parish",,,,,,,,,,
"LA, Sabine Parish",,,,,,,,,,
"LA, St. Bernard Parish",,,,,,,,,,
"LA, St. Charles Parish",,,,,,,,,,
"LA, St. Helena Parish",,,,,,,,,,
"LA, St. James Parish",,,,,,,,,,
"LA, St. John the Baptist Parish",,,,,,,,,,
"LA, St. Landry Parish",,,,,,,,,,
"LA, St. Martin Parish",,,,,,,,,,
"LA, St. Mary Parish",,,,,,,,,,
"LA, St. Tammany Parish",,,,,,,,,,
"LA, Tangipahoa Parish",,,,,,,,,,
"LA, Tensas Parish",,,,,,,,,,
"LA, Terrebonne Parish",,,,,,,,,,
"LA, Union Parish",,,,,,,,,,
"LA, Vermilion Parish",,,,,,,,,,
"LA, Vernon Parish",,,,,,,,,,
"LA, Washington Parish",,,,,,,,,,
"LA, Webster Parish",,,,,,,,,,
"LA, West Baton Rouge Parish",,,,,,,,,,
"LA, West Carroll Parish",,,,,,,,,,
"LA, West Feliciana Parish",,,,,,,,,,
"LA, Winn Parish",,,,,,,,,,
"MA, Barnstable County",,,,,,,,,,
"MA, Berkshire County",,,,,,,,,,
"MA, Bristol County",,,,,,,,,,
"MA, Dukes County",,,,,,,,,,
"MA, Essex County",,,,,,,,,,
"MA, Franklin County",,,,,,,,,,
"MA, Hampden County",,,,,,,,,,
"MA, Hampshire County",,,,,,,,,,
"MA, Middlesex County",,,,,,,,,,
"MA, Nantucket County",,,,,,,,,,
"MA, Norfolk County",,,,,,,,,,
"MA, Plymouth County",,,,,,,,,,
"MA, Suffolk County",,,,,,,,,,
"MA, Worcester County",,,,,,,,,,
"MD, Allegany County",,,,,,,,,,
"MD, Anne Arundel County",,,,,,,,,,
"MD, Baltimore city",,,,,,,,,,
"MD, Baltimore County",,,,,,,,,,
"MD, Calvert County",,,,,,,,,,
"MD, Caroline County",,,,,,,,,,
"MD, Carroll County",,,,,,,,,,
"MD, Cecil County",,,,,,,,,,
"MD, Charles County",,,,,,,,,,
"MD, Dorchester County",,,,,,,,,,
"MD, Frederick County",,,,,,,,,,
"MD, Garrett County",,,,,,,,,,
"MD, Harford County",,,,,,,,,,
"MD, Howard County",,,,,,,,,,
"MD, Kent County",,,,,,,,,,
"MD, Montgomery County",,,,,,,,,,
"MD, Prince George's County",,,,,,,,,,
"MD, Queen Anne's County",,,,,,,,,,
"MD, Somerset County",,,,,,,,,,
"MD, St. Mary's County",,,,,,,,,,
"MD, Talbot County",,,,,,,,,,
"MD, Washington County",,,,,,,,,,
"MD, Wicomico County",,,,,,,,,,
"MD, Worcester County",,,,,,,,,,
"ME, Androscoggin County",,,,,,,,,,
"ME, Aroostook County",,,,,,,,,,
"ME, Cumberland County",,,,,,,,,,
"ME, Franklin County",,,,,,,,,,
"ME, Hancock County",,,,,,,,,,
"ME, Kennebec County",,,,,,,,,,
"ME, Knox County",,,,,,,,,,
"ME, Lincoln County",,,,,,,,,,
"ME, Oxford County",,,,,,,,,,
"ME, Penobscot County",,,,,,,,,,
"ME, Piscataquis County",,,,,,,,,,
"ME, Sagadahoc County",,,,,,,,,,
"ME, Somerset County",,,,,,,,,,
"ME, Waldo County",,,,,,,,,,
"ME, Washington County",,,,,,,,,,
"ME, York County",,,,,,,,,,
"MI, Alcona County",,,,,,,,,,
"MI, Alger County",,,,,,,,,,
"MI, Allegan County",,,,,,,,,,
"MI, Alpena County",,,,,,,,,,
"MI, Antrim County",,,,,,,,,,
"MI, Arenac County",,,,,,,,,,
"MI, Baraga County",,,,,,,,,,
"MI, Barry County",,,,,,,,,,
"MI, Bay County",,,,,,,,,,
"MI, Benzie County",,,,,,,,,,
"MI, Berrien County",,,,,,,,,,
"MI, Branch County",,,,,,,,,,
"MI, Calhoun County",,,,,,,,,,
"MI, Cass County",,,,,,,,,,
"MI, Charlevoix County",,,,,,,,,,
"MI, Cheboygan County",,,,,,,,,,
"MI, Chippewa County",,,,,,,,,,
"MI, Clare County",,,,,,,,,,
"MI, Clinton County",,,,,,,,,,
"MI, Crawford County",,,,,,,,,,
"MI, Delta County",,,,,,,,,,
"MI, Dickinson County",,,,,,,,,,
"MI, Eaton County",,,,,,,,,,
"MI, Emmet County",,,,,,,,,,
"MI, Genesee County",,,,,,,,,,
"MI, Gladwin County",,,,,,,,,,
"MI, Gogebic County",,,,,,,,,,
"MI, Grand Traverse County",,,,,,,,,,
"MI, Gratiot County",,,,,,,,,,
"MI, Hillsdale County",,,,,,,,,,
"MI, Houghton County",,,,,,,,,,
"MI, Huron County",,,,,,,,,,
"MI, Ingham County",,,,,,,,,,
"MI, Ionia County",,,,,,,,,,
"MI, Iosco County",,,,,,,,,,
"MI, Iron County",,,,,,,,,,
"MI, Isabella County",,,,,,,,,,
"MI, Jackson County",,,,,,,,,,
"MI, Kalamazoo County",,,,,,,,,,
"MI, Kalkaska County",,,,,,,,,,
"MI, Kent County",,,,,,,,,,
"MI, Keweenaw County",,,,,,,,,,
"MI, Lake County",,,,,,,,,,
"MI, Lapeer County",,,,,,,,,,
"MI, Leelanau County",,,,,,,,,,
"MI, Lenawee County",,,,,,,,,,
"MI, Livingston County",,,,,,,,,,
"MI, Luce County",,,,,,,,,,
"MI, Mackinac County",,,,,,,,,,
"MI, Macomb County",,,,,,,,,,
"MI, Manistee County",,,,,,,,,,
"MI, Marquette County",,,,,,,,,,
"MI, Mason County",,,,,,,,,,
"MI, Mecosta County",,,,,,,,,,
"MI, Menominee County",,,,,,,,,,
"MI, Midland County",,,,,,,,,,
"MI, Missaukee County",,,,,,,,,,
"MI, Monroe County",,,,,,,,,,
"MI, Montcalm County",,,,,,,,,,
"MI, Montmorency County",,,,,,,,,,
"MI, Muskegon County",,,,,,,,,,
"MI, Newaygo County",,,,,,,,,,
"MI, Oakland County",,,,,,,,,,
"MI, Oceana County",,,,,,,,,,
"MI, Ogemaw County",,,,,,,,,,
"MI, Ontonagon County",,,,,,,,,,
"MI, Osceola County",,,,,,,,,,
"MI, Oscoda County",,,,,,,,,,
"MI, Otsego County",,,,,,,,,,
"MI, Ottawa County",,,,,,,,,,
"MI, Presque Isle County",,,,,,,,,,
"MI, Roscommon County",,,,,,,,,,
"MI, Saginaw County",,,,,,,,,,
"MI, Sanilac County",,,,,,,,,,
"MI, Schoolcraft County",,,,,,,,,,
"MI, Shiawassee County",,,,,,,,,,
"MI, St. Clair County",,,,,,,,,,
"MI, St. Joseph County",,,,,,,,,,
"MI, Tuscola County",,,,,,,,,,
"MI, Van Buren County",,,,,,,,,,
"MI, Washtenaw County",,,,,,,,,,
"MI, Wayne County",,,,,,,,,,
"MI, Wexford County",,,,,,,,,,
"MN, Aitkin County",,,,,,,,,,
"MN, Anoka County",,,,,,,,,,
"MN, Becker County",,,,,,,,,,
"MN, Beltrami County",,,,,,,,,,
"MN, Benton County",,,,,,,,,,
"MN, Big Stone County",,,,,,,,,,
"MN, Blue Earth County",,,,,,,,,,
"MN, Brown County",,,,,,,,,,
"MN, Carlton County",,,,,,,,,,
"MN, Carver County",,,,,,,,,,
"MN, Cass County",,,,,,,,,,
"MN, Chippewa County",,,,,,,,,,
"MN, Chisago County",,,,,,,,,,
"MN, Clay County",,,,,,,,,,
"MN, Clearwater County",,,,,,,,,,
"MN, Cook County",,,,,,,,,,
"MN, Cottonwood County",,,,,,,,,,
"MN, Crow Wing County",,,,,,,,,,
"MN, Dakota County",,,,,,,,,,
"MN, Dodge County",,,,,,,,,,
"MN, Douglas County",,,,,,,,,,
"MN, Faribault County",,,,,,,,,,
"MN, Fillmore County",,,,,,,,,,
"MN, Freeborn County",,,,,,,,,,
"MN, Goodhue County",,,,,,,,,,
"MN, Grant County",,,,,,,,,,
"MN, Hennepin County",,,,,,,,,,
"MN, Houston County",,,,,,,,,,
"MN, Hubbard County",,,,,,,,,,
"MN, Isanti County",,,,,,,,,,
