Building,ASHRAE IECC Climate Zone 2004,Bathroom Spot Vent Hour,County and PUMA,AIANNH Area,CEC Climate Zone,City,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,Building America Climate Zone,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle,Energystar Climate Zone 2023,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Fuel,HVAC Secondary Heating Partial Space Conditioning,HVAC System Is Faulted,Holiday Lighting,Hot Water Distribution,ISO RTO Region,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Orientation,Overhangs,PUMA,Geometry Building Type ACS,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Building Type RECS,Cooling Setpoint Has Offset,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Corridor,Neighbors,PUMA Metro Status,REEDS Balancing Area,Generation And Emissions Assessment Region,Radiant Barrier,Range Spot Vent Hour,Solar Hot Water,State,Census Division,Census Division RECS,Census Region,Lighting,Location Region,Plug Loads,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,Vacancy Status,Ceiling Fan,Has PV,Battery,PV Orientation,PV System Size,Tenure,Vintage,Heating Fuel,HVAC Heating Type,Vintage ACS,Geometry Foundation Type,HVAC Cooling Type,Cooling Setpoint,HVAC Has Shared System,HVAC Cooling Efficiency,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Shared Efficiencies,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Heating Setpoint,Heating Setpoint Has Offset,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Duct Location,Duct Leakage and Insulation,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,HVAC Cooling Partial Space Conditioning,Infiltration,Insulation Ceiling,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Insulation Roof,Insulation Slab,Insulation Wall,Occupants,Area Median Income,Federal Poverty Level,Clothes Washer Presence,Clothes Dryer,Clothes Washer,Cooking Range,Dishwasher,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Refrigerator,Roof Material,Water Heater Fuel,Water Heater Efficiency,Water Heater In Unit,Window Areas,Windows
27,5A,Hour2,"G4200030, G42001701",No,None,"PA, Pittsburgh","PA, Allegheny County",Non-CBSA Middle Atlantic,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Northeast,None,"PA, 01701",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",115,RFCWc,No,Hour10,None,PA,Middle Atlantic,Middle Atlantic,Northeast,100% LED,CR07,101%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Heated Basement,Central AC,75F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,No,0F,None,200000+,140000+,150000+,1500-1999,3,1500-2499,2,None,None,None,Single-Family Detached,2,None,None,Heated Basement,"0% Leakage, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,25 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-49",None,"Wood Stud, Uninsulated",4,150%+,400%+,Yes,Gas,EnergyStar,Gas,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain"
28,4A,Hour17,"G5101530, G51051246",No,None,In another census Place,"VA, Prince William County","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Southeast,None,"VA, 51246",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",99,SRVCc,No,Hour11,None,VA,South Atlantic,South Atlantic,South,100% CFL,CR08,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,2000-09,Heated Basement,Central AC,70F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,Yes,6F,Night +5h,200000+,140000+,150000+,3000-3999,4,2500-3999,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,Heated Basement,"0% Leakage, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,15 ACH50,R-30,Uninsulated,"Wall R-10, Exterior","R-10, Exterior","Unfinished, Uninsulated",None,"Wood Stud, R-11",2,150%+,400%+,Yes,Electric,EnergyStar,Gas,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain"
29,4A,Hour5,"G5107100, G51051154",No,None,"VA, Norfolk","VA, Norfolk city",Non-CBSA South Atlantic,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",Northeast,None,"VA, 51154",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",99,SRVCc,No,Hour10,None,VA,South Atlantic,South Atlantic,South,100% Incandescent,CR08,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Natural Gas,Ducted Heating,1940-59,Heated Basement,Central AC,78F,None,"AC, SEER 13",Yes,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,No,0F,None,80000-99999,80000-99999,60000-99999,1000-1499,4,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,Heated Basement,"0% Leakage, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,20 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",2,120-150%,400%+,Yes,Electric,Standard,Gas,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,F9 B9 L9 R9,"Double, Clear, Non-metal, Air"
30,4A,Hour19,"G5107600, G51051235",No,None,"VA, Richmond","VA, Richmond city",Non-CBSA South Atlantic,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",East,None,"VA, 51235",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, principal city",99,SRVCc,No,Hour7,None,VA,South Atlantic,South Atlantic,South,100% Incandescent,CR08,106%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Heated Basement,Central AC,75F,None,"AC, SEER 15",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,Yes,3F,Night +4h,200000+,140000+,150000+,2000-2499,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,Heated Basement,"0% Leakage, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,15 ACH50,R-19,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",2,150%+,400%+,Yes,Electric,EnergyStar,Gas,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F9 B9 L9 R9,"Single, Clear, Non-metal"
31,5A,Hour2,"G1901130, G19001000",No,None,"IA, Cedar Rapids","IA, Linn County",Non-CBSA West North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",North,None,"IA, 01000",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",70,MROWc,No,Hour13,None,IA,West North Central,West North Central,Midwest,100% Incandescent,CR02,95%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Heated Basement,Central AC,70F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,Yes,6F,Night -3h,80000-99999,80000-99999,60000-99999,1000-1499,3,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,Heated Basement,"0% Leakage, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,40 ACH50,R-30,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-15",3,100-120%,400%+,Yes,Gas,Standard,Gas,290 Rated kWh,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain"
32,3B,Hour2,"G3200030, G32000408",No,None,"NV, Spring Valley","NV, Clark County",Non-CBSA Mountain,3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",North,None,"NV, 00408",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",13,AZNMc,No,Hour15,None,NV,Mountain,Mountain South,West,100% CFL,CR10,84%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,None,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,2000-09,Slab,Central AC,78F,None,"AC, SEER 15",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,67F,Yes,6F,Night +3h,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,None,None,Living Space,"0% Leakage, Uninsulated",<8,Wood Frame,"Stucco, Light",100% Conditioned,10 ACH50,None,None,None,None,"Finished, R-13",Uninsulated,"Wood Stud, R-11",2,150%+,400%+,Yes,Gas,EnergyStar,Gas,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Tile, Clay or Ceramic",Natural Gas,Natural Gas Standard,Yes,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
33,3B,Hour23,"G3200030, G32000409",No,None,"NV, Paradise","NV, Clark County",Non-CBSA Mountain,3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"NV, 00409",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,7,"In metro area, not/partially in principal city",13,AZNMc,None,Hour19,None,NV,Mountain,Mountain South,West,100% Incandescent,CR10,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Renter,2000s,Electricity,Non-Ducted Heating,2000-09,Slab,Central AC,75F,None,"AC, SEER 13",Yes,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,None,None,None,None,None,70F,Yes,3F,Night +5h,25000-29999,20000-39999,20000-39999,1000-1499,3,0-1499,3,Middle,67,Middle,"Multifamily with 5+ units, 1-3 stories",3,None,None,Living Space,"0% Leakage, Uninsulated",<8,Wood Frame,"Stucco, Light",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-38",Uninsulated,"Wood Stud, R-19",3,30-60%,100-150%,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,F18 B18 L18 R18,"Double, Clear, Metal, Air"
34,5A,Hour22,"G1700310, G17003501",No,None,"IL, Chicago","IL, Cook County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"IL, 03501",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,27,"In metro area, principal city",80,RFCWc,None,Hour13,None,IL,East North Central,East North Central,Midwest,100% LED,CR04,89%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,<1940,Natural Gas,Non-Ducted Heating,<1940,Unheated Basement,None,70F,Heating Only,None,No,Shared Heating,No,Natural Gas Shared Heating,"Boiler Baseboards Heating Only, Fuel",None,None,None,None,68F,No,0F,None,<10000,<20000,<20000,500-749,2,0-1499,5,Middle,67,Middle,"Multifamily with 5+ units, 4-7 stories",4+,None,None,None,None,<8,Wood Frame,"Wood, Medium/Dark",None,20 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-30",None,"Wood Stud, Uninsulated",1,0-30%,0-100%,None,None,None,Gas,None,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",Natural Gas,Natural Gas Standard,No,F30 B30 L30 R30,"Single, Clear, Non-metal"
35,2A,Hour19,"G1200050, G12000500",No,None,In another census Place,"FL, Bay County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Northeast,None,"FL, 00500",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +1h,Not Applicable,Left/Right at 15ft,Not/partially in metro area,91,SRSOc,No,Hour13,None,FL,South Atlantic,South Atlantic,South,100% LED,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Electricity,Ducted Heat Pump,2000-09,Slab,Ducted Heat Pump,75F,None,Ducted Heat Pump,Yes,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,None,None,None,None,None,75F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,4,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,Vented Attic,"10% Leakage, R-8",<8,Brick,None,100% Conditioned,15 ACH50,R-30,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Brick, 12-in, 3-wythe, R-11",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,290 Rated kWh,No,None,None,Electricity,None,None,None,EF 19.9,Composition Shingles,Electricity,Electric Premium,Yes,F18 B18 L18 R18,"Double, Clear, Metal, Air"
36,3A,Hour23,"G4500790, G45000604",No,None,"SC, Columbia","SC, Richland County",Non-CBSA South Atlantic,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,Gas Lighting,None,"Cooling Season, 7 days/wk",North,None,"SC, 00604",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",96,SRVCc,No,Hour15,None,SC,South Atlantic,South Atlantic,South,100% Incandescent,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1960s,Electricity,Ducted Heat Pump,1960-79,Ambient,Ducted Heat Pump,70F,None,Ducted Heat Pump,Yes,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,None,None,None,None,None,68F,No,0F,None,100000-119999,100000-119999,100000-149999,1500-1999,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,Vented Attic,"30% Leakage, R-4",<8,Brick,None,100% Conditioned,15 ACH50,R-30,Uninsulated,None,None,"Unfinished, Uninsulated",None,"Brick, 12-in, 3-wythe, Uninsulated",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,F30 B30 L30 R30,"Double, Clear, Metal, Air"
37,3A,Hour7,"G4500070, G45000200",No,None,Not in a census Place,"SC, Anderson County",Non-CBSA South Atlantic,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",North,None,"SC, 00200",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",95,SRVCc,No,Hour13,None,SC,South Atlantic,South Atlantic,South,100% Incandescent,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1970s,Electricity,Ducted Heat Pump,1960-79,Vented Crawlspace,Ducted Heat Pump,72F,None,Ducted Heat Pump,Yes,"ASHP, SEER 15, 8.5 HSPF",No,Electricity ASHP,None,None,None,None,None,70F,Yes,6F,Night +3h,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,Vented Crawlspace,"10% Leakage, Uninsulated",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,25 ACH50,R-30,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-7",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
38,5B,Hour22,"G3200310, G32000101",No,None,"NV, Reno","NV, Washoe County",Non-CBSA Mountain,5B,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"NV, 00101",Single-Family Detached,None,None,Single-Family Detached,Yes,5F,Night Setback +4h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",12,NWPPc,No,Hour21,None,NV,Mountain,Mountain South,West,100% Incandescent,CR10,84%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1990s,Natural Gas,Ducted Heating,1980-99,Slab,Central AC,70F,None,"AC, SEER 15",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,None,2 Car,Garage,"20% Leakage, R-4",<8,Wood Frame,"Stucco, Light",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-19",Uninsulated,"Wood Stud, R-11",2,120-150%,400%+,Yes,Gas,Standard,Gas,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,"Tile, Clay or Ceramic",Natural Gas,Natural Gas Premium,Yes,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
39,4B,Hour20,"G0400250, G04000500",No,None,In another census Place,"AZ, Yavapai County",Non-CBSA Mountain,4B,Mixed-Dry,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Northwest,None,"AZ, 00500",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",28,AZNMc,No,Hour9,None,AZ,Mountain,Mountain South,West,100% CFL,CR10,84%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,2000-09,Slab,Central AC,72F,None,"AC, SEER 10",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,Yes,3F,Night +5h,80000-99999,80000-99999,60000-99999,2500-2999,4,2500-3999,2,None,None,None,Single-Family Detached,2,None,2 Car,Garage,"10% Leakage, R-8",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,5 ACH50,None,None,None,None,"Finished, R-13","2ft R10 Perimeter, Vertical","Wood Stud, R-19",2,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,290 Rated kWh,No,None,None,None,Has Pool,Natural Gas,1.0 HP Pump,EF 19.9,"Asphalt Shingles, Medium",Natural Gas,Natural Gas Standard,Yes,F12 B12 L12 R12,"Double, Clear, Metal, Air"
40,2A,Hour18,"G1200090, G12000901",No,None,In another census Place,"FL, Brevard County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"FL, 00901",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +2h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",102,FRCCc,No,Hour17,None,FL,South Atlantic,South Atlantic,South,100% CFL,CR09,106%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Electricity,Ducted Heat Pump,2000-09,Slab,Ducted Heat Pump,72F,None,Ducted Heat Pump,Yes,"ASHP, SEER 15, 8.5 HSPF",No,Electricity ASHP,None,None,None,None,None,68F,No,0F,None,80000-99999,80000-99999,60000-99999,2500-2999,3,2500-3999,2,None,None,None,Single-Family Detached,2,None,2 Car,Garage,"20% Leakage, R-8",<8,Brick,"Stucco, Light",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-30","2ft R5 Perimeter, Vertical","Brick, 12-in, 3-wythe, R-11",4,120-150%,300-400%,Yes,Electric,Standard,Electric Resistance,290 Rated kWh,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain"
41,6A,Hour8,"G5501010, G55030000",No,None,In another census Place,"WI, Racine County",Non-CBSA East North Central,6A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"WI, 30000",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",79,RFCWc,No,Hour22,None,WI,East North Central,East North Central,Midwest,100% CFL,CR02,85%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Unheated Basement,Central AC,72F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,Unheated Basement,"20% Leakage, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,20 ACH50,R-13,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-7",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,290 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 17.6,Composition Shingles,Electricity,Electric Standard,Yes,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain"
42,3A,Hour7,"G0101170, G01001200",No,None,In another census Place,"AL, Shelby County",Non-CBSA East South Central,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",North,None,"AL, 01200",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +1h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",89,SRSOc,No,Hour18,None,AL,East South Central,East South Central,South,100% Incandescent,CR09,110%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Owner,2000s,Electricity,Ducted Heating,2000-09,Slab,Central AC,68F,None,"AC, SEER 13",Yes,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,None,None,None,None,None,72F,Yes,3F,Night +1h,200000+,140000+,150000+,3000-3999,4,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,Vented Attic,"30% Leakage, R-8",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,10 ACH50,R-30,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, R-11",2,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,290 Rated kWh,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,F6 B6 L6 R6,"Double, Clear, Metal, Air"
