Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated, Vented	Option=Wall R-5, Unvented	Option=Wall R-10, Unvented	Option=Wall R-15, Unvented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=None
CR09	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
