Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
5 to 9 Unit	CA, 03736	0.0742867	0.0653385	0.116833	0.231133	0.244471	0.178626	0.0682087	0.00996117	0.011143	312	5923	0.000209401
50 or more Unit	CA, 03736	0.0402385	0.00546448	0.030303	0.131148	0.153999	0.221063	0.151515	0.171386	0.0948833	103	2013	7.1167e-05
Mobile Home	CA, 03736	0.107143	0.232143	0.491071	0	0.107143	0	0.0625	0	0	10	112	3.95961e-06
Single-Family Attached	CA, 03736	0.266226	0.077639	0.0727406	0.0810678	0.112417	0.280431	0.0695567	0.0303698	0.0095518	241	4083	0.000144349
Single-Family Detached	CA, 03736	0.45735	0.168526	0.168625	0.0642215	0.042403	0.0363313	0.0402804	0.013723	0.00853984	1235	20258	0.000716195
10 to 19 Unit	CA, 03744	0.295391	0.0921788	0.149791	0.111034	0.142458	0.110684	0.0621508	0.0136173	0.0226955	171	2864	0.00175945
2 Unit	CA, 03744	0.37977	0.132647	0.067232	0.0775288	0.0629921	0.125984	0.0539067	0.0569352	0.0430042	105	1651	0.00101426
20 to 49 Unit	CA, 03744	0.422699	0.0664284	0.0540661	0.0914507	0.0899613	0.0600238	0.0405124	0.119899	0.0549598	312	6714	0.00412463
3 or 4 Unit	CA, 03744	0.318194	0.125504	0.104811	0.146197	0.0999731	0.0698737	0.0585864	0.0615426	0.0153185	215	3721	0.00228594
5 to 9 Unit	CA, 03744	0.256256	0.118619	0.106857	0.0958458	0.0990991	0.137638	0.122873	0.0457958	0.017017	228	3996	0.00245488
50 or more Unit	CA, 03744	0.306737	0.0442373	0.030196	0.0393156	0.0522278	0.104629	0.0564836	0.169711	0.196462	1378	34541	0.0212197
Mobile Home	CA, 03744	0.101648	0.0906593	0.233516	0.181319	0.131868	0.112637	0.148352	0	0	12	364	0.000223617
Single-Family Attached	CA, 03744	0.551406	0.0661248	0.0874341	0.086775	0.0716169	0.0467926	0.0481107	0.0287786	0.0129613	276	4552	0.00279645
Single-Family Detached	CA, 03744	0.585756	0.106237	0.0906252	0.0573935	0.0465393	0.0460189	0.030258	0.0298119	0.00736005	825	13451	0.00826339
10 to 19 Unit	CA, 03745	0.291129	0.0564516	0.174194	0.198387	0.0298387	0.0959677	0.0879032	0.0129032	0.0532258	73	1240	0.000828322
2 Unit	CA, 03745	0.252636	0.134542	0.0619992	0.163644	0.0970055	0.124842	0.0514551	0.0291016	0.0847744	127	2371	0.00158383
20 to 49 Unit	CA, 03745	0.225834	0.0547476	0.100941	0.244654	0.100941	0.0624465	0.06929	0.0564585	0.0846878	67	1169	0.000780893
3 or 4 Unit	CA, 03745	0.311505	0.107227	0.139577	0.149752	0.0957475	0.0863553	0.0855727	0.00391338	0.0203496	221	3833	0.00256045
5 to 9 Unit	CA, 03745	0.296869	0.129608	0.128419	0.17717	0.104637	0.0574713	0.0598494	0.0281411	0.0178359	132	2523	0.00168537
50 or more Unit	CA, 03745	0.205258	0.150657	0.0434783	0.116279	0.0839232	0.0899899	0.0434783	0.177958	0.0889788	53	989	0.000660653
Mobile Home	CA, 03745	0.558685	0	0	0	0.056338	0.140845	0.244131	0	0	11	213	0.000142284
Single-Family Attached	CA, 03745	0.464626	0.122814	0.10632	0.0633943	0.0375596	0.0675676	0.0602146	0.0449126	0.0325914	305	5032	0.00336139
Single-Family Detached	CA, 03745	0.512995	0.135907	0.145498	0.0574722	0.0371287	0.0433942	0.0274598	0.0339573	0.00618812	773	12928	0.00863592
10 to 19 Unit	CA, 03746	0.269283	0.069873	0.165608	0.141107	0.147913	0.0889292	0.0796279	0.0376588	0	266	4408	0.00297842
2 Unit	CA, 03746	0.45921	0.0769625	0.138533	0.0538738	0.148794	0.0271934	0.0266803	0.0354028	0.0333504	118	1949	0.00131691
20 to 49 Unit	CA, 03746	0.224851	0.0948486	0.0895423	0.132213	0.15786	0.10524	0.129339	0.0497457	0.0163608	289	4523	0.00305611
3 or 4 Unit	CA, 03746	0.472929	0.0787531	0.149303	0.076292	0.110131	0.0541427	0.0184578	0.0287121	0.0112797	293	4876	0.00329464
5 to 9 Unit	CA, 03746	0.376794	0.0678828	0.0864234	0.140251	0.147428	0.0747608	0.0448565	0.0403708	0.0212321	199	3344	0.00225949
50 or more Unit	CA, 03746	0.105757	0.0718661	0.0751327	0.0861576	0.159657	0.101266	0.127807	0.167824	0.104532	156	2449	0.00165475
Mobile Home	CA, 03746	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	5.946e-05
Single-Family Attached	CA, 03746	0.67933	0.125767	0.0615857	0.0257197	0.0200566	0.0620576	0.0143936	0.00967437	0.00141576	225	4238	0.00286354
Single-Family Detached	CA, 03746	0.640371	0.105452	0.101044	0.0237819	0.0288863	0.0343387	0.05058	0.0117169	0.00382831	540	8620	0.00582438
10 to 19 Unit	CA, 03747	0.125992	0.0984929	0.30156	0.239952	0.086991	0.0600212	0.0561872	0.0308038	0	310	7564	0.00509312
2 Unit	CA, 03747	0.409311	0.138215	0.103783	0.130456	0.0904462	0.0227934	0.057226	0.0295829	0.0181862	187	4124	0.00277684
20 to 49 Unit	CA, 03747	0.147789	0.0896426	0.216233	0.203513	0.157077	0.079144	0.0581466	0.043408	0.00504745	198	4953	0.00333504
3 or 4 Unit	CA, 03747	0.22565	0.196673	0.204495	0.122741	0.127038	0.0483693	0.0359189	0.0326135	0.00650066	382	9076	0.00611122
5 to 9 Unit	CA, 03747	0.170544	0.178225	0.16422	0.186582	0.157782	0.0831263	0.0271064	0.0315112	0.000903546	353	8854	0.00596174
50 or more Unit	CA, 03747	0.123404	0.191489	0.126241	0.134279	0.103546	0.18156	0.0293144	0.0969267	0.0132388	76	2115	0.00142411
Mobile Home	CA, 03747	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	6.53139e-05
Single-Family Attached	CA, 03747	0.470588	0.173866	0.174517	0.0507923	0.0347298	0.0306056	0.0201867	0.0353809	0.00933362	214	4607	0.00310206
Single-Family Detached	CA, 03747	0.50715	0.251823	0.130088	0.046812	0.013078	0.0136077	0.014341	0.0133632	0.00973722	1336	24545	0.0165271
10 to 19 Unit	CA, 03748	0.0405892	0.0445172	0.137316	0.296727	0.250245	0.112766	0.0631751	0.0443535	0.010311	232	6110	0.00255968
2 Unit	CA, 03748	0.133333	0.185809	0.206601	0.143564	0.211551	0.0382838	0.0306931	0.050165	0	124	3030	0.00126937
20 to 49 Unit	CA, 03748	0.0348144	0.0219453	0.0461934	0.211325	0.31631	0.143999	0.0526957	0.128556	0.0441615	299	7382	0.00309256
3 or 4 Unit	CA, 03748	0.0735507	0.0893116	0.255616	0.176812	0.217754	0.0679348	0.0724638	0.0242754	0.0222826	228	5520	0.00231251
5 to 9 Unit	CA, 03748	0.0423926	0.0522648	0.219948	0.192218	0.240418	0.148519	0.0586527	0.0264228	0.0191638	302	6888	0.00288561
50 or more Unit	CA, 03748	0.0100735	0.00367488	0.0403372	0.0916991	0.228188	0.131172	0.0919153	0.2377	0.16524	679	23130	0.00968989
Mobile Home	CA, 03748	0	0	0	0.485564	0.0341207	0	0.0551181	0.425197	0	12	381	0.000159613
Single-Family Attached	CA, 03748	0.0541316	0.166985	0.158187	0.12127	0.251148	0.092961	0.0623565	0.0638868	0.0290742	242	5228	0.00219018
Single-Family Detached	CA, 03748	0.165343	0.277746	0.318364	0.0702745	0.0498294	0.0451182	0.0267569	0.0265455	0.0200223	1618	33113	0.0138721
10 to 19 Unit	CA, 03750	0.200709	0.06054	0.21489	0.146987	0.14835	0.0823561	0.0891737	0.0324516	0.0245432	164	3667	0.00245181
2 Unit	CA, 03750	0.201799	0.0652314	0.259961	0.178342	0.118252	0.0498072	0.031491	0.0719794	0.0231362	134	3112	0.00208073
20 to 49 Unit	CA, 03750	0.141367	0.0787689	0.160668	0.200313	0.057903	0.130412	0.13928	0.0532081	0.0380803	95	1917	0.00128174
3 or 4 Unit	CA, 03750	0.237563	0.133357	0.173852	0.132484	0.0956537	0.103508	0.0855298	0.038052	0	250	5729	0.0038305
5 to 9 Unit	CA, 03750	0.147598	0.108046	0.164577	0.20355	0.140459	0.0935751	0.0899093	0.0245032	0.0277831	210	5183	0.00346543
50 or more Unit	CA, 03750	0.055379	0.0226963	0.184748	0.137994	0.154335	0.129369	0.111666	0.126645	0.0771675	90	2203	0.00147296
Mobile Home	CA, 03750	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	0.000153113
Single-Family Attached	CA, 03750	0.456009	0.164544	0.144635	0.0548968	0.0307422	0.0412824	0.0535793	0.0238618	0.0304494	312	6831	0.0045673
Single-Family Detached	CA, 03750	0.520994	0.204234	0.130371	0.0652204	0.0279216	0.0209587	0.0141358	0.0114766	0.00468859	1453	28580	0.019109
10 to 19 Unit	CA, 03751	0.124816	0.0770925	0.134361	0.134361	0.325991	0.103524	0.0176211	0.082232	0	69	1362	0.000907798
2 Unit	CA, 03751	0.0765848	0.102602	0.240381	0.224258	0.0630267	0.0439722	0.0315134	0.161231	0.0564309	131	2729	0.00181893
20 to 49 Unit	CA, 03751	0.0494624	0.0258065	0.110753	0.155914	0.13871	0.0602151	0.0946237	0.25914	0.105376	43	930	0.000619863
3 or 4 Unit	CA, 03751	0.0971342	0.113873	0.156733	0.209739	0.116916	0.130104	0.0682222	0.0631499	0.0441288	199	3943	0.00262809
5 to 9 Unit	CA, 03751	0.127786	0.127786	0.145055	0.212873	0.15102	0.0521193	0.110518	0.0728414	0	156	3185	0.00212286
50 or more Unit	CA, 03751	0.0738383	0.124125	0.192234	0.193507	0.0961171	0.0897518	0.0585614	0.0961171	0.0757479	68	1571	0.0010471
Mobile Home	CA, 03751	0.229358	0.293578	0	0.0963303	0.133028	0	0.247706	0	0	14	218	0.000145301
Single-Family Attached	CA, 03751	0.322592	0.158896	0.186322	0.0731916	0.0706205	0.0368529	0.0788481	0.0325677	0.0401097	323	5834	0.00388847
Single-Family Detached	CA, 03751	0.30714	0.229347	0.162767	0.0861789	0.0609739	0.0471668	0.0444331	0.051522	0.0104712	1209	21583	0.0143855
10 to 19 Unit	CA, 03758	0.0436941	0.08143	0.207051	0.164101	0.161122	0.179742	0.116435	0.0106753	0.0357498	196	4028	0.000189238
2 Unit	CA, 03758	0.117228	0.127195	0.173232	0.344566	0.112008	0.0650214	0.046037	0.0147129	0	89	2107	9.89883e-05
20 to 49 Unit	CA, 03758	0.00905329	0.0279359	0.136575	0.257631	0.188308	0.199431	0.0874289	0.0235385	0.0700983	172	3866	0.000181627
3 or 4 Unit	CA, 03758	0.0619048	0.0550725	0.226294	0.232505	0.161491	0.147619	0.078882	0.0215321	0.0146998	220	4830	0.000226917
5 to 9 Unit	CA, 03758	0.0359679	0.100344	0.18992	0.2811	0.162428	0.12669	0.0735395	0.0206186	0.0093929	203	4365	0.000205071
50 or more Unit	CA, 03758	0.040109	0.00895639	0.160826	0.176402	0.178349	0.142523	0.117212	0.0965732	0.0790498	99	2568	0.000120646
Mobile Home	CA, 03758	0	0.0181028	0.296886	0.251991	0.17958	0.167994	0.0535844	0.031861	0	62	1381	6.48805e-05
Single-Family Attached	CA, 03758	0.141528	0.11794	0.223977	0.123783	0.0701147	0.196061	0.0556157	0.0177451	0.0532352	244	4621	0.000217098
Single-Family Detached	CA, 03758	0.123923	0.222086	0.393071	0.104199	0.0549831	0.0338357	0.0232236	0.0378345	0.00684405	1406	26008	0.00122187
10 to 19 Unit	CA, 03767	0.0869406	0.0707997	0.188738	0.196809	0.202311	0.143434	0.0557594	0.0337491	0.02146	281	5452	0.00365811
2 Unit	CA, 03767	0.280412	0.145876	0.142268	0.2	0.0762887	0.0912371	0.0319588	0.0247423	0.00721649	105	1940	0.00130168
20 to 49 Unit	CA, 03767	0.104877	0.0346222	0.20369	0.18701	0.175133	0.161739	0.0672226	0.0166793	0.049027	203	3957	0.00265502
3 or 4 Unit	CA, 03767	0.103601	0.0961913	0.22553	0.212401	0.145847	0.141037	0.0594047	0.00792929	0.00805927	368	7693	0.00516175
5 to 9 Unit	CA, 03767	0.0670569	0.0538462	0.172408	0.300334	0.180936	0.147659	0.0510033	0.0247492	0.00200669	304	5980	0.00401239
50 or more Unit	CA, 03767	0.0378503	0.0470514	0.0734003	0.147637	0.265788	0.168967	0.0901297	0.114178	0.0549979	253	4782	0.00320857
Mobile Home	CA, 03767	0.0192308	0.0101215	0	0.115385	0.447368	0.218623	0.0404858	0.13664	0.0121457	62	988	0.000662915
Single-Family Attached	CA, 03767	0.112979	0.116956	0.15329	0.0923717	0.224331	0.163955	0.0654375	0.068149	0.00253073	296	5532	0.00371179
Single-Family Detached	CA, 03767	0.234974	0.103964	0.333107	0.158092	0.061069	0.0371351	0.0360976	0.0277977	0.00776331	1581	27952	0.0187549
# Created by: sources\pums\2019_5yrs\tsv_maker.py
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
# Assumption: Where sample counts are less than 10 (812 / 21024 rows), the State average distribution has been inserted. 'Mobile Home' does not exist in DC and is replaced by 'Single-Family Detached'.
# Downselected: This characteristic was downselected from project_national.
