Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Tenure	Dependency=Vintage ACS	Option=<10000	Option=10000-14999	Option=15000-19999	Option=20000-24999	Option=25000-29999	Option=30000-34999	Option=35000-39999	Option=40000-44999	Option=45000-49999	Option=50000-59999	Option=60000-69999	Option=70000-79999	Option=80000-99999	Option=100000-119999	Option=120000-139999	Option=140000-159999	Option=160000-179999	Option=180000-199999	Option=200000+	source_count	source_weight	sampling_probability
Mobile Home	CA, 03723	Renter	2010s	0.0750507	0.0507099	0.127789	0.0466531	0.131846	0	0	0.030426	0	0.0567951	0.168357	0	0.0993915	0.0121704	0.150101	0	0	0	0.0507099	21	493	2.77374e-06
Multi-Family with 2 - 4 Units	CA, 03723	Owner	2010s	0.0452261	0.0577889	0	0.0565327	0	0.0163317	0	0.0100503	0	0.0163317	0.0364322	0	0.0904523	0.0376884	0.0565327	0.0841709	0.0515075	0.0565327	0.384422	36	796	2.31771e-06
Multi-Family with 2 - 4 Units	CA, 03723	Renter	2010s	0.109621	0.02897	0.0507868	0.0225322	0.0708155	0.0770744	0.0636624	0.0171674	0.0300429	0.0416667	0.0779685	0.0500715	0.0872675	0.0734979	0.0532904	0.0416667	0.0236052	0.0109084	0.0693848	208	5592	2.32344e-05
Multi-Family with 5+ Units	CA, 03723	Owner	2010s	0.0187114	0.0139453	0.0180053	0.0128861	0.00529568	0.00794351	0.0121801	0.00935569	0.00617829	0.0342454	0.0566637	0.0331862	0.0686673	0.039541	0.104501	0.078376	0.0368932	0.0375993	0.405825	249	5665	5.03952e-05
Multi-Family with 5+ Units	CA, 03723	Renter	2010s	0.103911	0.0469274	0.098324	0.0648045	0.0905028	0.0324022	0.109497	0.049162	0.0167598	0.0692737	0.0837989	0.0324022	0.107263	0.0949721	0	0	0	0	0	47	895	0.000563526
Single-Family Attached	CA, 03723	Owner	2010s	0.00290992	0.00328947	0.00366903	0.00885628	0.00240385	0.00265688	0.0122723	0.013917	0.00253036	0.0236589	0.0231528	0.0208755	0.0563006	0.0823634	0.0864119	0.0803391	0.0587045	0.0536437	0.462045	373	7904	1.09067e-05
Single-Family Attached	CA, 03723	Renter	2010s	0.0547445	0.0346715	0.00583942	0.0529197	0.0452555	0.0116788	0.0591241	0.0153285	0.0259124	0.0375912	0.0346715	0.070073	0.0766423	0.0744526	0.0624088	0.0291971	0.019708	0.0562044	0.233577	129	2740	6.57623e-06
Single-Family Detached	CA, 03723	Owner	2010s	0.0119374	0.00454496	0.00991129	0.00799474	0.0087066	0.00443544	0.00635199	0.0144015	0.0121016	0.0264484	0.040138	0.041945	0.0555799	0.0748549	0.0571679	0.0684481	0.0687219	0.0606724	0.425638	948	18262	7.43231e-05
Single-Family Detached	CA, 03723	Renter	2010s	0.0541631	0.036877	0.0337079	0.0328436	0.0250648	0.0334198	0.0282339	0.0115241	0.0253529	0.0602132	0.0535869	0.0985307	0.115817	0.0841256	0.0838375	0.0452319	0.0302506	0.056756	0.0904638	162	3471	1.71263e-05
Mobile Home	CA, 03723	Owner	<1940	0	0.0477387	0.138191	0	0.0301508	0.0628141	0.0276382	0	0.0904523	0.120603	0.0201005	0	0.0477387	0.213568	0.0326633	0.110553	0.0226131	0.0351759	0	26	398	1.00863e-05
Mobile Home	CA, 03723	Renter	<1940	0.110924	0.0344538	0.087395	0.0714286	0.0705882	0.123529	0.0731092	0	0.0394958	0.0487395	0.0445378	0.0134454	0.0756303	0.0504202	0.010084	0	0	0.0756303	0.0705882	48	1190	6.0518e-06
Multi-Family with 2 - 4 Units	CA, 03723	Owner	<1940	0.0426459	0.0160197	0.0165918	0.021477	0.0175601	0.013115	0.0168999	0.0221811	0.0192765	0.0411055	0.0461227	0.0412376	0.0752134	0.0728369	0.0462987	0.0404454	0.0550568	0.0334478	0.362468	1246	22722	3.47657e-06
Multi-Family with 2 - 4 Units	CA, 03723	Renter	<1940	0.0575528	0.0418613	0.0431904	0.0334736	0.0372545	0.043384	0.0381449	0.0314089	0.0275892	0.0640824	0.0599401	0.0527138	0.0919297	0.0681343	0.0431904	0.0505071	0.0359899	0.0298733	0.149779	3640	77494	3.48516e-05
Multi-Family with 5+ Units	CA, 03723	Owner	<1940	0.0450005	0.0186661	0.00948441	0.0270407	0.0204823	0.0193724	0.020785	0.0132176	0.0167491	0.0343053	0.0426799	0.0450005	0.0909091	0.115024	0.0556957	0.0487337	0.0559984	0.0386439	0.282212	465	9911	1.95951e-05
Multi-Family with 5+ Units	CA, 03723	Renter	<1940	0.112094	0.120944	0.0353982	0.0412979	0	0.0442478	0.020649	0	0.0825959	0.20354	0.0530973	0	0.0766962	0.165192	0.0442478	0	0	0	0	18	339	0.000219115
Single-Family Attached	CA, 03723	Owner	<1940	0.0259088	0.0212382	0.0174488	0.0203569	0.0254241	0.0335316	0.01833	0.0289932	0.0279797	0.0469707	0.0455166	0.038731	0.0919145	0.0736286	0.0638026	0.0632298	0.0454285	0.047896	0.26367	1295	22695	1.51017e-05
Single-Family Attached	CA, 03723	Renter	<1940	0.0761475	0.0619908	0.0655215	0.0516363	0.0387697	0.0430133	0.0488865	0.0540467	0.037242	0.0922053	0.0626358	0.0553028	0.0802892	0.0551331	0.0376494	0.0277702	0.0162955	0.021931	0.0735334	1368	29456	9.10557e-06
Single-Family Detached	CA, 03723	Owner	<1940	0	0.026253	0.0811456	0.0167064	0	0	0.0596659	0.0357995	0.0167064	0	0.0167064	0.105012	0.136038	0.0668258	0.0930788	0	0.198091	0.0357995	0.112172	25	419	0.000272154
Single-Family Detached	CA, 03723	Renter	<1940	0.0578287	0.0491904	0.0414477	0.046527	0.049815	0.039291	0.0363684	0.0391378	0.0428619	0.06543	0.064829	0.0564145	0.0886582	0.0739977	0.0586419	0.0445825	0.0298866	0.0212011	0.0938907	4008	84854	6.27124e-05
Mobile Home	CA, 03724	Owner	1940-59	0.134486	0.0989433	0.0115274	0.0720461	0.054755	0.116234	0.0326609	0.0480307	0.0384246	0.0893372	0.0480307	0.0201729	0.0730067	0.0826129	0.0230548	0.012488	0	0	0.0441883	58	1041	5.61159e-06
Mobile Home	CA, 03724	Renter	1940-59	0.0637652	0.1083	0.114372	0.0759109	0.0394737	0.0293522	0.0404858	0.232794	0	0.00809717	0.0192308	0.0991903	0.0303644	0.00708502	0.090081	0.0334008	0.00809717	0	0	40	988	4.5573e-06
Multi-Family with 2 - 4 Units	CA, 03724	Owner	1940-59	0.0133349	0.0464299	0.0121227	0.0425506	0.0212147	0.0317614	0.0327312	0.044369	0.036368	0.0682507	0.0915262	0.0303067	0.123288	0.07213	0.0581889	0.0478846	0.0209722	0.0269124	0.179658	417	8249	1.02278e-05
Multi-Family with 2 - 4 Units	CA, 03724	Renter	1940-59	0.0849536	0.0630476	0.0492325	0.0560122	0.0534698	0.0517589	0.0467701	0.0402622	0.0346658	0.0775983	0.0686121	0.0571314	0.0894468	0.0607291	0.0486249	0.0253598	0.0152862	0.0123441	0.0646946	2946	62540	2.84752e-05
Multi-Family with 5+ Units	CA, 03724	Owner	1940-59	0.0691653	0.047438	0.0275213	0.026616	0.0365743	0.0200978	0.086185	0.0204599	0.00959623	0.0452653	0.0485244	0.0512403	0.0941517	0.0838313	0.0597501	0.0554047	0.0409198	0.020641	0.156618	263	5523	0.000227162
Multi-Family with 5+ Units	CA, 03724	Renter	1940-59	0.0597417	0.163617	0.0430571	0.140474	0.0387513	0.0823466	0.00645856	0	0.0123789	0.128633	0.0613563	0.0435953	0.0215285	0.0322928	0.135091	0	0.0080732	0.022605	0	74	1858	0.00120665
Single-Family Attached	CA, 03724	Owner	1940-59	0.052506	0.164678	0	0	0	0	0.0883055	0	0	0	0	0.0906921	0.0811456	0.22673	0.114558	0.0644391	0.026253	0.0310263	0.0596659	17	419	0.000368614
Single-Family Attached	CA, 03724	Renter	1940-59	0	0	0.134921	0	0	0.0529101	0	0	0	0	0.0873016	0.113757	0.137566	0.222222	0.126984	0	0	0	0.124339	14	378	0.000197454
Single-Family Detached	CA, 03724	Owner	1940-59	0.0193012	0.0128879	0.0133765	0.0236379	0.0223552	0.0217444	0.0372587	0.0186294	0.0333496	0.0538114	0.0526509	0.0676154	0.0949792	0.0908258	0.0895431	0.0623626	0.0641339	0.0480699	0.173467	941	16372	0.0116506
Single-Family Detached	CA, 03724	Renter	1940-59	0.0292581	0.0295193	0.0739289	0.0342215	0.0496343	0.0279519	0.0253396	0.0754963	0.0399687	0.0420585	0.0801985	0.0569488	0.0880355	0.0815047	0.0467607	0.0647858	0.0574713	0.0318704	0.065047	160	3828	0.0027181
Mobile Home	CA, 03724	Owner	1960-79	0.0461615	0.0688933	0.0671984	0.0610169	0.0908275	0.0430708	0.0499501	0.0666002	0.0354935	0.0742772	0.0701894	0.0769691	0.0860419	0.0514457	0.027318	0.0425723	0.0168495	0.00498504	0.0201396	556	10030	7.51953e-05
Mobile Home	CA, 03724	Renter	1960-79	0.0589731	0.0391459	0.0472801	0.0790544	0.104982	0.0986274	0.0465175	0.0803254	0.0246568	0.0854093	0.0490595	0.0386375	0.118963	0.0327911	0.0338078	0.0238943	0.00686324	0.00584647	0.0251652	154	3934	6.10678e-05
Multi-Family with 2 - 4 Units	CA, 03724	Owner	1960-79	0.0212461	0.0241108	0.0261399	0.0259012	0.0352113	0.0360468	0.042731	0.0225591	0.0365242	0.048699	0.0479828	0.0710193	0.0965624	0.0857006	0.0577704	0.0787778	0.048699	0.0331821	0.161136	415	8378	8.28355e-05
Multi-Family with 2 - 4 Units	CA, 03724	Renter	1960-79	0.0578778	0.118971	0.0321543	0	0.170418	0	0.0482315	0	0	0.186495	0.144695	0	0.0385852	0.0353698	0.167203	0	0	0	0	13	311	0.000230622
Multi-Family with 5+ Units	CA, 03724	Owner	1960-79	0.0131627	0.0248629	0.016819	0.0588665	0.0318099	0.026691	0.0398537	0.0413163	0.0383912	0.141499	0.103839	0.0449726	0.085192	0.122121	0.0698355	0.0511883	0.0431444	0.0179159	0.0285192	127	2735	0.00159862
Multi-Family with 5+ Units	CA, 03724	Renter	1960-79	0.0666026	0.0747312	0.0666026	0.0548029	0.0674766	0.0401189	0.0504327	0.0642426	0.0578621	0.118609	0.063456	0.0596102	0.0753431	0.0429158	0.0395944	0.0221135	0.00987676	0.00541911	0.0201905	459	11441	0.00849165
Single-Family Attached	CA, 03724	Owner	1960-79	0.0453704	0.0342593	0.0203704	0.0268519	0.0268519	0	0.0425926	0.00925926	0.012037	0.132407	0.0685185	0.0657407	0.0611111	0.0740741	0.206481	0	0.0277778	0.0111111	0.135185	61	1080	0.000652469
Single-Family Attached	CA, 03724	Renter	1960-79	0.0326633	0.0276382	0.0301508	0.19598	0.080402	0.0603015	0.0351759	0	0	0.0879397	0.0276382	0	0.0301508	0.198492	0.0301508	0	0.125628	0.0376884	0	22	398	0.000349506
Single-Family Detached	CA, 03724	Owner	1960-79	0.0335858	0.0135002	0.0135002	0.0154758	0.0161343	0.0110306	0.0138294	0.0177807	0.0166283	0.0403359	0.03622	0.0470859	0.0597629	0.0707935	0.0823181	0.0836352	0.0434639	0.0495555	0.335364	346	6074	0.0043535
Single-Family Detached	CA, 03724	Renter	1960-79	0.0721221	0.0485437	0.038835	0.0651872	0.00901526	0.0332871	0.0596394	0	0	0.14147	0.0811373	0.115811	0.0714286	0.0742025	0.0492372	0.0846047	0.0319001	0	0.0235784	63	1442	0.00101568
Mobile Home	CA, 03724	Owner	1980-99	0.0452663	0.042696	0.0385549	0.0416964	0.0514065	0.0471227	0.0528345	0.0382693	0.0491218	0.0454091	0.0981008	0.0815365	0.112095	0.070684	0.0585463	0.0429816	0.0197058	0.0112809	0.0526917	380	7003	5.61159e-06
Mobile Home	CA, 03724	Renter	1980-99	0.129688	0.0683491	0.107256	0.0494217	0.042061	0.0529267	0.0361023	0.0501227	0.0536278	0.0308447	0.0357518	0.0729057	0.0886786	0.113915	0.0290922	0.0164739	0.0185769	0.0042061	0	116	2853	4.5573e-06
Multi-Family with 2 - 4 Units	CA, 03724	Owner	1980-99	0.0570927	0.0142	0.0256185	0.0133216	0.0259113	0.0455277	0.0174206	0.0477236	0.0339628	0.0515298	0.0578246	0.0392329	0.082272	0.0983751	0.0682184	0.0357195	0.0749524	0.0295711	0.181525	359	6831	2.51251e-05
Multi-Family with 2 - 4 Units	CA, 03724	Renter	1980-99	0.0686244	0.0491933	0.0447312	0.050732	0.0602937	0.0523805	0.044951	0.0502484	0.0467095	0.0754165	0.0759661	0.0565569	0.0876819	0.0593265	0.0355871	0.034532	0.0222447	0.0135402	0.0712841	2049	45494	6.99506e-05
Multi-Family with 5+ Units	CA, 03724	Owner	1980-99	0.0380368	0.0355828	0.0257669	0.0944785	0.0907975	0.0122699	0.0294479	0.0429448	0.0159509	0.0269939	0.0331288	0.0993865	0.154601	0.0883436	0.0368098	0	0.0687117	0.0417178	0.0650307	53	815	0.000707694
Multi-Family with 5+ Units	CA, 03724	Renter	1980-99	0.068149	0.0692336	0.0677874	0.0639913	0.0538684	0.0746565	0.0591106	0.0365148	0.0708604	0.0811641	0.0677874	0.0822487	0.0547722	0.0363341	0.0392263	0.0294649	0.016269	0.00361533	0.0249458	213	5532	0.00375917
Single-Family Attached	CA, 03724	Owner	1980-99	0.0196672	0.0166415	0.0151286	0	0.0287443	0.0499244	0	0.0272315	0	0.114977	0.0484115	0.0484115	0.193646	0.0635401	0.151286	0.0695915	0.0332829	0	0.119516	36	661	0.000429534
Single-Family Attached	CA, 03724	Renter	1980-99	0	0	0.0416667	0.125	0.0416667	0	0.0320513	0	0.0288462	0.0769231	0.0448718	0.144231	0	0.342949	0.0897436	0	0	0.0320513	0	20	312	0.000230087
Single-Family Detached	CA, 03724	Owner	1980-99	0.0418191	0	0	0.012023	0	0.0250915	0.0209096	0.0209096	0.0094093	0.0198641	0.0710925	0.0282279	0.134344	0.0810246	0.0768427	0.0512284	0.0297961	0.0491375	0.32828	128	1913	0.00143522
Single-Family Detached	CA, 03724	Renter	1980-99	0	0.0833333	0.0213178	0.0697674	0	0.0232558	0	0	0	0.0949612	0.0872093	0.108527	0.0891473	0.0484496	0.153101	0	0	0	0.22093	24	516	0.000334841
Mobile Home	CA, 03724	Owner	2000-09	0.022864	0.0204573	0.02858	0.0418171	0.0240674	0.0213598	0.0186522	0.0628761	0.0646811	0.101384	0.0631769	0.0685921	0.0697954	0.148616	0.0174489	0.0923586	0.0246691	0.0252708	0.0833333	172	3324	5.98569e-06
Mobile Home	CA, 03724	Renter	2000-09	0.0821429	0.0535714	0.0714286	0.132143	0.00714286	0.0940476	0.0547619	0.0511905	0.052381	0.0428571	0.0678571	0.075	0.107143	0.0714286	0	0.0107143	0.0261905	0	0	41	840	4.86112e-06
Multi-Family with 2 - 4 Units	CA, 03724	Owner	2000-09	0.0490884	0.00935016	0	0.0130902	0.00981767	0	0.0458158	0.00841515	0	0.0495559	0.0584385	0.0406732	0.0677887	0.0444133	0.102852	0.0472183	0.0691912	0.0224404	0.361851	106	2139	3.18391e-06
Multi-Family with 2 - 4 Units	CA, 03724	Renter	2000-09	0.124456	0.0535612	0.0493716	0.046332	0.0474	0.0502752	0.0633369	0.0630083	0.0404173	0.0598045	0.0553684	0.0495359	0.0580794	0.0679372	0.049043	0.0368028	0.0245626	0.0162655	0.0444426	492	12173	8.86431e-06
Multi-Family with 5+ Units	CA, 03724	Owner	2000-09	0.0243902	0.0131924	0.00839836	0.0149421	0.010183	0.015327	0.0170067	0.0208559	0.0167617	0.0385975	0.0389124	0.0417469	0.10323	0.0792945	0.0856283	0.0637576	0.0551492	0.0444413	0.308185	1207	28577	0.000144353
Multi-Family with 5+ Units	CA, 03724	Renter	2000-09	0.0311355	0.167582	0.0283883	0.047619	0.149267	0.0586081	0	0.00915751	0.0100733	0.0430403	0.0393773	0.0320513	0.0723443	0.0970696	0	0.0613553	0.115385	0.0247253	0.0128205	47	1092	0.000766781
Single-Family Attached	CA, 03724	Owner	2000-09	0.0134084	0.00706285	0.0131877	0.0118634	0.00584892	0.00811124	0.00882856	0.016995	0.0177123	0.0398389	0.0397837	0.0505435	0.101694	0.0966727	0.0849749	0.0936931	0.0575512	0.061193	0.271037	868	18123	6.00378e-05
Single-Family Attached	CA, 03724	Renter	2000-09	0.0327344	0.0406857	0.0414085	0.0426477	0.035729	0.0418216	0.029843	0.0153862	0.0243701	0.0523544	0.0626807	0.0521479	0.0853986	0.0990293	0.0629905	0.0419248	0.0405824	0.0345931	0.163672	446	9684	3.21602e-05
Single-Family Detached	CA, 03724	Owner	2000-09	0.0342936	0.0178326	0	0	0	0	0.0466392	0	0	0.0342936	0	0.175583	0.0507545	0.0315501	0.0754458	0.109739	0	0.0274348	0.396433	46	729	0.000513954
Single-Family Detached	CA, 03724	Renter	2000-09	0.04093	0.0377657	0.0449886	0.0186421	0.0354956	0.0348077	0.0347389	0.0355644	0.0328128	0.0670702	0.0493224	0.0407925	0.115154	0.0906652	0.069753	0.0645938	0.0444383	0.0313682	0.111096	626	14537	0.000119907
Mobile Home	CA, 03724	Owner	2010s	0.0464316	0.0773861	0.0799656	0.00601892	0.0593293	0.0541702	0.0902837	0.00859845	0.0094583	0.049871	0.0687876	0.0963027	0.104901	0.044712	0.0799656	0.0206363	0.00601892	0.0300946	0.0670679	67	1163	7.10802e-06
Mobile Home	CA, 03724	Renter	2010s	0.0750507	0.0507099	0.127789	0.0466531	0.131846	0	0	0.030426	0	0.0567951	0.168357	0	0.0993915	0.0121704	0.150101	0	0	0	0.0507099	21	493	5.77258e-06
Multi-Family with 2 - 4 Units	CA, 03724	Owner	2010s	0.0452261	0.0577889	0	0.0565327	0	0.0163317	0	0.0100503	0	0.0163317	0.0364322	0	0.0904523	0.0376884	0.0565327	0.0841709	0.0515075	0.0565327	0.384422	36	796	6.67597e-06
Multi-Family with 2 - 4 Units	CA, 03724	Renter	2010s	0.109621	0.02897	0.0507868	0.0225322	0.0708155	0.0770744	0.0636624	0.0171674	0.0300429	0.0416667	0.0779685	0.0500715	0.0872675	0.0734979	0.0532904	0.0416667	0.0236052	0.0109084	0.0693848	208	5592	1.85865e-05
Multi-Family with 5+ Units	CA, 03724	Owner	2010s	0.0187114	0.0139453	0.0180053	0.0128861	0.00529568	0.00794351	0.0121801	0.00935569	0.00617829	0.0342454	0.0566637	0.0331862	0.0686673	0.039541	0.104501	0.078376	0.0368932	0.0375993	0.405825	249	5665	0.000108801
Multi-Family with 5+ Units	CA, 03724	Renter	2010s	0.0322581	0.156511	0.0131422	0.0167264	0.041816	0.11828	0.078853	0	0.0549582	0	0.0692951	0.103943	0.0860215	0.125448	0	0.0477897	0.0155317	0	0.0394265	41	837	0.000577938
Single-Family Attached	CA, 03724	Owner	2010s	0.00290992	0.00328947	0.00366903	0.00885628	0.00240385	0.00265688	0.0122723	0.013917	0.00253036	0.0236589	0.0231528	0.0208755	0.0563006	0.0823634	0.0864119	0.0803391	0.0587045	0.0536437	0.462045	373	7904	1.41265e-05
Single-Family Attached	CA, 03724	Renter	2010s	0.0547445	0.0346715	0.00583942	0.0529197	0.0452555	0.0116788	0.0591241	0.0153285	0.0259124	0.0375912	0.0346715	0.070073	0.0766423	0.0744526	0.0624088	0.0291971	0.019708	0.0562044	0.233577	129	2740	7.56711e-06
Single-Family Detached	CA, 03724	Owner	2010s	0	0	0	0	0	0	0	0.0594059	0	0	0.257426	0	0	0.20297	0	0.0321782	0	0.0346535	0.413366	18	404	0.000244059
Single-Family Detached	CA, 03724	Renter	2010s	0.0541631	0.036877	0.0337079	0.0328436	0.0250648	0.0334198	0.0282339	0.0115241	0.0253529	0.0602132	0.0535869	0.0985307	0.115817	0.0841256	0.0838375	0.0452319	0.0302506	0.056756	0.0904638	162	3471	5.69396e-05
Mobile Home	CA, 03724	Owner	<1940	0	0.0477387	0.138191	0	0.0301508	0.0628141	0.0276382	0	0.0904523	0.120603	0.0201005	0	0.0477387	0.213568	0.0326633	0.110553	0.0226131	0.0351759	0	26	398	1.23455e-05
Mobile Home	CA, 03724	Renter	<1940	0.110924	0.0344538	0.087395	0.0714286	0.0705882	0.123529	0.0731092	0	0.0394958	0.0487395	0.0445378	0.0134454	0.0756303	0.0504202	0.010084	0	0	0.0756303	0.0705882	48	1190	1.00261e-05
Multi-Family with 2 - 4 Units	CA, 03724	Owner	<1940	0.0426459	0.0160197	0.0165918	0.021477	0.0175601	0.013115	0.0168999	0.0221811	0.0192765	0.0411055	0.0461227	0.0412376	0.0752134	0.0728369	0.0462987	0.0404454	0.0550568	0.0334478	0.362468	1246	22722	3.80722e-06
Multi-Family with 2 - 4 Units	CA, 03724	Renter	<1940	0.0575528	0.0418613	0.0431904	0.0334736	0.0372545	0.043384	0.0381449	0.0314089	0.0275892	0.0640824	0.0599401	0.0527138	0.0919297	0.0681343	0.0431904	0.0505071	0.0359899	0.0298733	0.149779	3640	77494	1.05997e-05
Multi-Family with 5+ Units	CA, 03724	Owner	<1940	0.0450005	0.0186661	0.00948441	0.0270407	0.0204823	0.0193724	0.020785	0.0132176	0.0167491	0.0343053	0.0426799	0.0450005	0.0909091	0.115024	0.0556957	0.0487337	0.0559984	0.0386439	0.282212	465	9911	4.33917e-05
Multi-Family with 5+ Units	CA, 03724	Renter	<1940	0	0	0.0722222	0.0722222	0	0	0.0722222	0.108333	0.133333	0	0	0.1	0.180556	0.0722222	0.0305556	0	0	0	0.158333	14	360	0.000230491
Single-Family Attached	CA, 03724	Owner	<1940	0.0259088	0.0212382	0.0174488	0.0203569	0.0254241	0.0335316	0.01833	0.0289932	0.0279797	0.0469707	0.0455166	0.038731	0.0919145	0.0736286	0.0638026	0.0632298	0.0454285	0.047896	0.26367	1295	22695	3.09019e-06
Single-Family Attached	CA, 03724	Renter	<1940	0.0761475	0.0619908	0.0655215	0.0516363	0.0387697	0.0430133	0.0488865	0.0540467	0.037242	0.0922053	0.0626358	0.0553028	0.0802892	0.0551331	0.0376494	0.0277702	0.0162955	0.021931	0.0735334	1368	29456	1.65531e-06
Single-Family Detached	CA, 03724	Owner	<1940	0.0117647	0.0220588	0	0.0367647	0.0808824	0	0.0764706	0.05	0	0.0147059	0.0176471	0.0191176	0.0573529	0.0867647	0.105882	0.0294118	0.0911765	0.0823529	0.217647	40	680	0.00050296
Single-Family Detached	CA, 03724	Renter	<1940	0.0578287	0.0491904	0.0414477	0.046527	0.049815	0.039291	0.0363684	0.0391378	0.0428619	0.06543	0.064829	0.0564145	0.0886582	0.0739977	0.0586419	0.0445825	0.0298866	0.0212011	0.0938907	4008	84854	0.000117342
Mobile Home	CA, 03725	Owner	1940-59	0.134486	0.0989433	0.0115274	0.0720461	0.054755	0.116234	0.0326609	0.0480307	0.0384246	0.0893372	0.0480307	0.0201729	0.0730067	0.0826129	0.0230548	0.012488	0	0	0.0441883	58	1041	1.80636e-06
Mobile Home	CA, 03725	Renter	1940-59	0.0637652	0.1083	0.114372	0.0759109	0.0394737	0.0293522	0.0404858	0.232794	0	0.00809717	0.0192308	0.0991903	0.0303644	0.00708502	0.090081	0.0334008	0.00809717	0	0	40	988	3.67397e-07
Multi-Family with 2 - 4 Units	CA, 03725	Owner	1940-59	0.0133349	0.0464299	0.0121227	0.0425506	0.0212147	0.0317614	0.0327312	0.044369	0.036368	0.0682507	0.0915262	0.0303067	0.123288	0.07213	0.0581889	0.0478846	0.0209722	0.0269124	0.179658	417	8249	2.81939e-05
Multi-Family with 2 - 4 Units	CA, 03725	Renter	1940-59	0.0849536	0.0630476	0.0492325	0.0560122	0.0534698	0.0517589	0.0467701	0.0402622	0.0346658	0.0775983	0.0686121	0.0571314	0.0894468	0.0607291	0.0486249	0.0253598	0.0152862	0.0123441	0.0646946	2946	62540	8.91849e-05
Multi-Family with 5+ Units	CA, 03725	Owner	1940-59	0.0691653	0.047438	0.0275213	0.026616	0.0365743	0.0200978	0.086185	0.0204599	0.00959623	0.0452653	0.0485244	0.0512403	0.0941517	0.0838313	0.0597501	0.0554047	0.0409198	0.020641	0.156618	263	5523	0.000187541
Multi-Family with 5+ Units	CA, 03725	Renter	1940-59	0.0734418	0.0587535	0.0527987	0.0905121	0.093688	0.0948789	0.0269948	0.069472	0.0531957	0.070663	0.15006	0.0162763	0.0516078	0.0254069	0.0202461	0.00793966	0.0138944	0.0115125	0.0186582	98	2519	0.0016186
Single-Family Attached	CA, 03725	Owner	1940-59	0.0333979	0.0289448	0.0219748	0.024879	0.0307357	0.0220716	0.0229913	0.0304937	0.0247822	0.0680058	0.0466118	0.0586157	0.1	0.0895934	0.068393	0.0622459	0.0420136	0.0392062	0.185044	1227	20660	0.000201312
Single-Family Attached	CA, 03725	Renter	1940-59	0	0	0.0410448	0	0	0	0.115672	0	0.0708955	0.156716	0	0.212687	0.0485075	0	0.0597015	0.0970149	0.0559701	0	0.141791	12	268	0.000106722
Single-Family Detached	CA, 03725	Owner	1940-59	0.0257923	0.0164133	0.0135391	0.0302549	0.0269269	0.0306331	0.0223886	0.0207246	0.0161864	0.0406172	0.0698132	0.0464413	0.0863021	0.131911	0.070267	0.0583163	0.069435	0.0407685	0.183269	866	13221	0.0096232
Single-Family Detached	CA, 03725	Renter	1940-59	0.0486667	0.0356667	0.0593333	0.0106667	0.0346667	0.0346667	0.024	0.0493333	0.0113333	0.0616667	0.0413333	0.0503333	0.127333	0.0843333	0.0876667	0.0653333	0.033	0.0293333	0.111333	149	3000	0.00195727
Mobile Home	CA, 03725	Owner	1960-79	0.0461615	0.0688933	0.0671984	0.0610169	0.0908275	0.0430708	0.0499501	0.0666002	0.0354935	0.0742772	0.0701894	0.0769691	0.0860419	0.0514457	0.027318	0.0425723	0.0168495	0.00498504	0.0201396	556	10030	1.78198e-05
Mobile Home	CA, 03725	Renter	1960-79	0.0589731	0.0391459	0.0472801	0.0790544	0.104982	0.0986274	0.0465175	0.0803254	0.0246568	0.0854093	0.0490595	0.0386375	0.118963	0.0327911	0.0338078	0.0238943	0.00686324	0.00584647	0.0251652	154	3934	3.62438e-06
Multi-Family with 2 - 4 Units	CA, 03725	Owner	1960-79	0.0212461	0.0241108	0.0261399	0.0259012	0.0352113	0.0360468	0.042731	0.0225591	0.0365242	0.048699	0.0479828	0.0710193	0.0965624	0.0857006	0.0577704	0.0787778	0.048699	0.0331821	0.161136	415	8378	5.26396e-05
Multi-Family with 2 - 4 Units	CA, 03725	Renter	1960-79	0.158672	0.110701	0	0.0811808	0	0	0	0.0258303	0.0295203	0.110701	0.0553506	0.0811808	0.0442804	0.0516605	0.0922509	0	0	0.158672	0	14	271	0.000166513
Multi-Family with 5+ Units	CA, 03725	Owner	1960-79	0.034292	0.0442478	0.0110619	0.0298673	0	0.0608407	0.0519912	0.0143805	0.0254425	0.0431416	0.0564159	0.0896018	0.0940265	0.0730088	0.256637	0	0.0132743	0.00884956	0.0929204	47	904	0.00071987
Multi-Family with 5+ Units	CA, 03725	Renter	1960-79	0.0510916	0.0773803	0.0400046	0.065036	0.0718939	0.0691508	0.0372614	0.0529203	0.0488056	0.0804663	0.0785233	0.0781804	0.0982969	0.0326895	0.0437764	0.0313179	0.015316	0.0138302	0.0140587	381	8749	0.00621296
Single-Family Attached	CA, 03725	Owner	1960-79	0	0	0.00881834	0.047619	0.031746	0.037037	0	0.010582	0	0.0599647	0.0432099	0.0432099	0.0299824	0.116402	0.148148	0.0917108	0.114638	0	0.216931	53	1134	0.000669563
Single-Family Attached	CA, 03725	Renter	1960-79	0	0	0.0957447	0	0	0.0957447	0	0	0	0.143617	0	0.12234	0	0	0.172872	0.159574	0.210106	0	0	14	376	0.000354957
