Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=Location Region	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	sampling_probability
Single-Family Attached	Propane	CR07	0.392067	0.0198831	0.0371072	0	0.550942	30	115498	0
Single-Family Detached	Propane	CR07	0.392067	0.0198831	0.0371072	0	0.550942	30	115498	0
Mobile Home	Propane	CR08	0.627095	0.0140457	0	0	0.358859	93	141265	0
Multi-Family with 2 - 4 Units	Propane	CR08	0.627095	0.0140457	0	0	0.358859	93	141265	0
Multi-Family with 5+ Units	Propane	CR08	0.627095	0.0140457	0	0	0.358859	93	141265	0
Single-Family Attached	Propane	CR08	0.627095	0.0140457	0	0	0.358859	93	141265	0
Single-Family Detached	Propane	CR08	0.627095	0.0140457	0	0	0.358859	93	141265	0
Mobile Home	Propane	CR09	0.709757	0	0	0	0.290243	111	306432	0
Multi-Family with 2 - 4 Units	Propane	CR09	0.709757	0	0	0	0.290243	111	306432	0
Multi-Family with 5+ Units	Propane	CR09	0.709757	0	0	0	0.290243	111	306432	0
Single-Family Attached	Propane	CR09	0.709757	0	0	0	0.290243	111	306432	0
Single-Family Detached	Propane	CR09	0.709757	0	0	0	0.290243	111	306432	0
Mobile Home	Propane	CR10	0.351723	0	0	0	0.648277	12	34003.8	0
Multi-Family with 2 - 4 Units	Propane	CR10	0.351723	0	0	0	0.648277	12	34003.8	0
Multi-Family with 5+ Units	Propane	CR10	0.351723	0	0	0	0.648277	12	34003.8	0
Single-Family Attached	Propane	CR10	0.351723	0	0	0	0.648277	12	34003.8	0
Single-Family Detached	Propane	CR10	0.351723	0	0	0	0.648277	12	34003.8	0
Mobile Home	Propane	CR11	0.216017	0	0.0230953	0.0229409	0.737946	37	53803.5	0.000402756
Multi-Family with 2 - 4 Units	Propane	CR11	0.216017	0	0.0230953	0.0229409	0.737946	37	53803.5	0.00110472
Multi-Family with 5+ Units	Propane	CR11	0.216017	0	0.0230953	0.0229409	0.737946	37	53803.5	0.00435266
Single-Family Attached	Propane	CR11	0.216017	0	0.0230953	0.0229409	0.737946	37	53803.5	0.000693063
Single-Family Detached	Propane	CR11	0.216017	0	0.0230953	0.0229409	0.737946	37	53803.5	0.00391641
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Due to low samples Single-Family Detached and Mobile Home samples have been lumped
# Assumption: Due to low samples Multi-Family 2-4 and Multi-Family 5+ samples have been lumped
# Assumption: Due to low samples the Location Region dependency has been removed for Heating Fuel None
# Assumption: Due to low samples the Geometry Building Type RECS dependency has been removed for Heating Fuel Propane
# Assumption: Due to low samples the Location Region dependency has been removed for Heating Fuel Other Fuel
# Assumption: Due to low samples the Location Region dependency has been removed for Heating Fuel Fuel Oil except in CR03 and CR07 (New England and Mid-Atlantic)
# Copied: This characteristic was copied from project_national.
