Housing Characteristic,Category,Data Source,URL,Remark,bibtex
HVAC System Cooling,"Hot Water, HVAC, and Ventilation",Pinckard-2005,https://www.osti.gov/servlets/purl/842508,Why are there distributions for Only Heating Shared. In the HVAC System Is Shared.tsv-there is only a 1s in Neither Share.,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
HVAC System Cooling Type,"Hot Water, HVAC, and Ventilation",No Data Source Needed,NaN,Should the last 2 lines be Option=Room? Should line None- Only Cooling be Option=None?,NaN
HVAC System Heating Electricity,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
HVAC System Heating Electricity,"Hot Water, HVAC, and Ventilation",Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
HVAC System Heating Fuel Oil,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
HVAC System Heating Fuel Oil,"Hot Water, HVAC, and Ventilation",Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
HVAC System Heating Natural Gas,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
HVAC System Heating Natural Gas,"Hot Water, HVAC, and Ventilation",Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
HVAC System Heating None,"Hot Water, HVAC, and Ventilation",No Data Source Needed,NaN,NaN,NaN
HVAC System Heating Other Fuel,"Hot Water, HVAC, and Ventilation",No Data Source Needed,NaN,NaN,NaN
HVAC System Heating Propane,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
HVAC System Heating Propane,"Hot Water, HVAC, and Ventilation",Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
HVAC System Is Shared,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
HVAC System Is Heat Pump,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Heating Fuel,"Hot Water, HVAC, and Ventilation",2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Heating Setpoint,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Hot Water Distribution,"Hot Water, HVAC, and Ventilation",Expert Elicitation,NaN,NaN,NaN
Hot Water Fixtures,"Hot Water, HVAC, and Ventilation",DHWESG,https://www.energy.gov/eere/buildings/downloads/building-america-dhw-event-schedule-generator,NaN,"@techreport{Weitzel2014, abstract = {A developing body of work is forming that collects data on domestic hot water consumption, water use behaviors, and energy efficiency of various distribution systems. A full distribution system developed in TRNSYS has been validated using field monitoring data and then exercised in a number of climates to understand climate impact on performance. This study builds upon previous analysis modelling work to evaluate differing distribution systems and the sensitivities of water heating energy and water use efficiency to variations of climate, load, distribution type, insulation and compact plumbing practices. Overall 124 different TRNSYS models were simulated. Of the configurations evaluated, distribution losses account for 13-29{\%} of the total water heating energy use and water use efficiency ranges from 11-22{\%}. The base case, an uninsulated trunk and branch system sees the most improvement in energy consumption by insulating and locating the water heater central to all fixtures. Demand recirculation systems are not projected to provide significant energy savings and in some cases increase energy consumption. Water use is most efficient with demand recirculation systems, followed by the insulated trunk and branch system with a central water heater. Compact plumbing practices and insulation have the most impact on energy consumption (2-6{\%} for insulation and 3-4{\%} per 10 gallons of enclosed volume reduced). The results of this work are useful in informing future development of water heating best practices guides as well as more accurate (and simulation time efficient) distribution models for annual whole house simulation programs.}, address = {Washington, D.C., USA}, author = {Weitzel, E and Hoeschele, M}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Weitzel E - Evaluating Domestic Hot Water Distribution System Options with Validated Analysis Models.pdf:pdf}, institution = {U.S. Department of Energy}, keywords = {ARBI,Building America,DHW,DOE/GO-102014-4515,HWSIM,NREL/SR-5500-62848,Residential Buildings,September 2014,TRNSYS,demand recirculation_,distribution systems,domestic hot water,hot water,hot water distribution systems,plumbing,residential,water heating}, number = {September}, title = {{Evaluating Domestic Hot Water Distribution System Options With Validated Analysis Models}}, url = {https://www.nrel.gov/docs/fy14osti/62848.pdf}, year = {2014} }"
Hot Water Fixtures,"Hot Water, HVAC, and Ventilation",HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Infiltration,Construction,LBNL-ResDB,http://resdb.lbl.gov/main.php#,NaN,"@techreport{Chan2012, abstract = {LBNL Residential Diagnostics Database (ResDB) contains blower door measurements and other diagnostic test results of homes in United States. Of these, approximately 134,000 single-family detached homes have sufficient information for the analysis of air leakage in relation to a number of housing characteristics. We performed regression analysis to consider the correlation between normalized leakage and a number of explanatory variables: IECC climate zone, floor area, height, year built, foundation type, duct location, and other housing characteristics. The regression model explains 68{\%} of the observed variability in normalized leakage. ResDB also contains the before and after retrofit air leakage measurements of approximately 23,000 homes that participated in weatherization assistant programs (WAPs) or residential energy efficiency programs. The two types of programs achieve rather similar reductions in normalized leakage: 30{\%} for WAPs and 20{\%} for other energy programs.}, address = {Berkeley, CA, USA}, author = {Chan, Wanyu R. and Joh, Jeffrey and Sherman, Max H.}, booktitle = {LBNL-5966E}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2012 - Chan WR - Air Leakage of US Homes Regression Analysis and Improvements from Retrofit-LBNL-5966e.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {Fan pressurization measurements,air infiltration,blower door,retrofit,weatherization},number = {August}, title = {{Air leakage of US homes: Regression analysis and improvements from retrofit}}, url = {https://eetd.lbl.gov/sites/all/files/publications/lbnl-5966e.pdf}, year = {2012} }"
Insulation Crawlspace,Construction,Expert Elicitation,NaN,NaN,NaN
Insulation Crawlspace,Construction,NAHB Survey-1988,https://www.nahb.org/,Purchased Data from National Association of Home Builders. Not for distribution.,NaN
Insulation Crawlspace,Construction,HIRL-1999,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Crawlspace,Construction,HIRL-2007,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Finished Basement,Construction,Expert Elicitation,NaN,NaN,NaN
Insulation Finished Basement,Construction,NAHB Survey-1988,https://www.nahb.org/,Purchased Data from National Association of Home Builders. Not for distribution.,NaN
Insulation Finished Basement,Construction,HIRL-1999,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Finished Basement,Construction,HIRL-2008,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Finished Roof,Construction,Expert Elicitation,NaN,NaN,NaN
Insulation Interzonal Floor,Construction,Expert Elicitation,NaN,NaN,NaN
Insulation Interzonal Floor,Construction,NAHB Survey-1988,https://www.nahb.org/,Purchased Data from National Association of Home Builders. Not for distribution.,NaN
Insulation Interzonal Floor,Construction,IECC,https://www.lightingdesignlab.com/sites/default/files/pdf/International%20Energy%20Conservation%20Code_IECC_2009.pdf,NaN,"@misc{InternationalCodeCouncilInc.2009, address = {Country Club Hills, IL, USA}, author = {{International Code Council Inc.}}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2009 - IECC - International Energy Conservation Code.pdf:pdf}, title = {{2009 International Energy Conservation Code}}, url = {https://www.lightingdesignlab.com/sites/default/files/pdf/International Energy Conservation Code{\_}IECC{\_}2009.pdf}, year = {2009} }"
Insulation Pier Beam,Construction,Expert Elicitation,NaN,NaN,NaN
Insulation Pier Beam,Construction,NAHB Survey-1988,https://www.nahb.org/,Purchased Data from National Association of Home Builders. Not for distribution.,NaN
Insulation Pier Beam,Construction,IECC,https://www.lightingdesignlab.com/sites/default/files/pdf/International%20Energy%20Conservation%20Code_IECC_2009.pdf,NaN,"@misc{InternationalCodeCouncilInc.2009, address = {Country Club Hills, IL, USA}, author = {{International Code Council Inc.}}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2009 - IECC - International Energy Conservation Code.pdf:pdf}, title = {{2009 International Energy Conservation Code}}, url = {https://www.lightingdesignlab.com/sites/default/files/pdf/International Energy Conservation Code{\_}IECC{\_}2009.pdf}, year = {2009} }"
Insulation Slab,Construction,Expert Elicitation,NaN,NaN,NaN
Insulation Slab,Construction,NAHB Survey-1988,https://www.nahb.org/,Purchased Data from National Association of Home Builders. Not for distribution.,NaN
Insulation Slab,Construction,HIRL-1999,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Slab,Construction,HIRL-2007,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Unfinished Attic,Construction,RBSA,https://neea.org/data/residential-building-stock-assessment,NaN,"@techreport{Baylon2011, address = {Seattle, WA, USA}, author = {Baylon, David and Storm, Poppy and Geraghty, Kevin and Davis, Bob}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2011 - Baylon D - 2011 RESIDENTIAL BUILDING STOCK ASSESSMENT- SINGLE-FAMILY CHARACTERISTICS AND ENERGY USE.pdf:pdf}, institution = {Northwest Energy Efficiency Alliance}, title = {{2011 Residential Building Stock Assessment: Single-Family Characteristics and Energy Use}}, url = {https://neea.org/img/documents/residential-building-stock-assessment-single-family-characteristics-and-energy-use.pdf}, year = {2011} }"
Insulation Unfinished Attic,Construction,HIRL-1999,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Unfinished Basement,Construction,Expert Elicitation,NaN,NaN,NaN
Insulation Unfinished Basement,Construction,NAHB Survey-1988,https://www.nahb.org/,Purchased Data from National Association of Home Builders. Not for distribution.,NaN
Insulation Unfinished Basement,Construction,HIRL-1999,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Unfinished Basement,Construction,HIRL-2008,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Wall,Construction,Ritschard-1992,NaN,NaN,"@techreport{Ritschard1992, address = {Berkeley, CA, USA}, author = {Ritschard, R.L. and Hanford, J.W. and Sezgen, A.O.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/1992 - Ritschard RL - Single-Family Heating and Cooling Requirements Assumptions Methods and Summary Results.pdf:pdf}, institution = {Lawrence Berkeley Laboratory. LBL-30377}, title = {{Single Family Heating and Cooling Requirements: Assumptions, Methods, and Summary Results}}, url = {https://cloudfront.escholarship.org/dist/prd/content/qt02v2q58f/qt02v2q58f.pdf?t=p0tnye}, year = {1992} }"
Insulation Wall,Construction,BADP,http://buildingamerica.openei.org/dataset,NaN,"@misc{NationalRenewableEnergyLaboratory, author = {{National Renewable Energy Laboratory}}, title = {{Building America Data Portal}}, url = {http://buildingamerica.openei.org/dataset} }"
Insulation Wall,Construction,NAHB Survey-1988,https://www.nahb.org/,Purchased Data from National Association of Home Builders. Not for distribution.,NaN
Insulation Wall,Construction,HIRL-1999,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Insulation Wall,Construction,HIRL-2008,http://www.homeinnovation.com/,Purchased Data from Home Innovation Research Laboratory. Not for distribution.,NaN
Lighting,Internal Gains and MELs,Expert Elicitation,NaN,Is there a better source (RECS?),NaN
Location,Location,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Location Region,Location,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Location Region,Location,US Census Regions,https://www2.census.gov/geo/docs/maps-data/maps/reg_div.txt,NaN,NaN
Location Weather Filename,Location,2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Location Weather Year,Location,No Data Source Needed,NaN,NaN,NaN
Mechanical Ventilation,"Hot Water, HVAC, and Ventilation",Not Used,NaN,NaN,NaN
Misc Extra Refrigerator,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Misc Extra Refrigerator,Internal Gains and MELs,Pratt 1989,https://elcap.nwcouncil.org/Documents/Electric%20Energy%20Use%20Single%20Family.pdf,NaN,"@techreport{Pratt1989, address = {Richland, WA, USA}, author = {Pratt, R. G. and Conner, C. C. and Richman, E. E. and Ritland, K. G. and Sandusky, W. F. and Taylor, M. E.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/1989 - Pratt RG - Description of Electric Energy Use Single Family Residences in the Pacific Northwest.pdf:pdf}, institution = {Pacific Northwest National Laboratory}, number = {DOE/BP-13795-21}, publisher = {Bonneville Power Administration}, title = {{Description of Electric Energy Use in Single-Family Residences in the Pacific Northwest}}, url = {https://elcap.nwcouncil.org/Documents/Electric Energy Use Single Family.pdf}, year = {1989} }"
Misc Extra Refrigerator,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
Misc Freezer,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Misc Freezer,Internal Gains and MELs,Pratt 1989,https://elcap.nwcouncil.org/Documents/Electric%20Energy%20Use%20Single%20Family.pdf,NaN,"@techreport{Pratt1989, address = {Richland, WA, USA}, author = {Pratt, R. G. and Conner, C. C. and Richman, E. E. and Ritland, K. G. and Sandusky, W. F. and Taylor, M. E.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/1989 - Pratt RG - Description of Electric Energy Use Single Family Residences in the Pacific Northwest.pdf:pdf}, institution = {Pacific Northwest National Laboratory}, number = {DOE/BP-13795-21}, publisher = {Bonneville Power Administration}, title = {{Description of Electric Energy Use in Single-Family Residences in the Pacific Northwest}}, url = {https://elcap.nwcouncil.org/Documents/Electric Energy Use Single Family.pdf}, year = {1989} }"
Misc Freezer,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
