Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=HVAC Heating Type	Dependency=Heating Fuel	Option=Cooling Only	Option=Heating and Cooling	Option=Heating Only	Option=None	sampling_probability
Single-Family Detached	Room AC	None	Fuel Oil	0	0	0	1	0
Mobile Home	Central AC	Ducted Heat Pump	Propane	0	0	0	1	0
Mobile Home	Heat Pump	Ducted Heat Pump	Propane	0	0	0	1	0
Mobile Home	None	Ducted Heat Pump	Propane	0	0	0	1	0
Mobile Home	Room AC	Ducted Heat Pump	Propane	0	0	0	1	0
Mobile Home	Central AC	Ducted Heating	Propane	0	0	0	1	0.00308642
Mobile Home	Heat Pump	Ducted Heating	Propane	0	0	0	1	0
Mobile Home	None	Ducted Heating	Propane	0	0	0	1	0.00308642
Mobile Home	Room AC	Ducted Heating	Propane	0	0	0	1	0.00308642
Mobile Home	Central AC	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Mobile Home	Heat Pump	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Mobile Home	None	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Mobile Home	Room AC	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Mobile Home	Central AC	Non-Ducted Heating	Propane	0	0	0	1	0.00308642
Mobile Home	Heat Pump	Non-Ducted Heating	Propane	0	0	0	1	0
Mobile Home	None	Non-Ducted Heating	Propane	0	0	0	1	0.00308642
Mobile Home	Room AC	Non-Ducted Heating	Propane	0	0	0	1	0.00308642
Mobile Home	Central AC	None	Propane	0	0	0	1	0
Mobile Home	Heat Pump	None	Propane	0	0	0	1	0
Mobile Home	None	None	Propane	0	0	0	1	0
Mobile Home	Room AC	None	Propane	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heat Pump	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heat Pump	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Room AC	Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heating	Propane	0.25	0.25	0.25	0.25	0.00617284
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heating	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Ducted Heating	Propane	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Room AC	Ducted Heating	Propane	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heat Pump	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heating	Propane	0.25	0.25	0.25	0.25	0.00617284
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heating	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heating	Propane	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heating	Propane	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Central AC	None	Propane	0.5	0	0	0.5	0
Multi-Family with 2 - 4 Units	Heat Pump	None	Propane	0.5	0	0	0.5	0
Multi-Family with 2 - 4 Units	None	None	Propane	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	None	Propane	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Ducted Heat Pump	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	Heat Pump	Ducted Heat Pump	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Room AC	Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Central AC	Ducted Heating	Propane	0.25	0.25	0.25	0.25	0.0123457
Multi-Family with 5+ Units	Heat Pump	Ducted Heating	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Ducted Heating	Propane	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Room AC	Ducted Heating	Propane	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Central AC	Non-Ducted Heat Pump	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Multi-Family with 5+ Units	None	Non-Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Room AC	Non-Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Central AC	Non-Ducted Heating	Propane	0.25	0.25	0.25	0.25	0.0123457
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heating	Propane	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Non-Ducted Heating	Propane	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Room AC	Non-Ducted Heating	Propane	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Central AC	None	Propane	0.5	0	0	0.5	0
Multi-Family with 5+ Units	Heat Pump	None	Propane	0.5	0	0	0.5	0
Multi-Family with 5+ Units	None	None	Propane	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	None	Propane	0	0	0	1	0
Single-Family Attached	Central AC	Ducted Heat Pump	Propane	0.25	0.25	0.25	0.25	0
Single-Family Attached	Heat Pump	Ducted Heat Pump	Propane	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Single-Family Attached	Room AC	Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Single-Family Attached	Central AC	Ducted Heating	Propane	0.25	0.25	0.25	0.25	0.00308642
Single-Family Attached	Heat Pump	Ducted Heating	Propane	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Ducted Heating	Propane	0	0	0.5	0.5	0.00308642
Single-Family Attached	Room AC	Ducted Heating	Propane	0	0	0.5	0.5	0.00308642
Single-Family Attached	Central AC	Non-Ducted Heat Pump	Propane	0.25	0.25	0.25	0.25	0
Single-Family Attached	Heat Pump	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Single-Family Attached	None	Non-Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Single-Family Attached	Room AC	Non-Ducted Heat Pump	Propane	0	0	0.5	0.5	0
Single-Family Attached	Central AC	Non-Ducted Heating	Propane	0.25	0.25	0.25	0.25	0.00308642
Single-Family Attached	Heat Pump	Non-Ducted Heating	Propane	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Non-Ducted Heating	Propane	0	0	0.5	0.5	0.00308642
Single-Family Attached	Room AC	Non-Ducted Heating	Propane	0	0	0.5	0.5	0.00308642
Single-Family Attached	Central AC	None	Propane	0.5	0	0	0.5	0
Single-Family Attached	Heat Pump	None	Propane	0.5	0	0	0.5	0
Single-Family Attached	None	None	Propane	0	0	0	1	0
Single-Family Attached	Room AC	None	Propane	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heat Pump	Propane	0	0	0	1	0
Single-Family Detached	Heat Pump	Ducted Heat Pump	Propane	0	0	0	1	0
Single-Family Detached	None	Ducted Heat Pump	Propane	0	0	0	1	0
Single-Family Detached	Room AC	Ducted Heat Pump	Propane	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heating	Propane	0	0	0	1	0.00308642
Single-Family Detached	Heat Pump	Ducted Heating	Propane	0	0	0	1	0
Single-Family Detached	None	Ducted Heating	Propane	0	0	0	1	0.00308642
Single-Family Detached	Room AC	Ducted Heating	Propane	0	0	0	1	0.00308642
Single-Family Detached	Central AC	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Single-Family Detached	Heat Pump	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Single-Family Detached	Room AC	Non-Ducted Heat Pump	Propane	0	0	0	1	0
Single-Family Detached	Central AC	Non-Ducted Heating	Propane	0	0	0	1	0.00308642
Single-Family Detached	Heat Pump	Non-Ducted Heating	Propane	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heating	Propane	0	0	0	1	0.00308642
Single-Family Detached	Room AC	Non-Ducted Heating	Propane	0	0	0	1	0.00308642
Single-Family Detached	Central AC	None	Propane	0	0	0	1	0
Single-Family Detached	Heat Pump	None	Propane	0	0	0	1	0
Single-Family Detached	None	None	Propane	0	0	0	1	0
Single-Family Detached	Room AC	None	Propane	0	0	0	1	0
Mobile Home	Central AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Mobile Home	Heat Pump	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Mobile Home	None	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Mobile Home	Room AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Mobile Home	Central AC	Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Mobile Home	Heat Pump	Ducted Heating	Other Fuel	0	0	0	1	0
Mobile Home	None	Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Mobile Home	Room AC	Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Mobile Home	Central AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Mobile Home	Heat Pump	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Mobile Home	None	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Mobile Home	Room AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Mobile Home	Central AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Mobile Home	Heat Pump	Non-Ducted Heating	Other Fuel	0	0	0	1	0
Mobile Home	None	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Mobile Home	Room AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Mobile Home	Central AC	None	Other Fuel	0	0	0	1	0
Mobile Home	Heat Pump	None	Other Fuel	0	0	0	1	0
Mobile Home	None	None	Other Fuel	0	0	0	1	0
Mobile Home	Room AC	None	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heating	Other Fuel	0	0	0	1	0.00617284
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heating	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Ducted Heating	Other Fuel	0	0	0	1	0.00617284
Multi-Family with 2 - 4 Units	Room AC	Ducted Heating	Other Fuel	0	0	0	1	0.00617284
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00617284
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heating	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00617284
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00617284
Multi-Family with 2 - 4 Units	Central AC	None	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	Heat Pump	None	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	None	Other Fuel	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	None	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	Heat Pump	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	None	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Ducted Heating	Other Fuel	0	0	0	1	0.0123457
Multi-Family with 5+ Units	Heat Pump	Ducted Heating	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	None	Ducted Heating	Other Fuel	0	0	0	1	0.0123457
Multi-Family with 5+ Units	Room AC	Ducted Heating	Other Fuel	0	0	0	1	0.0123457
Multi-Family with 5+ Units	Central AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	None	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.0123457
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heating	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	None	Non-Ducted Heating	Other Fuel	0	0	0	1	0.0123457
Multi-Family with 5+ Units	Room AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.0123457
Multi-Family with 5+ Units	Central AC	None	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	Heat Pump	None	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	None	None	Other Fuel	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	None	Other Fuel	0	0	0	1	0
Single-Family Attached	Central AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Attached	Heat Pump	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Attached	None	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Attached	Room AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Attached	Central AC	Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Attached	Heat Pump	Ducted Heating	Other Fuel	0	0	0	1	0
Single-Family Attached	None	Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Attached	Room AC	Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Attached	Central AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Attached	Heat Pump	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Attached	None	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Attached	Room AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Attached	Central AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Attached	Heat Pump	Non-Ducted Heating	Other Fuel	0	0	0	1	0
Single-Family Attached	None	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Attached	Room AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Attached	Central AC	None	Other Fuel	0	0	0	1	0
Single-Family Attached	Heat Pump	None	Other Fuel	0	0	0	1	0
Single-Family Attached	None	None	Other Fuel	0	0	0	1	0
Single-Family Attached	Room AC	None	Other Fuel	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Detached	Heat Pump	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Detached	None	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Detached	Room AC	Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Detached	Heat Pump	Ducted Heating	Other Fuel	0	0	0	1	0
Single-Family Detached	None	Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Detached	Room AC	Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Detached	Central AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Detached	Heat Pump	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Detached	Room AC	Non-Ducted Heat Pump	Other Fuel	0	0	0	1	0
Single-Family Detached	Central AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Detached	Heat Pump	Non-Ducted Heating	Other Fuel	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Detached	Room AC	Non-Ducted Heating	Other Fuel	0	0	0	1	0.00308642
Single-Family Detached	Central AC	None	Other Fuel	0	0	0	1	0
Single-Family Detached	Heat Pump	None	Other Fuel	0	0	0	1	0
Single-Family Detached	None	None	Other Fuel	0	0	0	1	0
Single-Family Detached	Room AC	None	Other Fuel	0	0	0	1	0
Mobile Home	Central AC	Ducted Heat Pump	None	0	0	0	1	0
Mobile Home	Heat Pump	Ducted Heat Pump	None	0	0	0	1	0
Mobile Home	None	Ducted Heat Pump	None	0	0	0	1	0
Mobile Home	Room AC	Ducted Heat Pump	None	0	0	0	1	0
Mobile Home	Central AC	Ducted Heating	None	0	0	0	1	0
Mobile Home	Heat Pump	Ducted Heating	None	0	0	0	1	0
Mobile Home	None	Ducted Heating	None	0	0	0	1	0
Mobile Home	Room AC	Ducted Heating	None	0	0	0	1	0
Mobile Home	Central AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Mobile Home	Heat Pump	Non-Ducted Heat Pump	None	0	0	0	1	0
Mobile Home	None	Non-Ducted Heat Pump	None	0	0	0	1	0
Mobile Home	Room AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Mobile Home	Central AC	Non-Ducted Heating	None	0	0	0	1	0
Mobile Home	Heat Pump	Non-Ducted Heating	None	0	0	0	1	0
Mobile Home	None	Non-Ducted Heating	None	0	0	0	1	0
Mobile Home	Room AC	Non-Ducted Heating	None	0	0	0	1	0
Mobile Home	Central AC	None	None	0	0	0	1	0.00617284
Mobile Home	Heat Pump	None	None	0	0	0	1	0
Mobile Home	None	None	None	0	0	0	1	0.00617284
Mobile Home	Room AC	None	None	0	0	0	1	0.00617284
Multi-Family with 2 - 4 Units	Central AC	Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heating	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heating	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Ducted Heating	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	Ducted Heating	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heating	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heating	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heating	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heating	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	None	None	0	0	0	1	0.0123457
Multi-Family with 2 - 4 Units	Heat Pump	None	None	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	None	None	0	0	0	1	0.0123457
Multi-Family with 2 - 4 Units	Room AC	None	None	0	0	0	1	0.0123457
Multi-Family with 5+ Units	Central AC	Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 5+ Units	Heat Pump	Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 5+ Units	None	Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Ducted Heating	None	0	0	0	1	0
Multi-Family with 5+ Units	Heat Pump	Ducted Heating	None	0	0	0	1	0
Multi-Family with 5+ Units	None	Ducted Heating	None	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	Ducted Heating	None	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 5+ Units	None	Non-Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Non-Ducted Heating	None	0	0	0	1	0
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heating	None	0	0	0	1	0
Multi-Family with 5+ Units	None	Non-Ducted Heating	None	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	Non-Ducted Heating	None	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	None	None	0	0	0	1	0.0246914
Multi-Family with 5+ Units	Heat Pump	None	None	0	0	0	1	0
Multi-Family with 5+ Units	None	None	None	0	0	0	1	0.0246914
Multi-Family with 5+ Units	Room AC	None	None	0	0	0	1	0.0246914
Single-Family Attached	Central AC	Ducted Heat Pump	None	0	0	0	1	0
Single-Family Attached	Heat Pump	Ducted Heat Pump	None	0	0	0	1	0
Single-Family Attached	None	Ducted Heat Pump	None	0	0	0	1	0
Single-Family Attached	Room AC	Ducted Heat Pump	None	0	0	0	1	0
Single-Family Attached	Central AC	Ducted Heating	None	0	0	0	1	0
Single-Family Attached	Heat Pump	Ducted Heating	None	0	0	0	1	0
Single-Family Attached	None	Ducted Heating	None	0	0	0	1	0
Single-Family Attached	Room AC	Ducted Heating	None	0	0	0	1	0
Single-Family Attached	Central AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Single-Family Attached	Heat Pump	Non-Ducted Heat Pump	None	0	0	0	1	0
Single-Family Attached	None	Non-Ducted Heat Pump	None	0	0	0	1	0
Single-Family Attached	Room AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Single-Family Attached	Central AC	Non-Ducted Heating	None	0	0	0	1	0
Single-Family Attached	Heat Pump	Non-Ducted Heating	None	0	0	0	1	0
Single-Family Attached	None	Non-Ducted Heating	None	0	0	0	1	0
Single-Family Attached	Room AC	Non-Ducted Heating	None	0	0	0	1	0
Single-Family Attached	Central AC	None	None	0	0	0	1	0.00617284
Single-Family Attached	Heat Pump	None	None	0	0	0	1	0
Single-Family Attached	None	None	None	0	0	0	1	0.00617284
Single-Family Attached	Room AC	None	None	0	0	0	1	0.00617284
Single-Family Detached	Central AC	Ducted Heat Pump	None	0	0	0	1	0
Single-Family Detached	Heat Pump	Ducted Heat Pump	None	0	0	0	1	0
Single-Family Detached	None	Ducted Heat Pump	None	0	0	0	1	0
Single-Family Detached	Room AC	Ducted Heat Pump	None	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heating	None	0	0	0	1	0
Single-Family Detached	Heat Pump	Ducted Heating	None	0	0	0	1	0
Single-Family Detached	None	Ducted Heating	None	0	0	0	1	0
Single-Family Detached	Room AC	Ducted Heating	None	0	0	0	1	0
Single-Family Detached	Central AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Single-Family Detached	Heat Pump	Non-Ducted Heat Pump	None	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heat Pump	None	0	0	0	1	0
Single-Family Detached	Room AC	Non-Ducted Heat Pump	None	0	0	0	1	0
Single-Family Detached	Central AC	Non-Ducted Heating	None	0	0	0	1	0
Single-Family Detached	Heat Pump	Non-Ducted Heating	None	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heating	None	0	0	0	1	0
Single-Family Detached	Room AC	Non-Ducted Heating	None	0	0	0	1	0
Single-Family Detached	Central AC	None	None	0	0	0	1	0.00617284
Single-Family Detached	Heat Pump	None	None	0	0	0	1	0
Single-Family Detached	None	None	None	0	0	0	1	0.00617284
Single-Family Detached	Room AC	None	None	0	0	0	1	0.00617284
# Created by: manually created
# Description: The presence of an HVAC system shared between multiple dwelling units.
